child_id,center_quality,treatment,baseline_skill,classroom_input,endline_skill,language_score
149,medium_quality,0,-0.0956,0.4356,0.0721,0.1875
150,high_quality,1,-0.5255,0.7272,0.2073,0.2251
151,low_quality,0,-0.9061,0.4416,-0.0765,0.1572
152,medium_quality,1,0.1653,0.5656,0.4719,0.341
153,high_quality,0,-2.7385,0.6198,-1.4439,-0.4508
154,low_quality,0,-2.0533,0.5207,-0.8596,-0.1441
155,medium_quality,1,1.3969,0.5275,1.4252,0.7923
156,high_quality,0,0.5221,0.5827,0.3263,0.145
157,low_quality,1,-0.7885,0.3764,-0.0885,0.0293
158,medium_quality,0,-1.3626,0.5665,-0.4973,-0.1686
159,high_quality,0,-0.6867,0.6581,0.1164,0.256
160,low_quality,1,0.2035,0.4974,0.3502,0.3485
161,medium_quality,0,0.3147,0.5463,0.5569,0.3158
162,high_quality,1,0.5173,0.7434,0.7305,0.7449
163,low_quality,0,0.0559,0.1956,0.3597,0.3621
164,medium_quality,0,1.7522,0.4407,1.3712,0.9007
165,high_quality,1,0.4681,0.7041,0.4519,0.4628
166,low_quality,0,-1.5939,0.4569,-0.4612,-0.1335
167,medium_quality,1,0.0938,0.5977,0.5186,0.2674
168,high_quality,0,0.0025,0.6352,0.3579,0.3928
169,low_quality,0,0.2114,0.5142,0.4334,0.5205
170,medium_quality,1,-0.9886,0.6307,0.0111,0.001
171,high_quality,0,-0.6766,0.5963,-0.0749,-0.0194
172,low_quality,1,0.9959,0.5324,1.0146,0.4938
173,medium_quality,0,0.381,0.4761,0.8483,0.3516
174,high_quality,0,-1.0628,0.5984,-0.1145,0.0232
175,low_quality,1,0.2949,0.4115,0.4852,0.5481
176,medium_quality,0,0.1625,0.5184,0.4539,0.3308
177,high_quality,1,-0.908,0.6865,0.2016,0.1914
178,low_quality,0,-0.1622,0.5061,0.1402,0.2175
179,medium_quality,0,-0.6657,0.4703,-0.2569,-0.365
180,high_quality,1,1.4094,0.6355,1.4865,0.9379
181,low_quality,0,-0.5694,0.4763,-0.0112,-0.0058
182,medium_quality,1,-0.0863,0.5789,0.4185,0.4751
183,high_quality,0,-0.5309,0.5603,0.0929,0.1675
184,low_quality,0,-0.4083,0.5045,0.1012,0.1755
185,medium_quality,1,-0.8862,0.5161,-0.1637,0.2859
186,high_quality,0,0.0637,0.5832,0.3901,0.2836
187,low_quality,1,-0.0639,0.4937,0.5753,0.5178
188,medium_quality,0,1.737,0.4706,1.3636,0.8586
189,high_quality,0,0.496,0.7442,0.4451,0.3135
190,low_quality,1,0.8375,0.4215,0.8881,0.6601
191,medium_quality,0,-0.1066,0.4263,0.3844,0.2131
192,high_quality,1,-0.1547,0.6338,0.5308,0.23
193,low_quality,0,-1.1765,0.3534,-0.1829,0.0716
194,medium_quality,0,0.063,0.6253,0.4461,0.2959
195,high_quality,1,0.2751,0.4947,0.7228,0.3407
196,low_quality,0,0.7075,0.2445,0.7199,0.4334
197,medium_quality,1,1.3257,0.7256,1.2338,0.5669
198,high_quality,0,-0.0793,0.5693,0.3876,0.3259
199,low_quality,0,-0.2832,0.4171,-0.0881,0.022
200,medium_quality,1,-0.6997,0.4094,0.2208,0.2226
201,high_quality,0,1.5033,0.6804,1.4348,0.7051
202,low_quality,1,-0.7677,0.4885,-0.108,0.0568
203,medium_quality,0,0.7833,0.5638,0.7325,0.4141
204,high_quality,0,0.9876,0.6273,0.9589,0.6232
205,low_quality,1,0.2844,0.4715,0.4991,0.2723
206,medium_quality,0,1.3039,0.4434,1.1805,0.6543
207,high_quality,1,0.2839,0.75,0.7036,0.4053
208,low_quality,0,-1.2414,0.3603,-0.4002,-0.171
209,medium_quality,0,-0.7445,0.4411,-0.3501,-0.2013
210,high_quality,1,1.3044,0.5966,1.321,0.5622
211,low_quality,0,0.7429,0.5084,0.7249,0.4307
212,medium_quality,1,0.2733,0.414,0.6419,0.6481
213,high_quality,0,0.8946,0.7114,0.6931,0.3199
214,low_quality,0,0.2704,0.4644,0.2817,0.4019
215,medium_quality,1,0.2733,0.4456,0.4903,0.5122
216,high_quality,0,1.5481,0.5484,1.3987,0.9217
217,low_quality,1,-0.3119,0.4501,0.4561,0.3196
218,medium_quality,0,-0.1177,0.6028,0.2383,0.2121
219,high_quality,0,-0.7637,0.5838,-0.1369,0.1995
220,low_quality,1,0.9635,0.4783,0.9269,0.5049
221,medium_quality,0,0.1337,0.5875,0.4506,0.4141
222,high_quality,1,1.734,0.6974,1.5483,0.8249
223,low_quality,0,-0.8587,0.3984,-0.288,0.0672
224,medium_quality,0,-0.2871,0.4839,0.0715,0.0811
225,high_quality,1,-0.6976,0.6942,0.1588,0.1349
226,low_quality,0,0.6744,0.3602,0.8647,0.6603
227,medium_quality,1,-0.4285,0.5686,0.1915,0.2415
228,high_quality,0,0.046,0.6299,0.4349,0.3471
229,low_quality,0,0.9735,0.4464,0.8888,0.3868
230,medium_quality,1,-1.0768,0.5665,-0.2391,0.1453
231,high_quality,0,0.0715,0.605,0.2653,0.3419
232,low_quality,1,-0.4842,0.502,0.2593,0.1254
233,medium_quality,0,-0.003,0.4662,0.4415,0.455
234,high_quality,0,0.0003,0.7065,0.5037,0.4446
235,low_quality,1,0.7681,0.3805,1.0365,0.6508
236,medium_quality,0,-0.8126,0.4552,-0.1012,0.0455
237,high_quality,1,0.7536,0.5804,0.9468,0.6935
238,low_quality,0,0.1207,0.5244,0.7282,0.4857
239,medium_quality,0,0.5963,0.6189,0.6895,0.5215
240,high_quality,1,0.9423,0.6231,1.2212,0.5129
241,low_quality,0,-0.8953,0.4804,-0.1141,0.0615
242,medium_quality,1,0.5816,0.5998,0.8165,0.4226
243,high_quality,0,-1.5112,0.5001,-0.3591,0.0439
244,low_quality,0,1.5271,0.443,1.3035,0.83
245,medium_quality,1,-0.7167,0.5279,0.1599,0.2313
246,high_quality,0,-0.971,0.6539,-0.437,-0.1287
247,low_quality,1,-0.0957,0.5471,0.4195,0.4331
248,medium_quality,0,-0.2534,0.47,0.1903,0.3033
249,high_quality,0,1.1692,0.5545,1.2371,0.8462
250,low_quality,1,0.4727,0.6102,1.1581,0.8678
251,medium_quality,0,-0.2835,0.4286,0.1254,0.4051
252,high_quality,1,-0.2131,0.585,0.3285,0.103
253,low_quality,0,-0.3982,0.4081,-0.1531,-0.2016
254,medium_quality,0,0.6476,0.5799,0.8946,0.5198
255,high_quality,1,-0.8702,0.5671,0.1476,0.2814
256,low_quality,0,0.6313,0.3887,0.6734,0.3625
257,medium_quality,1,1.2448,0.4441,1.1806,0.5254
258,high_quality,0,0.4406,0.5761,0.799,0.5317
259,low_quality,0,0.8214,0.3866,0.8504,0.5742
260,medium_quality,1,0.014,0.4709,0.3841,0.2719
261,high_quality,0,1.6307,0.504,1.0834,0.7191
262,low_quality,1,0.3228,0.5261,0.6566,0.616
263,medium_quality,0,0.7583,0.5512,0.8326,0.4675
264,high_quality,0,-0.4841,0.6842,-0.0831,-0.0311
265,low_quality,1,-1.1833,0.4945,-0.5165,-0.2233
266,medium_quality,0,0.5738,0.6115,0.6246,0.5202
267,high_quality,1,-0.133,0.5666,0.4836,0.2876
268,low_quality,0,-1.0248,0.278,-0.1538,0.1726
269,medium_quality,0,-0.5368,0.3576,-0.0145,0.182
270,high_quality,1,0.4492,0.5909,0.6875,0.4794
271,low_quality,0,-0.2803,0.4935,0.154,0.3091
272,medium_quality,1,-2.2455,0.5728,-0.5176,-0.148
273,high_quality,0,-0.0983,0.5203,0.1273,0.1789
274,low_quality,0,-0.3728,0.4432,0.1562,0.1615
275,medium_quality,1,0.6275,0.5144,1.003,0.4941
276,high_quality,0,0.4651,0.585,0.2733,0.248
277,low_quality,1,0.0154,0.423,0.4522,0.1869
278,medium_quality,0,-1.1853,0.5513,-0.5545,-0.0523
279,high_quality,0,0.3647,0.6182,0.6252,0.3772
280,low_quality,1,-0.2694,0.456,0.3327,0.3189
281,medium_quality,0,-0.7176,0.5215,0.049,0.1695
282,high_quality,1,0.6377,0.5115,0.6705,0.6569
283,low_quality,0,0.0057,0.3279,0.3016,0.5892
284,medium_quality,0,0.6306,0.3776,0.6409,0.5996
285,high_quality,1,0.188,0.8355,0.4842,0.3168
286,low_quality,0,0.797,0.3476,0.7252,0.5604
287,medium_quality,1,0.339,0.6307,0.5528,0.366
288,high_quality,0,1.0641,0.6589,1.159,0.7666
289,low_quality,0,0.3127,0.3108,0.4588,0.4543
290,medium_quality,1,-0.0225,0.4922,0.6301,0.3416
291,high_quality,0,-0.5246,0.5802,-0.0409,0.0162
292,low_quality,1,-0.1161,0.3977,0.4038,0.4843
293,medium_quality,0,0.3973,0.5366,0.4589,0.2221
294,high_quality,0,1.1297,0.4158,1.0259,0.5225
295,low_quality,1,-0.3133,0.3919,0.1362,0.1288
296,medium_quality,0,0.8426,0.5893,0.8892,0.5128
297,high_quality,1,0.7795,0.7655,0.8789,0.5628
298,low_quality,0,-0.4152,0.2295,0.0009,0.1043
299,medium_quality,0,-0.8498,0.4977,-0.2021,-0.1253
300,high_quality,1,0.9324,0.6388,0.8405,0.7488
