worker_id,arm,skill,reciprocity_index,gift_value,employer_effort,piece_rate,framing_salience,extra_work_minutes,output_units,quality_score,productivity_value,productivity_per_minute
worker-039,employer_return,0.82,0.35,0.65,0.55,0.0,0.5,52.36,59.32,0.826,48.99,0.936
worker-040,control,0.855,0.45,0.0,0.0,0.0,0.15,50.9,58.63,0.844,49.48,0.972
worker-041,cash_gift,0.855,0.45,1.0,0.0,0.0,0.45,55.62,60.73,0.832,50.53,0.908
worker-042,noncash_gift,0.855,0.45,0.85,0.35,0.0,0.55,56.49,61.75,0.85,52.5,0.929
worker-043,piece_rate,0.855,0.45,0.0,0.0,0.22,0.35,53.76,61.44,0.852,52.33,0.973
worker-044,employer_return,0.855,0.45,0.65,0.55,0.0,0.5,56.45,62.09,0.854,53.02,0.939
worker-045,control,0.89,0.55,0.0,0.0,0.0,0.15,50.4,59.33,0.872,51.73,1.026
worker-046,cash_gift,0.89,0.55,1.0,0.0,0.0,0.45,56.17,62.0,0.86,53.32,0.949
worker-047,noncash_gift,0.89,0.55,0.85,0.35,0.0,0.55,56.88,62.96,0.878,55.29,0.972
worker-048,piece_rate,0.89,0.55,0.0,0.0,0.22,0.35,53.26,62.19,0.88,54.71,1.027
worker-049,employer_return,0.89,0.55,0.65,0.55,0.0,0.5,56.63,63.2,0.882,55.73,0.984
worker-050,control,0.925,0.65,0.0,0.0,0.0,0.15,43.3,56.83,0.76,43.19,0.997
worker-051,cash_gift,0.925,0.65,1.0,0.0,0.0,0.45,50.12,60.11,0.748,44.96,0.897
worker-052,noncash_gift,0.925,0.65,0.85,0.35,0.0,0.55,50.68,61.01,0.766,46.75,0.922
worker-053,piece_rate,0.925,0.65,0.0,0.0,0.22,0.35,46.16,59.74,0.768,45.86,0.994
worker-054,employer_return,0.925,0.65,0.65,0.55,0.0,0.5,50.21,61.14,0.77,47.07,0.937
worker-055,control,0.96,0.75,0.0,0.0,0.0,0.15,46.7,59.31,0.788,46.74,1.001
worker-056,cash_gift,0.96,0.75,1.0,0.0,0.0,0.45,54.58,63.24,0.776,49.08,0.899
worker-057,noncash_gift,0.96,0.75,0.85,0.35,0.0,0.55,54.97,64.07,0.794,50.89,0.926
worker-058,piece_rate,0.96,0.75,0.0,0.0,0.22,0.35,49.56,62.28,0.796,49.56,1.0
worker-059,employer_return,0.96,0.75,0.65,0.55,0.0,0.5,54.29,64.09,0.798,51.14,0.942
worker-060,control,0.995,0.25,0.0,0.0,0.0,0.15,46.2,59.9,0.816,48.88,1.058
worker-061,cash_gift,0.995,0.25,1.0,0.0,0.0,0.45,48.83,61.26,0.804,49.25,1.009
worker-062,noncash_gift,0.995,0.25,0.85,0.35,0.0,0.55,50.01,62.5,0.822,51.4,1.028
worker-063,piece_rate,0.995,0.25,0.0,0.0,0.22,0.35,49.06,62.92,0.824,51.83,1.056
worker-064,employer_return,0.995,0.25,0.65,0.55,0.0,0.5,50.38,63.06,0.826,52.08,1.034
worker-065,control,1.03,0.35,0.0,0.0,0.0,0.15,49.6,62.57,0.844,52.81,1.065
worker-066,cash_gift,1.03,0.35,1.0,0.0,0.0,0.45,53.27,64.53,0.832,53.69,1.008
worker-067,noncash_gift,1.03,0.35,0.85,0.35,0.0,0.55,54.3,65.71,0.85,55.88,1.029
worker-068,piece_rate,1.03,0.35,0.0,0.0,0.22,0.35,52.46,65.64,0.852,55.9,1.066
worker-069,employer_return,1.03,0.35,0.65,0.55,0.0,0.5,54.46,66.16,0.854,56.49,1.037
worker-070,control,0.82,0.45,0.0,0.0,0.0,0.15,53.0,58.6,0.872,51.1,0.964
worker-071,cash_gift,0.82,0.45,1.0,0.0,0.0,0.45,57.73,60.61,0.86,52.13,0.903
worker-072,noncash_gift,0.82,0.45,0.85,0.35,0.0,0.55,58.59,61.61,0.878,54.11,0.924
worker-073,piece_rate,0.82,0.45,0.0,0.0,0.22,0.35,55.86,61.36,0.88,53.98,0.966
worker-074,employer_return,0.82,0.45,0.65,0.55,0.0,0.5,58.55,61.95,0.882,54.64,0.933
worker-075,control,0.855,0.55,0.0,0.0,0.0,0.15,42.0,54.67,0.76,41.55,0.989
worker-076,cash_gift,0.855,0.55,1.0,0.0,0.0,0.45,47.77,57.24,0.748,42.82,0.896
worker-077,noncash_gift,0.855,0.55,0.85,0.35,0.0,0.55,48.48,58.19,0.766,44.59,0.92
worker-078,piece_rate,0.855,0.55,0.0,0.0,0.22,0.35,44.86,57.48,0.768,44.13,0.984
worker-079,employer_return,0.855,0.55,0.65,0.55,0.0,0.5,48.23,58.43,0.77,44.99,0.933
worker-080,control,0.89,0.65,0.0,0.0,0.0,0.15,45.4,57.01,0.788,44.92,0.99
worker-081,cash_gift,0.89,0.65,1.0,0.0,0.0,0.45,52.23,60.17,0.776,46.69,0.894
worker-082,noncash_gift,0.89,0.65,0.85,0.35,0.0,0.55,52.78,61.05,0.794,48.5,0.919
worker-083,piece_rate,0.89,0.65,0.0,0.0,0.22,0.35,48.26,59.87,0.796,47.64,0.987
worker-084,employer_return,0.89,0.65,0.65,0.55,0.0,0.5,52.31,61.2,0.798,48.83,0.933
worker-085,control,0.925,0.75,0.0,0.0,0.0,0.15,48.8,59.47,0.816,48.53,0.994
worker-086,cash_gift,0.925,0.75,1.0,0.0,0.0,0.45,56.68,63.26,0.804,50.86,0.897
worker-087,noncash_gift,0.925,0.75,0.85,0.35,0.0,0.55,57.07,64.08,0.822,52.69,0.923
worker-088,piece_rate,0.925,0.75,0.0,0.0,0.22,0.35,51.66,62.39,0.824,51.39,0.995
worker-089,employer_return,0.925,0.75,0.65,0.55,0.0,0.5,56.39,64.12,0.826,52.95,0.939
worker-090,control,0.96,0.25,0.0,0.0,0.0,0.15,48.3,60.11,0.844,50.73,1.05
worker-091,cash_gift,0.96,0.25,1.0,0.0,0.0,0.45,50.92,61.42,0.832,51.1,1.003
worker-092,noncash_gift,0.96,0.25,0.85,0.35,0.0,0.55,52.11,62.64,0.85,53.26,1.022
worker-093,piece_rate,0.96,0.25,0.0,0.0,0.22,0.35,51.16,63.08,0.852,53.72,1.05
worker-094,employer_return,0.96,0.25,0.65,0.55,0.0,0.5,52.48,63.19,0.854,53.96,1.028
worker-095,control,0.995,0.35,0.0,0.0,0.0,0.15,51.7,62.75,0.872,54.72,1.058
worker-096,cash_gift,0.995,0.35,1.0,0.0,0.0,0.45,55.37,64.65,0.86,55.6,1.004
worker-097,noncash_gift,0.995,0.35,0.85,0.35,0.0,0.55,56.4,65.81,0.878,57.8,1.025
worker-098,piece_rate,0.995,0.35,0.0,0.0,0.22,0.35,54.56,65.77,0.88,57.86,1.06
worker-099,employer_return,0.995,0.35,0.65,0.55,0.0,0.5,56.56,66.26,0.882,58.43,1.033
worker-100,control,1.03,0.45,0.0,0.0,0.0,0.15,44.6,59.89,0.76,45.51,1.021
worker-101,cash_gift,1.03,0.45,1.0,0.0,0.0,0.45,49.33,62.42,0.748,46.69,0.947
worker-102,noncash_gift,1.03,0.45,0.85,0.35,0.0,0.55,50.19,63.51,0.766,48.67,0.97
worker-103,piece_rate,1.03,0.45,0.0,0.0,0.22,0.35,47.46,62.96,0.768,48.33,1.018
worker-104,employer_return,1.03,0.45,0.65,0.55,0.0,0.5,50.15,63.85,0.77,49.16,0.98
worker-105,control,0.82,0.55,0.0,0.0,0.0,0.15,44.1,54.8,0.788,43.19,0.979
worker-106,cash_gift,0.82,0.55,1.0,0.0,0.0,0.45,49.88,57.27,0.776,44.44,0.891
worker-107,noncash_gift,0.82,0.55,0.85,0.35,0.0,0.55,50.58,58.2,0.794,46.23,0.914
worker-108,piece_rate,0.82,0.55,0.0,0.0,0.22,0.35,46.96,57.56,0.796,45.8,0.975
worker-109,employer_return,0.82,0.55,0.65,0.55,0.0,0.5,50.33,58.45,0.798,46.64,0.927
worker-110,control,0.855,0.65,0.0,0.0,0.0,0.15,47.5,57.12,0.816,46.61,0.981
worker-111,cash_gift,0.855,0.65,1.0,0.0,0.0,0.45,54.33,60.15,0.804,48.36,0.89
worker-112,noncash_gift,0.855,0.65,0.85,0.35,0.0,0.55,54.88,61.03,0.822,50.18,0.914
worker-113,piece_rate,0.855,0.65,0.0,0.0,0.22,0.35,50.36,59.93,0.824,49.36,0.98
worker-114,employer_return,0.855,0.65,0.65,0.55,0.0,0.5,54.41,61.18,0.826,50.53,0.929
worker-115,control,0.89,0.75,0.0,0.0,0.0,0.15,50.9,59.56,0.844,50.27,0.988
worker-116,cash_gift,0.89,0.75,1.0,0.0,0.0,0.45,58.77,63.2,0.832,52.58,0.895
worker-117,noncash_gift,0.89,0.75,0.85,0.35,0.0,0.55,59.17,64.01,0.85,54.43,0.92
worker-118,piece_rate,0.89,0.75,0.0,0.0,0.22,0.35,53.76,62.42,0.852,53.16,0.989
worker-119,employer_return,0.89,0.75,0.65,0.55,0.0,0.5,58.49,64.06,0.854,54.7,0.935
worker-120,control,0.925,0.25,0.0,0.0,0.0,0.15,50.4,60.24,0.872,52.53,1.042
worker-121,cash_gift,0.925,0.25,1.0,0.0,0.0,0.45,53.02,61.51,0.86,52.89,0.998
worker-122,noncash_gift,0.925,0.25,0.85,0.35,0.0,0.55,54.21,62.7,0.878,55.07,1.016
worker-123,piece_rate,0.925,0.25,0.0,0.0,0.22,0.35,53.26,63.16,0.88,55.56,1.043
worker-124,employer_return,0.925,0.25,0.65,0.55,0.0,0.5,54.58,63.24,0.882,55.77,1.022
worker-125,control,0.96,0.35,0.0,0.0,0.0,0.15,43.3,57.62,0.76,43.79,1.011
worker-126,cash_gift,0.96,0.35,1.0,0.0,0.0,0.45,46.97,59.45,0.748,44.47,0.947
worker-127,noncash_gift,0.96,0.35,0.85,0.35,0.0,0.55,48.0,60.59,0.766,46.43,0.967
worker-128,piece_rate,0.96,0.35,0.0,0.0,0.22,0.35,46.16,60.58,0.768,46.51,1.008
worker-129,employer_return,0.96,0.35,0.65,0.55,0.0,0.5,48.16,61.03,0.77,46.99,0.976
worker-130,control,0.995,0.45,0.0,0.0,0.0,0.15,46.7,60.16,0.788,47.41,1.015
worker-131,cash_gift,0.995,0.45,1.0,0.0,0.0,0.45,51.43,62.61,0.776,48.58,0.945
worker-132,noncash_gift,0.995,0.45,0.85,0.35,0.0,0.55,52.29,63.69,0.794,50.59,0.967
worker-133,piece_rate,0.995,0.45,0.0,0.0,0.22,0.35,49.56,63.18,0.796,50.27,1.014
worker-134,employer_return,0.995,0.45,0.65,0.55,0.0,0.5,52.25,64.02,0.798,51.08,0.978
worker-135,control,1.03,0.55,0.0,0.0,0.0,0.15,46.2,60.74,0.816,49.57,1.073
worker-136,cash_gift,1.03,0.55,1.0,0.0,0.0,0.45,51.98,63.84,0.804,51.33,0.988
worker-137,noncash_gift,1.03,0.55,0.85,0.35,0.0,0.55,52.68,64.85,0.822,53.32,1.012
worker-138,piece_rate,1.03,0.55,0.0,0.0,0.22,0.35,49.06,63.82,0.824,52.57,1.071
worker-139,employer_return,1.03,0.55,0.65,0.55,0.0,0.5,52.43,65.07,0.826,53.74,1.025
worker-140,control,0.82,0.65,0.0,0.0,0.0,0.15,49.6,57.15,0.844,48.23,0.972
worker-141,cash_gift,0.82,0.65,1.0,0.0,0.0,0.45,56.42,60.06,0.832,49.97,0.886
worker-142,noncash_gift,0.82,0.65,0.85,0.35,0.0,0.55,56.98,60.92,0.85,51.8,0.909
worker-143,piece_rate,0.82,0.65,0.0,0.0,0.22,0.35,52.46,59.91,0.852,51.02,0.973
worker-144,employer_return,0.82,0.65,0.65,0.55,0.0,0.5,56.51,61.09,0.854,52.16,0.923
worker-145,control,0.855,0.75,0.0,0.0,0.0,0.15,53.0,59.56,0.872,51.94,0.98
worker-146,cash_gift,0.855,0.75,1.0,0.0,0.0,0.45,60.88,63.07,0.86,54.24,0.891
worker-147,noncash_gift,0.855,0.75,0.85,0.35,0.0,0.55,61.27,63.87,0.878,56.1,0.916
worker-148,piece_rate,0.855,0.75,0.0,0.0,0.22,0.35,55.86,62.38,0.88,54.87,0.982
worker-149,employer_return,0.855,0.75,0.65,0.55,0.0,0.5,60.59,63.93,0.882,56.38,0.93
worker-150,control,0.89,0.25,0.0,0.0,0.0,0.15,42.0,55.44,0.76,42.13,1.003
worker-151,cash_gift,0.89,0.25,1.0,0.0,0.0,0.45,44.62,56.65,0.748,42.38,0.95
worker-152,noncash_gift,0.89,0.25,0.85,0.35,0.0,0.55,45.81,57.83,0.766,44.31,0.967
worker-153,piece_rate,0.89,0.25,0.0,0.0,0.22,0.35,44.86,58.3,0.768,44.76,0.998
worker-154,employer_return,0.89,0.25,0.65,0.55,0.0,0.5,46.18,58.36,0.77,44.93,0.973
worker-155,control,0.925,0.35,0.0,0.0,0.0,0.15,45.4,57.84,0.788,45.58,1.004
worker-156,cash_gift,0.925,0.35,1.0,0.0,0.0,0.45,49.07,59.61,0.776,46.25,0.943
worker-157,noncash_gift,0.925,0.35,0.85,0.35,0.0,0.55,50.1,60.73,0.794,48.24,0.963
worker-158,piece_rate,0.925,0.35,0.0,0.0,0.22,0.35,48.26,60.75,0.796,48.34,1.002
worker-159,employer_return,0.925,0.35,0.65,0.55,0.0,0.5,50.26,61.17,0.798,48.81,0.971
worker-160,control,0.96,0.45,0.0,0.0,0.0,0.15,48.8,60.36,0.816,49.25,1.009
worker-161,cash_gift,0.96,0.45,1.0,0.0,0.0,0.45,53.53,62.72,0.804,50.43,0.942
worker-162,noncash_gift,0.96,0.45,0.85,0.35,0.0,0.55,54.39,63.78,0.822,52.45,0.964
worker-163,piece_rate,0.96,0.45,0.0,0.0,0.22,0.35,51.66,63.33,0.824,52.16,1.01
worker-164,employer_return,0.96,0.45,0.65,0.55,0.0,0.5,54.35,64.12,0.826,52.96,0.974
worker-165,control,0.995,0.55,0.0,0.0,0.0,0.15,48.3,60.99,0.844,51.48,1.066
worker-166,cash_gift,0.995,0.55,1.0,0.0,0.0,0.45,54.07,63.98,0.832,53.23,0.984
worker-167,noncash_gift,0.995,0.55,0.85,0.35,0.0,0.55,54.78,64.98,0.85,55.25,1.008
worker-168,piece_rate,0.995,0.55,0.0,0.0,0.22,0.35,51.16,64.01,0.852,54.52,1.066
worker-169,employer_return,0.995,0.55,0.65,0.55,0.0,0.5,54.53,65.2,0.854,55.68,1.021
worker-170,control,1.03,0.65,0.0,0.0,0.0,0.15,51.7,63.69,0.872,55.54,1.074
worker-171,cash_gift,1.03,0.65,1.0,0.0,0.0,0.45,58.52,67.35,0.86,57.92,0.99
worker-172,noncash_gift,1.03,0.65,0.85,0.35,0.0,0.55,59.08,68.27,0.878,59.96,1.015
worker-173,piece_rate,1.03,0.65,0.0,0.0,0.22,0.35,54.56,66.76,0.88,58.73,1.076
worker-174,employer_return,1.03,0.65,0.65,0.55,0.0,0.5,58.61,68.38,0.882,60.31,1.029
worker-175,control,0.82,0.75,0.0,0.0,0.0,0.15,44.6,55.02,0.76,41.81,0.938
worker-176,cash_gift,0.82,0.75,1.0,0.0,0.0,0.45,52.48,58.38,0.748,43.66,0.832
worker-177,noncash_gift,0.82,0.75,0.85,0.35,0.0,0.55,52.87,59.17,0.766,45.34,0.858
worker-178,piece_rate,0.82,0.75,0.0,0.0,0.22,0.35,47.46,57.78,0.768,44.36,0.935
worker-179,employer_return,0.82,0.75,0.65,0.55,0.0,0.5,52.19,59.25,0.77,45.61,0.874
worker-180,control,0.855,0.25,0.0,0.0,0.0,0.15,44.1,55.61,0.788,43.82,0.994
worker-181,cash_gift,0.855,0.25,1.0,0.0,0.0,0.45,46.73,56.77,0.776,44.06,0.943
worker-182,noncash_gift,0.855,0.25,0.85,0.35,0.0,0.55,47.91,57.93,0.794,46.01,0.96
worker-183,piece_rate,0.855,0.25,0.0,0.0,0.22,0.35,46.96,58.42,0.796,46.48,0.99
worker-184,employer_return,0.855,0.25,0.65,0.55,0.0,0.5,48.28,58.46,0.798,46.64,0.966
worker-185,control,0.89,0.35,0.0,0.0,0.0,0.15,47.5,57.98,0.816,47.31,0.996
worker-186,cash_gift,0.89,0.35,1.0,0.0,0.0,0.45,51.17,59.68,0.804,47.99,0.938
worker-187,noncash_gift,0.89,0.35,0.85,0.35,0.0,0.55,52.2,60.79,0.822,49.99,0.958
worker-188,piece_rate,0.89,0.35,0.0,0.0,0.22,0.35,50.36,60.85,0.824,50.12,0.995
worker-189,employer_return,0.89,0.35,0.65,0.55,0.0,0.5,52.36,61.22,0.826,50.56,0.966
worker-190,control,0.925,0.45,0.0,0.0,0.0,0.15,50.9,60.48,0.844,51.05,1.003
worker-191,cash_gift,0.925,0.45,1.0,0.0,0.0,0.45,55.62,62.76,0.832,52.21,0.939
worker-192,noncash_gift,0.925,0.45,0.85,0.35,0.0,0.55,56.49,63.8,0.85,54.25,0.96
worker-193,piece_rate,0.925,0.45,0.0,0.0,0.22,0.35,53.76,63.4,0.852,54.0,1.004
worker-194,employer_return,0.925,0.45,0.65,0.55,0.0,0.5,56.45,64.14,0.854,54.77,0.97
worker-195,control,0.96,0.55,0.0,0.0,0.0,0.15,50.4,61.16,0.872,53.33,1.058
worker-196,cash_gift,0.96,0.55,1.0,0.0,0.0,0.45,56.17,64.04,0.86,55.08,0.98
worker-197,noncash_gift,0.96,0.55,0.85,0.35,0.0,0.55,56.88,65.03,0.878,57.11,1.004
worker-198,piece_rate,0.96,0.55,0.0,0.0,0.22,0.35,53.26,64.13,0.88,56.41,1.059
worker-199,employer_return,0.96,0.55,0.65,0.55,0.0,0.5,56.63,65.26,0.882,57.55,1.016
worker-200,control,0.995,0.65,0.0,0.0,0.0,0.15,43.3,58.4,0.76,44.39,1.025
worker-201,cash_gift,0.995,0.65,1.0,0.0,0.0,0.45,50.12,61.93,0.748,46.33,0.924
worker-202,noncash_gift,0.995,0.65,0.85,0.35,0.0,0.55,50.68,62.85,0.766,48.16,0.95
worker-203,piece_rate,0.995,0.65,0.0,0.0,0.22,0.35,46.16,61.42,0.768,47.15,1.022
worker-204,employer_return,0.995,0.65,0.65,0.55,0.0,0.5,50.21,62.97,0.77,48.48,0.966
worker-205,control,1.03,0.75,0.0,0.0,0.0,0.15,46.7,61.01,0.788,48.08,1.03
worker-206,cash_gift,1.03,0.75,1.0,0.0,0.0,0.45,54.58,65.23,0.776,50.62,0.928
worker-207,noncash_gift,1.03,0.75,0.85,0.35,0.0,0.55,54.97,66.07,0.794,52.48,0.955
worker-208,piece_rate,1.03,0.75,0.0,0.0,0.22,0.35,49.56,64.08,0.796,50.99,1.029
worker-209,employer_return,1.03,0.75,0.65,0.55,0.0,0.5,54.29,66.07,0.798,52.72,0.971
worker-210,control,0.82,0.25,0.0,0.0,0.0,0.15,46.2,55.7,0.816,45.45,0.984
worker-211,cash_gift,0.82,0.25,1.0,0.0,0.0,0.45,48.83,56.82,0.804,45.68,0.936
worker-212,noncash_gift,0.82,0.25,0.85,0.35,0.0,0.55,50.01,57.95,0.822,47.65,0.953
worker-213,piece_rate,0.82,0.25,0.0,0.0,0.22,0.35,49.06,58.46,0.824,48.15,0.982
worker-214,employer_return,0.82,0.25,0.65,0.55,0.0,0.5,50.38,58.47,0.826,48.29,0.959
worker-215,control,0.855,0.35,0.0,0.0,0.0,0.15,49.6,58.05,0.844,49.0,0.988
worker-216,cash_gift,0.855,0.35,1.0,0.0,0.0,0.45,53.27,59.69,0.832,49.66,0.932
worker-217,noncash_gift,0.855,0.35,0.85,0.35,0.0,0.55,54.3,60.77,0.85,51.67,0.952
worker-218,piece_rate,0.855,0.35,0.0,0.0,0.22,0.35,52.46,60.86,0.852,51.84,0.988
worker-219,employer_return,0.855,0.35,0.65,0.55,0.0,0.5,54.46,61.2,0.854,52.26,0.96
worker-220,control,0.89,0.45,0.0,0.0,0.0,0.15,53.0,60.53,0.872,52.78,0.996
worker-221,cash_gift,0.89,0.45,1.0,0.0,0.0,0.45,57.73,62.72,0.86,53.94,0.934
worker-222,noncash_gift,0.89,0.45,0.85,0.35,0.0,0.55,58.59,63.75,0.878,55.99,0.956
worker-223,piece_rate,0.89,0.45,0.0,0.0,0.22,0.35,55.86,63.39,0.88,55.77,0.998
worker-224,employer_return,0.89,0.45,0.65,0.55,0.0,0.5,58.55,64.09,0.882,56.52,0.965
worker-225,control,0.925,0.55,0.0,0.0,0.0,0.15,42.0,56.2,0.76,42.71,1.017
worker-226,cash_gift,0.925,0.55,1.0,0.0,0.0,0.45,47.77,58.98,0.748,44.12,0.923
worker-227,noncash_gift,0.925,0.55,0.85,0.35,0.0,0.55,48.48,59.95,0.766,45.94,0.948
worker-228,piece_rate,0.925,0.55,0.0,0.0,0.22,0.35,44.86,59.12,0.768,45.38,1.012
worker-229,employer_return,0.925,0.55,0.65,0.55,0.0,0.5,48.23,60.19,0.77,46.34,0.961
worker-230,control,0.96,0.65,0.0,0.0,0.0,0.15,45.4,58.66,0.788,46.23,1.018
worker-231,cash_gift,0.96,0.65,1.0,0.0,0.0,0.45,52.23,62.07,0.776,48.17,0.922
worker-232,noncash_gift,0.96,0.65,0.85,0.35,0.0,0.55,52.78,62.98,0.794,50.02,0.948
worker-233,piece_rate,0.96,0.65,0.0,0.0,0.22,0.35,48.26,61.63,0.796,49.04,1.016
worker-234,employer_return,0.96,0.65,0.65,0.55,0.0,0.5,52.31,63.1,0.798,50.35,0.963
worker-235,control,0.995,0.75,0.0,0.0,0.0,0.15,48.8,61.25,0.816,49.98,1.024
worker-236,cash_gift,0.995,0.75,1.0,0.0,0.0,0.45,56.68,65.32,0.804,52.52,0.927
worker-237,noncash_gift,0.995,0.75,0.85,0.35,0.0,0.55,57.07,66.16,0.822,54.4,0.953
worker-238,piece_rate,0.995,0.75,0.0,0.0,0.22,0.35,51.66,64.27,0.824,52.94,1.025
worker-239,employer_return,0.995,0.75,0.65,0.55,0.0,0.5,56.39,66.17,0.826,54.65,0.969
worker-240,control,1.03,0.25,0.0,0.0,0.0,0.15,48.3,61.87,0.844,52.22,1.081
worker-241,cash_gift,1.03,0.25,1.0,0.0,0.0,0.45,50.92,63.28,0.832,52.65,1.034
worker-242,noncash_gift,1.03,0.25,0.85,0.35,0.0,0.55,52.11,64.54,0.85,54.88,1.053
worker-243,piece_rate,1.03,0.25,0.0,0.0,0.22,0.35,51.16,64.94,0.852,55.31,1.081
worker-244,employer_return,1.03,0.25,0.65,0.55,0.0,0.5,52.48,65.1,0.854,55.59,1.059
worker-245,control,0.82,0.35,0.0,0.0,0.0,0.15,51.7,58.04,0.872,50.62,0.979
worker-246,cash_gift,0.82,0.35,1.0,0.0,0.0,0.45,55.37,59.61,0.86,51.27,0.926
worker-247,noncash_gift,0.82,0.35,0.85,0.35,0.0,0.55,56.4,60.68,0.878,53.29,0.945
worker-248,piece_rate,0.82,0.35,0.0,0.0,0.22,0.35,54.56,60.8,0.88,53.49,0.98
worker-249,employer_return,0.82,0.35,0.65,0.55,0.0,0.5,56.56,61.11,0.882,53.89,0.953
worker-250,control,0.855,0.45,0.0,0.0,0.0,0.15,44.6,55.83,0.76,42.43,0.951
worker-251,cash_gift,0.855,0.45,1.0,0.0,0.0,0.45,49.33,57.93,0.748,43.33,0.878
worker-252,noncash_gift,0.855,0.45,0.85,0.35,0.0,0.55,50.19,58.95,0.766,45.17,0.9
worker-253,piece_rate,0.855,0.45,0.0,0.0,0.22,0.35,47.46,58.64,0.768,45.02,0.949
worker-254,employer_return,0.855,0.45,0.65,0.55,0.0,0.5,50.15,59.29,0.77,45.64,0.91
