worker_id,regime,skill,relationship_capital,evaluation_weight,discretion,influence_activity,productive_effort,objective_output,subjective_rating,pay_index
eval-worker-020,subjective_high_discretion,0.99,0.2,0.62,0.58,5.24,75.48,64.91,1.606,50.16
eval-worker-021,objective_metric,1.025,0.28,0.15,0.1,5.62,77.87,70.08,0.767,46.47
eval-worker-022,subjective_low_discretion,1.025,0.28,0.38,0.32,6.26,75.58,68.02,1.271,48.08
eval-worker-023,subjective_high_discretion,1.025,0.28,0.62,0.58,6.94,75.28,67.75,1.995,53.94
eval-worker-024,objective_metric,0.78,0.36,0.15,0.1,6.94,73.36,57.22,0.734,38.07
eval-worker-025,subjective_low_discretion,0.78,0.36,0.38,0.32,7.77,70.98,55.37,1.366,40.14
eval-worker-026,subjective_high_discretion,0.78,0.36,0.62,0.58,8.63,70.6,55.06,2.271,47.06
eval-worker-027,objective_metric,0.815,0.44,0.15,0.1,4.66,74.94,61.45,0.698,40.78
eval-worker-028,subjective_low_discretion,0.815,0.44,0.38,0.32,5.67,72.49,59.44,1.169,42.19
eval-worker-029,subjective_high_discretion,0.815,0.44,0.62,0.58,6.73,72.01,59.05,1.917,47.89
eval-worker-030,objective_metric,0.85,0.52,0.15,0.1,5.98,74.91,64.42,0.781,42.81
eval-worker-031,subjective_low_discretion,0.85,0.52,0.38,0.32,7.18,72.37,62.24,1.377,44.64
eval-worker-032,subjective_high_discretion,0.85,0.52,0.62,0.58,8.42,71.81,61.76,2.305,51.58
eval-worker-033,objective_metric,0.885,0.6,0.15,0.1,7.3,74.88,67.39,0.865,44.84
eval-worker-034,subjective_low_discretion,0.885,0.6,0.38,0.32,8.68,72.25,65.03,1.585,47.09
eval-worker-035,subjective_high_discretion,0.885,0.6,0.62,0.58,10.12,71.61,64.45,2.694,55.25
eval-worker-036,objective_metric,0.92,0.2,0.15,0.1,4.3,76.78,59.89,0.63,39.69
eval-worker-037,subjective_low_discretion,0.92,0.2,0.38,0.32,4.76,74.58,58.17,1.011,40.88
eval-worker-038,subjective_high_discretion,0.92,0.2,0.62,0.58,5.24,74.36,58.0,1.555,45.42
eval-worker-039,objective_metric,0.955,0.28,0.15,0.1,5.62,76.75,62.94,0.714,41.77
eval-worker-040,subjective_low_discretion,0.955,0.28,0.38,0.32,6.26,74.46,61.06,1.22,43.4
eval-worker-041,subjective_high_discretion,0.955,0.28,0.62,0.58,6.94,74.16,60.81,1.945,49.17
eval-worker-042,objective_metric,0.99,0.36,0.15,0.1,6.94,76.72,65.98,0.798,43.84
eval-worker-043,subjective_low_discretion,0.99,0.36,0.38,0.32,7.77,74.34,63.94,1.429,45.9
eval-worker-044,subjective_high_discretion,0.99,0.36,0.62,0.58,8.63,73.96,63.6,2.334,52.92
eval-worker-045,objective_metric,1.025,0.44,0.15,0.1,4.66,78.3,70.47,0.764,46.72
eval-worker-046,subjective_low_discretion,1.025,0.44,0.38,0.32,5.67,75.85,68.26,1.233,48.12
eval-worker-047,subjective_high_discretion,1.025,0.44,0.62,0.58,6.73,75.37,67.84,1.981,53.92
eval-worker-048,objective_metric,0.78,0.52,0.15,0.1,5.98,73.79,57.56,0.731,38.29
eval-worker-049,subjective_low_discretion,0.78,0.52,0.38,0.32,7.18,71.25,55.58,1.328,40.16
eval-worker-050,subjective_high_discretion,0.78,0.52,0.62,0.58,8.42,70.69,55.14,2.257,47.03
eval-worker-051,objective_metric,0.815,0.6,0.15,0.1,7.3,73.76,60.48,0.814,40.29
eval-worker-052,subjective_low_discretion,0.815,0.6,0.38,0.32,8.68,71.13,58.33,1.536,42.58
eval-worker-053,subjective_high_discretion,0.815,0.6,0.62,0.58,10.12,70.49,57.8,2.645,50.69
eval-worker-054,objective_metric,0.85,0.2,0.15,0.1,4.3,75.66,65.07,0.668,43.1
eval-worker-055,subjective_low_discretion,0.85,0.2,0.38,0.32,4.76,73.46,63.17,1.048,44.25
eval-worker-056,subjective_high_discretion,0.85,0.2,0.62,0.58,5.24,73.24,62.99,1.592,48.84
eval-worker-057,objective_metric,0.885,0.28,0.15,0.1,5.62,75.63,68.07,0.752,45.15
eval-worker-058,subjective_low_discretion,0.885,0.28,0.38,0.32,6.26,73.34,66.01,1.256,46.72
eval-worker-059,subjective_high_discretion,0.885,0.28,0.62,0.58,6.94,73.04,65.73,1.981,52.55
eval-worker-060,objective_metric,0.92,0.36,0.15,0.1,6.94,75.6,58.97,0.747,39.22
eval-worker-061,subjective_low_discretion,0.92,0.36,0.38,0.32,7.77,73.22,57.12,1.379,41.32
eval-worker-062,subjective_high_discretion,0.92,0.36,0.62,0.58,8.63,72.84,56.81,2.284,48.26
eval-worker-063,objective_metric,0.955,0.44,0.15,0.1,4.66,77.18,63.29,0.711,41.99
eval-worker-064,subjective_low_discretion,0.955,0.44,0.38,0.32,5.67,74.73,61.28,1.182,43.42
eval-worker-065,subjective_high_discretion,0.955,0.44,0.62,0.58,6.73,74.25,60.89,1.931,49.15
eval-worker-066,objective_metric,0.99,0.52,0.15,0.1,5.98,77.15,66.35,0.795,44.08
eval-worker-067,subjective_low_discretion,0.99,0.52,0.38,0.32,7.18,74.61,64.17,1.391,45.94
eval-worker-068,subjective_high_discretion,0.99,0.52,0.62,0.58,8.42,74.05,63.68,2.32,52.9
eval-worker-069,objective_metric,1.025,0.6,0.15,0.1,7.3,77.12,69.4,0.88,46.17
eval-worker-070,subjective_low_discretion,1.025,0.6,0.38,0.32,8.68,74.49,67.04,1.6,48.44
eval-worker-071,subjective_high_discretion,1.025,0.6,0.62,0.58,10.12,73.85,66.46,2.708,56.63
eval-worker-072,objective_metric,0.78,0.2,0.15,0.1,4.3,74.55,58.15,0.617,38.53
eval-worker-073,subjective_low_discretion,0.78,0.2,0.38,0.32,4.76,72.34,56.42,0.998,39.71
eval-worker-074,subjective_high_discretion,0.78,0.2,0.62,0.58,5.24,72.12,56.26,1.543,44.22
eval-worker-075,objective_metric,0.815,0.28,0.15,0.1,5.62,74.51,61.1,0.701,40.56
eval-worker-076,subjective_low_discretion,0.815,0.28,0.38,0.32,6.26,72.22,59.22,1.206,42.16
eval-worker-077,subjective_high_discretion,0.815,0.28,0.62,0.58,6.94,71.92,58.97,1.931,47.91
eval-worker-078,objective_metric,0.85,0.36,0.15,0.1,6.94,74.48,64.05,0.784,42.57
eval-worker-079,subjective_low_discretion,0.85,0.36,0.38,0.32,7.77,72.1,62.01,1.414,44.61
eval-worker-080,subjective_high_discretion,0.85,0.36,0.62,0.58,8.63,71.72,61.68,2.319,51.59
eval-worker-081,objective_metric,0.885,0.44,0.15,0.1,4.66,76.06,68.46,0.749,45.4
eval-worker-082,subjective_low_discretion,0.885,0.44,0.38,0.32,5.67,73.61,66.25,1.218,46.76
eval-worker-083,subjective_high_discretion,0.885,0.44,0.62,0.58,6.73,73.13,65.82,1.967,52.54
eval-worker-084,objective_metric,0.92,0.52,0.15,0.1,5.98,76.03,59.3,0.744,39.44
eval-worker-085,subjective_low_discretion,0.92,0.52,0.38,0.32,7.18,73.49,57.32,1.341,41.34
eval-worker-086,subjective_high_discretion,0.92,0.52,0.62,0.58,8.42,72.93,56.88,2.27,48.23
eval-worker-087,objective_metric,0.955,0.6,0.15,0.1,7.3,76.0,62.32,0.828,41.5
eval-worker-088,subjective_low_discretion,0.955,0.6,0.38,0.32,8.68,73.37,60.17,1.549,43.82
eval-worker-089,subjective_high_discretion,0.955,0.6,0.62,0.58,10.12,72.73,59.64,2.658,51.95
eval-worker-090,objective_metric,0.99,0.2,0.15,0.1,4.3,77.91,67.0,0.682,44.37
eval-worker-091,subjective_low_discretion,0.99,0.2,0.38,0.32,4.76,75.7,65.1,1.062,45.54
eval-worker-092,subjective_high_discretion,0.99,0.2,0.62,0.58,5.24,75.48,64.91,1.606,50.16
eval-worker-093,objective_metric,1.025,0.28,0.15,0.1,5.62,77.87,70.08,0.767,46.47
eval-worker-094,subjective_low_discretion,1.025,0.28,0.38,0.32,6.26,75.58,68.02,1.271,48.08
eval-worker-095,subjective_high_discretion,1.025,0.28,0.62,0.58,6.94,75.28,67.75,1.995,53.94
eval-worker-096,objective_metric,0.78,0.36,0.15,0.1,6.94,73.36,57.22,0.734,38.07
eval-worker-097,subjective_low_discretion,0.78,0.36,0.38,0.32,7.77,70.98,55.37,1.366,40.14
eval-worker-098,subjective_high_discretion,0.78,0.36,0.62,0.58,8.63,70.6,55.06,2.271,47.06
eval-worker-099,objective_metric,0.815,0.44,0.15,0.1,4.66,74.94,61.45,0.698,40.78
eval-worker-100,subjective_low_discretion,0.815,0.44,0.38,0.32,5.67,72.49,59.44,1.169,42.19
eval-worker-101,subjective_high_discretion,0.815,0.44,0.62,0.58,6.73,72.01,59.05,1.917,47.89
eval-worker-102,objective_metric,0.85,0.52,0.15,0.1,5.98,74.91,64.42,0.781,42.81
eval-worker-103,subjective_low_discretion,0.85,0.52,0.38,0.32,7.18,72.37,62.24,1.377,44.64
eval-worker-104,subjective_high_discretion,0.85,0.52,0.62,0.58,8.42,71.81,61.76,2.305,51.58
eval-worker-105,objective_metric,0.885,0.6,0.15,0.1,7.3,74.88,67.39,0.865,44.84
eval-worker-106,subjective_low_discretion,0.885,0.6,0.38,0.32,8.68,72.25,65.03,1.585,47.09
eval-worker-107,subjective_high_discretion,0.885,0.6,0.62,0.58,10.12,71.61,64.45,2.694,55.25
eval-worker-108,objective_metric,0.92,0.2,0.15,0.1,4.3,76.78,59.89,0.63,39.69
eval-worker-109,subjective_low_discretion,0.92,0.2,0.38,0.32,4.76,74.58,58.17,1.011,40.88
eval-worker-110,subjective_high_discretion,0.92,0.2,0.62,0.58,5.24,74.36,58.0,1.555,45.42
eval-worker-111,objective_metric,0.955,0.28,0.15,0.1,5.62,76.75,62.94,0.714,41.77
eval-worker-112,subjective_low_discretion,0.955,0.28,0.38,0.32,6.26,74.46,61.06,1.22,43.4
eval-worker-113,subjective_high_discretion,0.955,0.28,0.62,0.58,6.94,74.16,60.81,1.945,49.17
eval-worker-114,objective_metric,0.99,0.36,0.15,0.1,6.94,76.72,65.98,0.798,43.84
eval-worker-115,subjective_low_discretion,0.99,0.36,0.38,0.32,7.77,74.34,63.94,1.429,45.9
eval-worker-116,subjective_high_discretion,0.99,0.36,0.62,0.58,8.63,73.96,63.6,2.334,52.92
eval-worker-117,objective_metric,1.025,0.44,0.15,0.1,4.66,78.3,70.47,0.764,46.72
eval-worker-118,subjective_low_discretion,1.025,0.44,0.38,0.32,5.67,75.85,68.26,1.233,48.12
eval-worker-119,subjective_high_discretion,1.025,0.44,0.62,0.58,6.73,75.37,67.84,1.981,53.92
eval-worker-120,objective_metric,0.78,0.52,0.15,0.1,5.98,73.79,57.56,0.731,38.29
eval-worker-121,subjective_low_discretion,0.78,0.52,0.38,0.32,7.18,71.25,55.58,1.328,40.16
eval-worker-122,subjective_high_discretion,0.78,0.52,0.62,0.58,8.42,70.69,55.14,2.257,47.03
eval-worker-123,objective_metric,0.815,0.6,0.15,0.1,7.3,73.76,60.48,0.814,40.29
eval-worker-124,subjective_low_discretion,0.815,0.6,0.38,0.32,8.68,71.13,58.33,1.536,42.58
eval-worker-125,subjective_high_discretion,0.815,0.6,0.62,0.58,10.12,70.49,57.8,2.645,50.69
eval-worker-126,objective_metric,0.85,0.2,0.15,0.1,4.3,75.66,65.07,0.668,43.1
eval-worker-127,subjective_low_discretion,0.85,0.2,0.38,0.32,4.76,73.46,63.17,1.048,44.25
eval-worker-128,subjective_high_discretion,0.85,0.2,0.62,0.58,5.24,73.24,62.99,1.592,48.84
eval-worker-129,objective_metric,0.885,0.28,0.15,0.1,5.62,75.63,68.07,0.752,45.15
eval-worker-130,subjective_low_discretion,0.885,0.28,0.38,0.32,6.26,73.34,66.01,1.256,46.72
eval-worker-131,subjective_high_discretion,0.885,0.28,0.62,0.58,6.94,73.04,65.73,1.981,52.55
eval-worker-132,objective_metric,0.92,0.36,0.15,0.1,6.94,75.6,58.97,0.747,39.22
eval-worker-133,subjective_low_discretion,0.92,0.36,0.38,0.32,7.77,73.22,57.12,1.379,41.32
eval-worker-134,subjective_high_discretion,0.92,0.36,0.62,0.58,8.63,72.84,56.81,2.284,48.26
eval-worker-135,objective_metric,0.955,0.44,0.15,0.1,4.66,77.18,63.29,0.711,41.99
eval-worker-136,subjective_low_discretion,0.955,0.44,0.38,0.32,5.67,74.73,61.28,1.182,43.42
eval-worker-137,subjective_high_discretion,0.955,0.44,0.62,0.58,6.73,74.25,60.89,1.931,49.15
eval-worker-138,objective_metric,0.99,0.52,0.15,0.1,5.98,77.15,66.35,0.795,44.08
eval-worker-139,subjective_low_discretion,0.99,0.52,0.38,0.32,7.18,74.61,64.17,1.391,45.94
eval-worker-140,subjective_high_discretion,0.99,0.52,0.62,0.58,8.42,74.05,63.68,2.32,52.9
eval-worker-141,objective_metric,1.025,0.6,0.15,0.1,7.3,77.12,69.4,0.88,46.17
eval-worker-142,subjective_low_discretion,1.025,0.6,0.38,0.32,8.68,74.49,67.04,1.6,48.44
eval-worker-143,subjective_high_discretion,1.025,0.6,0.62,0.58,10.12,73.85,66.46,2.708,56.63
eval-worker-144,objective_metric,0.78,0.2,0.15,0.1,4.3,74.55,58.15,0.617,38.53
eval-worker-145,subjective_low_discretion,0.78,0.2,0.38,0.32,4.76,72.34,56.42,0.998,39.71
eval-worker-146,subjective_high_discretion,0.78,0.2,0.62,0.58,5.24,72.12,56.26,1.543,44.22
eval-worker-147,objective_metric,0.815,0.28,0.15,0.1,5.62,74.51,61.1,0.701,40.56
eval-worker-148,subjective_low_discretion,0.815,0.28,0.38,0.32,6.26,72.22,59.22,1.206,42.16
eval-worker-149,subjective_high_discretion,0.815,0.28,0.62,0.58,6.94,71.92,58.97,1.931,47.91
eval-worker-150,objective_metric,0.85,0.36,0.15,0.1,6.94,74.48,64.05,0.784,42.57
eval-worker-151,subjective_low_discretion,0.85,0.36,0.38,0.32,7.77,72.1,62.01,1.414,44.61
eval-worker-152,subjective_high_discretion,0.85,0.36,0.62,0.58,8.63,71.72,61.68,2.319,51.59
eval-worker-153,objective_metric,0.885,0.44,0.15,0.1,4.66,76.06,68.46,0.749,45.4
eval-worker-154,subjective_low_discretion,0.885,0.44,0.38,0.32,5.67,73.61,66.25,1.218,46.76
eval-worker-155,subjective_high_discretion,0.885,0.44,0.62,0.58,6.73,73.13,65.82,1.967,52.54
eval-worker-156,objective_metric,0.92,0.52,0.15,0.1,5.98,76.03,59.3,0.744,39.44
eval-worker-157,subjective_low_discretion,0.92,0.52,0.38,0.32,7.18,73.49,57.32,1.341,41.34
eval-worker-158,subjective_high_discretion,0.92,0.52,0.62,0.58,8.42,72.93,56.88,2.27,48.23
eval-worker-159,objective_metric,0.955,0.6,0.15,0.1,7.3,76.0,62.32,0.828,41.5
eval-worker-160,subjective_low_discretion,0.955,0.6,0.38,0.32,8.68,73.37,60.17,1.549,43.82
eval-worker-161,subjective_high_discretion,0.955,0.6,0.62,0.58,10.12,72.73,59.64,2.658,51.95
eval-worker-162,objective_metric,0.99,0.2,0.15,0.1,4.3,77.91,67.0,0.682,44.37
eval-worker-163,subjective_low_discretion,0.99,0.2,0.38,0.32,4.76,75.7,65.1,1.062,45.54
eval-worker-164,subjective_high_discretion,0.99,0.2,0.62,0.58,5.24,75.48,64.91,1.606,50.16
eval-worker-165,objective_metric,1.025,0.28,0.15,0.1,5.62,77.87,70.08,0.767,46.47
eval-worker-166,subjective_low_discretion,1.025,0.28,0.38,0.32,6.26,75.58,68.02,1.271,48.08
eval-worker-167,subjective_high_discretion,1.025,0.28,0.62,0.58,6.94,75.28,67.75,1.995,53.94
eval-worker-168,objective_metric,0.78,0.36,0.15,0.1,6.94,73.36,57.22,0.734,38.07
eval-worker-169,subjective_low_discretion,0.78,0.36,0.38,0.32,7.77,70.98,55.37,1.366,40.14
eval-worker-170,subjective_high_discretion,0.78,0.36,0.62,0.58,8.63,70.6,55.06,2.271,47.06
eval-worker-171,objective_metric,0.815,0.44,0.15,0.1,4.66,74.94,61.45,0.698,40.78
eval-worker-172,subjective_low_discretion,0.815,0.44,0.38,0.32,5.67,72.49,59.44,1.169,42.19
eval-worker-173,subjective_high_discretion,0.815,0.44,0.62,0.58,6.73,72.01,59.05,1.917,47.89
eval-worker-174,objective_metric,0.85,0.52,0.15,0.1,5.98,74.91,64.42,0.781,42.81
eval-worker-175,subjective_low_discretion,0.85,0.52,0.38,0.32,7.18,72.37,62.24,1.377,44.64
eval-worker-176,subjective_high_discretion,0.85,0.52,0.62,0.58,8.42,71.81,61.76,2.305,51.58
eval-worker-177,objective_metric,0.885,0.6,0.15,0.1,7.3,74.88,67.39,0.865,44.84
eval-worker-178,subjective_low_discretion,0.885,0.6,0.38,0.32,8.68,72.25,65.03,1.585,47.09
eval-worker-179,subjective_high_discretion,0.885,0.6,0.62,0.58,10.12,71.61,64.45,2.694,55.25
eval-worker-180,objective_metric,0.92,0.2,0.15,0.1,4.3,76.78,59.89,0.63,39.69
eval-worker-181,subjective_low_discretion,0.92,0.2,0.38,0.32,4.76,74.58,58.17,1.011,40.88
eval-worker-182,subjective_high_discretion,0.92,0.2,0.62,0.58,5.24,74.36,58.0,1.555,45.42
eval-worker-183,objective_metric,0.955,0.28,0.15,0.1,5.62,76.75,62.94,0.714,41.77
eval-worker-184,subjective_low_discretion,0.955,0.28,0.38,0.32,6.26,74.46,61.06,1.22,43.4
eval-worker-185,subjective_high_discretion,0.955,0.28,0.62,0.58,6.94,74.16,60.81,1.945,49.17
eval-worker-186,objective_metric,0.99,0.36,0.15,0.1,6.94,76.72,65.98,0.798,43.84
eval-worker-187,subjective_low_discretion,0.99,0.36,0.38,0.32,7.77,74.34,63.94,1.429,45.9
eval-worker-188,subjective_high_discretion,0.99,0.36,0.62,0.58,8.63,73.96,63.6,2.334,52.92
eval-worker-189,objective_metric,1.025,0.44,0.15,0.1,4.66,78.3,70.47,0.764,46.72
eval-worker-190,subjective_low_discretion,1.025,0.44,0.38,0.32,5.67,75.85,68.26,1.233,48.12
eval-worker-191,subjective_high_discretion,1.025,0.44,0.62,0.58,6.73,75.37,67.84,1.981,53.92
eval-worker-192,objective_metric,0.78,0.52,0.15,0.1,5.98,73.79,57.56,0.731,38.29
eval-worker-193,subjective_low_discretion,0.78,0.52,0.38,0.32,7.18,71.25,55.58,1.328,40.16
eval-worker-194,subjective_high_discretion,0.78,0.52,0.62,0.58,8.42,70.69,55.14,2.257,47.03
eval-worker-195,objective_metric,0.815,0.6,0.15,0.1,7.3,73.76,60.48,0.814,40.29
eval-worker-196,subjective_low_discretion,0.815,0.6,0.38,0.32,8.68,71.13,58.33,1.536,42.58
eval-worker-197,subjective_high_discretion,0.815,0.6,0.62,0.58,10.12,70.49,57.8,2.645,50.69
eval-worker-198,objective_metric,0.85,0.2,0.15,0.1,4.3,75.66,65.07,0.668,43.1
eval-worker-199,subjective_low_discretion,0.85,0.2,0.38,0.32,4.76,73.46,63.17,1.048,44.25
eval-worker-200,subjective_high_discretion,0.85,0.2,0.62,0.58,5.24,73.24,62.99,1.592,48.84
eval-worker-201,objective_metric,0.885,0.28,0.15,0.1,5.62,75.63,68.07,0.752,45.15
eval-worker-202,subjective_low_discretion,0.885,0.28,0.38,0.32,6.26,73.34,66.01,1.256,46.72
eval-worker-203,subjective_high_discretion,0.885,0.28,0.62,0.58,6.94,73.04,65.73,1.981,52.55
eval-worker-204,objective_metric,0.92,0.36,0.15,0.1,6.94,75.6,58.97,0.747,39.22
eval-worker-205,subjective_low_discretion,0.92,0.36,0.38,0.32,7.77,73.22,57.12,1.379,41.32
eval-worker-206,subjective_high_discretion,0.92,0.36,0.62,0.58,8.63,72.84,56.81,2.284,48.26
eval-worker-207,objective_metric,0.955,0.44,0.15,0.1,4.66,77.18,63.29,0.711,41.99
eval-worker-208,subjective_low_discretion,0.955,0.44,0.38,0.32,5.67,74.73,61.28,1.182,43.42
eval-worker-209,subjective_high_discretion,0.955,0.44,0.62,0.58,6.73,74.25,60.89,1.931,49.15
eval-worker-210,objective_metric,0.99,0.52,0.15,0.1,5.98,77.15,66.35,0.795,44.08
eval-worker-211,subjective_low_discretion,0.99,0.52,0.38,0.32,7.18,74.61,64.17,1.391,45.94
eval-worker-212,subjective_high_discretion,0.99,0.52,0.62,0.58,8.42,74.05,63.68,2.32,52.9
eval-worker-213,objective_metric,1.025,0.6,0.15,0.1,7.3,77.12,69.4,0.88,46.17
eval-worker-214,subjective_low_discretion,1.025,0.6,0.38,0.32,8.68,74.49,67.04,1.6,48.44
eval-worker-215,subjective_high_discretion,1.025,0.6,0.62,0.58,10.12,73.85,66.46,2.708,56.63
eval-worker-216,objective_metric,0.78,0.2,0.15,0.1,4.3,74.55,58.15,0.617,38.53
eval-worker-217,subjective_low_discretion,0.78,0.2,0.38,0.32,4.76,72.34,56.42,0.998,39.71
eval-worker-218,subjective_high_discretion,0.78,0.2,0.62,0.58,5.24,72.12,56.26,1.543,44.22
eval-worker-219,objective_metric,0.815,0.28,0.15,0.1,5.62,74.51,61.1,0.701,40.56
eval-worker-220,subjective_low_discretion,0.815,0.28,0.38,0.32,6.26,72.22,59.22,1.206,42.16
eval-worker-221,subjective_high_discretion,0.815,0.28,0.62,0.58,6.94,71.92,58.97,1.931,47.91
eval-worker-222,objective_metric,0.85,0.36,0.15,0.1,6.94,74.48,64.05,0.784,42.57
eval-worker-223,subjective_low_discretion,0.85,0.36,0.38,0.32,7.77,72.1,62.01,1.414,44.61
eval-worker-224,subjective_high_discretion,0.85,0.36,0.62,0.58,8.63,71.72,61.68,2.319,51.59
eval-worker-225,objective_metric,0.885,0.44,0.15,0.1,4.66,76.06,68.46,0.749,45.4
eval-worker-226,subjective_low_discretion,0.885,0.44,0.38,0.32,5.67,73.61,66.25,1.218,46.76
eval-worker-227,subjective_high_discretion,0.885,0.44,0.62,0.58,6.73,73.13,65.82,1.967,52.54
eval-worker-228,objective_metric,0.92,0.52,0.15,0.1,5.98,76.03,59.3,0.744,39.44
eval-worker-229,subjective_low_discretion,0.92,0.52,0.38,0.32,7.18,73.49,57.32,1.341,41.34
eval-worker-230,subjective_high_discretion,0.92,0.52,0.62,0.58,8.42,72.93,56.88,2.27,48.23
eval-worker-231,objective_metric,0.955,0.6,0.15,0.1,7.3,76.0,62.32,0.828,41.5
eval-worker-232,subjective_low_discretion,0.955,0.6,0.38,0.32,8.68,73.37,60.17,1.549,43.82
eval-worker-233,subjective_high_discretion,0.955,0.6,0.62,0.58,10.12,72.73,59.64,2.658,51.95
eval-worker-234,objective_metric,0.99,0.2,0.15,0.1,4.3,77.91,67.0,0.682,44.37
eval-worker-235,subjective_low_discretion,0.99,0.2,0.38,0.32,4.76,75.7,65.1,1.062,45.54
eval-worker-236,subjective_high_discretion,0.99,0.2,0.62,0.58,5.24,75.48,64.91,1.606,50.16
eval-worker-237,objective_metric,1.025,0.28,0.15,0.1,5.62,77.87,70.08,0.767,46.47
eval-worker-238,subjective_low_discretion,1.025,0.28,0.38,0.32,6.26,75.58,68.02,1.271,48.08
eval-worker-239,subjective_high_discretion,1.025,0.28,0.62,0.58,6.94,75.28,67.75,1.995,53.94
eval-worker-240,objective_metric,0.78,0.36,0.15,0.1,6.94,73.36,57.22,0.734,38.07
eval-worker-241,subjective_low_discretion,0.78,0.36,0.38,0.32,7.77,70.98,55.37,1.366,40.14
eval-worker-242,subjective_high_discretion,0.78,0.36,0.62,0.58,8.63,70.6,55.06,2.271,47.06
eval-worker-243,objective_metric,0.815,0.44,0.15,0.1,4.66,74.94,61.45,0.698,40.78
eval-worker-244,subjective_low_discretion,0.815,0.44,0.38,0.32,5.67,72.49,59.44,1.169,42.19
eval-worker-245,subjective_high_discretion,0.815,0.44,0.62,0.58,6.73,72.01,59.05,1.917,47.89
eval-worker-246,objective_metric,0.85,0.52,0.15,0.1,5.98,74.91,64.42,0.781,42.81
eval-worker-247,subjective_low_discretion,0.85,0.52,0.38,0.32,7.18,72.37,62.24,1.377,44.64
eval-worker-248,subjective_high_discretion,0.85,0.52,0.62,0.58,8.42,71.81,61.76,2.305,51.58
eval-worker-249,objective_metric,0.885,0.6,0.15,0.1,7.3,74.88,67.39,0.865,44.84
eval-worker-250,subjective_low_discretion,0.885,0.6,0.38,0.32,8.68,72.25,65.03,1.585,47.09
eval-worker-251,subjective_high_discretion,0.885,0.6,0.62,0.58,10.12,71.61,64.45,2.694,55.25
eval-worker-252,objective_metric,0.92,0.2,0.15,0.1,4.3,76.78,59.89,0.63,39.69
eval-worker-253,subjective_low_discretion,0.92,0.2,0.38,0.32,4.76,74.58,58.17,1.011,40.88
eval-worker-254,subjective_high_discretion,0.92,0.2,0.62,0.58,5.24,74.36,58.0,1.555,45.42
eval-worker-255,objective_metric,0.955,0.28,0.15,0.1,5.62,76.75,62.94,0.714,41.77
eval-worker-256,subjective_low_discretion,0.955,0.28,0.38,0.32,6.26,74.46,61.06,1.22,43.4
eval-worker-257,subjective_high_discretion,0.955,0.28,0.62,0.58,6.94,74.16,60.81,1.945,49.17
eval-worker-258,objective_metric,0.99,0.36,0.15,0.1,6.94,76.72,65.98,0.798,43.84
eval-worker-259,subjective_low_discretion,0.99,0.36,0.38,0.32,7.77,74.34,63.94,1.429,45.9
eval-worker-260,subjective_high_discretion,0.99,0.36,0.62,0.58,8.63,73.96,63.6,2.334,52.92
eval-worker-261,objective_metric,1.025,0.44,0.15,0.1,4.66,78.3,70.47,0.764,46.72
eval-worker-262,subjective_low_discretion,1.025,0.44,0.38,0.32,5.67,75.85,68.26,1.233,48.12
