worker_id,arm,bonus_rate,monitoring_intensity,feedback_score,digital_visibility,reciprocity_index,relational_motivation,visible_effort,productive_output,compliance_actions,gaming_score
monitor-worker-058,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,87.7,84.26,18.2,0.412
monitor-worker-059,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,89.11,83.35,22.34,0.48
monitor-worker-060,control,0.0,0.12,0.18,0,0.49,0.49,79.5,80.44,9.44,0.176
monitor-worker-061,pay_only,0.2,0.12,0.18,0,0.49,0.49,83.1,84.44,9.44,0.226
monitor-worker-062,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,85.4,81.99,14.96,0.364
monitor-worker-063,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,89.5,86.34,15.2,0.412
monitor-worker-064,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,90.91,85.43,19.34,0.48
monitor-worker-065,control,0.0,0.12,0.18,0,0.56,0.56,81.3,82.52,10.44,0.176
monitor-worker-066,pay_only,0.2,0.12,0.18,0,0.56,0.56,84.9,86.52,10.44,0.226
monitor-worker-067,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,87.2,84.07,15.96,0.364
monitor-worker-068,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,91.3,88.42,16.2,0.412
monitor-worker-069,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,92.71,87.51,20.34,0.48
monitor-worker-070,control,0.0,0.12,0.18,0,0.63,0.63,83.1,84.6,11.44,0.176
monitor-worker-071,pay_only,0.2,0.12,0.18,0,0.63,0.63,86.7,88.6,11.44,0.226
monitor-worker-072,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,89.0,86.15,16.96,0.364
monitor-worker-073,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,93.1,90.5,17.2,0.412
monitor-worker-074,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,94.51,89.59,21.34,0.48
monitor-worker-075,control,0.0,0.12,0.18,0,0.35,0.35,84.9,85.28,12.44,0.176
monitor-worker-076,pay_only,0.2,0.12,0.18,0,0.35,0.35,88.5,89.28,12.44,0.226
monitor-worker-077,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,90.8,86.83,17.96,0.364
monitor-worker-078,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,94.9,91.18,18.2,0.412
monitor-worker-079,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,96.31,90.27,22.34,0.48
monitor-worker-080,control,0.0,0.12,0.18,0,0.42,0.42,86.7,87.36,9.44,0.176
monitor-worker-081,pay_only,0.2,0.12,0.18,0,0.42,0.42,90.3,91.36,9.44,0.226
monitor-worker-082,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,92.6,88.91,14.96,0.364
monitor-worker-083,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,96.7,93.26,15.2,0.412
monitor-worker-084,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,98.11,92.35,19.34,0.48
monitor-worker-085,control,0.0,0.12,0.18,0,0.49,0.49,88.5,89.44,10.44,0.176
monitor-worker-086,pay_only,0.2,0.12,0.18,0,0.49,0.49,92.1,93.44,10.44,0.226
monitor-worker-087,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,94.4,90.99,15.96,0.364
monitor-worker-088,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,98.5,95.34,16.2,0.412
monitor-worker-089,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,99.91,94.43,20.34,0.48
monitor-worker-090,control,0.0,0.12,0.18,0,0.56,0.56,74.1,75.32,11.44,0.176
monitor-worker-091,pay_only,0.2,0.12,0.18,0,0.56,0.56,77.7,79.32,11.44,0.226
monitor-worker-092,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,80.0,76.87,16.96,0.364
monitor-worker-093,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,84.1,81.22,17.2,0.412
monitor-worker-094,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,85.51,80.31,21.34,0.48
monitor-worker-095,control,0.0,0.12,0.18,0,0.63,0.63,75.9,77.4,12.44,0.176
monitor-worker-096,pay_only,0.2,0.12,0.18,0,0.63,0.63,79.5,81.4,12.44,0.226
monitor-worker-097,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,81.8,78.95,17.96,0.364
monitor-worker-098,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,85.9,83.3,18.2,0.412
monitor-worker-099,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,87.31,82.39,22.34,0.48
monitor-worker-100,control,0.0,0.12,0.18,0,0.35,0.35,77.7,78.08,9.44,0.176
monitor-worker-101,pay_only,0.2,0.12,0.18,0,0.35,0.35,81.3,82.08,9.44,0.226
monitor-worker-102,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,83.6,79.63,14.96,0.364
monitor-worker-103,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,87.7,83.98,15.2,0.412
monitor-worker-104,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,89.11,83.07,19.34,0.48
monitor-worker-105,control,0.0,0.12,0.18,0,0.42,0.42,79.5,80.16,10.44,0.176
monitor-worker-106,pay_only,0.2,0.12,0.18,0,0.42,0.42,83.1,84.16,10.44,0.226
monitor-worker-107,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,85.4,81.71,15.96,0.364
monitor-worker-108,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,89.5,86.06,16.2,0.412
monitor-worker-109,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,90.91,85.15,20.34,0.48
monitor-worker-110,control,0.0,0.12,0.18,0,0.49,0.49,81.3,82.24,11.44,0.176
monitor-worker-111,pay_only,0.2,0.12,0.18,0,0.49,0.49,84.9,86.24,11.44,0.226
monitor-worker-112,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,87.2,83.79,16.96,0.364
monitor-worker-113,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,91.3,88.14,17.2,0.412
monitor-worker-114,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,92.71,87.23,21.34,0.48
monitor-worker-115,control,0.0,0.12,0.18,0,0.56,0.56,83.1,84.32,12.44,0.176
monitor-worker-116,pay_only,0.2,0.12,0.18,0,0.56,0.56,86.7,88.32,12.44,0.226
monitor-worker-117,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,89.0,85.87,17.96,0.364
monitor-worker-118,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,93.1,90.22,18.2,0.412
monitor-worker-119,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,94.51,89.31,22.34,0.48
monitor-worker-120,control,0.0,0.12,0.18,0,0.63,0.63,84.9,86.4,9.44,0.176
monitor-worker-121,pay_only,0.2,0.12,0.18,0,0.63,0.63,88.5,90.4,9.44,0.226
monitor-worker-122,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,90.8,87.95,14.96,0.364
monitor-worker-123,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,94.9,92.3,15.2,0.412
monitor-worker-124,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,96.31,91.39,19.34,0.48
monitor-worker-125,control,0.0,0.12,0.18,0,0.35,0.35,86.7,87.08,10.44,0.176
monitor-worker-126,pay_only,0.2,0.12,0.18,0,0.35,0.35,90.3,91.08,10.44,0.226
monitor-worker-127,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,92.6,88.63,15.96,0.364
monitor-worker-128,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,96.7,92.98,16.2,0.412
monitor-worker-129,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,98.11,92.07,20.34,0.48
monitor-worker-130,control,0.0,0.12,0.18,0,0.42,0.42,88.5,89.16,11.44,0.176
monitor-worker-131,pay_only,0.2,0.12,0.18,0,0.42,0.42,92.1,93.16,11.44,0.226
monitor-worker-132,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,94.4,90.71,16.96,0.364
monitor-worker-133,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,98.5,95.06,17.2,0.412
monitor-worker-134,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,99.91,94.15,21.34,0.48
monitor-worker-135,control,0.0,0.12,0.18,0,0.49,0.49,74.1,75.04,12.44,0.176
monitor-worker-136,pay_only,0.2,0.12,0.18,0,0.49,0.49,77.7,79.04,12.44,0.226
monitor-worker-137,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,80.0,76.59,17.96,0.364
monitor-worker-138,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,84.1,80.94,18.2,0.412
monitor-worker-139,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,85.51,80.03,22.34,0.48
monitor-worker-140,control,0.0,0.12,0.18,0,0.56,0.56,75.9,77.12,9.44,0.176
monitor-worker-141,pay_only,0.2,0.12,0.18,0,0.56,0.56,79.5,81.12,9.44,0.226
monitor-worker-142,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,81.8,78.67,14.96,0.364
monitor-worker-143,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,85.9,83.02,15.2,0.412
monitor-worker-144,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,87.31,82.11,19.34,0.48
monitor-worker-145,control,0.0,0.12,0.18,0,0.63,0.63,77.7,79.2,10.44,0.176
monitor-worker-146,pay_only,0.2,0.12,0.18,0,0.63,0.63,81.3,83.2,10.44,0.226
monitor-worker-147,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,83.6,80.75,15.96,0.364
monitor-worker-148,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,87.7,85.1,16.2,0.412
monitor-worker-149,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,89.11,84.19,20.34,0.48
monitor-worker-150,control,0.0,0.12,0.18,0,0.35,0.35,79.5,79.88,11.44,0.176
monitor-worker-151,pay_only,0.2,0.12,0.18,0,0.35,0.35,83.1,83.88,11.44,0.226
monitor-worker-152,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,85.4,81.43,16.96,0.364
monitor-worker-153,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,89.5,85.78,17.2,0.412
monitor-worker-154,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,90.91,84.87,21.34,0.48
monitor-worker-155,control,0.0,0.12,0.18,0,0.42,0.42,81.3,81.96,12.44,0.176
monitor-worker-156,pay_only,0.2,0.12,0.18,0,0.42,0.42,84.9,85.96,12.44,0.226
monitor-worker-157,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,87.2,83.51,17.96,0.364
monitor-worker-158,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,91.3,87.86,18.2,0.412
monitor-worker-159,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,92.71,86.95,22.34,0.48
monitor-worker-160,control,0.0,0.12,0.18,0,0.49,0.49,83.1,84.04,9.44,0.176
monitor-worker-161,pay_only,0.2,0.12,0.18,0,0.49,0.49,86.7,88.04,9.44,0.226
monitor-worker-162,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,89.0,85.59,14.96,0.364
monitor-worker-163,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,93.1,89.94,15.2,0.412
monitor-worker-164,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,94.51,89.03,19.34,0.48
monitor-worker-165,control,0.0,0.12,0.18,0,0.56,0.56,84.9,86.12,10.44,0.176
monitor-worker-166,pay_only,0.2,0.12,0.18,0,0.56,0.56,88.5,90.12,10.44,0.226
monitor-worker-167,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,90.8,87.67,15.96,0.364
monitor-worker-168,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,94.9,92.02,16.2,0.412
monitor-worker-169,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,96.31,91.11,20.34,0.48
monitor-worker-170,control,0.0,0.12,0.18,0,0.63,0.63,86.7,88.2,11.44,0.176
monitor-worker-171,pay_only,0.2,0.12,0.18,0,0.63,0.63,90.3,92.2,11.44,0.226
monitor-worker-172,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,92.6,89.75,16.96,0.364
monitor-worker-173,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,96.7,94.1,17.2,0.412
monitor-worker-174,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,98.11,93.19,21.34,0.48
monitor-worker-175,control,0.0,0.12,0.18,0,0.35,0.35,88.5,88.88,12.44,0.176
monitor-worker-176,pay_only,0.2,0.12,0.18,0,0.35,0.35,92.1,92.88,12.44,0.226
monitor-worker-177,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,94.4,90.43,17.96,0.364
monitor-worker-178,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,98.5,94.78,18.2,0.412
monitor-worker-179,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,99.91,93.87,22.34,0.48
monitor-worker-180,control,0.0,0.12,0.18,0,0.42,0.42,74.1,74.76,9.44,0.176
monitor-worker-181,pay_only,0.2,0.12,0.18,0,0.42,0.42,77.7,78.76,9.44,0.226
monitor-worker-182,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,80.0,76.31,14.96,0.364
monitor-worker-183,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,84.1,80.66,15.2,0.412
monitor-worker-184,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,85.51,79.75,19.34,0.48
monitor-worker-185,control,0.0,0.12,0.18,0,0.49,0.49,75.9,76.84,10.44,0.176
monitor-worker-186,pay_only,0.2,0.12,0.18,0,0.49,0.49,79.5,80.84,10.44,0.226
monitor-worker-187,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,81.8,78.39,15.96,0.364
monitor-worker-188,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,85.9,82.74,16.2,0.412
monitor-worker-189,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,87.31,81.83,20.34,0.48
monitor-worker-190,control,0.0,0.12,0.18,0,0.56,0.56,77.7,78.92,11.44,0.176
monitor-worker-191,pay_only,0.2,0.12,0.18,0,0.56,0.56,81.3,82.92,11.44,0.226
monitor-worker-192,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,83.6,80.47,16.96,0.364
monitor-worker-193,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,87.7,84.82,17.2,0.412
monitor-worker-194,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,89.11,83.91,21.34,0.48
monitor-worker-195,control,0.0,0.12,0.18,0,0.63,0.63,79.5,81.0,12.44,0.176
monitor-worker-196,pay_only,0.2,0.12,0.18,0,0.63,0.63,83.1,85.0,12.44,0.226
monitor-worker-197,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,85.4,82.55,17.96,0.364
monitor-worker-198,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,89.5,86.9,18.2,0.412
monitor-worker-199,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,90.91,85.99,22.34,0.48
monitor-worker-200,control,0.0,0.12,0.18,0,0.35,0.35,81.3,81.68,9.44,0.176
monitor-worker-201,pay_only,0.2,0.12,0.18,0,0.35,0.35,84.9,85.68,9.44,0.226
monitor-worker-202,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,87.2,83.23,14.96,0.364
monitor-worker-203,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,91.3,87.58,15.2,0.412
monitor-worker-204,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,92.71,86.67,19.34,0.48
monitor-worker-205,control,0.0,0.12,0.18,0,0.42,0.42,83.1,83.76,10.44,0.176
monitor-worker-206,pay_only,0.2,0.12,0.18,0,0.42,0.42,86.7,87.76,10.44,0.226
monitor-worker-207,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,89.0,85.31,15.96,0.364
monitor-worker-208,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,93.1,89.66,16.2,0.412
monitor-worker-209,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,94.51,88.75,20.34,0.48
monitor-worker-210,control,0.0,0.12,0.18,0,0.49,0.49,84.9,85.84,11.44,0.176
monitor-worker-211,pay_only,0.2,0.12,0.18,0,0.49,0.49,88.5,89.84,11.44,0.226
monitor-worker-212,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,90.8,87.39,16.96,0.364
monitor-worker-213,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,94.9,91.74,17.2,0.412
monitor-worker-214,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,96.31,90.83,21.34,0.48
monitor-worker-215,control,0.0,0.12,0.18,0,0.56,0.56,86.7,87.92,12.44,0.176
monitor-worker-216,pay_only,0.2,0.12,0.18,0,0.56,0.56,90.3,91.92,12.44,0.226
monitor-worker-217,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,92.6,89.47,17.96,0.364
monitor-worker-218,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,96.7,93.82,18.2,0.412
monitor-worker-219,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,98.11,92.91,22.34,0.48
monitor-worker-220,control,0.0,0.12,0.18,0,0.63,0.63,88.5,90.0,9.44,0.176
monitor-worker-221,pay_only,0.2,0.12,0.18,0,0.63,0.63,92.1,94.0,9.44,0.226
monitor-worker-222,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,94.4,91.55,14.96,0.364
monitor-worker-223,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,98.5,95.9,15.2,0.412
monitor-worker-224,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,99.91,94.99,19.34,0.48
monitor-worker-225,control,0.0,0.12,0.18,0,0.35,0.35,74.1,74.48,10.44,0.176
monitor-worker-226,pay_only,0.2,0.12,0.18,0,0.35,0.35,77.7,78.48,10.44,0.226
monitor-worker-227,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,80.0,76.03,15.96,0.364
monitor-worker-228,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,84.1,80.38,16.2,0.412
monitor-worker-229,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,85.51,79.47,20.34,0.48
monitor-worker-230,control,0.0,0.12,0.18,0,0.42,0.42,75.9,76.56,11.44,0.176
monitor-worker-231,pay_only,0.2,0.12,0.18,0,0.42,0.42,79.5,80.56,11.44,0.226
monitor-worker-232,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,81.8,78.11,16.96,0.364
monitor-worker-233,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,85.9,82.46,17.2,0.412
monitor-worker-234,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,87.31,81.55,21.34,0.48
monitor-worker-235,control,0.0,0.12,0.18,0,0.49,0.49,77.7,78.64,12.44,0.176
monitor-worker-236,pay_only,0.2,0.12,0.18,0,0.49,0.49,81.3,82.64,12.44,0.226
monitor-worker-237,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,83.6,80.19,17.96,0.364
monitor-worker-238,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,87.7,84.54,18.2,0.412
monitor-worker-239,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,89.11,83.63,22.34,0.48
monitor-worker-240,control,0.0,0.12,0.18,0,0.56,0.56,79.5,80.72,9.44,0.176
monitor-worker-241,pay_only,0.2,0.12,0.18,0,0.56,0.56,83.1,84.72,9.44,0.226
monitor-worker-242,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,85.4,82.27,14.96,0.364
monitor-worker-243,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,89.5,86.62,15.2,0.412
monitor-worker-244,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,90.91,85.71,19.34,0.48
monitor-worker-245,control,0.0,0.12,0.18,0,0.63,0.63,81.3,82.8,10.44,0.176
monitor-worker-246,pay_only,0.2,0.12,0.18,0,0.63,0.63,84.9,86.8,10.44,0.226
monitor-worker-247,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,87.2,84.35,15.96,0.364
monitor-worker-248,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,91.3,88.7,16.2,0.412
monitor-worker-249,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,92.71,87.79,20.34,0.48
monitor-worker-250,control,0.0,0.12,0.18,0,0.35,0.35,83.1,83.48,11.44,0.176
monitor-worker-251,pay_only,0.2,0.12,0.18,0,0.35,0.35,86.7,87.48,11.44,0.226
monitor-worker-252,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,89.0,85.03,16.96,0.364
monitor-worker-253,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,93.1,89.38,17.2,0.412
monitor-worker-254,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,94.51,88.47,21.34,0.48
monitor-worker-255,control,0.0,0.12,0.18,0,0.42,0.42,84.9,85.56,12.44,0.176
monitor-worker-256,pay_only,0.2,0.12,0.18,0,0.42,0.42,88.5,89.56,12.44,0.226
monitor-worker-257,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,90.8,87.11,17.96,0.364
monitor-worker-258,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,94.9,91.46,18.2,0.412
monitor-worker-259,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,96.31,90.55,22.34,0.48
monitor-worker-260,control,0.0,0.12,0.18,0,0.49,0.49,86.7,87.64,9.44,0.176
