mechanism,applicant_id,assigned_program,preference_rank,top_three_assignment,priority_alignment_index,affinity_index,training_value_index,shortage_pressure_index,location_fit,match_quality_index,worker_welfare_index,program_staffing_value_index,equilibrium_pressure_index,outside_option_index
early_offers,A036,Harbor Teaching,3,1,0.759,0.78,0.86,0.41,0,0.832,0.636,0.657,0.319,0.26
early_offers,A037,North County,4,0,0.617,0.85,0.7,0.68,0,0.776,0.571,0.688,0.485,0.55
early_offers,A038,North County,2,1,0.655,0.93,0.7,0.68,0,0.845,0.689,0.736,0.446,0.84
early_offers,A039,Riverside Public,3,1,0.642,0.53,0.74,0.72,1,0.725,0.698,0.673,0.45,0.48
early_offers,A040,Central Research,1,1,0.754,0.86,0.9,0.29,1,0.898,0.865,0.671,0.324,0.77
early_offers,A041,Valley Service,6,0,0.639,0.67,0.62,0.84,0,0.681,0.493,0.755,0.499,0.41
early_offers,A042,Riverside Public,1,1,0.648,0.83,0.74,0.72,1,0.844,0.854,0.675,0.384,0.7
early_offers,A043,Harbor Teaching,1,1,0.782,0.73,0.86,0.41,1,0.864,0.849,0.7,0.3,0.34
early_offers,A044,Prairie Regional,5,0,0.527,0.65,0.66,0.79,0,0.68,0.501,0.716,0.54,0.63
early_offers,A045,North County,3,1,0.581,0.67,0.7,0.68,1,0.742,0.744,0.64,0.362,0.27
early_offers,A046,Metro General,1,1,0.684,0.92,0.82,0.33,1,0.887,0.85,0.648,0.353,0.56
early_offers,A047,Central Research,2,1,0.757,0.67,0.9,0.29,1,0.83,0.792,0.709,0.357,0.85
early_offers,A048,North County,1,1,0.577,0.91,0.7,0.68,1,0.844,0.845,0.639,0.397,0.49
early_offers,A049,Valley Service,2,1,0.589,0.97,0.62,0.84,0,0.829,0.699,0.704,0.441,0.78
early_offers,A050,Central Research,1,1,0.657,0.94,0.9,0.29,1,0.9,0.888,0.679,0.292,0.42
early_offers,A051,Harbor Teaching,3,1,0.704,0.79,0.86,0.41,0,0.824,0.585,0.64,0.446,0.71
early_offers,A052,Prairie Regional,4,0,0.611,0.79,0.66,0.79,0,0.753,0.593,0.705,0.417,0.35
early_offers,A053,Westside Specialty,1,1,0.678,0.81,0.88,0.36,1,0.867,0.837,0.698,0.375,0.64
early_offers,A054,North County,3,1,0.6,0.57,0.7,0.68,1,0.72,0.729,0.646,0.351,0.28
early_offers,A055,Metro General,1,1,0.522,0.73,0.82,0.33,1,0.805,0.82,0.599,0.342,0.57
early_offers,A056,Metro General,1,1,0.566,0.8,0.82,0.33,1,0.832,0.856,0.649,0.337,0.86
early_offers,A057,Metro General,3,1,0.644,0.87,0.82,0.33,0,0.826,0.63,0.599,0.35,0.5
early_offers,A058,Central Research,2,1,0.745,0.84,0.9,0.29,1,0.871,0.774,0.668,0.421,0.79
early_offers,A059,North County,4,0,0.682,0.97,0.7,0.68,0,0.821,0.634,0.744,0.411,0.43
early_offers,A060,Prairie Regional,1,1,0.612,0.93,0.66,0.79,1,0.85,0.82,0.668,0.477,0.72
early_offers,A061,Metro General,1,1,0.628,0.33,0.82,0.33,1,0.723,0.776,0.631,0.263,0.36
early_offers,A062,Valley Service,8,0,0.533,0.33,0.62,0.84,0,0.532,0.332,0.724,0.58,0.65
early_offers,A063,Riverside Public,1,1,0.539,0.47,0.74,0.72,1,0.728,0.799,0.642,0.314,0.29
early_offers,A064,Westside Specialty,1,1,0.688,0.6,0.88,0.36,1,0.814,0.81,0.664,0.338,0.58
early_offers,A065,Westside Specialty,1,1,0.701,0.73,0.88,0.36,1,0.851,0.856,0.705,0.316,0.22
early_offers,A066,Prairie Regional,2,1,0.515,0.83,0.66,0.79,1,0.784,0.797,0.639,0.414,0.51
early_offers,A067,Harbor Teaching,1,1,0.606,0.91,0.86,0.41,1,0.875,0.833,0.648,0.417,0.8
early_offers,A068,Central Research,1,1,0.718,0.92,0.9,0.29,1,0.907,0.891,0.697,0.27,0.44
early_offers,A069,Metro General,2,1,0.789,0.89,0.82,0.33,0,0.88,0.65,0.642,0.391,0.73
early_offers,A070,Valley Service,5,0,0.484,0.63,0.62,0.84,0,0.66,0.528,0.672,0.422,0.37
early_offers,A071,Harbor Teaching,2,1,0.61,0.53,0.86,0.41,1,0.757,0.759,0.686,0.381,0.66
early_offers,A072,Riverside Public,4,0,0.648,0.55,0.74,0.72,1,0.711,0.696,0.675,0.355,0.3
early_offers,A073,Prairie Regional,4,0,0.553,0.85,0.66,0.79,0,0.757,0.59,0.687,0.464,0.59
early_offers,A074,Harbor Teaching,1,1,0.628,0.86,0.86,0.41,1,0.867,0.881,0.691,0.315,0.23
early_offers,A075,Harbor Teaching,2,1,0.706,0.97,0.86,0.41,0,0.891,0.703,0.641,0.327,0.52
early_offers,A076,Central Research,1,1,0.693,0.82,0.9,0.29,1,0.876,0.824,0.653,0.382,0.81
early_offers,A077,Valley Service,4,0,0.538,0.79,0.62,0.84,0,0.732,0.609,0.725,0.421,0.45
early_offers,A078,North County,2,1,0.605,0.85,0.7,0.68,1,0.814,0.781,0.648,0.45,0.74
early_offers,A079,Westside Specialty,1,1,0.738,0.91,0.88,0.36,1,0.905,0.895,0.679,0.247,0.38
early_offers,A080,Harbor Teaching,2,1,0.763,0.7,0.86,0.41,1,0.832,0.795,0.732,0.37,0.67
early_offers,A081,Valley Service,4,0,0.488,0.53,0.62,0.84,1,0.655,0.658,0.636,0.469,0.31
early_offers,A082,Harbor Teaching,1,1,0.62,0.92,0.86,0.41,1,0.881,0.878,0.652,0.326,0.6
early_offers,A083,Central Research,1,1,0.696,0.63,0.9,0.29,1,0.827,0.839,0.691,0.281,0.24
early_offers,A084,Riverside Public,1,1,0.528,0.93,0.74,0.72,1,0.846,0.873,0.639,0.361,0.53
