employee_id,regime,tenure_years,participates,contribution_rate
auto-006,auto_enrollment,1,1,0.066
auto-007,auto_enrollment,2,1,0.071
auto-008,auto_enrollment,3,1,0.076
auto-009,auto_enrollment,4,1,0.072
auto-010,auto_enrollment,5,1,0.077
auto-011,auto_enrollment,6,1,0.082
auto-012,auto_enrollment,1,1,0.063
auto-013,auto_enrollment,2,1,0.068
auto-014,auto_enrollment,3,1,0.073
auto-015,auto_enrollment,4,1,0.078
auto-016,auto_enrollment,5,1,0.083
auto-017,auto_enrollment,6,1,0.088
auto-018,auto_enrollment,1,1,0.06
auto-019,auto_enrollment,2,1,0.065
auto-020,auto_enrollment,3,1,0.07
auto-021,auto_enrollment,4,1,0.075
auto-022,auto_enrollment,5,1,0.08
auto-023,auto_enrollment,6,1,0.085
auto-024,auto_enrollment,1,1,0.066
auto-025,auto_enrollment,2,1,0.071
auto-026,auto_enrollment,3,1,0.076
auto-027,auto_enrollment,4,1,0.072
auto-028,auto_enrollment,5,1,0.077
auto-029,auto_enrollment,6,1,0.082
auto-030,auto_enrollment,1,1,0.063
auto-031,auto_enrollment,2,1,0.068
auto-032,auto_enrollment,3,1,0.073
auto-033,auto_enrollment,4,1,0.078
auto-034,auto_enrollment,5,1,0.083
auto-035,auto_enrollment,6,1,0.088
auto-036,auto_enrollment,1,1,0.06
auto-037,auto_enrollment,2,1,0.065
auto-038,auto_enrollment,3,1,0.07
auto-039,auto_enrollment,4,1,0.075
auto-040,auto_enrollment,5,1,0.08
auto-041,auto_enrollment,6,1,0.085
auto-042,auto_enrollment,1,1,0.066
auto-043,auto_enrollment,2,1,0.071
auto-044,auto_enrollment,3,1,0.076
auto-045,auto_enrollment,4,1,0.072
auto-046,auto_enrollment,5,1,0.077
auto-047,auto_enrollment,6,1,0.082
auto-048,auto_enrollment,1,1,0.063
auto-049,auto_enrollment,2,1,0.068
auto-050,auto_enrollment,3,1,0.073
auto-051,auto_enrollment,4,1,0.078
auto-052,auto_enrollment,5,1,0.083
auto-053,auto_enrollment,6,1,0.088
auto-054,auto_enrollment,1,1,0.06
auto-055,auto_enrollment,2,1,0.065
auto-056,auto_enrollment,3,1,0.07
auto-057,auto_enrollment,4,1,0.075
auto-058,auto_enrollment,5,1,0.08
auto-059,auto_enrollment,6,1,0.085
auto-060,auto_enrollment,1,1,0.066
auto-061,auto_enrollment,2,1,0.071
auto-062,auto_enrollment,3,1,0.076
auto-063,auto_enrollment,4,1,0.072
auto-064,auto_enrollment,5,1,0.077
auto-065,auto_enrollment,6,1,0.082
auto-066,auto_enrollment,1,1,0.063
auto-067,auto_enrollment,2,1,0.068
auto-068,auto_enrollment,3,1,0.073
auto-069,auto_enrollment,4,1,0.078
auto-070,auto_enrollment,5,1,0.083
auto-071,auto_enrollment,6,1,0.088
auto-072,auto_enrollment,1,1,0.06
auto-073,auto_enrollment,2,1,0.065
auto-074,auto_enrollment,3,1,0.07
auto-075,auto_enrollment,4,1,0.075
auto-076,auto_enrollment,5,1,0.08
auto-077,auto_enrollment,6,1,0.085
auto-078,auto_enrollment,1,1,0.066
auto-079,auto_enrollment,2,1,0.071
auto-080,auto_enrollment,3,1,0.076
auto-081,auto_enrollment,4,1,0.072
auto-082,auto_enrollment,5,1,0.077
auto-083,auto_enrollment,6,1,0.082
auto-084,auto_enrollment,1,1,0.063
auto-085,auto_enrollment,2,1,0.068
auto-086,auto_enrollment,3,1,0.073
auto-087,auto_enrollment,4,1,0.078
auto-088,auto_enrollment,5,0,0.0
auto-089,auto_enrollment,6,0,0.0
auto-090,auto_enrollment,1,0,0.0
auto-091,auto_enrollment,2,0,0.0
auto-092,auto_enrollment,3,0,0.0
auto-093,auto_enrollment,4,0,0.0
auto-094,auto_enrollment,5,0,0.0
auto-095,auto_enrollment,6,0,0.0
auto-096,auto_enrollment,1,0,0.0
auto-097,auto_enrollment,2,0,0.0
auto-098,auto_enrollment,3,0,0.0
auto-099,auto_enrollment,4,0,0.0
auto-100,auto_enrollment,5,0,0.0
auto-101,auto_enrollment,6,0,0.0
auto-102,auto_enrollment,1,0,0.0
auto-103,auto_enrollment,2,0,0.0
auto-104,auto_enrollment,3,0,0.0
auto-105,auto_enrollment,4,0,0.0
auto-106,auto_enrollment,5,0,0.0
auto-107,auto_enrollment,6,0,0.0
auto-108,auto_enrollment,1,0,0.0
auto-109,auto_enrollment,2,0,0.0
auto-110,auto_enrollment,3,0,0.0
auto-111,auto_enrollment,4,0,0.0
auto-112,auto_enrollment,5,0,0.0
auto-113,auto_enrollment,6,0,0.0
auto-114,auto_enrollment,1,0,0.0
auto-115,auto_enrollment,2,0,0.0
auto-116,auto_enrollment,3,0,0.0
auto-117,auto_enrollment,4,0,0.0
auto-118,auto_enrollment,5,0,0.0
auto-119,auto_enrollment,6,0,0.0
auto-000,auto_enrollment_match,1,1,0.074
auto-001,auto_enrollment_match,2,1,0.079
auto-002,auto_enrollment_match,3,1,0.084
auto-003,auto_enrollment_match,4,1,0.089
auto-004,auto_enrollment_match,5,1,0.094
auto-005,auto_enrollment_match,6,1,0.099
auto-006,auto_enrollment_match,1,1,0.08
auto-007,auto_enrollment_match,2,1,0.085
auto-008,auto_enrollment_match,3,1,0.09
auto-009,auto_enrollment_match,4,1,0.086
auto-010,auto_enrollment_match,5,1,0.091
auto-011,auto_enrollment_match,6,1,0.096
auto-012,auto_enrollment_match,1,1,0.077
auto-013,auto_enrollment_match,2,1,0.082
auto-014,auto_enrollment_match,3,1,0.087
auto-015,auto_enrollment_match,4,1,0.092
auto-016,auto_enrollment_match,5,1,0.097
auto-017,auto_enrollment_match,6,1,0.102
auto-018,auto_enrollment_match,1,1,0.074
auto-019,auto_enrollment_match,2,1,0.079
auto-020,auto_enrollment_match,3,1,0.084
auto-021,auto_enrollment_match,4,1,0.089
auto-022,auto_enrollment_match,5,1,0.094
auto-023,auto_enrollment_match,6,1,0.099
auto-024,auto_enrollment_match,1,1,0.08
auto-025,auto_enrollment_match,2,1,0.085
auto-026,auto_enrollment_match,3,1,0.09
auto-027,auto_enrollment_match,4,1,0.086
auto-028,auto_enrollment_match,5,1,0.091
auto-029,auto_enrollment_match,6,1,0.096
auto-030,auto_enrollment_match,1,1,0.077
auto-031,auto_enrollment_match,2,1,0.082
auto-032,auto_enrollment_match,3,1,0.087
auto-033,auto_enrollment_match,4,1,0.092
auto-034,auto_enrollment_match,5,1,0.097
auto-035,auto_enrollment_match,6,1,0.102
auto-036,auto_enrollment_match,1,1,0.074
auto-037,auto_enrollment_match,2,1,0.079
auto-038,auto_enrollment_match,3,1,0.084
auto-039,auto_enrollment_match,4,1,0.089
auto-040,auto_enrollment_match,5,1,0.094
auto-041,auto_enrollment_match,6,1,0.099
auto-042,auto_enrollment_match,1,1,0.08
auto-043,auto_enrollment_match,2,1,0.085
auto-044,auto_enrollment_match,3,1,0.09
auto-045,auto_enrollment_match,4,1,0.086
auto-046,auto_enrollment_match,5,1,0.091
auto-047,auto_enrollment_match,6,1,0.096
auto-048,auto_enrollment_match,1,1,0.077
auto-049,auto_enrollment_match,2,1,0.082
auto-050,auto_enrollment_match,3,1,0.087
auto-051,auto_enrollment_match,4,1,0.092
auto-052,auto_enrollment_match,5,1,0.097
auto-053,auto_enrollment_match,6,1,0.102
auto-054,auto_enrollment_match,1,1,0.074
auto-055,auto_enrollment_match,2,1,0.079
auto-056,auto_enrollment_match,3,1,0.084
auto-057,auto_enrollment_match,4,1,0.089
auto-058,auto_enrollment_match,5,1,0.094
auto-059,auto_enrollment_match,6,1,0.099
auto-060,auto_enrollment_match,1,1,0.08
auto-061,auto_enrollment_match,2,1,0.085
auto-062,auto_enrollment_match,3,1,0.09
auto-063,auto_enrollment_match,4,1,0.086
auto-064,auto_enrollment_match,5,1,0.091
auto-065,auto_enrollment_match,6,1,0.096
auto-066,auto_enrollment_match,1,1,0.077
auto-067,auto_enrollment_match,2,1,0.082
auto-068,auto_enrollment_match,3,1,0.087
auto-069,auto_enrollment_match,4,1,0.092
auto-070,auto_enrollment_match,5,1,0.097
auto-071,auto_enrollment_match,6,1,0.102
auto-072,auto_enrollment_match,1,1,0.074
auto-073,auto_enrollment_match,2,1,0.079
auto-074,auto_enrollment_match,3,1,0.084
auto-075,auto_enrollment_match,4,1,0.089
auto-076,auto_enrollment_match,5,1,0.094
auto-077,auto_enrollment_match,6,1,0.099
auto-078,auto_enrollment_match,1,1,0.08
auto-079,auto_enrollment_match,2,1,0.085
auto-080,auto_enrollment_match,3,1,0.09
auto-081,auto_enrollment_match,4,1,0.086
auto-082,auto_enrollment_match,5,1,0.091
auto-083,auto_enrollment_match,6,1,0.096
auto-084,auto_enrollment_match,1,1,0.077
auto-085,auto_enrollment_match,2,1,0.082
auto-086,auto_enrollment_match,3,1,0.087
auto-087,auto_enrollment_match,4,1,0.092
auto-088,auto_enrollment_match,5,1,0.097
auto-089,auto_enrollment_match,6,1,0.102
auto-090,auto_enrollment_match,1,1,0.074
auto-091,auto_enrollment_match,2,1,0.079
auto-092,auto_enrollment_match,3,1,0.084
auto-093,auto_enrollment_match,4,1,0.089
auto-094,auto_enrollment_match,5,1,0.094
auto-095,auto_enrollment_match,6,1,0.099
auto-096,auto_enrollment_match,1,1,0.08
auto-097,auto_enrollment_match,2,1,0.085
auto-098,auto_enrollment_match,3,0,0.0
auto-099,auto_enrollment_match,4,0,0.0
auto-100,auto_enrollment_match,5,0,0.0
auto-101,auto_enrollment_match,6,0,0.0
auto-102,auto_enrollment_match,1,0,0.0
auto-103,auto_enrollment_match,2,0,0.0
auto-104,auto_enrollment_match,3,0,0.0
auto-105,auto_enrollment_match,4,0,0.0
auto-106,auto_enrollment_match,5,0,0.0
auto-107,auto_enrollment_match,6,0,0.0
auto-108,auto_enrollment_match,1,0,0.0
auto-109,auto_enrollment_match,2,0,0.0
auto-110,auto_enrollment_match,3,0,0.0
auto-111,auto_enrollment_match,4,0,0.0
auto-112,auto_enrollment_match,5,0,0.0
auto-113,auto_enrollment_match,6,0,0.0
auto-114,auto_enrollment_match,1,0,0.0
auto-115,auto_enrollment_match,2,0,0.0
auto-116,auto_enrollment_match,3,0,0.0
auto-117,auto_enrollment_match,4,0,0.0
auto-118,auto_enrollment_match,5,0,0.0
auto-119,auto_enrollment_match,6,0,0.0
