household_id,treated_family_shock,event_time,focal_age,spouse_age,has_young_child,pension_eligible,baseline_assets,retirement_savings_index,job_flexibility,shock_severity,mortality_risk,care_intensity,informal_care_hours,focal_hours,spouse_hours,household_earnings_index,savings_drawdown,flexible_job_switch,retirement_claiming,bridge_job_transition,post_retirement_work
household_004,1,3,49,50,0,0,76800,0.696,0.88,0.614,0.312,0.904,14.04,34.64,22.46,2216.27,3674.56,0,0,0,0
household_004,1,4,50,51,0,0,76800,0.672,0.88,0.614,0.352,1.0,15.0,33.91,20.66,2122.69,3889.84,0,0,0,0
household_004,1,5,51,52,0,0,76800,0.648,0.88,0.614,0.396,1.0,15.0,33.91,18.86,2059.1,3889.84,0,0,0,0
household_005,1,-3,46,48,1,0,89700,0.897,0.25,0.745,0.02,0.0,0.0,35.35,32.8,2670.45,0.0,0,0,0,0
household_005,1,-2,47,49,1,0,89700,0.897,0.25,0.745,0.02,0.0,0.0,35.35,32.8,2670.45,0.0,0,0,0,0
household_005,1,-1,48,50,1,0,89700,0.897,0.25,0.745,0.14,0.1,2.0,33.55,32.8,2594.82,0.0,0,0,0,0
household_005,1,0,49,51,1,0,89700,0.897,0.25,0.745,0.229,0.643,13.23,32.16,25.35,2267.12,3829.88,0,0,0,0
household_005,1,1,50,52,1,0,89700,0.873,0.25,0.745,0.269,0.744,14.24,31.12,23.55,2158.39,4054.88,1,0,0,0
household_005,1,2,51,53,1,0,89700,0.849,0.25,0.745,0.313,0.844,15.24,30.08,21.75,2049.65,4279.88,1,0,0,0
household_005,1,3,52,54,1,0,89700,0.825,0.25,0.745,0.357,0.944,16.23,29.04,19.95,1940.91,4504.88,1,0,0,0
household_005,1,4,53,55,1,0,89700,0.801,0.25,0.745,0.401,1.0,16.8,28.45,18.15,1851.18,4632.0,1,0,0,0
household_005,1,5,54,56,1,0,89700,0.777,0.25,0.745,0.445,1.0,16.8,28.45,16.35,1786.14,4632.0,1,0,0,0
household_006,1,-3,49,52,1,0,102600,1.026,0.4,0.782,0.02,0.0,0.0,35.98,32.8,2757.0,0.0,0,0,0,0
household_006,1,-2,50,53,1,0,102600,1.026,0.4,0.782,0.02,0.0,0.0,35.98,32.8,2757.0,0.0,0,0,0,0
household_006,1,-1,51,54,1,0,102600,1.026,0.4,0.782,0.144,0.1,2.0,34.18,32.8,2679.69,0.0,0,0,0,0
household_006,1,0,52,55,1,0,102600,1.026,0.4,0.782,0.247,0.655,13.35,33.1,24.98,2344.62,3753.05,0,0,0,0
household_006,1,1,53,56,1,0,102600,1.002,0.4,0.782,0.291,0.755,14.35,32.13,23.18,2236.3,3978.05,1,0,0,0
household_006,1,2,54,57,1,0,102600,0.978,0.4,0.782,0.335,0.855,15.35,31.16,21.38,2127.97,4203.05,1,0,0,0
household_006,1,3,55,58,1,0,102600,0.954,0.4,0.782,0.379,0.955,16.35,30.18,19.58,2019.65,4428.05,1,0,0,0
household_006,1,4,56,59,1,0,102600,0.93,0.4,0.782,0.423,1.0,16.8,29.74,17.78,1934.16,4530.2,1,0,0,0
household_006,1,5,57,60,1,0,102600,0.906,0.4,0.782,0.467,1.0,16.8,29.74,15.98,1867.67,4530.2,1,0,0,0
household_007,1,-3,52,49,0,0,115500,1.155,0.55,0.434,0.028,0.0,0.0,38.21,34.0,2960.25,0.0,0,0,0,0
household_007,1,-2,53,50,0,0,115500,1.155,0.55,0.434,0.032,0.0,0.0,38.21,34.0,2960.25,0.0,0,0,0,0
household_007,1,-1,54,51,0,0,115500,1.155,0.55,0.434,0.036,0.0,0.0,38.21,34.0,2960.25,0.0,0,0,0,0
household_007,1,0,55,52,0,0,115500,1.155,0.55,0.434,0.162,0.55,10.5,36.71,29.66,2730.79,2992.85,0,0,0,0
household_007,1,1,56,53,0,0,115500,1.131,0.55,0.434,0.206,0.65,11.5,35.81,27.86,2623.0,3217.85,0,0,0,0
household_007,1,2,57,54,0,0,115500,1.107,0.55,0.434,0.25,0.75,12.5,34.9,26.06,2515.21,3442.85,0,0,0,0
household_007,1,3,58,55,0,0,115500,1.083,0.55,0.434,0.294,0.85,13.5,24.0,24.26,1968.97,3667.85,0,0,1,0
household_007,1,4,59,56,0,0,115500,1.059,0.55,0.434,0.338,0.95,14.5,24.0,22.46,1901.04,3892.85,0,0,1,0
household_007,1,5,60,57,0,0,115500,1.035,0.55,0.434,0.382,1.0,15.0,24.0,20.66,1833.1,4004.9,0,0,1,0
household_008,1,-3,55,53,0,0,128400,1.284,0.72,0.469,0.04,0.0,0.0,38.88,34.0,3053.59,0.0,0,0,0,0
household_008,1,-2,56,54,0,0,128400,1.284,0.72,0.469,0.044,0.0,0.0,38.88,34.0,3053.59,0.0,0,0,0,0
household_008,1,-1,57,55,0,0,128400,1.284,0.72,0.469,0.048,0.0,0.0,38.88,34.0,3053.59,0.0,0,0,0,0
household_008,1,0,58,56,0,0,128400,1.284,0.72,0.469,0.183,0.561,10.61,37.71,29.31,2820.47,2892.76,0,0,0,0
household_008,1,1,59,57,0,0,128400,1.26,0.72,0.469,0.227,0.661,11.61,36.88,27.51,2713.74,3117.77,0,0,0,0
household_008,1,2,60,58,0,0,128400,1.236,0.72,0.469,0.271,0.761,12.61,24.0,25.71,2067.02,3342.77,0,0,1,0
household_008,1,3,61,59,0,0,128400,1.212,0.72,0.469,0.315,0.861,13.61,24.0,23.91,1997.63,3567.77,0,0,1,0
household_008,1,4,62,60,0,1,128400,1.188,0.72,0.469,0.359,0.961,14.61,24.0,22.11,1928.24,2192.77,0,0,1,0
household_008,1,5,63,61,0,1,128400,1.164,0.72,0.469,0.403,1.0,15.0,24.0,20.31,1858.85,2281.46,0,0,1,0
household_009,1,-3,58,57,0,0,73800,0.738,0.88,0.504,0.052,0.0,0.0,39.54,34.0,3147.19,0.0,0,0,0,0
household_009,1,-2,59,58,0,0,73800,0.738,0.88,0.504,0.056,0.0,0.0,39.54,34.0,3147.19,0.0,0,0,0,0
household_009,1,-1,60,59,0,0,73800,0.738,0.88,0.504,0.06,0.0,0.0,39.54,34.0,3147.19,0.0,0,0,0,0
household_009,1,0,61,60,0,0,73800,0.738,0.88,0.504,0.205,0.571,10.71,38.68,28.96,2909.43,2804.31,0,0,0,0
household_009,1,1,62,61,0,1,73800,0.714,0.88,0.504,0.249,0.671,11.71,8.0,27.16,1434.77,1429.31,0,1,0,0
household_009,1,2,63,62,0,1,73800,0.69,0.88,0.504,0.293,0.771,12.71,24.0,25.36,2096.09,1654.31,0,1,1,1
household_009,1,3,64,63,0,1,73800,0.666,0.88,0.504,0.337,0.871,13.71,24.0,23.56,2025.25,1879.31,0,1,1,1
household_009,1,4,65,64,0,1,73800,0.642,0.88,0.504,0.381,0.971,14.71,24.0,21.76,1954.42,2104.31,0,1,1,1
household_009,1,5,66,65,0,1,73800,0.618,0.88,0.504,0.425,1.0,15.0,24.0,19.96,1883.58,2168.84,0,1,1,1
household_010,1,-3,61,61,1,0,86700,0.867,0.25,0.635,0.064,0.0,0.0,36.85,32.8,3037.95,0.0,0,0,0,0
household_010,1,-2,62,62,1,1,86700,0.867,0.25,0.635,0.068,0.0,0.0,36.85,32.8,3037.95,0.0,0,0,0,0
household_010,1,-1,63,63,1,1,86700,0.867,0.25,0.635,0.072,0.0,0.0,36.85,32.8,3037.95,0.0,0,0,0,0
household_010,1,0,64,64,1,1,86700,0.867,0.25,0.635,0.254,0.611,12.91,29.25,26.45,2427.87,2034.62,0,0,0,0
household_010,1,1,65,65,1,1,86700,0.843,0.25,0.635,0.298,0.711,13.91,8.0,24.65,1363.48,2259.62,1,1,0,0
household_010,1,2,66,66,1,1,86700,0.819,0.25,0.635,0.342,0.81,14.91,8.0,22.85,1291.19,2484.62,1,1,0,0
household_010,1,3,67,67,1,1,86700,0.795,0.25,0.635,0.386,0.91,15.91,8.0,21.05,1218.91,2709.62,1,1,0,0
household_010,1,4,68,68,1,1,86700,0.771,0.25,0.635,0.43,1.0,16.8,8.0,19.25,1146.62,2911.0,1,1,0,0
household_010,1,5,69,69,1,1,86700,0.747,0.25,0.635,0.474,1.0,16.8,8.0,17.45,1074.33,2911.0,1,1,0,0
household_011,1,-3,64,65,1,1,99600,0.996,0.4,0.672,0.076,0.0,0.0,37.48,32.8,3128.85,0.0,0,0,0,0
household_011,1,-2,65,66,1,1,99600,0.996,0.4,0.672,0.08,0.0,0.0,37.48,32.8,3128.85,0.0,0,0,0,0
household_011,1,-1,66,67,1,1,99600,0.996,0.4,0.672,0.084,0.0,0.0,37.48,32.8,3128.85,0.0,0,0,0,0
household_011,1,0,67,68,1,1,99600,0.996,0.4,0.672,0.276,0.622,13.02,8.0,26.08,1449.38,1957.8,0,1,0,0
household_011,1,1,68,69,1,1,99600,0.972,0.4,0.672,0.32,0.722,14.02,8.0,24.28,1375.65,2182.8,1,1,0,0
household_011,1,2,69,70,1,1,99600,0.948,0.4,0.672,0.364,0.822,15.02,8.0,22.48,1301.92,2407.8,1,1,0,0
household_011,1,3,70,71,1,1,99600,0.924,0.4,0.672,0.408,0.922,16.02,8.0,20.68,1228.18,2632.8,1,1,0,0
household_011,1,4,71,72,1,1,99600,0.9,0.4,0.672,0.452,1.0,16.8,8.0,18.88,1154.45,2809.2,1,1,0,0
household_011,1,5,72,73,1,1,99600,0.876,0.4,0.672,0.496,1.0,16.8,8.0,17.08,1080.71,2809.2,1,1,0,0
household_012,1,-3,33,35,0,0,67500,0.675,0.55,0.709,0.02,0.0,0.0,36.31,34.0,2951.85,0.0,0,0,0,0
household_012,1,-2,34,36,0,0,67500,0.675,0.55,0.709,0.02,0.0,0.0,36.31,34.0,2951.85,0.0,0,0,0,0
household_012,1,-1,35,37,0,0,67500,0.675,0.55,0.709,0.14,0.1,2.0,34.51,34.0,2870.79,0.0,0,0,0,0
household_012,1,0,36,38,0,0,67500,0.675,0.55,0.709,0.219,0.633,11.33,34.07,26.91,2576.18,3480.97,0,0,0,0
household_012,1,1,37,39,0,0,67500,0.651,0.55,0.709,0.259,0.733,12.33,33.16,25.11,2465.58,3705.98,0,0,0,0
household_012,1,2,38,40,0,0,67500,0.627,0.55,0.709,0.299,0.833,13.33,32.25,23.31,2354.98,3930.98,0,0,0,0
household_012,1,3,39,41,0,0,67500,0.603,0.55,0.709,0.339,0.933,14.33,31.34,21.51,2244.38,4155.98,0,0,0,0
household_012,1,4,40,42,0,0,67500,0.579,0.55,0.709,0.379,1.0,15.0,30.73,19.71,2147.15,4307.4,0,0,0,0
household_012,1,5,41,43,0,0,67500,0.555,0.55,0.709,0.419,1.0,15.0,30.73,17.91,2077.44,4307.4,0,0,0,0
household_013,1,-3,36,39,0,0,75000,0.75,0.72,0.744,0.02,0.0,0.0,36.98,34.0,2506.98,0.0,0,0,0,0
household_013,1,-2,37,40,0,0,75000,0.75,0.72,0.744,0.02,0.0,0.0,36.98,34.0,2506.98,0.0,0,0,0,0
household_013,1,-1,38,41,0,0,75000,0.75,0.72,0.744,0.14,0.1,2.0,35.18,34.0,2438.83,0.0,0,0,0,0
household_013,1,0,39,42,0,0,75000,0.75,0.72,0.744,0.228,0.643,11.43,35.13,26.56,2194.55,3380.89,0,0,0,0
household_013,1,1,40,43,0,0,75000,0.726,0.72,0.744,0.268,0.743,12.43,34.29,24.76,2104.4,3605.89,0,0,0,0
household_013,1,2,41,44,0,0,75000,0.702,0.72,0.744,0.308,0.843,13.43,33.46,22.96,2014.26,3830.89,0,0,0,0
household_013,1,3,42,45,0,0,75000,0.678,0.72,0.744,0.348,0.943,14.43,32.63,21.16,1924.12,4055.89,0,0,0,0
household_013,1,4,43,46,0,0,75000,0.654,0.72,0.744,0.388,1.0,15.0,32.15,19.36,1847.56,4183.96,0,0,0,0
household_013,1,5,44,47,0,0,75000,0.63,0.72,0.744,0.428,1.0,15.0,32.15,17.56,1788.96,4183.96,0,0,0,0
household_014,1,-3,39,36,0,0,82500,0.825,0.88,0.394,0.02,0.0,0.0,37.64,34.0,2594.25,0.0,0,0,0,0
household_014,1,-2,40,37,0,0,82500,0.825,0.88,0.394,0.02,0.0,0.0,37.64,34.0,2594.25,0.0,0,0,0,0
household_014,1,-1,41,38,0,0,82500,0.825,0.88,0.394,0.02,0.0,0.0,37.64,34.0,2594.25,0.0,0,0,0,0
household_014,1,0,42,39,0,0,82500,0.825,0.88,0.394,0.13,0.538,10.38,37.03,30.06,2439.16,2609.06,0,0,0,0
household_014,1,1,43,40,0,0,82500,0.801,0.88,0.394,0.17,0.638,11.38,36.27,28.26,2349.52,2834.06,0,0,0,0
household_014,1,2,44,41,0,0,82500,0.777,0.88,0.394,0.21,0.738,12.38,35.5,26.46,2259.88,3059.06,0,0,0,0
household_014,1,3,45,42,0,0,82500,0.753,0.88,0.394,0.25,0.838,13.38,34.74,24.66,2170.24,3284.06,0,0,0,0
household_014,1,4,46,43,0,0,82500,0.729,0.88,0.394,0.29,0.938,14.38,33.98,22.86,2080.6,3509.06,0,0,0,0
household_014,1,5,47,44,0,0,82500,0.705,0.88,0.394,0.33,1.0,15.0,33.51,21.06,2002.29,3647.84,0,0,0,0
household_015,1,-3,42,40,1,0,90000,0.9,0.25,0.525,0.02,0.0,0.0,34.95,32.8,2509.14,0.0,0,0,0,0
household_015,1,-2,43,41,1,0,90000,0.9,0.25,0.525,0.02,0.0,0.0,34.95,32.8,2509.14,0.0,0,0,0,0
household_015,1,-1,44,42,1,0,90000,0.9,0.25,0.525,0.02,0.0,0.0,34.95,32.8,2509.14,0.0,0,0,0,0
household_015,1,0,45,43,1,0,90000,0.9,0.25,0.525,0.167,0.578,12.58,32.44,27.55,2230.21,3439.38,0,0,0,0
household_015,1,1,46,44,1,0,90000,0.876,0.25,0.525,0.207,0.677,13.58,31.4,25.75,2127.39,3664.38,1,0,0,0
household_015,1,2,47,45,1,0,90000,0.852,0.25,0.525,0.247,0.777,14.57,30.36,23.95,2024.58,3889.38,1,0,0,0
household_015,1,3,48,46,1,0,90000,0.828,0.25,0.525,0.287,0.877,15.57,29.32,22.15,1921.76,4114.38,1,0,0,0
household_015,1,4,49,47,1,0,90000,0.804,0.25,0.525,0.327,0.978,16.57,28.28,20.35,1818.95,4339.38,1,0,0,0
household_015,1,5,50,48,1,0,90000,0.78,0.25,0.525,0.367,1.0,16.8,28.05,18.55,1748.15,4390.0,1,0,0,0
household_016,1,-3,45,44,1,0,102900,1.029,0.4,0.562,0.02,0.0,0.0,35.58,32.8,2593.88,0.0,0,0,0,0
household_016,1,-2,46,45,1,0,102900,1.029,0.4,0.562,0.02,0.0,0.0,35.58,32.8,2593.88,0.0,0,0,0,0
household_016,1,-1,47,46,1,0,102900,1.029,0.4,0.562,0.02,0.0,0.0,35.58,32.8,2593.88,0.0,0,0,0,0
household_016,1,0,48,47,1,0,102900,1.029,0.4,0.562,0.177,0.589,12.69,33.35,27.18,2306.54,3362.55,0,0,0,0
household_016,1,1,49,48,1,0,102900,1.005,0.4,0.562,0.217,0.689,13.69,32.37,25.38,2203.98,3587.55,1,0,0,0
household_016,1,2,50,49,1,0,102900,0.981,0.4,0.562,0.257,0.789,14.69,31.4,23.58,2101.43,3812.55,1,0,0,0
household_016,1,3,51,50,1,0,102900,0.957,0.4,0.562,0.301,0.889,15.69,30.43,21.78,1998.87,4037.55,1,0,0,0
household_016,1,4,52,51,1,0,102900,0.933,0.4,0.562,0.345,0.989,16.69,29.45,19.98,1896.32,4262.55,1,0,0,0
household_016,1,5,53,52,1,0,102900,0.909,0.4,0.562,0.389,1.0,16.8,29.34,18.18,1828.86,4288.2,1,0,0,0
household_017,1,-3,48,48,0,0,115800,1.158,0.55,0.599,0.02,0.0,0.0,37.81,34.0,2789.28,0.0,0,0,0,0
household_017,1,-2,49,49,0,0,115800,1.158,0.55,0.599,0.02,0.0,0.0,37.81,34.0,2789.28,0.0,0,0,0,0
household_017,1,-1,50,50,0,0,115800,1.158,0.55,0.599,0.02,0.0,0.0,37.81,34.0,2789.28,0.0,0,0,0,0
household_017,1,0,51,51,0,0,115800,1.158,0.55,0.599,0.192,0.6,11.0,35.86,28.01,2494.06,3285.72,0,0,0,0
household_017,1,1,52,52,0,0,115800,1.134,0.55,0.599,0.236,0.7,12.0,34.96,26.21,2391.89,3510.72,0,0,0,0
household_017,1,2,53,53,0,0,115800,1.11,0.55,0.599,0.28,0.8,13.0,34.05,24.41,2289.72,3735.72,0,0,0,0
household_017,1,3,54,54,0,0,115800,1.086,0.55,0.599,0.324,0.9,14.0,33.14,22.61,2187.55,3960.72,0,0,0,0
household_017,1,4,55,55,0,0,115800,1.062,0.55,0.599,0.368,1.0,15.0,32.23,20.81,2085.38,4185.73,0,0,0,0
household_017,1,5,56,56,0,0,115800,1.038,0.55,0.599,0.412,1.0,15.0,32.23,19.01,2020.87,4186.4,0,0,0,0
household_018,1,-3,51,52,0,0,61200,0.612,0.72,0.634,0.024,0.0,0.0,38.48,34.0,2880.71,0.0,0,0,0,0
household_018,1,-2,52,53,0,0,61200,0.612,0.72,0.634,0.028,0.0,0.0,38.48,34.0,2880.71,0.0,0,0,0,0
household_018,1,-1,53,54,0,0,61200,0.612,0.72,0.634,0.032,0.0,0.0,38.48,34.0,2880.71,0.0,0,0,0,0
household_018,1,0,54,55,0,0,61200,0.612,0.72,0.634,0.213,0.61,11.1,36.9,27.66,2581.59,3185.64,0,0,0,0
household_018,1,1,55,56,0,0,61200,0.588,0.72,0.634,0.257,0.71,12.1,36.07,25.86,2480.3,3410.64,0,0,0,0
household_018,1,2,56,57,0,0,61200,0.564,0.72,0.634,0.301,0.81,13.1,35.23,24.06,2379.02,3635.64,0,0,0,0
household_018,1,3,57,58,0,0,61200,0.54,0.72,0.634,0.345,0.91,14.1,34.4,22.26,2277.73,3860.64,0,0,0,0
household_018,1,4,58,59,0,0,61200,0.516,0.72,0.634,0.389,1.0,15.0,24.0,20.46,1769.46,4062.96,0,0,1,0
household_018,1,5,59,60,0,0,61200,0.492,0.72,0.634,0.433,1.0,15.0,24.0,18.66,1703.61,4062.96,0,0,1,0
household_019,1,-3,54,56,0,0,74100,0.741,0.88,0.669,0.036,0.0,0.0,39.14,34.0,2972.44,0.0,0,0,0,0
household_019,1,-2,55,57,0,0,74100,0.741,0.88,0.669,0.04,0.0,0.0,39.14,34.0,2972.44,0.0,0,0,0,0
household_019,1,-1,56,58,0,0,74100,0.741,0.88,0.669,0.044,0.0,0.0,39.14,34.0,2972.44,0.0,0,0,0,0
household_019,1,0,57,59,0,0,74100,0.741,0.88,0.669,0.235,0.621,11.21,37.9,27.31,2668.47,3097.18,0,0,0,0
household_019,1,1,58,60,0,0,74100,0.717,0.88,0.669,0.279,0.721,12.21,37.14,25.51,2568.01,3322.19,0,0,0,0
household_019,1,2,59,61,0,0,74100,0.693,0.88,0.669,0.323,0.821,13.21,24.0,23.71,1929.6,3547.19,0,0,1,0
household_019,1,3,60,62,0,0,74100,0.669,0.88,0.669,0.367,0.921,14.21,24.0,21.91,1862.3,3772.18,0,0,1,0
household_019,1,4,61,63,0,0,74100,0.645,0.88,0.669,0.411,1.0,15.0,24.0,20.11,1795.01,3950.34,0,0,1,0
household_019,1,5,62,64,0,1,74100,0.621,0.88,0.669,0.455,1.0,15.0,24.0,18.31,1727.71,2350.34,0,1,1,1
household_020,1,-3,57,60,1,0,87000,0.87,0.25,0.8,0.048,0.0,0.0,36.45,32.8,2871.33,0.0,0,0,0,0
household_020,1,-2,58,61,1,0,87000,0.87,0.25,0.8,0.052,0.0,0.0,36.45,32.8,2871.33,0.0,0,0,0,0
household_020,1,-1,59,62,1,0,87000,0.87,0.25,0.8,0.176,0.1,2.0,34.65,32.8,2791.4,0.0,0,0,0,0
household_020,1,0,60,63,1,0,87000,0.87,0.25,0.8,0.284,0.66,13.4,33.09,24.8,2416.42,3927.5,0,0,0,0
household_020,1,1,61,64,1,0,87000,0.846,0.25,0.8,0.328,0.76,14.4,32.05,23.0,2301.49,4152.5,1,0,0,0
household_020,1,2,62,65,1,1,87000,0.822,0.25,0.8,0.372,0.86,15.4,8.0,21.2,1164.91,2777.5,1,1,0,0
household_020,1,3,63,66,1,1,87000,0.798,0.25,0.8,0.416,0.96,16.4,8.0,19.4,1096.17,3002.5,1,1,0,0
household_020,1,4,64,67,1,1,87000,0.774,0.25,0.8,0.46,1.0,16.8,8.0,17.6,1027.42,3092.5,1,1,0,0
household_020,1,5,65,68,1,1,87000,0.75,0.25,0.8,0.504,1.0,16.8,8.0,15.8,958.68,3092.5,1,1,0,0
household_021,1,-3,60,57,1,0,99900,0.999,0.4,0.452,0.06,0.0,0.0,37.08,32.8,2960.42,0.0,0,0,0,0
household_021,1,-2,61,58,1,0,99900,0.999,0.4,0.452,0.064,0.0,0.0,37.08,32.8,2960.42,0.0,0,0,0,0
household_021,1,-1,62,59,1,1,99900,0.999,0.4,0.452,0.068,0.0,0.0,37.08,32.8,2960.42,0.0,0,0,0,0
household_021,1,0,63,60,1,1,99900,0.999,0.4,0.452,0.199,0.556,12.36,31.12,28.28,2513.83,1567.3,0,0,0,0
household_021,1,1,64,61,1,1,99900,0.975,0.4,0.452,0.243,0.656,13.36,8.0,26.48,1395.36,1792.3,1,1,0,0
household_021,1,2,65,62,1,1,99900,0.951,0.4,0.452,0.287,0.756,14.36,8.0,24.68,1325.17,2017.3,1,1,0,0
household_021,1,3,66,63,1,1,99900,0.927,0.4,0.452,0.331,0.856,15.36,8.0,22.88,1254.98,2242.3,1,1,0,0
household_021,1,4,67,64,1,1,99900,0.903,0.4,0.452,0.375,0.956,16.36,8.0,21.08,1184.78,2467.3,1,1,0,0
household_021,1,5,68,65,1,1,99900,0.879,0.4,0.452,0.419,1.0,16.8,8.0,19.28,1114.59,2567.2,1,1,0,0
household_022,1,-3,63,61,0,1,112800,1.128,0.55,0.489,0.072,0.0,0.0,39.31,34.0,3172.49,0.0,0,0,0,0
household_022,1,-2,64,62,0,1,112800,1.128,0.55,0.489,0.076,0.0,0.0,39.31,34.0,3172.49,0.0,0,0,0,0
household_022,1,-1,65,63,0,1,112800,1.128,0.55,0.489,0.08,0.0,0.0,39.31,34.0,3172.49,0.0,0,0,0,0
household_022,1,0,66,64,0,1,112800,1.128,0.55,0.489,0.221,0.567,10.67,33.47,29.11,2707.67,1490.47,0,0,0,0
household_022,1,1,67,65,0,1,112800,1.104,0.55,0.489,0.265,0.667,11.67,32.01,27.31,2568.55,1715.47,0,0,0,0
household_022,1,2,68,66,0,1,112800,1.08,0.55,0.489,0.309,0.767,12.67,24.0,25.51,2126.04,1940.47,0,0,1,0
household_022,1,3,69,67,0,1,112800,1.056,0.55,0.489,0.353,0.867,13.67,24.0,23.71,2054.4,2165.47,0,0,1,0
household_022,1,4,70,68,0,1,112800,1.032,0.55,0.489,0.397,0.967,14.67,24.0,21.91,1982.76,2390.48,0,0,1,0
household_022,1,5,71,69,0,1,112800,1.008,0.55,0.489,0.441,1.0,15.0,24.0,20.11,1911.11,2465.4,0,0,1,0
