unit_id,treat,age,education,black,hispanic,married,nodegree,earnings_1974,earnings_1975,earnings_1978,propensity_score,att_weight,ate_weight
63,0,30,16,0,0,0,0,14262.04,16436.16,19387.66,0.03610529099643068,0.037457712610285715,1.0374577126102857
64,1,38,9,0,0,0,1,7123.7,9965.19,15673.91,0.37302398335219616,1.0,2.680792776414687
65,0,45,16,0,0,0,0,15066.11,15033.73,18989.55,0.03,0.030927835051546393,1.0309278350515465
66,0,55,14,0,0,1,0,10674.12,12577.11,16448.18,0.09059553268959289,0.09962072537155231,1.0996207253715522
67,0,32,15,0,0,0,0,13118.06,12117.67,14552.09,0.04596156380430857,0.04817579885731247,1.0481757988573126
68,0,26,8,1,0,0,1,6920.24,11125.2,9546.48,0.43129135576190175,0.7583696153233347,1.7583696153233348
69,0,37,14,0,0,1,0,16932.42,15780.63,19657.7,0.03,0.030927835051546393,1.0309278350515465
70,1,26,15,1,0,1,0,15381.72,14983.26,18946.18,0.03,1.0,33.333333333333336
71,0,55,13,0,0,0,0,12736.2,12385.52,18383.09,0.08754234059122534,0.09594126334360352,1.0959412633436034
72,0,42,10,1,0,0,1,6781.82,8686.7,7289.01,0.2997082917951464,0.4279763536875606,1.4279763536875605
73,0,46,15,1,0,1,0,14888.55,14684.81,16097.5,0.03,0.030927835051546393,1.0309278350515465
74,0,47,14,0,0,1,0,15540.27,14123.03,20757.6,0.03,0.030927835051546393,1.0309278350515465
75,0,23,11,1,0,0,1,5478.8,4962.98,6589.35,0.25486432779147694,0.3420374802833949,1.342037480283395
76,0,45,13,0,0,1,0,11593.21,14194.45,18449.54,0.09737779298566954,0.10788322315686558,1.1078832231568656
77,0,43,13,0,0,0,0,14059.37,16370.86,20797.92,0.07899010026811445,0.08576465930616946,1.0857646593061694
78,0,31,14,0,0,1,0,10738.43,14530.75,20102.92,0.09400101185029638,0.10375399209029143,1.1037539920902915
79,0,31,16,0,0,0,0,13201.55,13585.89,19323.98,0.03919234947140896,0.040791046417924734,1.0407910464179246
80,0,48,11,0,0,0,1,11162.54,11229.44,14669.59,0.12252453616978928,0.13963300538908,1.13963300538908
81,0,39,8,0,0,1,1,6719.89,11585.65,7655.08,0.41786715398276286,0.7178209524538488,1.7178209524538488
82,0,53,14,1,0,0,0,11804.9,13209.21,20817.24,0.0842280681309645,0.09197493961084839,1.0919749396108485
83,0,51,16,0,0,1,0,14150.44,17394.22,21466.26,0.032302763836000295,0.0333810644784417,1.0333810644784416
84,0,50,8,0,0,0,1,4255.07,3074.19,6607.13,0.51145170273211,1.0468805348259382,2.046880534825938
85,0,45,12,1,0,0,0,9065.83,11267.0,18636.82,0.20969622816622668,0.2653362360648491,1.265336236064849
86,1,27,10,0,0,0,1,8839.73,10553.81,12955.29,0.2279941721642818,1.0,4.386077023404999
87,0,42,9,0,0,1,1,6254.03,8120.4,9876.01,0.3345552129812298,0.5027542773008349,1.5027542773008349
88,1,25,9,1,1,1,1,6689.55,7496.06,9305.8,0.33308884003398614,1.0,3.0022020548570967
89,0,24,14,0,0,0,0,7568.74,9436.3,11739.73,0.1798660870337331,0.2193130709388568,1.2193130709388567
90,0,19,16,1,0,0,0,10922.81,10886.33,14222.11,0.0512097250451637,0.05397370356436395,1.053973703564364
91,0,48,15,0,1,0,0,13575.46,13714.47,20022.79,0.06431450731723143,0.06873517631745135,1.0687351763174513
92,0,44,12,0,0,0,0,11197.61,11966.42,15315.58,0.14762888514780936,0.17319789769437416,1.1731978976943742
93,0,43,10,0,0,0,1,11541.13,11206.5,12736.9,0.13660259712047226,0.15821520503175848,1.1582152050317585
94,0,52,11,0,0,1,1,10454.67,9171.01,16232.69,0.10013768825695592,0.11128112262306887,1.1112811226230688
95,0,35,15,1,0,0,0,10005.12,13164.97,18409.21,0.09864553758842191,0.10944144806749534,1.1094414480674952
96,0,21,8,0,0,1,1,8612.69,9962.88,9433.78,0.2659799428946544,0.3623605926295298,1.3623605926295297
97,1,47,8,0,1,0,1,5709.05,6493.65,8767.15,0.5496884819197287,1.0,1.8192122136298108
98,1,23,9,1,0,0,1,8326.3,6509.16,9662.76,0.2250119894232913,1.0,4.444207628949076
99,0,27,15,1,0,0,0,16744.32,16251.16,17936.5,0.03,0.030927835051546393,1.0309278350515465
100,0,39,11,1,0,0,1,11557.04,11222.94,11055.66,0.09937987980530102,0.11034605776275214,1.1103460577627522
101,0,19,9,0,1,1,1,11312.05,14125.23,12395.55,0.20032043925636786,0.2505008869678842,1.2505008869678842
102,0,46,16,1,0,0,0,14217.68,16896.99,18807.39,0.0360976429471086,0.03744948093858416,1.0374494809385841
103,0,47,12,1,0,1,0,7951.61,9332.81,9913.93,0.19113400327992627,0.23629872445493896,1.2362987244549388
104,0,20,12,1,0,0,0,9689.35,7402.49,9748.69,0.13554105891793097,0.15679294004209177,1.1567929400420918
105,0,54,13,1,0,1,0,14887.16,16099.37,17957.48,0.04551353700391844,0.047683795180346406,1.0476837951803464
106,0,54,11,0,0,1,1,10170.17,10712.68,17811.04,0.11887572372807315,0.13491368576410268,1.1349136857641027
107,1,52,12,1,0,0,0,10341.73,11791.46,16815.83,0.16685860838296868,1.0,5.9930980468495285
108,0,39,11,1,0,0,1,8453.15,10979.05,11951.69,0.19955405405018636,0.24930359765067509,1.249303597650675
109,0,28,11,1,0,1,1,8913.62,12166.92,14942.92,0.14813886407524843,0.1739002494983339,1.173900249498334
110,1,25,13,0,0,0,0,6049.41,8960.91,14030.26,0.29002438039331013,1.0,3.447985988777468
111,0,24,15,0,0,0,0,14461.64,14066.98,17585.27,0.036205088288660134,0.0375651374049832,1.0375651374049832
112,0,46,11,0,0,1,1,10305.14,13896.4,12343.61,0.1370421225524656,0.15880511220062116,1.158805112200621
113,0,51,11,1,0,1,1,9390.96,9775.05,16224.31,0.12242221467460272,0.13950012947195303,1.139500129471953
114,0,34,8,1,0,1,1,11902.17,13220.36,14429.67,0.15176968384402334,0.17892508786035324,1.1789250878603532
115,0,55,16,0,0,1,0,15536.4,17605.08,20810.14,0.03,0.030927835051546393,1.0309278350515465
116,0,44,12,0,0,0,0,14691.85,15473.51,18104.99,0.08008471493661118,0.08705661949197067,1.0870566194919706
117,0,46,16,1,0,0,0,13572.53,16847.84,18375.31,0.04248285878886453,0.04436772665513768,1.0443677266551377
118,0,42,9,1,0,1,1,5930.25,2986.96,8941.88,0.2564767646407303,0.3449478811738829,1.3449478811738829
119,0,20,15,0,1,0,0,8879.47,11798.29,12457.81,0.1612846756081594,0.19229966463902187,1.1922996646390218
120,0,53,10,0,0,0,1,12368.81,14033.19,16171.67,0.13809451622204708,0.1602200227532413,1.1602200227532413
121,0,20,11,0,0,1,1,7094.19,10840.8,14232.12,0.2169132599599041,0.2769977435051417,1.2769977435051416
122,0,33,15,1,1,1,0,14260.37,18723.35,20193.61,0.050274834381491364,0.05293619270239077,1.0529361927023908
123,0,21,9,0,0,0,1,8176.99,4628.7,10057.28,0.22474838872135186,0.289903800845595,1.289903800845595
124,1,50,10,1,0,1,1,8353.08,7099.84,13982.11,0.16248478275772246,1.0,6.154422482079927
125,0,38,12,0,0,1,0,14587.74,15863.52,17312.16,0.06357709409252112,0.06789356997937715,1.0678935699793772
126,0,29,12,1,0,0,0,8177.9,10919.39,15380.0,0.23734748881802575,0.311213147977681,1.3112131479776812
127,0,40,12,0,0,0,0,12939.16,9263.7,15466.36,0.08122083916108166,0.08840082864626642,1.0884008286462665
128,0,21,13,0,0,0,0,11164.26,11888.49,15741.8,0.11180794849175325,0.1258826267380925,1.1258826267380926
129,0,32,13,1,1,1,0,15689.45,20070.1,23151.74,0.0606717751244202,0.06459060157854468,1.0645906015785447
130,0,40,8,1,0,0,1,7535.09,6540.8,10884.24,0.3273927665271195,0.48675177761126465,1.4867517776112646
131,0,28,8,0,0,0,1,9229.17,5962.72,6032.65,0.239206114494387,0.31441645240801847,1.3144164524080184
132,0,44,9,1,0,0,1,9417.37,12528.07,15031.27,0.26292123407666373,0.3567071068005916,1.3567071068005916
133,0,41,9,0,0,0,1,12088.05,10562.11,12564.7,0.14208943263059107,0.16562266282169313,1.165622662821693
134,0,29,16,0,1,0,0,12851.24,13677.92,17186.36,0.057601402042076345,0.061122121962927774,1.0611221219629277
135,0,37,13,0,0,0,0,13360.2,14844.5,15453.67,0.08337670831679134,0.09096071316678575,1.0909607131667858
136,0,24,11,0,1,0,1,6910.21,8928.83,13468.22,0.31819499098255394,0.46669500337216197,1.466695003372162
137,0,28,9,1,0,0,1,6628.42,9487.41,11109.04,0.36519106301397414,0.575277129442828,1.575277129442828
138,0,37,13,0,0,0,0,16428.94,16338.79,17329.95,0.04252902616253658,0.04441808401990904,1.044418084019909
139,0,48,12,0,0,1,0,14618.98,15741.03,19848.54,0.06457448815748101,0.06903220763167754,1.0690322076316776
140,0,36,15,0,0,1,0,14591.44,14816.19,17945.42,0.03,0.030927835051546393,1.0309278350515465
141,0,43,9,0,0,0,1,7357.36,5926.11,12579.29,0.2990023723373987,0.42653835125575085,1.4265383512557508
142,0,20,8,0,1,0,1,5836.27,5635.4,7596.29,0.5033227287982888,1.0133798302879833,2.0133798302879833
143,0,33,15,0,0,1,0,13600.5,15054.05,21435.16,0.03789550924791012,0.039388142984642646,1.0393881429846425
144,0,47,14,1,1,1,0,10955.2,12048.01,13116.11,0.09669889410170912,0.10705056538765838,1.1070505653876583
145,1,27,9,0,0,0,1,7868.78,7814.83,14837.79,0.2872155971661629,1.0,3.481705067087529
146,0,33,14,0,0,0,0,10118.44,13185.82,18733.62,0.1296265345700583,0.14893208458052679,1.1489320845805266
147,0,43,15,0,0,1,0,18656.88,17102.68,19926.36,0.03,0.030927835051546393,1.0309278350515465
148,0,22,15,0,0,0,0,13093.76,14858.2,19123.21,0.05389193806461971,0.056961715297486344,1.0569617152974864
149,0,45,13,1,0,0,0,9060.25,10858.83,13774.15,0.16809143446251523,0.20205517941014786,1.202055179410148
150,1,21,11,1,0,0,1,2666.64,7886.94,16643.79,0.4706136139907217,1.0,2.1248854055031976
151,0,25,14,0,0,1,0,16720.91,13980.89,15345.53,0.03,0.030927835051546393,1.0309278350515465
152,0,41,13,0,0,0,0,13721.94,14509.57,19482.46,0.07553293728195012,0.08170430329867431,1.0817043032986744
153,0,26,16,1,0,0,0,11066.29,13550.06,21150.64,0.06037674380901339,0.06425633189813396,1.064256331898134
154,1,42,9,0,0,1,1,7299.46,9455.26,14482.92,0.29459598153659333,1.0,3.394479431742638
155,1,31,12,1,0,1,0,10663.04,13647.49,18538.75,0.12817791366049294,1.0,7.801656084438363
156,0,39,9,0,0,0,1,6993.71,7355.83,11535.55,0.33929593323989155,0.5135369226705315,1.5135369226705315
157,1,51,9,0,1,0,1,12638.94,12736.8,18113.97,0.1904825049575527,1.0,5.2498259628769635
158,0,30,10,1,0,0,1,8671.09,5952.68,13092.9,0.16937695253683016,0.2039155463529808,1.2039155463529807
159,0,36,16,0,0,0,0,10342.4,10934.22,16792.59,0.06887532480865435,0.07397003499504565,1.0739700349950456
160,1,38,11,0,0,0,1,6920.04,7472.22,12706.03,0.2438505810190811,1.0,4.100871918454649
