household_id,cohort,children,marriage_years,wife_potential_share,wife_earning_share,wife_earns_more,wife_weekly_hours,husband_weekly_hours,wife_home_hours
35,1,3,18,0.4108,0.3928,0,32.2419,40.5621,20.0797
36,2,0,1,0.4893,0.5014,1,33.5611,40.4317,18.7571
37,3,1,2,0.3942,0.4022,0,33.2485,43.6138,16.6074
38,4,2,3,0.4686,0.4750,0,30.8085,37.9785,16.8124
39,5,3,4,0.4458,0.4287,0,33.7133,42.3432,18.7151
40,6,0,5,0.5121,0.4731,0,38.1207,35.6739,12.8087
41,7,1,6,0.5251,0.5048,1,27.1116,40.7114,18.7618
42,1,2,7,0.4487,0.4485,0,39.2834,40.8069,17.3202
43,2,3,8,0.4886,0.4823,0,28.2749,37.6299,18.2575
44,3,0,9,0.5583,0.5017,1,30.4412,42.5080,19.7633
45,4,1,10,0.4628,0.4534,0,32.7119,41.7897,15.1717
46,5,2,11,0.5095,0.4680,0,38.7370,44.1647,13.6664
47,6,3,12,0.4368,0.4313,0,30.0751,41.6089,25.3711
48,7,0,13,0.3604,0.4062,0,32.5651,35.4559,13.4172
49,1,1,14,0.2965,0.2819,0,30.7842,38.0344,16.8324
50,2,2,15,0.5117,0.4768,0,35.0519,40.6648,20.4636
51,3,3,16,0.5222,0.4933,0,38.4554,38.3357,18.2102
52,4,0,17,0.3882,0.3815,0,29.1341,35.6627,11.9878
53,5,1,18,0.3529,0.3124,0,30.1029,46.9179,15.7881
54,6,2,1,0.4621,0.4726,0,36.5648,42.9059,13.1178
55,7,3,2,0.5073,0.4579,0,30.2650,38.9457,20.4515
56,1,0,3,0.6529,0.6176,1,38.2380,41.5112,15.8599
57,2,1,4,0.4991,0.4856,0,30.7350,33.9525,17.5171
58,3,2,5,0.4558,0.4438,0,32.2932,39.3765,14.9189
59,4,3,6,0.3940,0.4039,0,26.4962,43.9044,19.4394
60,5,0,7,0.5287,0.4703,0,35.0354,36.3366,12.0450
61,6,1,8,0.5189,0.4579,0,28.3608,40.7019,19.2712
62,7,2,9,0.6015,0.5176,1,32.9209,40.6640,21.4053
63,1,3,10,0.4061,0.3928,0,31.3863,45.7598,20.1480
64,2,0,11,0.4254,0.4387,0,36.8390,36.0960,12.3665
65,3,1,12,0.4474,0.4387,0,38.2249,40.8258,13.5107
66,4,2,13,0.3750,0.3625,0,27.3673,42.7239,19.6806
67,5,3,14,0.4528,0.4688,0,28.7004,39.0578,19.2385
68,6,0,15,0.5189,0.4647,0,40.0753,38.7407,8.9812
69,7,1,16,0.3470,0.3252,0,33.7872,36.1072,15.7643
70,1,2,17,0.4286,0.4245,0,28.8475,39.7889,18.6432
71,2,3,18,0.6130,0.5765,1,29.0382,42.7676,28.2331
72,3,0,1,0.4874,0.4858,0,37.2261,38.0682,11.2461
73,4,1,2,0.4443,0.4374,0,30.6068,36.3163,15.3136
74,5,2,3,0.3633,0.3615,0,35.8335,42.0676,19.0406
75,6,3,4,0.4414,0.4368,0,32.5259,42.9835,19.6373
76,7,0,5,0.5820,0.5800,1,25.3009,33.2810,18.7528
77,1,1,6,0.5435,0.4802,0,30.5187,44.2628,16.0270
78,2,2,7,0.4029,0.4195,0,34.9482,41.2688,19.0424
79,3,3,8,0.5015,0.4646,0,31.3605,40.6065,19.1861
80,4,0,9,0.5428,0.5340,1,31.5573,38.7446,19.4388
81,5,1,10,0.4287,0.4045,0,23.2466,36.4809,18.5545
82,6,2,11,0.4139,0.4482,0,31.6751,45.1885,14.1189
83,7,3,12,0.5523,0.5162,1,31.3823,40.1156,21.8996
84,1,0,13,0.5259,0.5045,1,33.7034,40.8651,19.7480
85,2,1,14,0.4947,0.4914,0,36.3097,42.2966,15.3923
86,3,2,15,0.4976,0.5401,1,26.4689,37.2825,20.5321
87,4,3,16,0.4696,0.4666,0,32.8221,40.4173,19.7065
88,5,0,17,0.4720,0.4576,0,35.3782,36.2820,9.8966
89,6,1,18,0.4380,0.4296,0,37.3049,44.8289,14.3864
90,7,2,1,0.5555,0.5012,1,27.6345,41.0608,19.6717
91,1,3,2,0.4852,0.4892,0,28.1786,42.7520,19.0953
92,2,0,3,0.5419,0.4744,0,36.1151,42.7419,12.3690
93,3,1,4,0.3825,0.4194,0,32.9108,38.5286,19.5342
94,4,2,5,0.4964,0.5047,1,28.2145,39.0196,22.5999
95,5,3,6,0.4789,0.5005,1,24.8559,44.1232,24.9985
96,6,0,7,0.4738,0.4793,0,40.1917,42.3264,10.9956
97,7,1,8,0.3786,0.3875,0,27.5371,42.3218,13.8048
98,1,2,9,0.4401,0.3986,0,33.3203,47.0221,15.0420
99,2,3,10,0.3715,0.3703,0,26.5847,44.2607,19.1198
100,3,0,11,0.5100,0.4858,0,30.9961,34.0854,14.5274
101,4,1,12,0.2949,0.3011,0,27.9263,43.9919,15.0634
102,5,2,13,0.3973,0.4025,0,24.6768,48.4995,19.5805
103,6,3,14,0.5491,0.5041,1,30.1038,40.7249,23.1546
104,7,0,15,0.4556,0.4605,0,34.4786,41.2259,13.9569
105,1,1,16,0.5498,0.5110,1,26.2019,39.7098,15.6411
106,2,2,17,0.4475,0.4540,0,26.3365,39.1771,23.2977
107,3,3,18,0.4394,0.4365,0,30.3898,40.1692,19.7393
108,4,0,1,0.3291,0.3221,0,32.9254,37.3170,14.0675
109,5,1,2,0.5368,0.5165,1,26.8201,41.5191,24.1231
110,6,2,3,0.4306,0.4198,0,31.9432,36.5260,16.9830
111,7,3,4,0.5522,0.5115,1,26.4333,44.8268,23.8190
112,1,0,5,0.4328,0.4328,0,37.0513,40.5049,14.1980
113,2,1,6,0.3856,0.4051,0,33.1047,38.4090,16.0459
114,3,2,7,0.3243,0.3596,0,32.9415,42.3260,17.3317
115,4,3,8,0.3915,0.3963,0,34.6734,38.7776,22.6680
116,5,0,9,0.4314,0.4386,0,30.6910,37.4244,9.8499
117,6,1,10,0.5742,0.5238,1,33.5208,36.3567,18.1916
118,7,2,11,0.5496,0.5144,1,26.1220,50.2399,24.0645
119,1,3,12,0.5835,0.5400,1,28.6534,39.4427,25.8239
120,2,0,13,0.5244,0.4704,0,27.8464,34.5567,16.3990
121,3,1,14,0.3970,0.4058,0,28.7627,40.0928,15.4923
122,4,2,15,0.4223,0.4202,0,35.1014,40.7825,18.9874
123,5,3,16,0.6736,0.6454,1,33.6625,40.6667,22.1985
124,6,0,17,0.4808,0.4677,0,33.2540,39.3033,8.4817
125,7,1,18,0.5036,0.4667,0,38.8923,42.3524,13.8345
126,1,2,1,0.4787,0.4733,0,28.2248,42.2509,19.0371
127,2,3,2,0.3936,0.4280,0,29.9144,41.5871,21.0196
128,3,0,3,0.3437,0.3185,0,35.6044,44.3534,10.9216
129,4,1,4,0.5042,0.5047,1,25.8500,41.7472,22.6539
130,5,2,5,0.6077,0.5464,1,34.0224,33.9398,20.9798
131,6,3,6,0.4161,0.3884,0,29.0582,45.2418,17.9346
132,7,0,7,0.3852,0.3784,0,27.0052,36.5033,15.6569
133,1,1,8,0.4551,0.4778,0,30.7873,42.6583,16.1876
134,2,2,9,0.5114,0.5029,1,25.6108,45.7263,19.0744
135,3,3,10,0.4541,0.4483,0,36.1950,32.9472,18.4084
136,4,0,11,0.3707,0.3850,0,30.6310,36.4120,13.7621
137,5,1,12,0.6244,0.5661,1,28.6241,40.7216,19.6908
138,6,2,13,0.4388,0.4016,0,37.0909,47.0634,16.2198
139,7,3,14,0.4606,0.4623,0,29.2228,43.3477,20.5991
140,1,0,15,0.3540,0.3536,0,32.2785,42.8291,14.8997
141,2,1,16,0.4702,0.4897,0,32.3493,40.2815,19.0482
142,3,2,17,0.4870,0.4698,0,31.0502,41.4830,15.4405
143,4,3,18,0.4964,0.4966,0,33.2870,40.0231,21.4207
144,5,0,1,0.5123,0.4380,0,32.4121,38.2704,13.5699
145,6,1,2,0.3375,0.3420,0,23.6944,36.9551,17.5321
146,7,2,3,0.5130,0.4894,0,33.7610,33.9441,20.0194
147,1,3,4,0.5488,0.5271,1,26.8805,39.2630,22.6404
148,2,0,5,0.4738,0.4496,0,36.3308,38.0102,12.8591
149,3,1,6,0.5635,0.5654,1,37.4061,38.3411,19.1490
150,4,2,7,0.3607,0.3671,0,31.7961,39.1731,16.7842
151,5,3,8,0.5383,0.4714,0,30.3055,39.3631,19.9232
152,6,0,9,0.4175,0.4350,0,33.6503,36.5978,15.5533
153,7,1,10,0.4716,0.4390,0,30.6170,38.8912,19.0567
154,1,2,11,0.3841,0.3892,0,31.3796,40.4139,19.8819
155,2,3,12,0.4502,0.4835,0,32.1056,38.4134,20.5243
156,3,0,13,0.4210,0.3999,0,32.5676,36.0046,14.9472
157,4,1,14,0.3673,0.3769,0,26.3800,34.6680,13.4024
158,5,2,15,0.4023,0.4227,0,31.2949,37.0741,16.9458
159,6,3,16,0.5228,0.4856,0,27.9982,38.4512,20.5658
160,7,0,17,0.4406,0.4425,0,32.1306,36.5339,14.1216
161,1,1,18,0.5852,0.5477,1,33.8007,45.1723,18.2295
162,2,2,1,0.3710,0.3649,0,30.4232,40.7917,16.2021
163,3,3,2,0.5157,0.4816,0,32.8222,44.6271,22.0710
164,4,0,3,0.4420,0.4316,0,32.2904,38.0108,10.6458
165,5,1,4,0.4027,0.4230,0,34.1602,39.0269,14.1059
166,6,2,5,0.4838,0.4753,0,34.2834,41.9535,20.7805
167,7,3,6,0.4525,0.4885,0,28.9977,40.9766,18.3229
168,1,0,7,0.5540,0.5210,1,33.2890,41.1876,21.5791
169,2,1,8,0.3963,0.3955,0,36.8480,39.1289,16.4192
170,3,2,9,0.4912,0.4751,0,32.6891,38.9687,20.9315
171,4,3,10,0.3660,0.3613,0,27.7478,39.5909,21.2316
172,5,0,11,0.2752,0.2599,0,32.0255,43.8501,15.4618
173,6,1,12,0.4621,0.4609,0,31.3110,35.8752,17.5368
174,7,2,13,0.3763,0.3959,0,33.0249,39.1766,18.4588
175,1,3,14,0.5325,0.4735,0,38.2181,42.9682,16.1375
176,2,0,15,0.5292,0.5051,1,30.5258,39.6413,17.8582
177,3,1,16,0.4643,0.4978,0,33.4903,34.2133,18.8308
178,4,2,17,0.4347,0.4411,0,32.9142,43.4167,12.1498
179,5,3,18,0.4737,0.5144,1,30.7696,43.5164,27.5951
180,6,0,1,0.3657,0.3946,0,30.3930,40.8352,13.7960
181,7,1,2,0.4171,0.4000,0,30.7527,38.3578,17.0778
182,1,2,3,0.3972,0.4018,0,31.9702,37.0434,18.4701
183,2,3,4,0.4665,0.4851,0,37.8087,45.6399,22.0881
184,3,0,5,0.3443,0.3463,0,29.4028,40.7700,11.2705
185,4,1,6,0.4217,0.4281,0,33.1217,41.6498,15.0773
186,5,2,7,0.4365,0.4470,0,32.9627,43.4369,18.9728
187,6,3,8,0.6060,0.5540,1,30.9418,39.0907,22.7725
188,7,0,9,0.5700,0.5634,1,34.2473,41.2570,16.4538
189,1,1,10,0.3950,0.4051,0,34.2840,37.8277,16.8216
190,2,2,11,0.4576,0.4442,0,27.7446,32.7616,18.6647
191,3,3,12,0.4414,0.4700,0,32.2567,40.6464,20.9206
192,4,0,13,0.4476,0.4339,0,32.5160,39.4767,13.0371
193,5,1,14,0.4263,0.4245,0,31.0831,43.3571,15.7148
194,6,2,15,0.4635,0.4701,0,29.3239,39.1378,21.0109
195,7,3,16,0.5145,0.4582,0,40.5530,39.3798,21.1357
196,1,0,17,0.4288,0.4341,0,34.4390,34.7811,10.3836
197,2,1,18,0.5188,0.4626,0,31.3254,41.2306,15.1262
198,3,2,1,0.5024,0.4939,0,24.0679,38.4012,20.6165
199,4,3,2,0.3588,0.3778,0,20.6359,41.8631,20.6764
200,5,0,3,0.5052,0.4902,0,28.4281,37.0029,14.5251
201,6,1,4,0.5159,0.4780,0,31.4461,41.3053,14.1636
202,7,2,5,0.4931,0.4639,0,28.3537,45.2515,15.3497
203,1,3,6,0.4796,0.4728,0,36.1418,39.5016,21.8338
204,2,0,7,0.4233,0.4262,0,30.3035,42.6126,14.1703
205,3,1,8,0.4895,0.5018,1,30.4008,40.4754,14.7178
206,4,2,9,0.3858,0.4018,0,32.5806,42.9512,15.9468
207,5,3,10,0.3547,0.3722,0,24.5739,43.2190,19.5425
208,6,0,11,0.3505,0.3353,0,32.6369,42.3909,9.7748
209,7,1,12,0.4348,0.4449,0,36.5727,46.2925,16.1439
210,1,2,13,0.3544,0.3447,0,28.9575,46.5510,19.2383
211,2,3,14,0.4867,0.4353,0,35.0096,41.0164,18.0284
212,3,0,15,0.4931,0.5128,1,33.9118,44.6386,14.8570
213,4,1,16,0.3252,0.3123,0,33.8670,39.6574,12.5031
214,5,2,17,0.5637,0.5098,1,28.2956,43.9584,23.6951
215,6,3,18,0.3987,0.3904,0,28.1423,39.1796,22.4240
216,7,0,1,0.4856,0.4675,0,32.5175,37.0675,13.8852
217,1,1,2,0.4787,0.4885,0,32.0616,37.4606,12.5951
218,2,2,3,0.4031,0.3943,0,30.0689,42.0604,18.4789
219,3,3,4,0.4485,0.4540,0,33.4642,38.0025,20.5115
220,4,0,5,0.4217,0.3976,0,30.7773,42.2076,10.6444
221,5,1,6,0.5679,0.5163,1,30.6343,42.7656,23.8586
222,6,2,7,0.5124,0.4827,0,36.7646,39.0642,14.9558
223,7,3,8,0.4128,0.4294,0,26.7167,40.3786,20.0080
224,1,0,9,0.4612,0.4728,0,30.2943,39.0512,11.3367
225,2,1,10,0.6167,0.5832,1,32.3230,40.8837,15.4201
226,3,2,11,0.5728,0.5248,1,22.5244,44.2754,24.2221
227,4,3,12,0.2974,0.2992,0,28.5979,39.7838,16.2053
228,5,0,13,0.5057,0.4893,0,31.8382,40.1371,12.0453
229,6,1,14,0.5188,0.4530,0,36.0957,37.6806,13.2964
230,7,2,15,0.4772,0.4898,0,33.4530,36.2760,16.2572
231,1,3,16,0.4440,0.4345,0,30.1490,40.3038,19.6852
232,2,0,17,0.4677,0.4835,0,37.3282,41.7793,13.9515
233,3,1,18,0.5159,0.4829,0,29.0999,38.7044,13.6490
234,4,2,1,0.4386,0.4358,0,29.6947,43.3376,15.6642
235,5,3,2,0.4758,0.4758,0,32.3763,43.3592,16.1241
236,6,0,3,0.5497,0.4791,0,35.3163,36.2536,12.5043
237,7,1,4,0.3888,0.4122,0,31.3996,35.6061,16.2418
238,1,2,5,0.5102,0.4602,0,32.6597,46.2551,16.9188
239,2,3,6,0.4338,0.4141,0,29.9430,37.8701,16.8228
240,3,0,7,0.4118,0.4175,0,39.6829,38.9967,12.5278
241,4,1,8,0.3841,0.3917,0,38.3173,41.7885,20.3583
242,5,2,9,0.5509,0.5118,1,23.7630,41.2169,23.6476
243,6,3,10,0.4541,0.4640,0,26.5954,44.2555,18.9677
244,7,0,11,0.5005,0.4918,0,35.2385,44.3404,13.5488
245,1,1,12,0.5074,0.4707,0,31.8396,36.2930,13.1485
246,2,2,13,0.4982,0.5218,1,20.1269,43.5982,22.0175
247,3,3,14,0.5562,0.4813,0,30.6882,44.6802,20.4521
248,4,0,15,0.4063,0.3956,0,37.5614,38.8463,12.2522
249,5,1,16,0.6821,0.6258,1,35.9608,32.1275,21.6515
250,6,2,17,0.4360,0.4481,0,27.5362,36.8533,20.1389
251,7,3,18,0.4258,0.4347,0,37.4513,37.6972,18.2135
252,1,0,1,0.5227,0.4906,0,37.9708,40.3225,8.7711
253,2,1,2,0.4877,0.4869,0,33.2310,36.7534,18.5562
254,3,2,3,0.5515,0.5267,1,29.2965,36.2457,22.8933
255,4,3,4,0.3672,0.3521,0,28.8298,42.9804,23.0420
256,5,0,5,0.3655,0.3580,0,32.6382,39.0988,12.9457
257,6,1,6,0.4820,0.4726,0,38.2758,41.2629,13.2837
258,7,2,7,0.4790,0.4897,0,32.2181,37.9688,18.4768
259,1,3,8,0.4443,0.4472,0,28.7327,36.5043,20.2822
260,2,0,9,0.5249,0.5017,1,33.4066,39.9544,15.5258
261,3,1,10,0.3742,0.4294,0,29.2090,35.2696,14.8630
262,4,2,11,0.5367,0.5285,1,32.1031,39.5600,21.4802
263,5,3,12,0.2910,0.2967,0,28.3314,38.6427,20.2708
264,6,0,13,0.4712,0.4816,0,31.4400,36.9180,7.9243
265,7,1,14,0.4574,0.4850,0,35.8817,39.8393,18.0964
266,1,2,15,0.5082,0.4768,0,39.7085,40.8924,15.2837
267,2,3,16,0.4454,0.4243,0,30.0500,36.9878,20.1623
268,3,0,17,0.5587,0.5528,1,33.1745,37.6211,18.4393
269,4,1,18,0.4097,0.4210,0,32.1145,43.2446,17.1115
270,5,2,1,0.6643,0.5823,1,28.5936,41.3319,22.6040
271,6,3,2,0.4908,0.4976,0,31.6592,39.6587,20.2516
272,7,0,3,0.3892,0.4355,0,31.9292,43.9590,15.8643
273,1,1,4,0.5231,0.5128,1,25.2015,34.7720,20.5218
274,2,2,5,0.5904,0.5305,1,34.4313,43.6655,23.1432
275,3,3,6,0.3806,0.3875,0,33.3242,37.2288,20.7873
276,4,0,7,0.4068,0.3948,0,33.4271,41.9994,13.4087
277,5,1,8,0.4891,0.4776,0,35.8018,33.1486,16.3010
278,6,2,9,0.4244,0.4312,0,37.9476,40.0596,18.4001
279,7,3,10,0.4745,0.4724,0,31.2615,38.7185,22.7862
280,1,0,11,0.3983,0.3824,0,28.1557,40.0548,18.0711
281,2,1,12,0.6468,0.6091,1,27.3678,41.6803,21.8502
282,3,2,13,0.4238,0.4246,0,35.3242,39.3859,16.9968
283,4,3,14,0.3003,0.2924,0,27.7203,37.0575,24.6986
284,5,0,15,0.3440,0.3454,0,27.0650,36.8414,12.4589
285,6,1,16,0.4408,0.4545,0,29.9076,43.0014,15.0113
286,7,2,17,0.4671,0.4954,0,39.1057,38.0941,15.9160
287,1,3,18,0.4706,0.4866,0,25.9691,41.2976,19.8100
288,2,0,1,0.5056,0.4405,0,35.3975,34.0769,17.3363
289,3,1,2,0.5038,0.4761,0,33.2169,39.6436,15.7896
290,4,2,3,0.4103,0.3774,0,31.0108,42.3207,19.7720
291,5,3,4,0.4070,0.3933,0,30.4733,42.3917,21.0067
292,6,0,5,0.4443,0.4717,0,29.6771,39.4672,14.8319
293,7,1,6,0.4558,0.4833,0,30.2386,38.0914,18.0739
294,1,2,7,0.4868,0.4663,0,34.8335,36.2774,16.6979
295,2,3,8,0.4175,0.4526,0,28.4087,42.6599,18.3810
296,3,0,9,0.5465,0.5214,1,32.5678,40.9481,21.6857
297,4,1,10,0.3364,0.3584,0,26.9472,37.0761,12.7041
298,5,2,11,0.5311,0.4571,0,30.5827,44.1711,19.4104
299,6,3,12,0.3513,0.3294,0,29.0786,42.4231,22.4201
300,7,0,13,0.2750,0.2296,0,28.9854,41.8379,12.3014
301,1,1,14,0.5092,0.4380,0,33.1452,43.0294,15.5299
302,2,2,15,0.3652,0.3720,0,29.2834,35.7858,14.7942
303,3,3,16,0.4825,0.4890,0,32.0495,41.5829,19.1238
304,4,0,17,0.3869,0.3867,0,33.9599,35.1371,12.1459
305,5,1,18,0.5256,0.5181,1,28.5771,42.2747,20.8911
306,6,2,1,0.4415,0.4304,0,28.3333,37.5509,17.6608
307,7,3,2,0.5040,0.4811,0,29.5017,38.3477,21.8483
308,1,0,3,0.4618,0.4770,0,34.5909,37.8098,16.7749
309,2,1,4,0.3938,0.4039,0,31.9098,39.2955,16.5205
310,3,2,5,0.4918,0.5037,1,28.5354,39.9958,24.8400
311,4,3,6,0.3943,0.3633,0,28.9883,40.4835,25.3213
312,5,0,7,0.4077,0.4130,0,28.0284,40.2630,13.3446
313,6,1,8,0.4452,0.4330,0,33.2902,37.3785,13.8265
314,7,2,9,0.4367,0.4209,0,33.6413,35.9060,17.0621
315,1,3,10,0.5125,0.4739,0,30.3373,41.7277,19.9426
316,2,0,11,0.5670,0.5209,1,31.1249,37.0775,13.5941
317,3,1,12,0.4814,0.4757,0,30.3846,39.7946,12.5477
318,4,2,13,0.5075,0.4864,0,34.6429,36.6709,16.5414
319,5,3,14,0.6039,0.5783,1,17.8997,38.6851,26.0513
320,6,0,15,0.5480,0.4738,0,43.3052,42.5627,12.1448
321,7,1,16,0.5883,0.5741,1,33.2322,42.5522,21.3243
322,1,2,17,0.4410,0.4249,0,32.5129,47.1383,15.9997
323,2,3,18,0.4456,0.4568,0,29.6999,40.2357,19.9893
324,3,0,1,0.3584,0.3519,0,32.1508,34.9710,16.1059
325,4,1,2,0.2017,0.2098,0,29.8198,37.5598,13.2831
326,5,2,3,0.4234,0.4374,0,30.4278,44.9172,18.9208
327,6,3,4,0.5664,0.5005,1,26.4676,44.1607,25.0804
328,7,0,5,0.4214,0.4251,0,36.1614,37.6587,10.2685
329,1,1,6,0.2388,0.2532,0,32.1391,40.3307,13.3448
330,2,2,7,0.4206,0.4018,0,35.4456,40.5029,14.9657
331,3,3,8,0.5683,0.5100,1,27.6564,43.3825,22.3666
332,4,0,9,0.3535,0.3748,0,29.6016,40.8030,14.3277
333,5,1,10,0.3796,0.3743,0,33.9006,33.9820,14.1879
334,6,2,11,0.5061,0.4649,0,35.9600,40.5222,17.7753
335,7,3,12,0.5511,0.5204,1,33.1797,44.1009,27.5830
336,1,0,13,0.5494,0.4828,0,38.9569,33.1686,11.1328
337,2,1,14,0.2827,0.2781,0,23.8292,40.6542,18.4873
338,3,2,15,0.4581,0.4486,0,28.5081,38.5991,17.0359
339,4,3,16,0.4937,0.5119,1,29.8591,39.2948,28.3189
340,5,0,17,0.4449,0.4382,0,34.4813,36.3325,11.7887
341,6,1,18,0.4035,0.4018,0,31.9604,41.1005,12.1342
342,7,2,1,0.3479,0.3421,0,31.5684,43.0051,16.4932
343,1,3,2,0.4892,0.5088,1,25.7042,39.4886,21.3952
344,2,0,3,0.5590,0.5119,1,33.0384,34.1771,15.8114
345,3,1,4,0.5494,0.5036,1,27.9358,40.4801,23.2072
346,4,2,5,0.4719,0.4891,0,29.2599,35.9973,19.8445
347,5,3,6,0.5422,0.5110,1,27.5009,36.6871,27.0459
348,6,0,7,0.3613,0.3350,0,28.1199,35.2089,11.7587
349,7,1,8,0.4440,0.4735,0,31.1349,36.4286,13.9074
350,1,2,9,0.5416,0.4847,0,33.0837,35.8019,19.8501
351,2,3,10,0.3989,0.4141,0,30.4263,44.6249,20.7627
352,3,0,11,0.4340,0.4405,0,33.5374,36.3247,14.6383
353,4,1,12,0.3938,0.4039,0,29.0667,37.7238,14.7605
354,5,2,13,0.4303,0.4355,0,36.5669,38.5300,15.8213
355,6,3,14,0.4061,0.4097,0,25.2860,38.2020,19.2310
356,7,0,15,0.5057,0.4778,0,36.7451,36.8671,15.5015
357,1,1,16,0.4446,0.4407,0,31.3830,43.4163,16.0929
358,2,2,17,0.3605,0.3769,0,29.4653,44.0929,17.1475
359,3,3,18,0.5088,0.4461,0,33.2847,45.5691,20.2646
360,4,0,1,0.3711,0.3480,0,32.5539,39.4457,11.2245
361,5,1,2,0.5324,0.5022,1,30.3806,43.6506,19.0040
362,6,2,3,0.5839,0.5242,1,19.7175,40.6950,25.6731
363,7,3,4,0.4718,0.4625,0,36.8416,48.2114,17.9021
364,1,0,5,0.4848,0.5120,1,32.7118,36.8103,21.6065
365,2,1,6,0.4195,0.4425,0,30.1067,42.5648,17.8398
366,3,2,7,0.6230,0.5921,1,32.7819,39.0562,21.1391
367,4,3,8,0.4567,0.4677,0,29.4521,40.7706,18.9650
368,5,0,9,0.4651,0.4750,0,36.2732,38.2535,9.8728
369,6,1,10,0.3982,0.4063,0,29.4408,35.8047,16.7981
370,7,2,11,0.5469,0.5179,1,23.6105,39.5401,24.6916
371,1,3,12,0.4192,0.4203,0,33.4916,44.0092,20.4937
372,2,0,13,0.4590,0.4665,0,33.1115,38.2042,13.1720
373,3,1,14,0.4987,0.4849,0,31.7871,39.0238,13.9951
374,4,2,15,0.4437,0.4785,0,31.8150,37.8619,19.2882
375,5,3,16,0.5371,0.5051,1,26.1998,43.2922,25.1683
376,6,0,17,0.3790,0.4074,0,31.9776,42.3431,11.6319
377,7,1,18,0.4418,0.4473,0,30.3085,35.9186,14.3006
378,1,2,1,0.3044,0.3100,0,30.3861,37.5888,21.3024
379,2,3,2,0.4539,0.4586,0,27.8013,38.9721,19.7582
380,3,0,3,0.4732,0.5110,1,32.5922,37.4178,18.7879
381,4,1,4,0.3977,0.4118,0,28.0623,39.0512,17.3366
382,5,2,5,0.5717,0.5336,1,34.4642,43.6029,21.0428
383,6,3,6,0.5787,0.4963,0,32.9778,40.6873,17.1247
384,7,0,7,0.3075,0.3141,0,35.2142,36.3247,12.7894
385,1,1,8,0.4433,0.4855,0,25.9957,41.7532,17.1315
386,2,2,9,0.3494,0.3699,0,27.5415,45.0262,19.8483
387,3,3,10,0.4848,0.4873,0,30.6519,39.2020,18.5222
388,4,0,11,0.5110,0.5073,1,37.1099,33.1591,17.0907
389,5,1,12,0.5813,0.5363,1,30.2284,41.7754,19.6101
390,6,2,13,0.5036,0.4705,0,29.8076,36.4878,18.4207
391,7,3,14,0.4538,0.4830,0,32.7955,38.0466,20.5501
392,1,0,15,0.7186,0.6779,1,31.6969,41.1556,18.6681
393,2,1,16,0.4561,0.4713,0,30.4757,42.1523,16.1047
394,3,2,17,0.5944,0.5275,1,28.2746,41.9156,18.4565
395,4,3,18,0.4069,0.3912,0,27.3872,38.3650,17.2427
396,5,0,1,0.4924,0.4893,0,35.6805,42.5255,13.6133
