ad_id,period,occupation,posted_wage,explicit_gender_preference,gendered_language_score,flexibility_score,applications_total,female_application_share
A050,pre_ban,logistics,35.4470,0,0.4815,0.4639,51,0.4528
A051,pre_ban,admin,29.5874,0,0.1828,0.6901,68,0.5861
A052,pre_ban,admin,34.7116,0,0.1480,0.5885,47,0.6176
A053,pre_ban,logistics,34.7132,0,0.4327,0.3143,47,0.5489
A054,pre_ban,public,31.7866,0,0.3468,0.6331,63,0.5395
A055,pre_ban,logistics,36.3375,0,0.4732,0.4211,49,0.4682
A056,pre_ban,tech,48.4534,0,0.6470,0.2701,43,0.4469
A057,pre_ban,management,50.7762,0,0.3558,0.2332,37,0.4718
A058,pre_ban,tech,47.7624,0,0.6540,0.1129,26,0.3711
A059,pre_ban,management,49.4993,0,0.4066,0.2417,51,0.4347
A060,pre_ban,logistics,36.8073,1,0.5578,0.2621,31,0.2444
A061,pre_ban,tech,45.8341,0,0.6516,0.4109,43,0.4252
A062,pre_ban,tech,48.7054,0,0.4134,0.3914,47,0.5081
A063,pre_ban,public,38.8516,0,0.3455,0.5810,40,0.5957
A064,pre_ban,management,50.9258,1,0.4799,0.4718,24,0.3324
A065,pre_ban,public,38.3944,0,0.3017,0.7241,55,0.5871
A066,pre_ban,management,54.6338,0,0.3826,0.1071,64,0.4123
A067,pre_ban,tech,46.6120,0,0.5274,0.3973,45,0.5040
A068,pre_ban,logistics,38.1780,0,0.4911,0.0000,28,0.4277
A069,pre_ban,care,25.8877,0,0.2060,0.4919,38,0.5133
A070,pre_ban,tech,47.3398,1,0.4935,0.3636,30,0.2391
A071,pre_ban,admin,33.6391,0,0.1445,0.9821,67,0.6830
A072,pre_ban,care,29.1534,0,0.2015,0.8185,61,0.5728
A073,pre_ban,public,38.3131,0,0.2724,0.5607,29,0.5682
A074,pre_ban,care,25.4606,0,0.3811,0.4736,50,0.5195
A075,pre_ban,admin,30.0811,0,0.2311,0.6582,23,0.5388
A076,pre_ban,tech,46.6115,0,0.4049,0.2295,57,0.4525
A077,pre_ban,public,31.8124,0,0.0018,0.6124,57,0.6643
A078,pre_ban,public,35.7558,0,0.0247,0.7353,33,0.6492
A079,pre_ban,care,24.7867,0,0.0695,0.6127,60,0.6321
A080,pre_ban,admin,33.7583,0,0.2591,0.7226,53,0.6235
A081,pre_ban,management,56.7665,1,0.5683,0.2251,39,0.1845
A082,pre_ban,tech,51.1432,0,0.5244,0.4690,39,0.5256
A083,pre_ban,care,28.1736,0,0.3797,0.7565,38,0.5470
A084,pre_ban,logistics,40.6663,0,0.5937,0.5435,50,0.4817
A085,pre_ban,management,53.2425,0,0.6091,0.3182,55,0.4727
A086,pre_ban,tech,46.1425,0,0.5172,0.4805,49,0.4450
A087,pre_ban,tech,45.5379,1,0.4195,0.2221,8,0.2054
A088,pre_ban,care,30.8454,0,0.2724,0.7239,33,0.5843
A089,pre_ban,public,33.3148,0,0.3135,0.7344,62,0.5534
A090,pre_ban,management,56.5533,0,0.6747,0.1353,44,0.3582
A091,pre_ban,care,27.9546,0,0.2324,0.5620,53,0.5665
A092,pre_ban,tech,49.6951,1,0.6337,0.5324,59,0.3072
A093,pre_ban,tech,45.5183,1,0.6895,0.3843,33,0.1957
A094,pre_ban,tech,49.9049,1,0.5696,0.5712,48,0.3401
A095,pre_ban,tech,45.0482,1,0.7928,0.4083,33,0.1646
A096,pre_ban,admin,31.8153,0,0.3211,0.1803,25,0.4416
A097,pre_ban,care,28.6549,0,0.4494,0.7441,48,0.6124
A098,pre_ban,admin,30.8738,0,0.3204,0.5956,61,0.5983
A099,pre_ban,care,24.8861,0,0.1889,0.6874,42,0.5754
A100,pre_ban,admin,30.0459,0,0.1467,0.4940,45,0.6305
A101,pre_ban,tech,45.6239,1,0.3626,0.3345,28,0.2972
A102,pre_ban,logistics,38.8661,0,0.5684,0.2701,45,0.4878
A103,pre_ban,logistics,39.0570,1,0.5334,0.2904,26,0.2448
A104,pre_ban,tech,50.0023,0,0.1172,0.1192,43,0.5104
A105,pre_ban,logistics,35.6777,1,0.6148,0.2816,15,0.1913
A106,pre_ban,management,54.0617,1,0.5704,0.3305,32,0.2137
A107,pre_ban,admin,28.4799,0,0.0596,0.4305,62,0.5375
A108,pre_ban,logistics,38.4929,0,0.4470,0.3311,38,0.4950
A109,pre_ban,public,38.7333,0,0.2443,0.6306,38,0.6319
A110,pre_ban,tech,46.9852,0,0.6078,0.2987,39,0.4980
A111,pre_ban,logistics,37.8881,0,0.6196,0.3584,67,0.4552
A112,pre_ban,management,55.0473,0,0.7546,0.4511,52,0.4432
A113,pre_ban,care,29.6491,0,0.1173,0.5309,53,0.6324
A114,pre_ban,tech,48.2160,0,0.5246,0.4294,47,0.5083
A115,pre_ban,public,36.4759,0,0.1737,0.6314,32,0.5533
A116,pre_ban,public,36.4004,0,0.2870,0.7472,68,0.5377
A117,pre_ban,admin,31.9253,0,0.1861,0.8172,61,0.5854
A118,pre_ban,care,28.6687,0,0.1329,0.9670,52,0.7239
A119,pre_ban,management,50.1942,0,0.4824,0.2496,41,0.4661
A120,pre_ban,management,53.5793,1,0.7260,0.2849,35,0.1676
A121,post_ban,logistics,36.2035,0,0.4133,0.4597,45,0.5101
A122,post_ban,public,32.6360,0,0.0000,0.6174,43,0.6466
A123,post_ban,public,37.3523,0,0.1019,0.4817,39,0.5775
A124,post_ban,care,24.3650,0,0.0573,0.7444,42,0.7065
A125,post_ban,care,25.9711,0,0.0000,0.5907,57,0.6915
A126,post_ban,tech,44.6596,0,0.4682,0.5229,51,0.5660
A127,post_ban,public,34.9073,0,0.0457,0.5693,27,0.6533
A128,post_ban,care,27.2411,0,0.0000,0.7349,62,0.7342
A129,post_ban,tech,51.8251,0,0.3633,0.3460,57,0.6095
A130,post_ban,management,55.0314,0,0.6177,0.5361,48,0.5589
A131,post_ban,admin,33.6544,0,0.1024,0.5517,32,0.6641
A132,post_ban,public,35.7744,0,0.0000,0.3026,49,0.6312
A133,post_ban,admin,30.4491,0,0.0000,0.7600,44,0.6822
A134,post_ban,tech,44.1044,0,0.6059,0.4229,34,0.4952
A135,post_ban,tech,46.1591,0,0.4995,0.1648,35,0.5547
A136,post_ban,logistics,37.2599,0,0.3973,0.3583,27,0.6149
A137,post_ban,logistics,37.1348,0,0.3155,0.3930,34,0.5721
A138,post_ban,care,24.2520,0,0.1883,0.8087,55,0.7072
A139,post_ban,logistics,40.8786,0,0.5333,0.5132,52,0.5230
A140,post_ban,logistics,34.0864,0,0.4264,0.5439,60,0.6132
A141,post_ban,admin,31.7324,0,0.0000,0.6712,61,0.6874
A142,post_ban,logistics,34.1331,0,0.5224,0.3403,28,0.4707
A143,post_ban,tech,45.4017,0,0.4311,0.2804,36,0.5359
A144,post_ban,care,30.0995,0,0.0000,0.8311,31,0.7676
A145,post_ban,logistics,37.4840,0,0.3481,0.0741,44,0.4868
A146,post_ban,tech,51.9208,0,0.4132,0.3647,37,0.5062
A147,post_ban,care,31.8161,0,0.0624,0.7413,55,0.6707
A148,post_ban,logistics,34.5096,0,0.3206,0.1221,40,0.5812
A149,post_ban,admin,34.1967,0,0.1543,0.9754,44,0.7666
A150,post_ban,admin,33.1013,0,0.0685,0.4427,46,0.6108
A151,post_ban,logistics,37.8148,0,0.3652,0.3782,47,0.5889
A152,post_ban,logistics,41.7804,0,0.3600,0.1430,37,0.5292
A153,post_ban,tech,51.7369,0,0.5734,0.3403,64,0.5247
A154,post_ban,admin,29.3173,0,0.0000,0.8182,48,0.7094
A155,post_ban,logistics,41.7099,0,0.5387,0.4447,40,0.5362
A156,post_ban,tech,47.8546,0,0.6787,0.3034,56,0.5053
A157,post_ban,care,25.2120,0,0.0256,0.8405,40,0.7644
A158,post_ban,tech,49.5984,0,0.4636,0.1722,58,0.4981
A159,post_ban,management,50.6546,0,0.3563,0.3003,32,0.5376
A160,post_ban,public,32.6087,0,0.0797,0.6020,35,0.6367
A161,post_ban,tech,50.5936,0,0.1987,0.4464,62,0.6019
A162,post_ban,logistics,35.7212,0,0.4705,0.4401,39,0.5724
A163,post_ban,logistics,35.5990,0,0.5769,0.5191,48,0.5650
A164,post_ban,management,56.3166,0,0.4661,0.3603,24,0.5204
A165,post_ban,public,34.3228,0,0.0774,0.7645,53,0.6543
A166,post_ban,care,28.8374,0,0.1267,0.7077,45,0.7202
A167,post_ban,tech,46.3632,0,0.3371,0.4034,37,0.5454
A168,post_ban,logistics,40.6817,0,0.5686,0.3080,55,0.5341
A169,post_ban,public,35.8123,0,0.0072,0.3310,46,0.6021
A170,post_ban,tech,50.4566,0,0.2498,0.5115,52,0.6110
A171,post_ban,logistics,36.9851,0,0.4254,0.3745,40,0.5637
A172,post_ban,admin,31.9002,0,0.0000,0.9175,49,0.7665
A173,post_ban,logistics,34.1033,0,0.3712,0.3575,50,0.5016
A174,post_ban,tech,47.2266,0,0.4722,0.4469,45,0.5406
A175,post_ban,logistics,39.9732,0,0.2185,0.2925,45,0.6141
A176,post_ban,care,31.5960,0,0.1036,0.9552,58,0.6763
A177,post_ban,admin,32.8677,0,0.0791,0.5690,55,0.6300
A178,post_ban,management,53.2869,0,0.4893,0.4566,36,0.5895
A179,post_ban,admin,30.6831,0,0.0000,0.5473,54,0.6121
A180,post_ban,logistics,40.8691,0,0.5796,0.4841,48,0.5123
A181,post_ban,care,24.9387,0,0.1314,0.6351,40,0.6322
A182,post_ban,tech,45.5003,0,0.4816,0.4033,52,0.5708
A183,post_ban,management,55.2014,0,0.6368,0.1504,51,0.4542
A184,post_ban,logistics,39.6241,0,0.4344,0.2792,37,0.5408
A185,post_ban,care,24.6925,0,0.1486,0.5482,58,0.5928
A186,post_ban,management,53.9730,0,0.3124,0.3441,49,0.6149
A187,post_ban,tech,45.9492,0,0.4874,0.4077,37,0.4997
A188,post_ban,admin,29.5230,0,0.0000,0.5422,55,0.6374
A189,post_ban,care,27.3835,0,0.0530,0.6553,49,0.6776
A190,post_ban,logistics,40.2849,0,0.5050,0.3228,26,0.5407
A191,post_ban,logistics,38.3834,0,0.0758,0.3620,29,0.6592
A192,post_ban,public,32.6693,0,0.0925,0.5932,32,0.6139
A193,post_ban,admin,34.0160,0,0.0654,0.8264,44,0.7110
A194,post_ban,public,35.4570,0,0.0000,0.5207,35,0.6544
A195,post_ban,tech,45.2492,0,0.3065,0.4803,46,0.5546
A196,post_ban,management,50.7201,0,0.3843,0.2952,35,0.5585
A197,post_ban,management,52.5313,0,0.5549,0.6163,49,0.6190
A198,post_ban,care,31.8601,0,0.1211,0.6749,35,0.6733
A199,post_ban,logistics,34.3203,0,0.4155,0.4570,41,0.5437
A200,post_ban,logistics,39.0694,0,0.4168,0.3600,55,0.5004
A201,post_ban,admin,29.8146,0,0.0275,0.6527,58,0.6380
A202,post_ban,care,24.3845,0,0.0000,0.6484,52,0.7002
A203,post_ban,management,49.9003,0,0.1747,0.1927,38,0.5489
A204,post_ban,care,24.5069,0,0.0000,0.6347,43,0.6761
A205,post_ban,admin,28.2816,0,0.0000,0.6636,70,0.7169
A206,post_ban,management,53.2846,0,0.4227,0.0813,54,0.4796
A207,post_ban,public,34.8573,0,0.0000,0.4314,47,0.6597
A208,post_ban,logistics,39.4990,0,0.5279,0.4974,41,0.5504
A209,post_ban,management,55.3812,0,0.3730,0.2736,35,0.5622
A210,post_ban,management,55.2728,0,0.2582,0.4452,41,0.6359
A211,post_ban,admin,30.4776,0,0.2441,0.6589,38,0.6786
A212,post_ban,tech,46.3601,0,0.1943,0.4845,45,0.5600
A213,post_ban,logistics,41.8924,0,0.4468,0.3288,49,0.5730
A214,post_ban,logistics,34.1315,0,0.3342,0.5006,38,0.5747
A215,post_ban,public,37.5943,0,0.0483,0.8184,57,0.7087
A216,post_ban,admin,30.2956,0,0.1081,0.6692,55,0.7275
A217,post_ban,public,33.0241,0,0.0000,0.6333,73,0.6480
A218,post_ban,management,55.7072,0,0.4478,0.3500,43,0.5405
A219,post_ban,management,51.3890,0,0.5312,0.3120,24,0.4896
A220,post_ban,admin,33.0375,0,0.2738,0.6821,54,0.6510
A221,post_ban,logistics,35.4898,0,0.5198,0.3254,65,0.5115
A222,post_ban,public,36.5634,0,0.0000,0.7951,31,0.6902
A223,post_ban,management,50.3195,0,0.3576,0.3224,29,0.5265
A224,post_ban,public,37.8673,0,0.1026,0.7516,58,0.6654
A225,post_ban,admin,32.8166,0,0.1414,0.5500,50,0.6277
A226,post_ban,tech,45.9173,0,0.4782,0.5509,50,0.5823
A227,post_ban,logistics,39.6467,0,0.3001,0.5006,44,0.6244
A228,post_ban,logistics,36.9072,0,0.2652,0.4881,69,0.6484
A229,post_ban,admin,31.3159,0,0.1604,0.5747,45,0.6911
A230,post_ban,admin,29.0154,0,0.0000,0.7783,62,0.6518
A231,post_ban,care,30.1633,0,0.0341,0.8297,45,0.7530
A232,post_ban,care,24.5956,0,0.0000,0.7861,47,0.7193
A233,post_ban,tech,47.6872,0,0.4600,0.3116,44,0.5693
A234,post_ban,management,52.3231,0,0.4097,0.3232,31,0.5838
A235,post_ban,admin,28.7268,0,0.0100,0.6233,35,0.6492
A236,post_ban,admin,32.0397,0,0.0000,0.6244,61,0.7242
A237,post_ban,tech,50.7042,0,0.2884,0.4619,37,0.6545
A238,post_ban,tech,44.9644,0,0.3698,0.2616,59,0.5035
A239,post_ban,logistics,35.1942,0,0.1589,0.3022,21,0.6224
A240,post_ban,public,34.6037,0,0.2759,0.8415,56,0.7238
