worker_id,gender,year,firm_type,firm_premium,flexibility_score,climate_score,skill_index,care_constraint,log_wage,promoted
WF016,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.7006,0.8414,3.6177,1
WF016,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.7006,0.8414,3.8140,0
WF017,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.7408,0.4398,3.5894,1
WF017,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.7408,0.4398,3.6162,1
WF017,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.7408,0.4398,3.7305,1
WF018,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.4318,0.3179,3.3614,1
WF018,woman,2022,high_premium_management,0.7200,0.4000,0.3400,0.4318,0.3179,3.5917,1
WF018,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.4318,0.3179,3.5158,1
WF019,woman,2021,high_premium_management,0.7200,0.4000,0.3400,0.3744,0.5142,3.4745,1
WF019,woman,2022,high_premium_technical,0.6200,0.4600,0.3000,0.3744,0.5142,3.5650,0
WF019,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.3744,0.5142,3.6485,0
WF020,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.5553,0.7614,3.5446,0
WF020,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.5553,0.7614,3.4886,1
WF020,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.5553,0.7614,3.5357,1
WF021,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.6117,0.6721,3.4376,0
WF021,woman,2022,high_premium_technical,0.6200,0.4600,0.3000,0.6117,0.6721,3.6713,0
WF021,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.6117,0.6721,3.7284,1
WF022,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.2846,0.5686,3.2834,0
WF022,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.2846,0.5686,3.3853,1
WF022,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.2846,0.5686,3.4372,1
WF023,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.6086,0.3052,3.4152,0
WF023,woman,2022,high_premium_management,0.7200,0.4000,0.3400,0.6086,0.3052,3.7021,1
WF023,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.6086,0.3052,3.8169,1
WF024,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.7169,0.5086,3.5838,1
WF024,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.7169,0.5086,3.6491,0
WF024,woman,2023,high_premium_management,0.7200,0.4000,0.3400,0.7169,0.5086,3.8561,0
WF025,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.4928,0.1897,3.3456,1
WF025,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.4928,0.1897,3.4255,1
WF025,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.4928,0.1897,3.7430,1
WF026,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.6066,0.4474,3.4147,1
WF026,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.6066,0.4474,3.5728,1
WF026,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.6066,0.4474,3.6774,1
WF027,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.6880,0.3642,3.5334,0
WF027,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.6880,0.3642,3.5403,1
WF027,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.6880,0.3642,3.7089,1
WF028,woman,2021,high_premium_management,0.7200,0.4000,0.3400,0.4723,0.4725,3.5502,1
WF028,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.4723,0.4725,3.4912,0
WF028,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.4723,0.4725,3.5927,0
WF029,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.3112,0.7120,3.3926,1
WF029,woman,2022,high_premium_technical,0.6200,0.4600,0.3000,0.3112,0.7120,3.4601,1
WF029,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.3112,0.7120,3.3701,1
WF030,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.5099,0.6720,3.3352,1
WF030,woman,2022,high_premium_management,0.7200,0.4000,0.3400,0.5099,0.6720,3.6490,0
WF030,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.5099,0.6720,3.6809,0
WF031,woman,2021,high_premium_management,0.7200,0.4000,0.3400,0.4966,0.7536,3.5974,1
WF031,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.4966,0.7536,3.5419,1
WF031,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.4966,0.7536,3.6025,1
WF032,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.5254,0.7220,3.5158,1
WF032,woman,2022,high_premium_management,0.7200,0.4000,0.3400,0.5254,0.7220,3.6313,1
WF032,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.5254,0.7220,3.6203,1
WF033,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.5473,0.6054,3.4093,1
WF033,woman,2022,high_premium_technical,0.6200,0.4600,0.3000,0.5473,0.6054,3.6572,0
WF033,woman,2023,high_premium_management,0.7200,0.4000,0.3400,0.5473,0.6054,3.7273,0
WF034,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.2788,0.5366,3.2252,1
WF034,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.2788,0.5366,3.3514,0
WF034,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.2788,0.5366,3.3955,1
WF035,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.3444,0.4069,3.4328,1
WF035,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.3444,0.4069,3.3257,1
WF035,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.3444,0.4069,3.5313,1
WF036,woman,2021,high_premium_management,0.7200,0.4000,0.3400,0.5452,0.6748,3.5735,0
WF036,woman,2022,high_premium_technical,0.6200,0.4600,0.3000,0.5452,0.6748,3.6061,0
WF036,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.5452,0.6748,3.6071,0
WF037,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.3927,0.6039,3.2688,0
WF037,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.3927,0.6039,3.4759,1
WF037,woman,2023,high_premium_management,0.7200,0.4000,0.3400,0.3927,0.6039,3.6946,1
WF038,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.3156,0.2338,3.2304,1
WF038,woman,2022,high_premium_technical,0.6200,0.4600,0.3000,0.3156,0.2338,3.4884,0
WF038,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.3156,0.2338,3.3805,0
WF039,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.2492,0.5606,3.4214,0
WF039,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.2492,0.5606,3.2890,1
WF039,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.2492,0.5606,3.3410,0
WF040,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.7480,0.6107,3.5143,1
WF040,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.7480,0.6107,3.6738,1
WF040,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.7480,0.6107,3.7522,1
WF041,woman,2021,high_premium_management,0.7200,0.4000,0.3400,0.6791,0.4607,3.6514,0
WF041,woman,2022,high_premium_management,0.7200,0.4000,0.3400,0.6791,0.4607,3.7581,0
WF041,woman,2023,high_premium_management,0.7200,0.4000,0.3400,0.6791,0.4607,3.8631,0
WF042,woman,2021,high_premium_management,0.7200,0.4000,0.3400,0.6373,0.6816,3.6265,0
WF042,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.6373,0.6816,3.5011,0
WF042,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.6373,0.6816,3.6782,0
WF043,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.1978,0.3618,3.3330,0
WF043,woman,2022,high_premium_technical,0.6200,0.4600,0.3000,0.1978,0.3618,3.4294,0
WF043,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.1978,0.3618,3.5098,1
WF044,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.3294,0.5118,3.3725,1
WF044,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.3294,0.5118,3.4044,1
WF044,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.3294,0.5118,3.4252,1
WF045,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.3883,0.5100,3.2882,0
WF045,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.3883,0.5100,3.4105,0
WF045,woman,2023,high_premium_management,0.7200,0.4000,0.3400,0.3883,0.5100,3.6991,1
WF046,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.4639,0.7621,3.3533,0
WF046,woman,2022,high_premium_technical,0.6200,0.4600,0.3000,0.4639,0.7621,3.5686,0
WF046,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.4639,0.7621,3.5213,0
WF047,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.8285,0.4613,3.7587,1
WF047,woman,2022,high_premium_management,0.7200,0.4000,0.3400,0.8285,0.4613,3.8861,0
WF047,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.8285,0.4613,3.8808,0
WF048,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.4269,0.2724,3.3448,1
WF048,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.4269,0.2724,3.3887,0
WF048,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.4269,0.2724,3.5325,0
WF049,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.5968,0.4432,3.6318,0
WF049,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.5968,0.4432,3.6055,0
WF049,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.5968,0.4432,3.6252,0
WF050,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.6661,0.2958,3.4458,0
WF050,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.6661,0.2958,3.6039,1
WF050,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.6661,0.2958,3.6957,1
WF051,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.4544,0.8498,3.5277,0
WF051,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.4544,0.8498,3.3699,1
WF051,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.4544,0.8498,3.5108,0
WF052,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.7236,0.7508,3.6771,0
WF052,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.7236,0.7508,3.5523,0
WF052,woman,2023,high_premium_management,0.7200,0.4000,0.3400,0.7236,0.7508,3.8606,0
WF053,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.4491,0.4832,3.3276,1
WF053,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.4491,0.4832,3.4371,0
WF053,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.4491,0.4832,3.5049,0
WF054,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.3716,0.5609,3.3306,1
WF054,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.3716,0.5609,3.3798,0
WF054,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.3716,0.5609,3.4635,1
WF055,woman,2021,high_premium_management,0.7200,0.4000,0.3400,0.5525,0.3975,3.6119,0
WF055,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.5525,0.3975,3.5525,0
WF055,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.5525,0.3975,3.6015,0
WF056,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.5245,0.8581,3.5741,0
WF056,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.5245,0.8581,3.4889,0
WF056,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.5245,0.8581,3.6926,0
WF057,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.5683,0.6324,3.5144,1
WF057,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.5683,0.6324,3.4557,1
WF057,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.5683,0.6324,3.5477,1
WF058,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.6249,0.8145,3.5126,1
WF058,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.6249,0.8145,3.4853,0
WF058,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.6249,0.8145,3.5937,1
WF059,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.9029,0.7848,3.5926,0
WF059,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.9029,0.7848,3.7581,0
WF059,woman,2023,high_premium_management,0.7200,0.4000,0.3400,0.9029,0.7848,3.9836,0
WF060,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.4611,0.5775,3.4495,0
WF060,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.4611,0.5775,3.4441,0
WF060,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.4611,0.5775,3.6956,0
WF061,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.5707,0.8607,3.4906,1
WF061,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.5707,0.8607,3.5363,1
WF061,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.5707,0.8607,3.5465,1
WF062,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.6272,0.5301,3.5082,0
WF062,woman,2022,high_premium_technical,0.6200,0.4600,0.3000,0.6272,0.5301,3.6702,0
WF062,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.6272,0.5301,3.6168,1
WF063,woman,2021,high_premium_management,0.7200,0.4000,0.3400,0.4941,0.6503,3.5747,0
WF063,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.4941,0.6503,3.4831,0
WF063,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.4941,0.6503,3.5135,0
WF064,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.4707,0.6745,3.5328,1
WF064,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.4707,0.6745,3.4295,0
WF064,woman,2023,high_premium_management,0.7200,0.4000,0.3400,0.4707,0.6745,3.7246,1
WF065,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.4561,0.4421,3.3035,0
WF065,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.4561,0.4421,3.4910,1
WF065,woman,2023,high_premium_management,0.7200,0.4000,0.3400,0.4561,0.4421,3.6927,0
WF066,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.6471,0.7341,3.5227,1
WF066,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.6471,0.7341,3.6201,0
WF066,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.6471,0.7341,3.6039,1
WF067,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.3472,0.4189,3.2882,0
WF067,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.3472,0.4189,3.3424,1
WF067,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.3472,0.4189,3.5859,1
WF068,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.4189,0.5343,3.3107,0
WF068,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.4189,0.5343,3.4112,1
WF068,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.4189,0.5343,3.5671,1
WF069,woman,2021,high_premium_management,0.7200,0.4000,0.3400,0.5232,0.5813,3.5789,0
WF069,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.5232,0.5813,3.4613,0
WF069,woman,2023,high_premium_management,0.7200,0.4000,0.3400,0.5232,0.5813,3.7566,1
WF070,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.8784,0.3284,3.6812,0
WF070,woman,2022,high_premium_technical,0.6200,0.4600,0.3000,0.8784,0.3284,3.8929,1
WF070,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.8784,0.3284,3.7998,0
WF071,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.5937,0.7016,3.4561,0
WF071,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.5937,0.7016,3.5621,1
WF071,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.5937,0.7016,3.5659,1
WF072,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.7035,0.6816,3.6236,0
WF072,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.7035,0.6816,3.5602,1
WF072,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.7035,0.6816,3.8173,0
WF073,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.8346,0.4906,3.5541,0
WF073,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.8346,0.4906,3.7520,1
WF073,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.8346,0.4906,3.8936,0
WF074,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.6546,0.4299,3.4509,0
WF074,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.6546,0.4299,3.5220,1
WF074,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.6546,0.4299,3.6499,1
WF075,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.6153,0.6007,3.6493,0
WF075,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.6153,0.6007,3.4847,0
WF075,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.6153,0.6007,3.7008,1
WF076,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.8890,0.4385,3.8068,0
WF076,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.8890,0.4385,3.6789,0
WF076,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.8890,0.4385,3.9249,0
WF077,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.2079,0.5870,3.3830,0
WF077,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.2079,0.5870,3.2737,0
WF077,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.2079,0.5870,3.3132,1
WF078,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.2917,0.9112,3.2683,0
WF078,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.2917,0.9112,3.3146,1
WF078,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.2917,0.9112,3.3980,1
WF079,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.5086,0.4673,3.3925,1
WF079,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.5086,0.4673,3.4844,0
WF079,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.5086,0.4673,3.5398,1
WF080,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.5830,0.5472,3.4696,1
WF080,woman,2022,high_premium_technical,0.6200,0.4600,0.3000,0.5830,0.5472,3.6614,0
WF080,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.5830,0.5472,3.6336,1
WF081,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.7644,0.6903,3.7377,1
WF081,woman,2022,high_premium_technical,0.6200,0.4600,0.3000,0.7644,0.6903,3.7557,1
WF081,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.7644,0.6903,3.6772,1
WF082,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.5025,0.5817,3.3632,0
WF082,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.5025,0.5817,3.4959,1
WF082,woman,2023,high_premium_management,0.7200,0.4000,0.3400,0.5025,0.5817,3.7283,0
WF083,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.7825,0.5760,3.7451,0
WF083,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.7825,0.5760,3.5786,0
WF083,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.7825,0.5760,3.8405,1
WF084,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.7690,0.3195,3.5889,1
WF084,woman,2022,high_premium_technical,0.6200,0.4600,0.3000,0.7690,0.3195,3.8289,0
WF084,woman,2023,high_premium_management,0.7200,0.4000,0.3400,0.7690,0.3195,3.9503,1
WF085,woman,2021,high_premium_technical,0.6200,0.4600,0.3000,0.6830,0.3537,3.6462,0
WF085,woman,2022,high_premium_management,0.7200,0.4000,0.3400,0.6830,0.3537,3.7478,0
WF085,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.6830,0.3537,3.7447,1
WF086,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.6790,0.3528,3.5438,0
WF086,woman,2022,high_premium_management,0.7200,0.4000,0.3400,0.6790,0.3528,3.7423,1
WF086,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.6790,0.3528,3.8484,0
WF087,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.8141,0.4046,3.5551,1
WF087,woman,2022,high_premium_management,0.7200,0.4000,0.3400,0.8141,0.4046,3.8199,0
WF087,woman,2023,mid_premium_public,0.3200,0.6600,0.5500,0.8141,0.4046,3.7923,1
WF088,woman,2021,high_premium_management,0.7200,0.4000,0.3400,0.3980,0.4548,3.4880,0
WF088,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.3980,0.4548,3.3441,1
WF088,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.3980,0.4548,3.4589,1
WF089,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.6773,0.5637,3.4398,0
WF089,woman,2022,high_premium_management,0.7200,0.4000,0.3400,0.6773,0.5637,3.7873,0
WF089,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.6773,0.5637,3.6471,1
WF090,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.6577,0.8079,3.4652,0
WF090,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.6577,0.8079,3.5745,0
WF090,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.6577,0.8079,3.7774,1
WF091,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.6901,0.5163,3.5225,1
WF091,woman,2022,mid_premium_public,0.3200,0.6600,0.5500,0.6901,0.5163,3.6221,0
WF091,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.6901,0.5163,3.6597,0
WF092,woman,2021,low_premium_services,0.1000,0.7400,0.4800,0.7145,0.4343,3.5138,0
WF092,woman,2022,high_premium_management,0.7200,0.4000,0.3400,0.7145,0.4343,3.7725,1
WF092,woman,2023,high_premium_technical,0.6200,0.4600,0.3000,0.7145,0.4343,3.8522,1
WF093,woman,2021,high_premium_management,0.7200,0.4000,0.3400,0.7340,0.6644,3.6983,0
WF093,woman,2022,low_premium_services,0.1000,0.7400,0.4800,0.7340,0.6644,3.6002,0
WF093,woman,2023,low_premium_services,0.1000,0.7400,0.4800,0.7340,0.6644,3.6739,1
WF094,woman,2021,mid_premium_public,0.3200,0.6600,0.5500,0.3147,0.5043,3.3452,1
