race_id,district_group,election_year,vote_margin,won_seat,next_vote_share,pre_turnout,party_strength,district_income,synthetic_candidate_quality,synthetic_true_effect
72,Coastal,2006,0.14851,1,0.57628,0.53724,0.67049,62750.67,0.74121,0.055
73,Coastal,1998,-0.51508,0,0.24087,0.48469,0.29153,61337.77,-0.05902,0.055
74,Coastal,2000,0.05524,1,0.57042,0.55081,0.65947,66279.73,1.40489,0.055
75,Mountain,1992,-0.28213,0,0.39851,0.57334,0.46515,52418.9,0.73041,0.055
76,Mountain,2000,-0.1994,0,0.36788,0.54489,0.54972,56721.26,-1.52491,0.055
77,Mountain,2002,0.14099,1,0.38149,0.61489,0.43485,72355.33,0.20672,0.055
78,North,2000,0.02665,1,0.65869,0.51337,0.53725,49057.9,2.44483,0.065
79,Central,2002,-0.01051,0,0.42233,0.51543,0.51032,60447.77,0.44685,0.065
80,Central,2000,-0.54223,0,0.27152,0.54758,0.37325,53617.49,-1.42472,0.055
81,South,2012,0.1454,1,0.50805,0.5191,0.46097,61414.01,0.97598,0.061
82,South,2000,0.01612,1,0.54028,0.52273,0.52287,48541.77,-0.1903,0.071
83,Central,2000,-0.18226,0,0.42581,0.54883,0.5231,70096.48,-0.17351,0.055
84,North,1996,0.47334,1,0.5614,0.61004,0.57451,62903.84,0.93931,0.055
85,North,2004,-0.0276,0,0.54907,0.56892,0.54293,52261.88,1.78881,0.065
86,Coastal,2004,0.39804,1,0.66498,0.5546,0.66127,68868.63,-0.66634,0.055
87,Mountain,2010,-0.01986,0,0.46811,0.47266,0.41141,59094.89,-0.10918,0.065
88,Central,2002,-0.54087,0,0.29099,0.51295,0.35155,54582.02,-0.1488,0.055
89,South,2004,-0.0707,0,0.37884,0.4963,0.46837,49836.46,-0.13267,0.061
90,Mountain,2008,-0.46707,0,0.35393,0.53087,0.20499,42502.17,-0.6721,0.055
91,South,2012,0.05308,1,0.56867,0.47757,0.51979,54892.29,-0.3689,0.061
92,Coastal,1998,0.30604,1,0.62055,0.54134,0.61028,74992.41,0.75326,0.055
93,South,2006,-0.08011,0,0.48502,0.53334,0.40136,51499.99,-0.55165,0.061
94,South,2004,-0.26038,0,0.3231,0.47661,0.3849,49700.25,-1.70204,0.061
95,Coastal,2012,0.04564,1,0.66267,0.55125,0.63657,64632.08,0.80528,0.065
96,Coastal,1992,-0.22899,0,0.40773,0.5456,0.44333,66196.64,-0.02345,0.055
97,South,2008,-0.29602,0,0.46163,0.4435,0.41495,51398.25,0.93247,0.061
98,Coastal,1992,-0.12955,0,0.40144,0.50195,0.37754,74206.37,0.65795,0.055
99,South,2010,-0.06876,0,0.41259,0.57281,0.40196,45489.54,-0.60659,0.061
100,North,2010,0.03208,1,0.54674,0.59644,0.34578,48977.0,-0.11738,0.065
101,South,2006,-0.01917,0,0.46045,0.52177,0.4335,62791.48,0.78197,0.071
102,North,2012,0.01917,1,0.62236,0.64847,0.50186,60943.83,0.55668,0.065
103,North,1996,0.03542,1,0.53559,0.5917,0.62475,71451.38,-0.99561,0.065
104,Mountain,2004,0.23521,1,0.6111,0.61284,0.56068,53841.24,-0.35764,0.055
105,Central,2002,-0.02934,0,0.4938,0.50586,0.50735,56831.49,0.90108,0.065
106,South,2008,-0.22262,0,0.40957,0.53564,0.51015,56635.18,1.21831,0.061
107,Coastal,2000,-0.1109,0,0.53118,0.48099,0.63908,59006.53,-0.19913,0.055
108,Central,2008,0.10761,1,0.57017,0.57124,0.41695,62846.42,-0.68278,0.055
109,South,1996,0.00753,1,0.50806,0.51056,0.41357,46100.85,1.12021,0.071
110,South,2002,-0.06015,0,0.50449,0.55928,0.58874,47111.72,-0.34194,0.061
111,South,2012,-0.1018,0,0.46255,0.57702,0.2983,45179.24,0.5225,0.061
112,Mountain,2012,-0.10309,0,0.44992,0.56986,0.41014,66236.28,-1.42718,0.055
113,Mountain,1998,0.00159,1,0.44231,0.58684,0.49443,51153.47,0.21888,0.065
114,Central,2008,0.25323,1,0.56536,0.52437,0.64288,51899.32,0.6532,0.055
115,Mountain,2006,0.06049,1,0.51964,0.53242,0.49772,59885.9,0.30079,0.055
116,Mountain,2000,0.0539,1,0.62492,0.49826,0.51133,52639.69,-1.10087,0.055
117,South,2006,-0.0086,0,0.50298,0.60198,0.57614,41610.31,-0.1202,0.071
118,South,2012,0.03348,1,0.6695,0.47133,0.59403,49695.09,0.21053,0.071
119,Central,1998,-0.08882,0,0.52901,0.52998,0.47159,40569.15,-0.91469,0.055
120,South,1998,0.0363,1,0.5418,0.45764,0.49253,56334.81,0.60818,0.071
121,North,2006,-0.01235,0,0.438,0.60534,0.43831,48107.48,-1.1957,0.065
122,Central,1994,0.05912,1,0.56807,0.47755,0.52775,48407.09,0.34732,0.055
123,Coastal,1992,-0.02527,0,0.5129,0.44459,0.4682,69979.8,1.62937,0.065
124,South,1998,-0.02994,0,0.48031,0.44204,0.54748,50232.74,0.61593,0.071
125,North,2008,-0.21539,0,0.43387,0.56757,0.53205,51642.6,0.92421,0.055
126,Coastal,2000,-0.02462,0,0.5354,0.49979,0.52196,75398.29,0.35502,0.065
127,Central,2004,0.08297,1,0.58833,0.54413,0.59876,61199.0,0.78813,0.055
128,Mountain,2006,-0.22491,0,0.40253,0.47837,0.51756,63277.36,0.16393,0.055
129,North,2004,0.03756,1,0.58213,0.59237,0.57784,55548.01,0.63997,0.065
130,Central,2010,0.0257,1,0.5528,0.48091,0.44074,61404.71,0.22886,0.065
131,Central,1998,-0.04189,0,0.52899,0.57076,0.51428,66083.95,1.91841,0.065
132,Coastal,1996,-0.08729,0,0.40619,0.50009,0.58484,49001.63,1.88366,0.055
133,Central,1992,-0.07527,0,0.41748,0.5212,0.34859,58526.83,-2.29113,0.055
134,South,2008,-0.07362,0,0.49966,0.49999,0.48047,45386.37,-0.56566,0.061
135,Central,1994,-0.14139,0,0.44215,0.57517,0.42701,59472.12,-0.68718,0.055
136,Coastal,2000,-0.04023,0,0.59905,0.55664,0.47076,62676.47,-0.49886,0.065
137,South,1996,0.02018,1,0.51905,0.5581,0.37813,52878.04,1.76403,0.071
138,North,2002,0.23551,1,0.59926,0.57062,0.59661,58408.58,0.33934,0.055
139,Coastal,2006,0.18045,1,0.58005,0.48697,0.7088,65231.73,-0.54898,0.055
140,North,2008,-0.05827,0,0.50191,0.49856,0.47632,45896.84,1.42134,0.055
141,North,1998,0.00445,1,0.49928,0.56542,0.39344,57657.12,0.99673,0.065
142,Central,1996,0.36776,1,0.54177,0.58168,0.52611,44720.96,1.70519,0.055
143,South,2006,-0.0684,0,0.46929,0.58266,0.3622,59677.5,-0.50946,0.061
144,Coastal,1998,-0.24866,0,0.47443,0.51777,0.43754,79654.12,2.05763,0.055
145,North,2008,0.00587,1,0.62119,0.5627,0.52502,68550.83,-2.68679,0.065
146,North,2002,-0.04459,0,0.49122,0.56406,0.46785,61948.27,0.32805,0.065
147,North,1996,0.17208,1,0.54504,0.5582,0.62442,69710.67,0.41471,0.055
148,Central,1996,-0.16769,0,0.48054,0.53543,0.39634,66784.18,0.27693,0.055
149,South,1992,0.04436,1,0.56355,0.49673,0.5885,49684.36,-0.81089,0.071
150,North,2000,0.55972,1,0.69637,0.48805,0.64391,67062.17,0.90243,0.055
151,North,2012,0.17008,1,0.56883,0.60643,0.54978,55414.12,-0.49798,0.055
152,Central,1996,-0.07816,0,0.43016,0.50487,0.37694,64759.92,0.71814,0.055
153,South,1992,0.03901,1,0.41698,0.58288,0.5661,36100.24,-0.26225,0.071
154,North,1996,0.10432,1,0.6118,0.61874,0.54663,64637.95,2.38214,0.055
155,South,2006,-0.09672,0,0.51185,0.50472,0.43173,54624.32,-0.43506,0.061
156,Central,1994,-0.11748,0,0.36397,0.59229,0.25046,54766.81,1.59639,0.055
157,Mountain,1994,0.17952,1,0.58897,0.51994,0.59902,62891.33,-0.47672,0.055
158,Central,1998,-0.08625,0,0.514,0.48808,0.46488,68861.49,-1.31445,0.055
159,Central,2008,-0.16929,0,0.40764,0.62516,0.4158,66137.03,0.11975,0.055
160,Central,2010,0.11204,1,0.55487,0.51143,0.51563,54214.9,-0.77602,0.055
161,Central,1996,-0.05209,0,0.50497,0.65859,0.58896,66187.62,-1.81195,0.055
162,Central,2012,-0.16297,0,0.49565,0.52643,0.41347,55548.81,0.31568,0.055
163,South,2012,-0.02362,0,0.5009,0.46298,0.45741,49189.54,1.68032,0.071
164,South,1992,-0.02173,0,0.45406,0.54322,0.56372,44518.51,0.85399,0.071
165,South,2000,0.04426,1,0.56527,0.56592,0.52352,51719.05,1.10171,0.071
166,South,2010,0.13493,1,0.58605,0.48118,0.63795,40664.85,-0.21009,0.061
167,South,1996,-0.18827,0,0.37628,0.49624,0.42536,51430.31,0.07937,0.061
168,Mountain,1992,0.03626,1,0.50388,0.61681,0.40777,65109.54,-0.28899,0.065
169,Mountain,2012,0.03962,1,0.54399,0.53481,0.43497,50958.83,-1.41214,0.065
170,Mountain,2002,0.16884,1,0.51233,0.59066,0.52591,56081.62,-0.73008,0.055
171,South,2008,-0.05281,0,0.5138,0.56446,0.50209,58737.65,-0.04502,0.061
172,Central,2010,-0.49032,0,0.35159,0.54022,0.36267,58256.74,0.43707,0.055
173,North,2000,-0.0056,0,0.49992,0.57371,0.5677,48861.27,-1.33487,0.065
174,Central,1994,0.03011,1,0.49395,0.52966,0.47067,52925.35,-0.04073,0.065
175,Central,1996,-0.62105,0,0.37502,0.51302,0.22172,52954.01,-0.21655,0.055
176,Coastal,2004,-0.15315,0,0.3978,0.58678,0.50965,53801.98,-0.20727,0.055
177,Central,2000,-0.1611,0,0.43965,0.52154,0.59312,54761.36,-0.45767,0.055
178,Coastal,2002,0.07964,1,0.577,0.47385,0.46015,65764.2,-0.32428,0.055
179,Central,2004,-0.11347,0,0.51489,0.55651,0.46531,42082.56,0.37172,0.055
180,Mountain,1992,0.06664,1,0.58133,0.59584,0.58448,54765.59,-0.00126,0.055
181,North,2002,0.1128,1,0.57387,0.51784,0.61968,61110.36,-0.48189,0.055
182,North,1996,-0.01303,0,0.57109,0.62943,0.47419,68780.49,0.10706,0.065
183,North,2008,-0.13173,0,0.4764,0.59474,0.41323,44737.58,-1.16891,0.055
184,South,1992,-0.07609,0,0.58964,0.56007,0.55988,37579.16,1.17207,0.061
185,North,2004,0.11658,1,0.43827,0.59886,0.49077,50508.43,-0.18022,0.055
186,Mountain,1998,-0.00977,0,0.51155,0.54234,0.4155,59405.38,-1.05821,0.065
187,South,2012,-0.07413,0,0.48251,0.49549,0.34338,43347.63,0.64172,0.061
188,North,1998,-0.08392,0,0.50354,0.59024,0.5829,58382.8,1.55991,0.055
189,South,1996,0.23002,1,0.61245,0.51352,0.41881,45791.02,0.24152,0.061
190,North,2012,0.03945,1,0.58308,0.59638,0.52301,52965.4,-0.29669,0.065
191,Central,2012,0.03028,1,0.6136,0.47956,0.42415,70912.35,1.13805,0.065
192,South,1992,0.04664,1,0.63746,0.51539,0.37789,50735.14,0.98467,0.071
193,South,1996,-0.03568,0,0.64517,0.52953,0.43028,58442.13,1.50736,0.071
194,North,2000,-0.08309,0,0.44555,0.57704,0.48049,57668.66,-0.43354,0.055
195,Central,2004,0.10202,1,0.56658,0.58169,0.48464,73549.36,-2.413,0.055
196,South,2008,0.21432,1,0.5716,0.59453,0.52767,50147.87,-0.8662,0.061
197,North,2010,0.02679,1,0.52258,0.58425,0.53487,63770.28,0.29975,0.065
198,South,1992,-0.11042,0,0.43891,0.50279,0.33803,39262.03,0.05957,0.061
199,Coastal,2002,-0.03883,0,0.43359,0.60018,0.50956,60400.65,-0.19541,0.065
200,Central,1996,0.05339,1,0.56035,0.52782,0.56835,44186.56,-0.7043,0.055
201,North,1992,-0.24312,0,0.38848,0.48086,0.49917,50413.76,0.13735,0.055
202,Mountain,2004,0.03438,1,0.49405,0.5194,0.46862,62927.83,-2.40669,0.065
203,South,2006,0.00849,1,0.63504,0.55516,0.33133,50055.52,-0.40322,0.071
204,North,2010,-0.00435,0,0.52635,0.55482,0.46668,66275.86,-0.72496,0.065
205,Central,2004,-0.13207,0,0.45925,0.55551,0.54975,61910.58,-0.35422,0.055
206,South,1996,0.33799,1,0.65873,0.57192,0.5027,44122.65,2.19302,0.061
207,Central,2002,-0.07417,0,0.48284,0.56114,0.51383,56820.92,-1.23755,0.055
208,Central,2002,0.10656,1,0.50835,0.59552,0.58832,68807.39,-0.56811,0.055
209,South,2002,0.10699,1,0.63094,0.51894,0.39704,41530.85,0.9023,0.061
210,Mountain,2000,-0.48126,0,0.33163,0.53589,0.39574,65597.65,-1.29832,0.055
211,Central,1996,-0.0012,0,0.48028,0.58188,0.62654,48615.16,-0.72787,0.065
212,Coastal,2000,0.14977,1,0.66652,0.53273,0.57534,68328.17,2.40278,0.055
213,Mountain,2002,0.0465,1,0.4952,0.48563,0.47131,63049.84,0.32663,0.065
214,Coastal,2012,-0.22192,0,0.41806,0.53602,0.49595,66370.65,0.94657,0.055
215,Coastal,1992,-0.0257,0,0.42168,0.59639,0.58448,57558.37,-0.35582,0.065
216,Coastal,2012,-0.00881,0,0.58268,0.59449,0.48229,57580.71,-0.7486,0.065
217,Mountain,1992,-0.34534,0,0.39815,0.46927,0.37817,48775.56,-0.1632,0.055
218,North,1994,-0.01394,0,0.60299,0.59417,0.55826,55093.31,0.43986,0.065
219,South,2006,-0.06151,0,0.46431,0.51378,0.53012,45921.81,-0.60957,0.061
220,North,2004,0.09406,1,0.62067,0.59572,0.55496,55221.34,-2.67844,0.055
221,Mountain,2002,-0.00681,0,0.56296,0.55566,0.4861,52027.49,-0.03046,0.065
222,Central,2004,-0.06418,0,0.46945,0.5136,0.50686,56225.37,-0.33821,0.055
223,North,2008,-0.05889,0,0.47196,0.64036,0.42247,55680.98,0.28159,0.055
224,North,1996,-0.1075,0,0.38008,0.53199,0.45864,60965.24,-0.70407,0.055
225,Coastal,2000,0.10921,1,0.62654,0.58779,0.64136,72808.27,-0.08818,0.055
226,Coastal,1996,-0.03921,0,0.42385,0.52147,0.58877,59617.46,-0.19122,0.065
227,Coastal,2006,-0.01381,0,0.48569,0.56906,0.62029,59828.67,0.96075,0.065
228,Central,2002,-0.33606,0,0.36967,0.45999,0.36289,67284.31,-0.38464,0.055
229,Coastal,2010,-0.16838,0,0.47029,0.5246,0.52185,74520.64,0.18254,0.055
230,South,2000,-0.29742,0,0.46715,0.53394,0.40913,46078.79,1.15359,0.061
231,South,1994,-0.15107,0,0.4245,0.54982,0.5618,37244.55,-0.18588,0.061
232,South,1994,0.05238,1,0.64069,0.44698,0.51551,51728.74,2.09441,0.061
233,Mountain,2006,-0.16229,0,0.54676,0.51932,0.38319,71098.0,-1.17953,0.055
234,North,2012,0.27307,1,0.51718,0.55282,0.51884,62190.67,0.20072,0.055
235,North,2012,0.20635,1,0.41518,0.68212,0.55833,46649.73,-0.02744,0.055
236,Coastal,2002,-0.0528,0,0.44552,0.49641,0.54048,61105.18,-0.313,0.055
237,Central,2010,0.03186,1,0.59706,0.43355,0.42946,69336.48,0.05449,0.065
238,Mountain,2000,-0.22202,0,0.41385,0.51323,0.3496,63229.98,0.20184,0.055
239,North,2002,-0.18875,0,0.36043,0.6212,0.44465,53420.17,0.36503,0.055
240,Central,2002,-0.03453,0,0.49103,0.52091,0.61703,67885.24,-1.05375,0.065
241,Coastal,2002,0.17916,1,0.60077,0.51532,0.6375,57334.66,-0.08683,0.055
242,Mountain,2008,-0.00169,0,0.46454,0.47648,0.35372,57729.04,-0.67243,0.065
243,South,1998,0.12641,1,0.5327,0.51396,0.42723,41274.84,1.15072,0.061
244,Central,2006,0.13033,1,0.57175,0.57564,0.41569,59530.05,1.0989,0.055
245,Mountain,1996,0.15743,1,0.64027,0.5345,0.54387,54285.05,-0.77742,0.055
246,Central,1994,0.15643,1,0.60027,0.56163,0.57237,50005.46,0.81586,0.055
247,Coastal,2012,0.01807,1,0.62447,0.55542,0.65128,66913.72,-0.22886,0.065
248,Mountain,2012,0.09268,1,0.4765,0.54988,0.4222,53640.07,-0.93701,0.055
249,South,2012,0.07655,1,0.54322,0.48425,0.49966,51847.05,-0.44858,0.061
250,Central,2006,-0.3622,0,0.43373,0.51433,0.41397,55762.48,-0.49762,0.055
251,South,2010,0.2431,1,0.59729,0.58332,0.52751,46723.88,0.33584,0.061
252,North,2004,0.03927,1,0.46615,0.65373,0.51693,65906.46,0.19185,0.065
253,South,2004,-0.02816,0,0.52414,0.54283,0.5331,42975.64,0.29476,0.071
254,Central,1998,0.00612,1,0.55887,0.48811,0.5407,59770.64,2.23943,0.065
255,Coastal,2010,-0.15475,0,0.35384,0.53352,0.60313,64312.52,-0.37857,0.055
256,South,2002,0.15743,1,0.53783,0.47638,0.60113,50985.5,0.7641,0.061
257,Coastal,2010,-0.066,0,0.42758,0.58317,0.44652,67035.11,-0.62504,0.055
258,North,1998,-0.00281,0,0.48101,0.54428,0.4343,60757.52,0.28333,0.065
259,South,2012,-0.16344,0,0.46024,0.57869,0.44131,45415.24,-1.79365,0.061
260,Coastal,2002,-0.0363,0,0.4892,0.55097,0.52992,70150.36,-0.28704,0.065
261,South,1996,-0.04542,0,0.36765,0.51543,0.38045,46275.1,0.78973,0.071
262,Mountain,2006,-0.07713,0,0.48819,0.62586,0.47899,64817.73,-0.84094,0.055
263,Mountain,2006,0.33929,1,0.68843,0.56624,0.36788,47685.35,1.01424,0.055
264,South,2002,0.14869,1,0.55162,0.51988,0.52483,43132.59,0.20315,0.061
265,North,1992,-0.07004,0,0.51166,0.54672,0.38723,72732.44,-0.88171,0.055
266,North,2006,0.05398,1,0.60805,0.52881,0.55272,52148.55,0.40927,0.055
267,South,2000,-0.01584,0,0.43026,0.42608,0.49525,42809.57,-1.1936,0.071
268,Coastal,2002,0.09024,1,0.62172,0.60634,0.598,73894.95,0.23696,0.055
269,Central,2002,-0.0688,0,0.4474,0.46833,0.55603,68538.68,0.66546,0.055
270,North,1992,-0.07277,0,0.47113,0.48848,0.43795,47932.78,-0.3585,0.055
271,South,1992,-0.04921,0,0.44446,0.48182,0.47009,42468.89,-0.35435,0.071
272,Central,2000,0.03041,1,0.4847,0.57396,0.6207,70995.67,-0.49512,0.065
273,North,1996,-0.02382,0,0.53878,0.60436,0.50584,60171.5,0.29856,0.065
274,South,2000,0.30136,1,0.51457,0.6199,0.71339,48273.12,-1.51601,0.061
275,Central,2010,-0.05933,0,0.42882,0.58218,0.59513,71973.26,0.34473,0.055
276,Central,1998,-0.13731,0,0.49471,0.51086,0.40188,65271.52,1.39518,0.055
277,Coastal,1996,0.32849,1,0.59756,0.58244,0.70043,70420.49,-0.62403,0.055
278,North,2006,-0.06697,0,0.42515,0.6011,0.45979,46617.57,2.32088,0.055
279,North,2004,-0.06489,0,0.48095,0.52987,0.58408,48257.38,-0.93559,0.055
280,Central,2012,0.2667,1,0.62956,0.52353,0.60436,57689.5,1.06548,0.055
281,Coastal,2006,-0.0631,0,0.45021,0.50137,0.47025,67418.92,1.11693,0.055
282,Coastal,1996,0.22673,1,0.60077,0.54049,0.70156,70808.42,0.41606,0.055
283,South,2002,-0.03147,0,0.49748,0.58512,0.44406,61974.86,1.63127,0.071
284,Coastal,1994,-0.06523,0,0.40646,0.54317,0.50433,60093.25,-1.27878,0.055
285,South,2006,-0.08517,0,0.52039,0.52352,0.48839,50222.23,1.68808,0.061
286,Mountain,1998,0.09319,1,0.61446,0.51474,0.53093,53484.53,0.2525,0.055
287,North,2010,-0.16701,0,0.38299,0.49039,0.45796,65112.26,0.32178,0.055
288,South,1994,0.1399,1,0.53723,0.51454,0.44782,55265.27,0.27538,0.061
289,South,2002,0.1801,1,0.50811,0.54459,0.53584,44244.7,-0.62318,0.061
290,North,1998,-0.11792,0,0.46229,0.56149,0.51778,53577.47,-1.03431,0.055
291,Coastal,2002,0.00671,1,0.46215,0.51977,0.57975,58852.09,-2.3703,0.065
292,South,1994,-0.01582,0,0.52942,0.48014,0.49483,55855.62,-0.69843,0.071
293,Mountain,2006,0.39595,1,0.59883,0.5268,0.65635,47940.27,-0.66725,0.055
294,Central,1994,-0.38906,0,0.36422,0.51169,0.41115,62351.69,0.41428,0.055
295,Mountain,2006,0.50869,1,0.61432,0.54031,0.57505,65196.03,0.6424,0.055
296,Central,1992,-0.27474,0,0.408,0.54331,0.44698,56551.68,0.72802,0.055
297,Central,2006,0.11199,1,0.50556,0.5544,0.54278,54729.1,-1.95001,0.055
298,Mountain,2010,-0.01806,0,0.40188,0.51425,0.32892,70449.41,0.33922,0.065
299,Coastal,1996,0.02748,1,0.49862,0.55266,0.45935,69549.55,-0.01103,0.065
300,Central,2004,-0.00518,0,0.41003,0.53651,0.58219,46552.67,0.45418,0.065
301,Coastal,1998,0.12702,1,0.54467,0.50413,0.59407,63636.08,0.40199,0.055
302,South,2012,0.44314,1,0.64088,0.50474,0.62844,49762.85,-0.75018,0.061
303,North,1996,-0.03533,0,0.54388,0.54893,0.51501,58695.17,-0.40581,0.065
304,South,2008,0.059,1,0.60217,0.54527,0.46093,49852.38,0.19431,0.061
305,Central,1994,-0.06714,0,0.49609,0.50024,0.45024,56739.95,1.64464,0.055
306,Coastal,1992,-0.09211,0,0.44854,0.47927,0.60854,71006.15,1.75013,0.055
