referral_id,referrer_worker_id,applicant_id,referrer_group,applicant_group,firm_id,referral_month,tie_strength,same_group_referral,hired
R055,W025,A031,A,A,E02,2021-09,0.6043,1,0
R067,W016,A032,A,B,E01,2021-09,0.1788,0,1
R088,W006,A060,A,B,E01,2021-09,0.5146,0,0
R096,W082,A031,A,A,E07,2021-09,0.5969,1,0
R097,W133,A072,A,A,E08,2021-09,0.4875,1,1
R009,W117,A071,A,A,E05,2021-10,0.6197,1,1
R040,W028,A026,A,A,E09,2021-10,0.447,1,0
R100,W128,A030,A,B,E02,2021-10,0.7537,0,0
R003,W097,A021,A,A,E05,2021-11,0.533,1,1
R016,W007,A063,A,B,E06,2021-11,0.3859,0,1
R018,W101,A063,A,B,E06,2021-11,0.3296,0,1
R023,W119,A053,B,A,E04,2021-11,0.5692,0,0
R048,W097,A006,A,B,E05,2021-11,0.7182,0,0
R049,W112,A054,A,B,E04,2021-11,0.8473,0,1
R071,W007,A005,A,A,E06,2021-11,0.7566,1,1
R085,W033,A073,B,B,E04,2021-11,0.1498,1,0
R092,W021,A053,A,A,E05,2021-11,0.7088,1,0
R098,W091,A063,B,B,E03,2021-11,0.98,1,1
R002,W020,A010,B,B,E04,2021-12,0.587,1,0
R007,W008,A034,A,B,E01,2021-12,0.9508,0,0
R022,W119,A072,B,A,E04,2021-12,0.299,0,1
R053,W043,A050,A,A,E03,2021-12,0.6415,1,0
R061,W022,A040,A,B,E01,2021-12,0.5031,0,1
R063,W069,A074,A,A,E08,2021-12,0.8017,1,1
R069,W017,A074,A,A,E01,2021-12,0.6434,1,1
R079,W125,A036,A,A,E07,2021-12,0.68,1,1
