district_id,matched_pair,historical_mita_exposure,near_boundary,distance_to_boundary,altitude_index,ruggedness_index,precolonial_density,public_goods_index,road_access_index,schooling_years,migration_rate,nonfarm_share,wage_index,employer_power_index
wk7-district-053,pair-05,0,1,10.85,0.73,0.45,0.54,0.648,0.669,8.424,0.2,0.572,1.052,0.472
wk7-district-054,pair-06,0,1,13.1,0.8,0.52,0.58,0.674,0.687,8.425,0.201,0.501,1.05,0.482
wk7-district-055,pair-07,0,1,15.35,0.87,0.25,0.62,0.609,0.705,8.437,0.201,0.52,1.05,0.492
wk7-district-056,pair-08,0,0,17.6,0.94,0.32,0.66,0.635,0.722,8.438,0.202,0.539,1.051,0.502
wk7-district-057,pair-09,0,0,19.85,0.45,0.35,0.7,0.66,0.66,8.445,0.2,0.554,1.052,0.472
wk7-district-058,pair-10,0,0,22.1,0.52,0.42,0.74,0.596,0.678,8.405,0.2,0.573,1.052,0.482
wk7-district-059,pair-11,0,0,24.35,0.59,0.45,0.38,0.621,0.696,8.412,0.201,0.502,1.05,0.492
wk7-district-060,pair-12,0,0,26.6,0.66,0.52,0.42,0.647,0.713,8.413,0.201,0.521,1.05,0.502
wk7-district-061,pair-13,0,1,1.85,0.73,0.25,0.46,0.636,0.678,8.449,0.2,0.537,1.051,0.472
wk7-district-062,pair-14,0,1,4.1,0.8,0.32,0.5,0.662,0.696,8.45,0.201,0.556,1.052,0.482
wk7-district-063,pair-15,0,1,6.35,0.87,0.35,0.54,0.687,0.714,8.457,0.201,0.575,1.053,0.492
wk7-district-064,pair-16,0,1,8.6,0.94,0.42,0.58,0.623,0.731,8.417,0.202,0.504,1.05,0.502
wk7-district-065,pair-17,0,1,10.85,0.45,0.45,0.62,0.648,0.669,8.424,0.2,0.518,1.05,0.472
wk7-district-066,pair-18,0,1,13.1,0.52,0.52,0.66,0.674,0.687,8.425,0.201,0.537,1.051,0.482
wk7-district-067,pair-19,0,1,15.35,0.59,0.25,0.7,0.609,0.705,8.437,0.201,0.556,1.052,0.492
wk7-district-068,pair-20,0,0,17.6,0.66,0.32,0.74,0.635,0.722,8.438,0.202,0.575,1.053,0.502
wk7-district-069,pair-21,0,0,19.85,0.73,0.35,0.38,0.66,0.66,8.445,0.2,0.5,1.05,0.472
wk7-district-070,pair-22,0,0,22.1,0.8,0.42,0.42,0.596,0.678,8.405,0.2,0.519,1.05,0.482
wk7-district-071,pair-23,0,0,24.35,0.87,0.45,0.46,0.621,0.696,8.412,0.201,0.538,1.051,0.492
wk7-district-072,pair-24,0,0,26.6,0.94,0.52,0.5,0.647,0.713,8.413,0.201,0.557,1.052,0.502
wk7-district-073,pair-01,0,1,1.85,0.45,0.25,0.38,0.636,0.678,8.449,0.2,0.501,1.05,0.472
wk7-district-074,pair-02,0,1,4.1,0.52,0.32,0.42,0.662,0.696,8.45,0.201,0.52,1.05,0.482
wk7-district-075,pair-03,0,1,6.35,0.59,0.35,0.46,0.687,0.714,8.457,0.201,0.539,1.051,0.492
wk7-district-076,pair-04,0,1,8.6,0.66,0.42,0.5,0.623,0.731,8.417,0.202,0.558,1.052,0.502
wk7-district-077,pair-05,0,1,10.85,0.73,0.45,0.54,0.648,0.669,8.424,0.2,0.572,1.052,0.472
wk7-district-078,pair-06,0,1,13.1,0.8,0.52,0.58,0.674,0.687,8.425,0.201,0.501,1.05,0.482
wk7-district-079,pair-07,0,1,15.35,0.87,0.25,0.62,0.609,0.705,8.437,0.201,0.52,1.05,0.492
wk7-district-080,pair-08,0,0,17.6,0.94,0.32,0.66,0.635,0.722,8.438,0.202,0.539,1.051,0.502
wk7-district-081,pair-09,0,0,19.85,0.45,0.35,0.7,0.66,0.66,8.445,0.2,0.554,1.052,0.472
wk7-district-082,pair-10,0,0,22.1,0.52,0.42,0.74,0.596,0.678,8.405,0.2,0.573,1.052,0.482
wk7-district-083,pair-11,0,0,24.35,0.59,0.45,0.38,0.621,0.696,8.412,0.201,0.502,1.05,0.492
wk7-district-084,pair-12,0,0,26.6,0.66,0.52,0.42,0.647,0.713,8.413,0.201,0.521,1.05,0.502
wk7-district-085,pair-13,0,1,1.85,0.73,0.25,0.46,0.636,0.678,8.449,0.2,0.537,1.051,0.472
wk7-district-086,pair-14,0,1,4.1,0.8,0.32,0.5,0.662,0.696,8.45,0.201,0.556,1.052,0.482
wk7-district-087,pair-15,0,1,6.35,0.87,0.35,0.54,0.687,0.714,8.457,0.201,0.575,1.053,0.492
wk7-district-088,pair-16,0,1,8.6,0.94,0.42,0.58,0.623,0.731,8.417,0.202,0.504,1.05,0.502
wk7-district-089,pair-17,0,1,10.85,0.45,0.45,0.62,0.648,0.669,8.424,0.2,0.518,1.05,0.472
wk7-district-090,pair-18,0,1,13.1,0.52,0.52,0.66,0.674,0.687,8.425,0.201,0.537,1.051,0.482
wk7-district-091,pair-19,0,1,15.35,0.59,0.25,0.7,0.609,0.705,8.437,0.201,0.556,1.052,0.492
wk7-district-092,pair-20,0,0,17.6,0.66,0.32,0.74,0.635,0.722,8.438,0.202,0.575,1.053,0.502
wk7-district-093,pair-21,0,0,19.85,0.73,0.35,0.38,0.66,0.66,8.445,0.2,0.5,1.05,0.472
wk7-district-094,pair-22,0,0,22.1,0.8,0.42,0.42,0.596,0.678,8.405,0.2,0.519,1.05,0.482
wk7-district-095,pair-23,0,0,24.35,0.87,0.45,0.46,0.621,0.696,8.412,0.201,0.538,1.051,0.492
wk7-district-096,pair-24,0,0,26.6,0.94,0.52,0.5,0.647,0.713,8.413,0.201,0.557,1.052,0.502
