worker_id,experience_group,public_signal_treatment,baseline_reviews,quality_index,availability_index,outside_option_index,risk_tolerance_index,public_signal_score,ranking_position,visibility_score,employer_belief_index,employer_invitations,applications_sent,hire_probability,hired,accepted_hourly_wage,future_jobs,earnings_risk_index,flexibility_value_index
P024,inexperienced,0,1,0.84,0.38,0.76,0.61,0.662,59.38,0.247,0.534,5,8,0.354,0,22.42,0,0.661,0.481
P025,inexperienced,1,6,0.41,0.49,0.25,0.8,0.576,53.78,0.343,0.562,5,8,0.356,0,20.78,0,0.627,0.49
P026,inexperienced,1,5,0.58,0.6,0.32,0.39,0.639,52.78,0.393,0.584,5,9,0.391,1,22.05,7,0.539,0.556
P027,inexperienced,0,4,0.75,0.71,0.39,0.58,0.683,58.78,0.256,0.548,4,9,0.368,0,21.45,0,0.724,0.622
P028,inexperienced,1,3,0.92,0.82,0.46,0.77,0.846,41.78,0.527,0.658,8,13,0.477,1,25.71,10,0.482,0.689
P029,inexperienced,1,2,0.49,0.93,0.53,0.36,0.58,52.18,0.402,0.555,5,14,0.361,1,21.34,7,0.503,0.755
P030,inexperienced,0,1,0.66,0.4,0.6,0.55,0.623,62.66,0.196,0.519,4,5,0.325,0,20.74,0,0.688,0.476
P031,inexperienced,1,6,0.83,0.51,0.67,0.74,0.787,45.66,0.468,0.642,6,8,0.438,1,24.32,9,0.457,0.542
P032,inexperienced,1,5,0.4,0.62,0.74,0.33,0.52,56.06,0.342,0.539,6,10,0.323,0,21.01,0,0.544,0.609
P033,inexperienced,0,4,0.57,0.73,0.81,0.52,0.564,62.06,0.205,0.503,4,9,0.3,0,20.06,0,0.652,0.675
P034,inexperienced,1,3,0.74,0.84,0.3,0.71,0.727,45.06,0.477,0.613,6,14,0.438,1,23.62,8,0.531,0.684
P035,inexperienced,1,2,0.91,0.31,0.37,0.3,0.871,48.54,0.458,0.665,6,7,0.469,1,24.95,9,0.508,0.404
P036,inexperienced,0,1,0.48,0.42,0.44,0.49,0.504,65.94,0.146,0.474,4,6,0.286,0,19.35,0,0.715,0.471
P037,inexperienced,1,6,0.65,0.53,0.51,0.68,0.667,48.94,0.417,0.597,6,10,0.399,0,22.93,0,0.583,0.537
P038,inexperienced,1,5,0.82,0.64,0.58,0.27,0.811,47.94,0.467,0.649,6,11,0.444,1,24.27,9,0.472,0.604
P039,inexperienced,0,4,0.39,0.75,0.65,0.46,0.445,65.34,0.154,0.458,3,11,0.261,0,18.32,0,0.679,0.67
P040,inexperienced,1,3,0.56,0.86,0.72,0.65,0.608,48.34,0.426,0.568,7,9,0.369,0,22.57,0,0.548,0.736
P041,inexperienced,1,2,0.73,0.33,0.79,0.84,0.752,51.82,0.408,0.62,6,7,0.4,1,23.56,8,0.448,0.457
P042,inexperienced,0,1,0.9,0.44,0.28,0.43,0.715,57.82,0.271,0.554,4,8,0.396,1,22.54,6,0.676,0.466
P043,inexperienced,1,6,0.47,0.55,0.35,0.62,0.629,52.22,0.367,0.582,5,11,0.37,1,21.26,7,0.533,0.532
P044,inexperienced,1,5,0.64,0.66,0.42,0.81,0.692,51.22,0.417,0.604,7,13,0.404,0,23.23,0,0.599,0.598
P045,inexperienced,0,4,0.81,0.77,0.49,0.4,0.656,57.22,0.28,0.538,4,7,0.372,0,21.86,0,0.707,0.665
P046,inexperienced,1,3,0.38,0.88,0.56,0.59,0.569,51.62,0.375,0.553,5,11,0.341,0,20.55,0,0.575,0.731
P047,inexperienced,1,2,0.55,0.35,0.63,0.78,0.633,55.1,0.357,0.575,5,8,0.361,0,21.82,0,0.563,0.452
P048,inexperienced,0,1,0.72,0.46,0.7,0.37,0.596,61.1,0.22,0.509,5,8,0.328,0,21.5,0,0.671,0.518
P049,inexperienced,1,6,0.89,0.57,0.77,0.56,0.84,44.1,0.492,0.662,6,11,0.452,1,24.8,9,0.44,0.585
P050,inexperienced,1,5,0.46,0.68,0.26,0.75,0.573,54.5,0.366,0.559,5,9,0.365,0,21.14,0,0.626,0.593
P051,inexperienced,0,4,0.63,0.79,0.33,0.34,0.617,60.5,0.229,0.523,4,9,0.343,0,20.53,0,0.734,0.66
P052,inexperienced,1,3,0.8,0.9,0.4,0.53,0.78,43.5,0.501,0.633,7,12,0.451,1,24.44,9,0.503,0.726
P053,inexperienced,1,2,0.37,0.37,0.47,0.72,0.514,58.38,0.306,0.53,5,10,0.322,0,20.43,0,0.59,0.447
P054,inexperienced,0,1,0.54,0.48,0.54,0.31,0.557,64.38,0.17,0.494,3,9,0.3,0,19.48,0,0.698,0.513
P055,inexperienced,1,6,0.71,0.59,0.61,0.5,0.721,47.38,0.441,0.617,6,8,0.413,1,23.41,8,0.478,0.58
P056,inexperienced,1,5,0.88,0.7,0.68,0.69,0.784,46.38,0.491,0.639,7,9,0.447,1,25.03,9,0.455,0.646
P057,inexperienced,0,4,0.45,0.81,0.75,0.28,0.497,63.78,0.178,0.478,3,9,0.275,0,18.79,0,0.662,0.712
P058,inexperienced,1,3,0.62,0.92,0.24,0.47,0.661,46.78,0.45,0.588,6,14,0.412,1,22.7,8,0.541,0.721
P059,inexperienced,1,2,0.79,0.39,0.31,0.66,0.804,50.26,0.432,0.64,6,11,0.443,1,24.03,8,0.529,0.442
P060,inexperienced,0,1,0.36,0.5,0.38,0.25,0.438,67.66,0.119,0.449,4,6,0.261,0,18.43,0,0.725,0.508
P061,inexperienced,1,6,0.53,0.61,0.45,0.44,0.602,50.66,0.391,0.572,5,9,0.374,0,21.67,0,0.594,0.574
P062,inexperienced,1,5,0.7,0.72,0.52,0.63,0.745,49.66,0.441,0.624,6,11,0.418,1,23.35,8,0.494,0.641
P063,inexperienced,0,4,0.87,0.83,0.59,0.82,0.709,55.66,0.304,0.558,5,10,0.385,1,22.69,7,0.613,0.707
P064,inexperienced,1,3,0.44,0.3,0.66,0.41,0.542,54.54,0.331,0.543,6,10,0.33,0,21.31,0,0.558,0.428
P065,inexperienced,1,2,0.61,0.41,0.73,0.6,0.686,53.54,0.381,0.595,5,7,0.375,0,22.29,0,0.546,0.494
P066,inexperienced,0,1,0.78,0.52,0.8,0.79,0.649,59.54,0.244,0.529,4,6,0.342,0,21.63,0,0.654,0.561
P067,inexperienced,1,6,0.95,0.63,0.29,0.38,0.892,42.54,0.516,0.682,7,11,0.495,1,25.62,10,0.511,0.569
P068,inexperienced,1,5,0.52,0.74,0.36,0.57,0.626,52.94,0.39,0.579,6,12,0.379,0,21.96,0,0.609,0.636
P069,inexperienced,0,4,0.69,0.85,0.43,0.76,0.59,58.94,0.253,0.513,4,12,0.346,0,20.94,0,0.717,0.702
P070,inexperienced,1,3,0.86,0.32,0.5,0.35,0.833,46.42,0.456,0.653,6,6,0.452,1,24.56,9,0.486,0.423
P071,inexperienced,1,2,0.43,0.43,0.57,0.54,0.567,56.82,0.33,0.55,5,8,0.336,0,20.9,0,0.573,0.489
P072,inexperienced,0,1,0.6,0.54,0.64,0.73,0.53,62.82,0.194,0.484,4,7,0.303,0,20.24,0,0.681,0.556
P073,inexperienced,1,6,0.77,0.65,0.71,0.32,0.774,45.82,0.465,0.637,6,11,0.427,1,23.88,8,0.461,0.622
P074,inexperienced,1,5,0.94,0.76,0.78,0.51,0.837,44.82,0.515,0.659,7,13,0.461,1,25.5,10,0.427,0.688
P075,inexperienced,0,4,0.51,0.87,0.27,0.7,0.55,62.22,0.202,0.498,4,8,0.318,0,19.62,0,0.744,0.697
P076,inexperienced,1,3,0.68,0.34,0.34,0.29,0.714,49.7,0.406,0.608,7,8,0.412,1,23.52,8,0.524,0.418
P077,inexperienced,1,2,0.85,0.45,0.41,0.48,0.777,48.7,0.456,0.63,6,9,0.447,1,24.44,9,0.501,0.484
P078,inexperienced,0,1,0.42,0.56,0.48,0.67,0.491,66.1,0.143,0.469,3,9,0.274,0,18.56,0,0.708,0.55
P079,inexperienced,1,6,0.59,0.67,0.55,0.26,0.654,49.1,0.415,0.592,6,12,0.387,1,22.49,7,0.499,0.617
P080,inexperienced,1,5,0.76,0.78,0.62,0.45,0.718,48.1,0.465,0.614,7,9,0.422,0,24.11,0,0.565,0.683
P081,inexperienced,0,4,0.93,0.89,0.69,0.64,0.762,54.1,0.328,0.578,5,8,0.399,0,23.16,0,0.673,0.75
P082,inexperienced,1,3,0.5,0.36,0.76,0.83,0.595,52.98,0.355,0.563,5,8,0.344,0,21.43,0,0.541,0.47
P083,inexperienced,1,2,0.67,0.47,0.25,0.42,0.738,51.98,0.405,0.615,6,11,0.418,1,23.12,8,0.54,0.479
P084,inexperienced,0,1,0.84,0.58,0.32,0.61,0.702,57.98,0.268,0.549,5,10,0.385,0,22.45,0,0.736,0.545
P085,inexperienced,1,6,0.41,0.69,0.39,0.8,0.535,52.38,0.364,0.547,5,9,0.348,0,20.75,0,0.604,0.612
P086,inexperienced,1,5,0.58,0.8,0.46,0.39,0.679,51.38,0.414,0.599,6,10,0.393,1,22.43,7,0.515,0.678
P087,inexperienced,0,4,0.75,0.91,0.53,0.58,0.643,57.38,0.277,0.533,4,10,0.36,0,21.42,0,0.7,0.744
P088,inexperienced,1,3,0.92,0.38,0.6,0.77,0.806,44.86,0.48,0.643,7,10,0.455,1,25.32,9,0.469,0.465
P089,inexperienced,1,2,0.49,0.49,0.67,0.36,0.62,55.26,0.354,0.57,5,11,0.35,0,21.37,0,0.556,0.532
P090,inexperienced,0,1,0.66,0.6,0.74,0.55,0.583,61.26,0.218,0.504,4,6,0.317,0,20.71,0,0.664,0.598
P091,inexperienced,1,6,0.83,0.71,0.81,0.74,0.827,44.26,0.489,0.657,6,9,0.44,1,24.36,9,0.433,0.664
P092,inexperienced,1,5,0.4,0.82,0.3,0.33,0.56,54.66,0.363,0.554,6,12,0.354,0,21.04,0,0.619,0.673
P093,inexperienced,0,4,0.57,0.93,0.37,0.52,0.524,60.66,0.226,0.488,4,11,0.321,0,20.03,0,0.727,0.739
P094,inexperienced,1,3,0.74,0.4,0.44,0.71,0.767,48.14,0.43,0.628,6,11,0.426,1,23.65,8,0.507,0.46
P095,inexperienced,1,2,0.91,0.51,0.51,0.3,0.831,47.14,0.48,0.65,6,8,0.461,1,24.92,9,0.484,0.526
P096,inexperienced,0,1,0.48,0.62,0.58,0.49,0.464,64.54,0.167,0.459,4,7,0.278,0,19.32,0,0.691,0.593
P097,experienced,0,48,0.65,0.73,0.65,0.68,0.608,63.54,0.217,0.616,4,9,0.358,0,20.87,0,0.679,0.659
P098,experienced,0,18,0.82,0.84,0.72,0.27,0.671,62.54,0.267,0.575,4,10,0.371,0,22.01,0,0.668,0.726
P099,experienced,0,23,0.39,0.31,0.79,0.46,0.485,68.42,0.107,0.515,3,8,0.264,0,18.44,0,0.656,0.446
P100,experienced,0,28,0.56,0.42,0.28,0.65,0.548,67.42,0.157,0.55,4,5,0.332,0,20.09,0,0.742,0.455
P101,experienced,0,33,0.73,0.53,0.35,0.84,0.612,66.42,0.208,0.585,4,7,0.37,0,21.38,0,0.731,0.521
P102,experienced,0,38,0.9,0.64,0.42,0.43,0.755,56.42,0.292,0.651,5,9,0.427,1,23.1,7,0.642,0.588
P103,experienced,0,43,0.47,0.75,0.49,0.62,0.489,66.82,0.166,0.56,4,10,0.316,0,19.46,0,0.707,0.654
P104,experienced,0,48,0.64,0.86,0.56,0.81,0.552,65.82,0.216,0.595,5,12,0.355,0,21.11,0,0.695,0.72
P105,experienced,0,18,0.81,0.33,0.63,0.4,0.696,60.3,0.233,0.584,4,4,0.371,0,21.96,0,0.683,0.441
P106,experienced,0,23,0.38,0.44,0.7,0.59,0.429,70.7,0.107,0.494,3,6,0.26,0,18.32,0,0.671,0.508
P107,experienced,0,28,0.55,0.55,0.77,0.78,0.573,69.7,0.157,0.559,3,7,0.309,0,19.68,0,0.659,0.574
P108,experienced,0,33,0.72,0.66,0.26,0.37,0.636,59.7,0.242,0.594,5,10,0.384,0,21.68,0,0.746,0.582
P109,experienced,0,38,0.89,0.77,0.33,0.56,0.7,58.7,0.292,0.629,5,11,0.423,1,22.98,7,0.657,0.649
P110,experienced,0,43,0.46,0.88,0.4,0.75,0.513,69.1,0.166,0.57,4,8,0.322,0,19.41,0,0.722,0.715
P111,experienced,0,48,0.63,0.35,0.47,0.34,0.577,63.58,0.182,0.605,4,6,0.354,0,20.71,0,0.71,0.436
P112,experienced,0,18,0.8,0.46,0.54,0.53,0.64,62.58,0.232,0.563,5,7,0.367,0,22.19,0,0.698,0.502
P113,experienced,0,23,0.37,0.57,0.61,0.72,0.454,72.98,0.106,0.503,3,9,0.266,0,18.27,0,0.686,0.569
P114,experienced,0,28,0.54,0.68,0.68,0.31,0.517,62.98,0.191,0.538,4,10,0.312,0,19.92,0,0.674,0.635
P115,experienced,0,33,0.71,0.79,0.75,0.5,0.661,61.98,0.241,0.604,4,7,0.361,0,21.28,0,0.662,0.702
P116,experienced,0,38,0.88,0.9,0.24,0.69,0.724,60.98,0.291,0.639,6,9,0.429,1,23.28,7,0.672,0.71
P117,experienced,0,43,0.45,0.37,0.31,0.28,0.458,66.86,0.131,0.548,3,7,0.311,0,18.94,0,0.737,0.431
P118,experienced,0,48,0.62,0.48,0.38,0.47,0.601,65.86,0.181,0.614,4,9,0.36,0,20.65,0,0.725,0.497
P119,experienced,0,18,0.79,0.59,0.45,0.66,0.665,64.86,0.232,0.572,4,10,0.373,1,21.79,6,0.648,0.564
P120,experienced,0,23,0.36,0.7,0.52,0.25,0.398,66.26,0.14,0.482,4,7,0.269,0,18.5,0,0.702,0.63
P121,experienced,0,28,0.53,0.81,0.59,0.44,0.542,65.26,0.19,0.547,4,8,0.318,0,19.87,0,0.69,0.696
P122,experienced,0,33,0.7,0.92,0.66,0.63,0.605,64.26,0.24,0.583,4,10,0.357,0,21.16,0,0.678,0.763
P123,experienced,0,38,0.87,0.39,0.73,0.82,0.749,58.74,0.257,0.648,4,7,0.4,1,22.52,6,0.6,0.484
P124,experienced,0,43,0.44,0.5,0.8,0.41,0.482,69.14,0.131,0.558,4,9,0.289,0,19.24,0,0.654,0.55
P125,experienced,0,48,0.61,0.61,0.29,0.6,0.546,68.14,0.181,0.593,4,7,0.356,0,20.54,0,0.741,0.558
P126,experienced,0,18,0.78,0.72,0.36,0.79,0.689,58.14,0.266,0.581,4,8,0.386,1,21.74,6,0.663,0.625
P127,experienced,0,23,0.95,0.83,0.43,0.38,0.752,57.14,0.316,0.617,5,10,0.425,1,23.38,7,0.64,0.691
P128,experienced,0,28,0.52,0.3,0.5,0.57,0.486,72.02,0.121,0.526,4,7,0.301,0,19.75,0,0.705,0.412
P129,experienced,0,33,0.69,0.41,0.57,0.76,0.63,62.02,0.206,0.592,4,9,0.357,0,21.11,0,0.693,0.478
P130,experienced,0,38,0.86,0.52,0.64,0.35,0.693,61.02,0.256,0.627,4,5,0.396,0,22.41,0,0.681,0.545
P131,experienced,0,43,0.43,0.63,0.71,0.54,0.506,71.42,0.13,0.567,3,7,0.295,0,18.84,0,0.669,0.611
P132,experienced,0,48,0.6,0.74,0.78,0.73,0.57,61.42,0.215,0.602,5,8,0.341,0,20.83,0,0.657,0.678
P133,experienced,0,18,0.77,0.85,0.27,0.32,0.634,60.42,0.265,0.56,4,11,0.382,1,21.62,6,0.678,0.686
P134,experienced,0,23,0.94,0.32,0.34,0.51,0.777,63.9,0.247,0.626,4,9,0.418,1,22.98,7,0.655,0.407
P135,experienced,0,28,0.51,0.43,0.41,0.7,0.511,65.3,0.155,0.536,3,5,0.314,0,19.35,0,0.72,0.473
P136,experienced,0,33,0.68,0.54,0.48,0.29,0.574,64.3,0.205,0.571,5,7,0.353,1,21.34,6,0.642,0.54
P137,experienced,0,38,0.85,0.65,0.55,0.48,0.718,63.3,0.256,0.636,4,8,0.402,0,22.36,0,0.697,0.606
P138,experienced,0,43,0.42,0.76,0.62,0.67,0.451,64.7,0.164,0.546,3,10,0.298,0,18.72,0,0.685,0.672
P139,experienced,0,48,0.59,0.87,0.69,0.26,0.595,63.7,0.214,0.612,4,11,0.347,0,20.43,0,0.673,0.739
P140,experienced,0,18,0.76,0.34,0.76,0.45,0.658,67.18,0.196,0.57,5,4,0.346,0,21.92,0,0.661,0.46
P141,experienced,0,23,0.93,0.45,0.25,0.64,0.722,57.18,0.281,0.605,5,7,0.421,1,23.22,7,0.671,0.468
P142,experienced,0,28,0.5,0.56,0.32,0.83,0.535,67.58,0.155,0.545,3,8,0.32,0,19.29,0,0.736,0.534
P143,experienced,0,33,0.67,0.67,0.39,0.42,0.599,66.58,0.205,0.58,4,10,0.359,1,20.94,5,0.669,0.601
P144,experienced,0,38,0.84,0.78,0.46,0.61,0.662,56.58,0.29,0.615,6,11,0.405,0,22.94,0,0.712,0.667
