worker_id,firm_id,treated_information,sector,firm_size,worker_type,low_baseline_knowledge,local_capacity_index,firm_visibility_index,baseline_knowledge_index,followup_knowledge_index,perceived_enforcement_index,claim_intention_index,formal_contract,employment_at_followup,wage_index
wk8-worker-070,wk8-firm-024,1,manufacturing,small,new_entrant,0,0.42,0.42,0.441,0.698,0.64,0.384,0,1,0.967
wk8-worker-071,wk8-firm-024,0,services,small,new_entrant,0,0.42,0.42,0.441,0.458,0.44,0.316,0,0,0.937
wk8-worker-072,wk8-firm-024,0,construction,small,new_entrant,0,0.42,0.42,0.441,0.458,0.44,0.316,0,0,0.907
wk8-worker-073,wk8-firm-025,1,retail,medium,incumbent,1,0.51,0.62,0.371,0.691,0.683,0.387,1,1,1.045
wk8-worker-074,wk8-firm-025,1,manufacturing,medium,incumbent,1,0.51,0.62,0.371,0.691,0.683,0.387,1,1,1.045
wk8-worker-075,wk8-firm-025,0,services,medium,incumbent,1,0.51,0.62,0.371,0.391,0.483,0.307,0,1,0.965
wk8-worker-076,wk8-firm-026,0,construction,medium,incumbent,0,0.51,0.62,0.451,0.471,0.483,0.323,0,1,0.935
wk8-worker-077,wk8-firm-026,1,retail,large,incumbent,0,0.51,0.82,0.461,0.721,0.699,0.394,1,1,1.053
wk8-worker-078,wk8-firm-026,1,manufacturing,large,incumbent,0,0.51,0.82,0.461,0.721,0.699,0.394,1,1,1.053
wk8-worker-079,wk8-firm-027,0,services,large,incumbent,1,0.51,0.82,0.381,0.401,0.499,0.31,0,1,0.973
wk8-worker-080,wk8-firm-027,0,construction,large,incumbent,1,0.51,0.82,0.381,0.401,0.499,0.31,0,1,0.943
wk8-worker-081,wk8-firm-027,1,retail,micro,migrant,1,0.51,0.25,0.353,0.673,0.653,0.33,0,1,0.96
wk8-worker-082,wk8-firm-028,1,manufacturing,micro,migrant,0,0.51,0.25,0.433,0.693,0.653,0.334,0,1,0.96
wk8-worker-083,wk8-firm-028,0,services,micro,migrant,0,0.51,0.25,0.433,0.453,0.453,0.266,0,1,0.93
wk8-worker-084,wk8-firm-028,0,construction,micro,migrant,0,0.51,0.25,0.433,0.453,0.453,0.266,0,1,0.9
wk8-worker-085,wk8-firm-029,1,retail,small,migrant,1,0.6,0.42,0.361,0.685,0.694,0.386,0,1,0.967
wk8-worker-086,wk8-firm-029,1,manufacturing,small,migrant,1,0.6,0.42,0.361,0.685,0.694,0.386,0,1,0.967
wk8-worker-087,wk8-firm-029,0,services,small,migrant,1,0.6,0.42,0.361,0.385,0.494,0.306,0,1,0.937
wk8-worker-088,wk8-firm-030,0,construction,small,migrant,0,0.6,0.42,0.441,0.465,0.494,0.322,0,1,0.907
wk8-worker-089,wk8-firm-030,1,retail,medium,low_wage,0,0.6,0.62,0.451,0.715,0.71,0.394,1,1,1.025
wk8-worker-090,wk8-firm-030,1,manufacturing,medium,low_wage,0,0.6,0.62,0.451,0.715,0.71,0.394,1,1,1.025
wk8-worker-091,wk8-firm-031,0,services,medium,low_wage,1,0.6,0.62,0.371,0.395,0.51,0.31,0,1,0.945
wk8-worker-092,wk8-firm-031,0,construction,medium,low_wage,1,0.6,0.62,0.371,0.395,0.51,0.31,0,1,0.915
wk8-worker-093,wk8-firm-031,1,retail,large,low_wage,1,0.6,0.82,0.381,0.705,0.726,0.394,1,1,1.033
wk8-worker-094,wk8-firm-032,1,manufacturing,large,low_wage,0,0.6,0.82,0.461,0.725,0.726,0.398,1,1,1.033
wk8-worker-095,wk8-firm-032,0,services,large,low_wage,0,0.6,0.82,0.461,0.485,0.526,0.33,0,1,0.953
wk8-worker-096,wk8-firm-032,0,construction,large,low_wage,0,0.6,0.82,0.461,0.485,0.526,0.33,0,1,0.923
wk8-worker-097,wk8-firm-033,1,retail,micro,new_entrant,1,0.69,0.25,0.353,0.68,0.707,0.337,0,1,0.96
wk8-worker-098,wk8-firm-033,1,manufacturing,micro,new_entrant,1,0.69,0.25,0.353,0.68,0.707,0.337,0,1,0.96
wk8-worker-099,wk8-firm-033,0,services,micro,new_entrant,1,0.69,0.25,0.353,0.38,0.507,0.257,0,0,0.93
wk8-worker-100,wk8-firm-034,0,construction,micro,new_entrant,0,0.69,0.25,0.433,0.46,0.507,0.273,0,0,0.9
wk8-worker-101,wk8-firm-034,1,retail,small,new_entrant,0,0.69,0.42,0.441,0.709,0.721,0.394,0,1,0.967
wk8-worker-102,wk8-firm-034,1,manufacturing,small,new_entrant,0,0.69,0.42,0.441,0.709,0.721,0.394,0,1,0.967
wk8-worker-103,wk8-firm-035,0,services,small,new_entrant,1,0.69,0.42,0.361,0.389,0.521,0.31,0,0,0.937
wk8-worker-104,wk8-firm-035,0,construction,small,new_entrant,1,0.69,0.42,0.361,0.389,0.521,0.31,0,0,0.907
wk8-worker-105,wk8-firm-035,1,retail,medium,incumbent,1,0.69,0.62,0.371,0.699,0.737,0.393,1,1,1.045
wk8-worker-106,wk8-firm-036,1,manufacturing,medium,incumbent,0,0.69,0.62,0.451,0.719,0.737,0.397,1,1,1.045
wk8-worker-107,wk8-firm-036,0,services,medium,incumbent,0,0.69,0.62,0.451,0.479,0.537,0.329,0,1,0.965
wk8-worker-108,wk8-firm-036,0,construction,medium,incumbent,0,0.69,0.62,0.451,0.479,0.537,0.329,0,1,0.935
wk8-worker-109,wk8-firm-037,1,retail,large,incumbent,1,0.78,0.82,0.381,0.712,0.78,0.4,1,1,1.053
wk8-worker-110,wk8-firm-037,1,manufacturing,large,incumbent,1,0.78,0.82,0.381,0.712,0.78,0.4,1,1,1.053
wk8-worker-111,wk8-firm-037,0,services,large,incumbent,1,0.78,0.82,0.381,0.412,0.58,0.32,1,1,1.023
wk8-worker-112,wk8-firm-038,0,construction,large,incumbent,0,0.78,0.82,0.461,0.492,0.58,0.336,0,1,0.943
wk8-worker-113,wk8-firm-038,1,retail,micro,migrant,0,0.78,0.25,0.433,0.704,0.734,0.344,0,1,0.96
wk8-worker-114,wk8-firm-038,1,manufacturing,micro,migrant,0,0.78,0.25,0.433,0.704,0.734,0.344,0,1,0.96
wk8-worker-115,wk8-firm-039,0,services,micro,migrant,1,0.78,0.25,0.353,0.384,0.534,0.26,0,1,0.93
wk8-worker-116,wk8-firm-039,0,construction,micro,migrant,1,0.78,0.25,0.353,0.384,0.534,0.26,0,1,0.9
wk8-worker-117,wk8-firm-039,1,retail,small,migrant,1,0.78,0.42,0.361,0.692,0.748,0.393,1,1,1.017
wk8-worker-118,wk8-firm-040,1,manufacturing,small,migrant,0,0.78,0.42,0.441,0.712,0.748,0.397,1,1,1.017
wk8-worker-119,wk8-firm-040,0,services,small,migrant,0,0.78,0.42,0.441,0.472,0.548,0.329,0,1,0.937
wk8-worker-120,wk8-firm-040,0,construction,small,migrant,0,0.78,0.42,0.441,0.472,0.548,0.329,0,1,0.907
wk8-worker-121,wk8-firm-041,1,retail,medium,low_wage,1,0.42,0.62,0.371,0.688,0.656,0.383,1,1,1.025
wk8-worker-122,wk8-firm-041,1,manufacturing,medium,low_wage,1,0.42,0.62,0.371,0.688,0.656,0.383,1,1,1.025
wk8-worker-123,wk8-firm-041,0,services,medium,low_wage,1,0.42,0.62,0.371,0.388,0.456,0.303,0,1,0.945
wk8-worker-124,wk8-firm-042,0,construction,medium,low_wage,0,0.42,0.62,0.451,0.468,0.456,0.319,0,1,0.915
wk8-worker-125,wk8-firm-042,1,retail,large,low_wage,0,0.42,0.82,0.461,0.718,0.672,0.391,1,1,1.033
wk8-worker-126,wk8-firm-042,1,manufacturing,large,low_wage,0,0.42,0.82,0.461,0.718,0.672,0.391,1,1,1.033
wk8-worker-127,wk8-firm-043,0,services,large,low_wage,1,0.42,0.82,0.381,0.398,0.472,0.307,0,1,0.953
wk8-worker-128,wk8-firm-043,0,construction,large,low_wage,1,0.42,0.82,0.381,0.398,0.472,0.307,0,1,0.923
wk8-worker-129,wk8-firm-043,1,retail,micro,new_entrant,1,0.42,0.25,0.353,0.669,0.626,0.326,0,1,0.96
wk8-worker-130,wk8-firm-044,1,manufacturing,micro,new_entrant,0,0.42,0.25,0.433,0.689,0.626,0.33,0,1,0.96
wk8-worker-131,wk8-firm-044,0,services,micro,new_entrant,0,0.42,0.25,0.433,0.449,0.426,0.262,0,0,0.93
wk8-worker-132,wk8-firm-044,0,construction,micro,new_entrant,0,0.42,0.25,0.433,0.449,0.426,0.262,0,0,0.9
wk8-worker-133,wk8-firm-045,1,retail,small,new_entrant,1,0.51,0.42,0.361,0.681,0.667,0.383,0,1,0.967
wk8-worker-134,wk8-firm-045,1,manufacturing,small,new_entrant,1,0.51,0.42,0.361,0.681,0.667,0.383,0,1,0.967
wk8-worker-135,wk8-firm-045,0,services,small,new_entrant,1,0.51,0.42,0.361,0.381,0.467,0.303,0,0,0.937
wk8-worker-136,wk8-firm-046,0,construction,small,new_entrant,0,0.51,0.42,0.441,0.461,0.467,0.319,0,0,0.907
wk8-worker-137,wk8-firm-046,1,retail,medium,incumbent,0,0.51,0.62,0.451,0.711,0.683,0.391,1,1,1.045
wk8-worker-138,wk8-firm-046,1,manufacturing,medium,incumbent,0,0.51,0.62,0.451,0.711,0.683,0.391,1,1,1.045
wk8-worker-139,wk8-firm-047,0,services,medium,incumbent,1,0.51,0.62,0.371,0.391,0.483,0.307,0,1,0.965
wk8-worker-140,wk8-firm-047,0,construction,medium,incumbent,1,0.51,0.62,0.371,0.391,0.483,0.307,0,1,0.935
wk8-worker-141,wk8-firm-047,1,retail,large,incumbent,1,0.51,0.82,0.381,0.701,0.699,0.39,1,1,1.053
wk8-worker-142,wk8-firm-048,1,manufacturing,large,incumbent,0,0.51,0.82,0.461,0.721,0.699,0.394,1,1,1.053
wk8-worker-143,wk8-firm-048,0,services,large,incumbent,0,0.51,0.82,0.461,0.481,0.499,0.326,0,1,0.973
wk8-worker-144,wk8-firm-048,0,construction,large,incumbent,0,0.51,0.82,0.461,0.481,0.499,0.326,0,1,0.943
wk8-worker-145,wk8-firm-049,1,retail,micro,migrant,1,0.6,0.25,0.353,0.677,0.68,0.333,0,1,0.96
wk8-worker-146,wk8-firm-049,1,manufacturing,micro,migrant,1,0.6,0.25,0.353,0.677,0.68,0.333,0,1,0.96
wk8-worker-147,wk8-firm-049,0,services,micro,migrant,1,0.6,0.25,0.353,0.377,0.48,0.253,0,1,0.93
wk8-worker-148,wk8-firm-050,0,construction,micro,migrant,0,0.6,0.25,0.433,0.457,0.48,0.269,0,1,0.9
wk8-worker-149,wk8-firm-050,1,retail,small,migrant,0,0.6,0.42,0.441,0.705,0.694,0.39,0,1,0.967
wk8-worker-150,wk8-firm-050,1,manufacturing,small,migrant,0,0.6,0.42,0.441,0.705,0.694,0.39,0,1,0.967
wk8-worker-151,wk8-firm-051,0,services,small,migrant,1,0.6,0.42,0.361,0.385,0.494,0.306,0,1,0.937
wk8-worker-152,wk8-firm-051,0,construction,small,migrant,1,0.6,0.42,0.361,0.385,0.494,0.306,0,1,0.907
wk8-worker-153,wk8-firm-051,1,retail,medium,low_wage,1,0.6,0.62,0.371,0.695,0.71,0.39,1,1,1.025
wk8-worker-154,wk8-firm-052,1,manufacturing,medium,low_wage,0,0.6,0.62,0.451,0.715,0.71,0.394,1,1,1.025
wk8-worker-155,wk8-firm-052,0,services,medium,low_wage,0,0.6,0.62,0.451,0.475,0.51,0.326,0,1,0.945
wk8-worker-156,wk8-firm-052,0,construction,medium,low_wage,0,0.6,0.62,0.451,0.475,0.51,0.326,0,1,0.915
wk8-worker-157,wk8-firm-053,1,retail,large,low_wage,1,0.69,0.82,0.381,0.709,0.753,0.397,1,1,1.033
wk8-worker-158,wk8-firm-053,1,manufacturing,large,low_wage,1,0.69,0.82,0.381,0.709,0.753,0.397,1,1,1.033
wk8-worker-159,wk8-firm-053,0,services,large,low_wage,1,0.69,0.82,0.381,0.409,0.553,0.317,1,1,1.003
wk8-worker-160,wk8-firm-054,0,construction,large,low_wage,0,0.69,0.82,0.461,0.489,0.553,0.333,0,1,0.923
wk8-worker-161,wk8-firm-054,1,retail,micro,new_entrant,0,0.69,0.25,0.433,0.7,0.707,0.341,0,1,0.96
wk8-worker-162,wk8-firm-054,1,manufacturing,micro,new_entrant,0,0.69,0.25,0.433,0.7,0.707,0.341,0,1,0.96
wk8-worker-163,wk8-firm-055,0,services,micro,new_entrant,1,0.69,0.25,0.353,0.38,0.507,0.257,0,0,0.93
wk8-worker-164,wk8-firm-055,0,construction,micro,new_entrant,1,0.69,0.25,0.353,0.38,0.507,0.257,0,0,0.9
wk8-worker-165,wk8-firm-055,1,retail,small,new_entrant,1,0.69,0.42,0.361,0.689,0.721,0.39,0,1,0.967
wk8-worker-166,wk8-firm-056,1,manufacturing,small,new_entrant,0,0.69,0.42,0.441,0.709,0.721,0.394,0,1,0.967
wk8-worker-167,wk8-firm-056,0,services,small,new_entrant,0,0.69,0.42,0.441,0.469,0.521,0.326,0,0,0.937
wk8-worker-168,wk8-firm-056,0,construction,small,new_entrant,0,0.69,0.42,0.441,0.469,0.521,0.326,0,0,0.907
wk8-worker-169,wk8-firm-057,1,retail,medium,incumbent,1,0.78,0.62,0.371,0.702,0.764,0.397,1,1,1.045
wk8-worker-170,wk8-firm-057,1,manufacturing,medium,incumbent,1,0.78,0.62,0.371,0.702,0.764,0.397,1,1,1.045
wk8-worker-171,wk8-firm-057,0,services,medium,incumbent,1,0.78,0.62,0.371,0.402,0.564,0.317,0,1,0.965
wk8-worker-172,wk8-firm-058,0,construction,medium,incumbent,0,0.78,0.62,0.451,0.482,0.564,0.333,0,1,0.935
wk8-worker-173,wk8-firm-058,1,retail,large,incumbent,0,0.78,0.82,0.461,0.732,0.78,0.404,1,1,1.053
wk8-worker-174,wk8-firm-058,1,manufacturing,large,incumbent,0,0.78,0.82,0.461,0.732,0.78,0.404,1,1,1.053
wk8-worker-175,wk8-firm-059,0,services,large,incumbent,1,0.78,0.82,0.381,0.412,0.58,0.32,1,1,1.023
wk8-worker-176,wk8-firm-059,0,construction,large,incumbent,1,0.78,0.82,0.381,0.412,0.58,0.32,0,1,0.943
wk8-worker-177,wk8-firm-059,1,retail,micro,migrant,1,0.78,0.25,0.353,0.684,0.734,0.34,0,1,0.96
wk8-worker-178,wk8-firm-060,1,manufacturing,micro,migrant,0,0.78,0.25,0.433,0.704,0.734,0.344,0,1,0.96
wk8-worker-179,wk8-firm-060,0,services,micro,migrant,0,0.78,0.25,0.433,0.464,0.534,0.276,0,1,0.93
wk8-worker-180,wk8-firm-060,0,construction,micro,migrant,0,0.78,0.25,0.433,0.464,0.534,0.276,0,1,0.9
wk8-worker-181,wk8-firm-061,1,retail,small,migrant,1,0.42,0.42,0.361,0.678,0.64,0.38,0,1,0.967
wk8-worker-182,wk8-firm-061,1,manufacturing,small,migrant,1,0.42,0.42,0.361,0.678,0.64,0.38,0,1,0.967
wk8-worker-183,wk8-firm-061,0,services,small,migrant,1,0.42,0.42,0.361,0.378,0.44,0.3,0,1,0.937
wk8-worker-184,wk8-firm-062,0,construction,small,migrant,0,0.42,0.42,0.441,0.458,0.44,0.316,0,1,0.907
wk8-worker-185,wk8-firm-062,1,retail,medium,low_wage,0,0.42,0.62,0.451,0.708,0.656,0.387,1,1,1.025
wk8-worker-186,wk8-firm-062,1,manufacturing,medium,low_wage,0,0.42,0.62,0.451,0.708,0.656,0.387,1,1,1.025
wk8-worker-187,wk8-firm-063,0,services,medium,low_wage,1,0.42,0.62,0.371,0.388,0.456,0.303,0,1,0.945
wk8-worker-188,wk8-firm-063,0,construction,medium,low_wage,1,0.42,0.62,0.371,0.388,0.456,0.303,0,1,0.915
wk8-worker-189,wk8-firm-063,1,retail,large,low_wage,1,0.42,0.82,0.381,0.698,0.672,0.387,1,1,1.033
wk8-worker-190,wk8-firm-064,1,manufacturing,large,low_wage,0,0.42,0.82,0.461,0.718,0.672,0.391,1,1,1.033
wk8-worker-191,wk8-firm-064,0,services,large,low_wage,0,0.42,0.82,0.461,0.478,0.472,0.323,0,1,0.953
wk8-worker-192,wk8-firm-064,0,construction,large,low_wage,0,0.42,0.82,0.461,0.478,0.472,0.323,0,1,0.923
