referral_id,referrer_worker_id,applicant_id,referrer_group,applicant_group,same_group,referrer_treated,referrer_baseline_skill,applicant_access_score,tie_strength,callback,callback_probability
R036,W027,A063,B,A,0,0,1.2513,-0.1424,0.6361,0,0.4351
R037,W027,A070,B,B,1,0,1.2513,0.1801,0.713,0,0.5215
R038,W069,A004,B,B,1,1,0.8935,-0.3752,0.44,1,0.4597
R039,W065,A102,A,B,0,0,0.7318,0.296,0.2074,0,0.2781
R040,W014,A084,A,B,0,0,-0.6277,-1.5609,0.1176,0,0.1519
R041,W041,A034,A,A,1,1,0.776,-0.7103,0.868,1,0.6079
R042,W069,A022,B,A,0,1,0.8935,0.3639,0.3213,0,0.4189
R043,W005,A100,B,B,1,0,1.0717,-0.1043,0.2565,0,0.3591
R044,W089,A060,A,A,1,1,-0.6182,1.8,0.3466,1,0.522
R045,W091,A056,A,A,1,1,0.8833,0.4909,0.6872,1,0.6215
R046,W017,A115,A,A,1,0,0.0003,-1.1116,0.3607,0,0.331
R047,W081,A067,A,B,0,1,1.682,-0.5056,0.1681,1,0.3256
R048,W005,A010,B,A,0,0,1.0717,0.0147,0.1763,0,0.3029
R049,W005,A053,B,A,0,0,1.0717,0.1831,0.6451,1,0.4476
R050,W044,A089,B,B,1,0,0.2062,0.1289,0.9155,1,0.5349
R051,W027,A017,B,A,0,0,1.2513,1.8,0.3188,0,0.4427
R052,W071,A063,B,A,0,0,0.1966,-0.1424,0.7964,0,0.4377
R053,W077,A080,B,B,1,1,-0.3677,0.3471,0.6908,1,0.5209
R054,W033,A051,A,B,0,0,0.8002,-1.2745,0.2222,0,0.2195
R055,W086,A024,A,A,1,1,0.8395,-0.722,0.4738,0,0.4886
R056,W065,A106,A,B,0,0,0.7318,0.2268,0.2227,1,0.2789
R057,W038,A011,B,A,0,1,0.3589,-1.2705,0.8737,0,0.4768
R058,W081,A015,A,B,0,1,1.682,0.7182,0.5632,0,0.5087
R059,W069,A027,B,B,1,1,0.8935,0.6836,0.8303,1,0.6362
R060,W017,A051,A,B,0,0,0.0003,-1.2745,0.1378,0,0.1797
R061,W062,A036,A,B,0,1,0.6857,0.2394,0.8653,1,0.5319
R062,W062,A102,A,B,0,1,0.6857,0.296,0.548,1,0.4362
R063,W041,A008,A,A,1,1,0.776,-0.7025,0.5574,1,0.513
R064,W086,A082,A,A,1,1,0.8395,0.4213,0.559,0,0.5775
R065,W002,A070,A,B,0,1,0.4546,0.1801,0.5648,0,0.4249
R066,W027,A044,B,A,0,0,1.2513,-0.7878,0.1502,0,0.2669
R067,W050,A114,A,A,1,0,-0.5893,0.4068,0.4161,1,0.3998
R068,W033,A005,A,A,1,0,0.8002,1.0307,0.4079,1,0.4927
R069,W002,A085,A,B,0,1,0.4546,1.0075,0.4101,0,0.4222
R070,W033,A009,A,A,1,0,0.8002,0.5207,0.115,0,0.3758
R071,W041,A085,A,B,0,1,0.776,1.0075,0.5484,1,0.4792
R072,W081,A066,A,A,1,1,1.682,-0.2752,0.8424,0,0.6604
R073,W062,A115,A,A,1,1,0.6857,-1.1116,0.6706,0,0.5218
R074,W005,A014,B,B,1,0,1.0717,0.7259,0.4119,1,0.4495
R075,W057,A030,B,B,1,1,-0.2994,-0.7106,0.6878,0,0.4649
R076,W081,A018,A,B,0,1,1.682,0.0209,0.6816,1,0.5074
R077,W065,A032,A,A,1,0,0.7318,-0.2459,0.4746,0,0.4405
R078,W081,A083,A,A,1,1,1.682,-1.6585,0.6771,0,0.5385
R079,W089,A053,A,A,1,1,-0.6182,0.1831,0.4955,1,0.4796
R080,W017,A090,A,A,1,0,0.0003,-0.1342,0.2194,1,0.3396
R081,W033,A044,A,A,1,0,0.8002,-0.7878,0.7063,0,0.4859
R082,W041,A015,A,B,0,1,0.776,0.7182,0.323,1,0.3945
R083,W091,A010,A,A,1,1,0.8833,0.0147,0.6354,1,0.5809
R084,W062,A101,A,A,1,1,0.6857,0.1888,0.3496,0,0.493
R085,W071,A038,B,B,1,0,0.1966,-0.94,0.3462,0,0.3082
R086,W033,A063,A,A,1,0,0.8002,-0.1424,0.5561,1,0.4745
R087,W091,A030,A,B,0,1,0.8833,-0.7106,0.4041,1,0.3493
R088,W027,A058,B,A,0,0,1.2513,-0.6652,0.4577,1,0.3546
R089,W062,A043,A,A,1,1,0.6857,0.8327,0.6449,0,0.6184
R090,W005,A003,B,A,0,0,1.0717,0.6443,0.4366,0,0.4086
R091,W045,A073,B,A,0,0,-0.0103,0.0971,0.5697,1,0.3732
R092,W021,A026,B,B,1,0,-0.1641,-0.4202,0.5995,1,0.3911
R093,W027,A096,B,A,0,0,1.2513,-0.653,0.379,0,0.333
R094,W074,A115,A,A,1,0,0.0855,-1.1116,0.3174,1,0.3225
R095,W091,A113,A,A,1,1,0.8833,-0.6116,0.6375,1,0.5477
R096,W086,A087,A,A,1,1,0.8395,0.6804,0.5458,0,0.5874
R097,W038,A068,B,A,0,1,0.3589,-0.2122,0.6389,1,0.4617
R098,W081,A049,A,B,0,1,1.682,0.294,0.2277,0,0.3827
R099,W050,A031,A,B,0,0,-0.5893,-0.6347,0.03,0,0.1655
R100,W005,A120,B,B,1,0,1.0717,1.4569,0.3242,0,0.4623
R101,W081,A021,A,A,1,1,1.682,0.0749,0.5798,0,0.6021
R102,W062,A089,A,B,0,1,0.6857,0.1289,0.75,0,0.4898
R103,W065,A018,A,B,0,0,0.7318,0.0209,0.6448,1,0.3852
R104,W027,A073,B,A,0,0,1.2513,0.0971,0.0937,0,0.2919
R105,W053,A101,A,A,1,1,0.2012,0.1888,0.5056,0,0.5199
R106,W081,A005,A,A,1,1,1.682,1.0307,0.3763,1,0.5914
R107,W027,A054,B,B,1,0,1.2513,-0.1185,0.6314,1,0.4796
R108,W033,A004,A,B,0,0,0.8002,-0.3752,0.1491,0,0.2383
R109,W053,A028,A,A,1,1,0.2012,0.0977,0.9089,0,0.6374
R110,W077,A015,B,B,1,1,-0.3677,0.7182,0.5044,1,0.4831
R111,W081,A017,A,A,1,1,1.682,1.8,0.5482,0,0.6801
R112,W077,A090,B,A,0,1,-0.3677,-0.1342,0.698,1,0.4519
R113,W065,A025,A,A,1,0,0.7318,0.878,0.8787,0,0.6256
R114,W081,A065,A,A,1,1,1.682,0.1161,0.9611,1,0.7109
R115,W091,A120,A,B,0,1,0.8833,1.4569,0.7089,1,0.5587
R116,W077,A072,B,B,1,1,-0.3677,-0.1483,0.1221,0,0.3238
R117,W050,A019,A,B,0,0,-0.5893,-0.2039,0.762,0,0.3524
R118,W005,A097,B,B,1,0,1.0717,0.9328,0.4831,0,0.483
R119,W069,A015,B,B,1,1,0.8935,0.7182,0.5238,0,0.5458
R120,W065,A044,A,A,1,0,0.7318,-0.7878,0.5674,1,0.4397
R121,W005,A049,B,B,1,0,1.0717,0.294,0.3644,1,0.4117
R122,W081,A004,A,B,0,1,1.682,-0.3752,0.4514,0,0.4145
R123,W081,A076,A,B,0,1,1.682,1.8,0.0348,1,0.4043
R124,W027,A055,B,A,0,0,1.2513,1.047,0.7049,1,0.5217
R125,W033,A078,A,B,0,0,0.8002,0.7577,0.0573,0,0.2635
R126,W081,A008,A,A,1,1,1.682,-0.7025,0.4598,0,0.5232
R127,W002,A058,A,A,1,1,0.4546,-0.6652,0.3565,0,0.4381
R128,W093,A002,A,B,0,1,-0.489,1.1567,0.3966,1,0.3851
R129,W027,A096,B,A,0,0,1.2513,-0.653,0.183,1,0.281
R130,W091,A055,A,A,1,1,0.8833,1.047,0.7471,0,0.6667
R131,W009,A018,A,B,0,0,-0.5641,0.0209,0.5487,0,0.3055
R132,W089,A013,A,A,1,1,-0.6182,0.6748,0.1094,1,0.3879
R133,W086,A106,A,B,0,1,0.8395,0.2268,0.4235,0,0.4014
R134,W014,A119,A,B,0,0,-0.6277,-0.6383,0.6031,0,0.2871
R135,W038,A084,B,B,1,1,0.3589,-1.5609,0.5993,0,0.4208
R136,W027,A014,B,B,1,0,1.2513,0.7259,0.7276,0,0.5559
R137,W062,A049,A,B,0,1,0.6857,0.294,0.4618,1,0.4098
R138,W081,A042,A,B,0,1,1.682,-1.5679,0.5162,1,0.3712
R139,W065,A111,A,B,0,0,0.7318,0.5611,0.2644,0,0.3048
R140,W002,A038,A,B,0,1,0.4546,-0.94,0.6406,1,0.3884
R141,W029,A100,A,B,0,1,-0.2043,-0.1043,0.7325,0,0.4319
R142,W077,A116,B,A,0,1,-0.3677,1.2512,0.3105,1,0.4079
R143,W033,A008,A,A,1,0,0.8002,-0.7025,0.7521,0,0.5049
R144,W038,A036,B,B,1,1,0.3589,0.2394,0.2977,0,0.4254
R145,W071,A068,B,A,0,0,0.1966,-0.2122,0.303,1,0.2927
R146,W038,A062,B,B,1,1,0.3589,-1.1459,0.535,1,0.4234
R147,W005,A054,B,B,1,0,1.0717,-0.1185,0.5466,0,0.4452
R148,W027,A116,B,A,0,0,1.2513,1.2512,0.3578,0,0.425
R149,W081,A115,A,A,1,1,1.682,-1.1116,0.4147,0,0.4867
R150,W091,A087,A,A,1,1,0.8833,0.6804,0.4338,0,0.555
R151,W091,A078,A,B,0,1,0.8833,0.7577,0.2006,0,0.365
R152,W041,A076,A,B,0,1,0.776,1.8,0.0821,0,0.3795
R153,W091,A074,A,A,1,1,0.8833,-0.3386,0.6263,1,0.5591
R154,W069,A048,B,B,1,1,0.8935,-0.7285,0.7481,1,0.5364
R155,W027,A035,B,B,1,0,1.2513,1.8,0.273,1,0.4732
R156,W065,A120,A,B,0,0,0.7318,1.4569,0.4638,0,0.4066
R157,W081,A100,A,B,0,1,1.682,-0.1043,0.3022,1,0.384
R158,W002,A083,A,A,1,1,0.4546,-1.6585,0.2979,1,0.368
R159,W062,A081,A,B,0,1,0.6857,0.8849,0.3821,1,0.4172
R160,W062,A038,A,B,0,1,0.6857,-0.94,0.5357,1,0.3673
R161,W027,A010,B,A,0,0,1.2513,0.0147,0.3911,0,0.3699
R162,W045,A086,B,A,0,0,-0.0103,0.6518,0.4477,1,0.3661
R163,W027,A099,B,B,1,0,1.2513,0.6169,0.3175,1,0.4226
R164,W029,A083,A,A,1,1,-0.2043,-1.6585,0.4806,0,0.3939
R165,W014,A074,A,A,1,0,-0.6277,-0.3386,0.345,0,0.3393
R166,W001,A047,A,A,1,0,0.5879,0.8867,0.3233,1,0.4489
R167,W081,A082,A,A,1,1,1.682,0.4213,0.3855,1,0.5615
R168,W091,A007,A,B,0,1,0.8833,-0.0816,0.6516,0,0.4565
R169,W002,A036,A,B,0,1,0.4546,0.2394,0.0782,0,0.2895
R170,W002,A015,A,B,0,1,0.4546,0.7182,0.3759,0,0.3964
R171,W016,A027,A,B,0,0,-1.3653,0.6836,0.4914,1,0.2909
R172,W038,A048,B,B,1,1,0.3589,-0.7285,0.5501,0,0.4506
R173,W041,A110,A,A,1,1,0.776,-0.3321,0.7132,0,0.5813
R174,W077,A017,B,A,0,1,-0.3677,1.8,0.6279,1,0.5361
R175,W033,A075,A,A,1,0,0.8002,-1.0555,0.7125,0,0.4731
R176,W009,A026,A,B,0,0,-0.5641,-0.4202,0.4829,1,0.2689
R177,W021,A071,B,A,0,0,-0.1641,0.2491,0.4407,0,0.3376
R178,W071,A002,B,B,1,0,0.1966,1.1567,0.5825,0,0.487
R179,W021,A001,B,A,0,0,-0.1641,0.0529,0.2615,1,0.2807
R180,W091,A069,A,A,1,1,0.8833,-0.125,0.6293,0,0.5715
R181,W005,A039,B,B,1,0,1.0717,0.4279,0.5608,0,0.4795
R182,W026,A029,B,B,1,0,-0.3385,0.4209,0.5771,1,0.4214
R183,W065,A035,A,B,0,0,0.7318,1.8,0.1877,0,0.3435
R184,W017,A013,A,A,1,0,0.0003,0.6748,0.5314,0,0.4757
R185,W081,A085,A,B,0,1,1.682,1.0075,0.3282,0,0.4513
R186,W038,A065,B,A,0,1,0.3589,0.1161,0.8256,1,0.5379
R187,W081,A036,A,B,0,1,1.682,0.2394,0.6399,0,0.5063
R188,W009,A105,A,A,1,0,-0.5641,-0.6195,0.3592,0,0.3321
R189,W081,A047,A,A,1,1,1.682,0.8867,0.6625,1,0.6673
R190,W005,A051,B,B,1,0,1.0717,-1.2745,0.4267,1,0.3488
R191,W081,A099,A,B,0,1,1.682,0.6169,0.2878,0,0.4178
R192,W081,A063,A,A,1,1,1.682,-0.1424,0.4189,0,0.5412
R193,W033,A066,A,A,1,0,0.8002,-0.2752,0.6445,1,0.4948
R194,W005,A045,B,B,1,0,1.0717,-0.1055,0.3845,1,0.3966
R195,W081,A099,A,B,0,1,1.682,0.6169,0.5694,0,0.5051
R196,W026,A033,B,A,0,0,-0.3385,0.8441,0.2666,1,0.3117
R197,W005,A013,B,A,0,0,1.0717,0.6748,0.7265,1,0.4999
R198,W091,A072,A,B,0,1,0.8833,-0.1483,0.5572,0,0.4238
R199,W050,A007,A,B,0,0,-0.5893,-0.0816,0.3465,1,0.2496
R200,W005,A090,B,A,0,0,1.0717,-0.1342,0.2978,0,0.3286
R201,W041,A068,A,A,1,1,0.776,-0.2122,0.4892,0,0.5186
R202,W005,A116,B,A,0,0,1.0717,1.2512,0.4887,0,0.4574
R203,W021,A092,B,A,0,0,-0.1641,0.9596,0.4217,0,0.3679
R204,W027,A117,B,B,1,0,1.2513,-0.1876,0.6082,1,0.4686
R205,W071,A081,B,B,1,0,0.1966,0.8849,0.4175,1,0.4211
R206,W027,A028,B,A,0,0,1.2513,0.0977,0.7596,1,0.4866
R207,W029,A010,A,A,1,1,-0.2043,0.0147,0.2957,0,0.4271
R208,W041,A095,A,A,1,1,0.776,-0.4598,0.5917,1,0.537
R209,W033,A066,A,A,1,0,0.8002,-0.2752,0.8244,1,0.5508
R210,W081,A032,A,A,1,1,1.682,-0.2459,0.5699,1,0.582
R211,W081,A073,A,A,1,1,1.682,0.0971,0.6078,0,0.6115
R212,W071,A110,B,A,0,0,0.1966,-0.3321,0.1694,1,0.2543
R213,W071,A090,B,A,0,0,0.1966,-0.1342,0.6111,0,0.3822
R214,W033,A087,A,A,1,0,0.8002,0.6804,0.5832,1,0.5282
R215,W021,A084,B,B,1,0,-0.1641,-1.5609,0.3518,0,0.2683
R216,W086,A092,A,A,1,1,0.8395,0.9596,0.5683,1,0.6089
R217,W065,A082,A,A,1,0,0.7318,0.4213,0.2895,0,0.4198
R218,W029,A098,A,A,1,1,-0.2043,-0.3234,0.7681,1,0.5553
R219,W069,A003,B,A,0,1,0.8935,0.6443,0.7047,1,0.5531
R220,W041,A099,A,B,0,1,0.776,0.6169,0.27,0,0.3735
R221,W027,A055,B,A,0,0,1.2513,1.047,0.265,0,0.3862
R222,W009,A085,A,B,0,0,-0.5641,1.0075,0.927,0,0.4673
R223,W081,A096,A,A,1,1,1.682,-0.653,0.379,0,0.5007
R224,W027,A103,B,B,1,0,1.2513,-0.333,0.2542,0,0.3543
R225,W065,A093,A,B,0,0,0.7318,0.8876,0.0831,1,0.2731
R226,W001,A113,A,A,1,0,0.5879,-0.6116,0.3315,0,0.3718
R227,W027,A063,B,A,0,0,1.2513,-0.1424,0.5612,0,0.4123
R228,W002,A042,A,B,0,1,0.4546,-1.5679,0.5944,0,0.343
R229,W033,A018,A,B,0,0,0.8002,0.0209,0.7255,0,0.4123
R230,W041,A026,A,B,0,1,0.776,-0.4202,0.5422,1,0.4001
R231,W074,A007,A,B,0,0,0.0855,-0.0816,0.8026,1,0.3991
R232,W071,A105,B,A,0,0,0.1966,-0.6195,0.4908,1,0.3236
R233,W002,A017,A,A,1,1,0.4546,1.8,0.3936,1,0.5842
R234,W062,A054,A,B,0,1,0.6857,-0.1185,0.126,0,0.2942
R235,W091,A103,A,B,0,1,0.8833,-0.333,0.5947,0,0.4253
R236,W041,A093,A,B,0,1,0.776,0.8876,0.3854,0,0.4223
R237,W086,A106,A,B,0,1,0.8395,0.2268,0.8137,1,0.522
R238,W016,A005,A,A,1,0,-1.3653,1.0307,0.0942,0,0.3076
R239,W027,A109,B,B,1,0,1.2513,0.9487,0.2685,1,0.4255
R240,W069,A008,B,A,0,1,0.8935,-0.7025,0.4353,0,0.3966
R241,W069,A071,B,A,0,1,0.8935,0.2491,0.7982,0,0.5605
R242,W086,A004,A,B,0,1,0.8395,-0.3752,0.5758,0,0.4154
R243,W033,A116,A,A,1,0,0.8002,1.2512,0.3837,1,0.4972
R244,W069,A056,B,A,0,1,0.8935,0.4909,0.9636,1,0.6232
R245,W062,A095,A,A,1,1,0.6857,-0.4598,0.4633,1,0.4929
R246,W081,A112,A,A,1,1,1.682,0.3099,0.3553,1,0.5461
R247,W065,A014,A,B,0,0,0.7318,0.7259,0.5703,0,0.3999
R248,W041,A067,A,B,0,1,0.776,-0.5056,0.7281,1,0.4523
R249,W005,A016,B,B,1,0,1.0717,0.1712,0.5064,1,0.4486
R250,W062,A086,A,A,1,1,0.6857,0.6518,0.2658,0,0.4923
R251,W001,A018,A,B,0,0,0.5879,0.0209,0.2895,1,0.2814
R252,W091,A116,A,A,1,1,0.8833,1.2512,0.7549,1,0.6787
R253,W041,A117,A,B,0,1,0.776,-0.1876,0.423,0,0.3769
R254,W062,A119,A,B,0,1,0.6857,-0.6383,0.5815,0,0.3965
R255,W002,A079,A,B,0,1,0.4546,0.1819,0.6378,0,0.4475
R256,W071,A030,B,B,1,0,0.1966,-0.7106,0.299,0,0.3064
R257,W027,A011,B,A,0,0,1.2513,-1.2705,0.7755,0,0.417
R258,W027,A105,B,A,0,0,1.2513,-0.6195,0.5926,1,0.3964
R259,W038,A050,B,B,1,1,0.3589,0.706,0.6749,0,0.568
R260,W065,A013,A,A,1,0,0.7318,0.6748,0.172,0,0.3978
R261,W001,A098,A,A,1,0,0.5879,-0.3234,0.5147,1,0.4423
R262,W086,A021,A,A,1,1,0.8395,0.0749,0.5402,0,0.553
R263,W050,A011,A,A,1,0,-0.5893,-1.2705,0.2191,0,0.2647
R264,W086,A118,A,B,0,1,0.8395,-0.4601,0.3061,0,0.3324
R265,W005,A069,B,A,0,0,1.0717,-0.125,0.6697,1,0.4385
R266,W053,A078,A,B,0,1,0.2012,0.7577,0.639,0,0.4679
R267,W014,A109,A,B,0,0,-0.6277,0.9487,0.3832,0,0.3025
R268,W071,A018,B,B,1,0,0.1966,0.0209,0.7898,0,0.4893
R269,W086,A062,A,B,0,1,0.8395,-1.1459,0.3657,0,0.3156
R270,W069,A113,B,A,0,1,0.8935,-0.6116,0.4102,1,0.3939
R271,W091,A002,A,B,0,1,0.8833,1.1567,0.4489,1,0.4612
R272,W053,A024,A,A,1,1,0.2012,-0.722,0.133,0,0.3575
R273,W069,A017,B,A,0,1,0.8935,1.8,0.5243,1,0.5603
R274,W069,A072,B,B,1,1,0.8935,-0.1483,0.5383,1,0.5028
R275,W081,A016,A,B,0,1,1.682,0.1712,0.65,1,0.5057
R276,W044,A021,B,A,0,0,0.2062,0.0749,0.1879,0,0.2766
R277,W005,A035,B,B,1,0,1.0717,1.8,0.7522,1,0.6128
R278,W045,A005,B,A,0,0,-0.0103,1.0307,0.2439,1,0.3273
R279,W038,A047,B,A,0,1,0.3589,0.8867,0.3286,1,0.4257
R280,W081,A056,A,A,1,1,1.682,0.4909,0.5462,1,0.6139
R281,W005,A055,B,A,0,0,1.0717,1.047,0.1582,0,0.3477
R282,W005,A094,B,A,0,0,1.0717,-0.3636,0.5891,0,0.4011
R283,W093,A074,A,A,1,1,-0.489,-0.3386,0.5676,1,0.4793
R284,W041,A042,A,B,0,1,0.776,-1.5679,0.6789,1,0.3807
R285,W086,A067,A,B,0,1,0.8395,-0.5056,0.4162,0,0.3613
R286,W001,A019,A,B,0,0,0.5879,-0.2039,0.5613,0,0.3436
R287,W014,A052,A,A,1,0,-0.6277,1.7862,0.5976,1,0.5292
R288,W069,A118,B,B,1,1,0.8935,-0.4601,0.363,0,0.4313
R289,W086,A103,A,B,0,1,0.8395,-0.333,0.3351,1,0.3468
R290,W038,A077,B,A,0,1,0.3589,-1.0738,0.6278,0,0.4117
R291,W081,A096,A,A,1,1,1.682,-0.653,0.1841,1,0.4401
R292,W053,A065,A,A,1,1,0.2012,0.1161,0.5388,0,0.5263
R293,W001,A046,A,A,1,0,0.5879,-0.803,0.6952,0,0.4721
R294,W050,A031,A,B,0,0,-0.5893,-0.6347,0.2715,0,0.2114
R295,W053,A105,A,A,1,1,0.2012,-0.6195,0.5858,0,0.5005
R296,W081,A044,A,A,1,1,1.682,-0.7878,0.3297,0,0.4779
R297,W065,A039,A,B,0,0,0.7318,0.4279,0.5826,1,0.388
R298,W053,A103,A,B,0,1,0.2012,-0.333,0.3089,0,0.3141
R299,W057,A069,B,A,0,1,-0.2994,-0.125,0.3765,1,0.3588
R300,W091,A022,A,A,1,1,0.8833,0.3639,0.7128,1,0.6225
R301,W009,A041,A,B,0,0,-0.5641,-0.2913,0.6702,0,0.3235
R302,W071,A035,B,B,1,0,0.1966,1.8,0.1109,0,0.3775
R303,W081,A027,A,B,0,1,1.682,0.6836,0.3914,1,0.4532
R304,W005,A053,B,A,0,0,1.0717,0.1831,0.436,0,0.3842
R305,W081,A089,A,B,0,1,1.682,0.1289,0.1487,0,0.3514
R306,W016,A044,A,A,1,0,-1.3653,-0.7878,0.6591,0,0.3763
R307,W026,A055,B,A,0,0,-0.3385,1.047,0.8156,0,0.4847
R308,W033,A012,A,A,1,0,0.8002,0.9221,0.4648,0,0.5045
R309,W041,A076,A,B,0,1,0.776,1.8,0.3161,1,0.4504
R310,W029,A069,A,A,1,1,-0.2043,-0.125,0.437,0,0.4631
R311,W017,A001,A,A,1,0,0.0003,0.0529,0.6301,1,0.4724
R312,W027,A044,B,A,0,0,1.2513,-0.7878,0.1911,1,0.277
R313,W033,A015,A,B,0,0,0.8002,0.7182,0.3357,1,0.3344
R314,W041,A013,A,A,1,1,0.776,0.6748,0.4661,1,0.5599
R315,W086,A092,A,A,1,1,0.8395,0.9596,0.4858,0,0.5841
R316,W001,A042,A,B,0,0,0.5879,-1.5679,0.3678,0,0.2334
R317,W074,A050,A,B,0,0,0.0855,0.706,0.4812,1,0.3457
R318,W027,A012,B,A,0,0,1.2513,0.9221,0.6516,0,0.4982
R319,W041,A026,A,B,0,1,0.776,-0.4202,0.596,0,0.4164
R320,W033,A098,A,A,1,0,0.8002,-0.3234,0.683,0,0.5042
R321,W005,A032,B,A,0,0,1.0717,-0.2459,0.1813,0,0.2922
R322,W081,A055,A,A,1,1,1.682,1.047,0.7168,1,0.6898
R323,W091,A052,A,A,1,1,0.8833,1.7862,0.765,1,0.7064
R324,W001,A093,A,B,0,0,0.5879,0.8876,0.3268,1,0.3317
R325,W033,A017,A,A,1,0,0.8002,1.8,0.2311,0,0.4798
R326,W065,A086,A,A,1,0,0.7318,0.6518,0.2478,0,0.4194
R327,W005,A035,B,B,1,0,1.0717,1.8,0.791,1,0.6243
R328,W086,A089,A,B,0,1,0.8395,0.1289,0.1583,1,0.3202
R329,W017,A009,A,A,1,0,0.0003,0.5207,0.1295,0,0.3467
R330,W062,A051,A,B,0,1,0.6857,-1.2745,0.5217,0,0.3464
R331,W041,A098,A,A,1,1,0.776,-0.3234,0.384,1,0.4797
R332,W081,A067,A,B,0,1,1.682,-0.5056,0.3937,1,0.3902
R333,W091,A011,A,A,1,1,0.8833,-1.2705,0.7393,1,0.5433
R334,W091,A017,A,A,1,1,0.8833,1.8,0.7152,1,0.694
R335,W062,A017,A,A,1,1,0.6857,1.8,0.5588,0,0.6429
R336,W005,A009,B,A,0,0,1.0717,0.5207,0.3279,0,0.3699
R337,W086,A025,A,A,1,1,0.8395,0.878,0.7191,1,0.6487
R338,W086,A116,A,A,1,1,0.8395,1.2512,0.801,0,0.6895
R339,W038,A066,B,A,0,1,0.3589,-0.2752,0.2798,0,0.3507
R340,W001,A052,A,A,1,0,0.5879,1.7862,0.4567,0,0.5398
R341,W021,A096,B,A,0,0,-0.1641,-0.653,0.3841,0,0.2803
R342,W081,A001,A,A,1,1,1.682,0.0529,0.776,0,0.658
R343,W001,A116,A,A,1,0,0.5879,1.2512,0.6292,0,0.564
R344,W081,A069,A,A,1,1,1.682,-0.125,0.4049,0,0.5378
R345,W017,A034,A,A,1,0,0.0003,-0.7103,0.7351,0,0.4632
R346,W027,A069,B,A,0,0,1.2513,-0.125,0.2382,0,0.3198
R347,W017,A066,A,A,1,0,0.0003,-0.2752,0.6456,0,0.4592
R348,W002,A051,A,B,0,1,0.4546,-1.2745,0.6102,0,0.3622
R349,W027,A020,B,B,1,0,1.2513,1.1461,0.3122,0,0.4496
R350,W069,A056,B,A,0,1,0.8935,0.4909,0.4779,1,0.4741
R351,W009,A001,A,A,1,0,-0.5641,0.0529,0.4991,0,0.4071
R352,W081,A054,A,B,0,1,1.682,-0.1185,0.3825,0,0.4073
R353,W041,A035,A,B,0,1,0.776,1.8,0.7295,1,0.5787
R354,W021,A059,B,B,1,0,-0.1641,0.9344,0.5243,0,0.4406
