worker_id,manager_norm,baseline_performance,prior_team_culture,support_index,promotion_standard,conformity_pressure,culture_alignment,promotion_score,retention_index,local_norm_shift
manager-worker-071,high_pressure_merit,80.0,0.64,0.48,0.76,0.42,0.444,80.22,0.698,-0.196
manager-worker-072,supportive_growth,81.6,0.44,0.72,0.48,0.16,0.465,90.17,0.79,0.025
manager-worker-073,traditional_gatekeeping,81.6,0.44,0.3,0.68,0.36,0.282,78.89,0.653,-0.158
manager-worker-074,high_pressure_merit,81.6,0.44,0.48,0.76,0.42,0.334,81.27,0.686,-0.106
manager-worker-075,supportive_growth,83.2,0.48,0.72,0.48,0.16,0.487,91.88,0.792,0.007
manager-worker-076,traditional_gatekeeping,83.2,0.48,0.3,0.68,0.36,0.304,80.6,0.656,-0.176
manager-worker-077,high_pressure_merit,83.2,0.48,0.48,0.76,0.42,0.356,82.98,0.688,-0.124
manager-worker-078,supportive_growth,84.8,0.52,0.72,0.48,0.16,0.509,93.59,0.794,-0.011
manager-worker-079,traditional_gatekeeping,84.8,0.52,0.3,0.68,0.36,0.326,82.31,0.658,-0.194
manager-worker-080,high_pressure_merit,84.8,0.52,0.48,0.76,0.42,0.378,84.69,0.69,-0.142
manager-worker-081,supportive_growth,72.0,0.56,0.72,0.48,0.16,0.531,80.9,0.797,-0.029
manager-worker-082,traditional_gatekeeping,72.0,0.56,0.3,0.68,0.36,0.348,69.62,0.661,-0.212
manager-worker-083,high_pressure_merit,72.0,0.56,0.48,0.76,0.42,0.4,72.0,0.693,-0.16
manager-worker-084,supportive_growth,73.6,0.6,0.72,0.48,0.16,0.553,82.61,0.799,-0.047
manager-worker-085,traditional_gatekeeping,73.6,0.6,0.3,0.68,0.36,0.37,71.33,0.663,-0.23
manager-worker-086,high_pressure_merit,73.6,0.6,0.48,0.76,0.42,0.422,73.71,0.695,-0.178
manager-worker-087,supportive_growth,75.2,0.64,0.72,0.48,0.16,0.575,84.32,0.802,-0.065
manager-worker-088,traditional_gatekeeping,75.2,0.64,0.3,0.68,0.36,0.392,73.04,0.666,-0.248
manager-worker-089,high_pressure_merit,75.2,0.64,0.48,0.76,0.42,0.444,75.42,0.698,-0.196
manager-worker-090,supportive_growth,76.8,0.44,0.72,0.48,0.16,0.465,85.37,0.79,0.025
manager-worker-091,traditional_gatekeeping,76.8,0.44,0.3,0.68,0.36,0.282,74.09,0.653,-0.158
manager-worker-092,high_pressure_merit,76.8,0.44,0.48,0.76,0.42,0.334,76.47,0.686,-0.106
manager-worker-093,supportive_growth,78.4,0.48,0.72,0.48,0.16,0.487,87.08,0.792,0.007
manager-worker-094,traditional_gatekeeping,78.4,0.48,0.3,0.68,0.36,0.304,75.8,0.656,-0.176
manager-worker-095,high_pressure_merit,78.4,0.48,0.48,0.76,0.42,0.356,78.18,0.688,-0.124
manager-worker-096,supportive_growth,80.0,0.52,0.72,0.48,0.16,0.509,88.79,0.794,-0.011
manager-worker-097,traditional_gatekeeping,80.0,0.52,0.3,0.68,0.36,0.326,77.51,0.658,-0.194
manager-worker-098,high_pressure_merit,80.0,0.52,0.48,0.76,0.42,0.378,79.89,0.69,-0.142
manager-worker-099,supportive_growth,81.6,0.56,0.72,0.48,0.16,0.531,90.5,0.797,-0.029
manager-worker-100,traditional_gatekeeping,81.6,0.56,0.3,0.68,0.36,0.348,79.22,0.661,-0.212
manager-worker-101,high_pressure_merit,81.6,0.56,0.48,0.76,0.42,0.4,81.6,0.693,-0.16
manager-worker-102,supportive_growth,83.2,0.6,0.72,0.48,0.16,0.553,92.21,0.799,-0.047
manager-worker-103,traditional_gatekeeping,83.2,0.6,0.3,0.68,0.36,0.37,80.93,0.663,-0.23
manager-worker-104,high_pressure_merit,83.2,0.6,0.48,0.76,0.42,0.422,83.31,0.695,-0.178
manager-worker-105,supportive_growth,84.8,0.64,0.72,0.48,0.16,0.575,93.92,0.802,-0.065
manager-worker-106,traditional_gatekeeping,84.8,0.64,0.3,0.68,0.36,0.392,82.64,0.666,-0.248
manager-worker-107,high_pressure_merit,84.8,0.64,0.48,0.76,0.42,0.444,85.02,0.698,-0.196
manager-worker-108,supportive_growth,72.0,0.44,0.72,0.48,0.16,0.465,80.57,0.79,0.025
manager-worker-109,traditional_gatekeeping,72.0,0.44,0.3,0.68,0.36,0.282,69.29,0.653,-0.158
manager-worker-110,high_pressure_merit,72.0,0.44,0.48,0.76,0.42,0.334,71.67,0.686,-0.106
manager-worker-111,supportive_growth,73.6,0.48,0.72,0.48,0.16,0.487,82.28,0.792,0.007
manager-worker-112,traditional_gatekeeping,73.6,0.48,0.3,0.68,0.36,0.304,71.0,0.656,-0.176
manager-worker-113,high_pressure_merit,73.6,0.48,0.48,0.76,0.42,0.356,73.38,0.688,-0.124
manager-worker-114,supportive_growth,75.2,0.52,0.72,0.48,0.16,0.509,83.99,0.794,-0.011
manager-worker-115,traditional_gatekeeping,75.2,0.52,0.3,0.68,0.36,0.326,72.71,0.658,-0.194
manager-worker-116,high_pressure_merit,75.2,0.52,0.48,0.76,0.42,0.378,75.09,0.69,-0.142
manager-worker-117,supportive_growth,76.8,0.56,0.72,0.48,0.16,0.531,85.7,0.797,-0.029
manager-worker-118,traditional_gatekeeping,76.8,0.56,0.3,0.68,0.36,0.348,74.42,0.661,-0.212
manager-worker-119,high_pressure_merit,76.8,0.56,0.48,0.76,0.42,0.4,76.8,0.693,-0.16
manager-worker-120,supportive_growth,78.4,0.6,0.72,0.48,0.16,0.553,87.41,0.799,-0.047
manager-worker-121,traditional_gatekeeping,78.4,0.6,0.3,0.68,0.36,0.37,76.13,0.663,-0.23
manager-worker-122,high_pressure_merit,78.4,0.6,0.48,0.76,0.42,0.422,78.51,0.695,-0.178
manager-worker-123,supportive_growth,80.0,0.64,0.72,0.48,0.16,0.575,89.12,0.802,-0.065
manager-worker-124,traditional_gatekeeping,80.0,0.64,0.3,0.68,0.36,0.392,77.84,0.666,-0.248
manager-worker-125,high_pressure_merit,80.0,0.64,0.48,0.76,0.42,0.444,80.22,0.698,-0.196
manager-worker-126,supportive_growth,81.6,0.44,0.72,0.48,0.16,0.465,90.17,0.79,0.025
manager-worker-127,traditional_gatekeeping,81.6,0.44,0.3,0.68,0.36,0.282,78.89,0.653,-0.158
manager-worker-128,high_pressure_merit,81.6,0.44,0.48,0.76,0.42,0.334,81.27,0.686,-0.106
manager-worker-129,supportive_growth,83.2,0.48,0.72,0.48,0.16,0.487,91.88,0.792,0.007
manager-worker-130,traditional_gatekeeping,83.2,0.48,0.3,0.68,0.36,0.304,80.6,0.656,-0.176
manager-worker-131,high_pressure_merit,83.2,0.48,0.48,0.76,0.42,0.356,82.98,0.688,-0.124
manager-worker-132,supportive_growth,84.8,0.52,0.72,0.48,0.16,0.509,93.59,0.794,-0.011
manager-worker-133,traditional_gatekeeping,84.8,0.52,0.3,0.68,0.36,0.326,82.31,0.658,-0.194
manager-worker-134,high_pressure_merit,84.8,0.52,0.48,0.76,0.42,0.378,84.69,0.69,-0.142
manager-worker-135,supportive_growth,72.0,0.56,0.72,0.48,0.16,0.531,80.9,0.797,-0.029
manager-worker-136,traditional_gatekeeping,72.0,0.56,0.3,0.68,0.36,0.348,69.62,0.661,-0.212
manager-worker-137,high_pressure_merit,72.0,0.56,0.48,0.76,0.42,0.4,72.0,0.693,-0.16
manager-worker-138,supportive_growth,73.6,0.6,0.72,0.48,0.16,0.553,82.61,0.799,-0.047
manager-worker-139,traditional_gatekeeping,73.6,0.6,0.3,0.68,0.36,0.37,71.33,0.663,-0.23
manager-worker-140,high_pressure_merit,73.6,0.6,0.48,0.76,0.42,0.422,73.71,0.695,-0.178
manager-worker-141,supportive_growth,75.2,0.64,0.72,0.48,0.16,0.575,84.32,0.802,-0.065
manager-worker-142,traditional_gatekeeping,75.2,0.64,0.3,0.68,0.36,0.392,73.04,0.666,-0.248
manager-worker-143,high_pressure_merit,75.2,0.64,0.48,0.76,0.42,0.444,75.42,0.698,-0.196
manager-worker-144,supportive_growth,76.8,0.44,0.72,0.48,0.16,0.465,85.37,0.79,0.025
manager-worker-145,traditional_gatekeeping,76.8,0.44,0.3,0.68,0.36,0.282,74.09,0.653,-0.158
manager-worker-146,high_pressure_merit,76.8,0.44,0.48,0.76,0.42,0.334,76.47,0.686,-0.106
manager-worker-147,supportive_growth,78.4,0.48,0.72,0.48,0.16,0.487,87.08,0.792,0.007
manager-worker-148,traditional_gatekeeping,78.4,0.48,0.3,0.68,0.36,0.304,75.8,0.656,-0.176
manager-worker-149,high_pressure_merit,78.4,0.48,0.48,0.76,0.42,0.356,78.18,0.688,-0.124
manager-worker-150,supportive_growth,80.0,0.52,0.72,0.48,0.16,0.509,88.79,0.794,-0.011
manager-worker-151,traditional_gatekeeping,80.0,0.52,0.3,0.68,0.36,0.326,77.51,0.658,-0.194
manager-worker-152,high_pressure_merit,80.0,0.52,0.48,0.76,0.42,0.378,79.89,0.69,-0.142
manager-worker-153,supportive_growth,81.6,0.56,0.72,0.48,0.16,0.531,90.5,0.797,-0.029
manager-worker-154,traditional_gatekeeping,81.6,0.56,0.3,0.68,0.36,0.348,79.22,0.661,-0.212
manager-worker-155,high_pressure_merit,81.6,0.56,0.48,0.76,0.42,0.4,81.6,0.693,-0.16
manager-worker-156,supportive_growth,83.2,0.6,0.72,0.48,0.16,0.553,92.21,0.799,-0.047
manager-worker-157,traditional_gatekeeping,83.2,0.6,0.3,0.68,0.36,0.37,80.93,0.663,-0.23
manager-worker-158,high_pressure_merit,83.2,0.6,0.48,0.76,0.42,0.422,83.31,0.695,-0.178
manager-worker-159,supportive_growth,84.8,0.64,0.72,0.48,0.16,0.575,93.92,0.802,-0.065
manager-worker-160,traditional_gatekeeping,84.8,0.64,0.3,0.68,0.36,0.392,82.64,0.666,-0.248
manager-worker-161,high_pressure_merit,84.8,0.64,0.48,0.76,0.42,0.444,85.02,0.698,-0.196
manager-worker-162,supportive_growth,72.0,0.44,0.72,0.48,0.16,0.465,80.57,0.79,0.025
manager-worker-163,traditional_gatekeeping,72.0,0.44,0.3,0.68,0.36,0.282,69.29,0.653,-0.158
manager-worker-164,high_pressure_merit,72.0,0.44,0.48,0.76,0.42,0.334,71.67,0.686,-0.106
manager-worker-165,supportive_growth,73.6,0.48,0.72,0.48,0.16,0.487,82.28,0.792,0.007
manager-worker-166,traditional_gatekeeping,73.6,0.48,0.3,0.68,0.36,0.304,71.0,0.656,-0.176
manager-worker-167,high_pressure_merit,73.6,0.48,0.48,0.76,0.42,0.356,73.38,0.688,-0.124
manager-worker-168,supportive_growth,75.2,0.52,0.72,0.48,0.16,0.509,83.99,0.794,-0.011
manager-worker-169,traditional_gatekeeping,75.2,0.52,0.3,0.68,0.36,0.326,72.71,0.658,-0.194
manager-worker-170,high_pressure_merit,75.2,0.52,0.48,0.76,0.42,0.378,75.09,0.69,-0.142
manager-worker-171,supportive_growth,76.8,0.56,0.72,0.48,0.16,0.531,85.7,0.797,-0.029
manager-worker-172,traditional_gatekeeping,76.8,0.56,0.3,0.68,0.36,0.348,74.42,0.661,-0.212
manager-worker-173,high_pressure_merit,76.8,0.56,0.48,0.76,0.42,0.4,76.8,0.693,-0.16
manager-worker-174,supportive_growth,78.4,0.6,0.72,0.48,0.16,0.553,87.41,0.799,-0.047
manager-worker-175,traditional_gatekeeping,78.4,0.6,0.3,0.68,0.36,0.37,76.13,0.663,-0.23
manager-worker-176,high_pressure_merit,78.4,0.6,0.48,0.76,0.42,0.422,78.51,0.695,-0.178
manager-worker-177,supportive_growth,80.0,0.64,0.72,0.48,0.16,0.575,89.12,0.802,-0.065
manager-worker-178,traditional_gatekeeping,80.0,0.64,0.3,0.68,0.36,0.392,77.84,0.666,-0.248
manager-worker-179,high_pressure_merit,80.0,0.64,0.48,0.76,0.42,0.444,80.22,0.698,-0.196
manager-worker-180,supportive_growth,81.6,0.44,0.72,0.48,0.16,0.465,90.17,0.79,0.025
manager-worker-181,traditional_gatekeeping,81.6,0.44,0.3,0.68,0.36,0.282,78.89,0.653,-0.158
manager-worker-182,high_pressure_merit,81.6,0.44,0.48,0.76,0.42,0.334,81.27,0.686,-0.106
manager-worker-183,supportive_growth,83.2,0.48,0.72,0.48,0.16,0.487,91.88,0.792,0.007
manager-worker-184,traditional_gatekeeping,83.2,0.48,0.3,0.68,0.36,0.304,80.6,0.656,-0.176
manager-worker-185,high_pressure_merit,83.2,0.48,0.48,0.76,0.42,0.356,82.98,0.688,-0.124
manager-worker-186,supportive_growth,84.8,0.52,0.72,0.48,0.16,0.509,93.59,0.794,-0.011
manager-worker-187,traditional_gatekeeping,84.8,0.52,0.3,0.68,0.36,0.326,82.31,0.658,-0.194
manager-worker-188,high_pressure_merit,84.8,0.52,0.48,0.76,0.42,0.378,84.69,0.69,-0.142
manager-worker-189,supportive_growth,72.0,0.56,0.72,0.48,0.16,0.531,80.9,0.797,-0.029
manager-worker-190,traditional_gatekeeping,72.0,0.56,0.3,0.68,0.36,0.348,69.62,0.661,-0.212
manager-worker-191,high_pressure_merit,72.0,0.56,0.48,0.76,0.42,0.4,72.0,0.693,-0.16
manager-worker-192,supportive_growth,73.6,0.6,0.72,0.48,0.16,0.553,82.61,0.799,-0.047
manager-worker-193,traditional_gatekeeping,73.6,0.6,0.3,0.68,0.36,0.37,71.33,0.663,-0.23
manager-worker-194,high_pressure_merit,73.6,0.6,0.48,0.76,0.42,0.422,73.71,0.695,-0.178
manager-worker-195,supportive_growth,75.2,0.64,0.72,0.48,0.16,0.575,84.32,0.802,-0.065
manager-worker-196,traditional_gatekeeping,75.2,0.64,0.3,0.68,0.36,0.392,73.04,0.666,-0.248
manager-worker-197,high_pressure_merit,75.2,0.64,0.48,0.76,0.42,0.444,75.42,0.698,-0.196
manager-worker-198,supportive_growth,76.8,0.44,0.72,0.48,0.16,0.465,85.37,0.79,0.025
manager-worker-199,traditional_gatekeeping,76.8,0.44,0.3,0.68,0.36,0.282,74.09,0.653,-0.158
manager-worker-200,high_pressure_merit,76.8,0.44,0.48,0.76,0.42,0.334,76.47,0.686,-0.106
manager-worker-201,supportive_growth,78.4,0.48,0.72,0.48,0.16,0.487,87.08,0.792,0.007
manager-worker-202,traditional_gatekeeping,78.4,0.48,0.3,0.68,0.36,0.304,75.8,0.656,-0.176
manager-worker-203,high_pressure_merit,78.4,0.48,0.48,0.76,0.42,0.356,78.18,0.688,-0.124
manager-worker-204,supportive_growth,80.0,0.52,0.72,0.48,0.16,0.509,88.79,0.794,-0.011
manager-worker-205,traditional_gatekeeping,80.0,0.52,0.3,0.68,0.36,0.326,77.51,0.658,-0.194
manager-worker-206,high_pressure_merit,80.0,0.52,0.48,0.76,0.42,0.378,79.89,0.69,-0.142
manager-worker-207,supportive_growth,81.6,0.56,0.72,0.48,0.16,0.531,90.5,0.797,-0.029
manager-worker-208,traditional_gatekeeping,81.6,0.56,0.3,0.68,0.36,0.348,79.22,0.661,-0.212
manager-worker-209,high_pressure_merit,81.6,0.56,0.48,0.76,0.42,0.4,81.6,0.693,-0.16
manager-worker-210,supportive_growth,83.2,0.6,0.72,0.48,0.16,0.553,92.21,0.799,-0.047
manager-worker-211,traditional_gatekeeping,83.2,0.6,0.3,0.68,0.36,0.37,80.93,0.663,-0.23
manager-worker-212,high_pressure_merit,83.2,0.6,0.48,0.76,0.42,0.422,83.31,0.695,-0.178
manager-worker-213,supportive_growth,84.8,0.64,0.72,0.48,0.16,0.575,93.92,0.802,-0.065
manager-worker-214,traditional_gatekeeping,84.8,0.64,0.3,0.68,0.36,0.392,82.64,0.666,-0.248
manager-worker-215,high_pressure_merit,84.8,0.64,0.48,0.76,0.42,0.444,85.02,0.698,-0.196
manager-worker-216,supportive_growth,72.0,0.44,0.72,0.48,0.16,0.465,80.57,0.79,0.025
manager-worker-217,traditional_gatekeeping,72.0,0.44,0.3,0.68,0.36,0.282,69.29,0.653,-0.158
manager-worker-218,high_pressure_merit,72.0,0.44,0.48,0.76,0.42,0.334,71.67,0.686,-0.106
manager-worker-219,supportive_growth,73.6,0.48,0.72,0.48,0.16,0.487,82.28,0.792,0.007
manager-worker-220,traditional_gatekeeping,73.6,0.48,0.3,0.68,0.36,0.304,71.0,0.656,-0.176
manager-worker-221,high_pressure_merit,73.6,0.48,0.48,0.76,0.42,0.356,73.38,0.688,-0.124
manager-worker-222,supportive_growth,75.2,0.52,0.72,0.48,0.16,0.509,83.99,0.794,-0.011
manager-worker-223,traditional_gatekeeping,75.2,0.52,0.3,0.68,0.36,0.326,72.71,0.658,-0.194
manager-worker-224,high_pressure_merit,75.2,0.52,0.48,0.76,0.42,0.378,75.09,0.69,-0.142
manager-worker-225,supportive_growth,76.8,0.56,0.72,0.48,0.16,0.531,85.7,0.797,-0.029
manager-worker-226,traditional_gatekeeping,76.8,0.56,0.3,0.68,0.36,0.348,74.42,0.661,-0.212
manager-worker-227,high_pressure_merit,76.8,0.56,0.48,0.76,0.42,0.4,76.8,0.693,-0.16
manager-worker-228,supportive_growth,78.4,0.6,0.72,0.48,0.16,0.553,87.41,0.799,-0.047
manager-worker-229,traditional_gatekeeping,78.4,0.6,0.3,0.68,0.36,0.37,76.13,0.663,-0.23
manager-worker-230,high_pressure_merit,78.4,0.6,0.48,0.76,0.42,0.422,78.51,0.695,-0.178
manager-worker-231,supportive_growth,80.0,0.64,0.72,0.48,0.16,0.575,89.12,0.802,-0.065
manager-worker-232,traditional_gatekeeping,80.0,0.64,0.3,0.68,0.36,0.392,77.84,0.666,-0.248
manager-worker-233,high_pressure_merit,80.0,0.64,0.48,0.76,0.42,0.444,80.22,0.698,-0.196
manager-worker-234,supportive_growth,81.6,0.44,0.72,0.48,0.16,0.465,90.17,0.79,0.025
manager-worker-235,traditional_gatekeeping,81.6,0.44,0.3,0.68,0.36,0.282,78.89,0.653,-0.158
manager-worker-236,high_pressure_merit,81.6,0.44,0.48,0.76,0.42,0.334,81.27,0.686,-0.106
manager-worker-237,supportive_growth,83.2,0.48,0.72,0.48,0.16,0.487,91.88,0.792,0.007
manager-worker-238,traditional_gatekeeping,83.2,0.48,0.3,0.68,0.36,0.304,80.6,0.656,-0.176
manager-worker-239,high_pressure_merit,83.2,0.48,0.48,0.76,0.42,0.356,82.98,0.688,-0.124
manager-worker-240,supportive_growth,84.8,0.52,0.72,0.48,0.16,0.509,93.59,0.794,-0.011
manager-worker-241,traditional_gatekeeping,84.8,0.52,0.3,0.68,0.36,0.326,82.31,0.658,-0.194
manager-worker-242,high_pressure_merit,84.8,0.52,0.48,0.76,0.42,0.378,84.69,0.69,-0.142
manager-worker-243,supportive_growth,72.0,0.56,0.72,0.48,0.16,0.531,80.9,0.797,-0.029
manager-worker-244,traditional_gatekeeping,72.0,0.56,0.3,0.68,0.36,0.348,69.62,0.661,-0.212
manager-worker-245,high_pressure_merit,72.0,0.56,0.48,0.76,0.42,0.4,72.0,0.693,-0.16
manager-worker-246,supportive_growth,73.6,0.6,0.72,0.48,0.16,0.553,82.61,0.799,-0.047
manager-worker-247,traditional_gatekeeping,73.6,0.6,0.3,0.68,0.36,0.37,71.33,0.663,-0.23
manager-worker-248,high_pressure_merit,73.6,0.6,0.48,0.76,0.42,0.422,73.71,0.695,-0.178
manager-worker-249,supportive_growth,75.2,0.64,0.72,0.48,0.16,0.575,84.32,0.802,-0.065
manager-worker-250,traditional_gatekeeping,75.2,0.64,0.3,0.68,0.36,0.392,73.04,0.666,-0.248
manager-worker-251,high_pressure_merit,75.2,0.64,0.48,0.76,0.42,0.444,75.42,0.698,-0.196
manager-worker-252,supportive_growth,76.8,0.44,0.72,0.48,0.16,0.465,85.37,0.79,0.025
manager-worker-253,traditional_gatekeeping,76.8,0.44,0.3,0.68,0.36,0.282,74.09,0.653,-0.158
manager-worker-254,high_pressure_merit,76.8,0.44,0.48,0.76,0.42,0.334,76.47,0.686,-0.106
manager-worker-255,supportive_growth,78.4,0.48,0.72,0.48,0.16,0.487,87.08,0.792,0.007
manager-worker-256,traditional_gatekeeping,78.4,0.48,0.3,0.68,0.36,0.304,75.8,0.656,-0.176
