applicant_id,culture_message,worker_type,baseline_interest,culture_fit,apply_score,accept_score,expected_retention
culture-app-046,collaborative,career_accelerator,0.5,0.18,0.68,0.619,0.639
culture-app-047,competitive,career_accelerator,0.52,0.4,0.92,0.76,0.712
culture-app-048,flexible,career_accelerator,0.54,0.18,0.72,0.659,0.639
culture-app-049,inclusive_growth,career_accelerator,0.42,0.18,0.6,0.679,0.639
culture-app-050,neutral,flexibility_pref,0.44,0.22,0.66,0.621,0.653
culture-app-051,collaborative,flexibility_pref,0.46,0.18,0.64,0.619,0.639
culture-app-052,competitive,flexibility_pref,0.48,0.18,0.66,0.639,0.639
culture-app-053,flexible,flexibility_pref,0.5,0.44,0.94,0.802,0.725
culture-app-054,inclusive_growth,flexibility_pref,0.52,0.18,0.7,0.679,0.639
culture-app-055,neutral,mission_fit,0.54,0.22,0.76,0.621,0.653
culture-app-056,collaborative,mission_fit,0.42,0.18,0.6,0.619,0.639
culture-app-057,competitive,mission_fit,0.44,0.18,0.62,0.639,0.639
culture-app-058,flexible,mission_fit,0.46,0.18,0.64,0.659,0.639
culture-app-059,inclusive_growth,mission_fit,0.48,0.39,0.87,0.794,0.709
culture-app-060,neutral,team_oriented,0.5,0.22,0.72,0.621,0.653
culture-app-061,collaborative,team_oriented,0.52,0.42,0.94,0.751,0.719
culture-app-062,competitive,team_oriented,0.54,0.18,0.72,0.639,0.639
culture-app-063,flexible,team_oriented,0.42,0.18,0.6,0.659,0.639
culture-app-064,inclusive_growth,team_oriented,0.44,0.39,0.83,0.794,0.709
culture-app-065,neutral,career_accelerator,0.46,0.22,0.68,0.621,0.653
culture-app-066,collaborative,career_accelerator,0.48,0.18,0.66,0.619,0.639
culture-app-067,competitive,career_accelerator,0.5,0.4,0.9,0.76,0.712
culture-app-068,flexible,career_accelerator,0.52,0.18,0.7,0.659,0.639
culture-app-069,inclusive_growth,career_accelerator,0.54,0.18,0.72,0.679,0.639
culture-app-070,neutral,flexibility_pref,0.42,0.22,0.64,0.621,0.653
culture-app-071,collaborative,flexibility_pref,0.44,0.18,0.62,0.619,0.639
culture-app-072,competitive,flexibility_pref,0.46,0.18,0.64,0.639,0.639
culture-app-073,flexible,flexibility_pref,0.48,0.44,0.92,0.802,0.725
culture-app-074,inclusive_growth,flexibility_pref,0.5,0.18,0.68,0.679,0.639
culture-app-075,neutral,mission_fit,0.52,0.22,0.74,0.621,0.653
culture-app-076,collaborative,mission_fit,0.54,0.18,0.72,0.619,0.639
culture-app-077,competitive,mission_fit,0.42,0.18,0.6,0.639,0.639
culture-app-078,flexible,mission_fit,0.44,0.18,0.62,0.659,0.639
culture-app-079,inclusive_growth,mission_fit,0.46,0.39,0.85,0.794,0.709
culture-app-080,neutral,team_oriented,0.48,0.22,0.7,0.621,0.653
culture-app-081,collaborative,team_oriented,0.5,0.42,0.92,0.751,0.719
culture-app-082,competitive,team_oriented,0.52,0.18,0.7,0.639,0.639
culture-app-083,flexible,team_oriented,0.54,0.18,0.72,0.659,0.639
culture-app-084,inclusive_growth,team_oriented,0.42,0.39,0.81,0.794,0.709
culture-app-085,neutral,career_accelerator,0.44,0.22,0.66,0.621,0.653
culture-app-086,collaborative,career_accelerator,0.46,0.18,0.64,0.619,0.639
culture-app-087,competitive,career_accelerator,0.48,0.4,0.88,0.76,0.712
culture-app-088,flexible,career_accelerator,0.5,0.18,0.68,0.659,0.639
culture-app-089,inclusive_growth,career_accelerator,0.52,0.18,0.7,0.679,0.639
culture-app-090,neutral,flexibility_pref,0.54,0.22,0.76,0.621,0.653
culture-app-091,collaborative,flexibility_pref,0.42,0.18,0.6,0.619,0.639
culture-app-092,competitive,flexibility_pref,0.44,0.18,0.62,0.639,0.639
culture-app-093,flexible,flexibility_pref,0.46,0.44,0.9,0.802,0.725
culture-app-094,inclusive_growth,flexibility_pref,0.48,0.18,0.66,0.679,0.639
culture-app-095,neutral,mission_fit,0.5,0.22,0.72,0.621,0.653
culture-app-096,collaborative,mission_fit,0.52,0.18,0.7,0.619,0.639
culture-app-097,competitive,mission_fit,0.54,0.18,0.72,0.639,0.639
culture-app-098,flexible,mission_fit,0.42,0.18,0.6,0.659,0.639
culture-app-099,inclusive_growth,mission_fit,0.44,0.39,0.83,0.794,0.709
culture-app-100,neutral,team_oriented,0.46,0.22,0.68,0.621,0.653
culture-app-101,collaborative,team_oriented,0.48,0.42,0.9,0.751,0.719
culture-app-102,competitive,team_oriented,0.5,0.18,0.68,0.639,0.639
culture-app-103,flexible,team_oriented,0.52,0.18,0.7,0.659,0.639
culture-app-104,inclusive_growth,team_oriented,0.54,0.39,0.93,0.794,0.709
culture-app-105,neutral,career_accelerator,0.42,0.22,0.64,0.621,0.653
culture-app-106,collaborative,career_accelerator,0.44,0.18,0.62,0.619,0.639
culture-app-107,competitive,career_accelerator,0.46,0.4,0.86,0.76,0.712
culture-app-108,flexible,career_accelerator,0.48,0.18,0.66,0.659,0.639
culture-app-109,inclusive_growth,career_accelerator,0.5,0.18,0.68,0.679,0.639
culture-app-110,neutral,flexibility_pref,0.52,0.22,0.74,0.621,0.653
culture-app-111,collaborative,flexibility_pref,0.54,0.18,0.72,0.619,0.639
culture-app-112,competitive,flexibility_pref,0.42,0.18,0.6,0.639,0.639
culture-app-113,flexible,flexibility_pref,0.44,0.44,0.88,0.802,0.725
culture-app-114,inclusive_growth,flexibility_pref,0.46,0.18,0.64,0.679,0.639
culture-app-115,neutral,mission_fit,0.48,0.22,0.7,0.621,0.653
culture-app-116,collaborative,mission_fit,0.5,0.18,0.68,0.619,0.639
culture-app-117,competitive,mission_fit,0.52,0.18,0.7,0.639,0.639
culture-app-118,flexible,mission_fit,0.54,0.18,0.72,0.659,0.639
culture-app-119,inclusive_growth,mission_fit,0.42,0.39,0.81,0.794,0.709
culture-app-120,neutral,team_oriented,0.44,0.22,0.66,0.621,0.653
culture-app-121,collaborative,team_oriented,0.46,0.42,0.88,0.751,0.719
culture-app-122,competitive,team_oriented,0.48,0.18,0.66,0.639,0.639
culture-app-123,flexible,team_oriented,0.5,0.18,0.68,0.659,0.639
culture-app-124,inclusive_growth,team_oriented,0.52,0.39,0.91,0.794,0.709
culture-app-125,neutral,career_accelerator,0.54,0.22,0.76,0.621,0.653
culture-app-126,collaborative,career_accelerator,0.42,0.18,0.6,0.619,0.639
culture-app-127,competitive,career_accelerator,0.44,0.4,0.84,0.76,0.712
culture-app-128,flexible,career_accelerator,0.46,0.18,0.64,0.659,0.639
culture-app-129,inclusive_growth,career_accelerator,0.48,0.18,0.66,0.679,0.639
culture-app-130,neutral,flexibility_pref,0.5,0.22,0.72,0.621,0.653
culture-app-131,collaborative,flexibility_pref,0.52,0.18,0.7,0.619,0.639
culture-app-132,competitive,flexibility_pref,0.54,0.18,0.72,0.639,0.639
culture-app-133,flexible,flexibility_pref,0.42,0.44,0.86,0.802,0.725
culture-app-134,inclusive_growth,flexibility_pref,0.44,0.18,0.62,0.679,0.639
culture-app-135,neutral,mission_fit,0.46,0.22,0.68,0.621,0.653
culture-app-136,collaborative,mission_fit,0.48,0.18,0.66,0.619,0.639
culture-app-137,competitive,mission_fit,0.5,0.18,0.68,0.639,0.639
culture-app-138,flexible,mission_fit,0.52,0.18,0.7,0.659,0.639
culture-app-139,inclusive_growth,mission_fit,0.54,0.39,0.93,0.794,0.709
culture-app-140,neutral,team_oriented,0.42,0.22,0.64,0.621,0.653
culture-app-141,collaborative,team_oriented,0.44,0.42,0.86,0.751,0.719
culture-app-142,competitive,team_oriented,0.46,0.18,0.64,0.639,0.639
culture-app-143,flexible,team_oriented,0.48,0.18,0.66,0.659,0.639
culture-app-144,inclusive_growth,team_oriented,0.5,0.39,0.89,0.794,0.709
culture-app-145,neutral,career_accelerator,0.52,0.22,0.74,0.621,0.653
culture-app-146,collaborative,career_accelerator,0.54,0.18,0.72,0.619,0.639
culture-app-147,competitive,career_accelerator,0.42,0.4,0.82,0.76,0.712
culture-app-148,flexible,career_accelerator,0.44,0.18,0.62,0.659,0.639
culture-app-149,inclusive_growth,career_accelerator,0.46,0.18,0.64,0.679,0.639
culture-app-150,neutral,flexibility_pref,0.48,0.22,0.7,0.621,0.653
culture-app-151,collaborative,flexibility_pref,0.5,0.18,0.68,0.619,0.639
culture-app-152,competitive,flexibility_pref,0.52,0.18,0.7,0.639,0.639
culture-app-153,flexible,flexibility_pref,0.54,0.44,0.98,0.802,0.725
culture-app-154,inclusive_growth,flexibility_pref,0.42,0.18,0.6,0.679,0.639
culture-app-155,neutral,mission_fit,0.44,0.22,0.66,0.621,0.653
culture-app-156,collaborative,mission_fit,0.46,0.18,0.64,0.619,0.639
culture-app-157,competitive,mission_fit,0.48,0.18,0.66,0.639,0.639
culture-app-158,flexible,mission_fit,0.5,0.18,0.68,0.659,0.639
culture-app-159,inclusive_growth,mission_fit,0.52,0.39,0.91,0.794,0.709
culture-app-160,neutral,team_oriented,0.54,0.22,0.76,0.621,0.653
culture-app-161,collaborative,team_oriented,0.42,0.42,0.84,0.751,0.719
culture-app-162,competitive,team_oriented,0.44,0.18,0.62,0.639,0.639
culture-app-163,flexible,team_oriented,0.46,0.18,0.64,0.659,0.639
culture-app-164,inclusive_growth,team_oriented,0.48,0.39,0.87,0.794,0.709
culture-app-165,neutral,career_accelerator,0.5,0.22,0.72,0.621,0.653
culture-app-166,collaborative,career_accelerator,0.52,0.18,0.7,0.619,0.639
culture-app-167,competitive,career_accelerator,0.54,0.4,0.94,0.76,0.712
culture-app-168,flexible,career_accelerator,0.42,0.18,0.6,0.659,0.639
culture-app-169,inclusive_growth,career_accelerator,0.44,0.18,0.62,0.679,0.639
culture-app-170,neutral,flexibility_pref,0.46,0.22,0.68,0.621,0.653
culture-app-171,collaborative,flexibility_pref,0.48,0.18,0.66,0.619,0.639
culture-app-172,competitive,flexibility_pref,0.5,0.18,0.68,0.639,0.639
culture-app-173,flexible,flexibility_pref,0.52,0.44,0.96,0.802,0.725
culture-app-174,inclusive_growth,flexibility_pref,0.54,0.18,0.72,0.679,0.639
culture-app-175,neutral,mission_fit,0.42,0.22,0.64,0.621,0.653
culture-app-176,collaborative,mission_fit,0.44,0.18,0.62,0.619,0.639
culture-app-177,competitive,mission_fit,0.46,0.18,0.64,0.639,0.639
culture-app-178,flexible,mission_fit,0.48,0.18,0.66,0.659,0.639
culture-app-179,inclusive_growth,mission_fit,0.5,0.39,0.89,0.794,0.709
culture-app-180,neutral,team_oriented,0.52,0.22,0.74,0.621,0.653
culture-app-181,collaborative,team_oriented,0.54,0.42,0.96,0.751,0.719
culture-app-182,competitive,team_oriented,0.42,0.18,0.6,0.639,0.639
culture-app-183,flexible,team_oriented,0.44,0.18,0.62,0.659,0.639
culture-app-184,inclusive_growth,team_oriented,0.46,0.39,0.85,0.794,0.709
culture-app-185,neutral,career_accelerator,0.48,0.22,0.7,0.621,0.653
culture-app-186,collaborative,career_accelerator,0.5,0.18,0.68,0.619,0.639
culture-app-187,competitive,career_accelerator,0.52,0.4,0.92,0.76,0.712
culture-app-188,flexible,career_accelerator,0.54,0.18,0.72,0.659,0.639
culture-app-189,inclusive_growth,career_accelerator,0.42,0.18,0.6,0.679,0.639
culture-app-190,neutral,flexibility_pref,0.44,0.22,0.66,0.621,0.653
culture-app-191,collaborative,flexibility_pref,0.46,0.18,0.64,0.619,0.639
culture-app-192,competitive,flexibility_pref,0.48,0.18,0.66,0.639,0.639
culture-app-193,flexible,flexibility_pref,0.5,0.44,0.94,0.802,0.725
culture-app-194,inclusive_growth,flexibility_pref,0.52,0.18,0.7,0.679,0.639
culture-app-195,neutral,mission_fit,0.54,0.22,0.76,0.621,0.653
culture-app-196,collaborative,mission_fit,0.42,0.18,0.6,0.619,0.639
culture-app-197,competitive,mission_fit,0.44,0.18,0.62,0.639,0.639
culture-app-198,flexible,mission_fit,0.46,0.18,0.64,0.659,0.639
culture-app-199,inclusive_growth,mission_fit,0.48,0.39,0.87,0.794,0.709
culture-app-200,neutral,team_oriented,0.5,0.22,0.72,0.621,0.653
culture-app-201,collaborative,team_oriented,0.52,0.42,0.94,0.751,0.719
culture-app-202,competitive,team_oriented,0.54,0.18,0.72,0.639,0.639
culture-app-203,flexible,team_oriented,0.42,0.18,0.6,0.659,0.639
culture-app-204,inclusive_growth,team_oriented,0.44,0.39,0.83,0.794,0.709
culture-app-205,neutral,career_accelerator,0.46,0.22,0.68,0.621,0.653
culture-app-206,collaborative,career_accelerator,0.48,0.18,0.66,0.619,0.639
culture-app-207,competitive,career_accelerator,0.5,0.4,0.9,0.76,0.712
culture-app-208,flexible,career_accelerator,0.52,0.18,0.7,0.659,0.639
culture-app-209,inclusive_growth,career_accelerator,0.54,0.18,0.72,0.679,0.639
culture-app-210,neutral,flexibility_pref,0.42,0.22,0.64,0.621,0.653
culture-app-211,collaborative,flexibility_pref,0.44,0.18,0.62,0.619,0.639
culture-app-212,competitive,flexibility_pref,0.46,0.18,0.64,0.639,0.639
culture-app-213,flexible,flexibility_pref,0.48,0.44,0.92,0.802,0.725
culture-app-214,inclusive_growth,flexibility_pref,0.5,0.18,0.68,0.679,0.639
culture-app-215,neutral,mission_fit,0.52,0.22,0.74,0.621,0.653
culture-app-216,collaborative,mission_fit,0.54,0.18,0.72,0.619,0.639
culture-app-217,competitive,mission_fit,0.42,0.18,0.6,0.639,0.639
culture-app-218,flexible,mission_fit,0.44,0.18,0.62,0.659,0.639
culture-app-219,inclusive_growth,mission_fit,0.46,0.39,0.85,0.794,0.709
culture-app-220,neutral,team_oriented,0.48,0.22,0.7,0.621,0.653
culture-app-221,collaborative,team_oriented,0.5,0.42,0.92,0.751,0.719
culture-app-222,competitive,team_oriented,0.52,0.18,0.7,0.639,0.639
culture-app-223,flexible,team_oriented,0.54,0.18,0.72,0.659,0.639
culture-app-224,inclusive_growth,team_oriented,0.42,0.39,0.81,0.794,0.709
culture-app-225,neutral,career_accelerator,0.44,0.22,0.66,0.621,0.653
culture-app-226,collaborative,career_accelerator,0.46,0.18,0.64,0.619,0.639
culture-app-227,competitive,career_accelerator,0.48,0.4,0.88,0.76,0.712
culture-app-228,flexible,career_accelerator,0.5,0.18,0.68,0.659,0.639
culture-app-229,inclusive_growth,career_accelerator,0.52,0.18,0.7,0.679,0.639
culture-app-230,neutral,flexibility_pref,0.54,0.22,0.76,0.621,0.653
culture-app-231,collaborative,flexibility_pref,0.42,0.18,0.6,0.619,0.639
culture-app-232,competitive,flexibility_pref,0.44,0.18,0.62,0.639,0.639
culture-app-233,flexible,flexibility_pref,0.46,0.44,0.9,0.802,0.725
culture-app-234,inclusive_growth,flexibility_pref,0.48,0.18,0.66,0.679,0.639
culture-app-235,neutral,mission_fit,0.5,0.22,0.72,0.621,0.653
culture-app-236,collaborative,mission_fit,0.52,0.18,0.7,0.619,0.639
culture-app-237,competitive,mission_fit,0.54,0.18,0.72,0.639,0.639
culture-app-238,flexible,mission_fit,0.42,0.18,0.6,0.659,0.639
culture-app-239,inclusive_growth,mission_fit,0.44,0.39,0.83,0.794,0.709
culture-app-240,neutral,team_oriented,0.46,0.22,0.68,0.621,0.653
culture-app-241,collaborative,team_oriented,0.48,0.42,0.9,0.751,0.719
culture-app-242,competitive,team_oriented,0.5,0.18,0.68,0.639,0.639
culture-app-243,flexible,team_oriented,0.52,0.18,0.7,0.659,0.639
culture-app-244,inclusive_growth,team_oriented,0.54,0.39,0.93,0.794,0.709
culture-app-245,neutral,career_accelerator,0.42,0.22,0.64,0.621,0.653
culture-app-246,collaborative,career_accelerator,0.44,0.18,0.62,0.619,0.639
culture-app-247,competitive,career_accelerator,0.46,0.4,0.86,0.76,0.712
culture-app-248,flexible,career_accelerator,0.48,0.18,0.66,0.659,0.639
culture-app-249,inclusive_growth,career_accelerator,0.5,0.18,0.68,0.679,0.639
culture-app-250,neutral,flexibility_pref,0.52,0.22,0.74,0.621,0.653
culture-app-251,collaborative,flexibility_pref,0.54,0.18,0.72,0.619,0.639
culture-app-252,competitive,flexibility_pref,0.42,0.18,0.6,0.639,0.639
culture-app-253,flexible,flexibility_pref,0.44,0.44,0.88,0.802,0.725
culture-app-254,inclusive_growth,flexibility_pref,0.46,0.18,0.64,0.679,0.639
culture-app-255,neutral,mission_fit,0.48,0.22,0.7,0.621,0.653
culture-app-256,collaborative,mission_fit,0.5,0.18,0.68,0.619,0.639
culture-app-257,competitive,mission_fit,0.52,0.18,0.7,0.639,0.639
culture-app-258,flexible,mission_fit,0.54,0.18,0.72,0.659,0.639
culture-app-259,inclusive_growth,mission_fit,0.42,0.39,0.81,0.794,0.709
culture-app-260,neutral,team_oriented,0.44,0.22,0.66,0.621,0.653
culture-app-261,collaborative,team_oriented,0.46,0.42,0.88,0.751,0.719
culture-app-262,competitive,team_oriented,0.48,0.18,0.66,0.639,0.639
culture-app-263,flexible,team_oriented,0.5,0.18,0.68,0.659,0.639
culture-app-264,inclusive_growth,team_oriented,0.52,0.39,0.91,0.794,0.709
culture-app-265,neutral,career_accelerator,0.54,0.22,0.76,0.621,0.653
culture-app-266,collaborative,career_accelerator,0.42,0.18,0.6,0.619,0.639
culture-app-267,competitive,career_accelerator,0.44,0.4,0.84,0.76,0.712
culture-app-268,flexible,career_accelerator,0.46,0.18,0.64,0.659,0.639
culture-app-269,inclusive_growth,career_accelerator,0.48,0.18,0.66,0.679,0.639
culture-app-270,neutral,flexibility_pref,0.5,0.22,0.72,0.621,0.653
culture-app-271,collaborative,flexibility_pref,0.52,0.18,0.7,0.619,0.639
culture-app-272,competitive,flexibility_pref,0.54,0.18,0.72,0.639,0.639
culture-app-273,flexible,flexibility_pref,0.42,0.44,0.86,0.802,0.725
culture-app-274,inclusive_growth,flexibility_pref,0.44,0.18,0.62,0.679,0.639
culture-app-275,neutral,mission_fit,0.46,0.22,0.68,0.621,0.653
culture-app-276,collaborative,mission_fit,0.48,0.18,0.66,0.619,0.639
culture-app-277,competitive,mission_fit,0.5,0.18,0.68,0.639,0.639
culture-app-278,flexible,mission_fit,0.52,0.18,0.7,0.659,0.639
culture-app-279,inclusive_growth,mission_fit,0.54,0.39,0.93,0.794,0.709
culture-app-280,neutral,team_oriented,0.42,0.22,0.64,0.621,0.653
culture-app-281,collaborative,team_oriented,0.44,0.42,0.86,0.751,0.719
culture-app-282,competitive,team_oriented,0.46,0.18,0.64,0.639,0.639
culture-app-283,flexible,team_oriented,0.48,0.18,0.66,0.659,0.639
culture-app-284,inclusive_growth,team_oriented,0.5,0.39,0.89,0.794,0.709
culture-app-285,neutral,career_accelerator,0.52,0.22,0.74,0.621,0.653
culture-app-286,collaborative,career_accelerator,0.54,0.18,0.72,0.619,0.639
culture-app-287,competitive,career_accelerator,0.42,0.4,0.82,0.76,0.712
culture-app-288,flexible,career_accelerator,0.44,0.18,0.62,0.659,0.639
culture-app-289,inclusive_growth,career_accelerator,0.46,0.18,0.64,0.679,0.639
culture-app-290,neutral,flexibility_pref,0.48,0.22,0.7,0.621,0.653
culture-app-291,collaborative,flexibility_pref,0.5,0.18,0.68,0.619,0.639
culture-app-292,competitive,flexibility_pref,0.52,0.18,0.7,0.639,0.639
culture-app-293,flexible,flexibility_pref,0.54,0.44,0.98,0.802,0.725
culture-app-294,inclusive_growth,flexibility_pref,0.42,0.18,0.6,0.679,0.639
culture-app-295,neutral,mission_fit,0.44,0.22,0.66,0.621,0.653
culture-app-296,collaborative,mission_fit,0.46,0.18,0.64,0.619,0.639
culture-app-297,competitive,mission_fit,0.48,0.18,0.66,0.639,0.639
culture-app-298,flexible,mission_fit,0.5,0.18,0.68,0.659,0.639
culture-app-299,inclusive_growth,mission_fit,0.52,0.39,0.91,0.794,0.709
culture-app-300,neutral,team_oriented,0.54,0.22,0.76,0.621,0.653
culture-app-301,collaborative,team_oriented,0.42,0.42,0.84,0.751,0.719
culture-app-302,competitive,team_oriented,0.44,0.18,0.62,0.639,0.639
culture-app-303,flexible,team_oriented,0.46,0.18,0.64,0.659,0.639
culture-app-304,inclusive_growth,team_oriented,0.48,0.39,0.87,0.794,0.709
culture-app-305,neutral,career_accelerator,0.5,0.22,0.72,0.621,0.653
culture-app-306,collaborative,career_accelerator,0.52,0.18,0.7,0.619,0.639
culture-app-307,competitive,career_accelerator,0.54,0.4,0.94,0.76,0.712
culture-app-308,flexible,career_accelerator,0.42,0.18,0.6,0.659,0.639
culture-app-309,inclusive_growth,career_accelerator,0.44,0.18,0.62,0.679,0.639
culture-app-310,neutral,flexibility_pref,0.46,0.22,0.68,0.621,0.653
culture-app-311,collaborative,flexibility_pref,0.48,0.18,0.66,0.619,0.639
culture-app-312,competitive,flexibility_pref,0.5,0.18,0.68,0.639,0.639
culture-app-313,flexible,flexibility_pref,0.52,0.44,0.96,0.802,0.725
culture-app-314,inclusive_growth,flexibility_pref,0.54,0.18,0.72,0.679,0.639
culture-app-315,neutral,mission_fit,0.42,0.22,0.64,0.621,0.653
culture-app-316,collaborative,mission_fit,0.44,0.18,0.62,0.619,0.639
culture-app-317,competitive,mission_fit,0.46,0.18,0.64,0.639,0.639
culture-app-318,flexible,mission_fit,0.48,0.18,0.66,0.659,0.639
culture-app-319,inclusive_growth,mission_fit,0.5,0.39,0.89,0.794,0.709
culture-app-320,neutral,team_oriented,0.52,0.22,0.74,0.621,0.653
culture-app-321,collaborative,team_oriented,0.54,0.42,0.96,0.751,0.719
culture-app-322,competitive,team_oriented,0.42,0.18,0.6,0.639,0.639
culture-app-323,flexible,team_oriented,0.44,0.18,0.62,0.659,0.639
culture-app-324,inclusive_growth,team_oriented,0.46,0.39,0.85,0.794,0.709
culture-app-325,neutral,career_accelerator,0.48,0.22,0.7,0.621,0.653
culture-app-326,collaborative,career_accelerator,0.5,0.18,0.68,0.619,0.639
culture-app-327,competitive,career_accelerator,0.52,0.4,0.92,0.76,0.712
culture-app-328,flexible,career_accelerator,0.54,0.18,0.72,0.659,0.639
culture-app-329,inclusive_growth,career_accelerator,0.42,0.18,0.6,0.679,0.639
culture-app-330,neutral,flexibility_pref,0.44,0.22,0.66,0.621,0.653
culture-app-331,collaborative,flexibility_pref,0.46,0.18,0.64,0.619,0.639
culture-app-332,competitive,flexibility_pref,0.48,0.18,0.66,0.639,0.639
culture-app-333,flexible,flexibility_pref,0.5,0.44,0.94,0.802,0.725
culture-app-334,inclusive_growth,flexibility_pref,0.52,0.18,0.7,0.679,0.639
culture-app-335,neutral,mission_fit,0.54,0.22,0.76,0.621,0.653
culture-app-336,collaborative,mission_fit,0.42,0.18,0.6,0.619,0.639
culture-app-337,competitive,mission_fit,0.44,0.18,0.62,0.639,0.639
culture-app-338,flexible,mission_fit,0.46,0.18,0.64,0.659,0.639
culture-app-339,inclusive_growth,mission_fit,0.48,0.39,0.87,0.794,0.709
culture-app-340,neutral,team_oriented,0.5,0.22,0.72,0.621,0.653
culture-app-341,collaborative,team_oriented,0.52,0.42,0.94,0.751,0.719
culture-app-342,competitive,team_oriented,0.54,0.18,0.72,0.639,0.639
culture-app-343,flexible,team_oriented,0.42,0.18,0.6,0.659,0.639
culture-app-344,inclusive_growth,team_oriented,0.44,0.39,0.83,0.794,0.709
culture-app-345,neutral,career_accelerator,0.46,0.22,0.68,0.621,0.653
culture-app-346,collaborative,career_accelerator,0.48,0.18,0.66,0.619,0.639
culture-app-347,competitive,career_accelerator,0.5,0.4,0.9,0.76,0.712
culture-app-348,flexible,career_accelerator,0.52,0.18,0.7,0.659,0.639
culture-app-349,inclusive_growth,career_accelerator,0.54,0.18,0.72,0.679,0.639
culture-app-350,neutral,flexibility_pref,0.42,0.22,0.64,0.621,0.653
culture-app-351,collaborative,flexibility_pref,0.44,0.18,0.62,0.619,0.639
culture-app-352,competitive,flexibility_pref,0.46,0.18,0.64,0.639,0.639
culture-app-353,flexible,flexibility_pref,0.48,0.44,0.92,0.802,0.725
culture-app-354,inclusive_growth,flexibility_pref,0.5,0.18,0.68,0.679,0.639
culture-app-355,neutral,mission_fit,0.52,0.22,0.74,0.621,0.653
culture-app-356,collaborative,mission_fit,0.54,0.18,0.72,0.619,0.639
culture-app-357,competitive,mission_fit,0.42,0.18,0.6,0.639,0.639
culture-app-358,flexible,mission_fit,0.44,0.18,0.62,0.659,0.639
