worker_id,comparison_arm,wage,peer_ref_wage,manager_ref_wage,comparison_info,transparency_depth,peer_gap,manager_gap,fairness_cost,morale_index,effort_units,quit_intent
fair-worker-038,manager_salary_info,18.8,19.2,29.0,1,0.85,0.4,10.2,1.167,76.43,49.59,0.174
fair-worker-039,compressed_pay,19.0,19.05,29.0,1,0.45,0.05,10.0,0.488,80.37,50.92,0.127
fair-worker-040,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.0,52.16,0.1
fair-worker-041,underpaid_hidden,18.9,19.2,29.0,0,0.0,0.3,10.1,0.0,82.0,51.99,0.1
fair-worker-042,underpaid_informed,18.9,19.2,29.0,1,0.55,0.3,10.1,0.781,77.47,50.59,0.143
fair-worker-043,manager_salary_info,19.1,19.2,29.0,1,0.85,0.1,9.9,0.917,76.68,50.46,0.16
fair-worker-044,compressed_pay,19.05,19.05,29.0,1,0.45,0.0,9.95,0.448,79.4,51.27,0.125
fair-worker-045,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.4,52.41,0.1
fair-worker-046,underpaid_hidden,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.4,52.41,0.1
fair-worker-047,underpaid_informed,19.2,19.2,29.0,1,0.55,0.0,9.8,0.539,79.27,51.44,0.13
fair-worker-048,manager_salary_info,19.4,19.2,29.0,1,0.85,0.0,9.6,0.816,77.67,51.05,0.155
fair-worker-049,compressed_pay,18.95,19.05,29.0,1,0.45,0.1,10.05,0.527,79.34,51.32,0.129
fair-worker-050,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.8,52.66,0.1
fair-worker-051,underpaid_hidden,18.0,19.2,29.0,0,0.0,1.2,11.0,0.0,82.8,52.0,0.1
fair-worker-052,underpaid_informed,18.0,19.2,29.0,1,0.55,1.2,11.0,1.505,74.07,49.29,0.183
fair-worker-053,manager_salary_info,18.2,19.2,29.0,1,0.85,1.0,10.8,1.668,73.13,49.11,0.202
fair-worker-054,compressed_pay,19.0,19.05,29.0,1,0.45,0.05,10.0,0.488,79.97,51.67,0.127
fair-worker-055,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,83.2,52.91,0.1
fair-worker-056,underpaid_hidden,18.3,19.2,29.0,0,0.0,0.9,10.7,0.0,83.2,52.41,0.1
fair-worker-057,underpaid_informed,18.3,19.2,29.0,1,0.55,0.9,10.7,1.263,75.87,50.14,0.169
fair-worker-058,manager_salary_info,18.5,19.2,29.0,1,0.85,0.7,10.5,1.417,74.98,49.97,0.188
fair-worker-059,compressed_pay,19.05,19.05,29.0,1,0.45,0.0,9.95,0.448,80.6,52.02,0.125
fair-worker-060,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.0,51.66,0.1
fair-worker-061,underpaid_hidden,18.6,19.2,29.0,0,0.0,0.6,10.4,0.0,82.0,51.33,0.1
fair-worker-062,underpaid_informed,18.6,19.2,29.0,1,0.55,0.6,10.4,1.022,76.07,49.49,0.156
fair-worker-063,manager_salary_info,18.8,19.2,29.0,1,0.85,0.4,10.2,1.167,75.23,49.34,0.174
fair-worker-064,compressed_pay,18.95,19.05,29.0,1,0.45,0.1,10.05,0.527,78.94,50.57,0.129
fair-worker-065,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.4,51.91,0.1
fair-worker-066,underpaid_hidden,18.9,19.2,29.0,0,0.0,0.3,10.1,0.0,82.4,51.74,0.1
fair-worker-067,underpaid_informed,18.9,19.2,29.0,1,0.55,0.3,10.1,0.781,77.87,50.34,0.143
fair-worker-068,manager_salary_info,19.1,19.2,29.0,1,0.85,0.1,9.9,0.917,77.08,50.21,0.16
fair-worker-069,compressed_pay,19.0,19.05,29.0,1,0.45,0.05,10.0,0.488,79.57,50.92,0.127
fair-worker-070,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.8,52.16,0.1
fair-worker-071,underpaid_hidden,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.8,52.16,0.1
fair-worker-072,underpaid_informed,19.2,19.2,29.0,1,0.55,0.0,9.8,0.539,79.67,51.19,0.13
fair-worker-073,manager_salary_info,19.4,19.2,29.0,1,0.85,0.0,9.6,0.816,78.07,50.8,0.155
fair-worker-074,compressed_pay,19.05,19.05,29.0,1,0.45,0.0,9.95,0.448,80.2,51.27,0.125
fair-worker-075,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,83.2,52.41,0.1
fair-worker-076,underpaid_hidden,18.0,19.2,29.0,0,0.0,1.2,11.0,0.0,83.2,51.75,0.1
fair-worker-077,underpaid_informed,18.0,19.2,29.0,1,0.55,1.2,11.0,1.505,74.47,49.04,0.183
fair-worker-078,manager_salary_info,18.2,19.2,29.0,1,0.85,1.0,10.8,1.668,73.53,48.86,0.202
fair-worker-079,compressed_pay,18.95,19.05,29.0,1,0.45,0.1,10.05,0.527,80.14,51.32,0.129
fair-worker-080,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.0,52.66,0.1
fair-worker-081,underpaid_hidden,18.3,19.2,29.0,0,0.0,0.9,10.7,0.0,82.0,52.16,0.1
fair-worker-082,underpaid_informed,18.3,19.2,29.0,1,0.55,0.9,10.7,1.263,74.67,49.89,0.169
fair-worker-083,manager_salary_info,18.5,19.2,29.0,1,0.85,0.7,10.5,1.417,73.78,49.72,0.188
fair-worker-084,compressed_pay,19.0,19.05,29.0,1,0.45,0.05,10.0,0.488,79.17,51.67,0.127
fair-worker-085,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.4,52.91,0.1
fair-worker-086,underpaid_hidden,18.6,19.2,29.0,0,0.0,0.6,10.4,0.0,82.4,52.58,0.1
fair-worker-087,underpaid_informed,18.6,19.2,29.0,1,0.55,0.6,10.4,1.022,76.47,50.74,0.156
fair-worker-088,manager_salary_info,18.8,19.2,29.0,1,0.85,0.4,10.2,1.167,75.63,50.59,0.174
fair-worker-089,compressed_pay,19.05,19.05,29.0,1,0.45,0.0,9.95,0.448,79.8,52.02,0.125
fair-worker-090,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.8,51.66,0.1
fair-worker-091,underpaid_hidden,18.9,19.2,29.0,0,0.0,0.3,10.1,0.0,82.8,51.49,0.1
fair-worker-092,underpaid_informed,18.9,19.2,29.0,1,0.55,0.3,10.1,0.781,78.27,50.09,0.143
fair-worker-093,manager_salary_info,19.1,19.2,29.0,1,0.85,0.1,9.9,0.917,77.48,49.96,0.16
fair-worker-094,compressed_pay,18.95,19.05,29.0,1,0.45,0.1,10.05,0.527,79.74,50.57,0.129
fair-worker-095,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,83.2,51.91,0.1
fair-worker-096,underpaid_hidden,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,83.2,51.91,0.1
fair-worker-097,underpaid_informed,19.2,19.2,29.0,1,0.55,0.0,9.8,0.539,80.07,50.94,0.13
fair-worker-098,manager_salary_info,19.4,19.2,29.0,1,0.85,0.0,9.6,0.816,78.47,50.55,0.155
fair-worker-099,compressed_pay,19.0,19.05,29.0,1,0.45,0.05,10.0,0.488,80.37,50.92,0.127
fair-worker-100,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.0,52.16,0.1
fair-worker-101,underpaid_hidden,18.0,19.2,29.0,0,0.0,1.2,11.0,0.0,82.0,51.5,0.1
fair-worker-102,underpaid_informed,18.0,19.2,29.0,1,0.55,1.2,11.0,1.505,73.27,48.79,0.183
fair-worker-103,manager_salary_info,18.2,19.2,29.0,1,0.85,1.0,10.8,1.668,72.33,48.61,0.202
fair-worker-104,compressed_pay,19.05,19.05,29.0,1,0.45,0.0,9.95,0.448,79.4,51.27,0.125
fair-worker-105,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.4,52.41,0.1
fair-worker-106,underpaid_hidden,18.3,19.2,29.0,0,0.0,0.9,10.7,0.0,82.4,51.91,0.1
fair-worker-107,underpaid_informed,18.3,19.2,29.0,1,0.55,0.9,10.7,1.263,75.07,49.64,0.169
fair-worker-108,manager_salary_info,18.5,19.2,29.0,1,0.85,0.7,10.5,1.417,74.18,49.47,0.188
fair-worker-109,compressed_pay,18.95,19.05,29.0,1,0.45,0.1,10.05,0.527,79.34,51.32,0.129
fair-worker-110,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.8,52.66,0.1
fair-worker-111,underpaid_hidden,18.6,19.2,29.0,0,0.0,0.6,10.4,0.0,82.8,52.33,0.1
fair-worker-112,underpaid_informed,18.6,19.2,29.0,1,0.55,0.6,10.4,1.022,76.87,50.49,0.156
fair-worker-113,manager_salary_info,18.8,19.2,29.0,1,0.85,0.4,10.2,1.167,76.03,50.34,0.174
fair-worker-114,compressed_pay,19.0,19.05,29.0,1,0.45,0.05,10.0,0.488,79.97,51.67,0.127
fair-worker-115,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,83.2,52.91,0.1
fair-worker-116,underpaid_hidden,18.9,19.2,29.0,0,0.0,0.3,10.1,0.0,83.2,52.74,0.1
fair-worker-117,underpaid_informed,18.9,19.2,29.0,1,0.55,0.3,10.1,0.781,78.67,51.34,0.143
fair-worker-118,manager_salary_info,19.1,19.2,29.0,1,0.85,0.1,9.9,0.917,77.88,51.21,0.16
fair-worker-119,compressed_pay,19.05,19.05,29.0,1,0.45,0.0,9.95,0.448,80.6,52.02,0.125
fair-worker-120,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.0,51.66,0.1
fair-worker-121,underpaid_hidden,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.0,51.66,0.1
fair-worker-122,underpaid_informed,19.2,19.2,29.0,1,0.55,0.0,9.8,0.539,78.87,50.69,0.13
fair-worker-123,manager_salary_info,19.4,19.2,29.0,1,0.85,0.0,9.6,0.816,77.27,50.3,0.155
fair-worker-124,compressed_pay,18.95,19.05,29.0,1,0.45,0.1,10.05,0.527,78.94,50.57,0.129
fair-worker-125,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.4,51.91,0.1
fair-worker-126,underpaid_hidden,18.0,19.2,29.0,0,0.0,1.2,11.0,0.0,82.4,51.25,0.1
fair-worker-127,underpaid_informed,18.0,19.2,29.0,1,0.55,1.2,11.0,1.505,73.67,48.54,0.183
fair-worker-128,manager_salary_info,18.2,19.2,29.0,1,0.85,1.0,10.8,1.668,72.73,48.36,0.202
fair-worker-129,compressed_pay,19.0,19.05,29.0,1,0.45,0.05,10.0,0.488,79.57,50.92,0.127
fair-worker-130,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.8,52.16,0.1
fair-worker-131,underpaid_hidden,18.3,19.2,29.0,0,0.0,0.9,10.7,0.0,82.8,51.66,0.1
fair-worker-132,underpaid_informed,18.3,19.2,29.0,1,0.55,0.9,10.7,1.263,75.47,49.39,0.169
fair-worker-133,manager_salary_info,18.5,19.2,29.0,1,0.85,0.7,10.5,1.417,74.58,49.22,0.188
fair-worker-134,compressed_pay,19.05,19.05,29.0,1,0.45,0.0,9.95,0.448,80.2,51.27,0.125
fair-worker-135,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,83.2,52.41,0.1
fair-worker-136,underpaid_hidden,18.6,19.2,29.0,0,0.0,0.6,10.4,0.0,83.2,52.08,0.1
fair-worker-137,underpaid_informed,18.6,19.2,29.0,1,0.55,0.6,10.4,1.022,77.27,50.24,0.156
fair-worker-138,manager_salary_info,18.8,19.2,29.0,1,0.85,0.4,10.2,1.167,76.43,50.09,0.174
fair-worker-139,compressed_pay,18.95,19.05,29.0,1,0.45,0.1,10.05,0.527,80.14,51.32,0.129
fair-worker-140,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.0,52.66,0.1
fair-worker-141,underpaid_hidden,18.9,19.2,29.0,0,0.0,0.3,10.1,0.0,82.0,52.49,0.1
fair-worker-142,underpaid_informed,18.9,19.2,29.0,1,0.55,0.3,10.1,0.781,77.47,51.09,0.143
fair-worker-143,manager_salary_info,19.1,19.2,29.0,1,0.85,0.1,9.9,0.917,76.68,50.96,0.16
fair-worker-144,compressed_pay,19.0,19.05,29.0,1,0.45,0.05,10.0,0.488,79.17,51.67,0.127
fair-worker-145,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.4,52.91,0.1
fair-worker-146,underpaid_hidden,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.4,52.91,0.1
fair-worker-147,underpaid_informed,19.2,19.2,29.0,1,0.55,0.0,9.8,0.539,79.27,51.94,0.13
fair-worker-148,manager_salary_info,19.4,19.2,29.0,1,0.85,0.0,9.6,0.816,77.67,51.55,0.155
fair-worker-149,compressed_pay,19.05,19.05,29.0,1,0.45,0.0,9.95,0.448,79.8,52.02,0.125
fair-worker-150,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.8,51.66,0.1
fair-worker-151,underpaid_hidden,18.0,19.2,29.0,0,0.0,1.2,11.0,0.0,82.8,51.0,0.1
fair-worker-152,underpaid_informed,18.0,19.2,29.0,1,0.55,1.2,11.0,1.505,74.07,48.29,0.183
fair-worker-153,manager_salary_info,18.2,19.2,29.0,1,0.85,1.0,10.8,1.668,73.13,48.11,0.202
fair-worker-154,compressed_pay,18.95,19.05,29.0,1,0.45,0.1,10.05,0.527,79.74,50.57,0.129
fair-worker-155,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,83.2,51.91,0.1
fair-worker-156,underpaid_hidden,18.3,19.2,29.0,0,0.0,0.9,10.7,0.0,83.2,51.41,0.1
fair-worker-157,underpaid_informed,18.3,19.2,29.0,1,0.55,0.9,10.7,1.263,75.87,49.14,0.169
fair-worker-158,manager_salary_info,18.5,19.2,29.0,1,0.85,0.7,10.5,1.417,74.98,48.97,0.188
fair-worker-159,compressed_pay,19.0,19.05,29.0,1,0.45,0.05,10.0,0.488,80.37,50.92,0.127
fair-worker-160,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.0,52.16,0.1
fair-worker-161,underpaid_hidden,18.6,19.2,29.0,0,0.0,0.6,10.4,0.0,82.0,51.83,0.1
fair-worker-162,underpaid_informed,18.6,19.2,29.0,1,0.55,0.6,10.4,1.022,76.07,49.99,0.156
fair-worker-163,manager_salary_info,18.8,19.2,29.0,1,0.85,0.4,10.2,1.167,75.23,49.84,0.174
fair-worker-164,compressed_pay,19.05,19.05,29.0,1,0.45,0.0,9.95,0.448,79.4,51.27,0.125
fair-worker-165,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.4,52.41,0.1
fair-worker-166,underpaid_hidden,18.9,19.2,29.0,0,0.0,0.3,10.1,0.0,82.4,52.24,0.1
fair-worker-167,underpaid_informed,18.9,19.2,29.0,1,0.55,0.3,10.1,0.781,77.87,50.84,0.143
fair-worker-168,manager_salary_info,19.1,19.2,29.0,1,0.85,0.1,9.9,0.917,77.08,50.71,0.16
fair-worker-169,compressed_pay,18.95,19.05,29.0,1,0.45,0.1,10.05,0.527,79.34,51.32,0.129
fair-worker-170,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.8,52.66,0.1
fair-worker-171,underpaid_hidden,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.8,52.66,0.1
fair-worker-172,underpaid_informed,19.2,19.2,29.0,1,0.55,0.0,9.8,0.539,79.67,51.69,0.13
fair-worker-173,manager_salary_info,19.4,19.2,29.0,1,0.85,0.0,9.6,0.816,78.07,51.3,0.155
fair-worker-174,compressed_pay,19.0,19.05,29.0,1,0.45,0.05,10.0,0.488,79.97,51.67,0.127
fair-worker-175,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,83.2,52.91,0.1
fair-worker-176,underpaid_hidden,18.0,19.2,29.0,0,0.0,1.2,11.0,0.0,83.2,52.25,0.1
fair-worker-177,underpaid_informed,18.0,19.2,29.0,1,0.55,1.2,11.0,1.505,74.47,49.54,0.183
fair-worker-178,manager_salary_info,18.2,19.2,29.0,1,0.85,1.0,10.8,1.668,73.53,49.36,0.202
fair-worker-179,compressed_pay,19.05,19.05,29.0,1,0.45,0.0,9.95,0.448,80.6,52.02,0.125
fair-worker-180,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.0,51.66,0.1
fair-worker-181,underpaid_hidden,18.3,19.2,29.0,0,0.0,0.9,10.7,0.0,82.0,51.16,0.1
fair-worker-182,underpaid_informed,18.3,19.2,29.0,1,0.55,0.9,10.7,1.263,74.67,48.89,0.169
fair-worker-183,manager_salary_info,18.5,19.2,29.0,1,0.85,0.7,10.5,1.417,73.78,48.72,0.188
fair-worker-184,compressed_pay,18.95,19.05,29.0,1,0.45,0.1,10.05,0.527,78.94,50.57,0.129
fair-worker-185,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.4,51.91,0.1
fair-worker-186,underpaid_hidden,18.6,19.2,29.0,0,0.0,0.6,10.4,0.0,82.4,51.58,0.1
fair-worker-187,underpaid_informed,18.6,19.2,29.0,1,0.55,0.6,10.4,1.022,76.47,49.74,0.156
fair-worker-188,manager_salary_info,18.8,19.2,29.0,1,0.85,0.4,10.2,1.167,75.63,49.59,0.174
fair-worker-189,compressed_pay,19.0,19.05,29.0,1,0.45,0.05,10.0,0.488,79.57,50.92,0.127
fair-worker-190,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.8,52.16,0.1
fair-worker-191,underpaid_hidden,18.9,19.2,29.0,0,0.0,0.3,10.1,0.0,82.8,51.99,0.1
fair-worker-192,underpaid_informed,18.9,19.2,29.0,1,0.55,0.3,10.1,0.781,78.27,50.59,0.143
fair-worker-193,manager_salary_info,19.1,19.2,29.0,1,0.85,0.1,9.9,0.917,77.48,50.46,0.16
fair-worker-194,compressed_pay,19.05,19.05,29.0,1,0.45,0.0,9.95,0.448,80.2,51.27,0.125
fair-worker-195,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,83.2,52.41,0.1
fair-worker-196,underpaid_hidden,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,83.2,52.41,0.1
fair-worker-197,underpaid_informed,19.2,19.2,29.0,1,0.55,0.0,9.8,0.539,80.07,51.44,0.13
fair-worker-198,manager_salary_info,19.4,19.2,29.0,1,0.85,0.0,9.6,0.816,78.47,51.05,0.155
fair-worker-199,compressed_pay,18.95,19.05,29.0,1,0.45,0.1,10.05,0.527,80.14,51.32,0.129
fair-worker-200,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.0,52.66,0.1
fair-worker-201,underpaid_hidden,18.0,19.2,29.0,0,0.0,1.2,11.0,0.0,82.0,52.0,0.1
fair-worker-202,underpaid_informed,18.0,19.2,29.0,1,0.55,1.2,11.0,1.505,73.27,49.29,0.183
fair-worker-203,manager_salary_info,18.2,19.2,29.0,1,0.85,1.0,10.8,1.668,72.33,49.11,0.202
fair-worker-204,compressed_pay,19.0,19.05,29.0,1,0.45,0.05,10.0,0.488,79.17,51.67,0.127
fair-worker-205,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.4,52.91,0.1
fair-worker-206,underpaid_hidden,18.3,19.2,29.0,0,0.0,0.9,10.7,0.0,82.4,52.41,0.1
fair-worker-207,underpaid_informed,18.3,19.2,29.0,1,0.55,0.9,10.7,1.263,75.07,50.14,0.169
fair-worker-208,manager_salary_info,18.5,19.2,29.0,1,0.85,0.7,10.5,1.417,74.18,49.97,0.188
fair-worker-209,compressed_pay,19.05,19.05,29.0,1,0.45,0.0,9.95,0.448,79.8,52.02,0.125
fair-worker-210,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.8,51.66,0.1
fair-worker-211,underpaid_hidden,18.6,19.2,29.0,0,0.0,0.6,10.4,0.0,82.8,51.33,0.1
fair-worker-212,underpaid_informed,18.6,19.2,29.0,1,0.55,0.6,10.4,1.022,76.87,49.49,0.156
fair-worker-213,manager_salary_info,18.8,19.2,29.0,1,0.85,0.4,10.2,1.167,76.03,49.34,0.174
fair-worker-214,compressed_pay,18.95,19.05,29.0,1,0.45,0.1,10.05,0.527,79.74,50.57,0.129
fair-worker-215,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,83.2,51.91,0.1
fair-worker-216,underpaid_hidden,18.9,19.2,29.0,0,0.0,0.3,10.1,0.0,83.2,51.74,0.1
fair-worker-217,underpaid_informed,18.9,19.2,29.0,1,0.55,0.3,10.1,0.781,78.67,50.34,0.143
fair-worker-218,manager_salary_info,19.1,19.2,29.0,1,0.85,0.1,9.9,0.917,77.88,50.21,0.16
fair-worker-219,compressed_pay,19.0,19.05,29.0,1,0.45,0.05,10.0,0.488,80.37,50.92,0.127
fair-worker-220,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.0,52.16,0.1
fair-worker-221,underpaid_hidden,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.0,52.16,0.1
fair-worker-222,underpaid_informed,19.2,19.2,29.0,1,0.55,0.0,9.8,0.539,78.87,51.19,0.13
fair-worker-223,manager_salary_info,19.4,19.2,29.0,1,0.85,0.0,9.6,0.816,77.27,50.8,0.155
fair-worker-224,compressed_pay,19.05,19.05,29.0,1,0.45,0.0,9.95,0.448,79.4,51.27,0.125
fair-worker-225,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.4,52.41,0.1
fair-worker-226,underpaid_hidden,18.0,19.2,29.0,0,0.0,1.2,11.0,0.0,82.4,51.75,0.1
fair-worker-227,underpaid_informed,18.0,19.2,29.0,1,0.55,1.2,11.0,1.505,73.67,49.04,0.183
fair-worker-228,manager_salary_info,18.2,19.2,29.0,1,0.85,1.0,10.8,1.668,72.73,48.86,0.202
fair-worker-229,compressed_pay,18.95,19.05,29.0,1,0.45,0.1,10.05,0.527,79.34,51.32,0.129
fair-worker-230,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.8,52.66,0.1
fair-worker-231,underpaid_hidden,18.3,19.2,29.0,0,0.0,0.9,10.7,0.0,82.8,52.16,0.1
fair-worker-232,underpaid_informed,18.3,19.2,29.0,1,0.55,0.9,10.7,1.263,75.47,49.89,0.169
fair-worker-233,manager_salary_info,18.5,19.2,29.0,1,0.85,0.7,10.5,1.417,74.58,49.72,0.188
fair-worker-234,compressed_pay,19.0,19.05,29.0,1,0.45,0.05,10.0,0.488,79.97,51.67,0.127
fair-worker-235,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,83.2,52.91,0.1
fair-worker-236,underpaid_hidden,18.6,19.2,29.0,0,0.0,0.6,10.4,0.0,83.2,52.58,0.1
fair-worker-237,underpaid_informed,18.6,19.2,29.0,1,0.55,0.6,10.4,1.022,77.27,50.74,0.156
fair-worker-238,manager_salary_info,18.8,19.2,29.0,1,0.85,0.4,10.2,1.167,76.43,50.59,0.174
fair-worker-239,compressed_pay,19.05,19.05,29.0,1,0.45,0.0,9.95,0.448,80.6,52.02,0.125
