person_id,state,birth_year,birth_quarter,female,parent_education,family_income,compulsory_exposure,stayed_in_school,years_schooling,log_earnings,synthetic_ability,synthetic_compliance_type,synthetic_true_effect
38,Coastal,1939,2,0,10.631,31967.4,0,0,10.675,2.6449,0.2464,never_taker,0.072
39,South,1938,2,0,11.228,27231.75,0,0,11.522,2.4177,-0.2964,never_taker,0.062
40,North,1937,3,0,7.514,46122.44,1,0,9.968,2.3056,-0.8153,never_taker,0.072
41,Coastal,1947,2,1,14.183,33036.66,0,1,12.664,3.0867,1.6643,always_taker,0.056
42,Coastal,1935,2,0,10.886,50833.76,0,0,10.082,2.0847,-1.5019,never_taker,0.072
43,Coastal,1942,1,0,9.733,39346.11,0,1,12.023,2.5904,-0.0334,always_taker,0.072
44,South,1939,4,0,14.067,44895.23,1,1,12.509,2.8268,1.5638,complier,0.088
45,North,1940,3,0,17.656,12000.0,1,1,12.019,2.7106,0.4092,complier,0.088
46,Central,1932,3,0,7.689,63468.92,1,1,11.257,2.3212,-0.5258,complier,0.098
47,Central,1943,1,0,12.41,45547.31,0,0,9.892,2.2788,-1.7108,never_taker,0.062
48,South,1941,1,0,9.586,36518.77,0,1,12.325,2.6245,1.4664,always_taker,0.072
49,South,1941,1,0,12.062,47406.16,0,0,10.221,2.5966,1.4541,never_taker,0.062
50,Central,1935,1,0,14.989,49849.22,0,0,10.362,2.5518,0.4873,complier,0.088
51,Central,1932,4,1,9.955,37640.37,1,0,10.458,2.2303,-0.2095,never_taker,0.066
52,North,1930,3,1,11.059,49867.62,1,0,10.079,2.31,-1.0749,never_taker,0.056
53,North,1940,4,1,12.889,38419.89,1,1,12.07,2.5197,0.0824,complier,0.082
54,North,1935,2,1,11.808,26411.44,0,0,11.055,2.3883,0.8586,complier,0.082
55,North,1945,3,0,12.823,19850.9,1,1,11.36,2.4282,-0.7652,complier,0.088
56,Central,1938,4,0,13.608,45499.01,1,1,11.576,2.632,-0.2323,complier,0.088
57,Central,1932,3,1,9.35,41821.84,1,0,10.253,2.3048,-0.5083,never_taker,0.066
58,South,1939,2,0,10.271,59928.89,0,0,9.87,2.2762,-0.8493,never_taker,0.072
59,Central,1944,4,0,10.465,61260.76,1,0,10.486,2.7176,0.4038,never_taker,0.072
60,North,1946,2,0,12.255,44327.72,0,0,10.942,2.5783,1.0977,complier,0.088
61,Central,1942,4,1,10.618,56307.14,1,1,12.305,2.7667,0.5308,always_taker,0.066
62,North,1943,1,0,9.275,44276.84,0,0,10.371,2.5293,-0.3398,complier,0.098
63,Coastal,1947,1,1,14.791,41602.49,0,0,10.473,2.4394,-1.1609,never_taker,0.056
64,North,1936,3,1,12.968,27947.45,1,0,10.434,2.2275,-0.9926,never_taker,0.056
65,Central,1942,1,1,12.287,22957.58,0,0,10.062,2.1909,0.1522,complier,0.082
66,South,1934,2,0,10.594,38218.91,0,0,10.334,2.6708,0.4839,complier,0.098
67,South,1943,3,1,15.2,32971.98,1,1,12.23,2.4763,0.1149,complier,0.082
68,South,1936,4,1,11.724,51723.01,1,1,11.455,2.528,0.4634,complier,0.082
69,Coastal,1938,3,1,11.15,44574.65,1,1,12.462,2.8665,1.4002,complier,0.082
70,Central,1932,2,0,12.667,32244.74,0,1,11.2,2.6002,0.6533,always_taker,0.062
71,South,1940,1,0,11.274,55109.66,0,0,10.072,2.7083,0.9697,complier,0.088
72,Central,1944,2,1,11.262,33417.28,0,0,10.93,2.5097,1.0786,complier,0.082
73,North,1943,1,1,9.193,46780.08,0,0,10.112,2.4036,-0.6268,complier,0.092
74,South,1944,4,1,10.58,33015.72,1,1,11.638,2.6849,0.9127,complier,0.092
75,Coastal,1932,2,1,11.246,26908.42,0,0,10.513,2.6216,0.6483,complier,0.082
76,Coastal,1930,4,1,14.051,58866.64,1,1,12.099,2.6896,0.7998,complier,0.082
77,South,1946,4,1,9.743,26931.44,1,0,10.236,2.5135,0.3285,never_taker,0.066
78,Coastal,1931,2,1,8.207,29344.62,0,1,12.167,2.4206,0.2389,always_taker,0.066
79,South,1945,2,1,12.974,30517.2,0,0,9.969,2.2901,-0.8232,complier,0.082
80,North,1936,4,0,13.183,44809.74,1,1,11.912,2.4499,-0.7097,always_taker,0.062
81,North,1934,3,1,11.017,23977.87,1,0,10.345,2.3163,-0.1692,never_taker,0.056
82,North,1931,2,1,12.66,58256.13,0,1,13.218,3.1625,3.2627,always_taker,0.056
83,North,1940,3,1,10.038,40314.71,1,0,9.875,2.1952,-1.2691,never_taker,0.066
84,Central,1938,4,1,13.304,53108.37,1,1,11.809,2.4676,-0.4866,complier,0.082
85,Coastal,1936,4,1,14.688,41700.1,1,1,12.441,2.7574,0.9756,always_taker,0.056
86,South,1947,4,1,10.441,31645.77,1,1,11.577,2.2286,-0.2266,complier,0.092
87,North,1945,2,1,10.076,45220.79,0,0,10.121,2.6864,1.0639,complier,0.092
88,Central,1940,4,0,8.76,39284.72,1,1,12.798,2.9027,1.4833,always_taker,0.072
89,South,1947,3,0,13.163,44876.78,1,1,10.66,2.0566,-2.3841,complier,0.088
90,Central,1931,2,1,11.446,46521.5,0,0,9.882,2.4024,-0.1446,never_taker,0.056
91,Central,1944,3,0,11.24,37151.85,1,1,11.457,2.4147,-1.4454,complier,0.088
92,North,1943,1,0,10.061,52183.64,0,0,10.523,2.4984,-0.0971,complier,0.098
93,Coastal,1943,2,0,13.805,50541.92,0,1,12.659,2.7823,1.2991,always_taker,0.062
94,North,1944,2,0,12.923,12246.66,0,0,10.266,2.3602,0.274,never_taker,0.062
95,Central,1939,1,1,9.872,56046.79,0,0,10.476,2.4352,-0.672,never_taker,0.066
96,Coastal,1936,2,1,10.386,31239.71,0,0,10.294,2.1596,-0.7878,complier,0.092
97,South,1932,4,1,11.042,64682.85,1,1,11.507,2.8356,1.0231,complier,0.082
98,North,1945,2,1,12.281,63730.05,0,0,10.943,2.5256,0.4624,complier,0.082
99,Coastal,1939,3,0,11.158,39717.61,1,1,12.19,2.5221,0.2735,always_taker,0.062
100,Central,1946,4,0,13.658,36010.28,1,1,11.451,2.6598,-0.059,complier,0.088
101,South,1938,4,1,15.957,29980.91,1,1,11.993,2.7546,0.2397,always_taker,0.056
102,North,1942,4,1,12.291,34518.87,1,1,11.697,2.6124,-0.4083,complier,0.082
103,Coastal,1938,4,1,12.647,30820.84,1,1,12.101,2.6767,0.2837,complier,0.082
104,South,1939,2,1,14.008,42571.93,0,0,10.085,2.6326,1.1339,complier,0.082
105,South,1937,1,0,10.607,72940.68,0,1,11.945,2.4097,-0.0378,always_taker,0.072
106,North,1945,4,0,13.129,34626.54,1,0,11.038,2.3519,-0.6501,never_taker,0.062
107,Coastal,1941,4,1,9.032,61590.3,1,1,11.395,2.6778,-0.2468,complier,0.092
108,North,1944,2,1,12.26,35999.12,0,0,10.659,2.8169,2.1221,complier,0.082
109,North,1946,4,1,9.921,37855.59,1,0,10.307,2.4139,0.3243,never_taker,0.066
110,North,1941,3,1,7.822,60881.63,1,0,10.029,2.211,-1.9143,never_taker,0.066
111,Coastal,1943,1,1,13.388,58097.34,0,0,10.903,2.3601,-1.0035,complier,0.082
112,North,1945,4,1,11.551,34318.71,1,1,12.198,2.9692,1.6891,complier,0.082
113,North,1932,4,1,14.914,15641.85,1,1,12.327,2.9228,1.672,complier,0.082
114,South,1944,2,1,14.884,51955.12,0,1,12.767,2.7264,1.2139,always_taker,0.056
115,Coastal,1945,3,0,13.694,39539.34,1,1,12.673,2.8263,1.2991,always_taker,0.062
116,Central,1932,1,1,13.768,41259.17,0,0,10.408,2.744,0.7757,never_taker,0.056
117,Coastal,1934,4,0,12.696,45196.46,1,0,10.088,2.4973,-0.8563,never_taker,0.062
118,North,1933,3,0,13.177,32648.77,1,1,12.024,2.722,0.5307,complier,0.088
119,Coastal,1947,4,0,10.027,46755.87,1,0,10.486,2.1787,-0.8578,never_taker,0.072
120,Coastal,1941,1,1,10.378,44628.19,0,1,12.179,2.705,1.5442,always_taker,0.066
121,South,1946,4,1,12.144,44639.36,1,1,11.647,2.581,0.7952,complier,0.082
122,South,1941,3,0,12.342,36568.33,1,1,12.055,2.561,-0.0397,complier,0.088
123,Central,1935,2,1,9.516,43127.12,0,1,11.189,2.3638,-0.2358,always_taker,0.066
124,North,1939,1,0,15.179,66391.2,0,0,9.84,2.5469,-0.2169,complier,0.088
125,Central,1946,2,0,12.65,69094.54,0,1,12.582,3.2693,2.2584,always_taker,0.062
126,Coastal,1935,4,0,10.537,22641.76,1,1,12.914,2.7673,1.5809,always_taker,0.072
127,Central,1931,4,0,10.408,47005.25,1,1,11.882,2.5549,-0.4668,complier,0.098
128,South,1941,3,1,9.192,20751.61,1,0,9.308,1.9984,-1.6431,never_taker,0.066
129,Coastal,1938,3,0,10.719,49466.78,1,1,11.429,2.5326,0.025,complier,0.098
130,Central,1938,4,0,8.363,57593.04,1,1,11.023,2.1055,-1.6653,complier,0.098
131,North,1945,2,1,11.731,31011.25,0,0,9.956,2.3443,-0.7321,never_taker,0.056
132,Coastal,1933,2,1,12.834,37866.54,0,1,12.053,2.4737,0.5239,always_taker,0.056
133,Coastal,1944,4,1,11.99,23381.05,1,1,10.894,2.6034,0.2286,complier,0.082
134,North,1938,3,1,12.02,12000.0,1,1,12.41,2.7461,2.096,always_taker,0.056
135,South,1942,3,1,10.077,39935.75,1,1,11.548,2.3941,-1.0122,complier,0.092
136,Central,1944,2,0,13.179,48568.51,0,1,12.717,2.3426,0.0748,always_taker,0.062
137,Coastal,1935,2,1,9.491,44192.15,0,0,10.319,2.472,0.4682,complier,0.092
138,Coastal,1932,3,0,9.915,66865.25,1,1,11.456,2.7693,0.7445,complier,0.098
139,Central,1942,1,1,12.576,36706.88,0,0,10.077,2.5136,-0.0297,complier,0.082
140,South,1939,4,1,13.772,37482.54,1,1,12.643,2.6522,1.7318,always_taker,0.056
141,Coastal,1946,2,1,12.249,47773.37,0,1,13.22,2.7865,1.3048,always_taker,0.056
142,South,1939,3,1,11.823,43996.47,1,0,10.197,2.2498,-1.0041,never_taker,0.056
143,North,1933,3,1,10.748,25905.76,1,1,11.753,2.3646,0.2472,always_taker,0.066
144,North,1947,2,1,11.097,46846.5,0,0,9.212,2.0963,-2.0637,complier,0.082
145,Central,1942,3,0,13.462,40889.58,1,1,12.809,2.8295,1.2131,always_taker,0.062
146,South,1941,3,1,16.131,44593.83,1,1,11.839,2.5454,0.3288,always_taker,0.056
147,Coastal,1944,2,1,14.051,26577.36,0,1,12.497,3.0093,2.5177,always_taker,0.056
148,Central,1944,4,1,13.316,31593.45,1,1,12.533,2.7112,1.5182,always_taker,0.056
149,North,1936,3,0,11.263,34860.57,1,0,8.959,1.9604,-2.4073,never_taker,0.062
150,South,1944,3,1,13.201,39975.87,1,1,11.397,2.6116,-0.334,complier,0.082
151,North,1947,2,1,11.144,21194.27,0,0,9.398,2.2212,-0.7077,never_taker,0.056
152,South,1944,1,1,11.108,35106.97,0,0,10.827,2.4278,-0.5147,never_taker,0.056
153,South,1930,1,0,9.052,49679.6,0,1,11.593,2.6862,0.71,always_taker,0.072
154,Coastal,1944,3,0,11.437,21790.0,1,1,11.871,2.5354,0.2357,always_taker,0.062
155,North,1936,2,0,10.045,32465.29,0,0,10.228,2.3675,-0.9786,never_taker,0.072
156,North,1933,3,1,7.487,39012.36,1,1,11.088,2.3737,-0.638,complier,0.092
157,Coastal,1945,3,1,13.714,56352.73,1,1,11.976,2.6364,-0.7527,complier,0.082
158,South,1945,2,0,8.571,72069.47,0,0,10.367,2.5631,-0.5081,complier,0.098
159,Coastal,1942,2,0,12.555,60328.38,0,1,12.873,2.9159,2.0369,always_taker,0.062
160,South,1941,4,0,13.165,48063.75,1,1,11.87,2.7833,0.6811,complier,0.088
161,South,1938,1,0,13.491,51381.8,0,1,12.763,3.0052,2.3905,always_taker,0.062
162,Central,1945,3,0,13.247,66999.97,1,1,11.994,2.683,0.5529,complier,0.088
163,South,1931,3,1,8.701,48339.26,1,0,10.158,2.2127,-0.921,never_taker,0.066
164,Central,1946,2,0,10.495,34495.77,0,0,9.808,2.2484,-1.3588,never_taker,0.072
165,Central,1938,2,1,11.65,29506.45,0,0,10.525,2.3139,-0.0221,never_taker,0.056
166,South,1943,2,0,11.788,37813.38,0,0,10.481,2.3953,0.0311,never_taker,0.062
167,Central,1935,1,1,11.313,40817.71,0,0,10.6,2.6452,0.3149,complier,0.082
168,Central,1943,1,1,9.795,47044.05,0,0,9.899,2.5891,0.4231,complier,0.092
169,Central,1947,3,1,11.882,12000.0,1,0,11.041,2.5967,1.2437,never_taker,0.056
170,Coastal,1941,4,1,8.513,38984.02,1,0,10.039,2.3124,0.1098,never_taker,0.066
171,South,1938,1,0,8.998,46698.73,0,0,10.184,2.457,-0.3046,complier,0.098
172,Coastal,1932,4,0,12.494,40272.72,1,0,10.902,2.6682,0.6944,never_taker,0.062
173,North,1935,1,0,14.432,64569.6,0,0,10.697,2.2444,-1.4361,complier,0.088
174,South,1943,3,0,10.164,36287.6,1,1,11.213,2.083,-1.4238,complier,0.098
175,Central,1930,2,1,13.183,40070.63,0,0,10.837,2.6314,0.1887,complier,0.082
176,Central,1937,4,0,11.438,58762.81,1,1,11.813,2.6543,1.1931,always_taker,0.062
177,Central,1944,3,0,10.812,35488.26,1,1,11.865,1.9772,-1.565,always_taker,0.072
178,South,1943,1,1,12.805,49046.27,0,0,9.934,2.115,-1.2669,complier,0.082
179,North,1947,2,1,11.777,31840.72,0,0,10.453,2.7608,0.8636,never_taker,0.056
180,Central,1944,4,1,9.699,30237.34,1,0,9.746,2.1842,-1.2086,never_taker,0.066
181,Coastal,1947,4,0,11.136,63352.4,1,1,11.325,2.7703,0.2944,complier,0.088
182,Central,1937,3,0,12.287,29868.86,1,1,11.829,2.5113,-0.0186,always_taker,0.062
183,Central,1933,4,0,16.177,47966.76,1,1,12.304,2.7862,0.9015,complier,0.088
184,South,1943,3,0,10.305,21618.15,1,0,10.31,2.2501,-0.2348,never_taker,0.072
185,Central,1933,4,0,8.144,40722.12,1,0,8.627,2.1604,-1.5555,never_taker,0.072
186,Coastal,1937,4,0,14.517,54206.88,1,1,11.517,2.4965,-0.4919,complier,0.088
187,North,1942,3,1,14.386,53853.82,1,1,12.614,2.547,-0.1638,complier,0.082
188,South,1933,1,1,11.494,53428.58,0,0,10.968,2.6433,0.9516,complier,0.082
189,South,1947,2,1,13.437,41244.81,0,1,12.164,2.3062,-0.5439,always_taker,0.056
190,Central,1932,1,0,10.022,31710.41,0,0,10.11,2.6123,0.8494,complier,0.098
191,South,1936,3,0,11.892,50003.28,1,1,12.096,2.4808,0.0654,complier,0.088
192,North,1932,3,1,11.256,54556.26,1,1,12.372,2.4714,0.207,always_taker,0.056
193,Central,1939,1,0,14.136,28615.51,0,0,9.986,2.4481,-0.5132,never_taker,0.062
194,North,1935,1,0,11.823,38218.38,0,0,11.177,2.7127,2.0849,complier,0.088
195,North,1932,2,0,10.563,33003.98,0,0,9.836,2.5068,-0.0283,complier,0.098
196,South,1934,2,1,11.383,48108.84,0,0,10.237,2.2854,-1.296,never_taker,0.056
197,North,1943,2,0,13.053,44757.38,0,0,10.434,2.7268,0.3663,complier,0.088
198,South,1939,2,0,9.805,38105.5,0,0,9.901,2.09,-1.2941,never_taker,0.072
199,South,1936,1,1,11.441,45574.26,0,0,10.327,2.3722,-0.7073,never_taker,0.056
200,South,1933,1,1,15.225,53228.1,0,0,10.202,2.4648,-0.5438,never_taker,0.056
201,South,1945,4,1,11.815,17402.0,1,1,12.126,2.4375,0.0419,complier,0.082
202,Central,1944,4,1,12.556,51637.23,1,1,11.99,2.7376,0.3684,complier,0.082
203,Central,1938,1,0,14.89,33905.88,0,0,10.837,2.803,2.0283,complier,0.088
204,North,1932,4,0,10.206,45709.14,1,0,10.563,2.595,0.2675,never_taker,0.072
205,Coastal,1944,3,0,13.552,35995.01,1,0,10.629,2.2394,-1.0937,never_taker,0.062
206,Coastal,1936,2,0,11.164,32523.4,0,0,11.342,2.7388,2.2606,complier,0.088
207,North,1937,2,0,9.498,40530.12,0,0,10.581,2.4868,0.0627,complier,0.098
208,Central,1939,1,1,13.011,44413.58,0,0,10.691,2.6139,0.7526,complier,0.082
209,North,1939,3,1,12.777,43990.94,1,1,11.778,2.5862,-0.5071,complier,0.082
210,North,1939,3,1,12.365,27373.07,1,1,11.84,2.3111,-1.0637,complier,0.082
211,Central,1936,3,0,10.467,41078.29,1,0,10.123,2.0066,-1.1563,never_taker,0.072
212,Coastal,1936,4,1,10.313,44378.94,1,1,11.698,2.3359,-0.4659,always_taker,0.066
213,South,1930,3,0,13.027,50130.76,1,1,11.534,2.5109,-0.2523,complier,0.088
214,North,1934,2,0,12.576,50624.59,0,1,12.39,2.121,-1.231,always_taker,0.062
215,Coastal,1932,3,0,11.284,42315.09,1,0,10.732,2.4347,-0.5778,never_taker,0.062
216,North,1940,1,1,13.733,45676.0,0,1,12.969,3.1947,2.8359,always_taker,0.056
217,North,1939,2,0,11.814,59742.43,0,0,10.417,2.4311,-0.157,never_taker,0.062
218,Coastal,1945,3,1,9.614,43322.57,1,1,11.236,2.2045,-1.2705,complier,0.092
219,North,1935,2,1,11.708,32537.72,0,0,10.371,2.4487,0.1904,complier,0.082
220,North,1943,3,1,12.918,23924.33,1,1,12.057,2.7938,1.6475,complier,0.082
221,Coastal,1945,3,1,13.937,75044.75,1,1,11.948,2.8805,0.3822,complier,0.082
222,South,1943,4,0,14.503,26127.29,1,1,10.037,2.0477,-2.6535,complier,0.088
223,South,1939,1,1,12.641,64582.89,0,1,12.357,2.7847,0.697,always_taker,0.056
224,Central,1935,1,0,12.659,49554.05,0,0,9.966,2.576,-0.523,complier,0.088
225,North,1935,1,0,13.898,44571.55,0,1,12.642,2.7599,0.9749,always_taker,0.062
226,Central,1947,3,0,15.76,34000.71,1,1,11.896,2.6449,0.4559,complier,0.088
227,Central,1944,4,0,8.95,41778.73,1,1,11.67,2.6411,0.4824,complier,0.098
228,Central,1947,2,1,12.667,46066.85,0,0,10.48,2.3914,-0.2725,complier,0.082
229,Central,1930,1,1,11.833,65459.39,0,0,10.691,2.7136,1.0868,complier,0.082
230,Coastal,1931,3,1,12.735,50346.18,1,1,11.205,2.2977,-0.6168,complier,0.082
231,North,1942,3,1,12.303,17490.02,1,1,13.056,2.6426,0.811,always_taker,0.056
232,North,1931,3,0,10.091,61120.6,1,0,9.928,2.2583,-1.2536,never_taker,0.072
233,Central,1947,4,1,11.043,43233.19,1,1,11.689,2.3962,-0.0688,always_taker,0.056
234,North,1938,3,1,9.559,23514.4,1,0,10.535,2.3934,-0.2471,never_taker,0.066
235,Coastal,1933,4,1,12.792,41356.89,1,1,11.678,2.5126,-0.3159,complier,0.082
236,South,1941,2,1,12.051,33845.78,0,1,12.831,2.6053,1.2428,always_taker,0.056
237,South,1944,3,0,12.935,54731.33,1,1,12.608,2.3399,0.3881,always_taker,0.062
238,Coastal,1940,2,1,10.682,32978.7,0,0,10.194,2.4106,0.6136,complier,0.092
239,South,1939,1,0,10.034,45081.94,0,0,9.924,2.4864,0.699,complier,0.098
240,South,1946,4,1,10.686,35466.52,1,0,9.331,2.0827,-1.5693,never_taker,0.066
241,South,1942,4,1,14.096,36727.44,1,1,12.161,2.5243,0.4572,always_taker,0.056
242,South,1939,4,1,7.843,48216.57,1,1,12.009,2.4201,0.9446,complier,0.092
243,Central,1931,3,0,12.864,47808.48,1,0,9.836,2.2876,-1.061,never_taker,0.062
244,North,1942,3,0,11.558,38301.11,1,1,11.818,2.732,0.7577,complier,0.088
245,Coastal,1932,3,1,12.04,68940.47,1,1,12.281,2.6786,-0.1236,always_taker,0.056
246,North,1939,4,1,10.718,50345.41,1,0,10.192,2.6278,0.4578,never_taker,0.066
247,North,1930,2,0,13.276,46019.09,0,0,9.754,2.3374,-1.0037,never_taker,0.062
248,North,1943,1,0,12.055,37826.35,0,0,10.859,2.5243,0.5302,complier,0.088
249,South,1942,2,0,10.34,22711.48,0,1,11.288,2.7352,0.7309,always_taker,0.072
250,North,1933,4,0,12.739,46560.24,1,1,11.522,2.5385,0.5898,always_taker,0.062
251,South,1943,4,1,10.101,46989.41,1,1,11.741,2.6186,0.2876,always_taker,0.066
252,North,1942,3,0,14.512,65738.09,1,1,12.429,2.9209,1.8916,always_taker,0.062
253,North,1938,1,0,14.509,40781.06,0,1,12.386,3.1472,1.6316,always_taker,0.062
254,South,1933,4,0,10.333,46096.14,1,0,9.771,2.5617,0.1982,never_taker,0.072
255,Central,1939,1,1,12.701,44848.56,0,0,10.913,2.6051,0.1209,never_taker,0.056
256,South,1945,4,1,10.526,35990.47,1,1,11.158,2.2732,-1.0507,complier,0.092
257,South,1934,3,0,8.279,64727.02,1,1,12.273,2.5311,0.9131,always_taker,0.072
258,Coastal,1947,4,0,9.735,52486.22,1,0,9.665,2.1645,-1.5162,never_taker,0.072
259,North,1945,2,1,13.624,57126.96,0,1,12.278,2.924,0.837,always_taker,0.056
260,South,1937,3,1,12.749,44717.42,1,1,11.897,2.5187,0.5703,always_taker,0.056
261,North,1937,1,0,10.72,35842.59,0,0,10.591,2.7515,1.225,complier,0.098
262,North,1937,4,1,13.87,55950.02,1,1,11.82,2.3535,-0.4315,complier,0.082
263,Central,1935,3,0,14.293,50887.77,1,1,11.933,2.5702,-0.3933,complier,0.088
264,Coastal,1932,3,0,11.678,56865.77,1,1,12.177,2.7052,0.4641,complier,0.088
265,Coastal,1941,4,0,11.607,53951.74,1,1,11.546,2.8246,0.2169,complier,0.088
266,North,1944,2,0,11.151,31436.03,0,0,10.448,2.7395,0.1665,never_taker,0.062
267,Central,1938,1,1,14.471,41090.81,0,1,12.005,2.7691,0.8299,always_taker,0.056
268,South,1939,2,1,11.245,50347.91,0,1,11.814,2.5149,0.0136,always_taker,0.056
269,Coastal,1941,1,1,13.411,19898.42,0,0,10.795,2.311,-0.7591,never_taker,0.056
270,Coastal,1947,3,0,9.907,50832.64,1,1,11.869,2.6919,-0.3581,complier,0.098
271,Central,1944,3,0,12.145,32670.74,1,1,10.978,2.6718,0.9583,complier,0.088
272,South,1940,4,0,14.349,70350.62,1,1,11.527,2.5493,-1.2663,complier,0.088
273,Central,1938,4,1,11.715,35820.33,1,1,11.552,2.5485,0.384,complier,0.082
274,Coastal,1941,4,1,15.446,61031.08,1,1,12.44,2.6072,-1.0283,complier,0.082
275,South,1936,2,1,10.956,43720.66,0,0,10.552,2.4833,0.2278,complier,0.092
276,Coastal,1944,2,1,11.489,42162.35,0,0,10.343,2.5036,-0.5917,complier,0.082
277,North,1944,1,0,14.216,37709.96,0,0,10.715,2.4783,0.1496,complier,0.088
278,Central,1943,4,0,12.592,40450.42,1,1,11.698,2.4913,-0.4625,complier,0.088
279,North,1937,3,0,11.684,39959.86,1,1,12.564,2.6752,1.4742,always_taker,0.062
280,Central,1932,3,1,11.713,36063.61,1,1,12.0,2.5355,0.3331,complier,0.082
281,Central,1936,4,1,9.404,46019.5,1,0,10.457,2.4977,0.3165,never_taker,0.066
282,South,1935,1,1,14.078,68929.19,0,0,10.783,2.8019,1.3469,complier,0.082
283,North,1945,1,0,10.379,51260.5,0,0,11.102,2.4864,0.0274,complier,0.098
284,South,1931,2,1,9.972,27527.77,0,0,10.108,2.3843,0.4105,never_taker,0.066
285,Central,1930,2,0,15.209,50438.17,0,0,10.05,2.6545,0.3646,complier,0.088
286,South,1930,3,1,8.646,46901.34,1,0,10.682,2.4898,1.3444,never_taker,0.066
287,Central,1930,1,1,10.536,30569.49,0,0,11.363,2.5489,1.5492,complier,0.092
288,North,1931,2,0,11.677,21233.55,0,0,9.696,2.1759,-1.1987,complier,0.088
289,North,1947,1,1,12.154,62264.94,0,0,11.217,2.4038,-0.5561,never_taker,0.056
290,South,1931,1,1,14.714,48644.29,0,0,10.37,2.4669,-0.3021,complier,0.082
291,Central,1930,2,1,9.546,48112.82,0,0,9.461,1.9428,-1.8926,never_taker,0.066
292,South,1946,4,0,11.911,31316.13,1,1,11.966,2.6266,0.2436,complier,0.088
293,South,1941,3,0,13.641,67079.2,1,0,10.45,2.5394,0.4319,never_taker,0.062
