child_id,cohort,treatment,baseline_skill,baseline_group,maternal_schooling,home_environment,parental_investment,endline_skill,followup_language
40,1,1,1.0578,higher_baseline,6,0.691,1.0929,1.3311,0.7214
41,1,0,-0.0483,lower_baseline,7,0.4726,0.5337,0.2256,0.1087
42,1,1,-0.3837,lower_baseline,10,0.4831,0.8897,0.5907,0.778
43,1,0,0.1647,higher_baseline,12,0.261,0.6548,0.655,0.3877
44,1,1,0.7491,higher_baseline,13,0.7385,0.9086,1.1184,0.9703
45,1,0,-0.6118,lower_baseline,12,0.1158,0.4414,0.1198,0.0036
46,1,1,1.2118,higher_baseline,15,0.7974,1.0021,1.5492,1.1961
47,1,0,0.691,higher_baseline,16,0.4839,0.6814,1.0337,0.712
48,1,1,-0.1077,lower_baseline,12,0.5956,0.8124,0.521,0.4798
49,1,0,1.0853,higher_baseline,8,0.4983,0.5825,1.1239,0.7275
50,1,1,0.4191,higher_baseline,9,0.3996,0.9595,0.7421,0.5142
51,1,0,0.3306,higher_baseline,7,0.4945,0.562,0.5892,0.4867
52,1,1,1.0024,higher_baseline,11,0.6924,1.01,1.1776,0.8794
53,1,0,-0.2658,lower_baseline,15,0.4444,0.6406,0.2792,0.4974
54,1,1,1.6467,higher_baseline,12,0.7382,0.9072,1.9525,1.3538
55,1,0,0.4125,higher_baseline,10,0.4793,0.5131,0.6519,0.2649
56,1,1,1.9558,higher_baseline,15,1.0017,0.9194,1.8958,1.0121
57,1,0,0.4496,higher_baseline,8,0.5217,0.3714,0.8444,0.6502
58,1,1,0.4346,higher_baseline,7,0.7658,0.6864,0.983,0.4569
59,1,0,0.9028,higher_baseline,12,0.5603,0.6295,0.8939,0.7413
60,1,1,-2.2908,lower_baseline,7,0.1517,0.6526,-1.0581,-0.2698
61,2,1,0.2886,higher_baseline,7,0.7487,0.7525,0.9782,0.6156
62,2,0,1.4366,higher_baseline,7,0.6519,0.7441,1.1866,0.875
63,2,1,-0.6377,lower_baseline,14,0.2532,0.7993,-0.0196,0.1977
64,2,0,-0.0871,lower_baseline,15,0.3975,0.613,0.3681,0.3076
65,2,1,0.711,higher_baseline,14,0.7247,0.8819,1.0427,0.7887
66,2,0,1.0177,higher_baseline,16,0.4203,0.8105,1.1338,0.631
67,2,1,1.8526,higher_baseline,15,0.8864,1.0687,1.7857,1.0281
68,2,0,-0.136,lower_baseline,6,0.2607,0.547,0.1732,0.2591
69,2,1,0.9096,higher_baseline,14,0.4913,0.9794,1.1314,0.8015
70,2,0,0.5097,higher_baseline,8,0.4611,0.6384,0.8869,0.6407
71,2,1,1.0921,higher_baseline,6,0.7702,0.621,1.0781,0.9926
72,2,0,0.8297,higher_baseline,15,0.4803,0.7698,0.9976,0.7909
73,2,1,0.1672,higher_baseline,7,0.4843,0.9095,0.7694,0.7351
74,2,0,-0.3024,lower_baseline,11,0.3767,0.5448,0.2478,0.3159
75,2,1,1.6769,higher_baseline,12,0.8566,1.0087,1.8263,1.0151
76,2,0,0.4682,higher_baseline,10,0.6234,0.6962,0.8929,0.6629
77,2,1,0.7464,higher_baseline,7,0.613,0.9127,1.019,0.7581
78,2,0,-0.5584,lower_baseline,16,0.2047,0.4485,0.1645,0.1789
79,2,1,-1.9987,lower_baseline,8,0.323,0.529,-0.8261,-0.2868
80,2,0,0.1703,higher_baseline,15,0.1027,0.5541,0.3205,0.1289
81,2,1,-0.3283,lower_baseline,6,0.7498,0.8859,0.6286,0.4751
82,2,0,-0.8046,lower_baseline,16,0.2462,0.4946,0.0647,0.0122
83,2,1,-1.6421,lower_baseline,11,0.2627,0.5043,-0.4255,0.1129
84,2,0,-0.8984,lower_baseline,10,0.2018,0.3753,0.0809,0.3436
85,2,1,0.1338,higher_baseline,9,0.6322,1.0426,0.8493,0.959
86,2,0,0.3124,higher_baseline,11,0.4896,0.5284,0.6415,0.6808
87,2,1,0.9576,higher_baseline,11,0.5652,1.009,1.2127,1.0236
88,2,0,0.0871,higher_baseline,6,0.2855,0.3601,0.4374,0.4872
89,2,1,1.655,higher_baseline,12,0.9224,0.9614,1.9583,1.2858
90,2,0,1.2008,higher_baseline,8,0.5131,0.4566,1.1938,0.5681
91,2,1,0.0955,higher_baseline,14,0.6642,0.8087,0.6079,0.6278
92,2,0,0.1334,higher_baseline,7,0.0786,0.5544,0.4772,0.4378
93,2,1,-0.6461,lower_baseline,15,0.463,0.6857,0.0451,0.3738
94,2,0,-0.4054,lower_baseline,15,0.5895,0.4292,0.3446,0.4098
95,2,1,-0.0219,lower_baseline,7,0.6271,0.7063,0.5184,0.4579
96,2,0,0.6036,higher_baseline,7,0.6424,0.6651,0.6999,0.7309
97,2,1,1.0664,higher_baseline,11,0.8476,0.9224,1.0913,0.6823
98,2,0,0.0564,higher_baseline,12,0.303,0.3731,0.4339,0.2185
99,2,1,1.1081,higher_baseline,15,0.628,0.7828,1.4182,0.9252
100,2,0,-0.8621,lower_baseline,15,0.3386,0.4623,-0.134,0.1955
101,2,1,0.225,higher_baseline,16,0.6327,0.9152,0.7791,0.4173
102,2,0,1.162,higher_baseline,13,0.4514,0.6011,1.0639,0.5736
103,2,1,-0.077,lower_baseline,13,0.6585,0.9762,0.6519,0.3936
104,2,0,0.3963,higher_baseline,10,0.1729,0.4054,0.7101,0.4668
105,2,1,-0.4488,lower_baseline,12,0.4841,0.8494,0.2705,0.2149
106,2,0,0.3665,higher_baseline,6,0.3406,0.6742,0.3622,0.4644
107,2,1,1.6654,higher_baseline,10,0.8621,1.0295,1.6132,1.1494
108,2,0,0.6246,higher_baseline,6,0.4032,0.809,0.7242,0.5894
109,2,1,1.0076,higher_baseline,12,0.6935,0.9977,1.5241,0.8536
110,2,0,-0.2392,lower_baseline,7,0.1798,0.5281,0.3152,0.3732
111,2,1,-0.2361,lower_baseline,9,0.6547,0.6245,0.4975,0.3998
112,2,0,0.3914,higher_baseline,6,0.5181,0.5256,0.596,0.3454
113,2,1,-0.0071,lower_baseline,10,0.4275,0.784,0.5598,0.6747
114,2,0,-0.8746,lower_baseline,12,0.2027,0.5116,-0.3352,0.2167
115,2,1,1.1674,higher_baseline,8,0.85,0.7103,1.3333,1.001
116,2,0,0.3298,higher_baseline,6,0.4099,0.6679,0.7212,0.7359
117,2,1,-0.0257,lower_baseline,11,0.5728,0.8908,0.6844,0.7268
118,2,0,-0.3604,lower_baseline,10,0.2496,0.5815,0.2626,0.2237
119,2,1,-0.6718,lower_baseline,8,0.3061,0.722,0.0287,0.4243
120,2,0,1.0551,higher_baseline,9,0.5498,0.5303,0.844,0.4592
121,3,0,0.7362,higher_baseline,12,0.4123,0.5835,0.7824,0.6078
122,3,1,0.6209,higher_baseline,6,0.5653,0.7862,1.0734,0.8774
123,3,0,0.2649,higher_baseline,8,0.2895,0.5872,0.51,0.2369
124,3,1,1.1098,higher_baseline,12,0.7971,0.8859,1.1965,0.8814
125,3,0,-0.12,lower_baseline,7,0.1723,0.3472,0.1813,0.3676
126,3,1,0.7825,higher_baseline,12,0.6348,0.855,1.0298,0.7904
127,3,0,0.849,higher_baseline,13,0.6598,0.599,0.8177,0.7408
128,3,1,1.7647,higher_baseline,14,0.692,1.0991,1.8078,1.0052
129,3,0,0.2036,higher_baseline,15,0.3312,0.6285,0.4911,0.4283
130,3,1,0.241,higher_baseline,14,0.4713,0.9352,0.6192,0.4993
131,3,0,-2.1307,lower_baseline,10,0.1668,0.3226,-0.9192,-0.2784
132,3,1,-1.9546,lower_baseline,13,0.2761,0.5327,-0.6095,-0.0238
133,3,0,-1.0635,lower_baseline,11,0.1672,0.5463,-0.1638,-0.0627
134,3,1,-1.0979,lower_baseline,10,0.443,0.7601,-0.0562,0.2682
135,3,0,-1.1064,lower_baseline,12,0.1323,0.315,-0.4908,-0.08
136,3,1,-0.126,lower_baseline,12,0.2723,0.7186,0.4086,0.0438
137,3,0,-0.1417,lower_baseline,7,0.2847,0.2622,0.1858,0.1511
138,3,1,-0.041,lower_baseline,8,0.5248,0.6408,0.6097,0.5942
139,3,0,0.0598,higher_baseline,6,0.4551,0.3908,0.372,0.3864
140,3,1,1.4432,higher_baseline,10,0.7749,1.0952,1.5479,1.1407
141,3,0,1.846,higher_baseline,10,0.6957,0.8059,1.5315,1.0278
142,3,1,0.0713,higher_baseline,11,0.501,0.7747,0.6571,0.3711
143,3,0,0.5705,higher_baseline,16,0.45,0.4169,0.7513,0.5406
144,3,1,-0.3858,lower_baseline,12,0.679,0.7312,0.4316,0.4436
145,3,0,0.6644,higher_baseline,8,0.5304,0.6399,0.9872,0.6489
146,3,1,-0.9051,lower_baseline,8,0.321,0.6546,0.0439,0.0314
147,3,0,-0.6204,lower_baseline,15,0.2781,0.6113,0.1578,0.232
148,3,1,0.6405,higher_baseline,11,0.6663,0.9085,0.9829,0.4962
149,3,0,-0.2298,lower_baseline,7,0.4379,0.4954,0.1344,0.1726
150,3,1,0.3701,higher_baseline,11,0.9202,0.8738,1.0307,0.5025
151,3,0,0.5873,higher_baseline,8,0.2048,0.4263,0.729,0.515
152,3,1,1.8259,higher_baseline,15,0.7514,0.9381,1.6907,1.1861
153,3,0,-0.6275,lower_baseline,13,0.1801,0.6959,0.057,0.1633
154,3,1,-1.2197,lower_baseline,10,0.2655,0.5704,-0.2285,-0.0017
155,3,0,0.1546,higher_baseline,8,0.537,0.3407,0.4863,0.3393
156,3,1,-1.381,lower_baseline,14,0.4828,0.7008,-0.2642,-0.2993
157,3,0,0.5643,higher_baseline,13,0.6988,0.5396,0.7392,0.6843
158,3,1,-1.2446,lower_baseline,6,0.4413,0.6744,-0.3622,-0.0836
159,3,0,0.0292,higher_baseline,12,0.361,0.4678,0.2442,0.3269
160,3,1,0.6713,higher_baseline,8,0.8509,0.7246,1.1719,0.9531
161,3,0,0.1978,higher_baseline,6,0.2731,0.4691,0.3143,0.2144
162,3,1,1.7049,higher_baseline,7,0.9634,1.0225,1.8283,1.1217
163,3,0,-0.0811,lower_baseline,14,0.1662,0.5863,0.3156,0.3083
164,3,1,0.1024,higher_baseline,14,0.3701,0.7674,0.6933,0.621
165,3,0,0.4113,higher_baseline,10,0.5653,0.849,0.7596,0.5617
166,3,1,-0.4263,lower_baseline,10,0.4574,0.7714,0.3487,0.3497
167,3,0,0.2782,higher_baseline,12,0.4987,0.564,0.6638,0.3714
168,3,1,-0.0349,lower_baseline,14,0.6083,0.8453,0.7935,0.6831
169,3,0,0.1302,higher_baseline,6,0.5374,0.3614,0.5896,0.4488
170,3,1,0.3724,higher_baseline,10,0.8392,0.9226,1.0317,0.7203
171,3,0,-0.6917,lower_baseline,8,0.2608,0.4513,-0.2138,0.0701
172,3,1,-0.3707,lower_baseline,14,0.7535,0.9495,0.4261,0.5511
173,3,0,0.0428,higher_baseline,16,0.3076,0.802,0.5373,0.6374
174,3,1,0.0324,higher_baseline,15,0.5927,0.8238,0.5553,0.7651
175,3,0,-0.3522,lower_baseline,6,0.3612,0.3492,0.2335,0.3077
176,3,1,-0.2146,lower_baseline,11,0.4477,0.9289,0.41,0.4647
177,3,0,0.5585,higher_baseline,14,0.4141,0.7041,0.637,0.6395
178,3,1,0.6855,higher_baseline,16,0.6703,0.8449,0.8405,0.728
179,3,0,-0.4263,lower_baseline,9,0.401,0.463,0.1863,0.6042
180,3,1,-0.0343,lower_baseline,6,0.6089,0.717,0.6147,0.6828
181,4,1,0.5367,higher_baseline,8,0.5165,0.8611,0.9628,0.6534
182,4,0,0.1015,higher_baseline,6,0.6106,0.596,0.5383,0.5222
183,4,1,-0.0664,lower_baseline,12,0.5761,0.7883,0.4996,0.373
184,4,0,0.0952,higher_baseline,7,0.2493,0.5594,0.5937,0.4453
185,4,1,0.1629,higher_baseline,13,0.7033,0.905,1.0623,0.6371
186,4,0,0.2261,higher_baseline,14,0.4781,0.3734,0.5268,0.5828
187,4,1,0.5886,higher_baseline,11,0.915,0.7837,0.902,0.6002
188,4,0,-0.0732,lower_baseline,16,0.2957,0.6038,0.3594,0.4893
189,4,1,-0.1666,lower_baseline,8,0.7261,0.5744,0.5153,0.524
190,4,0,0.028,higher_baseline,9,0.4095,0.4773,0.3665,0.2995
191,4,1,1.1474,higher_baseline,9,0.7766,0.8497,1.1762,1.0738
192,4,0,0.1553,higher_baseline,11,0.5764,0.4836,0.5275,0.5723
193,4,1,0.3661,higher_baseline,12,0.6594,0.7647,0.8106,0.6946
194,4,0,1.1061,higher_baseline,15,0.4965,0.7365,0.9065,0.5648
195,4,1,-1.2275,lower_baseline,14,0.4184,0.7344,-0.4903,-0.2823
196,4,0,0.4678,higher_baseline,12,0.4129,0.5033,0.6028,0.4262
197,4,1,1.3093,higher_baseline,10,0.6,1.0125,1.103,0.6792
198,4,0,-0.3458,lower_baseline,10,0.4937,0.4238,0.126,0.3546
199,4,1,-0.5767,lower_baseline,8,0.3993,0.8133,0.2548,0.3469
200,4,0,-0.1667,lower_baseline,15,0.189,0.4817,0.1852,0.2563
201,4,1,-0.0659,lower_baseline,11,0.5203,0.8839,0.6137,0.6847
202,4,0,1.44,higher_baseline,12,0.7247,0.7505,1.14,0.817
203,4,1,-0.6382,lower_baseline,7,0.3555,0.7022,0.1872,0.3309
204,4,0,-1.0502,lower_baseline,8,0.2005,0.4148,-0.3061,0.1907
205,4,1,-0.4468,lower_baseline,8,0.5225,0.7741,0.4913,0.5364
206,4,0,-0.5795,lower_baseline,6,0.3246,0.6505,0.27,0.3032
207,4,1,-1.9177,lower_baseline,8,0.411,0.7477,-0.4673,-0.1354
208,4,0,0.4527,higher_baseline,14,0.2779,0.5768,0.7803,0.5316
209,4,1,0.4834,higher_baseline,8,0.4772,0.8406,0.8464,0.6675
210,4,0,-1.2589,lower_baseline,15,0.4793,0.5011,-0.2815,0.1046
211,4,1,0.0556,higher_baseline,7,0.6574,0.8878,0.8624,0.7778
212,4,0,-0.5777,lower_baseline,13,0.4241,0.5196,0.0357,0.1835
213,4,1,0.1343,higher_baseline,10,0.3999,0.8453,0.8332,0.6151
214,4,0,0.7532,higher_baseline,16,0.5845,0.5817,0.9759,0.7526
215,4,1,1.6807,higher_baseline,11,0.5202,1.1569,1.4373,1.0572
216,4,0,-0.0447,lower_baseline,10,0.1837,0.5412,0.2368,0.2817
217,4,1,-1.436,lower_baseline,9,0.4179,0.6209,-0.2599,-0.0198
218,4,0,-0.3319,lower_baseline,10,0.4554,0.5187,0.1554,0.1331
219,4,1,0.3433,higher_baseline,14,0.6895,0.7566,1.2102,0.9061
220,4,0,-0.1386,lower_baseline,15,0.2983,0.5896,0.3164,0.1938
221,4,1,0.4268,higher_baseline,10,0.6973,0.9519,0.7213,0.5495
222,4,0,-1.0516,lower_baseline,9,0.1552,0.3001,-0.3041,-0.3196
223,4,1,0.7141,higher_baseline,11,0.5969,0.729,1.0692,0.6365
224,4,0,1.4632,higher_baseline,13,0.456,0.8579,1.4365,0.9539
225,4,1,-0.952,lower_baseline,7,0.4451,0.8595,-0.06,0.0488
226,4,0,0.4856,higher_baseline,6,0.2686,0.512,0.7941,0.6494
227,4,1,-1.0277,lower_baseline,15,0.5358,0.6273,-0.1517,0.1351
228,4,0,1.1659,higher_baseline,11,0.6361,0.8823,1.0684,0.5386
229,4,1,0.9601,higher_baseline,12,0.5782,1.1799,1.3328,0.8896
230,4,0,-0.0982,lower_baseline,12,0.3953,0.3685,0.1468,0.3706
231,4,1,0.8753,higher_baseline,12,0.4668,0.8945,1.2289,0.9296
232,4,0,1.0833,higher_baseline,15,0.5562,0.8304,0.8886,0.4029
233,4,1,-0.1326,lower_baseline,15,0.4591,0.4724,0.7008,0.4171
234,4,0,-0.238,lower_baseline,7,0.3311,0.4555,0.217,0.357
235,4,1,1.6848,higher_baseline,11,1.1173,1.0593,1.7436,1.2723
236,4,0,-0.1352,lower_baseline,10,0.2216,0.4729,0.3424,0.103
237,4,1,0.181,higher_baseline,11,0.5172,0.7241,0.7557,0.4806
238,4,0,-0.6141,lower_baseline,14,0.3973,0.315,0.253,0.2609
239,4,1,-0.0896,lower_baseline,10,0.6057,0.7938,0.4199,0.3444
240,4,0,0.0714,higher_baseline,13,0.3625,0.6249,0.4875,0.4865
