worker_id,neighborhood_id,block_id,group,employer_id,industry,firm_quality,outside_observed_frame,skill_index,tenure_years,survey_response,missing_link_score,block_same_employer_contacts,block_peer_count,latent_local_employer_exposure,employed_next_year,wage,missing_link_risk
W063,N03,N03B03,A,E08,construction,0.0,0,0.782,0.4568,1,0.1231,0,5,0.0,1,18.78,low
W064,N03,N03B03,B,E10,logistics,0.3,1,0.2493,2.9605,1,0.3392,0,5,0.0,1,15.88,high
W065,N03,N03B03,A,E01,health,0.55,0,1.5318,2.1408,1,0.138,2,5,0.4,1,22.37,low
W066,N03,N03B03,A,E05,business,0.7,0,0.1759,3.05,1,0.0259,0,5,0.0,0,18.21,low
W067,N03,N03B04,A,E05,business,0.7,0,-0.1378,3.0942,1,0.1204,0,5,0.0,0,20.57,low
W068,N03,N03B04,B,E01,health,0.55,0,0.1511,1.4544,1,0.2002,0,5,0.0,1,16.95,medium
W069,N03,N03B04,A,E08,construction,0.0,0,-0.014,2.2423,0,0.1547,1,5,0.2,1,17.43,low
W070,N03,N03B04,A,E08,construction,0.0,0,-0.0539,2.9007,0,0.1667,1,5,0.2,0,17.57,medium
W071,N03,N03B04,B,E10,logistics,0.3,1,0.5641,2.5895,1,0.2909,1,5,0.2,0,19.69,high
W072,N03,N03B04,B,E10,logistics,0.3,1,1.3246,1.9782,1,0.3833,1,5,0.2,0,19.71,high
W073,N04,N04B01,A,E09,logistics,-0.1,1,-0.2872,1.1968,1,0.1846,0,5,0.0,0,14.66,medium
W074,N04,N04B01,B,E02,logistics,0.2,0,0.4687,0.2031,1,0.2444,1,5,0.2,0,17.97,medium
W075,N04,N04B01,B,E07,hospitality,-0.25,0,-0.0806,1.7729,1,0.1825,1,5,0.2,1,16.38,medium
W076,N04,N04B01,A,E03,manufacturing,0.1,0,-0.2552,2.218,1,0.089,0,5,0.0,0,18.0,low
W077,N04,N04B01,B,E07,hospitality,-0.25,0,0.5555,2.2261,1,0.2611,1,5,0.2,0,17.39,medium
W078,N04,N04B01,B,E02,logistics,0.2,0,0.7822,3.2179,0,0.299,1,5,0.2,1,20.11,high
W079,N04,N04B02,B,E09,logistics,-0.1,1,-0.2202,3.5165,0,0.4871,1,5,0.2,0,14.83,high
W080,N04,N04B02,B,E09,logistics,-0.1,1,-0.1151,1.367,0,0.4527,1,5,0.2,1,14.19,high
W081,N04,N04B02,B,E02,logistics,0.2,0,0.327,1.6208,1,0.2153,1,5,0.2,1,15.49,medium
W082,N04,N04B02,A,E07,hospitality,-0.25,0,0.4784,3.0575,0,0.2365,0,5,0.0,1,15.65,medium
W083,N04,N04B02,B,E02,logistics,0.2,0,0.361,2.7368,0,0.2993,1,5,0.2,0,15.69,high
W084,N04,N04B02,B,E03,manufacturing,0.1,0,-0.3985,1.9349,1,0.2235,0,5,0.0,1,16.8,medium
W085,N04,N04B03,A,E07,hospitality,-0.25,0,-0.9355,3.7349,0,0.2229,0,5,0.0,0,13.07,medium
W086,N04,N04B03,A,E03,manufacturing,0.1,0,0.0263,2.0972,1,0.0977,4,5,0.8,1,17.83,low
W087,N04,N04B03,A,E03,manufacturing,0.1,0,-0.047,4.0426,1,0.1165,4,5,0.8,0,20.1,low
W088,N04,N04B03,B,E03,manufacturing,0.1,0,-0.6635,3.4337,0,0.348,4,5,0.8,1,16.32,high
W089,N04,N04B03,B,E03,manufacturing,0.1,0,-0.2875,0.2881,0,0.324,4,5,0.8,1,17.24,high
W090,N04,N04B03,A,E03,manufacturing,0.1,0,0.2431,4.2292,1,0.1095,4,5,0.8,1,20.68,low
W091,N04,N04B04,B,E03,manufacturing,0.1,0,1.1066,2.9143,1,0.2135,1,5,0.2,1,19.08,medium
W092,N04,N04B04,B,E09,logistics,-0.1,1,1.4156,2.756,1,0.3055,1,5,0.2,0,19.71,high
W093,N04,N04B04,A,E07,hospitality,-0.25,0,-0.5318,4.5921,1,0.0516,1,5,0.2,0,14.34,low
W094,N04,N04B04,B,E07,hospitality,-0.25,0,-0.4559,3.4675,1,0.2262,1,5,0.2,1,14.46,medium
W095,N04,N04B04,B,E09,logistics,-0.1,1,0.1292,3.2141,1,0.3333,1,5,0.2,0,15.39,high
W096,N04,N04B04,A,E03,manufacturing,0.1,0,1.53,0.4858,1,0.148,1,5,0.2,0,20.08,low
W097,N05,N05B01,A,E05,business,0.7,0,2.6034,2.4699,0,0.2266,1,5,0.2,1,27.48,medium
W098,N05,N05B01,A,E06,public,0.35,0,0.4098,1.5747,0,0.2041,2,5,0.4,1,20.23,medium
W099,N05,N05B01,B,E06,public,0.35,0,0.0449,3.5016,1,0.2173,2,5,0.4,0,18.98,medium
W100,N05,N05B01,A,E01,health,0.55,0,1.0108,0.3756,1,0.0765,0,5,0.0,0,23.15,low
W101,N05,N05B01,A,E06,public,0.35,0,-0.0607,2.4358,1,0.1116,2,5,0.4,1,17.84,low
W102,N05,N05B01,A,E05,business,0.7,0,0.5489,1.6834,0,0.2282,1,5,0.2,1,20.73,medium
W103,N05,N05B02,A,E01,health,0.55,0,0.0476,1.3092,1,0.0809,0,5,0.0,0,17.06,low
W104,N05,N05B02,B,E06,public,0.35,0,-0.5924,2.424,1,0.2318,1,5,0.2,0,18.89,medium
W105,N05,N05B02,B,E04,retail,-0.2,0,-0.7034,1.6673,1,0.1816,0,5,0.0,0,13.85,medium
W106,N05,N05B02,A,E05,business,0.7,0,1.3174,1.8585,0,0.2176,1,5,0.2,1,22.86,medium
W107,N05,N05B02,B,E05,business,0.7,0,0.5118,4.0058,1,0.1913,1,5,0.2,1,20.01,medium
W108,N05,N05B02,A,E06,public,0.35,0,0.0124,4.234,1,0.1886,1,5,0.2,0,17.07,medium
W109,N05,N05B03,A,E04,retail,-0.2,0,-0.144,1.4081,0,0.2687,1,5,0.2,0,15.37,medium
W110,N05,N05B03,B,E05,business,0.7,0,-0.1831,3.402,1,0.198,1,5,0.2,0,21.2,medium
W111,N05,N05B03,B,E01,health,0.55,0,-0.1738,0.3687,0,0.3602,1,5,0.2,0,16.46,high
W112,N05,N05B03,A,E04,retail,-0.2,0,1.9067,0.7737,1,0.0771,1,5,0.2,1,22.8,low
W113,N05,N05B03,A,E05,business,0.7,0,0.4688,1.4791,1,0.1029,1,5,0.2,0,19.65,low
W114,N05,N05B03,A,E01,health,0.55,0,-0.1681,1.1261,1,0.1109,1,5,0.2,0,18.5,low
W115,N05,N05B04,B,E04,retail,-0.2,0,-0.8865,1.791,0,0.3036,2,5,0.4,0,14.14,high
W116,N05,N05B04,B,E05,business,0.7,0,-0.0408,3.4489,0,0.2839,1,5,0.2,0,18.64,high
W117,N05,N05B04,A,E05,business,0.7,0,0.1796,1.4923,1,0.1072,1,5,0.2,1,20.28,low
W118,N05,N05B04,B,E06,public,0.35,0,-0.2305,0.286,1,0.1923,0,5,0.0,0,17.25,medium
W119,N05,N05B04,B,E04,retail,-0.2,0,1.1794,1.5145,1,0.2179,2,5,0.4,1,19.37,medium
W120,N05,N05B04,B,E04,retail,-0.2,0,-1.2535,0.4735,0,0.3549,2,5,0.4,0,12.46,high
W121,N06,N06B01,A,E07,hospitality,-0.25,0,-0.4759,1.4385,1,0.0779,2,5,0.4,1,15.71,low
W122,N06,N06B01,A,E10,logistics,0.3,1,-1.575,1.5158,0,0.3049,1,5,0.2,0,16.48,high
W123,N06,N06B01,A,E08,construction,0.0,0,-0.2698,0.5258,1,0.0925,0,5,0.0,1,15.75,low
W124,N06,N06B01,B,E10,logistics,0.3,1,1.7334,3.36,0,0.3868,1,5,0.2,1,21.82,high
W125,N06,N06B01,A,E07,hospitality,-0.25,0,1.0352,1.648,0,0.2196,2,5,0.4,1,17.43,medium
W126,N06,N06B01,B,E07,hospitality,-0.25,0,0.4685,0.6889,1,0.1603,2,5,0.4,1,17.01,medium
W127,N06,N06B02,B,E10,logistics,0.3,1,-1.5714,2.6556,1,0.3225,0,5,0.0,0,12.62,high
W128,N06,N06B02,A,E02,logistics,0.2,0,1.8012,0.4193,1,0.02,1,5,0.2,1,23.25,low
W129,N06,N06B02,B,E02,logistics,0.2,0,1.2362,0.3894,1,0.2018,1,5,0.2,0,18.25,medium
W130,N06,N06B02,A,E08,construction,0.0,0,-0.3007,2.7185,1,0.0881,1,5,0.2,0,17.99,low
W131,N06,N06B02,B,E08,construction,0.0,0,0.9193,0.794,0,0.3549,1,5,0.2,0,22.27,high
W132,N06,N06B02,A,E07,hospitality,-0.25,0,0.5563,0.9236,1,0.1037,0,5,0.0,1,17.81,low
W133,N06,N06B03,A,E08,construction,0.0,0,-1.7444,2.0274,1,0.0823,1,5,0.2,1,11.84,low
W134,N06,N06B03,A,E07,hospitality,-0.25,0,0.4578,0.5165,1,0.0991,1,5,0.2,0,16.1,low
W135,N06,N06B03,B,E08,construction,0.0,0,-0.4148,2.5987,0,0.3325,1,5,0.2,0,15.16,high
W136,N06,N06B03,A,E07,hospitality,-0.25,0,1.3876,1.1539,0,0.2063,1,5,0.2,1,21.42,medium
W137,N06,N06B03,B,E02,logistics,0.2,0,-0.4257,0.866,1,0.187,1,5,0.2,0,14.77,medium
W138,N06,N06B03,B,E02,logistics,0.2,0,0.5077,0.8059,1,0.1236,1,5,0.2,0,20.17,low
W139,N06,N06B04,B,E07,hospitality,-0.25,0,-0.2151,0.1536,0,0.2818,2,5,0.4,1,13.54,high
W140,N06,N06B04,B,E02,logistics,0.2,0,-1.7158,2.5931,1,0.1834,0,5,0.0,0,11.55,medium
W141,N06,N06B04,B,E07,hospitality,-0.25,0,0.0423,1.0508,1,0.1519,2,5,0.4,1,16.2,low
W142,N06,N06B04,A,E10,logistics,0.3,1,0.0922,0.7983,1,0.2181,0,5,0.0,0,17.5,medium
W143,N06,N06B04,B,E07,hospitality,-0.25,0,1.0331,0.9944,1,0.179,2,5,0.4,0,17.24,medium
W144,N06,N06B04,A,E08,construction,0.0,0,-1.2851,3.2256,1,0.1589,0,5,0.0,1,12.84,low
