worker_id,establishment_id,sector,won_recognition,incumbent_worker,skill_index,pre_wage_index,post_wage_index,wage_change,separated_within_two_years,grievance_channel_index
est-008-w07,est-008,manufacturing,0,1,0.439,1.111,1.133,0.022,0,0.294
est-008-w08,est-008,manufacturing,0,0,0.489,1.126,1.138,0.012,0,0.294
est-008-w09,est-008,manufacturing,0,0,0.539,1.141,1.153,0.012,0,0.294
est-008-w10,est-008,manufacturing,0,0,0.589,1.12,1.132,0.012,0,0.294
est-009-w01,est-009,hospital,1,1,0.386,1.174,1.215,0.041,0,0.726
est-009-w02,est-009,hospital,1,1,0.436,1.189,1.23,0.041,1,0.726
est-009-w03,est-009,hospital,1,1,0.486,1.204,1.245,0.041,0,0.726
est-009-w04,est-009,hospital,1,1,0.536,1.183,1.224,0.041,0,0.726
est-009-w05,est-009,hospital,1,1,0.586,1.198,1.239,0.041,0,0.726
est-009-w06,est-009,hospital,1,1,0.386,1.198,1.239,0.041,0,0.726
est-009-w07,est-009,hospital,1,1,0.436,1.177,1.218,0.041,0,0.726
est-009-w08,est-009,hospital,1,0,0.486,1.192,1.223,0.031,0,0.726
est-009-w09,est-009,hospital,1,0,0.536,1.207,1.238,0.031,0,0.726
est-009-w10,est-009,hospital,1,0,0.586,1.186,1.217,0.031,1,0.726
est-010-w01,est-010,warehouse,1,1,0.381,1.082,1.121,0.039,0,0.708
est-010-w02,est-010,warehouse,1,1,0.431,1.097,1.136,0.039,0,0.708
est-010-w03,est-010,warehouse,1,1,0.481,1.112,1.151,0.039,1,0.708
est-010-w04,est-010,warehouse,1,1,0.531,1.091,1.13,0.039,0,0.708
est-010-w05,est-010,warehouse,1,1,0.581,1.106,1.145,0.039,0,0.708
est-010-w06,est-010,warehouse,1,1,0.381,1.106,1.145,0.039,0,0.708
est-010-w07,est-010,warehouse,1,1,0.431,1.085,1.124,0.039,0,0.708
est-010-w08,est-010,warehouse,1,0,0.481,1.1,1.129,0.029,1,0.708
est-010-w09,est-010,warehouse,1,0,0.531,1.115,1.144,0.029,0,0.708
est-010-w10,est-010,warehouse,1,0,0.581,1.094,1.123,0.029,0,0.708
est-011-w01,est-011,hotel,0,1,0.374,0.984,1.006,0.022,1,0.295
est-011-w02,est-011,hotel,0,1,0.424,0.999,1.021,0.022,0,0.295
est-011-w03,est-011,hotel,0,1,0.474,1.014,1.036,0.022,0,0.295
est-011-w04,est-011,hotel,0,1,0.524,0.993,1.015,0.022,1,0.295
est-011-w05,est-011,hotel,0,1,0.574,1.008,1.03,0.022,0,0.295
est-011-w06,est-011,hotel,0,1,0.374,1.008,1.03,0.022,0,0.295
est-011-w07,est-011,hotel,0,1,0.424,0.987,1.009,0.022,0,0.295
est-011-w08,est-011,hotel,0,0,0.474,1.002,1.014,0.012,0,0.295
est-011-w09,est-011,hotel,0,0,0.524,1.017,1.029,0.012,1,0.295
est-011-w10,est-011,hotel,0,0,0.574,0.996,1.008,0.012,0,0.295
est-012-w01,est-012,food_processing,0,1,0.365,1.026,1.049,0.023,0,0.304
est-012-w02,est-012,food_processing,0,1,0.415,1.041,1.064,0.023,1,0.304
est-012-w03,est-012,food_processing,0,1,0.465,1.056,1.079,0.023,0,0.304
est-012-w04,est-012,food_processing,0,1,0.515,1.035,1.058,0.023,0,0.304
est-012-w05,est-012,food_processing,0,1,0.565,1.05,1.073,0.023,0,0.304
est-012-w06,est-012,food_processing,0,1,0.365,1.05,1.073,0.023,0,0.304
est-012-w07,est-012,food_processing,0,1,0.415,1.029,1.052,0.023,1,0.304
est-012-w08,est-012,food_processing,0,0,0.465,1.044,1.057,0.013,0,0.304
est-012-w09,est-012,food_processing,0,0,0.515,1.059,1.072,0.013,0,0.304
est-012-w10,est-012,food_processing,0,0,0.565,1.038,1.051,0.013,1,0.304
est-013-w01,est-013,nursing_home,1,1,0.356,0.959,1.0,0.041,0,0.73
est-013-w02,est-013,nursing_home,1,1,0.406,0.974,1.015,0.041,0,0.73
est-013-w03,est-013,nursing_home,1,1,0.456,0.989,1.03,0.041,0,0.73
est-013-w04,est-013,nursing_home,1,1,0.506,0.968,1.009,0.041,0,0.73
est-013-w05,est-013,nursing_home,1,1,0.556,0.983,1.024,0.041,0,0.73
est-013-w06,est-013,nursing_home,1,1,0.356,0.983,1.024,0.041,0,0.73
est-013-w07,est-013,nursing_home,1,1,0.406,0.962,1.003,0.041,0,0.73
est-013-w08,est-013,nursing_home,1,0,0.456,0.977,1.008,0.031,1,0.73
est-013-w09,est-013,nursing_home,1,0,0.506,0.992,1.023,0.031,0,0.73
est-013-w10,est-013,nursing_home,1,0,0.556,0.971,1.002,0.031,0,0.73
est-014-w01,est-014,retail,0,1,0.346,0.93,0.951,0.021,1,0.276
est-014-w02,est-014,retail,0,1,0.396,0.945,0.966,0.021,0,0.276
est-014-w03,est-014,retail,0,1,0.446,0.96,0.981,0.021,0,0.276
est-014-w04,est-014,retail,0,1,0.496,0.939,0.96,0.021,0,0.276
est-014-w05,est-014,retail,0,1,0.546,0.954,0.975,0.021,0,0.276
est-014-w06,est-014,retail,0,1,0.346,0.954,0.975,0.021,1,0.276
est-014-w07,est-014,retail,0,1,0.396,0.933,0.954,0.021,0,0.276
est-014-w08,est-014,retail,0,0,0.446,0.948,0.959,0.011,0,0.276
est-014-w09,est-014,retail,0,0,0.496,0.963,0.974,0.011,1,0.276
est-014-w10,est-014,retail,0,0,0.546,0.942,0.953,0.011,0,0.276
est-015-w01,est-015,transport,0,1,0.336,1.11,1.132,0.022,0,0.295
est-015-w02,est-015,transport,0,1,0.386,1.125,1.147,0.022,0,0.295
est-015-w03,est-015,transport,0,1,0.436,1.14,1.162,0.022,0,0.295
est-015-w04,est-015,transport,0,1,0.486,1.119,1.141,0.022,1,0.295
est-015-w05,est-015,transport,0,1,0.536,1.134,1.156,0.022,0,0.295
est-015-w06,est-015,transport,0,1,0.336,1.134,1.156,0.022,0,0.295
est-015-w07,est-015,transport,0,1,0.386,1.113,1.135,0.022,1,0.295
est-015-w08,est-015,transport,0,0,0.436,1.128,1.14,0.012,0,0.295
est-015-w09,est-015,transport,0,0,0.486,1.143,1.155,0.012,0,0.295
est-015-w10,est-015,transport,0,0,0.536,1.122,1.134,0.012,1,0.295
est-016-w01,est-016,manufacturing,1,1,0.327,1.125,1.164,0.04,0,0.707
est-016-w02,est-016,manufacturing,1,1,0.377,1.14,1.179,0.04,0,0.707
est-016-w03,est-016,manufacturing,1,1,0.427,1.155,1.194,0.04,0,0.707
est-016-w04,est-016,manufacturing,1,1,0.477,1.134,1.173,0.04,0,0.707
est-016-w05,est-016,manufacturing,1,1,0.527,1.149,1.188,0.04,1,0.707
est-016-w06,est-016,manufacturing,1,1,0.327,1.149,1.188,0.04,0,0.707
est-016-w07,est-016,manufacturing,1,1,0.377,1.128,1.167,0.04,0,0.707
est-016-w08,est-016,manufacturing,1,0,0.427,1.143,1.172,0.03,1,0.707
est-016-w09,est-016,manufacturing,1,0,0.477,1.158,1.187,0.03,0,0.707
est-016-w10,est-016,manufacturing,1,0,0.527,1.137,1.166,0.03,0,0.707
est-017-w01,est-017,hospital,1,1,0.32,1.191,1.232,0.041,0,0.721
est-017-w02,est-017,hospital,1,1,0.37,1.206,1.247,0.041,0,0.721
est-017-w03,est-017,hospital,1,1,0.42,1.221,1.262,0.041,1,0.721
est-017-w04,est-017,hospital,1,1,0.47,1.2,1.241,0.041,0,0.721
est-017-w05,est-017,hospital,1,1,0.52,1.215,1.256,0.041,0,0.721
est-017-w06,est-017,hospital,1,1,0.32,1.215,1.256,0.041,0,0.721
est-017-w07,est-017,hospital,1,1,0.37,1.194,1.235,0.041,0,0.721
est-017-w08,est-017,hospital,1,0,0.42,1.209,1.24,0.031,0,0.721
est-017-w09,est-017,hospital,1,0,0.47,1.224,1.255,0.031,0,0.721
est-017-w10,est-017,hospital,1,0,0.52,1.203,1.234,0.031,0,0.721
est-018-w01,est-018,warehouse,0,1,0.314,1.099,1.12,0.022,1,0.286
est-018-w02,est-018,warehouse,0,1,0.364,1.114,1.135,0.022,0,0.286
est-018-w03,est-018,warehouse,0,1,0.414,1.129,1.15,0.022,0,0.286
est-018-w04,est-018,warehouse,0,1,0.464,1.108,1.129,0.022,1,0.286
est-018-w05,est-018,warehouse,0,1,0.514,1.123,1.144,0.022,0,0.286
est-018-w06,est-018,warehouse,0,1,0.314,1.123,1.144,0.022,0,0.286
est-018-w07,est-018,warehouse,0,1,0.364,1.102,1.123,0.022,0,0.286
est-018-w08,est-018,warehouse,0,0,0.414,1.117,1.128,0.012,0,0.286
est-018-w09,est-018,warehouse,0,0,0.464,1.132,1.143,0.012,0,0.286
est-018-w10,est-018,warehouse,0,0,0.514,1.111,1.122,0.012,0,0.286
est-019-w01,est-019,hotel,0,1,0.311,1.003,1.025,0.022,0,0.297
est-019-w02,est-019,hotel,0,1,0.361,1.018,1.04,0.022,1,0.297
est-019-w03,est-019,hotel,0,1,0.411,1.033,1.055,0.022,0,0.297
est-019-w04,est-019,hotel,0,1,0.461,1.012,1.034,0.022,0,0.297
est-019-w05,est-019,hotel,0,1,0.511,1.027,1.049,0.022,1,0.297
est-019-w06,est-019,hotel,0,1,0.311,1.027,1.049,0.022,0,0.297
est-019-w07,est-019,hotel,0,1,0.361,1.006,1.028,0.022,0,0.297
est-019-w08,est-019,hotel,0,0,0.411,1.021,1.033,0.012,0,0.297
est-019-w09,est-019,hotel,0,0,0.461,1.036,1.048,0.012,0,0.297
est-019-w10,est-019,hotel,0,0,0.511,1.015,1.027,0.012,1,0.297
est-020-w01,est-020,food_processing,1,1,0.31,1.045,1.086,0.041,0,0.73
est-020-w02,est-020,food_processing,1,1,0.36,1.06,1.101,0.041,0,0.73
est-020-w03,est-020,food_processing,1,1,0.41,1.075,1.116,0.041,1,0.73
est-020-w04,est-020,food_processing,1,1,0.46,1.054,1.095,0.041,0,0.73
est-020-w05,est-020,food_processing,1,1,0.51,1.069,1.11,0.041,0,0.73
est-020-w06,est-020,food_processing,1,1,0.31,1.069,1.11,0.041,0,0.73
est-020-w07,est-020,food_processing,1,1,0.36,1.048,1.089,0.041,0,0.73
est-020-w08,est-020,food_processing,1,0,0.41,1.063,1.094,0.031,1,0.73
est-020-w09,est-020,food_processing,1,0,0.46,1.078,1.109,0.031,0,0.73
est-020-w10,est-020,food_processing,1,0,0.51,1.057,1.088,0.031,0,0.73
est-021-w01,est-021,nursing_home,1,1,0.312,0.979,1.02,0.042,1,0.739
est-021-w02,est-021,nursing_home,1,1,0.362,0.994,1.035,0.042,0,0.739
est-021-w03,est-021,nursing_home,1,1,0.412,1.009,1.05,0.042,0,0.739
est-021-w04,est-021,nursing_home,1,1,0.462,0.988,1.029,0.042,0,0.739
est-021-w05,est-021,nursing_home,1,1,0.512,1.003,1.044,0.042,0,0.739
est-021-w06,est-021,nursing_home,1,1,0.312,1.003,1.044,0.042,0,0.739
est-021-w07,est-021,nursing_home,1,1,0.362,0.982,1.023,0.042,0,0.739
est-021-w08,est-021,nursing_home,1,0,0.412,0.997,1.028,0.032,0,0.739
est-021-w09,est-021,nursing_home,1,0,0.462,1.012,1.043,0.032,1,0.739
est-021-w10,est-021,nursing_home,1,0,0.512,0.991,1.022,0.032,0,0.739
est-022-w01,est-022,retail,0,1,0.316,0.95,0.971,0.021,0,0.289
est-022-w02,est-022,retail,0,1,0.366,0.965,0.986,0.021,1,0.289
est-022-w03,est-022,retail,0,1,0.416,0.98,1.001,0.021,0,0.289
est-022-w04,est-022,retail,0,1,0.466,0.959,0.98,0.021,0,0.289
est-022-w05,est-022,retail,0,1,0.516,0.974,0.995,0.021,0,0.289
est-022-w06,est-022,retail,0,1,0.316,0.974,0.995,0.021,0,0.289
est-022-w07,est-022,retail,0,1,0.366,0.953,0.974,0.021,1,0.289
est-022-w08,est-022,retail,0,0,0.416,0.968,0.979,0.011,0,0.289
est-022-w09,est-022,retail,0,0,0.466,0.983,0.994,0.011,0,0.289
est-022-w10,est-022,retail,0,0,0.516,0.962,0.973,0.011,1,0.289
est-023-w01,est-023,transport,1,1,0.322,1.132,1.173,0.041,0,0.73
est-023-w02,est-023,transport,1,1,0.372,1.147,1.188,0.041,0,0.73
est-023-w03,est-023,transport,1,1,0.422,1.162,1.203,0.041,0,0.73
est-023-w04,est-023,transport,1,1,0.472,1.141,1.182,0.041,0,0.73
est-023-w05,est-023,transport,1,1,0.522,1.156,1.197,0.041,0,0.73
est-023-w06,est-023,transport,1,1,0.322,1.156,1.197,0.041,0,0.73
est-023-w07,est-023,transport,1,1,0.372,1.135,1.176,0.041,0,0.73
est-023-w08,est-023,transport,1,0,0.422,1.15,1.181,0.031,1,0.73
est-023-w09,est-023,transport,1,0,0.472,1.165,1.196,0.031,0,0.73
est-023-w10,est-023,transport,1,0,0.522,1.144,1.175,0.031,0,0.73
est-024-w01,est-024,manufacturing,1,1,0.33,1.147,1.187,0.04,0,0.722
est-024-w02,est-024,manufacturing,1,1,0.38,1.162,1.202,0.04,0,0.722
est-024-w03,est-024,manufacturing,1,1,0.43,1.177,1.217,0.04,0,0.722
est-024-w04,est-024,manufacturing,1,1,0.48,1.156,1.196,0.04,0,0.722
est-024-w05,est-024,manufacturing,1,1,0.53,1.171,1.211,0.04,0,0.722
est-024-w06,est-024,manufacturing,1,1,0.33,1.171,1.211,0.04,1,0.722
est-024-w07,est-024,manufacturing,1,1,0.38,1.15,1.19,0.04,0,0.722
est-024-w08,est-024,manufacturing,1,0,0.43,1.165,1.195,0.03,0,0.722
est-024-w09,est-024,manufacturing,1,0,0.48,1.18,1.21,0.03,1,0.722
est-024-w10,est-024,manufacturing,1,0,0.53,1.159,1.189,0.03,0,0.722
est-025-w01,est-025,hospital,1,1,0.339,1.214,1.256,0.041,0,0.735
est-025-w02,est-025,hospital,1,1,0.389,1.229,1.271,0.041,0,0.735
est-025-w03,est-025,hospital,1,1,0.439,1.244,1.286,0.041,0,0.735
est-025-w04,est-025,hospital,1,1,0.489,1.223,1.265,0.041,1,0.735
est-025-w05,est-025,hospital,1,1,0.539,1.238,1.28,0.041,0,0.735
est-025-w06,est-025,hospital,1,1,0.339,1.238,1.28,0.041,0,0.735
est-025-w07,est-025,hospital,1,1,0.389,1.217,1.259,0.041,1,0.735
est-025-w08,est-025,hospital,1,0,0.439,1.232,1.264,0.031,0,0.735
est-025-w09,est-025,hospital,1,0,0.489,1.247,1.279,0.031,0,0.735
est-025-w10,est-025,hospital,1,0,0.539,1.226,1.258,0.031,0,0.735
est-026-w01,est-026,warehouse,0,1,0.349,1.123,1.145,0.022,0,0.298
est-026-w02,est-026,warehouse,0,1,0.399,1.138,1.16,0.022,0,0.298
est-026-w03,est-026,warehouse,0,1,0.449,1.153,1.175,0.022,0,0.298
est-026-w04,est-026,warehouse,0,1,0.499,1.132,1.154,0.022,0,0.298
est-026-w05,est-026,warehouse,0,1,0.549,1.147,1.169,0.022,1,0.298
est-026-w06,est-026,warehouse,0,1,0.349,1.147,1.169,0.022,0,0.298
est-026-w07,est-026,warehouse,0,1,0.399,1.126,1.148,0.022,0,0.298
est-026-w08,est-026,warehouse,0,0,0.449,1.141,1.153,0.012,1,0.298
est-026-w09,est-026,warehouse,0,0,0.499,1.156,1.168,0.012,0,0.298
est-026-w10,est-026,warehouse,0,0,0.549,1.135,1.147,0.012,0,0.298
est-027-w01,est-027,hotel,1,1,0.359,1.026,1.066,0.041,0,0.726
est-027-w02,est-027,hotel,1,1,0.409,1.041,1.081,0.041,0,0.726
est-027-w03,est-027,hotel,1,1,0.459,1.056,1.096,0.041,1,0.726
est-027-w04,est-027,hotel,1,1,0.509,1.035,1.075,0.041,0,0.726
est-027-w05,est-027,hotel,1,1,0.559,1.05,1.09,0.041,0,0.726
est-027-w06,est-027,hotel,1,1,0.359,1.05,1.09,0.041,1,0.726
est-027-w07,est-027,hotel,1,1,0.409,1.029,1.069,0.041,0,0.726
est-027-w08,est-027,hotel,1,0,0.459,1.044,1.074,0.031,0,0.726
est-027-w09,est-027,hotel,1,0,0.509,1.059,1.089,0.031,0,0.726
est-027-w10,est-027,hotel,1,0,0.559,1.038,1.068,0.031,0,0.726
est-028-w01,est-028,food_processing,1,1,0.368,1.068,1.109,0.041,1,0.735
est-028-w02,est-028,food_processing,1,1,0.418,1.083,1.124,0.041,0,0.735
est-028-w03,est-028,food_processing,1,1,0.468,1.098,1.139,0.041,0,0.735
est-028-w04,est-028,food_processing,1,1,0.518,1.077,1.118,0.041,1,0.735
est-028-w05,est-028,food_processing,1,1,0.568,1.092,1.133,0.041,0,0.735
est-028-w06,est-028,food_processing,1,1,0.368,1.092,1.133,0.041,0,0.735
est-028-w07,est-028,food_processing,1,1,0.418,1.071,1.112,0.041,0,0.735
est-028-w08,est-028,food_processing,1,0,0.468,1.086,1.117,0.031,0,0.735
est-028-w09,est-028,food_processing,1,0,0.518,1.101,1.132,0.031,0,0.735
est-028-w10,est-028,food_processing,1,0,0.568,1.08,1.111,0.031,0,0.735
est-029-w01,est-029,nursing_home,1,1,0.376,1.003,1.044,0.041,0,0.74
est-029-w02,est-029,nursing_home,1,1,0.426,1.018,1.059,0.041,1,0.74
est-029-w03,est-029,nursing_home,1,1,0.476,1.033,1.074,0.041,0,0.74
est-029-w04,est-029,nursing_home,1,1,0.526,1.012,1.053,0.041,0,0.74
est-029-w05,est-029,nursing_home,1,1,0.576,1.027,1.068,0.041,0,0.74
est-029-w06,est-029,nursing_home,1,1,0.376,1.027,1.068,0.041,0,0.74
est-029-w07,est-029,nursing_home,1,1,0.426,1.006,1.047,0.041,0,0.74
est-029-w08,est-029,nursing_home,1,0,0.476,1.021,1.052,0.031,0,0.74
est-029-w09,est-029,nursing_home,1,0,0.526,1.036,1.067,0.031,0,0.74
est-029-w10,est-029,nursing_home,1,0,0.576,1.015,1.046,0.031,1,0.74
est-030-w01,est-030,retail,0,1,0.383,0.973,0.994,0.021,0,0.286
est-030-w02,est-030,retail,0,1,0.433,0.988,1.009,0.021,0,0.286
est-030-w03,est-030,retail,0,1,0.483,1.003,1.024,0.021,1,0.286
est-030-w04,est-030,retail,0,1,0.533,0.982,1.003,0.021,0,0.286
est-030-w05,est-030,retail,0,1,0.583,0.997,1.018,0.021,0,0.286
est-030-w06,est-030,retail,0,1,0.383,0.997,1.018,0.021,0,0.286
est-030-w07,est-030,retail,0,1,0.433,0.976,0.997,0.021,0,0.286
est-030-w08,est-030,retail,0,0,0.483,0.991,1.002,0.011,1,0.286
est-030-w09,est-030,retail,0,0,0.533,1.006,1.017,0.011,0,0.286
est-030-w10,est-030,retail,0,0,0.583,0.985,0.996,0.011,0,0.286
est-031-w01,est-031,transport,1,1,0.388,1.154,1.195,0.04,1,0.724
est-031-w02,est-031,transport,1,1,0.438,1.169,1.21,0.04,0,0.724
est-031-w03,est-031,transport,1,1,0.488,1.184,1.225,0.04,0,0.724
est-031-w04,est-031,transport,1,1,0.538,1.163,1.204,0.04,0,0.724
est-031-w05,est-031,transport,1,1,0.588,1.178,1.219,0.04,0,0.724
est-031-w06,est-031,transport,1,1,0.388,1.178,1.219,0.04,0,0.724
est-031-w07,est-031,transport,1,1,0.438,1.157,1.198,0.04,0,0.724
est-031-w08,est-031,transport,1,0,0.488,1.172,1.203,0.03,0,0.724
est-031-w09,est-031,transport,1,0,0.538,1.187,1.218,0.03,1,0.724
est-031-w10,est-031,transport,1,0,0.588,1.166,1.197,0.03,0,0.724
est-032-w01,est-032,manufacturing,1,1,0.39,1.168,1.208,0.04,0,0.713
est-032-w02,est-032,manufacturing,1,1,0.44,1.183,1.223,0.04,0,0.713
est-032-w03,est-032,manufacturing,1,1,0.49,1.198,1.238,0.04,0,0.713
est-032-w04,est-032,manufacturing,1,1,0.54,1.177,1.217,0.04,0,0.713
est-032-w05,est-032,manufacturing,1,1,0.59,1.192,1.232,0.04,0,0.713
est-032-w06,est-032,manufacturing,1,1,0.39,1.192,1.232,0.04,0,0.713
est-032-w07,est-032,manufacturing,1,1,0.44,1.171,1.211,0.04,1,0.713
est-032-w08,est-032,manufacturing,1,0,0.49,1.186,1.216,0.03,0,0.713
est-032-w09,est-032,manufacturing,1,0,0.54,1.201,1.231,0.03,0,0.713
est-032-w10,est-032,manufacturing,1,0,0.59,1.18,1.21,0.03,1,0.713
est-033-w01,est-033,hospital,0,1,0.39,1.234,1.257,0.023,0,0.306
est-033-w02,est-033,hospital,0,1,0.44,1.249,1.272,0.023,0,0.306
est-033-w03,est-033,hospital,0,1,0.49,1.264,1.287,0.023,0,0.306
est-033-w04,est-033,hospital,0,1,0.54,1.243,1.266,0.023,0,0.306
est-033-w05,est-033,hospital,0,1,0.59,1.258,1.281,0.023,0,0.306
est-033-w06,est-033,hospital,0,1,0.39,1.258,1.281,0.023,0,0.306
est-033-w07,est-033,hospital,0,1,0.44,1.237,1.26,0.023,0,0.306
est-033-w08,est-033,hospital,0,0,0.49,1.252,1.265,0.013,1,0.306
est-033-w09,est-033,hospital,0,0,0.54,1.267,1.28,0.013,0,0.306
est-033-w10,est-033,hospital,0,0,0.59,1.246,1.259,0.013,0,0.306
est-034-w01,est-034,warehouse,0,1,0.387,1.142,1.164,0.021,1,0.289
est-034-w02,est-034,warehouse,0,1,0.437,1.157,1.179,0.021,0,0.289
est-034-w03,est-034,warehouse,0,1,0.487,1.172,1.194,0.021,0,0.289
est-034-w04,est-034,warehouse,0,1,0.537,1.151,1.173,0.021,0,0.289
