worker_id,network_group,informal_insurance_index,network_job_share,community_obligation_index,urban_wage_offer_ratio,urban_job_access_index,migrated_to_city,took_network_job
midd-018,middle_network_insurance,0.508,0.335,0.36,1.255,0.52,0,0
midd-019,middle_network_insurance,0.516,0.345,0.372,1.27,0.53,1,0
midd-020,middle_network_insurance,0.524,0.315,0.384,1.21,0.54,0,1
midd-021,middle_network_insurance,0.532,0.325,0.396,1.225,0.48,0,0
midd-022,middle_network_insurance,0.54,0.335,0.408,1.24,0.49,1,0
midd-023,middle_network_insurance,0.548,0.345,0.42,1.255,0.5,0,1
midd-024,middle_network_insurance,0.492,0.315,0.36,1.27,0.51,0,0
midd-025,middle_network_insurance,0.5,0.325,0.372,1.21,0.52,1,1
midd-026,middle_network_insurance,0.508,0.335,0.384,1.225,0.53,0,0
midd-027,middle_network_insurance,0.516,0.345,0.396,1.24,0.54,1,0
midd-028,middle_network_insurance,0.524,0.315,0.408,1.255,0.48,0,1
midd-029,middle_network_insurance,0.532,0.325,0.42,1.27,0.49,0,0
midd-030,middle_network_insurance,0.54,0.335,0.36,1.21,0.5,1,0
midd-031,middle_network_insurance,0.548,0.345,0.372,1.225,0.51,0,1
midd-032,middle_network_insurance,0.492,0.315,0.384,1.24,0.52,0,0
midd-033,middle_network_insurance,0.5,0.325,0.396,1.255,0.53,1,1
midd-034,middle_network_insurance,0.508,0.335,0.408,1.27,0.54,0,0
midd-035,middle_network_insurance,0.516,0.345,0.42,1.21,0.48,1,0
midd-036,middle_network_insurance,0.524,0.315,0.36,1.225,0.49,1,1
midd-037,middle_network_insurance,0.532,0.325,0.372,1.24,0.5,0,0
midd-038,middle_network_insurance,0.54,0.335,0.384,1.255,0.51,1,0
midd-039,middle_network_insurance,0.548,0.345,0.396,1.27,0.52,0,1
midd-040,middle_network_insurance,0.492,0.315,0.408,1.21,0.53,0,0
midd-041,middle_network_insurance,0.5,0.325,0.42,1.225,0.54,1,0
midd-042,middle_network_insurance,0.508,0.335,0.36,1.24,0.48,0,0
midd-043,middle_network_insurance,0.516,0.345,0.372,1.255,0.49,1,0
midd-044,middle_network_insurance,0.524,0.315,0.384,1.27,0.5,1,1
midd-045,middle_network_insurance,0.532,0.325,0.396,1.21,0.51,0,0
midd-046,middle_network_insurance,0.54,0.335,0.408,1.225,0.52,1,0
midd-047,middle_network_insurance,0.548,0.345,0.42,1.24,0.53,0,1
midd-048,middle_network_insurance,0.492,0.315,0.36,1.255,0.54,0,0
midd-049,middle_network_insurance,0.5,0.325,0.372,1.27,0.48,1,0
midd-050,middle_network_insurance,0.508,0.335,0.384,1.21,0.49,0,1
midd-051,middle_network_insurance,0.516,0.345,0.396,1.225,0.5,0,0
midd-052,middle_network_insurance,0.524,0.315,0.408,1.24,0.51,1,1
midd-053,middle_network_insurance,0.532,0.325,0.42,1.255,0.52,0,0
midd-054,middle_network_insurance,0.54,0.335,0.36,1.27,0.53,1,0
midd-055,middle_network_insurance,0.548,0.345,0.372,1.21,0.54,0,1
midd-056,middle_network_insurance,0.492,0.315,0.384,1.225,0.48,0,0
midd-057,middle_network_insurance,0.5,0.325,0.396,1.24,0.49,1,0
midd-058,middle_network_insurance,0.508,0.335,0.408,1.255,0.5,0,1
midd-059,middle_network_insurance,0.516,0.345,0.42,1.27,0.51,0,0
midd-060,middle_network_insurance,0.524,0.315,0.36,1.21,0.52,1,1
midd-061,middle_network_insurance,0.532,0.325,0.372,1.225,0.53,0,0
midd-062,middle_network_insurance,0.54,0.335,0.384,1.24,0.54,1,0
midd-063,middle_network_insurance,0.548,0.345,0.396,1.255,0.48,1,1
midd-064,middle_network_insurance,0.492,0.315,0.408,1.27,0.49,0,0
midd-065,middle_network_insurance,0.5,0.325,0.42,1.21,0.5,1,0
midd-066,middle_network_insurance,0.508,0.335,0.36,1.225,0.51,0,1
midd-067,middle_network_insurance,0.516,0.345,0.372,1.24,0.52,0,0
midd-068,middle_network_insurance,0.524,0.315,0.384,1.255,0.53,1,0
midd-069,middle_network_insurance,0.532,0.325,0.396,1.27,0.54,0,0
midd-070,middle_network_insurance,0.54,0.335,0.408,1.21,0.48,1,0
midd-071,middle_network_insurance,0.548,0.345,0.42,1.225,0.49,1,1
midd-072,middle_network_insurance,0.492,0.315,0.36,1.24,0.5,0,0
midd-073,middle_network_insurance,0.5,0.325,0.372,1.255,0.51,1,0
midd-074,middle_network_insurance,0.508,0.335,0.384,1.27,0.52,0,1
midd-075,middle_network_insurance,0.516,0.345,0.396,1.21,0.53,0,0
midd-076,middle_network_insurance,0.524,0.315,0.408,1.225,0.54,1,0
midd-077,middle_network_insurance,0.532,0.325,0.42,1.24,0.48,0,1
midd-078,middle_network_insurance,0.54,0.335,0.36,1.255,0.49,0,0
midd-079,middle_network_insurance,0.548,0.345,0.372,1.27,0.5,1,1
stro-000,strong_network_insurance,0.752,0.525,0.49,1.15,0.41,1,0
stro-001,strong_network_insurance,0.76,0.535,0.502,1.165,0.42,0,1
stro-002,strong_network_insurance,0.768,0.545,0.514,1.18,0.43,0,0
stro-003,strong_network_insurance,0.776,0.555,0.526,1.195,0.44,1,0
stro-004,strong_network_insurance,0.784,0.525,0.538,1.21,0.45,0,1
stro-005,strong_network_insurance,0.792,0.535,0.55,1.15,0.46,0,0
stro-006,strong_network_insurance,0.8,0.545,0.49,1.165,0.47,0,1
stro-007,strong_network_insurance,0.808,0.555,0.502,1.18,0.41,0,1
stro-008,strong_network_insurance,0.752,0.525,0.514,1.195,0.42,1,0
stro-009,strong_network_insurance,0.76,0.535,0.526,1.21,0.43,0,1
stro-010,strong_network_insurance,0.768,0.545,0.538,1.15,0.44,0,1
stro-011,strong_network_insurance,0.776,0.555,0.55,1.165,0.45,1,0
stro-012,strong_network_insurance,0.784,0.525,0.49,1.18,0.46,0,1
stro-013,strong_network_insurance,0.792,0.535,0.502,1.195,0.47,0,0
stro-014,strong_network_insurance,0.8,0.545,0.514,1.21,0.41,1,0
stro-015,strong_network_insurance,0.808,0.555,0.526,1.15,0.42,0,1
stro-016,strong_network_insurance,0.752,0.525,0.538,1.165,0.43,1,0
stro-017,strong_network_insurance,0.76,0.535,0.55,1.18,0.44,0,1
stro-018,strong_network_insurance,0.768,0.545,0.49,1.195,0.45,0,1
stro-019,strong_network_insurance,0.776,0.555,0.502,1.21,0.46,1,0
stro-020,strong_network_insurance,0.784,0.525,0.514,1.15,0.47,0,1
stro-021,strong_network_insurance,0.792,0.535,0.526,1.165,0.41,0,0
stro-022,strong_network_insurance,0.8,0.545,0.538,1.18,0.42,1,0
stro-023,strong_network_insurance,0.808,0.555,0.55,1.195,0.43,0,1
stro-024,strong_network_insurance,0.752,0.525,0.49,1.21,0.44,0,0
stro-025,strong_network_insurance,0.76,0.535,0.502,1.15,0.45,0,1
stro-026,strong_network_insurance,0.768,0.545,0.514,1.165,0.46,0,1
stro-027,strong_network_insurance,0.776,0.555,0.526,1.18,0.47,1,0
stro-028,strong_network_insurance,0.784,0.525,0.538,1.195,0.41,0,1
stro-029,strong_network_insurance,0.792,0.535,0.55,1.21,0.42,0,0
stro-030,strong_network_insurance,0.8,0.545,0.49,1.15,0.43,1,0
stro-031,strong_network_insurance,0.808,0.555,0.502,1.165,0.44,0,1
stro-032,strong_network_insurance,0.752,0.525,0.514,1.18,0.45,0,0
stro-033,strong_network_insurance,0.76,0.535,0.526,1.195,0.46,0,1
stro-034,strong_network_insurance,0.768,0.545,0.538,1.21,0.47,0,1
stro-035,strong_network_insurance,0.776,0.555,0.55,1.15,0.41,1,0
stro-036,strong_network_insurance,0.784,0.525,0.49,1.165,0.42,0,1
stro-037,strong_network_insurance,0.792,0.535,0.502,1.18,0.43,0,1
stro-038,strong_network_insurance,0.8,0.545,0.514,1.195,0.44,1,0
stro-039,strong_network_insurance,0.808,0.555,0.526,1.21,0.45,0,1
stro-040,strong_network_insurance,0.752,0.525,0.538,1.15,0.46,0,0
stro-041,strong_network_insurance,0.76,0.535,0.55,1.165,0.47,1,0
stro-042,strong_network_insurance,0.768,0.545,0.49,1.18,0.41,0,1
stro-043,strong_network_insurance,0.776,0.555,0.502,1.195,0.42,1,0
stro-044,strong_network_insurance,0.784,0.525,0.514,1.21,0.43,0,1
stro-045,strong_network_insurance,0.792,0.535,0.526,1.15,0.44,0,1
stro-046,strong_network_insurance,0.8,0.545,0.538,1.165,0.45,1,0
stro-047,strong_network_insurance,0.808,0.555,0.55,1.18,0.46,0,1
stro-048,strong_network_insurance,0.752,0.525,0.49,1.195,0.47,0,0
stro-049,strong_network_insurance,0.76,0.535,0.502,1.21,0.41,1,0
stro-050,strong_network_insurance,0.768,0.545,0.514,1.15,0.42,0,1
stro-051,strong_network_insurance,0.776,0.555,0.526,1.165,0.43,0,0
stro-052,strong_network_insurance,0.784,0.525,0.538,1.18,0.44,0,1
stro-053,strong_network_insurance,0.792,0.535,0.55,1.195,0.45,0,1
stro-054,strong_network_insurance,0.8,0.545,0.49,1.21,0.46,1,0
stro-055,strong_network_insurance,0.808,0.555,0.502,1.15,0.47,0,1
stro-056,strong_network_insurance,0.752,0.525,0.514,1.165,0.41,0,1
stro-057,strong_network_insurance,0.76,0.535,0.526,1.18,0.42,1,0
stro-058,strong_network_insurance,0.768,0.545,0.538,1.195,0.43,0,1
stro-059,strong_network_insurance,0.776,0.555,0.55,1.21,0.44,0,0
stro-060,strong_network_insurance,0.784,0.525,0.49,1.15,0.45,0,1
stro-061,strong_network_insurance,0.792,0.535,0.502,1.165,0.46,0,1
stro-062,strong_network_insurance,0.8,0.545,0.514,1.18,0.47,1,0
stro-063,strong_network_insurance,0.808,0.555,0.526,1.195,0.41,0,1
stro-064,strong_network_insurance,0.752,0.525,0.538,1.21,0.42,0,1
stro-065,strong_network_insurance,0.76,0.535,0.55,1.15,0.43,1,0
stro-066,strong_network_insurance,0.768,0.545,0.49,1.165,0.44,0,1
stro-067,strong_network_insurance,0.776,0.555,0.502,1.18,0.45,0,0
stro-068,strong_network_insurance,0.784,0.525,0.514,1.195,0.46,1,0
stro-069,strong_network_insurance,0.792,0.535,0.526,1.21,0.47,0,1
stro-070,strong_network_insurance,0.8,0.545,0.538,1.15,0.41,1,0
stro-071,strong_network_insurance,0.808,0.555,0.55,1.165,0.42,0,1
stro-072,strong_network_insurance,0.752,0.525,0.49,1.18,0.43,0,1
stro-073,strong_network_insurance,0.76,0.535,0.502,1.195,0.44,1,0
stro-074,strong_network_insurance,0.768,0.545,0.514,1.21,0.45,0,1
stro-075,strong_network_insurance,0.776,0.555,0.526,1.15,0.46,0,0
stro-076,strong_network_insurance,0.784,0.525,0.538,1.165,0.47,1,0
stro-077,strong_network_insurance,0.792,0.535,0.55,1.18,0.41,0,1
stro-078,strong_network_insurance,0.8,0.545,0.49,1.195,0.42,0,0
stro-079,strong_network_insurance,0.808,0.555,0.502,1.21,0.43,0,1
