worker_id,year,local_knowledge,schedule_letter,letter_active,exposure_count,hourly_wage,true_net_return,perceived_net_return,knowledge_gap,annual_hours,annual_earnings
worker-008,2,0,1,1,2,21.1,0.615,0.53,0.085,1226.0,25868.6
worker-008,3,0,1,1,3,21.1,0.615,0.565,0.05,1230.6,25965.66
worker-008,4,0,1,1,4,21.1,0.615,0.6,0.015,1235.2,26062.72
worker-009,1,0,0,0,0,17.5,0.65,0.48,0.17,1218.0,21315.0
worker-009,2,0,0,0,1,17.5,0.65,0.515,0.135,1222.6,21395.5
worker-009,3,0,0,0,2,17.5,0.65,0.55,0.1,1227.2,21476.0
worker-009,4,0,0,0,3,17.5,0.65,0.585,0.065,1231.8,21556.5
worker-010,1,0,0,0,0,17.95,0.685,0.515,0.17,1262.6,22663.67
worker-010,2,0,0,0,1,17.95,0.685,0.55,0.135,1267.2,22746.24
worker-010,3,0,0,0,2,17.95,0.685,0.585,0.1,1271.8,22828.81
worker-010,4,0,0,0,3,17.95,0.685,0.62,0.065,1276.4,22911.38
worker-011,1,0,0,0,0,18.4,0.72,0.55,0.17,1307.2,24052.48
worker-011,2,0,0,0,1,18.4,0.72,0.585,0.135,1311.8,24137.12
worker-011,3,0,0,0,2,18.4,0.72,0.62,0.1,1316.4,24221.76
worker-011,4,0,0,0,3,18.4,0.72,0.655,0.065,1321.0,24306.4
worker-012,1,1,1,0,1,18.85,0.755,0.62,0.135,1334.4,25153.44
worker-012,2,1,1,1,3,18.85,0.755,0.705,0.05,1357.0,25579.45
worker-012,3,1,1,1,4,18.85,0.755,0.74,0.015,1361.6,25666.16
worker-012,4,1,1,1,5,18.85,0.755,0.745,0.01,1355.4,25549.29
worker-013,1,1,0,0,1,19.3,0.79,0.655,0.135,1379.0,26614.7
worker-013,2,1,0,0,2,19.3,0.79,0.69,0.1,1383.6,26703.48
worker-013,3,1,0,0,3,19.3,0.79,0.725,0.065,1388.2,26792.26
worker-013,4,1,0,0,4,19.3,0.79,0.76,0.03,1392.8,26881.04
worker-014,1,0,0,0,0,19.75,0.58,0.41,0.17,1322.8,26125.3
worker-014,2,0,0,0,1,19.75,0.58,0.445,0.135,1327.4,26216.15
worker-014,3,0,0,0,2,19.75,0.58,0.48,0.1,1332.0,26307.0
worker-014,4,0,0,0,3,19.75,0.58,0.515,0.065,1336.6,26397.85
worker-015,1,0,0,0,0,20.2,0.615,0.445,0.17,1337.4,27015.48
worker-015,2,0,0,0,1,20.2,0.615,0.48,0.135,1342.0,27108.4
worker-015,3,0,0,0,2,20.2,0.615,0.515,0.1,1346.6,27201.32
worker-015,4,0,0,0,3,20.2,0.615,0.55,0.065,1351.2,27294.24
worker-016,1,0,1,0,0,20.65,0.65,0.48,0.17,1206.0,24903.9
worker-016,2,0,1,1,2,20.65,0.65,0.565,0.085,1228.6,25370.59
worker-016,3,0,1,1,3,20.65,0.65,0.6,0.05,1233.2,25465.58
worker-016,4,0,1,1,4,20.65,0.65,0.635,0.015,1237.8,25560.57
worker-017,1,0,0,0,0,21.1,0.685,0.515,0.17,1250.6,26387.66
worker-017,2,0,0,0,1,21.1,0.685,0.55,0.135,1255.2,26484.72
worker-017,3,0,0,0,2,21.1,0.685,0.585,0.1,1259.8,26581.78
worker-017,4,0,0,0,3,21.1,0.685,0.62,0.065,1264.4,26678.84
worker-018,1,1,0,0,1,17.5,0.72,0.585,0.135,1277.8,22361.5
worker-018,2,1,0,0,2,17.5,0.72,0.62,0.1,1282.4,22442.0
worker-018,3,1,0,0,3,17.5,0.72,0.655,0.065,1287.0,22522.5
worker-018,4,1,0,0,4,17.5,0.72,0.69,0.03,1291.6,22603.0
worker-019,1,1,0,0,1,17.95,0.755,0.62,0.135,1322.4,23737.08
worker-019,2,1,0,0,2,17.95,0.755,0.655,0.1,1327.0,23819.65
worker-019,3,1,0,0,3,17.95,0.755,0.69,0.065,1331.6,23902.22
worker-019,4,1,0,0,4,17.95,0.755,0.725,0.03,1336.2,23984.79
worker-020,1,0,1,0,0,18.4,0.79,0.62,0.17,1354.4,24920.96
worker-020,2,0,1,1,2,18.4,0.79,0.705,0.085,1377.0,25336.8
worker-020,3,0,1,1,3,18.4,0.79,0.74,0.05,1381.6,25421.44
worker-020,4,0,1,1,4,18.4,0.79,0.775,0.015,1386.2,25506.08
worker-021,1,0,0,0,0,18.85,0.58,0.41,0.17,1280.8,24143.08
worker-021,2,0,0,0,1,18.85,0.58,0.445,0.135,1285.4,24229.79
worker-021,3,0,0,0,2,18.85,0.58,0.48,0.1,1290.0,24316.5
worker-021,4,0,0,0,3,18.85,0.58,0.515,0.065,1294.6,24403.21
worker-022,1,0,0,0,0,19.3,0.615,0.445,0.17,1325.4,25580.22
worker-022,2,0,0,0,1,19.3,0.615,0.48,0.135,1330.0,25669.0
worker-022,3,0,0,0,2,19.3,0.615,0.515,0.1,1334.6,25757.78
worker-022,4,0,0,0,3,19.3,0.615,0.55,0.065,1339.2,25846.56
worker-023,1,0,0,0,0,19.75,0.65,0.48,0.17,1370.0,27057.5
worker-023,2,0,0,0,1,19.75,0.65,0.515,0.135,1374.6,27148.35
worker-023,3,0,0,0,2,19.75,0.65,0.55,0.1,1379.2,27239.2
worker-023,4,0,0,0,3,19.75,0.65,0.585,0.065,1383.8,27330.05
worker-024,1,1,1,0,1,20.2,0.685,0.55,0.135,1221.2,24668.24
worker-024,2,1,1,1,3,20.2,0.685,0.635,0.05,1243.8,25124.76
worker-024,3,1,1,1,4,20.2,0.685,0.67,0.015,1248.4,25217.68
worker-024,4,1,1,1,5,20.2,0.685,0.675,0.01,1242.2,25092.44
worker-025,1,1,0,0,1,20.65,0.72,0.585,0.135,1265.8,26138.77
worker-025,2,1,0,0,2,20.65,0.72,0.62,0.1,1270.4,26233.76
worker-025,3,1,0,0,3,20.65,0.72,0.655,0.065,1275.0,26328.75
worker-025,4,1,0,0,4,20.65,0.72,0.69,0.03,1279.6,26423.74
worker-026,1,0,0,0,0,21.1,0.755,0.585,0.17,1297.8,27383.58
worker-026,2,0,0,0,1,21.1,0.755,0.62,0.135,1302.4,27480.64
worker-026,3,0,0,0,2,21.1,0.755,0.655,0.1,1307.0,27577.7
worker-026,4,0,0,0,3,21.1,0.755,0.69,0.065,1311.6,27674.76
worker-027,1,0,0,0,0,17.5,0.79,0.62,0.17,1312.4,22967.0
worker-027,2,0,0,0,1,17.5,0.79,0.655,0.135,1317.0,23047.5
worker-027,3,0,0,0,2,17.5,0.79,0.69,0.1,1321.6,23128.0
worker-027,4,0,0,0,3,17.5,0.79,0.725,0.065,1326.2,23208.5
worker-028,1,0,1,0,0,17.95,0.58,0.41,0.17,1268.8,22774.96
worker-028,2,0,1,1,2,17.95,0.58,0.495,0.085,1291.4,23180.63
worker-028,3,0,1,1,3,17.95,0.58,0.53,0.05,1296.0,23263.2
worker-028,4,0,1,1,4,17.95,0.58,0.565,0.015,1300.6,23345.77
worker-029,1,0,0,0,0,18.4,0.615,0.445,0.17,1313.4,24166.56
worker-029,2,0,0,0,1,18.4,0.615,0.48,0.135,1318.0,24251.2
worker-029,3,0,0,0,2,18.4,0.615,0.515,0.1,1322.6,24335.84
worker-029,4,0,0,0,3,18.4,0.615,0.55,0.065,1327.2,24420.48
worker-030,1,1,0,0,1,18.85,0.65,0.515,0.135,1340.6,25270.31
worker-030,2,1,0,0,2,18.85,0.65,0.55,0.1,1345.2,25357.02
worker-030,3,1,0,0,3,18.85,0.65,0.585,0.065,1349.8,25443.73
worker-030,4,1,0,0,4,18.85,0.65,0.62,0.03,1354.4,25530.44
worker-031,1,1,0,0,1,19.3,0.685,0.55,0.135,1385.2,26734.36
worker-031,2,1,0,0,2,19.3,0.685,0.585,0.1,1389.8,26823.14
worker-031,3,1,0,0,3,19.3,0.685,0.62,0.065,1394.4,26911.92
worker-031,4,1,0,0,4,19.3,0.685,0.655,0.03,1399.0,27000.7
worker-032,1,0,1,0,0,19.75,0.72,0.55,0.17,1241.2,24513.7
worker-032,2,0,1,1,2,19.75,0.72,0.635,0.085,1263.8,24960.05
worker-032,3,0,1,1,3,19.75,0.72,0.67,0.05,1268.4,25050.9
worker-032,4,0,1,1,4,19.75,0.72,0.705,0.015,1273.0,25141.75
worker-033,1,0,0,0,0,20.2,0.755,0.585,0.17,1255.8,25367.16
worker-033,2,0,0,0,1,20.2,0.755,0.62,0.135,1260.4,25460.08
worker-033,3,0,0,0,2,20.2,0.755,0.655,0.1,1265.0,25553.0
worker-033,4,0,0,0,3,20.2,0.755,0.69,0.065,1269.6,25645.92
worker-034,1,0,0,0,0,20.65,0.79,0.62,0.17,1300.4,26853.26
worker-034,2,0,0,0,1,20.65,0.79,0.655,0.135,1305.0,26948.25
worker-034,3,0,0,0,2,20.65,0.79,0.69,0.1,1309.6,27043.24
worker-034,4,0,0,0,3,20.65,0.79,0.725,0.065,1314.2,27138.23
worker-035,1,0,0,0,0,21.1,0.58,0.41,0.17,1256.8,26518.48
worker-035,2,0,0,0,1,21.1,0.58,0.445,0.135,1261.4,26615.54
worker-035,3,0,0,0,2,21.1,0.58,0.48,0.1,1266.0,26712.6
worker-035,4,0,0,0,3,21.1,0.58,0.515,0.065,1270.6,26809.66
worker-036,1,1,1,0,1,17.5,0.615,0.48,0.135,1284.0,22470.0
worker-036,2,1,1,1,3,17.5,0.615,0.565,0.05,1306.6,22865.5
worker-036,3,1,1,1,4,17.5,0.615,0.6,0.015,1311.2,22946.0
worker-036,4,1,1,1,5,17.5,0.615,0.605,0.01,1305.0,22837.5
worker-037,1,1,0,0,1,17.95,0.65,0.515,0.135,1328.6,23848.37
worker-037,2,1,0,0,2,17.95,0.65,0.55,0.1,1333.2,23930.94
worker-037,3,1,0,0,3,17.95,0.65,0.585,0.065,1337.8,24013.51
worker-037,4,1,0,0,4,17.95,0.65,0.62,0.03,1342.4,24096.08
worker-038,1,0,0,0,0,18.4,0.685,0.515,0.17,1360.6,25035.04
worker-038,2,0,0,0,1,18.4,0.685,0.55,0.135,1365.2,25119.68
worker-038,3,0,0,0,2,18.4,0.685,0.585,0.1,1369.8,25204.32
worker-038,4,0,0,0,3,18.4,0.685,0.62,0.065,1374.4,25288.96
worker-039,1,0,0,0,0,18.85,0.72,0.55,0.17,1375.2,25922.52
worker-039,2,0,0,0,1,18.85,0.72,0.585,0.135,1379.8,26009.23
worker-039,3,0,0,0,2,18.85,0.72,0.62,0.1,1384.4,26095.94
worker-039,4,0,0,0,3,18.85,0.72,0.655,0.065,1389.0,26182.65
worker-040,1,0,1,0,0,19.3,0.755,0.585,0.17,1243.8,24005.34
worker-040,2,0,1,1,2,19.3,0.755,0.67,0.085,1266.4,24441.52
worker-040,3,0,1,1,3,19.3,0.755,0.705,0.05,1271.0,24530.3
worker-040,4,0,1,1,4,19.3,0.755,0.74,0.015,1275.6,24619.08
worker-041,1,0,0,0,0,19.75,0.79,0.62,0.17,1288.4,25445.9
worker-041,2,0,0,0,1,19.75,0.79,0.655,0.135,1293.0,25536.75
worker-041,3,0,0,0,2,19.75,0.79,0.69,0.1,1297.6,25627.6
worker-041,4,0,0,0,3,19.75,0.79,0.725,0.065,1302.2,25718.45
worker-042,1,1,0,0,1,20.2,0.58,0.445,0.135,1227.4,24793.48
worker-042,2,1,0,0,2,20.2,0.58,0.48,0.1,1232.0,24886.4
worker-042,3,1,0,0,3,20.2,0.58,0.515,0.065,1236.6,24979.32
worker-042,4,1,0,0,4,20.2,0.58,0.55,0.03,1241.2,25072.24
worker-043,1,1,0,0,1,20.65,0.615,0.48,0.135,1272.0,26266.8
worker-043,2,1,0,0,2,20.65,0.615,0.515,0.1,1276.6,26361.79
worker-043,3,1,0,0,3,20.65,0.615,0.55,0.065,1281.2,26456.78
worker-043,4,1,0,0,4,20.65,0.615,0.585,0.03,1285.8,26551.77
worker-044,1,0,1,0,0,21.1,0.65,0.48,0.17,1304.0,27514.4
worker-044,2,0,1,1,2,21.1,0.65,0.565,0.085,1326.6,27991.26
worker-044,3,0,1,1,3,21.1,0.65,0.6,0.05,1331.2,28088.32
worker-044,4,0,1,1,4,21.1,0.65,0.635,0.015,1335.8,28185.38
worker-045,1,0,0,0,0,17.5,0.685,0.515,0.17,1318.6,23075.5
worker-045,2,0,0,0,1,17.5,0.685,0.55,0.135,1323.2,23156.0
worker-045,3,0,0,0,2,17.5,0.685,0.585,0.1,1327.8,23236.5
worker-045,4,0,0,0,3,17.5,0.685,0.62,0.065,1332.4,23317.0
worker-046,1,0,0,0,0,17.95,0.72,0.55,0.17,1363.2,24469.44
worker-046,2,0,0,0,1,17.95,0.72,0.585,0.135,1367.8,24552.01
worker-046,3,0,0,0,2,17.95,0.72,0.62,0.1,1372.4,24634.58
worker-046,4,0,0,0,3,17.95,0.72,0.655,0.065,1377.0,24717.15
worker-047,1,0,0,0,0,18.4,0.755,0.585,0.17,1407.8,25903.52
worker-047,2,0,0,0,1,18.4,0.755,0.62,0.135,1412.4,25988.16
worker-047,3,0,0,0,2,18.4,0.755,0.655,0.1,1417.0,26072.8
worker-047,4,0,0,0,3,18.4,0.755,0.69,0.065,1421.6,26157.44
worker-048,1,1,1,0,1,18.85,0.79,0.655,0.135,1259.0,23732.15
worker-048,2,1,1,1,3,18.85,0.79,0.74,0.05,1281.6,24158.16
worker-048,3,1,1,1,4,18.85,0.79,0.775,0.015,1286.2,24244.87
worker-048,4,1,1,1,5,18.85,0.79,0.78,0.01,1280.0,24128.0
worker-049,1,1,0,0,1,19.3,0.58,0.445,0.135,1215.4,23457.22
worker-049,2,1,0,0,2,19.3,0.58,0.48,0.1,1220.0,23546.0
worker-049,3,1,0,0,3,19.3,0.58,0.515,0.065,1224.6,23634.78
worker-049,4,1,0,0,4,19.3,0.58,0.55,0.03,1229.2,23723.56
worker-050,1,0,0,0,0,19.75,0.615,0.445,0.17,1247.4,24636.15
worker-050,2,0,0,0,1,19.75,0.615,0.48,0.135,1252.0,24727.0
worker-050,3,0,0,0,2,19.75,0.615,0.515,0.1,1256.6,24817.85
worker-050,4,0,0,0,3,19.75,0.615,0.55,0.065,1261.2,24908.7
worker-051,1,0,0,0,0,20.2,0.65,0.48,0.17,1262.0,25492.4
worker-051,2,0,0,0,1,20.2,0.65,0.515,0.135,1266.6,25585.32
worker-051,3,0,0,0,2,20.2,0.65,0.55,0.1,1271.2,25678.24
worker-051,4,0,0,0,3,20.2,0.65,0.585,0.065,1275.8,25771.16
worker-052,1,0,1,0,0,20.65,0.685,0.515,0.17,1306.6,26981.29
worker-052,2,0,1,1,2,20.65,0.685,0.6,0.085,1329.2,27447.98
worker-052,3,0,1,1,3,20.65,0.685,0.635,0.05,1333.8,27542.97
worker-052,4,0,1,1,4,20.65,0.685,0.67,0.015,1338.4,27637.96
worker-053,1,0,0,0,0,21.1,0.72,0.55,0.17,1351.2,28510.32
worker-053,2,0,0,0,1,21.1,0.72,0.585,0.135,1355.8,28607.38
worker-053,3,0,0,0,2,21.1,0.72,0.62,0.1,1360.4,28704.44
worker-053,4,0,0,0,3,21.1,0.72,0.655,0.065,1365.0,28801.5
worker-054,1,1,0,0,1,17.5,0.755,0.62,0.135,1378.4,24122.0
worker-054,2,1,0,0,2,17.5,0.755,0.655,0.1,1383.0,24202.5
worker-054,3,1,0,0,3,17.5,0.755,0.69,0.065,1387.6,24283.0
worker-054,4,1,0,0,4,17.5,0.755,0.725,0.03,1392.2,24363.5
worker-055,1,1,0,0,1,17.95,0.79,0.655,0.135,1423.0,25542.85
worker-055,2,1,0,0,2,17.95,0.79,0.69,0.1,1427.6,25625.42
worker-055,3,1,0,0,3,17.95,0.79,0.725,0.065,1432.2,25707.99
worker-055,4,1,0,0,4,17.95,0.79,0.76,0.03,1436.8,25790.56
worker-056,1,0,1,0,0,18.4,0.58,0.41,0.17,1190.8,21910.72
worker-056,2,0,1,1,2,18.4,0.58,0.495,0.085,1213.4,22326.56
worker-056,3,0,1,1,3,18.4,0.58,0.53,0.05,1218.0,22411.2
worker-056,4,0,1,1,4,18.4,0.58,0.565,0.015,1222.6,22495.84
worker-057,1,0,0,0,0,18.85,0.615,0.445,0.17,1205.4,22721.79
worker-057,2,0,0,0,1,18.85,0.615,0.48,0.135,1210.0,22808.5
worker-057,3,0,0,0,2,18.85,0.615,0.515,0.1,1214.6,22895.21
worker-057,4,0,0,0,3,18.85,0.615,0.55,0.065,1219.2,22981.92
worker-058,1,0,0,0,0,19.3,0.65,0.48,0.17,1250.0,24125.0
worker-058,2,0,0,0,1,19.3,0.65,0.515,0.135,1254.6,24213.78
worker-058,3,0,0,0,2,19.3,0.65,0.55,0.1,1259.2,24302.56
worker-058,4,0,0,0,3,19.3,0.65,0.585,0.065,1263.8,24391.34
worker-059,1,0,0,0,0,19.75,0.685,0.515,0.17,1294.6,25568.35
worker-059,2,0,0,0,1,19.75,0.685,0.55,0.135,1299.2,25659.2
worker-059,3,0,0,0,2,19.75,0.685,0.585,0.1,1303.8,25750.05
worker-059,4,0,0,0,3,19.75,0.685,0.62,0.065,1308.4,25840.9
worker-060,1,1,1,0,1,20.2,0.72,0.585,0.135,1321.8,26700.36
worker-060,2,1,1,1,3,20.2,0.72,0.67,0.05,1344.4,27156.88
worker-060,3,1,1,1,4,20.2,0.72,0.705,0.015,1349.0,27249.8
worker-060,4,1,1,1,5,20.2,0.72,0.71,0.01,1342.8,27124.56
worker-061,1,1,0,0,1,20.65,0.755,0.62,0.135,1366.4,28216.16
worker-061,2,1,0,0,2,20.65,0.755,0.655,0.1,1371.0,28311.15
worker-061,3,1,0,0,3,20.65,0.755,0.69,0.065,1375.6,28406.14
worker-061,4,1,0,0,4,20.65,0.755,0.725,0.03,1380.2,28501.13
worker-062,1,0,0,0,0,21.1,0.79,0.62,0.17,1398.4,29506.24
worker-062,2,0,0,0,1,21.1,0.79,0.655,0.135,1403.0,29603.3
worker-062,3,0,0,0,2,21.1,0.79,0.69,0.1,1407.6,29700.36
worker-062,4,0,0,0,3,21.1,0.79,0.725,0.065,1412.2,29797.42
worker-063,1,0,0,0,0,17.5,0.58,0.41,0.17,1324.8,23184.0
worker-063,2,0,0,0,1,17.5,0.58,0.445,0.135,1329.4,23264.5
worker-063,3,0,0,0,2,17.5,0.58,0.48,0.1,1334.0,23345.0
worker-063,4,0,0,0,3,17.5,0.58,0.515,0.065,1338.6,23425.5
worker-064,1,0,1,0,0,17.95,0.615,0.445,0.17,1193.4,21421.53
worker-064,2,0,1,1,2,17.95,0.615,0.53,0.085,1216.0,21827.2
worker-064,3,0,1,1,3,17.95,0.615,0.565,0.05,1220.6,21909.77
worker-064,4,0,1,1,4,17.95,0.615,0.6,0.015,1225.2,21992.34
worker-065,1,0,0,0,0,18.4,0.65,0.48,0.17,1238.0,22779.2
worker-065,2,0,0,0,1,18.4,0.65,0.515,0.135,1242.6,22863.84
worker-065,3,0,0,0,2,18.4,0.65,0.55,0.1,1247.2,22948.48
worker-065,4,0,0,0,3,18.4,0.65,0.585,0.065,1251.8,23033.12
worker-066,1,1,0,0,1,18.85,0.685,0.55,0.135,1265.2,23849.02
worker-066,2,1,0,0,2,18.85,0.685,0.585,0.1,1269.8,23935.73
worker-066,3,1,0,0,3,18.85,0.685,0.62,0.065,1274.4,24022.44
worker-066,4,1,0,0,4,18.85,0.685,0.655,0.03,1279.0,24109.15
worker-067,1,1,0,0,1,19.3,0.72,0.585,0.135,1309.8,25279.14
worker-067,2,1,0,0,2,19.3,0.72,0.62,0.1,1314.4,25367.92
worker-067,3,1,0,0,3,19.3,0.72,0.655,0.065,1319.0,25456.7
worker-067,4,1,0,0,4,19.3,0.72,0.69,0.03,1323.6,25545.48
worker-068,1,0,1,0,0,19.75,0.755,0.585,0.17,1341.8,26500.55
worker-068,2,0,1,1,2,19.75,0.755,0.67,0.085,1364.4,26946.9
worker-068,3,0,1,1,3,19.75,0.755,0.705,0.05,1369.0,27037.75
worker-068,4,0,1,1,4,19.75,0.755,0.74,0.015,1373.6,27128.6
worker-069,1,0,0,0,0,20.2,0.79,0.62,0.17,1356.4,27399.28
worker-069,2,0,0,0,1,20.2,0.79,0.655,0.135,1361.0,27492.2
worker-069,3,0,0,0,2,20.2,0.79,0.69,0.1,1365.6,27585.12
worker-069,4,0,0,0,3,20.2,0.79,0.725,0.065,1370.2,27678.04
worker-070,1,0,0,0,0,20.65,0.58,0.41,0.17,1312.8,27109.32
worker-070,2,0,0,0,1,20.65,0.58,0.445,0.135,1317.4,27204.31
worker-070,3,0,0,0,2,20.65,0.58,0.48,0.1,1322.0,27299.3
worker-070,4,0,0,0,3,20.65,0.58,0.515,0.065,1326.6,27394.29
worker-071,1,0,0,0,0,21.1,0.615,0.445,0.17,1357.4,28641.14
worker-071,2,0,0,0,1,21.1,0.615,0.48,0.135,1362.0,28738.2
worker-071,3,0,0,0,2,21.1,0.615,0.515,0.1,1366.6,28835.26
worker-071,4,0,0,0,3,21.1,0.615,0.55,0.065,1371.2,28932.32
worker-072,1,1,1,0,1,17.5,0.65,0.515,0.135,1208.6,21150.5
worker-072,2,1,1,1,3,17.5,0.65,0.6,0.05,1231.2,21546.0
worker-072,3,1,1,1,4,17.5,0.65,0.635,0.015,1235.8,21626.5
worker-072,4,1,1,1,5,17.5,0.65,0.64,0.01,1229.6,21518.0
worker-073,1,1,0,0,1,17.95,0.685,0.55,0.135,1253.2,22494.94
worker-073,2,1,0,0,2,17.95,0.685,0.585,0.1,1257.8,22577.51
worker-073,3,1,0,0,3,17.95,0.685,0.62,0.065,1262.4,22660.08
worker-073,4,1,0,0,4,17.95,0.685,0.655,0.03,1267.0,22742.65
worker-074,1,0,0,0,0,18.4,0.72,0.55,0.17,1285.2,23647.68
worker-074,2,0,0,0,1,18.4,0.72,0.585,0.135,1289.8,23732.32
worker-074,3,0,0,0,2,18.4,0.72,0.62,0.1,1294.4,23816.96
worker-074,4,0,0,0,3,18.4,0.72,0.655,0.065,1299.0,23901.6
worker-075,1,0,0,0,0,18.85,0.755,0.585,0.17,1299.8,24501.23
worker-075,2,0,0,0,1,18.85,0.755,0.62,0.135,1304.4,24587.94
worker-075,3,0,0,0,2,18.85,0.755,0.655,0.1,1309.0,24674.65
worker-075,4,0,0,0,3,18.85,0.755,0.69,0.065,1313.6,24761.36
worker-076,1,0,1,0,0,19.3,0.79,0.62,0.17,1344.4,25946.92
worker-076,2,0,1,1,2,19.3,0.79,0.705,0.085,1367.0,26383.1
worker-076,3,0,1,1,3,19.3,0.79,0.74,0.05,1371.6,26471.88
worker-076,4,0,1,1,4,19.3,0.79,0.775,0.015,1376.2,26560.66
worker-077,1,0,0,0,0,19.75,0.58,0.41,0.17,1300.8,25690.8
worker-077,2,0,0,0,1,19.75,0.58,0.445,0.135,1305.4,25781.65
worker-077,3,0,0,0,2,19.75,0.58,0.48,0.1,1310.0,25872.5
worker-077,4,0,0,0,3,19.75,0.58,0.515,0.065,1314.6,25963.35
worker-078,1,1,0,0,1,20.2,0.615,0.48,0.135,1328.0,26825.6
worker-078,2,1,0,0,2,20.2,0.615,0.515,0.1,1332.6,26918.52
worker-078,3,1,0,0,3,20.2,0.615,0.55,0.065,1337.2,27011.44
worker-078,4,1,0,0,4,20.2,0.615,0.585,0.03,1341.8,27104.36
worker-079,1,1,0,0,1,20.65,0.65,0.515,0.135,1372.6,28344.19
worker-079,2,1,0,0,2,20.65,0.65,0.55,0.1,1377.2,28439.18
worker-079,3,1,0,0,3,20.65,0.65,0.585,0.065,1381.8,28534.17
worker-079,4,1,0,0,4,20.65,0.65,0.62,0.03,1386.4,28629.16
worker-080,1,0,1,0,0,21.1,0.685,0.515,0.17,1228.6,25923.46
worker-080,2,0,1,1,2,21.1,0.685,0.6,0.085,1251.2,26400.32
worker-080,3,0,1,1,3,21.1,0.685,0.635,0.05,1255.8,26497.38
worker-080,4,0,1,1,4,21.1,0.685,0.67,0.015,1260.4,26594.44
worker-081,1,0,0,0,0,17.5,0.72,0.55,0.17,1243.2,21756.0
worker-081,2,0,0,0,1,17.5,0.72,0.585,0.135,1247.8,21836.5
worker-081,3,0,0,0,2,17.5,0.72,0.62,0.1,1252.4,21917.0
worker-081,4,0,0,0,3,17.5,0.72,0.655,0.065,1257.0,21997.5
worker-082,1,0,0,0,0,17.95,0.755,0.585,0.17,1287.8,23116.01
worker-082,2,0,0,0,1,17.95,0.755,0.62,0.135,1292.4,23198.58
worker-082,3,0,0,0,2,17.95,0.755,0.655,0.1,1297.0,23281.15
worker-082,4,0,0,0,3,17.95,0.755,0.69,0.065,1301.6,23363.72
worker-083,1,0,0,0,0,18.4,0.79,0.62,0.17,1332.4,24516.16
worker-083,2,0,0,0,1,18.4,0.79,0.655,0.135,1337.0,24600.8
worker-083,3,0,0,0,2,18.4,0.79,0.69,0.1,1341.6,24685.44
worker-083,4,0,0,0,3,18.4,0.79,0.725,0.065,1346.2,24770.08
worker-084,1,1,1,0,1,18.85,0.58,0.445,0.135,1271.4,23965.89
