residence_tract_id,buffer_jobs_8_miles,buffer_jobs_15_miles,distance_decay_jobs,travel_time_jobs,generalized_cost_jobs,outside_frame_jobs_in_full_matrix,nearest_job_center_miles,mean_travel_time_to_jobs,x_coord,y_coord,resident_count,black_share,transit_dependency,geocode_quality,jitter_radius_miles,high_black_share
R023,0.0,6200.0,4399.48583,4368.521028,7508.417085,9400.0,8.455323,63.21888,78.4136,25.7335,3439,0.1884,0,rooftop,0.1,0
R024,0.0,0.0,1837.492371,2408.20431,5243.697862,9400.0,19.388059,71.901105,56.6669,17.6868,4659,0.0351,0,rooftop,0.1,0
R025,0.0,0.0,3694.580972,3939.836944,7469.593222,9400.0,15.5294,68.8278,47.9999,64.5294,3238,0.1021,1,rooftop,0.1,0
R026,0.0,4300.0,2550.369696,2888.933633,5944.827298,9400.0,14.325641,64.675921,92.4049,55.8672,1105,0.1111,0,street,0.7,0
R027,0.0,0.0,2202.948137,2907.21082,6372.558208,9400.0,16.651941,59.201306,80.4677,48.0029,927,0.1053,0,rooftop,0.1,0
R028,0.0,3300.0,2045.272034,2417.630447,5195.794349,9400.0,11.24141,69.541168,78.7632,76.6781,3785,0.0675,0,rooftop,0.1,0
R029,0.0,0.0,2479.332231,3140.857208,6623.7265,9400.0,15.933697,59.088771,80.1067,43.1339,1432,0.1219,0,rooftop,0.1,0
R030,0.0,3300.0,2141.598885,2353.716931,4869.566681,9400.0,9.01878,73.2489,81.7719,80.6928,3370,0.1538,0,street,0.7,0
R031,8400.0,8400.0,5998.155428,5321.307383,8839.717717,9400.0,5.881241,65.850121,47.2276,54.8303,3005,0.1088,1,rooftop,0.1,0
R032,0.0,0.0,1868.027735,2581.883144,5938.935983,9400.0,21.225929,60.691675,80.7702,56.7849,4960,0.1951,0,rooftop,0.1,0
R033,0.0,0.0,2745.520988,2946.886247,6280.551413,9400.0,15.001616,65.867696,59.0005,33.183,5133,0.0799,1,rooftop,0.1,0
R034,0.0,6200.0,3800.771938,4016.164133,7245.574305,9400.0,10.837549,62.790583,76.1164,26.446,5184,0.1414,0,rooftop,0.1,0
R035,0.0,5100.0,2981.872481,3401.660747,6863.933444,9400.0,12.076647,64.460001,58.6772,70.4968,2468,0.1445,0,rooftop,0.1,0
R036,0.0,0.0,2330.631144,3064.205258,6606.607236,9400.0,18.424958,58.660736,77.5949,42.8552,4690,0.0917,0,zip_centroid,2.6,0
R037,0.0,0.0,1850.346747,2662.330632,6198.386565,9400.0,23.47632,58.913996,75.544,53.5191,3974,0.1752,0,rooftop,0.1,0
R038,0.0,0.0,2355.571054,2383.713621,5733.251744,9400.0,21.224519,62.8315,74.8513,40.2076,3083,0.171,1,rooftop,0.1,0
R039,0.0,5100.0,3068.571466,3508.767706,7043.804281,9400.0,13.017256,64.044788,56.8029,69.1082,4670,0.1234,0,rooftop,0.1,0
R040,0.0,0.0,2104.918188,2548.749371,5978.085061,9400.0,21.290581,62.920241,68.0038,56.2895,4479,0.0961,1,rooftop,0.1,0
