residence_tract_id,job_center_id,jobs,sector,suburban_center,outside_study_frame,distance_miles,travel_time_minutes,generalized_cost,within_8_miles,within_15_miles,kernel_weight,travel_time_weight,generalized_cost_weight
R012,J01,8400,business,0,0,34.033369,53.445049,22.351121,0,0,0.033262,0.052893,0.133774
R013,J11,2900,public,0,0,5.884362,15.443889,6.22174,1,1,0.555195,0.427666,0.571234
R013,J01,8400,business,0,0,16.134761,29.281928,12.095218,0,0,0.199194,0.199786,0.336698
R013,J05,2400,retail,0,0,19.17627,33.387964,13.838003,0,0,0.146955,0.1594,0.28782
R014,J08,3900,health,0,0,13.740439,26.049593,10.723272,0,1,0.253081,0.238657,0.380947
R014,J12,2100,logistics,0,0,17.320585,30.88279,12.774695,0,0,0.17692,0.182948,0.316725
R014,J05,2400,retail,0,0,26.573157,43.373762,18.076419,0,0,0.070136,0.092038,0.196542
R015,J11,2900,public,0,0,37.148795,57.650873,24.136259,0,0,0.024358,0.04197,0.113919
R015,J05,2400,retail,0,0,46.162493,69.819365,29.301108,0,0,0.00989,0.021492,0.071569
R015,J01,8400,business,0,0,53.438969,79.642607,33.470529,0,0,0.004777,0.012521,0.049176
R016,J11,2900,public,0,0,26.316095,43.026728,17.929122,0,0,0.071963,0.093811,0.199165
R016,J05,2400,retail,0,0,31.505048,50.031815,20.902393,0,0,0.042831,0.063816,0.152405
R016,J01,8400,business,0,0,41.520338,63.552456,26.641154,0,0,0.015732,0.030337,0.090926
R017,J05,2400,retail,0,0,7.57302,17.723577,7.189341,1,1,0.46893,0.377269,0.523593
R017,J11,2900,public,0,0,17.587161,31.242667,12.927443,0,0,0.172266,0.179362,0.3124
R017,J01,8400,business,0,0,20.068668,34.592702,14.349347,0,0,0.134409,0.14918,0.274874
R018,J05,2400,retail,0,0,8.569657,19.069037,7.760413,0,1,0.424448,0.350359,0.497362
R018,J01,8400,business,0,0,22.188569,37.454569,15.56405,0,0,0.108733,0.127454,0.246409
R018,J08,3900,health,0,0,23.245245,38.881081,16.169525,0,0,0.09783,0.117836,0.23334
R019,J05,2400,retail,0,0,13.634809,25.906992,10.662746,0,1,0.255769,0.240536,0.383028
R019,J11,2900,public,0,0,23.944169,39.824628,16.570009,0,0,0.091226,0.111877,0.22508
R019,J01,8400,business,0,0,32.932805,51.959286,21.720497,0,0,0.037132,0.057397,0.141586
R020,J01,8400,business,0,0,9.041582,19.706136,8.030827,0,1,0.404883,0.338295,0.485404
R020,J11,2900,public,0,0,14.268925,26.763048,11.026094,0,1,0.240054,0.229474,0.370705
R020,J05,2400,retail,0,0,17.38011,30.963148,12.808803,0,0,0.17587,0.182141,0.315754
R021,J02,6200,logistics,1,0,9.627922,20.497695,9.4668,0,1,0.381825,0.323883,0.426556
R021,J04,4700,manufacturing,1,0,17.303338,30.859506,13.864812,0,0,0.177225,0.183182,0.287126
R021,J07,4300,logistics,1,0,24.657512,40.787641,18.078754,0,0,0.084945,0.106106,0.196501
R022,J07,4300,logistics,1,0,10.24861,21.335624,9.822454,0,1,0.358846,0.309295,0.413118
R022,J02,6200,logistics,1,0,21.205943,36.128023,16.101005,0,0,0.11996,0.1371,0.234784
R022,J09,3300,retail,1,0,34.052019,53.470226,23.461807,0,0,0.0332,0.05282,0.121049
R023,J02,6200,logistics,1,0,8.455323,18.914686,8.7949,0,1,0.429329,0.353346,0.453146
R023,J04,4700,manufacturing,1,0,17.305776,30.862798,13.86621,0,0,0.177182,0.183149,0.28709
R023,J07,4300,logistics,1,0,23.955803,39.840334,17.676675,0,0,0.09112,0.11178,0.203742
R024,J11,2900,public,0,0,19.873209,34.328833,14.237349,0,0,0.137062,0.151361,0.277659
R024,J04,4700,manufacturing,1,0,19.388059,33.67388,15.059358,0,0,0.143876,0.156913,0.257859
R024,J02,6200,logistics,1,0,29.648515,47.525495,20.938599,0,0,0.051568,0.073248,0.151909
R025,J01,8400,business,0,0,15.5294,28.46469,11.748346,0,0,0.211625,0.208971,0.347375
R025,J08,3900,health,0,0,16.083832,29.213174,12.066036,0,0,0.200211,0.200543,0.337583
R025,J03,5100,health,0,0,18.82082,32.908107,13.63433,0,0,0.152273,0.163663,0.293144
R026,J07,4300,logistics,1,0,14.325641,26.839615,12.158592,0,1,0.238696,0.228509,0.334783
R026,J09,3300,retail,1,0,21.269198,36.213417,16.13725,0,0,0.119204,0.136458,0.234019
R026,J06,5800,business,1,1,21.672955,41.758489,18.268603,0,0,0.114487,0.100589,0.193172
R027,J07,4300,logistics,1,0,16.651941,29.980121,13.491562,0,0,0.189154,0.19226,0.296935
R027,J02,6200,logistics,1,0,26.584905,43.389621,19.18315,0,0,0.070054,0.091957,0.177909
R027,J09,3300,retail,1,0,30.523705,48.707001,21.440083,0,0,0.047247,0.06864,0.145205
R028,J09,3300,retail,1,0,11.24141,22.675903,10.391328,0,1,0.324931,0.287315,0.3925
R028,J03,5100,health,0,0,24.351844,40.374989,16.803606,0,0,0.087582,0.108541,0.220397
R028,J06,5800,business,1,1,33.658237,57.938619,25.13617,0,0,0.034534,0.041311,0.104115
R029,J07,4300,logistics,1,0,15.933697,29.010492,13.080009,0,0,0.20324,0.202791,0.30814
R029,J02,6200,logistics,1,0,21.940208,37.11928,16.521739,0,0,0.111468,0.129826,0.22606
R029,J01,8400,business,0,0,32.638188,51.561554,21.551682,0,0,0.038242,0.058667,0.143754
R030,J09,3300,retail,1,0,9.01878,19.675354,9.117761,0,1,0.405807,0.338868,0.440168
R030,J03,5100,health,0,0,26.803795,43.685123,18.208574,0,0,0.068537,0.090475,0.194218
R030,J06,5800,business,1,1,32.276533,56.07332,24.344454,0,0,0.03965,0.045774,0.111805
R031,J01,8400,business,0,0,5.881241,15.439676,6.219951,1,1,0.555368,0.427765,0.571326
R031,J11,2900,public,0,0,22.06761,37.291273,15.49474,0,0,0.110057,0.128604,0.24795
R031,J08,3900,health,0,0,22.737449,38.195557,15.878558,0,0,0.102926,0.122364,0.239532
R032,J07,4300,logistics,1,0,21.225929,36.155005,16.112458,0,0,0.119721,0.136897,0.234542
R032,J09,3300,retail,1,0,22.222499,37.500374,16.683492,0,0,0.108365,0.127133,0.222793
R032,J01,8400,business,0,0,33.682201,52.970972,22.149901,0,0,0.034451,0.054291,0.136219
R033,J11,2900,public,0,0,15.001616,27.752182,11.445926,0,0,0.223094,0.217323,0.356959
R033,J01,8400,business,0,0,19.266253,33.509441,13.889563,0,0,0.145639,0.158339,0.286487
R033,J04,4700,manufacturing,1,0,28.457029,53.916989,23.295878,0,0,0.058093,0.051538,0.12287
R034,J02,6200,logistics,1,0,10.837549,22.130691,10.159915,0,1,0.338323,0.296062,0.40076
R034,J04,4700,manufacturing,1,0,17.573903,31.224769,14.019846,0,0,0.172494,0.179539,0.283148
R034,J07,4300,logistics,1,0,25.244494,41.580067,18.415095,0,0,0.080102,0.101581,0.190642
R035,J03,5100,health,0,0,12.076647,23.803474,9.769919,0,1,0.298894,0.270038,0.415076
R035,J08,3900,health,0,0,23.934958,39.812193,16.564731,0,0,0.09131,0.111954,0.225187
R035,J01,8400,business,0,0,24.002396,39.903234,16.603373,0,0,0.090696,0.111394,0.224405
R036,J07,4300,logistics,1,0,18.424958,32.373693,14.507501,0,0,0.158422,0.168545,0.27099
R036,J02,6200,logistics,1,0,22.485219,37.855046,16.83403,0,0,0.105555,0.124677,0.219794
R036,J01,8400,business,0,0,30.226093,48.305225,20.169551,0,0,0.048674,0.070173,0.162796
R037,J07,4300,logistics,1,0,23.47632,39.193032,17.401931,0,0,0.095595,0.115832,0.208843
R037,J01,8400,business,0,0,27.912259,45.18155,18.843724,0,0,0.061346,0.083327,0.183428
R037,J09,3300,retail,1,0,27.574057,44.724976,19.749934,0,0,0.063456,0.085446,0.169061
R038,J01,8400,business,0,0,28.254179,45.643141,19.039644,0,0,0.059284,0.081238,0.180222
R038,J07,4300,logistics,1,0,21.224519,44.153101,19.151649,0,0,0.119738,0.088176,0.178414
R038,J02,6200,logistics,1,0,21.349712,44.322111,19.223385,0,0,0.118248,0.08736,0.177266
R039,J03,5100,health,0,0,13.017256,25.073296,10.308888,0,1,0.272062,0.251822,0.395423
R039,J01,8400,business,0,0,21.950644,37.133369,15.427719,0,0,0.111351,0.129725,0.249451
R039,J08,3900,health,0,0,22.344936,37.665663,15.653648,0,0,0.107046,0.125983,0.24443
R040,J01,8400,business,0,0,21.290581,36.242284,15.049503,0,0,0.118949,0.136242,0.258088
R040,J03,5100,health,0,0,28.811953,46.396136,19.359249,0,0,0.056068,0.077942,0.175111
R040,J11,2900,public,0,0,33.445227,52.651057,22.014115,0,0,0.035277,0.055254,0.137894
