worker_id,firm_id,period,firm_size,reporting_required,female,manager,base_pay,bonus,total_pay,retained
18,1,1,155,0,0,1,50799.33,3494.91,54294.25,1
19,1,-1,155,0,1,0,40743.82,594.63,41338.45,1
19,1,1,155,0,1,0,42985.63,881.33,43866.96,1
20,1,-1,155,0,0,0,43752.78,901.56,44654.34,1
20,1,1,155,0,0,0,45001.29,1426.71,46428.00,1
21,1,-1,155,0,1,0,43379.80,329.94,43709.74,1
21,1,1,155,0,1,0,44697.57,591.44,45289.01,1
22,1,-1,155,0,0,0,46109.18,886.71,46995.89,1
22,1,1,155,0,0,0,48519.01,1239.75,49758.76,1
23,1,-1,155,0,1,0,46101.36,620.93,46722.28,1
23,1,1,155,0,1,0,47966.13,594.39,48560.53,1
24,1,-1,155,0,0,0,38107.91,893.94,39001.85,1
24,1,1,155,0,0,0,39619.54,1163.79,40783.33,1
25,2,-1,160,0,0,0,40921.90,1077.26,41999.16,1
25,2,1,160,0,0,0,42163.88,1276.63,43440.50,1
26,2,-1,160,0,1,0,40670.85,452.69,41123.54,1
26,2,1,160,0,1,0,42388.03,1088.79,43476.81,1
27,2,-1,160,0,0,0,43467.27,873.43,44340.70,1
27,2,1,160,0,0,0,45320.57,1266.36,46586.93,0
28,2,-1,160,0,1,0,43846.37,622.73,44469.10,1
28,2,1,160,0,1,0,45341.06,766.81,46107.86,1
29,2,-1,160,0,0,0,46711.91,931.44,47643.35,1
29,2,1,160,0,0,0,48383.94,1472.08,49856.02,0
30,2,-1,160,0,1,0,46582.46,431.28,47013.74,1
30,2,1,160,0,1,0,48050.08,1057.86,49107.93,1
31,2,-1,160,0,0,0,49671.84,1076.89,50748.73,1
31,2,1,160,0,0,0,51740.68,1399.26,53139.94,1
32,2,-1,160,0,1,0,37505.57,694.44,38200.00,1
32,2,1,160,0,1,0,39316.99,885.71,40202.70,1
33,2,-1,160,0,0,1,49427.95,3355.52,52783.47,1
33,2,1,160,0,0,1,51150.30,3401.16,54551.45,1
34,2,-1,160,0,1,0,39981.23,211.72,40192.95,1
34,2,1,160,0,1,0,41917.66,948.63,42866.30,0
35,2,-1,160,0,0,0,43654.84,890.50,44545.34,1
35,2,1,160,0,0,0,45632.17,1218.81,46850.98,1
36,2,-1,160,0,1,0,43147.36,669.96,43817.33,1
36,2,1,160,0,1,0,44614.47,727.35,45341.81,1
37,2,-1,160,0,0,0,46694.68,931.08,47625.76,1
37,2,1,160,0,0,0,48159.95,1043.09,49203.03,1
38,2,-1,160,0,1,0,46543.10,573.04,47116.14,1
38,2,1,160,0,1,0,48194.73,947.86,49142.59,1
39,2,-1,160,0,0,0,49739.62,737.80,50477.43,1
39,2,1,160,0,0,0,51683.65,1425.19,53108.85,1
40,2,-1,160,0,1,0,37975.36,508.98,38484.34,1
40,2,1,160,0,1,0,39149.88,905.25,40055.13,1
41,2,-1,160,0,0,0,41191.22,745.12,41936.34,1
41,2,1,160,0,0,0,42458.21,1283.57,43741.78,1
42,2,-1,160,0,1,1,46797.46,1804.41,48601.87,1
42,2,1,160,0,1,1,48126.01,2472.49,50598.50,0
43,2,-1,160,0,0,0,43434.81,581.98,44016.79,1
43,2,1,160,0,0,0,44972.55,1049.74,46022.29,1
44,2,-1,160,0,1,0,43394.75,393.59,43788.34,1
44,2,1,160,0,1,0,45606.07,877.94,46484.01,1
45,2,-1,160,0,0,0,46266.59,884.93,47151.52,1
45,2,1,160,0,0,0,47817.14,1084.06,48901.20,1
46,2,-1,160,0,1,0,46248.35,467.50,46715.85,1
46,2,1,160,0,1,0,48003.95,939.50,48943.45,1
47,2,-1,160,0,0,0,49019.01,862.02,49881.03,1
47,2,1,160,0,0,0,51044.46,1264.26,52308.72,1
48,2,-1,160,0,1,0,37853.63,563.67,38417.30,1
48,2,1,160,0,1,0,39527.30,884.93,40412.23,1
49,3,-1,165,0,1,0,41026.95,476.45,41503.40,1
49,3,1,165,0,1,0,42795.02,672.62,43467.64,1
50,3,-1,165,0,0,0,44268.08,1037.59,45305.67,1
50,3,1,165,0,0,0,45582.22,1264.38,46846.60,1
51,3,-1,165,0,1,0,43744.53,588.96,44333.49,1
51,3,1,165,0,1,0,45347.99,871.85,46219.84,1
52,3,-1,165,0,0,0,47166.63,1029.00,48195.63,1
52,3,1,165,0,0,0,48761.89,1644.84,50406.72,1
53,3,-1,165,0,1,0,46780.17,410.87,47191.04,1
53,3,1,165,0,1,0,48049.11,916.77,48965.88,1
54,3,-1,165,0,0,0,49898.23,988.57,50886.80,1
54,3,1,165,0,0,0,51764.69,1450.08,53214.78,1
55,3,-1,165,0,1,0,49206.65,517.59,49724.24,1
55,3,1,165,0,1,0,51230.35,790.11,52020.46,1
56,3,-1,165,0,0,0,41331.01,1022.00,42353.01,1
56,3,1,165,0,0,0,43147.71,1110.52,44258.23,1
57,3,-1,165,0,1,1,46361.36,1922.26,48283.63,1
57,3,1,165,0,1,1,48224.11,2467.26,50691.37,1
58,3,-1,165,0,0,0,44639.30,766.55,45405.85,1
58,3,1,165,0,0,0,46540.27,1315.27,47855.54,1
59,3,-1,165,0,1,0,43911.14,511.93,44423.07,1
59,3,1,165,0,1,0,45226.88,722.36,45949.24,1
60,3,-1,165,0,0,0,46831.49,924.87,47756.36,1
60,3,1,165,0,0,0,49068.14,1319.27,50387.41,1
61,3,-1,165,0,1,0,46668.46,619.19,47287.66,1
61,3,1,165,0,1,0,48165.79,841.78,49007.58,1
62,3,-1,165,0,0,0,49465.98,919.63,50385.61,1
62,3,1,165,0,0,0,51245.40,1050.86,52296.26,1
63,3,-1,165,0,1,0,49558.05,832.85,50390.91,1
63,3,1,165,0,1,0,51342.05,886.77,52228.82,1
64,3,-1,165,0,0,0,41405.06,801.61,42206.67,1
64,3,1,165,0,0,0,42640.85,1166.95,43807.80,1
65,3,-1,165,0,1,0,40584.17,452.87,41037.04,1
65,3,1,165,0,1,0,42343.95,1088.04,43431.99,1
66,3,-1,165,0,0,1,53395.72,3081.82,56477.54,1
66,3,1,165,0,0,1,54621.70,3633.55,58255.25,1
67,3,-1,165,0,1,0,43751.83,407.95,44159.78,1
67,3,1,165,0,1,0,45465.31,676.19,46141.49,1
68,3,-1,165,0,0,0,46699.12,981.76,47680.88,1
68,3,1,165,0,0,0,47919.18,1070.03,48989.21,1
69,3,-1,165,0,1,0,46848.85,506.82,47355.67,1
69,3,1,165,0,1,0,48196.29,801.13,48997.42,1
70,3,-1,165,0,0,0,49854.73,852.63,50707.36,1
70,3,1,165,0,0,0,50823.09,1180.80,52003.89,1
71,3,-1,165,0,1,0,49505.63,629.32,50134.95,1
71,3,1,165,0,1,0,51415.23,941.25,52356.47,1
72,3,-1,165,0,0,0,40839.05,1295.56,42134.61,1
72,3,1,165,0,0,0,42547.66,1347.56,43895.22,1
73,4,-1,170,0,0,0,44130.88,2035.77,46166.65,1
73,4,1,170,0,0,0,45241.22,2456.87,47698.09,1
74,4,-1,170,0,1,0,44893.79,1774.41,46668.20,1
74,4,1,170,0,1,0,45500.22,2214.79,47715.01,1
75,4,-1,170,0,0,0,47463.04,1972.92,49435.96,1
75,4,1,170,0,0,0,48659.01,2447.68,51106.69,1
76,4,-1,170,0,1,0,46645.90,1863.57,48509.47,1
76,4,1,170,0,1,0,48073.47,2196.36,50269.83,1
77,4,-1,170,0,0,0,50020.11,1912.48,51932.59,1
77,4,1,170,0,0,0,51918.95,2562.54,54481.50,1
78,4,-1,170,0,1,0,50239.82,1967.95,52207.77,1
78,4,1,170,0,1,0,50947.60,2008.19,52955.79,1
79,4,-1,170,0,0,0,52903.82,2225.27,55129.09,1
79,4,1,170,0,0,0,54593.81,2597.40,57191.21,1
80,4,-1,170,0,1,0,40183.72,1961.85,42145.57,1
80,4,1,170,0,1,0,42675.34,2015.19,44690.52,1
81,4,-1,170,0,0,1,52735.21,4344.85,57080.06,1
81,4,1,170,0,0,1,54365.73,4670.37,59036.10,1
82,4,-1,170,0,1,0,44306.60,1862.81,46169.41,1
82,4,1,170,0,1,0,45804.73,2125.09,47929.83,1
83,4,-1,170,0,0,0,46972.65,1992.97,48965.62,1
83,4,1,170,0,0,0,48833.11,2334.11,51167.22,1
84,4,-1,170,0,1,0,47249.19,1827.08,49076.27,1
84,4,1,170,0,1,0,48228.45,1868.87,50097.32,1
85,4,-1,170,0,0,0,49829.40,2276.04,52105.44,1
85,4,1,170,0,0,0,51240.95,2294.32,53535.28,1
86,4,-1,170,0,1,0,49648.64,1705.26,51353.90,1
86,4,1,170,0,1,0,51151.41,2206.77,53358.19,1
87,4,-1,170,0,0,0,53322.84,2100.70,55423.55,1
87,4,1,170,0,0,0,54666.68,2731.11,57397.78,1
88,4,-1,170,0,1,0,41059.51,1785.74,42845.25,1
88,4,1,170,0,1,0,43577.79,1946.91,45524.70,1
89,4,-1,170,0,0,0,44383.26,2135.74,46519.00,1
89,4,1,170,0,0,0,45844.17,2374.83,48219.00,1
90,4,-1,170,0,1,1,50167.47,3143.66,53311.13,1
90,4,1,170,0,1,1,51793.81,3634.30,55428.11,1
91,4,-1,170,0,0,0,46680.11,2029.66,48709.78,1
91,4,1,170,0,0,0,48457.45,2403.82,50861.27,1
92,4,-1,170,0,1,0,47086.93,1873.48,48960.40,1
92,4,1,170,0,1,0,48164.91,2203.42,50368.33,1
93,4,-1,170,0,0,0,49827.85,1937.30,51765.15,1
93,4,1,170,0,0,0,51499.04,2595.61,54094.65,0
94,4,-1,170,0,1,0,50149.50,1710.34,51859.84,1
94,4,1,170,0,1,0,51476.26,2257.27,53733.54,1
95,4,-1,170,0,0,0,53186.73,2102.85,55289.58,1
95,4,1,170,0,0,0,54278.16,2544.38,56822.53,1
96,4,-1,170,0,1,0,40783.09,1615.48,42398.58,1
96,4,1,170,0,1,0,42788.64,1939.46,44728.10,1
97,5,-1,175,0,1,0,44742.95,664.02,45406.97,1
97,5,1,175,0,1,0,46405.43,851.10,47256.52,1
98,5,-1,175,0,0,0,47484.13,688.63,48172.76,1
98,5,1,175,0,0,0,48877.00,1160.60,50037.61,1
99,5,-1,175,0,1,0,47230.43,668.80,47899.23,1
99,5,1,175,0,1,0,48806.48,912.59,49719.07,1
100,5,-1,175,0,0,0,50285.04,805.64,51090.68,1
100,5,1,175,0,0,0,52039.23,1100.25,53139.48,1
101,5,-1,175,0,1,0,50408.38,500.95,50909.33,1
101,5,1,175,0,1,0,51784.84,1003.46,52788.30,1
102,5,-1,175,0,0,0,52688.73,1044.15,53732.89,1
102,5,1,175,0,0,0,53768.35,1424.86,55193.21,1
103,5,-1,175,0,1,0,53546.80,393.38,53940.17,1
103,5,1,175,0,1,0,55479.93,621.48,56101.41,1
104,5,-1,175,0,0,0,44353.43,959.24,45312.67,1
104,5,1,175,0,0,0,45808.31,1314.63,47122.94,1
105,5,-1,175,0,1,1,50157.10,1932.59,52089.69,1
105,5,1,175,0,1,1,51341.32,2398.37,53739.69,1
106,5,-1,175,0,0,0,47960.15,1107.94,49068.10,1
106,5,1,175,0,0,0,48556.06,1131.82,49687.89,1
107,5,-1,175,0,1,0,47293.58,313.29,47606.87,1
107,5,1,175,0,1,0,48144.08,764.77,48908.86,1
108,5,-1,175,0,0,0,50203.55,871.31,51074.86,1
108,5,1,175,0,0,0,52625.61,1207.28,53832.89,1
109,5,-1,175,0,1,0,49809.52,480.85,50290.37,1
109,5,1,175,0,1,0,52076.59,786.37,52862.96,0
110,5,-1,175,0,0,0,53425.13,839.86,54264.99,1
110,5,1,175,0,0,0,54909.47,1047.20,55956.67,1
111,5,-1,175,0,1,0,53544.42,585.11,54129.54,1
111,5,1,175,0,1,0,54893.65,787.64,55681.29,1
112,5,-1,175,0,0,0,44222.39,871.71,45094.10,1
112,5,1,175,0,0,0,45621.01,1374.05,46995.06,1
113,5,-1,175,0,1,0,44443.68,571.57,45015.25,1
113,5,1,175,0,1,0,45959.00,845.00,46804.00,1
114,5,-1,175,0,0,1,56210.61,3143.58,59354.19,1
114,5,1,175,0,0,1,57334.13,3670.07,61004.19,1
115,5,-1,175,0,1,0,47553.59,348.14,47901.73,1
115,5,1,175,0,1,0,48602.05,778.94,49380.99,1
116,5,-1,175,0,0,0,50709.12,763.74,51472.86,1
116,5,1,175,0,0,0,51299.20,1540.22,52839.42,1
117,5,-1,175,0,1,0,50211.83,304.74,50516.57,1
117,5,1,175,0,1,0,51333.87,648.35,51982.22,1
118,5,-1,175,0,0,0,53226.15,1069.91,54296.06,1
118,5,1,175,0,0,0,54740.37,1301.92,56042.30,1
119,5,-1,175,0,1,0,52702.58,408.64,53111.22,1
119,5,1,175,0,1,0,54084.41,934.81,55019.22,1
120,5,-1,175,0,0,0,44482.12,922.47,45404.59,1
120,5,1,175,0,0,0,46513.01,1326.48,47839.49,1
121,6,-1,180,0,0,0,48067.89,832.37,48900.26,1
121,6,1,180,0,0,0,49526.07,1232.90,50758.96,1
122,6,-1,180,0,1,0,47105.13,714.18,47819.31,1
122,6,1,180,0,1,0,48906.26,766.68,49672.93,1
123,6,-1,180,0,0,0,50083.98,1017.05,51101.03,1
123,6,1,180,0,0,0,52438.95,1080.66,53519.61,1
124,6,-1,180,0,1,0,50618.85,362.68,50981.53,1
124,6,1,180,0,1,0,52241.68,690.03,52931.71,1
125,6,-1,180,0,0,0,53292.39,686.17,53978.57,1
125,6,1,180,0,0,0,55211.12,1374.74,56585.87,1
126,6,-1,180,0,1,0,53530.35,619.20,54149.55,1
126,6,1,180,0,1,0,54851.65,989.57,55841.22,1
127,6,-1,180,0,0,0,55876.87,866.38,56743.24,1
127,6,1,180,0,0,0,58059.20,1431.45,59490.66,1
128,6,-1,180,0,1,0,44311.23,316.23,44627.46,1
128,6,1,180,0,1,0,46128.35,609.69,46738.04,1
129,6,-1,180,0,0,1,56067.72,3083.02,59150.74,1
129,6,1,180,0,0,1,57898.34,3539.87,61438.20,1
130,6,-1,180,0,1,0,47800.38,279.92,48080.31,1
130,6,1,180,0,1,0,49420.01,570.77,49990.78,1
131,6,-1,180,0,0,0,50741.83,983.00,51724.83,1
131,6,1,180,0,0,0,52516.66,1313.12,53829.78,1
132,6,-1,180,0,1,0,49866.11,412.11,50278.23,1
132,6,1,180,0,1,0,51772.95,783.16,52556.11,1
133,6,-1,180,0,0,0,53545.72,933.09,54478.81,1
133,6,1,180,0,0,0,55705.71,1178.69,56884.39,1
134,6,-1,180,0,1,0,53154.03,784.67,53938.69,1
134,6,1,180,0,1,0,55548.36,608.74,56157.10,1
135,6,-1,180,0,0,0,55922.67,713.23,56635.90,1
135,6,1,180,0,0,0,58059.92,1291.41,59351.33,1
136,6,-1,180,0,1,0,44982.18,616.67,45598.85,1
136,6,1,180,0,1,0,45567.10,773.82,46340.92,1
137,6,-1,180,0,0,0,47612.48,953.49,48565.97,1
137,6,1,180,0,0,0,49104.55,1203.80,50308.35,1
138,6,-1,180,0,1,1,53340.95,2018.13,55359.07,1
138,6,1,180,0,1,1,54703.20,2311.27,57014.47,1
139,6,-1,180,0,0,0,50310.25,1014.05,51324.30,1
139,6,1,180,0,0,0,52269.31,1416.67,53685.98,1
140,6,-1,180,0,1,0,49978.94,395.69,50374.63,1
140,6,1,180,0,1,0,51633.29,829.69,52462.98,1
141,6,-1,180,0,0,0,53578.15,1050.60,54628.75,1
141,6,1,180,0,0,0,54597.01,1087.97,55684.98,1
142,6,-1,180,0,1,0,52841.73,483.72,53325.45,1
142,6,1,180,0,1,0,54158.79,768.74,54927.52,0
143,6,-1,180,0,0,0,56031.98,751.34,56783.33,1
143,6,1,180,0,0,0,57820.68,1290.21,59110.88,1
144,6,-1,180,0,1,0,44652.89,384.09,45036.98,1
144,6,1,180,0,1,0,45496.55,838.90,46335.45,1
145,7,-1,185,0,1,0,35919.51,214.69,36134.20,1
145,7,1,185,0,1,0,37025.56,761.71,37787.26,1
146,7,-1,185,0,0,0,39040.32,749.23,39789.55,1
146,7,1,185,0,0,0,40406.49,1288.45,41694.93,1
147,7,-1,185,0,1,0,39158.32,388.77,39547.09,1
147,7,1,185,0,1,0,40516.04,1144.02,41660.05,1
148,7,-1,185,0,0,0,41592.22,1151.08,42743.30,1
148,7,1,185,0,0,0,43617.60,1039.48,44657.08,1
149,7,-1,185,0,1,0,41818.14,520.61,42338.75,1
149,7,1,185,0,1,0,43533.84,1092.50,44626.34,1
150,7,-1,185,0,0,0,44480.62,1006.43,45487.05,1
150,7,1,185,0,0,0,46690.28,1166.52,47856.80,1
151,7,-1,185,0,1,0,44300.44,498.07,44798.51,1
151,7,1,185,0,1,0,46327.14,769.71,47096.85,1
152,7,-1,185,0,0,0,35343.87,918.59,36262.46,1
152,7,1,185,0,0,0,37329.51,1387.34,38716.85,1
153,7,-1,185,0,1,1,42198.01,1963.38,44161.39,1
153,7,1,185,0,1,1,44180.27,2258.17,46438.44,1
154,7,-1,185,0,0,0,38458.27,853.93,39312.20,1
154,7,1,185,0,0,0,40647.57,1273.43,41920.99,1
155,7,-1,185,0,1,0,38563.53,456.25,39019.78,1
155,7,1,185,0,1,0,40437.11,1141.88,41578.99,1
156,7,-1,185,0,0,0,41560.76,888.60,42449.36,1
156,7,1,185,0,0,0,43194.56,1426.80,44621.36,1
157,7,-1,185,0,1,0,41556.25,508.68,42064.92,1
157,7,1,185,0,1,0,43658.91,969.46,44628.37,1
158,7,-1,185,0,0,0,44901.61,926.05,45827.66,1
158,7,1,185,0,0,0,46116.09,1386.19,47502.29,1
159,7,-1,185,0,1,0,44299.69,601.90,44901.59,1
159,7,1,185,0,1,0,45952.01,953.88,46905.89,1
160,7,-1,185,0,0,0,36154.50,870.58,37025.08,1
160,7,1,185,0,0,0,37243.27,1128.27,38371.54,1
161,7,-1,185,0,1,0,36173.04,293.76,36466.81,1
161,7,1,185,0,1,0,37397.64,561.04,37958.68,1
162,7,-1,185,0,0,1,47900.98,3210.71,51111.68,1
162,7,1,185,0,0,1,49877.26,3434.25,53311.51,1
163,7,-1,185,0,1,0,38970.96,477.63,39448.59,1
163,7,1,185,0,1,0,40523.93,808.16,41332.10,1
164,7,-1,185,0,0,0,42437.95,957.78,43395.74,1
164,7,1,185,0,0,0,43614.19,1383.79,44997.98,1
165,7,-1,185,0,1,0,41541.33,429.80,41971.14,1
165,7,1,185,0,1,0,43099.62,919.99,44019.61,1
166,7,-1,185,0,0,0,44575.61,964.47,45540.08,1
166,7,1,185,0,0,0,46285.68,1319.11,47604.79,1
167,7,-1,185,0,1,0,44239.53,508.25,44747.78,1
167,7,1,185,0,1,0,45210.67,769.29,45979.96,1
168,7,-1,185,0,0,0,35620.72,649.14,36269.87,1
168,7,1,185,0,0,0,38122.56,1219.32,39341.88,0
169,8,-1,190,0,0,0,38675.13,2266.10,40941.23,1
169,8,1,190,0,0,0,41219.66,2550.63,43770.30,1
170,8,-1,190,0,1,0,39378.97,1740.63,41119.61,1
170,8,1,190,0,1,0,40353.93,2006.49,42360.42,1
171,8,-1,190,0,0,0,41851.05,2164.26,44015.31,1
171,8,1,190,0,0,0,44162.66,2475.82,46638.48,1
172,8,-1,190,0,1,0,40893.97,1710.37,42604.34,1
172,8,1,190,0,1,0,43492.41,2053.26,45545.67,1
173,8,-1,190,0,0,0,44998.91,2194.00,47192.91,1
173,8,1,190,0,0,0,46492.06,2417.26,48909.32,1
174,8,-1,190,0,1,0,44698.72,2020.27,46719.00,1
174,8,1,190,0,1,0,46554.51,2157.02,48711.53,1
175,8,-1,190,0,0,0,47729.02,2193.17,49922.19,1
175,8,1,190,0,0,0,49841.06,2252.62,52093.68,1
176,8,-1,190,0,1,0,36410.05,2090.24,38500.29,1
176,8,1,190,0,1,0,37833.34,2045.36,39878.69,1
177,8,-1,190,0,0,1,47488.05,4403.74,51891.79,1
177,8,1,190,0,0,1,49056.13,4666.90,53723.03,1
178,8,-1,190,0,1,0,38575.21,1715.48,40290.69,1
178,8,1,190,0,1,0,41287.86,2043.22,43331.07,1
179,8,-1,190,0,0,0,41952.11,2320.77,44272.88,1
179,8,1,190,0,0,0,44515.19,2442.67,46957.86,1
180,8,-1,190,0,1,0,42682.83,1893.62,44576.45,1
180,8,1,190,0,1,0,42718.93,1958.76,44677.69,1
181,8,-1,190,0,0,0,45307.48,2219.86,47527.35,1
181,8,1,190,0,0,0,46296.77,2584.69,48881.46,1
182,8,-1,190,0,1,0,44021.22,1576.44,45597.67,1
182,8,1,190,0,1,0,46382.53,2145.25,48527.78,1
183,8,-1,190,0,0,0,48157.96,2137.27,50295.23,1
183,8,1,190,0,0,0,49505.33,2497.03,52002.36,1
184,8,-1,190,0,1,0,35695.05,1794.80,37489.85,1
184,8,1,190,0,1,0,37789.73,1974.58,39764.31,1
185,8,-1,190,0,0,0,38449.65,1930.78,40380.43,1
185,8,1,190,0,0,0,40758.02,2533.56,43291.58,1
186,8,-1,190,0,1,1,44496.59,2991.50,47488.09,1
186,8,1,190,0,1,1,46169.35,3527.82,49697.17,1
187,8,-1,190,0,0,0,41767.94,2197.76,43965.70,1
187,8,1,190,0,0,0,43886.04,2446.74,46332.78,1
188,8,-1,190,0,1,0,41680.14,1815.34,43495.48,1
188,8,1,190,0,1,0,43653.89,2064.19,45718.08,1
189,8,-1,190,0,0,0,44273.46,2056.32,46329.79,1
189,8,1,190,0,0,0,46399.72,2401.15,48800.87,1
190,8,-1,190,0,1,0,44485.54,1854.92,46340.46,1
190,8,1,190,0,1,0,46243.92,2246.44,48490.35,1
191,8,-1,190,0,0,0,48079.93,2047.24,50127.17,1
191,8,1,190,0,0,0,49541.45,2269.56,51811.01,1
192,8,-1,190,0,1,0,36335.82,1793.37,38129.20,1
192,8,1,190,0,1,0,37554.49,2196.40,39750.90,1
193,9,-1,195,0,1,0,39757.55,303.93,40061.48,1
193,9,1,195,0,1,0,40569.53,734.25,41303.78,1
194,9,-1,195,0,0,0,42657.57,1000.53,43658.10,1
194,9,1,195,0,0,0,44305.99,1288.42,45594.41,1
195,9,-1,195,0,1,0,42483.94,440.24,42924.18,1
195,9,1,195,0,1,0,44534.31,1007.28,45541.59,1
196,9,-1,195,0,0,0,45592.64,1154.13,46746.78,1
196,9,1,195,0,0,0,46718.17,1015.08,47733.26,0
197,9,-1,195,0,1,0,45178.90,610.48,45789.38,1
197,9,1,195,0,1,0,46766.10,762.05,47528.15,1
198,9,-1,195,0,0,0,48502.54,1008.18,49510.72,1
198,9,1,195,0,0,0,49529.58,1199.26,50728.84,1
199,9,-1,195,0,1,0,48323.46,541.96,48865.42,1
199,9,1,195,0,1,0,49287.14,717.54,50004.68,1
200,9,-1,195,0,0,0,39625.99,1131.34,40757.33,1
200,9,1,195,0,0,0,40698.26,1105.40,41803.66,1
201,9,-1,195,0,1,1,44797.73,1910.95,46708.69,1
201,9,1,195,0,1,1,47093.09,2284.19,49377.28,1
202,9,-1,195,0,0,0,42776.52,1108.49,43885.01,1
202,9,1,195,0,0,0,43862.29,1205.42,45067.71,1
203,9,-1,195,0,1,0,42531.29,533.25,43064.54,1
203,9,1,195,0,1,0,43971.19,704.83,44676.02,1
204,9,-1,195,0,0,0,45126.51,855.00,45981.50,1
204,9,1,195,0,0,0,46620.22,1472.01,48092.23,1
205,9,-1,195,0,1,0,44918.91,504.02,45422.93,1
205,9,1,195,0,1,0,47186.24,796.31,47982.56,1
206,9,-1,195,0,0,0,47811.22,687.37,48498.59,1
206,9,1,195,0,0,0,49336.10,1125.48,50461.58,1
207,9,-1,195,0,1,0,48407.49,519.96,48927.45,1
207,9,1,195,0,1,0,49711.44,933.37,50644.81,1
208,9,-1,195,0,0,0,40095.73,907.24,41002.97,1
208,9,1,195,0,0,0,41413.94,1306.06,42720.00,1
209,9,-1,195,0,1,0,39109.55,560.28,39669.83,1
209,9,1,195,0,1,0,41188.14,919.46,42107.60,1
210,9,-1,195,0,0,1,50820.19,3346.12,54166.31,1
210,9,1,195,0,0,1,51989.82,3675.59,55665.41,1
211,9,-1,195,0,1,0,42413.87,360.27,42774.14,1
211,9,1,195,0,1,0,44237.08,754.83,44991.91,1
212,9,-1,195,0,0,0,45565.85,901.31,46467.15,1
212,9,1,195,0,0,0,47016.33,1147.19,48163.52,1
213,9,-1,195,0,1,0,44759.92,521.92,45281.84,1
213,9,1,195,0,1,0,46733.34,720.95,47454.29,1
214,9,-1,195,0,0,0,48702.74,969.63,49672.37,1
214,9,1,195,0,0,0,49734.90,1226.76,50961.66,1
215,9,-1,195,0,1,0,48364.72,579.67,48944.39,1
215,9,1,195,0,1,0,49425.65,737.62,50163.27,1
216,9,-1,195,0,0,0,39313.54,1006.23,40319.77,1
216,9,1,195,0,0,0,40180.64,1022.16,41202.80,1
217,10,-1,200,0,0,0,42196.69,893.60,43090.29,1
217,10,1,200,0,0,0,44217.68,1131.65,45349.33,1
218,10,-1,200,0,1,0,42281.73,314.70,42596.43,1
218,10,1,200,0,1,0,44352.90,679.42,45032.32,1
219,10,-1,200,0,0,0,45097.28,910.75,46008.03,1
219,10,1,200,0,0,0,47432.20,1337.01,48769.20,1
220,10,-1,200,0,1,0,45758.83,221.31,45980.13,1
220,10,1,200,0,1,0,47082.98,971.49,48054.47,1
221,10,-1,200,0,0,0,47390.79,826.43,48217.22,1
221,10,1,200,0,0,0,49961.04,956.29,50917.33,1
222,10,-1,200,0,1,0,47665.71,441.15,48106.86,1
222,10,1,200,0,1,0,49425.43,692.45,50117.88,1
223,10,-1,200,0,0,0,51141.63,752.83,51894.46,1
223,10,1,200,0,0,0,53447.16,1565.13,55012.29,1
224,10,-1,200,0,1,0,39920.90,560.27,40481.17,1
224,10,1,200,0,1,0,41532.20,898.58,42430.78,1
