worker_id,arm,treated,information_content,planning_support,salience_boost,baseline_belief,post_belief,baseline_applications,applications_week1,search_plan_score,search_cost_index,prior_duration_weeks,exit_by_week4,observed_duration_weeks,censored_at_week8
search-worker-025,belief_info,1,1.0,0.2,0.35,0.348,0.467,2.45,4.25,51.2,0.46,2,0,5,0
search-worker-026,planning_prompt,1,0.25,1.0,0.45,0.348,0.411,2.45,4.52,56.38,0.46,2,1,3,0
search-worker-027,belief_planning,1,1.0,1.0,0.65,0.348,0.503,2.45,5.62,62.8,0.46,2,1,1,0
search-worker-028,control,0,0.0,0.0,0.0,0.366,0.358,2.9,3.0,40.12,0.495,3,1,4,0
search-worker-029,belief_info,1,1.0,0.2,0.35,0.366,0.488,2.9,4.82,51.62,0.495,3,1,2,0
search-worker-030,planning_prompt,1,0.25,1.0,0.45,0.366,0.433,2.9,5.09,56.8,0.495,3,0,6,0
search-worker-031,belief_planning,1,1.0,1.0,0.65,0.366,0.524,2.9,6.2,63.22,0.495,3,1,4,0
search-worker-032,control,0,0.0,0.0,0.0,0.384,0.386,3.35,3.18,41.95,0.25,4,1,1,0
search-worker-033,belief_info,1,1.0,0.2,0.35,0.384,0.517,3.35,4.99,53.45,0.25,4,0,5,0
search-worker-034,planning_prompt,1,0.25,1.0,0.45,0.384,0.461,3.35,5.26,58.62,0.25,4,1,3,0
search-worker-035,belief_planning,1,1.0,1.0,0.65,0.384,0.552,3.35,6.37,65.05,0.25,4,1,1,0
search-worker-036,control,0,0.0,0.0,0.0,0.402,0.395,3.8,3.75,42.38,0.285,5,1,4,0
search-worker-037,belief_info,1,1.0,0.2,0.35,0.402,0.526,3.8,5.57,53.88,0.285,5,1,2,0
search-worker-038,planning_prompt,1,0.25,1.0,0.45,0.402,0.47,3.8,5.84,59.05,0.285,5,0,6,0
search-worker-039,belief_planning,1,1.0,1.0,0.65,0.402,0.561,3.8,6.94,65.47,0.285,5,1,4,0
search-worker-040,control,0,0.0,0.0,0.0,0.24,0.236,2.0,2.08,42.8,0.32,6,1,2,0
search-worker-041,belief_info,1,1.0,0.2,0.35,0.24,0.367,2.0,3.89,54.3,0.32,6,0,5,0
search-worker-042,planning_prompt,1,0.25,1.0,0.45,0.24,0.311,2.0,4.17,59.47,0.32,6,1,3,0
search-worker-043,belief_planning,1,1.0,1.0,0.65,0.24,0.402,2.0,5.27,65.9,0.32,6,1,1,0
search-worker-044,control,0,0.0,0.0,0.0,0.258,0.257,2.45,2.65,43.23,0.355,7,0,5,0
search-worker-045,belief_info,1,1.0,0.2,0.35,0.258,0.388,2.45,4.47,54.73,0.355,7,1,3,0
search-worker-046,planning_prompt,1,0.25,1.0,0.45,0.258,0.332,2.45,4.74,59.9,0.355,7,0,6,0
search-worker-047,belief_planning,1,1.0,1.0,0.65,0.258,0.423,2.45,5.84,66.32,0.355,7,1,4,0
search-worker-048,control,0,0.0,0.0,0.0,0.276,0.266,2.9,2.63,40.05,0.39,2,1,2,0
search-worker-049,belief_info,1,1.0,0.2,0.35,0.276,0.397,2.9,4.44,51.55,0.39,2,0,6,0
search-worker-050,planning_prompt,1,0.25,1.0,0.45,0.276,0.341,2.9,4.72,56.72,0.39,2,1,3,0
search-worker-051,belief_planning,1,1.0,1.0,0.65,0.276,0.432,2.9,5.82,63.15,0.39,2,1,1,0
search-worker-052,control,0,0.0,0.0,0.0,0.294,0.287,3.35,3.2,40.48,0.425,3,0,5,0
search-worker-053,belief_info,1,1.0,0.2,0.35,0.294,0.418,3.35,5.02,51.98,0.425,3,1,3,0
search-worker-054,planning_prompt,1,0.25,1.0,0.45,0.294,0.362,3.35,5.29,57.15,0.425,3,1,1,0
search-worker-055,belief_planning,1,1.0,1.0,0.65,0.294,0.454,3.35,6.4,63.57,0.425,3,1,4,0
search-worker-056,control,0,0.0,0.0,0.0,0.312,0.308,3.8,3.78,40.9,0.46,4,1,2,0
search-worker-057,belief_info,1,1.0,0.2,0.35,0.312,0.439,3.8,5.6,52.4,0.46,4,0,6,0
search-worker-058,planning_prompt,1,0.25,1.0,0.45,0.312,0.384,3.8,5.87,57.58,0.46,4,1,4,0
search-worker-059,belief_planning,1,1.0,1.0,0.65,0.312,0.475,3.8,6.97,64.0,0.46,4,1,1,0
search-worker-060,control,0,0.0,0.0,0.0,0.33,0.318,2.0,2.1,41.32,0.495,5,0,5,0
search-worker-061,belief_info,1,1.0,0.2,0.35,0.33,0.448,2.0,3.92,52.82,0.495,5,1,3,0
search-worker-062,planning_prompt,1,0.25,1.0,0.45,0.33,0.393,2.0,4.19,58.0,0.495,5,1,1,0
search-worker-063,belief_planning,1,1.0,1.0,0.65,0.33,0.484,2.0,5.3,64.42,0.495,5,0,5,0
search-worker-064,control,0,0.0,0.0,0.0,0.348,0.346,2.45,2.28,43.15,0.25,6,1,2,0
search-worker-065,belief_info,1,1.0,0.2,0.35,0.348,0.476,2.45,4.09,54.65,0.25,6,0,6,0
search-worker-066,planning_prompt,1,0.25,1.0,0.45,0.348,0.421,2.45,4.37,59.82,0.25,6,1,4,0
search-worker-067,belief_planning,1,1.0,1.0,0.65,0.348,0.512,2.45,5.47,66.25,0.25,6,1,2,0
search-worker-068,control,0,0.0,0.0,0.0,0.366,0.367,2.9,2.85,43.58,0.285,7,0,5,0
search-worker-069,belief_info,1,1.0,0.2,0.35,0.366,0.498,2.9,4.67,55.08,0.285,7,1,3,0
search-worker-070,planning_prompt,1,0.25,1.0,0.45,0.366,0.442,2.9,4.94,60.25,0.285,7,1,1,0
search-worker-071,belief_planning,1,1.0,1.0,0.65,0.366,0.533,2.9,6.04,66.67,0.285,7,0,5,0
search-worker-072,control,0,0.0,0.0,0.0,0.384,0.376,3.35,3.43,40.4,0.32,2,1,3,0
search-worker-073,belief_info,1,1.0,0.2,0.35,0.384,0.507,3.35,5.24,51.9,0.32,2,1,1,0
search-worker-074,planning_prompt,1,0.25,1.0,0.45,0.384,0.451,3.35,5.52,57.07,0.32,2,1,4,0
search-worker-075,belief_planning,1,1.0,1.0,0.65,0.384,0.542,3.35,6.62,63.5,0.32,2,1,2,0
search-worker-076,control,0,0.0,0.0,0.0,0.402,0.397,3.8,4.0,40.83,0.355,3,0,6,0
search-worker-077,belief_info,1,1.0,0.2,0.35,0.402,0.528,3.8,5.82,52.33,0.355,3,1,3,0
search-worker-078,planning_prompt,1,0.25,1.0,0.45,0.402,0.472,3.8,6.09,57.5,0.355,3,1,1,0
search-worker-079,belief_planning,1,1.0,1.0,0.65,0.402,0.563,3.8,7.19,63.92,0.355,3,0,5,0
search-worker-080,control,0,0.0,0.0,0.0,0.24,0.238,2.0,1.73,41.25,0.39,4,1,3,0
search-worker-081,belief_info,1,1.0,0.2,0.35,0.24,0.369,2.0,3.54,52.75,0.39,4,1,1,0
search-worker-082,planning_prompt,1,0.25,1.0,0.45,0.24,0.313,2.0,3.82,57.92,0.39,4,1,4,0
search-worker-083,belief_planning,1,1.0,1.0,0.65,0.24,0.405,2.0,4.92,64.35,0.39,4,1,2,0
search-worker-084,control,0,0.0,0.0,0.0,0.258,0.247,2.45,2.3,41.67,0.425,5,0,6,0
search-worker-085,belief_info,1,1.0,0.2,0.35,0.258,0.378,2.45,4.12,53.17,0.425,5,1,4,0
search-worker-086,planning_prompt,1,0.25,1.0,0.45,0.258,0.322,2.45,4.39,58.35,0.425,5,1,2,0
search-worker-087,belief_planning,1,1.0,1.0,0.65,0.258,0.414,2.45,5.5,64.77,0.425,5,0,5,0
search-worker-088,control,0,0.0,0.0,0.0,0.276,0.268,2.9,2.88,42.1,0.46,6,1,3,0
search-worker-089,belief_info,1,1.0,0.2,0.35,0.276,0.399,2.9,4.7,53.6,0.46,6,1,1,0
search-worker-090,planning_prompt,1,0.25,1.0,0.45,0.276,0.343,2.9,4.97,58.77,0.46,6,0,5,0
search-worker-091,belief_planning,1,1.0,1.0,0.65,0.276,0.435,2.9,6.07,65.2,0.46,6,1,2,0
search-worker-092,control,0,0.0,0.0,0.0,0.294,0.29,3.35,3.45,42.52,0.495,7,0,6,0
search-worker-093,belief_info,1,1.0,0.2,0.35,0.294,0.42,3.35,5.27,54.02,0.495,7,1,4,0
search-worker-094,planning_prompt,1,0.25,1.0,0.45,0.294,0.365,3.35,5.54,59.2,0.495,7,1,2,0
search-worker-095,belief_planning,1,1.0,1.0,0.65,0.294,0.456,3.35,6.65,65.62,0.495,7,0,5,0
search-worker-096,control,0,0.0,0.0,0.0,0.312,0.306,3.8,3.62,40.75,0.25,2,1,3,0
search-worker-097,belief_info,1,1.0,0.2,0.35,0.312,0.436,3.8,5.44,52.25,0.25,2,1,1,0
search-worker-098,planning_prompt,1,0.25,1.0,0.45,0.312,0.381,3.8,5.71,57.42,0.25,2,0,5,0
search-worker-099,belief_planning,1,1.0,1.0,0.65,0.312,0.472,3.8,6.82,63.85,0.25,2,1,3,0
search-worker-100,control,0,0.0,0.0,0.0,0.33,0.327,2.0,1.95,41.18,0.285,3,0,6,0
search-worker-101,belief_info,1,1.0,0.2,0.35,0.33,0.458,2.0,3.77,52.68,0.285,3,1,4,0
search-worker-102,planning_prompt,1,0.25,1.0,0.45,0.33,0.402,2.0,4.04,57.85,0.285,3,1,2,0
search-worker-103,belief_planning,1,1.0,1.0,0.65,0.33,0.493,2.0,5.14,64.27,0.285,3,0,6,0
search-worker-104,control,0,0.0,0.0,0.0,0.348,0.348,2.45,2.53,41.6,0.32,4,1,4,0
search-worker-105,belief_info,1,1.0,0.2,0.35,0.348,0.479,2.45,4.34,53.1,0.32,4,1,1,0
search-worker-106,planning_prompt,1,0.25,1.0,0.45,0.348,0.423,2.45,4.62,58.27,0.32,4,0,5,0
search-worker-107,belief_planning,1,1.0,1.0,0.65,0.348,0.514,2.45,5.72,64.7,0.32,4,1,3,0
search-worker-108,control,0,0.0,0.0,0.0,0.366,0.357,2.9,3.1,42.02,0.355,5,1,1,0
search-worker-109,belief_info,1,1.0,0.2,0.35,0.366,0.488,2.9,4.92,53.52,0.355,5,1,4,0
search-worker-110,planning_prompt,1,0.25,1.0,0.45,0.366,0.432,2.9,5.19,58.7,0.355,5,1,2,0
search-worker-111,belief_planning,1,1.0,1.0,0.65,0.366,0.523,2.9,6.29,65.12,0.355,5,1,1,0
search-worker-112,control,0,0.0,0.0,0.0,0.384,0.378,3.35,3.08,42.45,0.39,6,1,4,0
search-worker-113,belief_info,1,1.0,0.2,0.35,0.384,0.509,3.35,4.89,53.95,0.39,6,1,2,0
search-worker-114,planning_prompt,1,0.25,1.0,0.45,0.384,0.453,3.35,5.17,59.12,0.39,6,0,5,0
search-worker-115,belief_planning,1,1.0,1.0,0.65,0.384,0.544,3.35,6.27,65.55,0.39,6,1,3,0
search-worker-116,control,0,0.0,0.0,0.0,0.402,0.399,3.8,3.65,42.88,0.425,7,1,1,0
search-worker-117,belief_info,1,1.0,0.2,0.35,0.402,0.53,3.8,5.47,54.38,0.425,7,0,5,0
search-worker-118,planning_prompt,1,0.25,1.0,0.45,0.402,0.474,3.8,5.74,59.55,0.425,7,1,2,0
search-worker-119,belief_planning,1,1.0,1.0,0.65,0.402,0.566,3.8,6.85,65.97,0.425,7,1,1,0
search-worker-120,control,0,0.0,0.0,0.0,0.24,0.228,2.0,1.98,39.7,0.46,2,1,4,0
search-worker-121,belief_info,1,1.0,0.2,0.35,0.24,0.359,2.0,3.8,51.2,0.46,2,1,2,0
search-worker-122,planning_prompt,1,0.25,1.0,0.45,0.24,0.303,2.0,4.07,56.38,0.46,2,0,6,0
search-worker-123,belief_planning,1,1.0,1.0,0.65,0.24,0.395,2.0,5.17,62.8,0.46,2,1,3,0
search-worker-124,control,0,0.0,0.0,0.0,0.258,0.25,2.45,2.55,40.12,0.495,3,1,1,0
search-worker-125,belief_info,1,1.0,0.2,0.35,0.258,0.38,2.45,4.37,51.62,0.495,3,0,5,0
search-worker-126,planning_prompt,1,0.25,1.0,0.45,0.258,0.325,2.45,4.64,56.8,0.495,3,1,3,0
search-worker-127,belief_planning,1,1.0,1.0,0.65,0.258,0.416,2.45,5.75,63.22,0.495,3,1,1,0
search-worker-128,control,0,0.0,0.0,0.0,0.276,0.278,2.9,2.73,41.95,0.25,4,1,4,0
search-worker-129,belief_info,1,1.0,0.2,0.35,0.276,0.408,2.9,4.54,53.45,0.25,4,1,2,0
search-worker-130,planning_prompt,1,0.25,1.0,0.45,0.276,0.353,2.9,4.81,58.62,0.25,4,0,6,0
search-worker-131,belief_planning,1,1.0,1.0,0.65,0.276,0.444,2.9,5.92,65.05,0.25,4,1,4,0
search-worker-132,control,0,0.0,0.0,0.0,0.294,0.287,3.35,3.3,42.38,0.285,5,1,1,0
search-worker-133,belief_info,1,1.0,0.2,0.35,0.294,0.418,3.35,5.12,53.88,0.285,5,0,5,0
search-worker-134,planning_prompt,1,0.25,1.0,0.45,0.294,0.362,3.35,5.39,59.05,0.285,5,1,3,0
search-worker-135,belief_planning,1,1.0,1.0,0.65,0.294,0.453,3.35,6.49,65.47,0.285,5,1,1,0
search-worker-136,control,0,0.0,0.0,0.0,0.312,0.308,3.8,3.88,42.8,0.32,6,1,4,0
search-worker-137,belief_info,1,1.0,0.2,0.35,0.312,0.439,3.8,5.69,54.3,0.32,6,1,2,0
search-worker-138,planning_prompt,1,0.25,1.0,0.45,0.312,0.383,3.8,5.97,59.47,0.32,6,0,6,0
search-worker-139,belief_planning,1,1.0,1.0,0.65,0.312,0.474,3.8,7.07,65.9,0.32,6,1,4,0
search-worker-140,control,0,0.0,0.0,0.0,0.33,0.329,2.0,2.2,43.23,0.355,7,1,2,0
search-worker-141,belief_info,1,1.0,0.2,0.35,0.33,0.46,2.0,4.02,54.73,0.355,7,0,5,0
search-worker-142,planning_prompt,1,0.25,1.0,0.45,0.33,0.404,2.0,4.29,59.9,0.355,7,1,3,0
search-worker-143,belief_planning,1,1.0,1.0,0.65,0.33,0.495,2.0,5.39,66.32,0.355,7,1,1,0
search-worker-144,control,0,0.0,0.0,0.0,0.348,0.338,2.45,2.18,40.05,0.39,2,0,5,0
search-worker-145,belief_info,1,1.0,0.2,0.35,0.348,0.469,2.45,3.99,51.55,0.39,2,1,3,0
search-worker-146,planning_prompt,1,0.25,1.0,0.45,0.348,0.413,2.45,4.27,56.72,0.39,2,1,1,0
search-worker-147,belief_planning,1,1.0,1.0,0.65,0.348,0.504,2.45,5.37,63.15,0.39,2,1,4,0
search-worker-148,control,0,0.0,0.0,0.0,0.366,0.359,2.9,2.75,40.48,0.425,3,1,2,0
search-worker-149,belief_info,1,1.0,0.2,0.35,0.366,0.49,2.9,4.57,51.98,0.425,3,0,6,0
search-worker-150,planning_prompt,1,0.25,1.0,0.45,0.366,0.434,2.9,4.84,57.15,0.425,3,1,3,0
search-worker-151,belief_planning,1,1.0,1.0,0.65,0.366,0.526,2.9,5.95,63.57,0.425,3,1,1,0
search-worker-152,control,0,0.0,0.0,0.0,0.384,0.381,3.35,3.33,40.9,0.46,4,0,5,0
search-worker-153,belief_info,1,1.0,0.2,0.35,0.384,0.511,3.35,5.15,52.4,0.46,4,1,3,0
search-worker-154,planning_prompt,1,0.25,1.0,0.45,0.384,0.455,3.35,5.42,57.58,0.46,4,1,1,0
search-worker-155,belief_planning,1,1.0,1.0,0.65,0.384,0.547,3.35,6.52,64.0,0.46,4,1,4,0
search-worker-156,control,0,0.0,0.0,0.0,0.402,0.39,3.8,3.9,41.32,0.495,5,1,2,0
search-worker-157,belief_info,1,1.0,0.2,0.35,0.402,0.52,3.8,5.72,52.82,0.495,5,0,6,0
search-worker-158,planning_prompt,1,0.25,1.0,0.45,0.402,0.465,3.8,5.99,58.0,0.495,5,1,4,0
search-worker-159,belief_planning,1,1.0,1.0,0.65,0.402,0.556,3.8,7.1,64.42,0.495,5,1,1,0
search-worker-160,control,0,0.0,0.0,0.0,0.24,0.238,2.0,1.82,43.15,0.25,6,0,5,0
search-worker-161,belief_info,1,1.0,0.2,0.35,0.24,0.368,2.0,3.64,54.65,0.25,6,1,3,0
search-worker-162,planning_prompt,1,0.25,1.0,0.45,0.24,0.313,2.0,3.92,59.82,0.25,6,1,1,0
search-worker-163,belief_planning,1,1.0,1.0,0.65,0.24,0.404,2.0,5.02,66.25,0.25,6,0,5,0
search-worker-164,control,0,0.0,0.0,0.0,0.258,0.259,2.45,2.4,43.58,0.285,7,1,2,0
search-worker-165,belief_info,1,1.0,0.2,0.35,0.258,0.39,2.45,4.22,55.08,0.285,7,0,6,0
search-worker-166,planning_prompt,1,0.25,1.0,0.45,0.258,0.334,2.45,4.49,60.25,0.285,7,1,4,0
search-worker-167,belief_planning,1,1.0,1.0,0.65,0.258,0.425,2.45,5.59,66.67,0.285,7,1,2,0
search-worker-168,control,0,0.0,0.0,0.0,0.276,0.268,2.9,2.98,40.4,0.32,2,0,5,0
search-worker-169,belief_info,1,1.0,0.2,0.35,0.276,0.399,2.9,4.79,51.9,0.32,2,1,3,0
search-worker-170,planning_prompt,1,0.25,1.0,0.45,0.276,0.343,2.9,5.07,57.07,0.32,2,1,1,0
search-worker-171,belief_planning,1,1.0,1.0,0.65,0.276,0.434,2.9,6.17,63.5,0.32,2,0,5,0
search-worker-172,control,0,0.0,0.0,0.0,0.294,0.289,3.35,3.55,40.83,0.355,3,1,3,0
search-worker-173,belief_info,1,1.0,0.2,0.35,0.294,0.42,3.35,5.37,52.33,0.355,3,1,1,0
search-worker-174,planning_prompt,1,0.25,1.0,0.45,0.294,0.364,3.35,5.64,57.5,0.355,3,1,4,0
search-worker-175,belief_planning,1,1.0,1.0,0.65,0.294,0.455,3.35,6.74,63.92,0.355,3,1,2,0
search-worker-176,control,0,0.0,0.0,0.0,0.312,0.31,3.8,3.53,41.25,0.39,4,0,6,0
search-worker-177,belief_info,1,1.0,0.2,0.35,0.312,0.441,3.8,5.34,52.75,0.39,4,1,3,0
search-worker-178,planning_prompt,1,0.25,1.0,0.45,0.312,0.385,3.8,5.62,57.92,0.39,4,1,1,0
search-worker-179,belief_planning,1,1.0,1.0,0.65,0.312,0.476,3.8,6.72,64.35,0.39,4,0,5,0
search-worker-180,control,0,0.0,0.0,0.0,0.33,0.319,2.0,1.85,41.67,0.425,5,1,3,0
search-worker-181,belief_info,1,1.0,0.2,0.35,0.33,0.45,2.0,3.67,53.17,0.425,5,1,1,0
search-worker-182,planning_prompt,1,0.25,1.0,0.45,0.33,0.394,2.0,3.94,58.35,0.425,5,1,4,0
search-worker-183,belief_planning,1,1.0,1.0,0.65,0.33,0.486,2.0,5.05,64.77,0.425,5,1,2,0
search-worker-184,control,0,0.0,0.0,0.0,0.348,0.34,2.45,2.43,42.1,0.46,6,0,6,0
search-worker-185,belief_info,1,1.0,0.2,0.35,0.348,0.471,2.45,4.25,53.6,0.46,6,1,4,0
search-worker-186,planning_prompt,1,0.25,1.0,0.45,0.348,0.415,2.45,4.52,58.77,0.46,6,1,2,0
search-worker-187,belief_planning,1,1.0,1.0,0.65,0.348,0.507,2.45,5.62,65.2,0.46,6,0,5,0
search-worker-188,control,0,0.0,0.0,0.0,0.366,0.362,2.9,3.0,42.52,0.495,7,1,3,0
search-worker-189,belief_info,1,1.0,0.2,0.35,0.366,0.492,2.9,4.82,54.02,0.495,7,1,1,0
search-worker-190,planning_prompt,1,0.25,1.0,0.45,0.366,0.437,2.9,5.09,59.2,0.495,7,0,5,0
search-worker-191,belief_planning,1,1.0,1.0,0.65,0.366,0.528,2.9,6.2,65.62,0.495,7,1,2,0
search-worker-192,control,0,0.0,0.0,0.0,0.384,0.378,3.35,3.18,40.75,0.25,2,0,6,0
search-worker-193,belief_info,1,1.0,0.2,0.35,0.384,0.509,3.35,4.99,52.25,0.25,2,1,4,0
search-worker-194,planning_prompt,1,0.25,1.0,0.45,0.384,0.453,3.35,5.26,57.42,0.25,2,1,2,0
search-worker-195,belief_planning,1,1.0,1.0,0.65,0.384,0.544,3.35,6.37,63.85,0.25,2,0,5,0
search-worker-196,control,0,0.0,0.0,0.0,0.402,0.399,3.8,3.75,41.18,0.285,3,1,3,0
search-worker-197,belief_info,1,1.0,0.2,0.35,0.402,0.53,3.8,5.57,52.68,0.285,3,1,1,0
search-worker-198,planning_prompt,1,0.25,1.0,0.45,0.402,0.474,3.8,5.84,57.85,0.285,3,0,5,0
search-worker-199,belief_planning,1,1.0,1.0,0.65,0.402,0.565,3.8,6.94,64.27,0.285,3,1,3,0
search-worker-200,control,0,0.0,0.0,0.0,0.24,0.24,2.0,2.08,41.6,0.32,4,0,6,0
search-worker-201,belief_info,1,1.0,0.2,0.35,0.24,0.371,2.0,3.89,53.1,0.32,4,1,4,0
search-worker-202,planning_prompt,1,0.25,1.0,0.45,0.24,0.315,2.0,4.17,58.27,0.32,4,1,2,0
search-worker-203,belief_planning,1,1.0,1.0,0.65,0.24,0.406,2.0,5.27,64.7,0.32,4,0,6,0
search-worker-204,control,0,0.0,0.0,0.0,0.258,0.249,2.45,2.65,42.02,0.355,5,1,4,0
search-worker-205,belief_info,1,1.0,0.2,0.35,0.258,0.38,2.45,4.47,53.52,0.355,5,1,1,0
search-worker-206,planning_prompt,1,0.25,1.0,0.45,0.258,0.324,2.45,4.74,58.7,0.355,5,0,5,0
search-worker-207,belief_planning,1,1.0,1.0,0.65,0.258,0.415,2.45,5.84,65.12,0.355,5,1,3,0
search-worker-208,control,0,0.0,0.0,0.0,0.276,0.27,2.9,2.63,42.45,0.39,6,1,1,0
search-worker-209,belief_info,1,1.0,0.2,0.35,0.276,0.401,2.9,4.44,53.95,0.39,6,1,4,0
search-worker-210,planning_prompt,1,0.25,1.0,0.45,0.276,0.345,2.9,4.72,59.12,0.39,6,1,2,0
search-worker-211,belief_planning,1,1.0,1.0,0.65,0.276,0.436,2.9,5.82,65.55,0.39,6,0,6,0
search-worker-212,control,0,0.0,0.0,0.0,0.294,0.291,3.35,3.2,42.88,0.425,7,1,4,0
search-worker-213,belief_info,1,1.0,0.2,0.35,0.294,0.422,3.35,5.02,54.38,0.425,7,1,2,0
search-worker-214,planning_prompt,1,0.25,1.0,0.45,0.294,0.366,3.35,5.29,59.55,0.425,7,0,5,0
search-worker-215,belief_planning,1,1.0,1.0,0.65,0.294,0.458,3.35,6.4,65.97,0.425,7,1,3,0
search-worker-216,control,0,0.0,0.0,0.0,0.312,0.3,3.8,3.78,39.7,0.46,2,1,1,0
search-worker-217,belief_info,1,1.0,0.2,0.35,0.312,0.431,3.8,5.6,51.2,0.46,2,0,5,0
search-worker-218,planning_prompt,1,0.25,1.0,0.45,0.312,0.376,3.8,5.87,56.38,0.46,2,1,2,0
search-worker-219,belief_planning,1,1.0,1.0,0.65,0.312,0.467,3.8,6.97,62.8,0.46,2,1,1,0
search-worker-220,control,0,0.0,0.0,0.0,0.33,0.322,2.0,2.1,40.12,0.495,3,1,4,0
search-worker-221,belief_info,1,1.0,0.2,0.35,0.33,0.452,2.0,3.92,51.62,0.495,3,1,2,0
search-worker-222,planning_prompt,1,0.25,1.0,0.45,0.33,0.397,2.0,4.19,56.8,0.495,3,0,6,0
search-worker-223,belief_planning,1,1.0,1.0,0.65,0.33,0.488,2.0,5.3,63.22,0.495,3,1,3,0
search-worker-224,control,0,0.0,0.0,0.0,0.348,0.35,2.45,2.28,41.95,0.25,4,1,1,0
search-worker-225,belief_info,1,1.0,0.2,0.35,0.348,0.48,2.45,4.09,53.45,0.25,4,0,5,0
search-worker-226,planning_prompt,1,0.25,1.0,0.45,0.348,0.425,2.45,4.37,58.62,0.25,4,1,3,0
search-worker-227,belief_planning,1,1.0,1.0,0.65,0.348,0.516,2.45,5.47,65.05,0.25,4,1,1,0
search-worker-228,control,0,0.0,0.0,0.0,0.366,0.359,2.9,2.85,42.38,0.285,5,1,4,0
search-worker-229,belief_info,1,1.0,0.2,0.35,0.366,0.49,2.9,4.67,53.88,0.285,5,1,2,0
search-worker-230,planning_prompt,1,0.25,1.0,0.45,0.366,0.434,2.9,4.94,59.05,0.285,5,0,6,0
search-worker-231,belief_planning,1,1.0,1.0,0.65,0.366,0.525,2.9,6.04,65.47,0.285,5,1,4,0
search-worker-232,control,0,0.0,0.0,0.0,0.384,0.38,3.35,3.43,42.8,0.32,6,1,1,0
search-worker-233,belief_info,1,1.0,0.2,0.35,0.384,0.511,3.35,5.24,54.3,0.32,6,0,5,0
search-worker-234,planning_prompt,1,0.25,1.0,0.45,0.384,0.455,3.35,5.52,59.47,0.32,6,1,3,0
search-worker-235,belief_planning,1,1.0,1.0,0.65,0.384,0.546,3.35,6.62,65.9,0.32,6,1,1,0
search-worker-236,control,0,0.0,0.0,0.0,0.402,0.401,3.8,4.0,43.23,0.355,7,1,4,0
