earner_id,observed_earnings,counterfactual_earnings_synthetic,tax_kink,lower_marginal_tax_rate,upper_marginal_tax_rate,synthetic_buncher
73,46729.81,46736.14,50000.0,0.25,0.35,0
74,41781.99,41971.06,50000.0,0.25,0.35,0
75,60520.0,60519.85,50000.0,0.25,0.35,0
76,60222.09,60012.16,50000.0,0.25,0.35,0
77,36969.53,37111.78,50000.0,0.25,0.35,0
78,64323.97,64347.44,50000.0,0.25,0.35,0
79,41580.42,41342.59,50000.0,0.25,0.35,0
80,38934.41,38874.64,50000.0,0.25,0.35,0
81,49949.59,50915.65,50000.0,0.25,0.35,1
82,59606.15,59752.15,50000.0,0.25,0.35,0
83,30340.39,30421.73,50000.0,0.25,0.35,0
84,58606.5,58634.65,50000.0,0.25,0.35,0
85,60300.02,60323.24,50000.0,0.25,0.35,0
86,49720.84,56022.22,50000.0,0.25,0.35,1
87,56749.09,56721.79,50000.0,0.25,0.35,0
88,40607.13,40714.89,50000.0,0.25,0.35,0
89,49978.26,52602.47,50000.0,0.25,0.35,1
90,53227.5,53217.73,50000.0,0.25,0.35,0
91,49562.77,53976.61,50000.0,0.25,0.35,1
92,36713.79,36677.86,50000.0,0.25,0.35,0
93,45664.1,45622.32,50000.0,0.25,0.35,0
94,62525.73,62479.95,50000.0,0.25,0.35,0
95,79280.62,79134.12,50000.0,0.25,0.35,0
96,45419.08,45233.77,50000.0,0.25,0.35,0
97,51265.66,51289.23,50000.0,0.25,0.35,0
98,27398.03,27613.47,50000.0,0.25,0.35,0
99,58691.28,58499.0,50000.0,0.25,0.35,0
100,95000.0,95000.0,50000.0,0.25,0.35,0
101,91641.04,91793.06,50000.0,0.25,0.35,0
102,42374.05,42325.64,50000.0,0.25,0.35,0
103,35051.84,35435.43,50000.0,0.25,0.35,0
104,49716.24,49787.94,50000.0,0.25,0.35,0
105,94951.69,95000.0,50000.0,0.25,0.35,0
106,55970.11,55884.65,50000.0,0.25,0.35,0
107,51857.16,51997.58,50000.0,0.25,0.35,0
108,31863.83,31896.74,50000.0,0.25,0.35,0
109,49280.53,54832.46,50000.0,0.25,0.35,1
110,38915.94,39525.77,50000.0,0.25,0.35,0
111,34653.1,34708.56,50000.0,0.25,0.35,0
112,28103.83,28174.88,50000.0,0.25,0.35,0
113,39573.82,39453.15,50000.0,0.25,0.35,0
114,64952.54,64797.8,50000.0,0.25,0.35,0
115,29388.38,29416.25,50000.0,0.25,0.35,0
116,42659.8,42499.75,50000.0,0.25,0.35,0
117,62426.8,62307.14,50000.0,0.25,0.35,0
118,53206.01,53225.22,50000.0,0.25,0.35,0
119,39712.68,39867.46,50000.0,0.25,0.35,0
120,49198.77,49173.78,50000.0,0.25,0.35,0
121,43183.9,43460.84,50000.0,0.25,0.35,0
122,61386.85,61505.92,50000.0,0.25,0.35,0
123,60303.58,60514.41,50000.0,0.25,0.35,0
124,49153.18,49256.84,50000.0,0.25,0.35,0
125,87524.96,87630.92,50000.0,0.25,0.35,0
126,61030.82,61266.7,50000.0,0.25,0.35,0
127,48995.74,49358.81,50000.0,0.25,0.35,0
128,49602.98,51871.4,50000.0,0.25,0.35,1
129,49803.45,49980.94,50000.0,0.25,0.35,0
130,34475.0,34670.53,50000.0,0.25,0.35,0
131,49847.75,53391.37,50000.0,0.25,0.35,1
132,38582.69,38771.31,50000.0,0.25,0.35,0
133,24379.76,24518.22,50000.0,0.25,0.35,0
134,34483.45,34471.96,50000.0,0.25,0.35,0
135,37249.5,37347.52,50000.0,0.25,0.35,0
136,46945.68,46858.52,50000.0,0.25,0.35,0
137,42229.19,42274.0,50000.0,0.25,0.35,0
138,48964.85,53231.94,50000.0,0.25,0.35,1
139,42061.78,42383.79,50000.0,0.25,0.35,0
140,64728.16,64606.61,50000.0,0.25,0.35,0
141,63719.8,63844.24,50000.0,0.25,0.35,0
142,68572.75,68455.6,50000.0,0.25,0.35,0
143,47514.05,47606.73,50000.0,0.25,0.35,0
144,46866.37,46940.48,50000.0,0.25,0.35,0
145,46249.76,46239.85,50000.0,0.25,0.35,0
146,33850.08,33836.6,50000.0,0.25,0.35,0
147,40302.79,40312.23,50000.0,0.25,0.35,0
148,41695.37,41850.5,50000.0,0.25,0.35,0
149,84611.11,84433.43,50000.0,0.25,0.35,0
150,61759.93,61698.05,50000.0,0.25,0.35,0
151,83798.17,83887.03,50000.0,0.25,0.35,0
152,56787.61,56630.9,50000.0,0.25,0.35,0
153,63466.31,63325.6,50000.0,0.25,0.35,0
154,71453.11,71312.86,50000.0,0.25,0.35,0
155,44966.42,45003.2,50000.0,0.25,0.35,0
156,46350.03,46491.61,50000.0,0.25,0.35,0
157,43246.08,43498.93,50000.0,0.25,0.35,0
158,46253.6,46351.54,50000.0,0.25,0.35,0
159,48253.09,48097.17,50000.0,0.25,0.35,0
160,37659.69,37754.56,50000.0,0.25,0.35,0
161,62661.6,62530.07,50000.0,0.25,0.35,0
162,33495.53,33421.49,50000.0,0.25,0.35,0
163,66277.33,66103.75,50000.0,0.25,0.35,0
164,57390.06,57339.49,50000.0,0.25,0.35,0
165,41017.25,40878.34,50000.0,0.25,0.35,0
166,52234.8,52125.31,50000.0,0.25,0.35,0
167,49952.11,52442.86,50000.0,0.25,0.35,1
168,32392.63,32500.25,50000.0,0.25,0.35,0
169,74159.81,74074.24,50000.0,0.25,0.35,0
170,63185.88,62876.93,50000.0,0.25,0.35,0
171,33767.84,33761.88,50000.0,0.25,0.35,0
172,39429.68,39377.56,50000.0,0.25,0.35,0
173,59115.44,58888.75,50000.0,0.25,0.35,0
174,64814.56,64728.57,50000.0,0.25,0.35,0
175,49071.17,54044.77,50000.0,0.25,0.35,1
176,37516.76,37578.25,50000.0,0.25,0.35,0
177,46261.99,46136.21,50000.0,0.25,0.35,0
178,68248.53,68096.94,50000.0,0.25,0.35,0
179,27541.49,27771.78,50000.0,0.25,0.35,0
180,44291.43,44625.07,50000.0,0.25,0.35,0
181,38859.73,38693.46,50000.0,0.25,0.35,0
182,44685.32,45055.36,50000.0,0.25,0.35,0
183,49646.55,50449.75,50000.0,0.25,0.35,1
184,41708.84,41860.63,50000.0,0.25,0.35,0
185,33320.63,33563.53,50000.0,0.25,0.35,0
186,49048.49,48858.46,50000.0,0.25,0.35,0
187,39079.38,39330.34,50000.0,0.25,0.35,0
188,50005.01,53640.64,50000.0,0.25,0.35,1
189,43223.36,43172.17,50000.0,0.25,0.35,0
190,84151.44,84070.69,50000.0,0.25,0.35,0
191,56710.58,56835.25,50000.0,0.25,0.35,0
192,64204.96,64313.67,50000.0,0.25,0.35,0
193,38948.57,39166.1,50000.0,0.25,0.35,0
194,66316.42,66297.92,50000.0,0.25,0.35,0
195,55220.27,55174.19,50000.0,0.25,0.35,0
196,67913.62,67974.92,50000.0,0.25,0.35,0
197,66119.92,66095.29,50000.0,0.25,0.35,0
198,58695.94,58870.98,50000.0,0.25,0.35,0
199,54454.16,54550.76,50000.0,0.25,0.35,0
200,78826.81,78811.74,50000.0,0.25,0.35,0
201,31279.98,31275.51,50000.0,0.25,0.35,0
202,72156.71,72115.23,50000.0,0.25,0.35,0
203,42277.6,42330.58,50000.0,0.25,0.35,0
204,30786.73,30945.69,50000.0,0.25,0.35,0
205,64583.04,64571.37,50000.0,0.25,0.35,0
206,41470.42,41422.55,50000.0,0.25,0.35,0
207,82795.89,82652.41,50000.0,0.25,0.35,0
208,57153.73,56907.75,50000.0,0.25,0.35,0
209,37175.02,37215.29,50000.0,0.25,0.35,0
210,55295.25,55110.84,50000.0,0.25,0.35,0
211,41148.3,41028.74,50000.0,0.25,0.35,0
212,45743.8,45753.3,50000.0,0.25,0.35,0
213,46131.01,46151.39,50000.0,0.25,0.35,0
214,39940.3,39721.51,50000.0,0.25,0.35,0
215,31571.72,31542.43,50000.0,0.25,0.35,0
216,71563.57,71570.6,50000.0,0.25,0.35,0
217,72614.19,72814.16,50000.0,0.25,0.35,0
218,85716.24,85586.54,50000.0,0.25,0.35,0
219,41656.39,41766.03,50000.0,0.25,0.35,0
220,49083.87,51943.71,50000.0,0.25,0.35,1
221,59320.95,59258.23,50000.0,0.25,0.35,0
222,55903.46,55796.8,50000.0,0.25,0.35,0
223,39485.12,39785.37,50000.0,0.25,0.35,0
224,59145.39,58861.05,50000.0,0.25,0.35,0
225,63519.62,63469.66,50000.0,0.25,0.35,0
226,60254.02,60180.42,50000.0,0.25,0.35,0
227,49559.46,51140.28,50000.0,0.25,0.35,1
228,48383.54,48287.25,50000.0,0.25,0.35,0
229,37947.3,38174.22,50000.0,0.25,0.35,0
230,28169.34,27979.63,50000.0,0.25,0.35,0
231,49744.2,51182.72,50000.0,0.25,0.35,1
232,52653.64,52829.46,50000.0,0.25,0.35,0
233,49158.88,51226.32,50000.0,0.25,0.35,1
234,37032.46,37262.87,50000.0,0.25,0.35,0
235,43804.33,43685.87,50000.0,0.25,0.35,0
236,66225.4,66428.42,50000.0,0.25,0.35,0
237,59579.65,59556.92,50000.0,0.25,0.35,0
238,49871.99,54212.89,50000.0,0.25,0.35,1
239,49318.45,50195.68,50000.0,0.25,0.35,1
240,32228.19,32441.36,50000.0,0.25,0.35,0
241,50025.83,56771.9,50000.0,0.25,0.35,1
242,62198.1,61937.95,50000.0,0.25,0.35,0
243,74563.47,74598.54,50000.0,0.25,0.35,0
244,81945.75,81697.16,50000.0,0.25,0.35,0
245,48051.87,48137.98,50000.0,0.25,0.35,0
246,45318.09,45155.26,50000.0,0.25,0.35,0
247,30942.33,30885.37,50000.0,0.25,0.35,0
248,42005.77,41769.22,50000.0,0.25,0.35,0
249,85436.74,85587.71,50000.0,0.25,0.35,0
250,49481.66,53445.87,50000.0,0.25,0.35,1
251,49706.6,56563.37,50000.0,0.25,0.35,1
252,62093.49,61915.21,50000.0,0.25,0.35,0
253,70162.74,69941.28,50000.0,0.25,0.35,0
254,26808.42,26666.9,50000.0,0.25,0.35,0
255,62474.44,62578.91,50000.0,0.25,0.35,0
256,38305.04,38389.86,50000.0,0.25,0.35,0
257,40645.43,40562.99,50000.0,0.25,0.35,0
258,60482.94,60420.25,50000.0,0.25,0.35,0
259,33659.2,33716.2,50000.0,0.25,0.35,0
260,25848.13,25861.51,50000.0,0.25,0.35,0
261,61282.44,61351.75,50000.0,0.25,0.35,0
262,60439.46,60392.16,50000.0,0.25,0.35,0
263,47139.53,47077.8,50000.0,0.25,0.35,0
264,66510.44,66700.76,50000.0,0.25,0.35,0
265,49670.01,51046.1,50000.0,0.25,0.35,1
266,47036.43,47004.04,50000.0,0.25,0.35,0
267,49212.72,50965.83,50000.0,0.25,0.35,1
268,34197.37,34302.61,50000.0,0.25,0.35,0
269,50144.37,51226.18,50000.0,0.25,0.35,1
270,43329.36,43526.7,50000.0,0.25,0.35,0
271,38651.29,38664.69,50000.0,0.25,0.35,0
272,22891.69,22891.83,50000.0,0.25,0.35,0
273,68169.92,68271.58,50000.0,0.25,0.35,0
274,68067.36,68461.3,50000.0,0.25,0.35,0
275,45767.56,45505.2,50000.0,0.25,0.35,0
276,30540.51,30328.11,50000.0,0.25,0.35,0
277,49681.61,50302.06,50000.0,0.25,0.35,1
278,42790.32,42928.17,50000.0,0.25,0.35,0
279,68080.86,67899.45,50000.0,0.25,0.35,0
280,38780.66,38820.83,50000.0,0.25,0.35,0
281,44673.15,44397.04,50000.0,0.25,0.35,0
282,49738.5,56689.74,50000.0,0.25,0.35,1
283,53975.92,53887.8,50000.0,0.25,0.35,0
284,32517.11,32535.62,50000.0,0.25,0.35,0
285,47435.75,47686.02,50000.0,0.25,0.35,0
286,34427.22,34575.66,50000.0,0.25,0.35,0
287,25264.86,25213.66,50000.0,0.25,0.35,0
288,56220.89,55670.59,50000.0,0.25,0.35,0
289,46072.03,45931.26,50000.0,0.25,0.35,0
290,47212.18,47098.24,50000.0,0.25,0.35,0
291,38032.58,38124.13,50000.0,0.25,0.35,0
292,43689.69,43878.63,50000.0,0.25,0.35,0
293,37629.38,37588.12,50000.0,0.25,0.35,0
294,30189.92,30167.31,50000.0,0.25,0.35,0
295,63344.94,63153.82,50000.0,0.25,0.35,0
296,46418.98,46148.64,50000.0,0.25,0.35,0
297,36633.48,36342.82,50000.0,0.25,0.35,0
298,49860.77,54847.13,50000.0,0.25,0.35,1
299,84747.05,85136.48,50000.0,0.25,0.35,0
300,40539.12,40758.73,50000.0,0.25,0.35,0
301,59749.48,59973.78,50000.0,0.25,0.35,0
302,54185.17,53927.11,50000.0,0.25,0.35,0
303,47160.7,47175.9,50000.0,0.25,0.35,0
304,46938.06,47160.84,50000.0,0.25,0.35,0
305,62272.26,62144.49,50000.0,0.25,0.35,0
306,35938.85,36155.55,50000.0,0.25,0.35,0
307,49291.25,55959.68,50000.0,0.25,0.35,1
308,72787.67,72560.19,50000.0,0.25,0.35,0
309,48735.83,48776.69,50000.0,0.25,0.35,0
310,35105.58,34787.18,50000.0,0.25,0.35,0
311,29667.1,29732.15,50000.0,0.25,0.35,0
312,52985.48,52979.03,50000.0,0.25,0.35,0
313,72534.52,72361.79,50000.0,0.25,0.35,0
314,63399.62,63642.96,50000.0,0.25,0.35,0
315,46187.51,46059.89,50000.0,0.25,0.35,0
316,64620.95,64569.05,50000.0,0.25,0.35,0
317,34023.87,33781.61,50000.0,0.25,0.35,0
318,53625.17,53730.95,50000.0,0.25,0.35,0
319,33350.17,33551.07,50000.0,0.25,0.35,0
320,66572.27,66573.93,50000.0,0.25,0.35,0
321,38520.73,38462.38,50000.0,0.25,0.35,0
322,34777.47,34845.26,50000.0,0.25,0.35,0
323,34325.12,34159.71,50000.0,0.25,0.35,0
324,58754.9,58772.0,50000.0,0.25,0.35,0
325,47939.06,48099.71,50000.0,0.25,0.35,0
326,34909.45,34639.14,50000.0,0.25,0.35,0
327,36366.22,36373.4,50000.0,0.25,0.35,0
328,39187.83,39177.72,50000.0,0.25,0.35,0
329,47055.81,47074.54,50000.0,0.25,0.35,0
330,49546.37,51888.81,50000.0,0.25,0.35,1
331,49358.37,53526.25,50000.0,0.25,0.35,1
332,49534.81,49252.22,50000.0,0.25,0.35,0
333,45594.88,45629.86,50000.0,0.25,0.35,0
334,49300.3,52302.5,50000.0,0.25,0.35,1
335,33878.02,33861.63,50000.0,0.25,0.35,0
336,52667.36,52750.81,50000.0,0.25,0.35,0
337,76518.13,76668.9,50000.0,0.25,0.35,0
338,61267.24,61506.89,50000.0,0.25,0.35,0
339,45415.98,45136.51,50000.0,0.25,0.35,0
340,50406.64,50264.95,50000.0,0.25,0.35,0
341,57921.03,58104.54,50000.0,0.25,0.35,0
342,34748.94,34799.69,50000.0,0.25,0.35,0
343,40855.1,41107.64,50000.0,0.25,0.35,0
344,57148.75,57111.02,50000.0,0.25,0.35,0
345,50025.01,51345.27,50000.0,0.25,0.35,1
346,41408.0,41229.73,50000.0,0.25,0.35,0
347,40504.32,40430.01,50000.0,0.25,0.35,0
348,53831.35,53505.0,50000.0,0.25,0.35,0
349,49914.41,49822.44,50000.0,0.25,0.35,0
350,82775.47,82559.67,50000.0,0.25,0.35,0
351,59712.97,59488.05,50000.0,0.25,0.35,0
352,67410.09,67429.09,50000.0,0.25,0.35,0
353,49348.69,51068.65,50000.0,0.25,0.35,1
354,49265.28,54196.14,50000.0,0.25,0.35,1
355,60232.23,60389.49,50000.0,0.25,0.35,0
356,78205.81,78108.84,50000.0,0.25,0.35,0
357,40216.98,40027.77,50000.0,0.25,0.35,0
358,47830.75,47938.07,50000.0,0.25,0.35,0
359,41430.75,41504.07,50000.0,0.25,0.35,0
360,54034.23,53697.92,50000.0,0.25,0.35,0
361,56407.55,56178.96,50000.0,0.25,0.35,0
362,47894.87,48056.22,50000.0,0.25,0.35,0
363,49371.13,56137.24,50000.0,0.25,0.35,1
364,35240.23,35156.1,50000.0,0.25,0.35,0
365,58335.28,58214.03,50000.0,0.25,0.35,0
366,33845.65,33627.4,50000.0,0.25,0.35,0
367,63013.51,63115.47,50000.0,0.25,0.35,0
368,44341.73,44355.49,50000.0,0.25,0.35,0
369,34515.67,34463.89,50000.0,0.25,0.35,0
370,47247.26,47144.41,50000.0,0.25,0.35,0
371,46013.5,45907.85,50000.0,0.25,0.35,0
372,59811.17,60120.51,50000.0,0.25,0.35,0
373,72797.01,73052.49,50000.0,0.25,0.35,0
374,46613.25,46551.52,50000.0,0.25,0.35,0
375,57743.76,57710.47,50000.0,0.25,0.35,0
376,49669.46,49835.92,50000.0,0.25,0.35,0
377,42788.71,43181.36,50000.0,0.25,0.35,0
378,42781.18,42732.19,50000.0,0.25,0.35,0
379,66089.78,66189.1,50000.0,0.25,0.35,0
380,42078.18,42018.03,50000.0,0.25,0.35,0
381,35553.1,35362.23,50000.0,0.25,0.35,0
382,44751.44,44715.35,50000.0,0.25,0.35,0
383,55136.96,54976.27,50000.0,0.25,0.35,0
384,41866.75,42117.88,50000.0,0.25,0.35,0
385,49606.62,54732.9,50000.0,0.25,0.35,1
386,72939.87,72589.78,50000.0,0.25,0.35,0
387,31277.28,31191.53,50000.0,0.25,0.35,0
388,40135.2,39866.02,50000.0,0.25,0.35,0
389,91883.14,92254.94,50000.0,0.25,0.35,0
390,44653.67,44348.57,50000.0,0.25,0.35,0
391,48451.03,48367.86,50000.0,0.25,0.35,0
392,44082.02,44421.2,50000.0,0.25,0.35,0
393,61189.3,61098.64,50000.0,0.25,0.35,0
394,47620.78,47758.17,50000.0,0.25,0.35,0
395,30721.12,30604.77,50000.0,0.25,0.35,0
396,49271.8,50431.59,50000.0,0.25,0.35,1
397,34168.96,33951.34,50000.0,0.25,0.35,0
398,50436.6,50558.67,50000.0,0.25,0.35,0
399,30686.54,30596.09,50000.0,0.25,0.35,0
400,31108.9,30865.18,50000.0,0.25,0.35,0
401,53442.74,53573.85,50000.0,0.25,0.35,0
402,65751.38,65636.24,50000.0,0.25,0.35,0
403,34883.91,35134.74,50000.0,0.25,0.35,0
404,37601.33,37744.13,50000.0,0.25,0.35,0
405,35836.6,35951.12,50000.0,0.25,0.35,0
406,70915.82,70923.46,50000.0,0.25,0.35,0
407,42106.53,42143.44,50000.0,0.25,0.35,0
408,69853.4,69938.83,50000.0,0.25,0.35,0
409,61319.72,61436.81,50000.0,0.25,0.35,0
410,51665.25,51531.48,50000.0,0.25,0.35,0
411,45027.39,45368.68,50000.0,0.25,0.35,0
412,46946.12,46733.19,50000.0,0.25,0.35,0
413,35442.0,35538.05,50000.0,0.25,0.35,0
414,49887.17,49709.64,50000.0,0.25,0.35,0
415,42539.6,42556.63,50000.0,0.25,0.35,0
416,35916.04,35824.56,50000.0,0.25,0.35,0
417,49438.7,49559.48,50000.0,0.25,0.35,0
418,35985.55,35980.43,50000.0,0.25,0.35,0
419,45628.27,45983.67,50000.0,0.25,0.35,0
420,42167.56,42145.39,50000.0,0.25,0.35,0
421,41413.57,41618.22,50000.0,0.25,0.35,0
422,47573.44,47374.55,50000.0,0.25,0.35,0
423,81573.75,81228.58,50000.0,0.25,0.35,0
424,73317.36,73123.65,50000.0,0.25,0.35,0
425,69467.09,69533.36,50000.0,0.25,0.35,0
426,58519.45,58741.28,50000.0,0.25,0.35,0
427,35212.65,35195.18,50000.0,0.25,0.35,0
428,46537.53,46638.41,50000.0,0.25,0.35,0
429,29334.26,29380.14,50000.0,0.25,0.35,0
430,37997.46,37916.74,50000.0,0.25,0.35,0
431,45536.57,45610.41,50000.0,0.25,0.35,0
432,55734.49,55722.46,50000.0,0.25,0.35,0
433,58540.83,58493.93,50000.0,0.25,0.35,0
434,64956.72,64741.63,50000.0,0.25,0.35,0
435,40111.97,40116.48,50000.0,0.25,0.35,0
436,65721.59,65785.41,50000.0,0.25,0.35,0
437,63228.27,63126.92,50000.0,0.25,0.35,0
438,46264.23,46194.12,50000.0,0.25,0.35,0
439,36105.6,35977.71,50000.0,0.25,0.35,0
440,49842.01,51012.73,50000.0,0.25,0.35,1
441,74381.83,74402.9,50000.0,0.25,0.35,0
442,47780.15,47551.54,50000.0,0.25,0.35,0
443,73539.63,73667.13,50000.0,0.25,0.35,0
444,35791.15,35794.54,50000.0,0.25,0.35,0
445,65293.59,65157.14,50000.0,0.25,0.35,0
446,81228.99,80807.28,50000.0,0.25,0.35,0
447,30894.59,30932.64,50000.0,0.25,0.35,0
448,94057.81,93764.19,50000.0,0.25,0.35,0
449,30923.47,30931.73,50000.0,0.25,0.35,0
450,67768.45,67847.5,50000.0,0.25,0.35,0
451,39519.29,39757.1,50000.0,0.25,0.35,0
452,31691.86,31859.1,50000.0,0.25,0.35,0
453,26790.36,26658.58,50000.0,0.25,0.35,0
454,60558.16,60299.86,50000.0,0.25,0.35,0
455,66103.87,66049.84,50000.0,0.25,0.35,0
456,51612.71,51670.2,50000.0,0.25,0.35,0
457,48740.18,50745.55,50000.0,0.25,0.35,1
458,64377.12,64358.15,50000.0,0.25,0.35,0
459,46282.37,46109.12,50000.0,0.25,0.35,0
460,77976.24,78220.12,50000.0,0.25,0.35,0
461,47705.54,47432.7,50000.0,0.25,0.35,0
462,45008.4,45065.68,50000.0,0.25,0.35,0
463,48399.34,48508.13,50000.0,0.25,0.35,0
464,45786.96,45668.97,50000.0,0.25,0.35,0
465,40436.81,40434.79,50000.0,0.25,0.35,0
466,39301.18,39307.87,50000.0,0.25,0.35,0
467,57542.66,57326.77,50000.0,0.25,0.35,0
468,52017.89,52359.25,50000.0,0.25,0.35,0
469,52906.48,53083.28,50000.0,0.25,0.35,0
470,53791.98,54073.07,50000.0,0.25,0.35,0
471,50232.7,49913.08,50000.0,0.25,0.35,0
472,41620.22,41790.2,50000.0,0.25,0.35,0
473,42000.07,42057.26,50000.0,0.25,0.35,0
474,77653.27,77941.46,50000.0,0.25,0.35,0
475,87981.92,87794.15,50000.0,0.25,0.35,0
476,41033.33,40953.4,50000.0,0.25,0.35,0
477,48965.48,52607.85,50000.0,0.25,0.35,1
478,40603.63,40466.04,50000.0,0.25,0.35,0
479,33368.06,33231.97,50000.0,0.25,0.35,0
480,73082.47,72731.6,50000.0,0.25,0.35,0
481,49978.9,54962.87,50000.0,0.25,0.35,1
482,39249.41,39620.04,50000.0,0.25,0.35,0
483,56323.64,56450.62,50000.0,0.25,0.35,0
484,56499.28,56473.35,50000.0,0.25,0.35,0
485,77302.29,77429.85,50000.0,0.25,0.35,0
486,60329.25,60354.6,50000.0,0.25,0.35,0
487,37966.95,37969.54,50000.0,0.25,0.35,0
488,42391.33,42481.91,50000.0,0.25,0.35,0
489,29411.29,29695.13,50000.0,0.25,0.35,0
490,49041.76,55306.74,50000.0,0.25,0.35,1
491,72146.59,72189.94,50000.0,0.25,0.35,0
492,67983.46,67935.51,50000.0,0.25,0.35,0
493,49323.56,55546.74,50000.0,0.25,0.35,1
494,49584.28,55758.16,50000.0,0.25,0.35,1
495,49680.92,52555.92,50000.0,0.25,0.35,1
496,67294.9,66788.11,50000.0,0.25,0.35,0
497,37477.38,37560.48,50000.0,0.25,0.35,0
498,60832.28,60649.49,50000.0,0.25,0.35,0
499,33024.57,32871.31,50000.0,0.25,0.35,0
500,50323.01,50437.17,50000.0,0.25,0.35,0
501,40938.31,41043.12,50000.0,0.25,0.35,0
502,44553.18,44688.22,50000.0,0.25,0.35,0
503,70935.81,71007.97,50000.0,0.25,0.35,0
504,47615.58,47685.0,50000.0,0.25,0.35,0
505,31644.48,31456.92,50000.0,0.25,0.35,0
506,49730.6,50160.58,50000.0,0.25,0.35,1
507,49555.35,51055.83,50000.0,0.25,0.35,1
508,39986.78,40086.31,50000.0,0.25,0.35,0
509,39145.61,39316.74,50000.0,0.25,0.35,0
510,60873.31,60929.14,50000.0,0.25,0.35,0
511,56826.29,56887.79,50000.0,0.25,0.35,0
512,54448.28,54484.96,50000.0,0.25,0.35,0
513,49657.23,49984.41,50000.0,0.25,0.35,0
