worker_id,arm,treated,salience,simplification,assistance,trust_support,expected_credit,baseline_awareness,post_awareness,baseline_trust,admin_burden,work_constraint,perceived_value,procedural_cost,net_perceived_gain,application_started,application_completed,claimed_by_deadline,weeks_to_claim,filing_accuracy,earnings_response_index
takeup-worker-0018,assistance,1,0.25,0.0,0.85,0.35,525,0.244,0.397,0.425,0.675,0.296,399.34,178.32,221.02,1,0,0,6,0.685,0.273
takeup-worker-0019,full_support,1,0.8,0.8,0.75,0.45,525,0.244,0.588,0.425,0.675,0.296,454.49,105.07,349.42,1,1,1,1,0.791,0.414
takeup-worker-0020,control,0,0.0,0.0,0.0,0.0,560,0.272,0.261,0.46,0.64,0.328,386.0,256.8,129.2,0,0,0,6,0.59,0.231
takeup-worker-0021,salience_notice,1,0.75,0.0,0.0,0.1,560,0.272,0.402,0.46,0.64,0.328,429.43,226.05,203.38,1,0,0,6,0.616,0.276
takeup-worker-0022,simplified_form,1,0.25,0.8,0.0,0.0,560,0.272,0.402,0.46,0.64,0.328,429.43,192.05,237.38,0,0,0,6,0.696,0.276
takeup-worker-0023,assistance,1,0.25,0.0,0.85,0.35,560,0.272,0.412,0.46,0.64,0.328,432.51,177.05,255.46,1,1,1,4,0.686,0.36
takeup-worker-0024,full_support,1,0.8,0.8,0.75,0.45,560,0.272,0.603,0.46,0.64,0.328,491.34,103.8,387.54,1,1,1,2,0.792,0.421
takeup-worker-0025,control,0,0.0,0.0,0.0,0.0,595,0.3,0.291,0.495,0.605,0.36,422.31,255.53,166.79,0,0,0,6,0.594,0.243
takeup-worker-0026,salience_notice,1,0.75,0.0,0.0,0.1,595,0.3,0.432,0.495,0.605,0.36,468.46,224.78,243.68,1,0,0,6,0.62,0.288
takeup-worker-0027,simplified_form,1,0.25,0.8,0.0,0.0,595,0.3,0.432,0.495,0.605,0.36,468.46,190.78,277.68,1,1,1,1,0.7,0.368
takeup-worker-0028,assistance,1,0.25,0.0,0.85,0.35,595,0.3,0.442,0.495,0.605,0.36,471.73,175.78,295.95,0,0,0,6,0.69,0.291
takeup-worker-0029,full_support,1,0.8,0.8,0.75,0.45,595,0.3,0.633,0.495,0.605,0.36,534.23,102.53,431.71,1,1,1,3,0.796,0.432
takeup-worker-0030,control,0,0.0,0.0,0.0,0.0,630,0.328,0.322,0.53,0.57,0.392,460.06,254.25,205.81,0,0,0,6,0.598,0.255
takeup-worker-0031,salience_notice,1,0.75,0.0,0.0,0.1,630,0.328,0.463,0.53,0.57,0.392,508.92,223.5,285.42,0,0,0,6,0.624,0.3
takeup-worker-0032,simplified_form,1,0.25,0.8,0.0,0.0,630,0.328,0.463,0.53,0.57,0.392,508.92,189.5,319.42,1,1,1,2,0.704,0.38
takeup-worker-0033,assistance,1,0.25,0.0,0.85,0.35,630,0.328,0.473,0.53,0.57,0.392,512.38,174.5,337.88,0,0,0,6,0.694,0.303
takeup-worker-0034,full_support,1,0.8,0.8,0.75,0.45,630,0.328,0.664,0.53,0.57,0.392,578.56,101.25,477.31,1,1,1,4,0.8,0.444
takeup-worker-0035,control,0,0.0,0.0,0.0,0.0,665,0.356,0.353,0.565,0.535,0.424,499.24,252.98,246.27,0,0,0,6,0.602,0.266
takeup-worker-0036,salience_notice,1,0.75,0.0,0.0,0.1,665,0.356,0.494,0.565,0.535,0.424,550.81,222.23,328.59,0,0,0,6,0.628,0.311
takeup-worker-0037,simplified_form,1,0.25,0.8,0.0,0.0,665,0.356,0.494,0.565,0.535,0.424,550.81,188.23,362.59,1,0,0,6,0.708,0.311
takeup-worker-0038,assistance,1,0.25,0.0,0.85,0.35,665,0.356,0.504,0.565,0.535,0.424,554.47,173.23,381.24,1,1,1,1,0.698,0.395
takeup-worker-0039,full_support,1,0.8,0.8,0.75,0.45,665,0.356,0.695,0.565,0.535,0.424,624.33,99.98,524.35,0,0,0,6,0.804,0.376
takeup-worker-0040,control,0,0.0,0.0,0.0,0.0,700,0.384,0.368,0.6,0.5,0.456,533.7,251.7,282.0,1,0,0,6,0.603,0.273
takeup-worker-0041,salience_notice,1,0.75,0.0,0.0,0.1,700,0.384,0.509,0.6,0.5,0.456,587.98,220.95,367.03,0,0,0,6,0.629,0.318
takeup-worker-0042,simplified_form,1,0.25,0.8,0.0,0.0,700,0.384,0.509,0.6,0.5,0.456,587.98,186.95,401.03,1,1,1,4,0.709,0.398
takeup-worker-0043,assistance,1,0.25,0.0,0.85,0.35,700,0.384,0.519,0.6,0.5,0.456,591.83,171.95,419.88,1,1,1,2,0.699,0.401
takeup-worker-0044,full_support,1,0.8,0.8,0.75,0.45,700,0.384,0.71,0.6,0.5,0.456,665.37,98.7,566.67,1,1,1,1,0.805,0.462
takeup-worker-0045,control,0,0.0,0.0,0.0,0.0,735,0.412,0.399,0.32,0.465,0.488,552.28,250.42,301.86,1,0,0,6,0.607,0.284
takeup-worker-0046,salience_notice,1,0.75,0.0,0.0,0.1,735,0.412,0.54,0.32,0.465,0.488,609.28,219.67,389.61,1,1,1,1,0.633,0.41
takeup-worker-0047,simplified_form,1,0.25,0.8,0.0,0.0,735,0.412,0.54,0.32,0.465,0.488,609.28,185.67,423.61,0,0,0,6,0.713,0.33
takeup-worker-0048,assistance,1,0.25,0.0,0.85,0.35,735,0.412,0.55,0.32,0.465,0.488,613.33,170.67,442.65,1,1,1,3,0.703,0.413
takeup-worker-0049,full_support,1,0.8,0.8,0.75,0.45,735,0.412,0.741,0.32,0.465,0.488,690.54,97.42,593.11,1,1,1,1,0.809,0.474
takeup-worker-0050,control,0,0.0,0.0,0.0,0.0,770,0.44,0.43,0.355,0.78,0.52,594.36,285.9,308.46,1,0,0,6,0.611,0.279
takeup-worker-0051,salience_notice,1,0.75,0.0,0.0,0.1,770,0.44,0.571,0.355,0.78,0.52,654.07,255.15,398.92,1,1,1,2,0.637,0.404
takeup-worker-0052,simplified_form,1,0.25,0.8,0.0,0.0,770,0.44,0.571,0.355,0.78,0.52,654.07,221.15,432.92,0,0,0,6,0.717,0.324
takeup-worker-0053,assistance,1,0.25,0.0,0.85,0.35,770,0.44,0.581,0.355,0.78,0.52,658.3,206.15,452.15,1,1,1,4,0.707,0.407
takeup-worker-0054,full_support,1,0.8,0.8,0.75,0.45,770,0.44,0.772,0.355,0.78,0.52,739.19,132.9,606.29,1,1,1,1,0.813,0.468
takeup-worker-0055,control,0,0.0,0.0,0.0,0.0,805,0.468,0.473,0.39,0.745,0.2,643.32,258.23,385.09,0,0,0,6,0.635,0.294
takeup-worker-0056,salience_notice,1,0.75,0.0,0.0,0.1,805,0.468,0.614,0.39,0.745,0.2,705.74,227.48,478.27,1,0,0,6,0.661,0.339
takeup-worker-0057,simplified_form,1,0.25,0.8,0.0,0.0,805,0.468,0.614,0.39,0.745,0.2,705.74,193.48,512.27,1,1,1,1,0.741,0.419
takeup-worker-0058,assistance,1,0.25,0.0,0.85,0.35,805,0.468,0.624,0.39,0.745,0.2,710.17,178.48,531.7,0,0,0,6,0.73,0.342
takeup-worker-0059,full_support,1,0.8,0.8,0.75,0.45,805,0.468,0.815,0.39,0.745,0.2,794.74,105.23,689.51,1,1,1,2,0.837,0.484
takeup-worker-0060,control,0,0.0,0.0,0.0,0.0,840,0.16,0.152,0.425,0.71,0.232,525.87,256.95,268.92,0,0,0,6,0.576,0.193
takeup-worker-0061,salience_notice,1,0.75,0.0,0.0,0.1,840,0.16,0.293,0.425,0.71,0.232,591.01,226.2,364.81,1,0,0,6,0.601,0.238
takeup-worker-0062,simplified_form,1,0.25,0.8,0.0,0.0,840,0.16,0.293,0.425,0.71,0.232,591.01,192.2,398.81,1,1,1,2,0.681,0.318
takeup-worker-0063,assistance,1,0.25,0.0,0.85,0.35,840,0.16,0.303,0.425,0.71,0.232,595.63,177.2,418.43,0,0,0,6,0.671,0.241
takeup-worker-0064,full_support,1,0.8,0.8,0.75,0.45,840,0.16,0.494,0.425,0.71,0.232,683.87,103.95,579.92,1,1,1,3,0.777,0.383
takeup-worker-0065,control,0,0.0,0.0,0.0,0.0,875,0.188,0.183,0.46,0.675,0.264,565.7,255.68,310.03,0,0,0,6,0.58,0.205
takeup-worker-0066,salience_notice,1,0.75,0.0,0.0,0.1,875,0.188,0.324,0.46,0.675,0.264,633.56,224.93,408.63,0,0,0,6,0.605,0.25
takeup-worker-0067,simplified_form,1,0.25,0.8,0.0,0.0,875,0.188,0.324,0.46,0.675,0.264,633.56,190.93,442.63,1,0,0,6,0.685,0.25
takeup-worker-0068,assistance,1,0.25,0.0,0.85,0.35,875,0.188,0.334,0.46,0.675,0.264,638.37,175.93,462.45,1,1,1,1,0.675,0.333
takeup-worker-0069,full_support,1,0.8,0.8,0.75,0.45,875,0.188,0.525,0.46,0.675,0.264,730.29,102.68,627.62,1,1,1,4,0.781,0.394
takeup-worker-0070,control,0,0.0,0.0,0.0,0.0,910,0.216,0.214,0.495,0.64,0.296,606.97,254.4,352.57,1,1,1,2,0.584,0.296
takeup-worker-0071,salience_notice,1,0.75,0.0,0.0,0.1,910,0.216,0.355,0.495,0.64,0.296,677.54,223.65,453.89,0,0,0,6,0.609,0.261
takeup-worker-0072,simplified_form,1,0.25,0.8,0.0,0.0,910,0.216,0.355,0.495,0.64,0.296,677.54,189.65,487.89,1,1,1,3,0.689,0.341
takeup-worker-0073,assistance,1,0.25,0.0,0.85,0.35,910,0.216,0.365,0.495,0.64,0.296,682.55,174.65,507.9,1,1,1,1,0.679,0.345
takeup-worker-0074,full_support,1,0.8,0.8,0.75,0.45,910,0.216,0.556,0.495,0.64,0.296,778.14,101.4,676.74,1,1,1,1,0.785,0.406
takeup-worker-0075,control,0,0.0,0.0,0.0,0.0,945,0.244,0.245,0.53,0.605,0.328,649.67,253.12,396.55,1,0,0,6,0.588,0.228
takeup-worker-0076,salience_notice,1,0.75,0.0,0.0,0.1,945,0.244,0.386,0.53,0.605,0.328,722.96,222.38,500.58,1,1,1,1,0.613,0.353
takeup-worker-0077,simplified_form,1,0.25,0.8,0.0,0.0,945,0.244,0.386,0.53,0.605,0.328,722.96,188.38,534.58,1,1,1,4,0.693,0.353
takeup-worker-0078,assistance,1,0.25,0.0,0.85,0.35,945,0.244,0.396,0.53,0.605,0.328,728.16,173.38,554.78,1,1,1,2,0.683,0.356
takeup-worker-0079,full_support,1,0.8,0.8,0.75,0.45,945,0.244,0.587,0.53,0.605,0.328,827.43,100.12,727.3,1,1,1,1,0.789,0.417
takeup-worker-0080,control,0,0.0,0.0,0.0,0.0,420,0.272,0.259,0.565,0.57,0.36,293.65,251.85,41.8,1,0,0,6,0.589,0.235
takeup-worker-0081,salience_notice,1,0.75,0.0,0.0,0.1,420,0.272,0.4,0.565,0.57,0.36,326.22,221.1,105.12,0,0,0,6,0.614,0.28
takeup-worker-0082,simplified_form,1,0.25,0.8,0.0,0.0,420,0.272,0.4,0.565,0.57,0.36,326.22,187.1,139.12,0,0,0,6,0.694,0.28
takeup-worker-0083,assistance,1,0.25,0.0,0.85,0.35,420,0.272,0.41,0.565,0.57,0.36,328.53,172.1,156.43,1,0,0,6,0.684,0.283
takeup-worker-0084,full_support,1,0.8,0.8,0.75,0.45,420,0.272,0.601,0.565,0.57,0.36,372.65,98.85,273.8,1,1,1,1,0.79,0.424
takeup-worker-0085,control,0,0.0,0.0,0.0,0.0,455,0.3,0.29,0.6,0.535,0.392,327.44,250.58,76.87,0,0,0,6,0.593,0.246
takeup-worker-0086,salience_notice,1,0.75,0.0,0.0,0.1,455,0.3,0.431,0.6,0.535,0.392,362.73,219.83,142.9,1,1,1,2,0.618,0.371
takeup-worker-0087,simplified_form,1,0.25,0.8,0.0,0.0,455,0.3,0.431,0.6,0.535,0.392,362.73,185.83,176.9,0,0,0,6,0.698,0.291
takeup-worker-0088,assistance,1,0.25,0.0,0.85,0.35,455,0.3,0.441,0.6,0.535,0.392,365.23,170.83,194.41,1,0,0,6,0.688,0.294
takeup-worker-0089,full_support,1,0.8,0.8,0.75,0.45,455,0.3,0.632,0.6,0.535,0.392,413.03,97.58,315.45,1,1,1,2,0.794,0.436
takeup-worker-0090,control,0,0.0,0.0,0.0,0.0,490,0.328,0.321,0.32,0.5,0.424,347.23,249.3,97.93,0,0,0,6,0.597,0.258
takeup-worker-0091,salience_notice,1,0.75,0.0,0.0,0.1,490,0.328,0.462,0.32,0.5,0.424,385.23,218.55,166.68,1,0,0,6,0.622,0.303
takeup-worker-0092,simplified_form,1,0.25,0.8,0.0,0.0,490,0.328,0.462,0.32,0.5,0.424,385.23,184.55,200.68,0,0,0,6,0.702,0.303
takeup-worker-0093,assistance,1,0.25,0.0,0.85,0.35,490,0.328,0.472,0.32,0.5,0.424,387.93,169.55,218.38,0,0,0,6,0.692,0.306
takeup-worker-0094,full_support,1,0.8,0.8,0.75,0.45,490,0.328,0.663,0.32,0.5,0.424,439.4,96.3,343.1,1,1,1,3,0.798,0.447
takeup-worker-0095,control,0,0.0,0.0,0.0,0.0,525,0.356,0.352,0.355,0.465,0.456,382.79,248.02,134.76,0,0,0,6,0.601,0.269
takeup-worker-0096,salience_notice,1,0.75,0.0,0.0,0.1,525,0.356,0.493,0.355,0.465,0.456,423.5,217.27,206.23,1,0,0,6,0.626,0.315
takeup-worker-0097,simplified_form,1,0.25,0.8,0.0,0.0,525,0.356,0.493,0.355,0.465,0.456,423.5,183.27,240.23,1,1,1,2,0.706,0.395
takeup-worker-0098,assistance,1,0.25,0.0,0.85,0.35,525,0.356,0.503,0.355,0.465,0.456,426.39,168.27,258.12,0,0,0,6,0.696,0.318
takeup-worker-0099,full_support,1,0.8,0.8,0.75,0.45,525,0.356,0.694,0.355,0.465,0.456,481.54,95.02,386.52,1,1,1,3,0.802,0.459
takeup-worker-0100,control,0,0.0,0.0,0.0,0.0,560,0.384,0.367,0.39,0.78,0.488,414.85,283.5,131.35,0,0,0,6,0.602,0.258
takeup-worker-0101,salience_notice,1,0.75,0.0,0.0,0.1,560,0.384,0.508,0.39,0.78,0.488,458.28,252.75,205.53,0,0,0,6,0.627,0.304
takeup-worker-0102,simplified_form,1,0.25,0.8,0.0,0.0,560,0.384,0.508,0.39,0.78,0.488,458.28,218.75,239.53,1,0,0,6,0.707,0.304
takeup-worker-0103,assistance,1,0.25,0.0,0.85,0.35,560,0.384,0.518,0.39,0.78,0.488,461.36,203.75,257.61,0,0,0,6,0.697,0.307
takeup-worker-0104,full_support,1,0.8,0.8,0.75,0.45,560,0.384,0.709,0.39,0.78,0.488,520.19,130.5,389.69,0,0,0,6,0.803,0.368
takeup-worker-0105,control,0,0.0,0.0,0.0,0.0,595,0.412,0.398,0.425,0.745,0.52,452.97,282.23,170.74,0,0,0,6,0.606,0.27
takeup-worker-0106,salience_notice,1,0.75,0.0,0.0,0.1,595,0.412,0.539,0.425,0.745,0.52,499.11,251.48,247.63,0,0,0,6,0.631,0.315
takeup-worker-0107,simplified_form,1,0.25,0.8,0.0,0.0,595,0.412,0.539,0.425,0.745,0.52,499.11,217.48,281.63,1,1,1,4,0.711,0.395
takeup-worker-0108,assistance,1,0.25,0.0,0.85,0.35,595,0.412,0.549,0.425,0.745,0.52,502.38,202.48,299.91,1,1,1,1,0.701,0.398
takeup-worker-0109,full_support,1,0.8,0.8,0.75,0.45,595,0.412,0.74,0.425,0.745,0.52,564.89,129.23,435.66,0,0,0,6,0.807,0.379
takeup-worker-0110,control,0,0.0,0.0,0.0,0.0,630,0.44,0.441,0.46,0.71,0.2,496.79,254.55,242.24,1,0,0,6,0.629,0.286
takeup-worker-0111,salience_notice,1,0.75,0.0,0.0,0.1,630,0.44,0.582,0.46,0.71,0.2,545.64,223.8,321.84,0,0,0,6,0.655,0.331
takeup-worker-0112,simplified_form,1,0.25,0.8,0.0,0.0,630,0.44,0.582,0.46,0.71,0.2,545.64,189.8,355.84,0,0,0,6,0.735,0.331
takeup-worker-0113,assistance,1,0.25,0.0,0.85,0.35,630,0.44,0.592,0.46,0.71,0.2,549.11,174.8,374.31,1,1,1,2,0.725,0.414
takeup-worker-0114,full_support,1,0.8,0.8,0.75,0.45,630,0.44,0.783,0.46,0.71,0.2,615.29,101.55,513.74,1,1,1,1,0.831,0.475
takeup-worker-0115,control,0,0.0,0.0,0.0,0.0,665,0.468,0.472,0.495,0.675,0.232,538.01,253.28,284.73,1,0,0,6,0.633,0.297
takeup-worker-0116,salience_notice,1,0.75,0.0,0.0,0.1,665,0.468,0.613,0.495,0.675,0.232,589.58,222.53,367.05,1,1,1,2,0.659,0.422
takeup-worker-0117,simplified_form,1,0.25,0.8,0.0,0.0,665,0.468,0.613,0.495,0.675,0.232,589.58,188.53,401.05,0,0,0,6,0.739,0.342
takeup-worker-0118,assistance,1,0.25,0.0,0.85,0.35,665,0.468,0.623,0.495,0.675,0.232,593.24,173.53,419.71,1,1,1,3,0.729,0.426
takeup-worker-0119,full_support,1,0.8,0.8,0.75,0.45,665,0.468,0.814,0.495,0.675,0.232,663.09,100.28,562.82,1,1,1,1,0.835,0.487
takeup-worker-0120,control,0,0.0,0.0,0.0,0.0,700,0.16,0.151,0.53,0.64,0.264,445.14,252.0,193.14,0,0,0,6,0.574,0.196
takeup-worker-0121,salience_notice,1,0.75,0.0,0.0,0.1,700,0.16,0.292,0.53,0.64,0.264,499.43,221.25,278.18,1,0,0,6,0.599,0.241
takeup-worker-0122,simplified_form,1,0.25,0.8,0.0,0.0,700,0.16,0.292,0.53,0.64,0.264,499.43,187.25,312.18,0,0,0,6,0.679,0.241
takeup-worker-0123,assistance,1,0.25,0.0,0.85,0.35,700,0.16,0.302,0.53,0.64,0.264,503.28,172.25,331.03,1,1,1,4,0.669,0.325
takeup-worker-0124,full_support,1,0.8,0.8,0.75,0.45,700,0.16,0.493,0.53,0.64,0.264,576.81,99.0,477.81,1,1,1,2,0.775,0.386
takeup-worker-0125,control,0,0.0,0.0,0.0,0.0,735,0.188,0.182,0.565,0.605,0.296,482.46,250.73,231.73,0,0,0,6,0.578,0.208
takeup-worker-0126,salience_notice,1,0.75,0.0,0.0,0.1,735,0.188,0.323,0.565,0.605,0.296,539.45,219.98,319.48,1,0,0,6,0.603,0.253
takeup-worker-0127,simplified_form,1,0.25,0.8,0.0,0.0,735,0.188,0.323,0.565,0.605,0.296,539.45,185.98,353.48,1,1,1,1,0.683,0.333
takeup-worker-0128,assistance,1,0.25,0.0,0.85,0.35,735,0.188,0.333,0.565,0.605,0.296,543.5,170.98,372.52,0,0,0,6,0.673,0.256
takeup-worker-0129,full_support,1,0.8,0.8,0.75,0.45,735,0.188,0.524,0.565,0.605,0.296,620.71,97.73,522.98,1,1,1,3,0.779,0.397
takeup-worker-0130,control,0,0.0,0.0,0.0,0.0,770,0.216,0.213,0.6,0.57,0.328,521.2,249.45,271.75,0,0,0,6,0.582,0.22
takeup-worker-0131,salience_notice,1,0.75,0.0,0.0,0.1,770,0.216,0.354,0.6,0.57,0.328,580.92,218.7,362.22,0,0,0,6,0.607,0.265
takeup-worker-0132,simplified_form,1,0.25,0.8,0.0,0.0,770,0.216,0.354,0.6,0.57,0.328,580.92,184.7,396.22,1,1,1,2,0.687,0.345
takeup-worker-0133,assistance,1,0.25,0.0,0.85,0.35,770,0.216,0.364,0.6,0.57,0.328,585.15,169.7,415.45,0,0,0,6,0.677,0.268
takeup-worker-0134,full_support,1,0.8,0.8,0.75,0.45,770,0.216,0.555,0.6,0.57,0.328,666.04,96.45,569.59,1,1,1,4,0.783,0.409
takeup-worker-0135,control,0,0.0,0.0,0.0,0.0,805,0.244,0.243,0.32,0.535,0.36,536.03,248.18,287.85,0,0,0,6,0.586,0.231
takeup-worker-0136,salience_notice,1,0.75,0.0,0.0,0.1,805,0.244,0.384,0.32,0.535,0.36,598.45,217.43,381.03,0,0,0,6,0.611,0.276
takeup-worker-0137,simplified_form,1,0.25,0.8,0.0,0.0,805,0.244,0.384,0.32,0.535,0.36,598.45,183.43,415.03,1,1,1,3,0.691,0.356
takeup-worker-0138,assistance,1,0.25,0.0,0.85,0.35,805,0.244,0.394,0.32,0.535,0.36,602.88,168.43,434.46,1,1,1,1,0.681,0.359
takeup-worker-0139,full_support,1,0.8,0.8,0.75,0.45,805,0.244,0.585,0.32,0.535,0.36,687.45,95.18,592.27,1,1,1,5,0.787,0.421
takeup-worker-0140,control,0,0.0,0.0,0.0,0.0,840,0.272,0.258,0.355,0.5,0.392,569.15,246.9,322.25,1,0,0,6,0.587,0.238
takeup-worker-0141,salience_notice,1,0.75,0.0,0.0,0.1,840,0.272,0.399,0.355,0.5,0.392,634.29,216.15,418.14,0,0,0,6,0.612,0.283
takeup-worker-0142,simplified_form,1,0.25,0.8,0.0,0.0,840,0.272,0.399,0.355,0.5,0.392,634.29,182.15,452.14,1,1,1,4,0.692,0.363
takeup-worker-0143,assistance,1,0.25,0.0,0.85,0.35,840,0.272,0.409,0.355,0.5,0.392,638.91,167.15,471.76,1,1,1,2,0.682,0.366
takeup-worker-0144,full_support,1,0.8,0.8,0.75,0.45,840,0.272,0.6,0.355,0.5,0.392,727.15,93.9,633.25,1,1,1,1,0.788,0.427
takeup-worker-0145,control,0,0.0,0.0,0.0,0.0,875,0.3,0.289,0.39,0.465,0.424,610.78,245.62,365.16,1,0,0,6,0.591,0.249
takeup-worker-0146,salience_notice,1,0.75,0.0,0.0,0.1,875,0.3,0.43,0.39,0.465,0.424,678.64,214.88,463.76,1,1,1,1,0.616,0.374
takeup-worker-0147,simplified_form,1,0.25,0.8,0.0,0.0,875,0.3,0.43,0.39,0.465,0.424,678.64,180.88,497.76,0,0,0,6,0.696,0.294
takeup-worker-0148,assistance,1,0.25,0.0,0.85,0.35,875,0.3,0.44,0.39,0.465,0.424,683.45,165.88,517.58,1,1,1,3,0.686,0.378
takeup-worker-0149,full_support,1,0.8,0.8,0.75,0.45,875,0.3,0.631,0.39,0.465,0.424,775.37,92.62,682.75,1,1,1,1,0.792,0.439
takeup-worker-0150,control,0,0.0,0.0,0.0,0.0,910,0.328,0.32,0.425,0.78,0.456,653.86,281.1,372.76,1,1,1,4,0.595,0.323
takeup-worker-0151,salience_notice,1,0.75,0.0,0.0,0.1,910,0.328,0.461,0.425,0.78,0.456,724.43,250.35,474.08,1,1,1,2,0.62,0.369
takeup-worker-0152,simplified_form,1,0.25,0.8,0.0,0.0,910,0.328,0.461,0.425,0.78,0.456,724.43,216.35,508.08,0,0,0,6,0.7,0.289
takeup-worker-0153,assistance,1,0.25,0.0,0.85,0.35,910,0.328,0.471,0.425,0.78,0.456,729.43,201.35,528.08,1,1,1,4,0.69,0.372
takeup-worker-0154,full_support,1,0.8,0.8,0.75,0.45,910,0.328,0.662,0.425,0.78,0.456,825.03,128.1,696.93,1,1,1,1,0.796,0.433
takeup-worker-0155,control,0,0.0,0.0,0.0,0.0,945,0.356,0.351,0.46,0.745,0.488,698.36,279.82,418.54,0,0,0,6,0.599,0.255
takeup-worker-0156,salience_notice,1,0.75,0.0,0.0,0.1,945,0.356,0.492,0.46,0.745,0.488,771.65,249.07,522.57,1,0,0,6,0.624,0.3
takeup-worker-0157,simplified_form,1,0.25,0.8,0.0,0.0,945,0.356,0.492,0.46,0.745,0.488,771.65,215.07,556.57,1,1,1,1,0.704,0.38
takeup-worker-0158,assistance,1,0.25,0.0,0.85,0.35,945,0.356,0.502,0.46,0.745,0.488,776.84,200.07,576.77,0,0,0,6,0.694,0.303
takeup-worker-0159,full_support,1,0.8,0.8,0.75,0.45,945,0.356,0.693,0.46,0.745,0.488,876.12,126.82,749.29,1,1,1,2,0.8,0.444
takeup-worker-0160,control,0,0.0,0.0,0.0,0.0,420,0.384,0.366,0.495,0.71,0.52,315.29,278.55,36.74,0,0,0,6,0.6,0.262
takeup-worker-0161,salience_notice,1,0.75,0.0,0.0,0.1,420,0.384,0.507,0.495,0.71,0.52,347.86,247.8,100.06,1,0,0,6,0.625,0.307
takeup-worker-0162,simplified_form,1,0.25,0.8,0.0,0.0,420,0.384,0.507,0.495,0.71,0.52,347.86,213.8,134.06,0,0,0,6,0.705,0.307
takeup-worker-0163,assistance,1,0.25,0.0,0.85,0.35,420,0.384,0.517,0.495,0.71,0.52,350.17,198.8,151.37,0,0,0,6,0.695,0.31
takeup-worker-0164,full_support,1,0.8,0.8,0.75,0.45,420,0.384,0.708,0.495,0.71,0.52,394.29,125.55,268.74,1,1,1,3,0.801,0.451
takeup-worker-0165,control,0,0.0,0.0,0.0,0.0,455,0.412,0.409,0.53,0.675,0.2,353.97,250.88,103.09,0,0,0,6,0.624,0.277
