applicant_id,arm,eligible,prior_awareness,information_index,salience_index,hassle_index,perceived_eligibility,completed_claim,take_up
applicant-104,info_simplified,0,0.34,0.59,0.62,0.44,0.53,0,0
applicant-105,control,1,0.43,0.43,0.4,0.62,0.55,0,0
applicant-106,information,1,0.43,0.68,0.4,0.62,0.8,1,1
applicant-107,reminder,1,0.43,0.43,0.62,0.62,0.55,1,0
applicant-108,simplified,1,0.43,0.43,0.4,0.44,0.55,1,0
applicant-109,info_simplified,1,0.43,0.68,0.62,0.44,0.8,1,1
applicant-110,control,1,0.48,0.48,0.4,0.62,0.6,0,0
applicant-111,information,1,0.48,0.73,0.4,0.62,0.85,1,1
applicant-112,reminder,1,0.48,0.48,0.62,0.62,0.6,0,0
applicant-113,simplified,1,0.48,0.48,0.4,0.44,0.6,0,0
applicant-114,info_simplified,1,0.48,0.73,0.62,0.44,0.85,1,1
applicant-115,control,1,0.57,0.57,0.4,0.62,0.69,0,0
applicant-116,information,1,0.57,0.82,0.4,0.62,0.94,1,1
applicant-117,reminder,1,0.57,0.57,0.62,0.62,0.69,0,0
applicant-118,simplified,1,0.57,0.57,0.4,0.44,0.69,0,0
applicant-119,info_simplified,1,0.57,0.82,0.62,0.44,0.94,1,1
applicant-120,control,1,0.62,0.62,0.4,0.62,0.74,0,0
applicant-121,information,1,0.62,0.87,0.4,0.62,0.98,0,0
applicant-122,reminder,1,0.62,0.62,0.62,0.62,0.74,0,0
applicant-123,simplified,1,0.62,0.62,0.4,0.44,0.74,0,0
applicant-124,info_simplified,1,0.62,0.87,0.62,0.44,0.98,1,1
applicant-125,control,1,0.36,0.36,0.4,0.62,0.48,0,0
applicant-126,information,1,0.36,0.61,0.4,0.62,0.73,1,1
applicant-127,reminder,1,0.36,0.36,0.62,0.62,0.48,1,0
applicant-128,simplified,1,0.36,0.36,0.4,0.44,0.48,1,0
applicant-129,info_simplified,1,0.36,0.61,0.62,0.44,0.73,1,1
applicant-130,control,1,0.41,0.41,0.4,0.62,0.53,0,0
applicant-131,information,1,0.41,0.66,0.4,0.62,0.78,1,1
applicant-132,reminder,1,0.41,0.41,0.62,0.62,0.53,0,0
applicant-133,simplified,1,0.41,0.41,0.4,0.44,0.53,0,0
applicant-134,info_simplified,1,0.41,0.66,0.62,0.44,0.78,1,1
applicant-135,control,1,0.5,0.5,0.4,0.62,0.62,0,0
applicant-136,information,1,0.5,0.75,0.4,0.62,0.87,1,1
applicant-137,reminder,1,0.5,0.5,0.62,0.62,0.62,1,0
applicant-138,simplified,1,0.5,0.5,0.4,0.44,0.62,0,0
applicant-139,info_simplified,1,0.5,0.75,0.62,0.44,0.87,1,1
applicant-140,control,1,0.55,0.55,0.4,0.62,0.67,0,0
applicant-141,information,1,0.55,0.8,0.4,0.62,0.92,0,0
applicant-142,reminder,1,0.55,0.55,0.62,0.62,0.67,0,0
applicant-143,simplified,1,0.55,0.55,0.4,0.44,0.67,0,0
applicant-144,info_simplified,1,0.55,0.8,0.62,0.44,0.92,1,1
applicant-145,control,1,0.64,0.64,0.4,0.62,0.76,0,0
applicant-146,information,1,0.64,0.89,0.4,0.62,0.98,1,0
applicant-147,reminder,1,0.64,0.64,0.62,0.62,0.76,0,0
applicant-148,simplified,1,0.64,0.64,0.4,0.44,0.76,0,0
applicant-149,info_simplified,1,0.64,0.89,0.62,0.44,0.98,1,1
applicant-150,control,0,0.34,0.34,0.4,0.62,0.28,0,0
applicant-151,information,0,0.34,0.59,0.4,0.62,0.53,0,0
applicant-152,reminder,0,0.34,0.34,0.62,0.62,0.28,0,0
applicant-153,simplified,0,0.34,0.34,0.4,0.44,0.28,0,0
applicant-154,info_simplified,0,0.34,0.59,0.62,0.44,0.53,0,0
applicant-155,control,1,0.43,0.43,0.4,0.62,0.55,0,0
applicant-156,information,1,0.43,0.68,0.4,0.62,0.8,1,1
applicant-157,reminder,1,0.43,0.43,0.62,0.62,0.55,1,0
applicant-158,simplified,1,0.43,0.43,0.4,0.44,0.55,1,0
applicant-159,info_simplified,1,0.43,0.68,0.62,0.44,0.8,1,1
applicant-160,control,1,0.48,0.48,0.4,0.62,0.6,0,0
applicant-161,information,1,0.48,0.73,0.4,0.62,0.85,0,0
applicant-162,reminder,1,0.48,0.48,0.62,0.62,0.6,0,0
applicant-163,simplified,1,0.48,0.48,0.4,0.44,0.6,0,0
applicant-164,info_simplified,1,0.48,0.73,0.62,0.44,0.85,1,1
applicant-165,control,1,0.57,0.57,0.4,0.62,0.69,0,0
applicant-166,information,1,0.57,0.82,0.4,0.62,0.94,1,1
applicant-167,reminder,1,0.57,0.57,0.62,0.62,0.69,0,0
applicant-168,simplified,1,0.57,0.57,0.4,0.44,0.69,0,0
applicant-169,info_simplified,1,0.57,0.82,0.62,0.44,0.94,1,1
applicant-170,control,1,0.62,0.62,0.4,0.62,0.74,0,0
applicant-171,information,1,0.62,0.87,0.4,0.62,0.98,1,0
applicant-172,reminder,1,0.62,0.62,0.62,0.62,0.74,0,0
applicant-173,simplified,1,0.62,0.62,0.4,0.44,0.74,0,0
applicant-174,info_simplified,1,0.62,0.87,0.62,0.44,0.98,1,1
applicant-175,control,1,0.36,0.36,0.4,0.62,0.48,0,0
applicant-176,information,1,0.36,0.61,0.4,0.62,0.73,1,1
applicant-177,reminder,1,0.36,0.36,0.62,0.62,0.48,1,0
applicant-178,simplified,1,0.36,0.36,0.4,0.44,0.48,1,0
applicant-179,info_simplified,1,0.36,0.61,0.62,0.44,0.73,1,1
applicant-180,control,1,0.41,0.41,0.4,0.62,0.53,0,0
applicant-181,information,1,0.41,0.66,0.4,0.62,0.78,1,0
applicant-182,reminder,1,0.41,0.41,0.62,0.62,0.53,0,0
applicant-183,simplified,1,0.41,0.41,0.4,0.44,0.53,0,0
applicant-184,info_simplified,1,0.41,0.66,0.62,0.44,0.78,1,1
applicant-185,control,1,0.5,0.5,0.4,0.62,0.62,0,0
applicant-186,information,1,0.5,0.75,0.4,0.62,0.87,1,1
applicant-187,reminder,1,0.5,0.5,0.62,0.62,0.62,1,0
applicant-188,simplified,1,0.5,0.5,0.4,0.44,0.62,0,0
applicant-189,info_simplified,1,0.5,0.75,0.62,0.44,0.87,1,1
applicant-190,control,1,0.55,0.55,0.4,0.62,0.67,0,0
applicant-191,information,1,0.55,0.8,0.4,0.62,0.92,1,1
applicant-192,reminder,1,0.55,0.55,0.62,0.62,0.67,0,0
applicant-193,simplified,1,0.55,0.55,0.4,0.44,0.67,0,0
applicant-194,info_simplified,1,0.55,0.8,0.62,0.44,0.92,1,1
applicant-195,control,1,0.64,0.64,0.4,0.62,0.76,0,0
applicant-196,information,1,0.64,0.89,0.4,0.62,0.98,1,0
applicant-197,reminder,1,0.64,0.64,0.62,0.62,0.76,0,0
applicant-198,simplified,1,0.64,0.64,0.4,0.44,0.76,0,0
applicant-199,info_simplified,1,0.64,0.89,0.62,0.44,0.98,1,1
applicant-200,control,0,0.34,0.34,0.4,0.62,0.28,0,0
applicant-201,information,0,0.34,0.59,0.4,0.62,0.53,0,0
applicant-202,reminder,0,0.34,0.34,0.62,0.62,0.28,0,0
applicant-203,simplified,0,0.34,0.34,0.4,0.44,0.28,0,0
applicant-204,info_simplified,0,0.34,0.59,0.62,0.44,0.53,0,0
applicant-205,control,1,0.43,0.43,0.4,0.62,0.55,0,0
applicant-206,information,1,0.43,0.68,0.4,0.62,0.8,1,1
applicant-207,reminder,1,0.43,0.43,0.62,0.62,0.55,1,0
applicant-208,simplified,1,0.43,0.43,0.4,0.44,0.55,1,0
applicant-209,info_simplified,1,0.43,0.68,0.62,0.44,0.8,1,1
applicant-210,control,1,0.48,0.48,0.4,0.62,0.6,0,0
applicant-211,information,1,0.48,0.73,0.4,0.62,0.85,1,1
applicant-212,reminder,1,0.48,0.48,0.62,0.62,0.6,0,0
applicant-213,simplified,1,0.48,0.48,0.4,0.44,0.6,0,0
applicant-214,info_simplified,1,0.48,0.73,0.62,0.44,0.85,1,1
applicant-215,control,1,0.57,0.57,0.4,0.62,0.69,0,0
applicant-216,information,1,0.57,0.82,0.4,0.62,0.94,1,1
applicant-217,reminder,1,0.57,0.57,0.62,0.62,0.69,0,0
applicant-218,simplified,1,0.57,0.57,0.4,0.44,0.69,0,0
applicant-219,info_simplified,1,0.57,0.82,0.62,0.44,0.94,1,1
applicant-220,control,1,0.62,0.62,0.4,0.62,0.74,0,0
applicant-221,information,1,0.62,0.87,0.4,0.62,0.98,0,0
applicant-222,reminder,1,0.62,0.62,0.62,0.62,0.74,0,0
applicant-223,simplified,1,0.62,0.62,0.4,0.44,0.74,0,0
applicant-224,info_simplified,1,0.62,0.87,0.62,0.44,0.98,1,1
applicant-225,control,1,0.36,0.36,0.4,0.62,0.48,0,0
applicant-226,information,1,0.36,0.61,0.4,0.62,0.73,1,1
applicant-227,reminder,1,0.36,0.36,0.62,0.62,0.48,1,0
applicant-228,simplified,1,0.36,0.36,0.4,0.44,0.48,1,0
applicant-229,info_simplified,1,0.36,0.61,0.62,0.44,0.73,1,1
applicant-230,control,1,0.41,0.41,0.4,0.62,0.53,0,0
applicant-231,information,1,0.41,0.66,0.4,0.62,0.78,1,1
applicant-232,reminder,1,0.41,0.41,0.62,0.62,0.53,0,0
applicant-233,simplified,1,0.41,0.41,0.4,0.44,0.53,0,0
applicant-234,info_simplified,1,0.41,0.66,0.62,0.44,0.78,1,1
applicant-235,control,1,0.5,0.5,0.4,0.62,0.62,0,0
applicant-236,information,1,0.5,0.75,0.4,0.62,0.87,1,1
applicant-237,reminder,1,0.5,0.5,0.62,0.62,0.62,1,0
applicant-238,simplified,1,0.5,0.5,0.4,0.44,0.62,0,0
applicant-239,info_simplified,1,0.5,0.75,0.62,0.44,0.87,1,1
applicant-240,control,1,0.55,0.55,0.4,0.62,0.67,0,0
applicant-241,information,1,0.55,0.8,0.4,0.62,0.92,0,0
applicant-242,reminder,1,0.55,0.55,0.62,0.62,0.67,0,0
applicant-243,simplified,1,0.55,0.55,0.4,0.44,0.67,0,0
applicant-244,info_simplified,1,0.55,0.8,0.62,0.44,0.92,1,1
applicant-245,control,1,0.64,0.64,0.4,0.62,0.76,0,0
applicant-246,information,1,0.64,0.89,0.4,0.62,0.98,1,0
applicant-247,reminder,1,0.64,0.64,0.62,0.62,0.76,0,0
applicant-248,simplified,1,0.64,0.64,0.4,0.44,0.76,0,0
applicant-249,info_simplified,1,0.64,0.89,0.62,0.44,0.98,1,1
applicant-250,control,0,0.34,0.34,0.4,0.62,0.28,0,0
applicant-251,information,0,0.34,0.59,0.4,0.62,0.53,0,0
applicant-252,reminder,0,0.34,0.34,0.62,0.62,0.28,0,0
applicant-253,simplified,0,0.34,0.34,0.4,0.44,0.28,0,0
applicant-254,info_simplified,0,0.34,0.59,0.62,0.44,0.53,0,0
applicant-255,control,1,0.43,0.43,0.4,0.62,0.55,0,0
applicant-256,information,1,0.43,0.68,0.4,0.62,0.8,1,1
applicant-257,reminder,1,0.43,0.43,0.62,0.62,0.55,1,0
applicant-258,simplified,1,0.43,0.43,0.4,0.44,0.55,1,0
applicant-259,info_simplified,1,0.43,0.68,0.62,0.44,0.8,1,1
applicant-260,control,1,0.48,0.48,0.4,0.62,0.6,0,0
applicant-261,information,1,0.48,0.73,0.4,0.62,0.85,0,0
applicant-262,reminder,1,0.48,0.48,0.62,0.62,0.6,0,0
applicant-263,simplified,1,0.48,0.48,0.4,0.44,0.6,0,0
applicant-264,info_simplified,1,0.48,0.73,0.62,0.44,0.85,1,1
applicant-265,control,1,0.57,0.57,0.4,0.62,0.69,0,0
applicant-266,information,1,0.57,0.82,0.4,0.62,0.94,1,1
applicant-267,reminder,1,0.57,0.57,0.62,0.62,0.69,0,0
applicant-268,simplified,1,0.57,0.57,0.4,0.44,0.69,0,0
applicant-269,info_simplified,1,0.57,0.82,0.62,0.44,0.94,1,1
applicant-270,control,1,0.62,0.62,0.4,0.62,0.74,0,0
applicant-271,information,1,0.62,0.87,0.4,0.62,0.98,1,0
applicant-272,reminder,1,0.62,0.62,0.62,0.62,0.74,0,0
applicant-273,simplified,1,0.62,0.62,0.4,0.44,0.74,0,0
applicant-274,info_simplified,1,0.62,0.87,0.62,0.44,0.98,1,1
applicant-275,control,1,0.36,0.36,0.4,0.62,0.48,0,0
applicant-276,information,1,0.36,0.61,0.4,0.62,0.73,1,1
applicant-277,reminder,1,0.36,0.36,0.62,0.62,0.48,1,0
applicant-278,simplified,1,0.36,0.36,0.4,0.44,0.48,1,0
applicant-279,info_simplified,1,0.36,0.61,0.62,0.44,0.73,1,1
applicant-280,control,1,0.41,0.41,0.4,0.62,0.53,0,0
applicant-281,information,1,0.41,0.66,0.4,0.62,0.78,1,0
applicant-282,reminder,1,0.41,0.41,0.62,0.62,0.53,0,0
applicant-283,simplified,1,0.41,0.41,0.4,0.44,0.53,0,0
applicant-284,info_simplified,1,0.41,0.66,0.62,0.44,0.78,1,1
applicant-285,control,1,0.5,0.5,0.4,0.62,0.62,0,0
applicant-286,information,1,0.5,0.75,0.4,0.62,0.87,1,1
applicant-287,reminder,1,0.5,0.5,0.62,0.62,0.62,1,0
applicant-288,simplified,1,0.5,0.5,0.4,0.44,0.62,0,0
applicant-289,info_simplified,1,0.5,0.75,0.62,0.44,0.87,1,1
applicant-290,control,1,0.55,0.55,0.4,0.62,0.67,0,0
applicant-291,information,1,0.55,0.8,0.4,0.62,0.92,1,1
applicant-292,reminder,1,0.55,0.55,0.62,0.62,0.67,0,0
applicant-293,simplified,1,0.55,0.55,0.4,0.44,0.67,0,0
applicant-294,info_simplified,1,0.55,0.8,0.62,0.44,0.92,1,1
applicant-295,control,1,0.64,0.64,0.4,0.62,0.76,0,0
applicant-296,information,1,0.64,0.89,0.4,0.62,0.98,1,0
applicant-297,reminder,1,0.64,0.64,0.62,0.62,0.76,0,0
applicant-298,simplified,1,0.64,0.64,0.4,0.44,0.76,0,0
applicant-299,info_simplified,1,0.64,0.89,0.62,0.44,0.98,1,1
applicant-300,control,0,0.34,0.34,0.4,0.62,0.28,0,0
applicant-301,information,0,0.34,0.59,0.4,0.62,0.53,0,0
applicant-302,reminder,0,0.34,0.34,0.62,0.62,0.28,0,0
applicant-303,simplified,0,0.34,0.34,0.4,0.44,0.28,0,0
applicant-304,info_simplified,0,0.34,0.59,0.62,0.44,0.53,0,0
applicant-305,control,1,0.43,0.43,0.4,0.62,0.55,0,0
applicant-306,information,1,0.43,0.68,0.4,0.62,0.8,1,1
applicant-307,reminder,1,0.43,0.43,0.62,0.62,0.55,1,0
applicant-308,simplified,1,0.43,0.43,0.4,0.44,0.55,1,0
applicant-309,info_simplified,1,0.43,0.68,0.62,0.44,0.8,1,1
applicant-310,control,1,0.48,0.48,0.4,0.62,0.6,0,0
applicant-311,information,1,0.48,0.73,0.4,0.62,0.85,1,1
applicant-312,reminder,1,0.48,0.48,0.62,0.62,0.6,0,0
applicant-313,simplified,1,0.48,0.48,0.4,0.44,0.6,0,0
applicant-314,info_simplified,1,0.48,0.73,0.62,0.44,0.85,1,1
applicant-315,control,1,0.57,0.57,0.4,0.62,0.69,0,0
applicant-316,information,1,0.57,0.82,0.4,0.62,0.94,1,1
applicant-317,reminder,1,0.57,0.57,0.62,0.62,0.69,0,0
applicant-318,simplified,1,0.57,0.57,0.4,0.44,0.69,0,0
applicant-319,info_simplified,1,0.57,0.82,0.62,0.44,0.94,1,1
applicant-320,control,1,0.62,0.62,0.4,0.62,0.74,0,0
applicant-321,information,1,0.62,0.87,0.4,0.62,0.98,0,0
applicant-322,reminder,1,0.62,0.62,0.62,0.62,0.74,0,0
applicant-323,simplified,1,0.62,0.62,0.4,0.44,0.74,0,0
applicant-324,info_simplified,1,0.62,0.87,0.62,0.44,0.98,1,1
applicant-325,control,1,0.36,0.36,0.4,0.62,0.48,0,0
applicant-326,information,1,0.36,0.61,0.4,0.62,0.73,1,1
applicant-327,reminder,1,0.36,0.36,0.62,0.62,0.48,1,0
applicant-328,simplified,1,0.36,0.36,0.4,0.44,0.48,1,0
applicant-329,info_simplified,1,0.36,0.61,0.62,0.44,0.73,1,1
applicant-330,control,1,0.41,0.41,0.4,0.62,0.53,0,0
applicant-331,information,1,0.41,0.66,0.4,0.62,0.78,1,1
applicant-332,reminder,1,0.41,0.41,0.62,0.62,0.53,0,0
applicant-333,simplified,1,0.41,0.41,0.4,0.44,0.53,0,0
applicant-334,info_simplified,1,0.41,0.66,0.62,0.44,0.78,1,1
applicant-335,control,1,0.5,0.5,0.4,0.62,0.62,0,0
applicant-336,information,1,0.5,0.75,0.4,0.62,0.87,1,1
applicant-337,reminder,1,0.5,0.5,0.62,0.62,0.62,1,0
applicant-338,simplified,1,0.5,0.5,0.4,0.44,0.62,0,0
applicant-339,info_simplified,1,0.5,0.75,0.62,0.44,0.87,1,1
applicant-340,control,1,0.55,0.55,0.4,0.62,0.67,0,0
applicant-341,information,1,0.55,0.8,0.4,0.62,0.92,0,0
applicant-342,reminder,1,0.55,0.55,0.62,0.62,0.67,0,0
applicant-343,simplified,1,0.55,0.55,0.4,0.44,0.67,0,0
applicant-344,info_simplified,1,0.55,0.8,0.62,0.44,0.92,1,1
applicant-345,control,1,0.64,0.64,0.4,0.62,0.76,0,0
applicant-346,information,1,0.64,0.89,0.4,0.62,0.98,1,0
applicant-347,reminder,1,0.64,0.64,0.62,0.62,0.76,0,0
applicant-348,simplified,1,0.64,0.64,0.4,0.44,0.76,0,0
applicant-349,info_simplified,1,0.64,0.89,0.62,0.44,0.98,1,1
applicant-350,control,0,0.34,0.34,0.4,0.62,0.28,0,0
applicant-351,information,0,0.34,0.59,0.4,0.62,0.53,0,0
applicant-352,reminder,0,0.34,0.34,0.62,0.62,0.28,0,0
applicant-353,simplified,0,0.34,0.34,0.4,0.44,0.28,0,0
applicant-354,info_simplified,0,0.34,0.59,0.62,0.44,0.53,0,0
applicant-355,control,1,0.43,0.43,0.4,0.62,0.55,0,0
applicant-356,information,1,0.43,0.68,0.4,0.62,0.8,1,1
applicant-357,reminder,1,0.43,0.43,0.62,0.62,0.55,1,0
applicant-358,simplified,1,0.43,0.43,0.4,0.44,0.55,1,0
applicant-359,info_simplified,1,0.43,0.68,0.62,0.44,0.8,1,1
applicant-360,control,1,0.48,0.48,0.4,0.62,0.6,0,0
applicant-361,information,1,0.48,0.73,0.4,0.62,0.85,0,0
applicant-362,reminder,1,0.48,0.48,0.62,0.62,0.6,0,0
applicant-363,simplified,1,0.48,0.48,0.4,0.44,0.6,0,0
applicant-364,info_simplified,1,0.48,0.73,0.62,0.44,0.85,1,1
applicant-365,control,1,0.57,0.57,0.4,0.62,0.69,0,0
applicant-366,information,1,0.57,0.82,0.4,0.62,0.94,1,1
applicant-367,reminder,1,0.57,0.57,0.62,0.62,0.69,0,0
applicant-368,simplified,1,0.57,0.57,0.4,0.44,0.69,0,0
applicant-369,info_simplified,1,0.57,0.82,0.62,0.44,0.94,1,1
applicant-370,control,1,0.62,0.62,0.4,0.62,0.74,0,0
applicant-371,information,1,0.62,0.87,0.4,0.62,0.98,1,0
applicant-372,reminder,1,0.62,0.62,0.62,0.62,0.74,0,0
applicant-373,simplified,1,0.62,0.62,0.4,0.44,0.74,0,0
applicant-374,info_simplified,1,0.62,0.87,0.62,0.44,0.98,1,1
applicant-375,control,1,0.36,0.36,0.4,0.62,0.48,0,0
applicant-376,information,1,0.36,0.61,0.4,0.62,0.73,1,1
applicant-377,reminder,1,0.36,0.36,0.62,0.62,0.48,1,0
applicant-378,simplified,1,0.36,0.36,0.4,0.44,0.48,1,0
applicant-379,info_simplified,1,0.36,0.61,0.62,0.44,0.73,1,1
applicant-380,control,1,0.41,0.41,0.4,0.62,0.53,0,0
applicant-381,information,1,0.41,0.66,0.4,0.62,0.78,1,0
applicant-382,reminder,1,0.41,0.41,0.62,0.62,0.53,0,0
applicant-383,simplified,1,0.41,0.41,0.4,0.44,0.53,0,0
applicant-384,info_simplified,1,0.41,0.66,0.62,0.44,0.78,1,1
applicant-385,control,1,0.5,0.5,0.4,0.62,0.62,0,0
applicant-386,information,1,0.5,0.75,0.4,0.62,0.87,1,1
applicant-387,reminder,1,0.5,0.5,0.62,0.62,0.62,1,0
applicant-388,simplified,1,0.5,0.5,0.4,0.44,0.62,0,0
applicant-389,info_simplified,1,0.5,0.75,0.62,0.44,0.87,1,1
