worker_id,contract,true_bonus_rate,perceived_bonus_rate,perception_gap,attention_minutes,effort_units,bonus_earned
contract-worker-025,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-026,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-027,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-028,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-029,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-030,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-031,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-032,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-033,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-034,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-035,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-036,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-037,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-038,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-039,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-040,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-041,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-042,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-043,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-044,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-045,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-046,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-047,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-048,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-049,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-050,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-051,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-052,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-053,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-054,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-055,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-056,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-057,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-058,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-059,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-060,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-061,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-062,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-063,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-064,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-065,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-066,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-067,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-068,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-069,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-070,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-071,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-072,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-073,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-074,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-075,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-076,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-077,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-078,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-079,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-080,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-081,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-082,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-083,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-084,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-085,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-086,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-087,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-088,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-089,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-090,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-091,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-092,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-093,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-094,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-095,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-096,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-097,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-098,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-099,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-100,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-101,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-102,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-103,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-104,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-105,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-106,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-107,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-108,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-109,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-110,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-111,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-112,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-113,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-114,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-115,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-116,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-117,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-118,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-119,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-120,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-121,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-122,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-123,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-124,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-125,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-126,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-127,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-128,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-129,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-130,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-131,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-132,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-133,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-134,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-135,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-136,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-137,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-138,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-139,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-140,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-141,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-142,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-143,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-144,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-145,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-146,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-147,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-148,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-149,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-150,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-151,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-152,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-153,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-154,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-155,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-156,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-157,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-158,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-159,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-160,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-161,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-162,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-163,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-164,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-165,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-166,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-167,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-168,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-169,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-170,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-171,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-172,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-173,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-174,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-175,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-176,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-177,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-178,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-179,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-180,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-181,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-182,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-183,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-184,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-185,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-186,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-187,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-188,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-189,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-190,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-191,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-192,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-193,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-194,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-195,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-196,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-197,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-198,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-199,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-200,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-201,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-202,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-203,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-204,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-205,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-206,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-207,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-208,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-209,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-210,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-211,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-212,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-213,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-214,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-215,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-216,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-217,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-218,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-219,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-220,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-221,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-222,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-223,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-224,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-225,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-226,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-227,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-228,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-229,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-230,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-231,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-232,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-233,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-234,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-235,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-236,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-237,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-238,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-239,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-240,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-241,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-242,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-243,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-244,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-245,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-246,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-247,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-248,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-249,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-250,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-251,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-252,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-253,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-254,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-255,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-256,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-257,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-258,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-259,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-260,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-261,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-262,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-263,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-264,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-265,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-266,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-267,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-268,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-269,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-270,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-271,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-272,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-273,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-274,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-275,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-276,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-277,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-278,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-279,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-280,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-281,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-282,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-283,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-284,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-285,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-286,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-287,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-288,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-289,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-290,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-291,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-292,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-293,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-294,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-295,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-296,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-297,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-298,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-299,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-300,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-301,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-302,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-303,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-304,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-305,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-306,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-307,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-308,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-309,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-310,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-311,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-312,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-313,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-314,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-315,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-316,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-317,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-318,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-319,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-320,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-321,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-322,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-323,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-324,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-325,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-326,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-327,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-328,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-329,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-330,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-331,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-332,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-333,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-334,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-335,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-336,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-337,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-338,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-339,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-340,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-341,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-342,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-343,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-344,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-345,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-346,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-347,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-348,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-349,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-350,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-351,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-352,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-353,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-354,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-355,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-356,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-357,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-358,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-359,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
