country_id,regime,regime_type,year,care_index,leave_generosity,service_share,legal_access_index,formality_rate,norm_restrictiveness,mobility_cost,public_employment_share,female_lfp,female_hours,job_continuity,gender_wage_gap
C12,continental_part_time,high_income_welfare,2012,0.7641,0.7775,0.7036,0.8550,0.8271,0.3080,0.2215,0.2230,0.6729,0.6300,0.7936,0.1671
C12,continental_part_time,high_income_welfare,2019,0.7537,0.7861,0.7097,0.8708,0.8231,0.2949,0.2468,0.2483,0.6824,0.6171,0.7875,0.1643
C13,service_transition,middle_income_transition,2005,0.4982,0.6620,0.6031,0.5893,0.5846,0.4124,0.4045,0.1901,0.5390,0.5125,0.6342,0.2507
C13,service_transition,middle_income_transition,2012,0.5289,0.6491,0.6696,0.6053,0.6364,0.3920,0.3937,0.1862,0.5494,0.5518,0.6591,0.2509
C13,service_transition,middle_income_transition,2019,0.5223,0.6514,0.6418,0.6226,0.6329,0.4044,0.3571,0.1842,0.5633,0.5272,0.6509,0.2436
C14,service_transition,middle_income_transition,2005,0.4971,0.6582,0.6321,0.5950,0.5908,0.4329,0.3869,0.2132,0.4906,0.5181,0.6307,0.2358
C14,service_transition,middle_income_transition,2012,0.4917,0.6637,0.6371,0.6091,0.6429,0.3913,0.3830,0.1839,0.5100,0.5517,0.6419,0.2527
C14,service_transition,middle_income_transition,2019,0.5575,0.6795,0.6602,0.5890,0.6597,0.3781,0.3925,0.2178,0.5291,0.5374,0.6605,0.2320
C15,service_transition,middle_income_transition,2005,0.4623,0.6304,0.6169,0.5968,0.6172,0.4042,0.4110,0.1958,0.5290,0.5198,0.5975,0.2412
C15,service_transition,middle_income_transition,2012,0.5011,0.6368,0.6210,0.5744,0.6088,0.3849,0.3762,0.1913,0.5524,0.5468,0.6107,0.2332
C15,service_transition,middle_income_transition,2019,0.5446,0.6549,0.6631,0.6208,0.6435,0.3733,0.3651,0.1913,0.5951,0.5382,0.6448,0.2276
C16,service_transition,middle_income_transition,2005,0.4871,0.6631,0.6495,0.5858,0.6197,0.4054,0.4110,0.1909,0.5220,0.5223,0.6179,0.2411
C16,service_transition,middle_income_transition,2012,0.5187,0.6573,0.6707,0.5974,0.6409,0.4200,0.3901,0.2165,0.5185,0.5531,0.6458,0.2352
C16,service_transition,middle_income_transition,2019,0.5548,0.6915,0.6483,0.6168,0.6708,0.3675,0.3568,0.2123,0.5297,0.5655,0.6505,0.2353
C17,service_transition,middle_income_transition,2005,0.4869,0.6373,0.5923,0.5602,0.6293,0.4377,0.4154,0.2134,0.5350,0.5120,0.6059,0.2522
C17,service_transition,middle_income_transition,2012,0.5245,0.6700,0.6193,0.6088,0.6204,0.3985,0.3734,0.1980,0.5528,0.5385,0.6534,0.2272
C17,service_transition,middle_income_transition,2019,0.5112,0.6352,0.6781,0.6178,0.6327,0.4055,0.3736,0.1854,0.5685,0.5439,0.6247,0.2350
C18,service_transition,middle_income_transition,2005,0.4961,0.6312,0.6064,0.5943,0.5814,0.4290,0.3768,0.2097,0.4807,0.5247,0.6116,0.2425
C18,service_transition,middle_income_transition,2012,0.4968,0.6568,0.6128,0.5771,0.6446,0.4280,0.3875,0.2032,0.4938,0.5435,0.6114,0.2495
C18,service_transition,middle_income_transition,2019,0.5189,0.6782,0.6741,0.6140,0.6233,0.4033,0.3957,0.1905,0.5116,0.5563,0.6309,0.2343
C19,public_employment,public_employment_heavy,2005,0.5594,0.6895,0.5326,0.6591,0.7220,0.4331,0.3787,0.3900,0.5619,0.5338,0.6720,0.2182
C19,public_employment,public_employment_heavy,2012,0.5800,0.6991,0.5973,0.6865,0.7405,0.4242,0.3274,0.3798,0.5645,0.5590,0.6698,0.2010
C19,public_employment,public_employment_heavy,2019,0.6045,0.7086,0.5757,0.6875,0.7336,0.3990,0.3352,0.3826,0.5776,0.5431,0.7065,0.1949
C20,public_employment,public_employment_heavy,2005,0.5436,0.6842,0.5208,0.6682,0.7003,0.4508,0.3683,0.3866,0.5719,0.5242,0.6432,0.2350
C20,public_employment,public_employment_heavy,2012,0.5845,0.6714,0.5697,0.6716,0.7181,0.4365,0.3521,0.3862,0.5996,0.5379,0.6592,0.2124
C20,public_employment,public_employment_heavy,2019,0.5893,0.6850,0.6112,0.6692,0.7359,0.3961,0.3261,0.3848,0.6149,0.5552,0.6940,0.2137
C21,public_employment,public_employment_heavy,2005,0.5648,0.6843,0.5485,0.6798,0.6832,0.4586,0.3664,0.3918,0.4951,0.5264,0.6679,0.2369
C21,public_employment,public_employment_heavy,2012,0.5502,0.6913,0.5719,0.6669,0.7249,0.4444,0.3450,0.3840,0.5127,0.5384,0.6686,0.2107
C21,public_employment,public_employment_heavy,2019,0.5881,0.6724,0.5990,0.6934,0.7300,0.4302,0.3544,0.3970,0.5184,0.5417,0.6911,0.2231
C22,public_employment,public_employment_heavy,2005,0.5295,0.6702,0.5409,0.6762,0.6971,0.4638,0.3524,0.3885,0.5618,0.5202,0.6313,0.2222
C22,public_employment,public_employment_heavy,2012,0.5662,0.6770,0.5790,0.6655,0.7082,0.4173,0.3438,0.3691,0.5847,0.5489,0.6457,0.2127
C22,public_employment,public_employment_heavy,2019,0.6096,0.6806,0.5748,0.6865,0.7347,0.4319,0.3444,0.3874,0.6052,0.5391,0.6951,0.2156
C23,public_employment,public_employment_heavy,2005,0.5287,0.6707,0.5724,0.6492,0.6713,0.4718,0.3846,0.3785,0.5620,0.5305,0.6514,0.2293
C23,public_employment,public_employment_heavy,2012,0.5485,0.6926,0.5508,0.6658,0.7367,0.4440,0.3716,0.3886,0.5628,0.5227,0.6435,0.2078
C23,public_employment,public_employment_heavy,2019,0.5841,0.6743,0.5911,0.6852,0.7633,0.4227,0.3488,0.3630,0.5773,0.5471,0.6662,0.2207
C24,public_employment,public_employment_heavy,2005,0.5253,0.6403,0.5298,0.6426,0.7243,0.4677,0.3565,0.3824,0.5106,0.5106,0.6450,0.2169
C24,public_employment,public_employment_heavy,2012,0.5577,0.6979,0.5917,0.6884,0.7127,0.4453,0.3267,0.3625,0.5465,0.5379,0.6471,0.2176
C24,public_employment,public_employment_heavy,2019,0.5861,0.6977,0.5763,0.6748,0.7139,0.4107,0.3388,0.3910,0.5781,0.5301,0.6685,0.2020
C25,high_informality,low_income_high_informality,2005,0.2596,0.5161,0.3882,0.3725,0.3384,0.6086,0.5643,0.0968,0.2942,0.3901,0.4696,0.3352
C25,high_informality,low_income_high_informality,2012,0.3121,0.5699,0.4308,0.3819,0.3317,0.6146,0.5533,0.0904,0.3199,0.4087,0.5116,0.3398
C25,high_informality,low_income_high_informality,2019,0.3399,0.5860,0.4197,0.4232,0.3628,0.5773,0.5425,0.0959,0.3178,0.4338,0.5072,0.3292
C26,high_informality,low_income_high_informality,2005,0.2557,0.5104,0.3844,0.3845,0.3129,0.6492,0.5963,0.0826,0.2829,0.3823,0.4778,0.3533
C26,high_informality,low_income_high_informality,2012,0.3028,0.5426,0.3908,0.4073,0.3818,0.6347,0.5904,0.1086,0.3326,0.4107,0.4870,0.3227
C26,high_informality,low_income_high_informality,2019,0.3202,0.5470,0.4139,0.4195,0.3521,0.5838,0.5364,0.0989,0.3468,0.4298,0.5109,0.3357
C27,high_informality,low_income_high_informality,2005,0.2881,0.5262,0.3776,0.3977,0.3554,0.6171,0.5986,0.0924,0.2886,0.3900,0.4731,0.3479
C27,high_informality,low_income_high_informality,2012,0.3176,0.5671,0.4405,0.3816,0.3646,0.6370,0.5836,0.0855,0.3205,0.4282,0.4931,0.3363
C27,high_informality,low_income_high_informality,2019,0.3486,0.5440,0.4644,0.3944,0.3663,0.6043,0.5523,0.1171,0.3569,0.4371,0.4910,0.3347
C28,high_informality,low_income_high_informality,2005,0.3033,0.5431,0.3933,0.3882,0.3140,0.6092,0.6034,0.1150,0.3156,0.4030,0.5016,0.3473
C28,high_informality,low_income_high_informality,2012,0.3320,0.5773,0.4222,0.3732,0.3728,0.6056,0.5761,0.0951,0.3117,0.4308,0.5204,0.3395
C28,high_informality,low_income_high_informality,2019,0.3494,0.5620,0.4492,0.4220,0.3519,0.6075,0.5812,0.0841,0.3430,0.4288,0.5031,0.3335
C29,high_informality,low_income_high_informality,2005,0.2722,0.5071,0.3662,0.3632,0.3609,0.6219,0.5718,0.1015,0.2853,0.3962,0.4561,0.3410
C29,high_informality,low_income_high_informality,2012,0.2989,0.5562,0.4403,0.4103,0.3841,0.6168,0.5494,0.1173,0.3084,0.4188,0.4803,0.3366
C29,high_informality,low_income_high_informality,2019,0.3591,0.5572,0.4647,0.4008,0.3521,0.6073,0.5376,0.1113,0.3493,0.4310,0.5054,0.3205
C30,high_informality,low_income_high_informality,2005,0.2728,0.5291,0.3786,0.3769,0.3208,0.6071,0.5780,0.0932,0.2897,0.3973,0.4916,0.3298
C30,high_informality,low_income_high_informality,2012,0.3108,0.5701,0.4300,0.4000,0.3316,0.6143,0.5888,0.1107,0.3002,0.4008,0.4773,0.3469
C30,high_informality,low_income_high_informality,2019,0.3291,0.5811,0.4171,0.4046,0.3723,0.5914,0.5829,0.1129,0.3229,0.4161,0.5207,0.3352
C31,restrictive_norms,strong_norm_restrictive_law,2005,0.3457,0.5823,0.4214,0.4043,0.4301,0.7602,0.6666,0.1839,0.2618,0.4093,0.5013,0.3415
C31,restrictive_norms,strong_norm_restrictive_law,2012,0.3664,0.5825,0.4794,0.4136,0.5029,0.7242,0.6395,0.1894,0.2783,0.4330,0.5240,0.3344
C31,restrictive_norms,strong_norm_restrictive_law,2019,0.4118,0.5855,0.5068,0.4488,0.5073,0.7527,0.6387,0.1783,0.3019,0.4242,0.5256,0.3321
C32,restrictive_norms,strong_norm_restrictive_law,2005,0.3747,0.5747,0.4531,0.4283,0.4321,0.7573,0.6754,0.1972,0.3234,0.4079,0.5126,0.3332
C32,restrictive_norms,strong_norm_restrictive_law,2012,0.3872,0.6000,0.4604,0.4204,0.4790,0.7667,0.6712,0.1726,0.3043,0.4060,0.4990,0.3371
C32,restrictive_norms,strong_norm_restrictive_law,2019,0.3965,0.5958,0.4675,0.4316,0.5184,0.7531,0.6285,0.1694,0.3260,0.4379,0.5247,0.3373
C33,restrictive_norms,strong_norm_restrictive_law,2005,0.3487,0.5787,0.4424,0.4040,0.4697,0.7824,0.6479,0.1726,0.3113,0.4157,0.4911,0.3290
C33,restrictive_norms,strong_norm_restrictive_law,2012,0.4010,0.6119,0.4421,0.4166,0.4970,0.7587,0.6415,0.1886,0.3531,0.4027,0.5381,0.3170
C33,restrictive_norms,strong_norm_restrictive_law,2019,0.4117,0.6029,0.4865,0.4341,0.5084,0.7506,0.6172,0.1860,0.3775,0.4307,0.5261,0.3296
C34,restrictive_norms,strong_norm_restrictive_law,2005,0.3756,0.5597,0.4584,0.4353,0.4682,0.7564,0.6452,0.1724,0.3153,0.4072,0.4888,0.3369
C34,restrictive_norms,strong_norm_restrictive_law,2012,0.3997,0.6128,0.4367,0.4162,0.4705,0.7578,0.6299,0.1957,0.2823,0.4222,0.5334,0.3144
C34,restrictive_norms,strong_norm_restrictive_law,2019,0.4004,0.6096,0.5088,0.4528,0.4821,0.7153,0.6596,0.1771,0.3285,0.4254,0.5226,0.3206
C35,restrictive_norms,strong_norm_restrictive_law,2005,0.3368,0.5694,0.4670,0.4064,0.4690,0.7474,0.6522,0.1763,0.3032,0.4250,0.5106,0.3410
C35,restrictive_norms,strong_norm_restrictive_law,2012,0.3869,0.5857,0.4427,0.4269,0.4747,0.7571,0.6347,0.1634,0.3180,0.4206,0.5225,0.3224
C35,restrictive_norms,strong_norm_restrictive_law,2019,0.4333,0.5915,0.4674,0.4468,0.4944,0.7348,0.6403,0.1915,0.3550,0.4255,0.5389,0.3197
C36,restrictive_norms,strong_norm_restrictive_law,2005,0.3807,0.5565,0.4629,0.4148,0.4795,0.7422,0.6509,0.1658,0.3549,0.4047,0.5027,0.3419
C36,restrictive_norms,strong_norm_restrictive_law,2012,0.3655,0.5618,0.4341,0.4449,0.4614,0.7300,0.6557,0.1741,0.3546,0.4232,0.4981,0.3334
C36,restrictive_norms,strong_norm_restrictive_law,2019,0.4389,0.6066,0.4833,0.4486,0.5189,0.7356,0.6599,0.1632,0.3797,0.4370,0.5563,0.3227
