period,location_id,location_name,residents,employment,wage,rent,welfare_proxy,migration_adjustment_weight,housing_adjustment_weight,shock_location_id
7,L04,Mesa Tech,86.843921,77.423922,42.709276,11.708557,2784.523546,0.800112,0.597476,L11
7,L05,South Port,79.148871,60.900294,39.96114,12.234743,2194.161972,0.800112,0.597476,L11
7,L06,Lake Junction,108.433557,98.258051,42.618623,11.364565,3345.536103,0.800112,0.597476,L11
7,L07,Cedar Loop,102.337048,92.958513,42.084532,12.521117,2969.234887,0.800112,0.597476,L11
7,L08,East University,114.577053,104.593263,44.330349,13.037132,3750.716136,0.800112,0.597476,L11
7,L09,Prairie Works,87.889482,94.956198,44.629778,12.033362,2862.79889,0.800112,0.597476,L11
7,L10,West Gateway,108.636923,122.174274,45.748464,12.884202,3646.147695,0.800112,0.597476,L11
7,L11,Hill Market,120.032874,169.066063,48.828809,12.182235,4394.006356,0.800112,0.597476,L11
7,L12,Old Mill,103.92537,126.862516,47.434415,12.010925,3639.833773,0.800112,0.597476,L11
8,L01,Harbor Core,64.103712,50.000814,39.469591,11.825444,1847.761342,0.841183,0.646545,L11
8,L02,North Rail,72.033096,57.843717,39.111064,10.52656,1965.07938,0.841183,0.646545,L11
8,L03,River Plant,77.171854,70.064807,41.381354,10.36624,2331.012208,0.841183,0.646545,L11
8,L04,Mesa Tech,86.822282,77.370027,42.7108,11.707773,2784.03002,0.841183,0.646545,L11
8,L05,South Port,79.127446,60.857986,39.962661,12.233887,2193.756101,0.841183,0.646545,L11
8,L06,Lake Junction,108.415004,98.187876,42.620187,11.363944,3345.200421,0.841183,0.646545,L11
8,L07,Cedar Loop,102.337518,92.889462,42.086158,12.521132,2969.413349,0.841183,0.646545,L11
8,L08,East University,114.594956,104.512306,44.332042,13.037691,3751.432198,0.841183,0.646545,L11
8,L09,Prairie Works,87.877925,94.887966,44.63135,12.032704,2862.618528,0.841183,0.646545,L11
8,L10,West Gateway,108.650139,122.081393,45.750127,12.884817,3646.705153,0.841183,0.646545,L11
8,L11,Hill Market,120.121288,169.765019,48.876316,12.185893,4402.510148,0.841183,0.646545,L11
8,L12,Old Mill,103.964852,126.7587,47.436204,12.012824,3641.205174,0.841183,0.646545,L11
9,L01,Harbor Core,64.081313,49.974928,39.470724,11.824183,1847.269086,0.873814,0.689633,L11
9,L02,North Rail,72.010325,57.813334,39.112214,10.525397,1964.624649,0.873814,0.689633,L11
9,L03,River Plant,77.148448,70.027604,41.382515,10.365104,2330.4825,0.873814,0.689633,L11
9,L04,Mesa Tech,86.805089,77.327206,42.71201,11.707086,2783.643508,0.873814,0.689633,L11
9,L05,South Port,79.110424,60.824371,39.963869,12.233135,2193.43921,0.873814,0.689633,L11
9,L06,Lake Junction,108.400262,98.13212,42.621428,11.363399,3344.939275,0.873814,0.689633,L11
9,L07,Cedar Loop,102.337892,92.834598,42.087449,12.521145,2969.555017,0.873814,0.689633,L11
9,L08,East University,114.609181,104.447982,44.333387,13.038182,3751.995807,0.873814,0.689633,L11
9,L09,Prairie Works,87.868743,94.833754,44.6326,12.032125,2862.480024,0.873814,0.689633,L11
9,L10,West Gateway,108.660638,122.007596,45.751449,12.885357,3647.14251,0.873814,0.689633,L11
9,L11,Hill Market,120.191536,170.320363,48.914063,12.189105,4409.235484,0.873814,0.689633,L11
9,L12,Old Mill,103.996222,126.676215,47.437626,12.014492,3642.278287,0.873814,0.689633,L11
10,L01,Harbor Core,64.063516,49.954362,39.471624,11.823076,1846.884646,0.899741,0.727468,L11
10,L02,North Rail,71.992233,57.789194,39.113127,10.524377,1964.270266,0.899741,0.727468,L11
10,L03,River Plant,77.12985,69.998045,41.383438,10.364106,2330.068879,0.899741,0.727468,L11
10,L04,Mesa Tech,86.791429,77.293183,42.712972,11.706482,2783.341353,0.899741,0.727468,L11
10,L05,South Port,79.096899,60.797663,39.964829,12.232475,2193.192351,0.899741,0.727468,L11
10,L06,Lake Junction,108.38855,98.08782,42.622415,11.362921,3344.736684,0.899741,0.727468,L11
10,L07,Cedar Loop,102.338188,92.791007,42.088475,12.521156,2969.667467,0.899741,0.727468,L11
10,L08,East University,114.620484,104.396876,44.334456,13.038613,3752.438929,0.899741,0.727468,L11
10,L09,Prairie Works,87.861448,94.79068,44.633593,12.031618,2862.374199,0.899741,0.727468,L11
10,L10,West Gateway,108.668981,121.948962,45.752499,12.885831,3647.485114,0.899741,0.727468,L11
10,L11,Hill Market,120.24735,170.761603,48.944053,12.191925,4414.550174,0.899741,0.727468,L11
10,L12,Old Mill,104.021146,126.610678,47.438756,12.015957,3643.116404,0.899741,0.727468,L11
11,L01,Harbor Core,64.049375,49.938021,39.472339,11.822104,1846.585071,0.920341,0.760691,L11
11,L02,North Rail,71.977858,57.770015,39.113852,10.52348,1963.994787,0.920341,0.760691,L11
11,L03,River Plant,77.115074,69.974559,41.384172,10.363229,2329.746622,0.920341,0.760691,L11
11,L04,Mesa Tech,86.780575,77.266151,42.713736,11.705951,2783.10563,0.920341,0.760691,L11
11,L05,South Port,79.086152,60.776442,39.965592,12.231896,2193.000544,0.920341,0.760691,L11
11,L06,Lake Junction,108.379244,98.052622,42.623199,11.362501,3344.580029,0.920341,0.760691,L11
11,L07,Cedar Loop,102.338424,92.756372,42.089291,12.521166,2969.756714,0.920341,0.760691,L11
11,L08,East University,114.629464,104.356269,44.335306,13.038991,3752.786886,0.920341,0.760691,L11
11,L09,Prairie Works,87.855651,94.756457,44.634382,12.031172,2862.29383,0.920341,0.760691,L11
11,L10,West Gateway,108.675609,121.902376,45.753333,12.886247,3647.753027,0.920341,0.760691,L11
11,L11,Hill Market,120.291697,171.112183,48.967882,12.194402,4418.746684,0.920341,0.760691,L11
11,L12,Old Mill,104.040949,126.558607,47.439654,12.017243,3643.769572,0.920341,0.760691,L11
12,L01,Harbor Core,64.03814,49.925037,39.472907,11.82125,1846.352216,0.936708,0.789864,L11
12,L02,North Rail,71.966437,57.754775,39.114429,10.522693,1963.781265,0.936708,0.789864,L11
12,L03,River Plant,77.103333,69.955899,41.384754,10.36246,2329.496191,0.936708,0.789864,L11
12,L04,Mesa Tech,86.771952,77.244673,42.714344,11.705486,2782.922166,0.936708,0.789864,L11
12,L05,South Port,79.077614,60.759582,39.966198,12.231387,2192.851956,0.936708,0.789864,L11
12,L06,Lake Junction,108.37185,98.024656,42.623822,11.362131,3344.45935,0.936708,0.789864,L11
12,L07,Cedar Loop,102.338612,92.728854,42.089938,12.521175,2969.827538,0.936708,0.789864,L11
12,L08,East University,114.636599,104.324006,44.33598,13.039324,3753.059729,0.936708,0.789864,L11
12,L09,Prairie Works,87.851046,94.729265,44.635008,12.03078,2862.233237,0.936708,0.789864,L11
12,L10,West Gateway,108.680876,121.865361,45.753996,12.886612,3647.962116,0.936708,0.789864,L11
12,L11,Hill Market,120.326932,171.39073,48.986815,12.196577,4422.0574,0.936708,0.789864,L11
12,L12,Old Mill,104.056684,126.517235,47.440367,12.018372,3644.277343,0.936708,0.789864,L11
