record_id,organization_type,region,flexible_service_capacity,source_text_score,dictionary_broad_score,embedding_similarity_score,image_infrastructure_score,audio_clarity_score,video_interaction_score,multimodal_index
36,clinic,South,1,0.28283091693774726,0.0,0.9999114223341531,0.8229,0.716,0.3321,0.36566036677509894
37,training vendor,West,1,0.555736984287793,0.0,0.99905769745113,0.8794,0.5914,0.7352,0.5207487937151172
38,workforce agency,Midwest,1,0.4597762732481899,0.0,0.9985239989480629,0.2237,0.6397,0.5359,0.36389650929927597
39,training vendor,Northeast,1,0.6610149982611919,0.0,0.999786300974454,0.6428,0.5268,0.5441,0.49477499930447677
40,training vendor,Northeast,1,0.2559936768234128,0.0,0.999883982124899,0.9534,0.7113,0.603,0.40915347072936514
41,clinic,South,1,0.3568415144804022,0.0,0.9991817698477643,0.8722,0.5791,0.2422,0.37454460579216087
42,training vendor,Northeast,1,0.4378671773216942,0.0,0.9998273441203822,0.4961,0.5208,0.4973,0.3767068709286777
43,training vendor,South,0,0.0,0.0,0.0245396398813455,0.6254,0.931,0.5319,0.274677
44,training vendor,West,1,0.36188628677919404,0.0,0.9990870501613297,0.7766,0.6037,0.5833,0.40951751471167763
45,clinic,Northeast,0,0.18590694149447295,0.0,0.48475663411468844,0.5488,0.3599,0.5657,0.27341177659778915
46,city office,West,1,0.5206106066846118,0.0,0.999471690752544,0.6733,0.8171,0.3376,0.45117924267384474
47,city office,West,0,0.21736830742156624,0.0,0.05489179713304948,0.4009,0.8949,0.8499,0.3649573229686265
48,school,West,0,0.0,0.0,0.025873900170074404,0.6472,0.7172,0.843,0.292734
49,training vendor,Northeast,1,0.37287258981942295,0.0,0.9994152723425503,0.4978,0.4928,0.7619,0.3820020359277692
50,school,Northeast,1,0.47463311127722474,0.0,0.9999759436612978,0.6214,0.4259,0.5311,0.40321424451088994
51,clinic,Northeast,1,0.5992674768756064,0.0,0.9989390277182362,0.6235,0.2462,0.6259,0.44414299075024266
52,clinic,South,1,0.42667064399084353,0.0,0.9954420623577708,0.7514,0.1994,0.2784,0.3434982575963374
53,workforce agency,Midwest,1,0.48744026532256485,0.0,0.9996155459108895,0.7576,0.6589,0.5566,0.46004210612902596
54,school,West,1,0.4806267915529046,0.0,0.9987452023034298,0.5772,0.7136,0.5235,0.4325177166211619
55,school,Midwest,0,0.21351990028771634,0.0,0.6341582410388078,0.5787,0.2458,0.3832,0.2515249601150865
56,training vendor,Northeast,1,0.5384102097084568,0.0,0.9999918304289164,0.98,0.6732,0.5711,0.5173910838833826
57,city office,South,1,0.5151508964648734,0.0,0.9995302694556947,0.5635,0.4905,0.4227,0.4043963585859494
58,city office,West,1,0.3770842276221661,0.0,0.9895762019939359,0.5463,0.5949,0.4985,0.36897169104886646
59,school,Midwest,1,0.34832868009471385,0.0,0.9996507753817485,0.6728,0.3463,0.98,0.40920747203788554
60,training vendor,West,1,0.31537564316050154,0.0,0.6482413892345202,0.7548,0.8044,0.3611,0.38284125726420065
61,training vendor,South,1,0.20253080103672483,0.0,0.9998138424147911,0.4246,0.8028,0.3562,0.28734432041468994
62,city office,Midwest,1,0.38344844311502196,0.0,0.9999675925339135,0.7792,0.6446,0.4695,0.4086463772460088
63,training vendor,South,1,0.41242316007835356,0.0,0.999248577420341,0.5486,0.3909,0.5353,0.3637562640313414
64,training vendor,Northeast,1,0.5790060127795302,0.0,0.9778778384468548,0.7014,0.4022,0.7528,0.4829404051118121
65,training vendor,West,1,0.40417189374340745,0.0,0.9918724891410715,0.7869,0.6192,0.7689,0.453964757497363
66,workforce agency,Midwest,1,0.44814435843984457,0.0,0.9846418324569279,0.6341,0.5563,0.6223,0.4220277433759378
67,workforce agency,South,1,0.38959708011011424,0.0,0.9990082834558072,0.6386,0.7143,0.1536,0.3573128320440457
68,workforce agency,South,0,0.017762108600756166,0.0,0.017736871234533547,0.4954,0.585,0.8601,0.26342784344030246
69,city office,Northeast,0,0.037064716186053004,0.0,0.019204328199370735,0.98,0.4513,0.2384,0.24697388647442117
70,workforce agency,West,1,0.432117432739962,0.0,0.9989632844477858,0.5366,0.9178,0.9023,0.4807719730959848
71,clinic,Midwest,0,0.0,0.0,0.028973445152999378,0.4491,0.6909,0.4405,0.207538
72,workforce agency,West,0,0.1295578376607855,0.0,0.022008899125710524,0.6077,0.396,0.7125,0.2831231350643142
73,clinic,Northeast,1,0.5471114404273142,0.0,0.9934351107416932,0.4166,0.6502,0.4984,0.42415057617092566
74,workforce agency,Midwest,1,0.6775181965219854,0.0,0.9997977557996085,0.5718,0.4876,0.4952,0.4796652786087942
75,city office,Midwest,0,0.04104862536025822,0.0,0.025070524611925327,0.5216,0.6072,0.6419,0.2509704501441033
76,training vendor,South,1,0.3914306967886084,0.0,0.9994644233286631,0.575,0.5874,0.5504,0.3848622787154434
77,school,Northeast,1,0.4396361962103354,0.0,0.9982638125784744,0.4222,0.8048,0.8583,0.44733947848413413
78,city office,Northeast,1,0.5250326128745444,0.0,0.999741808295631,0.492,0.5566,0.3684,0.3984970451498177
79,city office,Midwest,0,0.005438118199425079,0.0,0.025358469051643795,0.3548,0.8437,0.461,0.21656924727977003
80,city office,South,1,0.40624792479621574,0.0,0.9979350888667855,0.6279,0.4298,0.4312,0.3643161699184863
81,workforce agency,South,1,0.49428998899565735,0.0,0.9985839165447501,0.5372,0.2833,0.6026,0.39062999559826295
82,city office,Midwest,1,0.5510733070506355,0.0,0.999539933261681,0.7618,0.5638,0.7997,0.5063163228202542
83,training vendor,West,1,0.47954680692485263,0.0,0.9983523142828366,0.6716,0.6989,0.6156,0.45645472276994103
84,training vendor,Northeast,1,0.53646839676141,0.0,0.9999924832328466,0.5149,0.3412,0.2645,0.367151358704564
85,workforce agency,Midwest,1,0.45878178178883605,0.0,0.9925621362962596,0.8115,0.673,0.7464,0.48302971271553446
86,workforce agency,Northeast,1,0.28939634825090427,0.0,0.994608789078952,0.7032,0.6384,0.5674,0.3716085393003617
87,clinic,West,1,0.3965391258241938,0.0,0.9990386880264559,0.4075,0.8371,0.3226,0.3621306503296775
88,school,West,0,0.034359882503921524,0.0,0.024807265649473387,0.4511,0.9002,0.4235,0.2444879530015686
89,clinic,West,1,0.42929688007329164,0.0,0.9981830568176266,0.4599,0.7339,0.4995,0.39370675202931665
90,city office,Northeast,1,0.441302838250232,0.0,0.9999927931981354,0.02,0.6335,0.1482,0.2748071353000928
91,city office,Northeast,1,0.45992345933918144,0.0,0.9960472835232914,0.8078,0.6554,0.4354,0.44038938373567255
92,city office,Northeast,0,0.26662181889765946,0.0,0.098022626756886,0.6174,0.5592,0.6766,0.35432072755906374
93,city office,West,1,0.3723372711421624,0.0,0.9694908628248325,0.1745,0.8596,0.7743,0.37892090845686494
94,school,South,1,0.3784540368945747,0.0,0.9973328377432442,0.6745,0.6431,0.316,0.3708086147578299
95,school,Midwest,1,0.411480491345303,0.0,0.9929500479090905,0.6714,0.806,0.9069,0.4799191965381212
96,city office,West,1,0.4410865368599191,0.0,0.9918089149606828,0.2704,0.6084,0.6103,0.36934161474396765
97,workforce agency,Northeast,1,0.35179932108723977,0.0,0.9956898099862415,0.4437,0.5378,0.1661,0.2934037284348959
98,training vendor,Midwest,0,0.0,0.0,0.025550587356992727,0.6371,0.0678,0.4483,0.16198
99,city office,South,1,0.3042044093817371,0.0,0.9983644806398202,0.3902,0.843,0.3444,0.3261437637526948
100,clinic,West,1,0.26925169166819807,0.0,0.9992367341315525,0.5197,0.6389,0.5013,0.3274926766672792
101,workforce agency,South,1,0.22429102693739836,0.0,0.9997576323627768,0.4762,0.3414,0.4819,0.26476141077495935
102,training vendor,Midwest,1,0.4216971904857475,0.0,0.9998807202170109,0.6709,0.3833,0.4499,0.373796876194299
103,school,Northeast,1,0.49934036135668275,0.0,0.9998496127551588,0.7526,0.5524,0.664,0.46523414454267314
104,training vendor,Midwest,1,0.3847156665322967,0.0,0.9775868183102541,0.98,0.5408,0.5997,0.44374326661291874
105,clinic,West,1,0.42663618057332964,0.0,0.9998359558871656,0.5697,0.4715,0.4465,0.37073447222933187
106,city office,Northeast,0,0.0,0.0,0.025415276941323117,0.8858,0.98,0.3263,0.29288899999999995
107,training vendor,Northeast,1,0.44972470956151234,0.0,0.9966178627679585,0.5405,0.9054,0.2026,0.39595088382460486
108,school,South,1,0.2586107655386386,0.0,0.9961617858439678,0.6648,0.7297,0.5526,0.36256630621545544
109,clinic,Northeast,1,0.46694962553985286,0.0,0.9999644259228303,0.698,0.8954,0.7188,0.4923718502159411
110,training vendor,South,0,0.0,0.0,0.02902803804007753,0.9361,0.2568,0.7112,0.263687
111,school,Midwest,0,0.030507812758535757,0.0,0.018012388506246535,0.4427,0.6359,0.6477,0.23911712510341432
112,school,West,1,0.44168494786088347,0.0,0.9990610329049103,0.3027,0.9452,0.4875,0.3988779791443534
113,workforce agency,South,1,0.30658861793557884,0.0,0.9998275510371324,0.8181,0.39,0.4307,0.34814144717423157
114,workforce agency,Northeast,1,0.5107608512323307,0.0,0.9998230344961128,0.8423,0.534,0.7579,0.4932563404929323
115,clinic,South,0,0.0,0.0,0.028854674978467443,0.3412,0.2579,0.3828,0.13189199999999998
116,clinic,Northeast,1,0.4376505428229195,0.0,0.9999920312709834,0.4071,0.4656,0.2984,0.3307892171291678
117,city office,West,1,0.42532505303292023,0.0,0.9996205035674439,0.5745,0.5839,0.7774,0.4274350212131681
118,workforce agency,South,1,0.3027228375204569,0.0,0.9994952984617744,0.5391,0.8973,0.6134,0.38937213500818274
119,training vendor,West,1,0.4116215721311186,0.0,0.9983979138008534,0.8788,0.5777,0.6929,0.4558696288524475
120,city office,West,0,0.0,0.0,0.024500323084502562,0.4774,0.4863,0.6328,0.21223
121,clinic,South,1,0.25381183294905374,0.0,0.995637575459488,0.1712,0.2587,0.3915,0.20914373317962148
122,city office,Midwest,1,0.4319900459408453,0.0,0.9997681678580033,0.3496,0.8759,0.4679,0.3911710183763381
123,workforce agency,South,1,0.41680492090415017,0.0,0.9989163428606745,0.98,0.6097,0.5339,0.4562929683616601
124,school,Midwest,1,0.5266093169977288,0.0,0.9977292570900591,0.6789,0.6013,0.7048,0.47625872679909154
125,school,South,1,0.21188086844048065,0.0,0.9988830114429332,0.9216,0.7091,0.5712,0.38234034737619227
126,training vendor,Northeast,0,0.06678651469936903,0.0,0.04080116951902546,0.5635,0.2345,0.5328,0.20864360587974762
127,city office,West,0,0.22130537602897307,0.0,0.08174972260809088,0.5149,0.7552,0.5356,0.3260091504115892
128,school,West,0,0.07068711765488939,0.0,0.030542584635794068,0.5932,0.4737,0.7305,0.26906384706195574
129,school,Midwest,1,0.4859662659481252,0.0,0.9999601405972323,0.599,0.3929,0.4493,0.3897935063792501
130,workforce agency,Northeast,1,0.33329511642994664,0.0,0.992711537690121,0.0549,0.655,0.5446,0.2909510465719787
131,city office,Midwest,0,0.0,0.0,0.026863918917678864,0.4763,0.5739,0.2319,0.17046
132,training vendor,Midwest,1,0.5753377744300764,0.0,0.9994698613230799,0.4755,0.8584,0.5892,0.4810641097720305
133,city office,South,1,0.39952670944168317,0.0,0.9991716049093051,0.9184,0.4972,0.2809,0.3937516837766733
134,clinic,South,1,0.4119986053856665,0.0,0.9989832079317338,0.719,0.3408,0.6572,0.3989814421542666
135,clinic,West,0,0.0,0.0,0.0272193180356623,0.4909,0.939,0.6632,0.27253099999999997
136,clinic,South,0,0.0,0.0,0.02308924499977205,0.8559,0.225,0.3327,0.19863599999999998
137,training vendor,West,1,0.3188822034711697,0.0,0.9907359361641783,0.6176,0.2951,0.511,0.32203488138846786
138,school,Midwest,1,0.4385576971002138,0.0,0.9982529443483166,0.7409,0.3318,0.6961,0.41686707884008556
139,city office,South,0,0.0,0.0,0.023637463838912687,0.5913,0.7784,0.4356,0.23873100000000003
140,school,Midwest,1,0.6030711683100017,0.0,0.9968144628180986,0.6186,0.5915,0.1535,0.4249534673240007
141,clinic,West,1,0.2968226536733848,0.0,0.9998754893603706,0.3874,0.277,0.4012,0.2622350614693539
142,school,South,1,0.24061681013258995,0.0,0.9994531321316305,0.5972,0.172,0.5519,0.27821372405303596
143,school,Northeast,1,0.5416078666793697,0.0,0.9998709343324927,0.715,0.3008,0.5651,0.4334521466717479
144,workforce agency,Northeast,1,0.5677227283215526,0.0,0.9928859047970426,0.5976,0.4525,0.3514,0.41671109132862105
145,city office,Northeast,1,0.46802728906294266,0.0,0.9992244410848883,0.6983,0.4529,0.4356,0.4029319156251771
146,training vendor,West,1,0.26301617887464046,0.0,0.9965765180383348,0.8575,0.6561,0.7265,0.4070084715498562
147,training vendor,West,1,0.4687669202825176,0.0,0.9923537661355325,0.98,0.5083,0.3829,0.44527976811300707
148,clinic,West,1,0.5473697422064959,0.0,0.999245502150647,0.0377,0.9117,0.424,0.3891268968825984
149,clinic,South,1,0.44841765584071736,0.0,0.992615450626356,0.7153,0.5177,0.3715,0.39708106233628704
150,training vendor,Midwest,1,0.3169304308127153,0.0,0.9995747776777945,0.2092,0.4919,0.6114,0.2966621723250861
