worker_id,arm,baseline_participation,program_participation,post_participation,commitment_takeup
com-015,commitment,0.384,0.484,0.457,1
com-016,commitment,0.396,0.5,0.465,1
com-017,commitment,0.408,0.516,0.474,1
com-018,commitment,0.312,0.424,0.406,1
com-019,commitment,0.324,0.44,0.415,1
com-020,commitment,0.336,0.436,0.423,1
com-021,commitment,0.348,0.452,0.432,1
com-022,commitment,0.36,0.468,0.44,1
com-023,commitment,0.372,0.484,0.448,1
com-024,commitment,0.384,0.5,0.457,1
com-025,commitment,0.396,0.496,0.465,1
com-026,commitment,0.408,0.512,0.474,1
com-027,commitment,0.312,0.42,0.406,1
com-028,commitment,0.324,0.436,0.415,1
com-029,commitment,0.336,0.452,0.423,1
com-030,commitment,0.348,0.448,0.432,1
com-031,commitment,0.36,0.464,0.44,1
com-032,commitment,0.372,0.48,0.448,1
com-033,commitment,0.384,0.496,0.457,1
com-034,commitment,0.396,0.512,0.465,1
com-035,commitment,0.408,0.508,0.474,1
com-036,commitment,0.312,0.416,0.406,1
com-037,commitment,0.324,0.432,0.415,1
com-038,commitment,0.336,0.448,0.423,0
com-039,commitment,0.348,0.464,0.432,0
com-040,commitment,0.36,0.46,0.44,0
com-041,commitment,0.372,0.476,0.448,0
com-042,commitment,0.384,0.492,0.457,0
com-043,commitment,0.396,0.508,0.465,0
com-044,commitment,0.408,0.524,0.474,0
com-045,commitment,0.312,0.412,0.406,0
com-046,commitment,0.324,0.428,0.415,0
com-047,commitment,0.336,0.444,0.423,0
com-048,commitment,0.348,0.46,0.432,0
com-049,commitment,0.36,0.476,0.44,0
com-050,commitment,0.372,0.472,0.448,0
com-051,commitment,0.384,0.488,0.457,0
com-052,commitment,0.396,0.504,0.465,0
com-053,commitment,0.408,0.52,0.474,0
com-054,commitment,0.312,0.428,0.406,0
com-055,commitment,0.324,0.424,0.415,0
com-056,commitment,0.336,0.44,0.423,0
com-057,commitment,0.348,0.456,0.432,0
com-058,commitment,0.36,0.472,0.44,0
com-059,commitment,0.372,0.488,0.448,0
com-060,commitment,0.384,0.484,0.457,0
com-061,commitment,0.396,0.5,0.465,0
com-062,commitment,0.408,0.516,0.474,0
com-063,commitment,0.312,0.424,0.406,0
com-064,commitment,0.324,0.44,0.415,0
com-065,commitment,0.336,0.436,0.423,0
com-066,commitment,0.348,0.452,0.432,0
com-067,commitment,0.36,0.468,0.44,0
com-068,commitment,0.372,0.484,0.448,0
com-069,commitment,0.384,0.5,0.457,0
com-070,commitment,0.396,0.496,0.465,0
com-071,commitment,0.408,0.512,0.474,0
com-072,commitment,0.312,0.42,0.406,0
com-073,commitment,0.324,0.436,0.415,0
com-074,commitment,0.336,0.452,0.423,0
com-075,commitment,0.348,0.448,0.432,0
com-076,commitment,0.36,0.464,0.44,0
com-077,commitment,0.372,0.48,0.448,0
com-078,commitment,0.384,0.496,0.457,0
com-079,commitment,0.396,0.512,0.465,0
com-080,commitment,0.408,0.508,0.474,0
com-081,commitment,0.312,0.416,0.406,0
com-082,commitment,0.324,0.432,0.415,0
com-083,commitment,0.336,0.448,0.423,0
com-084,commitment,0.348,0.464,0.432,0
com-085,commitment,0.36,0.46,0.44,0
com-086,commitment,0.372,0.476,0.448,0
com-087,commitment,0.384,0.492,0.457,0
com-088,commitment,0.396,0.508,0.465,0
com-089,commitment,0.408,0.524,0.474,0
inc-000,incentive_commitment,0.312,0.542,0.436,1
inc-001,incentive_commitment,0.324,0.558,0.445,1
inc-002,incentive_commitment,0.336,0.574,0.453,1
inc-003,incentive_commitment,0.348,0.59,0.462,1
inc-004,incentive_commitment,0.36,0.606,0.47,1
inc-005,incentive_commitment,0.372,0.602,0.478,1
inc-006,incentive_commitment,0.384,0.618,0.487,1
inc-007,incentive_commitment,0.396,0.634,0.495,1
inc-008,incentive_commitment,0.408,0.65,0.504,1
inc-009,incentive_commitment,0.312,0.558,0.436,1
inc-010,incentive_commitment,0.324,0.554,0.445,1
inc-011,incentive_commitment,0.336,0.57,0.453,1
inc-012,incentive_commitment,0.348,0.586,0.462,1
inc-013,incentive_commitment,0.36,0.602,0.47,1
inc-014,incentive_commitment,0.372,0.618,0.478,1
inc-015,incentive_commitment,0.384,0.614,0.487,1
inc-016,incentive_commitment,0.396,0.63,0.495,1
inc-017,incentive_commitment,0.408,0.646,0.504,1
inc-018,incentive_commitment,0.312,0.554,0.436,1
inc-019,incentive_commitment,0.324,0.57,0.445,1
inc-020,incentive_commitment,0.336,0.566,0.453,1
inc-021,incentive_commitment,0.348,0.582,0.462,1
inc-022,incentive_commitment,0.36,0.598,0.47,1
inc-023,incentive_commitment,0.372,0.614,0.478,1
inc-024,incentive_commitment,0.384,0.63,0.487,1
inc-025,incentive_commitment,0.396,0.626,0.495,1
inc-026,incentive_commitment,0.408,0.642,0.504,1
inc-027,incentive_commitment,0.312,0.55,0.436,1
inc-028,incentive_commitment,0.324,0.566,0.445,1
inc-029,incentive_commitment,0.336,0.582,0.453,1
inc-030,incentive_commitment,0.348,0.578,0.462,1
inc-031,incentive_commitment,0.36,0.594,0.47,1
inc-032,incentive_commitment,0.372,0.61,0.478,1
inc-033,incentive_commitment,0.384,0.626,0.487,1
inc-034,incentive_commitment,0.396,0.642,0.495,1
inc-035,incentive_commitment,0.408,0.638,0.504,1
inc-036,incentive_commitment,0.312,0.546,0.436,1
inc-037,incentive_commitment,0.324,0.562,0.445,1
inc-038,incentive_commitment,0.336,0.578,0.453,1
inc-039,incentive_commitment,0.348,0.594,0.462,1
inc-040,incentive_commitment,0.36,0.59,0.47,1
inc-041,incentive_commitment,0.372,0.606,0.478,1
inc-042,incentive_commitment,0.384,0.622,0.487,0
inc-043,incentive_commitment,0.396,0.638,0.495,0
inc-044,incentive_commitment,0.408,0.654,0.504,0
inc-045,incentive_commitment,0.312,0.542,0.436,0
inc-046,incentive_commitment,0.324,0.558,0.445,0
inc-047,incentive_commitment,0.336,0.574,0.453,0
inc-048,incentive_commitment,0.348,0.59,0.462,0
inc-049,incentive_commitment,0.36,0.606,0.47,0
inc-050,incentive_commitment,0.372,0.602,0.478,0
inc-051,incentive_commitment,0.384,0.618,0.487,0
inc-052,incentive_commitment,0.396,0.634,0.495,0
inc-053,incentive_commitment,0.408,0.65,0.504,0
inc-054,incentive_commitment,0.312,0.558,0.436,0
inc-055,incentive_commitment,0.324,0.554,0.445,0
inc-056,incentive_commitment,0.336,0.57,0.453,0
inc-057,incentive_commitment,0.348,0.586,0.462,0
inc-058,incentive_commitment,0.36,0.602,0.47,0
inc-059,incentive_commitment,0.372,0.618,0.478,0
inc-060,incentive_commitment,0.384,0.614,0.487,0
inc-061,incentive_commitment,0.396,0.63,0.495,0
inc-062,incentive_commitment,0.408,0.646,0.504,0
inc-063,incentive_commitment,0.312,0.554,0.436,0
inc-064,incentive_commitment,0.324,0.57,0.445,0
inc-065,incentive_commitment,0.336,0.566,0.453,0
inc-066,incentive_commitment,0.348,0.582,0.462,0
inc-067,incentive_commitment,0.36,0.598,0.47,0
inc-068,incentive_commitment,0.372,0.614,0.478,0
inc-069,incentive_commitment,0.384,0.63,0.487,0
inc-070,incentive_commitment,0.396,0.626,0.495,0
inc-071,incentive_commitment,0.408,0.642,0.504,0
inc-072,incentive_commitment,0.312,0.55,0.436,0
inc-073,incentive_commitment,0.324,0.566,0.445,0
inc-074,incentive_commitment,0.336,0.582,0.453,0
inc-075,incentive_commitment,0.348,0.578,0.462,0
inc-076,incentive_commitment,0.36,0.594,0.47,0
inc-077,incentive_commitment,0.372,0.61,0.478,0
inc-078,incentive_commitment,0.384,0.626,0.487,0
inc-079,incentive_commitment,0.396,0.642,0.495,0
inc-080,incentive_commitment,0.408,0.638,0.504,0
inc-081,incentive_commitment,0.312,0.546,0.436,0
inc-082,incentive_commitment,0.324,0.562,0.445,0
inc-083,incentive_commitment,0.336,0.578,0.453,0
inc-084,incentive_commitment,0.348,0.594,0.462,0
inc-085,incentive_commitment,0.36,0.59,0.47,0
inc-086,incentive_commitment,0.372,0.606,0.478,0
inc-087,incentive_commitment,0.384,0.622,0.487,0
inc-088,incentive_commitment,0.396,0.638,0.495,0
inc-089,incentive_commitment,0.408,0.654,0.504,0
