source_worker_id,target_worker_id,team_id,same_group,same_role,tie_strength
W014,W020,T02,0,0,0.5583
W020,W014,T02,0,0,0.5583
W014,W023,T02,1,0,0.8611
W023,W014,T02,1,0,0.8611
W014,W024,T02,1,0,0.6939
W024,W014,T02,1,0,0.6939
W015,W020,T02,1,1,0.4083
W020,W015,T02,1,1,0.4083
W015,W021,T02,1,0,0.8745
W021,W015,T02,1,0,0.8745
W015,W023,T02,0,1,0.7034
W023,W015,T02,0,1,0.7034
W015,W024,T02,0,1,0.301
W024,W015,T02,0,1,0.301
W016,W017,T02,1,1,0.5313
W017,W016,T02,1,1,0.5313
W016,W019,T02,0,0,0.2637
W019,W016,T02,0,0,0.2637
W016,W024,T02,1,0,0.6581
W024,W016,T02,1,0,0.6581
W017,W018,T02,1,0,0.5674
W018,W017,T02,1,0,0.5674
W017,W019,T02,0,0,0.5863
W019,W017,T02,0,0,0.5863
W017,W022,T02,1,0,0.6858
W022,W017,T02,1,0,0.6858
W017,W023,T02,1,0,0.6334
W023,W017,T02,1,0,0.6334
W018,W022,T02,1,1,0.7475
W022,W018,T02,1,1,0.7475
W018,W023,T02,1,1,0.567
W023,W018,T02,1,1,0.567
W018,W024,T02,1,1,0.7984
W024,W018,T02,1,1,0.7984
W019,W020,T02,1,1,0.4055
W020,W019,T02,1,1,0.4055
W019,W021,T02,1,0,0.6613
W021,W019,T02,1,0,0.6613
W020,W021,T02,1,0,0.9005
W021,W020,T02,1,0,0.9005
W020,W024,T02,0,1,0.7298
W024,W020,T02,0,1,0.7298
W021,W023,T02,0,0,0.7186
W023,W021,T02,0,0,0.7186
W022,W023,T02,1,1,0.2592
W023,W022,T02,1,1,0.2592
W023,W024,T02,1,1,0.4378
W024,W023,T02,1,1,0.4378
W025,W026,T03,1,0,0.3142
W026,W025,T03,1,0,0.3142
W025,W027,T03,1,0,0.3805
W027,W025,T03,1,0,0.3805
W025,W030,T03,0,1,0.3275
W030,W025,T03,0,1,0.3275
W025,W031,T03,1,1,0.3602
W031,W025,T03,1,1,0.3602
W025,W032,T03,0,1,0.487
W032,W025,T03,0,1,0.487
W025,W035,T03,0,1,0.4443
W035,W025,T03,0,1,0.4443
W026,W027,T03,1,1,0.5114
W027,W026,T03,1,1,0.5114
W026,W028,T03,0,0,0.6059
W028,W026,T03,0,0,0.6059
W026,W029,T03,0,1,0.8294
W029,W026,T03,0,1,0.8294
W026,W030,T03,0,0,0.5707
W030,W026,T03,0,0,0.5707
W026,W032,T03,0,0,0.8783
W032,W026,T03,0,0,0.8783
W026,W036,T03,0,0,0.2824
W036,W026,T03,0,0,0.2824
W027,W035,T03,0,0,0.686
W035,W027,T03,0,0,0.686
W028,W029,T03,1,0,0.2454
W029,W028,T03,1,0,0.2454
W029,W030,T03,1,0,0.8401
W030,W029,T03,1,0,0.8401
W029,W033,T03,1,1,0.7576
W033,W029,T03,1,1,0.7576
W029,W034,T03,1,0,0.6597
W034,W029,T03,1,0,0.6597
W029,W035,T03,1,0,0.8659
W035,W029,T03,1,0,0.8659
W029,W036,T03,1,0,0.5251
W036,W029,T03,1,0,0.5251
W030,W032,T03,1,1,0.7658
W032,W030,T03,1,1,0.7658
W030,W034,T03,1,1,0.4404
W034,W030,T03,1,1,0.4404
W030,W036,T03,1,1,0.466
W036,W030,T03,1,1,0.466
W031,W032,T03,0,1,0.5928
W032,W031,T03,0,1,0.5928
W031,W034,T03,0,1,0.6181
W034,W031,T03,0,1,0.6181
W031,W035,T03,0,1,0.2771
W035,W031,T03,0,1,0.2771
W031,W036,T03,0,1,0.599
W036,W031,T03,0,1,0.599
W032,W036,T03,1,1,0.7118
W036,W032,T03,1,1,0.7118
W033,W034,T03,1,0,0.5139
W034,W033,T03,1,0,0.5139
W033,W035,T03,1,0,0.5646
W035,W033,T03,1,0,0.5646
W033,W036,T03,1,0,0.9251
W036,W033,T03,1,0,0.9251
W034,W036,T03,1,1,0.3954
W036,W034,T03,1,1,0.3954
W037,W038,T04,1,0,0.7704
W038,W037,T04,1,0,0.7704
W037,W040,T04,0,1,0.6574
W040,W037,T04,0,1,0.6574
W037,W042,T04,1,1,0.3591
W042,W037,T04,1,1,0.3591
W037,W043,T04,1,1,0.7649
W043,W037,T04,1,1,0.7649
W037,W044,T04,1,0,0.9539
W044,W037,T04,1,0,0.9539
W037,W047,T04,1,1,0.7391
W047,W037,T04,1,1,0.7391
W037,W048,T04,1,1,0.5307
W048,W037,T04,1,1,0.5307
W038,W041,T04,0,1,0.5111
W041,W038,T04,0,1,0.5111
W038,W042,T04,1,0,0.8496
W042,W038,T04,1,0,0.8496
W038,W044,T04,1,1,0.3088
W044,W038,T04,1,1,0.3088
W038,W045,T04,1,1,0.6276
W045,W038,T04,1,1,0.6276
W038,W047,T04,1,0,0.7079
W047,W038,T04,1,0,0.7079
W039,W040,T04,1,1,0.4542
W040,W039,T04,1,1,0.4542
W039,W042,T04,0,1,0.6292
W042,W039,T04,0,1,0.6292
W039,W047,T04,0,1,0.4488
W047,W039,T04,0,1,0.4488
W040,W041,T04,1,0,0.3504
W041,W040,T04,1,0,0.3504
W040,W042,T04,0,1,0.446
W042,W040,T04,0,1,0.446
W040,W044,T04,0,0,0.6082
W044,W040,T04,0,0,0.6082
W040,W045,T04,0,0,0.2396
W045,W040,T04,0,0,0.2396
W041,W043,T04,0,0,0.6468
W043,W041,T04,0,0,0.6468
W041,W045,T04,0,1,0.4829
W045,W041,T04,0,1,0.4829
W041,W046,T04,0,0,0.7191
W046,W041,T04,0,0,0.7191
W041,W047,T04,0,0,0.625
W047,W041,T04,0,0,0.625
W042,W044,T04,1,0,0.8034
W044,W042,T04,1,0,0.8034
W042,W047,T04,1,1,0.6673
W047,W042,T04,1,1,0.6673
W043,W044,T04,1,0,0.52
W044,W043,T04,1,0,0.52
W043,W045,T04,1,0,0.738
W045,W043,T04,1,0,0.738
W043,W046,T04,1,1,0.3821
W046,W043,T04,1,1,0.3821
W044,W046,T04,1,0,0.7011
W046,W044,T04,1,0,0.7011
W044,W048,T04,1,0,0.6261
W048,W044,T04,1,0,0.6261
W045,W047,T04,1,0,0.4176
W047,W045,T04,1,0,0.4176
W047,W048,T04,1,1,0.7051
W048,W047,T04,1,1,0.7051
W049,W051,T05,1,1,0.6739
W051,W049,T05,1,1,0.6739
W049,W053,T05,0,0,0.8249
W053,W049,T05,0,0,0.8249
W049,W055,T05,0,1,0.5094
W055,W049,T05,0,1,0.5094
W049,W059,T05,1,1,0.6341
W059,W049,T05,1,1,0.6341
W049,W060,T05,1,1,0.2992
W060,W049,T05,1,1,0.2992
W050,W053,T05,1,1,0.8129
W053,W050,T05,1,1,0.8129
W050,W056,T05,1,0,0.662
W056,W050,T05,1,0,0.662
W050,W059,T05,0,0,0.4251
W059,W050,T05,0,0,0.4251
W050,W060,T05,0,0,0.6938
W060,W050,T05,0,0,0.6938
W051,W057,T05,1,0,0.2839
W057,W051,T05,1,0,0.2839
W051,W058,T05,0,1,0.6432
W058,W051,T05,0,1,0.6432
W051,W059,T05,1,1,0.4772
W059,W051,T05,1,1,0.4772
W052,W053,T05,0,0,0.3352
W053,W052,T05,0,0,0.3352
W052,W054,T05,1,1,0.802
W054,W052,T05,1,1,0.802
W052,W059,T05,1,1,0.4713
W059,W052,T05,1,1,0.4713
W052,W060,T05,1,1,0.3418
W060,W052,T05,1,1,0.3418
W053,W055,T05,1,0,0.8021
W055,W053,T05,1,0,0.8021
W053,W056,T05,1,0,0.7026
W056,W053,T05,1,0,0.7026
W053,W059,T05,0,0,0.6828
W059,W053,T05,0,0,0.6828
W054,W055,T05,0,1,0.6999
W055,W054,T05,0,1,0.6999
W054,W058,T05,0,1,0.2046
W058,W054,T05,0,1,0.2046
W055,W056,T05,1,1,0.2543
W056,W055,T05,1,1,0.2543
W055,W058,T05,1,1,0.44
W058,W055,T05,1,1,0.44
W055,W059,T05,0,1,0.5342
W059,W055,T05,0,1,0.5342
W055,W060,T05,0,1,0.1631
W060,W055,T05,0,1,0.1631
W056,W057,T05,0,0,0.8589
W057,W056,T05,0,0,0.8589
W056,W060,T05,0,1,0.4733
W060,W056,T05,0,1,0.4733
W057,W059,T05,1,0,0.6451
W059,W057,T05,1,0,0.6451
W058,W059,T05,0,1,0.5325
W059,W058,T05,0,1,0.5325
W061,W065,T06,0,0,0.7442
W065,W061,T06,0,0,0.7442
W061,W067,T06,1,1,0.6761
W067,W061,T06,1,1,0.6761
W061,W070,T06,0,1,0.269
W070,W061,T06,0,1,0.269
W061,W071,T06,1,0,0.5312
W071,W061,T06,1,0,0.5312
W061,W072,T06,1,1,0.3502
W072,W061,T06,1,1,0.3502
W062,W063,T06,1,0,0.6661
W063,W062,T06,1,0,0.6661
W062,W064,T06,0,0,0.618
W064,W062,T06,0,0,0.618
W062,W065,T06,1,1,0.3507
W065,W062,T06,1,1,0.3507
W062,W068,T06,1,0,0.8927
W068,W062,T06,1,0,0.8927
W062,W069,T06,0,1,0.4072
W069,W062,T06,0,1,0.4072
W062,W070,T06,1,0,0.6817
W070,W062,T06,1,0,0.6817
W062,W072,T06,0,0,0.7057
W072,W062,T06,0,0,0.7057
W063,W064,T06,0,1,0.5027
W064,W063,T06,0,1,0.5027
W063,W065,T06,1,0,0.5281
W065,W063,T06,1,0,0.5281
W063,W066,T06,1,1,0.9234
W066,W063,T06,1,1,0.9234
W063,W068,T06,1,1,0.632
W068,W063,T06,1,1,0.632
W063,W070,T06,1,1,0.5141
W070,W063,T06,1,1,0.5141
W063,W072,T06,0,1,0.2059
W072,W063,T06,0,1,0.2059
W064,W065,T06,0,0,0.6762
W065,W064,T06,0,0,0.6762
W064,W066,T06,0,1,0.5359
W066,W064,T06,0,1,0.5359
W064,W068,T06,0,1,0.2949
W068,W064,T06,0,1,0.2949
W064,W072,T06,1,1,0.6282
W072,W064,T06,1,1,0.6282
W065,W067,T06,0,0,0.6983
W067,W065,T06,0,0,0.6983
W065,W070,T06,1,0,0.98
W070,W065,T06,1,0,0.98
W065,W072,T06,0,0,0.2715
W072,W065,T06,0,0,0.2715
W066,W067,T06,0,1,0.4005
W067,W066,T06,0,1,0.4005
W066,W068,T06,1,1,0.3555
W068,W066,T06,1,1,0.3555
W066,W069,T06,0,0,0.6856
W069,W066,T06,0,0,0.6856
W066,W070,T06,1,1,0.5365
W070,W066,T06,1,1,0.5365
W066,W071,T06,0,0,0.5793
W071,W066,T06,0,0,0.5793
W066,W072,T06,0,1,0.5517
W072,W066,T06,0,1,0.5517
W067,W070,T06,0,1,0.4807
W070,W067,T06,0,1,0.4807
W068,W070,T06,1,1,0.8299
W070,W068,T06,1,1,0.8299
W069,W070,T06,0,0,0.7359
W070,W069,T06,0,0,0.7359
W069,W071,T06,1,1,0.599
W071,W069,T06,1,1,0.599
W073,W075,T07,1,1,0.6714
W075,W073,T07,1,1,0.6714
W073,W081,T07,1,0,0.2535
W081,W073,T07,1,0,0.2535
W073,W082,T07,1,1,0.8122
W082,W073,T07,1,1,0.8122
W073,W083,T07,1,1,0.6162
W083,W073,T07,1,1,0.6162
W073,W084,T07,1,1,0.4026
W084,W073,T07,1,1,0.4026
W074,W078,T07,0,0,0.7085
W078,W074,T07,0,0,0.7085
W074,W081,T07,1,1,0.6546
W081,W074,T07,1,1,0.6546
W074,W082,T07,1,0,0.5848
W082,W074,T07,1,0,0.5848
W074,W083,T07,1,0,0.5036
W083,W074,T07,1,0,0.5036
W074,W084,T07,1,0,0.5503
W084,W074,T07,1,0,0.5503
W075,W077,T07,0,0,0.7211
W077,W075,T07,0,0,0.7211
W075,W079,T07,1,1,0.5663
W079,W075,T07,1,1,0.5663
W075,W080,T07,1,1,0.4462
W080,W075,T07,1,1,0.4462
W075,W081,T07,1,0,0.6581
W081,W075,T07,1,0,0.6581
W075,W082,T07,1,1,0.5724
W082,W075,T07,1,1,0.5724
W075,W084,T07,1,1,0.2098
W084,W075,T07,1,1,0.2098
W076,W077,T07,0,0,0.3708
W077,W076,T07,0,0,0.3708
W076,W080,T07,1,1,0.9055
W080,W076,T07,1,1,0.9055
W076,W081,T07,1,0,0.3617
W081,W076,T07,1,0,0.3617
W076,W082,T07,1,1,0.4341
W082,W076,T07,1,1,0.4341
W076,W083,T07,1,1,0.6002
W083,W076,T07,1,1,0.6002
W076,W084,T07,1,1,0.6895
W084,W076,T07,1,1,0.6895
W077,W078,T07,1,0,0.3819
W078,W077,T07,1,0,0.3819
W077,W082,T07,0,0,0.3574
W082,W077,T07,0,0,0.3574
W077,W084,T07,0,0,0.6889
W084,W077,T07,0,0,0.6889
W078,W084,T07,0,1,0.2417
W084,W078,T07,0,1,0.2417
W079,W080,T07,1,1,0.5656
W080,W079,T07,1,1,0.5656
W079,W081,T07,1,0,0.2863
W081,W079,T07,1,0,0.2863
W079,W084,T07,1,1,0.4402
W084,W079,T07,1,1,0.4402
W080,W082,T07,1,1,0.6234
W082,W080,T07,1,1,0.6234
W080,W083,T07,1,1,0.6247
W083,W080,T07,1,1,0.6247
W081,W083,T07,1,0,0.5171
W083,W081,T07,1,0,0.5171
W081,W084,T07,1,0,0.7938
W084,W081,T07,1,0,0.7938
W082,W083,T07,1,1,0.4088
W083,W082,T07,1,1,0.4088
W082,W084,T07,1,1,0.5078
W084,W082,T07,1,1,0.5078
W083,W084,T07,1,1,0.6156
W084,W083,T07,1,1,0.6156
W085,W087,T08,0,1,0.245
W087,W085,T08,0,1,0.245
W085,W088,T08,0,1,0.8552
W088,W085,T08,0,1,0.8552
W085,W090,T08,1,1,0.4112
W090,W085,T08,1,1,0.4112
W085,W091,T08,0,0,0.77
W091,W085,T08,0,0,0.77
W085,W094,T08,0,1,0.2871
W094,W085,T08,0,1,0.2871
W085,W095,T08,0,1,0.4439
W095,W085,T08,0,1,0.4439
W086,W089,T08,1,1,0.9638
W089,W086,T08,1,1,0.9638
W086,W090,T08,0,0,0.6043
W090,W086,T08,0,0,0.6043
W086,W091,T08,1,1,0.3457
W091,W086,T08,1,1,0.3457
W086,W092,T08,1,0,0.8019
W092,W086,T08,1,0,0.8019
W086,W094,T08,1,0,0.4121
W094,W086,T08,1,0,0.4121
W087,W088,T08,1,1,0.2946
W088,W087,T08,1,1,0.2946
W087,W089,T08,1,0,0.7373
W089,W087,T08,1,0,0.7373
W087,W092,T08,1,1,0.802
W092,W087,T08,1,1,0.802
W087,W095,T08,1,1,0.5403
W095,W087,T08,1,1,0.5403
W088,W091,T08,1,0,0.3152
W091,W088,T08,1,0,0.3152
W088,W093,T08,1,0,0.6131
W093,W088,T08,1,0,0.6131
W088,W094,T08,1,1,0.3853
W094,W088,T08,1,1,0.3853
W089,W090,T08,0,0,0.3897
W090,W089,T08,0,0,0.3897
W089,W091,T08,1,1,0.9434
W091,W089,T08,1,1,0.9434
W089,W092,T08,1,0,0.7531
W092,W089,T08,1,0,0.7531
W089,W093,T08,1,1,0.7929
W093,W089,T08,1,1,0.7929
W090,W094,T08,0,1,0.7106
W094,W090,T08,0,1,0.7106
W090,W096,T08,1,1,0.5696
W096,W090,T08,1,1,0.5696
W091,W094,T08,1,0,0.98
W094,W091,T08,1,0,0.98
W091,W095,T08,1,0,0.9293
W095,W091,T08,1,0,0.9293
W092,W094,T08,1,1,0.4284
W094,W092,T08,1,1,0.4284
W093,W094,T08,1,0,0.5003
W094,W093,T08,1,0,0.5003
W093,W095,T08,1,0,0.6541
W095,W093,T08,1,0,0.6541
W093,W096,T08,0,0,0.271
W096,W093,T08,0,0,0.271
W094,W095,T08,1,1,0.2706
W095,W094,T08,1,1,0.2706
W094,W096,T08,0,1,0.6924
W096,W094,T08,0,1,0.6924
