worker_id,team_id,seat,group,role,assigned_treatment_prob,saturation_cell,treated,baseline_skill,tenure_years,team_shock,outside_team_contact_count,productivity,retained_next_period
W032,T03,8,A,junior,0.4,low,0,-0.1349,3.4557,-0.4378,2,53.1916,1
W033,T03,9,A,senior,0.4,low,0,0.8002,1.8859,-0.4378,1,59.0425,0
W034,T03,10,A,junior,0.4,low,0,0.1622,0.3204,-0.4378,0,50.1746,0
W035,T03,11,A,junior,0.4,low,0,-0.4385,1.7899,-0.4378,0,56.9505,0
W036,T03,12,A,junior,0.4,low,0,0.1423,0.9775,-0.4378,0,55.9137,1
W037,T04,1,B,junior,0.4,low,1,-0.4369,1.0952,0.0825,0,60.8608,0
W038,T04,2,B,senior,0.4,low,1,0.3589,1.2069,0.0825,1,61.7424,1
W039,T04,3,A,junior,0.4,low,0,-0.1846,0.4181,0.0825,0,56.4126,0
W040,T04,4,A,junior,0.4,low,1,-0.7044,3.8337,0.0825,0,55.6547,0
W041,T04,5,A,senior,0.4,low,1,0.776,1.706,0.0825,0,61.516,1
W042,T04,6,B,junior,0.4,low,0,0.7389,5.7391,0.0825,1,55.8006,0
W043,T04,7,B,junior,0.4,low,1,-0.0539,1.1968,0.0825,0,57.5126,0
W044,T04,8,B,senior,0.4,low,0,0.2062,4.1923,0.0825,1,56.2022,0
W045,T04,9,B,senior,0.4,low,0,-0.0103,2.8163,0.0825,1,57.8362,0
W046,T04,10,B,junior,0.4,low,0,0.3286,1.2108,0.0825,0,55.3209,0
W047,T04,11,B,junior,0.4,low,0,-0.0235,1.4322,0.0825,0,51.6427,1
W048,T04,12,B,junior,0.4,low,1,0.1364,1.1203,0.0825,0,56.6329,0
W049,T05,1,B,junior,0.6,high,1,-0.5731,1.7248,-1.6601,1,53.1453,0
W050,T05,2,A,senior,0.6,high,0,-0.5893,2.377,-1.6601,0,47.2738,1
W051,T05,3,B,junior,0.6,high,0,-0.1258,5.6622,-1.6601,1,57.0631,0
W052,T05,4,B,junior,0.6,high,1,-0.6421,2.6041,-1.6601,0,57.7387,0
W053,T05,5,A,senior,0.6,high,1,0.2012,2.5747,-1.6601,3,62.0381,0
W054,T05,6,B,junior,0.6,high,0,-0.0514,0.5754,-1.6601,0,60.1392,0
W055,T05,7,A,junior,0.6,high,1,0.658,0.8623,-1.6601,0,64.5282,0
W056,T05,8,A,junior,0.6,high,0,-0.0351,0.8231,-1.6601,0,58.4707,0
W057,T05,9,B,senior,0.6,high,1,-0.2994,1.7123,-1.6601,0,56.0299,0
W058,T05,10,A,junior,0.6,high,1,1.3477,2.3407,-1.6601,0,66.4973,1
W059,T05,11,B,junior,0.6,high,1,0.2848,1.0988,-1.6601,2,59.7491,0
W060,T05,12,B,junior,0.6,high,1,-1.2589,1.6676,-1.6601,1,50.3562,1
W061,T06,1,B,junior,0.6,high,0,0.6017,5.5124,0.93,1,60.5246,0
W062,T06,2,A,senior,0.6,high,1,0.6857,2.7604,0.93,1,63.9214,0
W063,T06,3,A,junior,0.6,high,1,0.4495,4.0532,0.93,0,60.2774,1
W064,T06,4,B,junior,0.6,high,0,0.4738,4.6921,0.93,0,58.2011,1
W065,T06,5,A,senior,0.6,high,0,0.7318,2.4369,0.93,3,60.3756,0
W066,T06,6,A,junior,0.6,high,0,0.635,4.0727,0.93,0,63.6645,1
W067,T06,7,B,junior,0.6,high,1,-0.4154,3.9564,0.93,0,54.6142,1
W068,T06,8,A,junior,0.6,high,1,0.7796,3.6852,0.93,1,62.4668,0
W069,T06,9,B,senior,0.6,high,1,0.8935,1.1334,0.93,0,62.3703,1
W070,T06,10,A,junior,0.6,high,1,-0.5823,5.1539,0.93,0,58.4415,1
W071,T06,11,B,senior,0.6,high,0,0.1966,0.7335,0.93,2,52.1166,0
W072,T06,12,B,junior,0.6,high,1,-0.4854,2.0559,0.93,0,57.1883,0
W073,T07,1,A,junior,0.75,high,1,1.4831,0.3509,-0.3758,0,65.6031,1
W074,T07,2,A,senior,0.75,high,0,0.0855,0.2739,-0.3758,0,54.6914,1
W075,T07,3,A,junior,0.75,high,1,0.6743,1.9999,-0.3758,0,64.3892,1
W076,T07,4,A,junior,0.75,high,1,1.1432,4.7631,-0.3758,0,59.6425,1
W077,T07,5,B,senior,0.75,high,1,-0.3677,2.4953,-0.3758,0,55.9157,0
W078,T07,6,B,junior,0.75,high,1,-0.152,3.683,-0.3758,0,61.669,0
W079,T07,7,A,junior,0.75,high,1,0.9754,6.1745,-0.3758,0,61.1314,0
W080,T07,8,A,junior,0.75,high,1,0.2799,1.27,-0.3758,0,64.3805,0
W081,T07,9,A,senior,0.75,high,1,1.682,1.0763,-0.3758,1,63.4722,1
W082,T07,10,A,junior,0.75,high,1,0.4101,3.0202,-0.3758,1,60.7769,0
W083,T07,11,A,junior,0.75,high,1,1.1013,2.2188,-0.3758,0,64.9401,0
W084,T07,12,A,junior,0.75,high,0,0.0837,1.1342,-0.3758,1,59.0566,1
W085,T08,1,B,junior,0.75,high,0,0.2547,2.2721,-0.7044,1,53.1747,1
W086,T08,2,A,senior,0.75,high,1,0.8395,9.0,-0.7044,0,69.3191,0
W087,T08,3,A,junior,0.75,high,1,-0.2262,1.6283,-0.7044,0,60.3194,0
W088,T08,4,A,junior,0.75,high,0,0.4772,2.2481,-0.7044,1,54.3188,0
W089,T08,5,A,senior,0.75,high,1,-0.6182,2.0357,-0.7044,3,67.0333,1
W090,T08,6,B,junior,0.75,high,1,0.4631,2.7528,-0.7044,1,61.2012,0
W091,T08,7,A,senior,0.75,high,1,0.8833,1.8334,-0.7044,1,64.5335,0
W092,T08,8,A,junior,0.75,high,1,-0.1956,0.2987,-0.7044,0,61.4906,0
W093,T08,9,A,senior,0.75,high,1,-0.489,4.1437,-0.7044,2,61.4036,1
W094,T08,10,A,junior,0.75,high,1,-0.8882,2.3464,-0.7044,0,57.6866,0
W095,T08,11,A,junior,0.75,high,1,-0.2219,1.6894,-0.7044,0,59.865,0
W096,T08,12,B,junior,0.75,high,1,0.7243,1.8418,-0.7044,0,56.952,0
