worker_id,period,contract,worker_status,ability_index,commitment_index,risk_tolerance_index,retained_into_performance_pay,hours_worked,output_units,quality_score,measured_task_share,pay,entry_source
W011,performance_pay,piece_rate,continuing_incumbent,0.71,0.94,0.63,1,8.09,91.044,0.814,0.665,232.38,incumbent
W012,hourly_baseline,hourly_pay,baseline_incumbent,0.88,0.44,0.82,1,7.2,75.1,0.886,0.64,153.92,incumbent
W012,performance_pay,piece_rate,continuing_incumbent,0.88,0.44,0.82,1,7.48,91.028,0.833,0.803,223.21,incumbent
W013,hourly_baseline,hourly_pay,baseline_incumbent,0.52,0.55,0.43,1,7.7,62.69,0.796,0.57,161.43,incumbent
W013,performance_pay,piece_rate,continuing_incumbent,0.52,0.55,0.43,1,8.0,76.09,0.769,0.717,212.84,incumbent
W014,hourly_baseline,hourly_pay,baseline_incumbent,0.69,0.66,0.62,1,7.2,75.56,0.871,0.5,154.0,incumbent
W014,performance_pay,piece_rate,continuing_incumbent,0.69,0.66,0.62,1,7.53,90.686,0.845,0.655,223.51,incumbent
W015,hourly_baseline,hourly_pay,baseline_incumbent,0.86,0.77,0.81,1,7.7,79.43,0.876,0.63,164.45,incumbent
W015,performance_pay,piece_rate,continuing_incumbent,0.86,0.77,0.81,1,8.05,96.282,0.827,0.792,238.21,incumbent
W016,hourly_baseline,hourly_pay,baseline_incumbent,0.5,0.88,0.42,0,7.2,67.02,0.785,0.56,152.46,incumbent
W017,hourly_baseline,hourly_pay,baseline_incumbent,0.67,0.38,0.61,1,7.7,67.23,0.836,0.49,162.25,incumbent
W017,performance_pay,piece_rate,continuing_incumbent,0.67,0.38,0.61,1,7.96,81.328,0.806,0.644,218.67,incumbent
W018,hourly_baseline,hourly_pay,baseline_incumbent,0.84,0.49,0.8,1,7.2,71.1,0.841,0.62,153.2,incumbent
W018,performance_pay,piece_rate,continuing_incumbent,0.84,0.49,0.8,1,7.49,86.924,0.788,0.782,218.36,incumbent
W019,hourly_baseline,hourly_pay,baseline_incumbent,0.48,0.6,0.41,1,7.7,67.69,0.82,0.55,162.33,incumbent
W019,performance_pay,piece_rate,continuing_incumbent,0.48,0.6,0.41,1,8.01,80.986,0.794,0.696,218.98,incumbent
W020,hourly_baseline,hourly_pay,baseline_incumbent,0.65,0.71,0.6,0,7.2,71.56,0.825,0.48,153.28,incumbent
W021,hourly_baseline,hourly_pay,baseline_incumbent,0.82,0.82,0.79,1,7.7,75.43,0.9,0.61,163.73,incumbent
W021,performance_pay,piece_rate,continuing_incumbent,0.82,0.82,0.79,1,8.06,92.178,0.853,0.772,233.36,incumbent
W022,hourly_baseline,hourly_pay,baseline_incumbent,0.46,0.93,0.4,1,7.2,63.02,0.81,0.54,151.74,incumbent
W022,performance_pay,piece_rate,continuing_incumbent,0.46,0.93,0.4,1,7.58,77.24,0.789,0.686,208.0,incumbent
W023,hourly_baseline,hourly_pay,baseline_incumbent,0.63,0.43,0.59,1,7.7,72.23,0.791,0.67,163.15,incumbent
W023,performance_pay,piece_rate,continuing_incumbent,0.63,0.43,0.59,1,7.97,86.224,0.737,0.824,224.81,incumbent
W024,hourly_baseline,hourly_pay,baseline_incumbent,0.8,0.54,0.78,1,7.2,76.1,0.866,0.6,154.1,incumbent
W024,performance_pay,piece_rate,continuing_incumbent,0.8,0.54,0.78,1,7.5,91.82,0.839,0.761,224.5,incumbent
W025,hourly_baseline,hourly_pay,baseline_incumbent,0.44,0.65,0.39,1,7.7,63.69,0.775,0.53,161.61,incumbent
W025,performance_pay,piece_rate,continuing_incumbent,0.44,0.65,0.39,1,8.02,76.882,0.75,0.676,214.14,incumbent
W026,hourly_baseline,hourly_pay,baseline_incumbent,0.61,0.76,0.58,1,7.2,67.56,0.85,0.66,152.56,incumbent
W026,performance_pay,piece_rate,continuing_incumbent,0.61,0.76,0.58,1,7.55,82.478,0.802,0.813,213.83,incumbent
W027,hourly_baseline,hourly_pay,baseline_incumbent,0.78,0.87,0.77,1,7.7,71.43,0.855,0.59,163.01,incumbent
W027,performance_pay,piece_rate,continuing_incumbent,0.78,0.87,0.77,1,8.07,88.074,0.833,0.751,228.52,incumbent
W028,hourly_baseline,hourly_pay,baseline_incumbent,0.95,0.37,0.38,0,7.2,82.38,0.906,0.52,155.23,incumbent
W029,hourly_baseline,hourly_pay,baseline_incumbent,0.59,0.48,0.57,1,7.7,68.23,0.815,0.65,162.43,incumbent
W029,performance_pay,piece_rate,continuing_incumbent,0.59,0.48,0.57,1,7.99,82.12,0.763,0.803,219.97,incumbent
W030,hourly_baseline,hourly_pay,baseline_incumbent,0.76,0.59,0.76,1,7.2,72.1,0.82,0.58,153.38,incumbent
W030,performance_pay,piece_rate,continuing_incumbent,0.76,0.59,0.76,1,7.51,87.716,0.794,0.74,219.66,incumbent
W031,hourly_baseline,hourly_pay,baseline_incumbent,0.93,0.7,0.37,1,7.7,77.71,0.895,0.51,164.14,incumbent
W031,performance_pay,piece_rate,continuing_incumbent,0.93,0.7,0.37,1,8.03,93.66,0.871,0.655,234.78,incumbent
W032,hourly_baseline,hourly_pay,baseline_incumbent,0.57,0.81,0.56,0,7.2,72.56,0.805,0.64,153.46,incumbent
W033,hourly_baseline,hourly_pay,baseline_incumbent,0.74,0.92,0.75,1,7.7,76.43,0.88,0.57,163.91,incumbent
W033,performance_pay,piece_rate,continuing_incumbent,0.74,0.92,0.75,1,8.08,92.97,0.859,0.73,234.66,incumbent
W034,hourly_baseline,hourly_pay,baseline_incumbent,0.91,0.42,0.36,1,7.2,78.38,0.861,0.5,154.51,incumbent
W034,performance_pay,piece_rate,continuing_incumbent,0.91,0.42,0.36,1,7.47,93.302,0.832,0.644,225.91,incumbent
W035,hourly_baseline,hourly_pay,baseline_incumbent,0.55,0.53,0.55,1,7.7,64.23,0.84,0.63,161.71,incumbent
W035,performance_pay,piece_rate,continuing_incumbent,0.55,0.53,0.55,1,8.0,78.016,0.788,0.782,215.13,incumbent
W036,hourly_baseline,hourly_pay,baseline_incumbent,0.72,0.64,0.74,1,7.2,68.1,0.845,0.56,152.66,incumbent
W036,performance_pay,piece_rate,continuing_incumbent,0.72,0.64,0.74,1,7.52,83.612,0.82,0.72,214.82,incumbent
W037,hourly_baseline,hourly_pay,baseline_incumbent,0.89,0.75,0.35,1,7.7,82.71,0.85,0.49,165.04,incumbent
W037,performance_pay,piece_rate,continuing_incumbent,0.89,0.75,0.35,1,8.04,98.556,0.826,0.634,240.91,incumbent
W038,hourly_baseline,hourly_pay,baseline_incumbent,0.53,0.86,0.54,1,7.2,68.56,0.83,0.62,152.74,incumbent
W038,performance_pay,piece_rate,continuing_incumbent,0.53,0.86,0.54,1,7.57,83.27,0.783,0.772,215.13,incumbent
W039,hourly_baseline,hourly_pay,baseline_incumbent,0.7,0.36,0.73,1,7.7,68.77,0.81,0.55,162.53,incumbent
W039,performance_pay,piece_rate,continuing_incumbent,0.7,0.36,0.73,1,7.96,83.254,0.781,0.709,220.96,incumbent
W040,hourly_baseline,hourly_pay,baseline_incumbent,0.87,0.47,0.34,1,7.2,74.38,0.885,0.48,153.79,incumbent
W040,performance_pay,piece_rate,continuing_incumbent,0.87,0.47,0.34,1,7.48,89.198,0.857,0.624,221.07,incumbent
W041,hourly_baseline,hourly_pay,baseline_incumbent,0.51,0.58,0.53,1,7.7,69.23,0.795,0.61,162.61,incumbent
W041,performance_pay,piece_rate,continuing_incumbent,0.51,0.58,0.53,1,8.01,82.912,0.744,0.761,221.27,incumbent
W042,hourly_baseline,hourly_pay,baseline_incumbent,0.68,0.69,0.72,1,7.2,73.1,0.87,0.54,153.56,incumbent
W042,performance_pay,piece_rate,continuing_incumbent,0.68,0.69,0.72,1,7.53,88.508,0.845,0.699,220.96,incumbent
W043,hourly_baseline,hourly_pay,baseline_incumbent,0.85,0.8,0.33,1,7.7,78.71,0.875,0.67,164.32,incumbent
W043,performance_pay,piece_rate,continuing_incumbent,0.85,0.8,0.33,1,8.06,94.452,0.827,0.813,236.07,incumbent
W044,hourly_baseline,hourly_pay,baseline_incumbent,0.49,0.91,0.52,0,7.2,64.56,0.785,0.6,152.02,incumbent
W045,hourly_baseline,hourly_pay,baseline_incumbent,0.66,0.41,0.71,1,7.7,64.77,0.835,0.53,161.81,incumbent
W045,performance_pay,piece_rate,continuing_incumbent,0.66,0.41,0.71,1,7.97,79.15,0.806,0.688,216.12,incumbent
W046,hourly_baseline,hourly_pay,baseline_incumbent,0.83,0.52,0.32,1,7.2,79.38,0.84,0.66,154.69,incumbent
W046,performance_pay,piece_rate,continuing_incumbent,0.83,0.52,0.32,1,7.49,94.094,0.788,0.803,227.21,incumbent
W047,hourly_baseline,hourly_pay,baseline_incumbent,0.47,0.63,0.51,1,7.7,65.23,0.82,0.59,161.89,incumbent
W047,performance_pay,piece_rate,continuing_incumbent,0.47,0.63,0.51,1,8.02,78.808,0.794,0.74,216.42,incumbent
W048,hourly_baseline,hourly_pay,baseline_incumbent,0.64,0.74,0.7,0,7.2,69.1,0.825,0.52,152.84,incumbent
W049,hourly_baseline,hourly_pay,baseline_incumbent,0.81,0.85,0.31,0,7.7,74.71,0.9,0.65,163.6,incumbent
W050,hourly_baseline,hourly_pay,baseline_incumbent,0.45,0.35,0.5,1,7.2,65.9,0.785,0.58,152.26,incumbent
W050,performance_pay,piece_rate,continuing_incumbent,0.45,0.35,0.5,1,7.46,78.45,0.755,0.73,207.56,incumbent
W051,hourly_baseline,hourly_pay,baseline_incumbent,0.62,0.46,0.69,1,7.7,69.77,0.79,0.51,162.71,incumbent
W051,performance_pay,piece_rate,continuing_incumbent,0.62,0.46,0.69,1,7.98,84.046,0.762,0.668,222.25,incumbent
W052,hourly_baseline,hourly_pay,baseline_incumbent,0.79,0.57,0.3,1,7.2,75.38,0.865,0.64,153.97,incumbent
W052,performance_pay,piece_rate,continuing_incumbent,0.79,0.57,0.3,1,7.51,89.99,0.814,0.782,222.37,incumbent
W053,hourly_baseline,hourly_pay,baseline_incumbent,0.43,0.68,0.49,1,7.7,61.23,0.775,0.57,161.17,incumbent
W053,performance_pay,piece_rate,continuing_incumbent,0.43,0.68,0.49,1,8.03,74.704,0.75,0.72,211.58,incumbent
W054,hourly_baseline,hourly_pay,baseline_incumbent,0.6,0.79,0.68,1,7.2,65.1,0.85,0.5,152.12,incumbent
W054,performance_pay,piece_rate,continuing_incumbent,0.6,0.79,0.68,1,7.55,80.3,0.826,0.657,211.27,incumbent
W055,hourly_baseline,hourly_pay,baseline_incumbent,0.77,0.9,0.29,1,7.7,79.71,0.855,0.63,164.5,incumbent
W055,performance_pay,piece_rate,continuing_incumbent,0.77,0.9,0.29,1,8.08,95.244,0.808,0.772,237.37,incumbent
W056,hourly_baseline,hourly_pay,baseline_incumbent,0.94,0.4,0.48,1,7.2,79.92,0.905,0.56,154.79,incumbent
W056,performance_pay,piece_rate,continuing_incumbent,0.94,0.4,0.48,1,7.47,95.228,0.876,0.709,228.2,incumbent
W057,hourly_baseline,hourly_pay,baseline_incumbent,0.58,0.51,0.67,1,7.7,65.77,0.815,0.49,161.99,incumbent
W057,performance_pay,piece_rate,continuing_incumbent,0.58,0.51,0.67,1,7.99,79.942,0.787,0.647,217.41,incumbent
W058,hourly_baseline,hourly_pay,baseline_incumbent,0.75,0.62,0.28,1,7.2,71.38,0.82,0.62,153.25,incumbent
W058,performance_pay,piece_rate,continuing_incumbent,0.75,0.62,0.28,1,7.52,85.886,0.769,0.761,217.53,incumbent
W059,hourly_baseline,hourly_pay,baseline_incumbent,0.92,0.73,0.47,1,7.7,84.25,0.895,0.55,165.31,incumbent
W059,performance_pay,piece_rate,continuing_incumbent,0.92,0.73,0.47,1,8.04,100.482,0.871,0.699,243.2,incumbent
W060,hourly_baseline,hourly_pay,baseline_incumbent,0.56,0.84,0.66,0,7.2,70.1,0.804,0.48,153.02,incumbent
W061,hourly_baseline,hourly_pay,baseline_incumbent,0.73,0.34,0.85,1,7.7,70.31,0.855,0.61,162.81,incumbent
W061,performance_pay,piece_rate,continuing_incumbent,0.73,0.34,0.85,1,7.95,85.18,0.8,0.774,223.24,incumbent
W062,hourly_baseline,hourly_pay,baseline_incumbent,0.9,0.45,0.46,1,7.2,75.92,0.86,0.54,154.07,incumbent
W062,performance_pay,piece_rate,continuing_incumbent,0.9,0.45,0.46,1,7.48,91.124,0.832,0.688,223.36,incumbent
W063,hourly_baseline,hourly_pay,baseline_incumbent,0.54,0.56,0.65,1,7.7,61.77,0.84,0.67,161.27,incumbent
W063,performance_pay,piece_rate,continuing_incumbent,0.54,0.56,0.65,1,8.0,75.838,0.788,0.826,212.57,incumbent
W064,hourly_baseline,hourly_pay,baseline_incumbent,0.71,0.67,0.84,1,7.2,74.64,0.845,0.6,153.84,incumbent
W064,performance_pay,piece_rate,continuing_incumbent,0.71,0.67,0.84,1,7.53,90.434,0.82,0.764,223.24,incumbent
W065,hourly_baseline,hourly_pay,baseline_incumbent,0.88,0.78,0.45,1,7.7,80.25,0.85,0.53,164.59,incumbent
W065,performance_pay,piece_rate,continuing_incumbent,0.88,0.78,0.45,1,8.05,96.378,0.826,0.678,238.36,incumbent
W066,hourly_baseline,hourly_pay,baseline_incumbent,0.52,0.89,0.64,1,7.2,66.1,0.829,0.66,152.3,incumbent
W066,performance_pay,piece_rate,continuing_incumbent,0.52,0.89,0.64,1,7.58,81.092,0.783,0.816,212.57,incumbent
W067,hourly_baseline,hourly_pay,baseline_incumbent,0.69,0.39,0.83,1,7.7,66.31,0.81,0.59,162.09,incumbent
W067,performance_pay,piece_rate,continuing_incumbent,0.69,0.39,0.83,1,7.97,81.076,0.781,0.753,218.4,incumbent
W068,hourly_baseline,hourly_pay,baseline_incumbent,0.86,0.5,0.44,1,7.2,80.92,0.885,0.52,154.97,incumbent
W068,performance_pay,piece_rate,continuing_incumbent,0.86,0.5,0.44,1,7.49,96.02,0.857,0.668,229.49,incumbent
W069,hourly_baseline,hourly_pay,baseline_incumbent,0.5,0.61,0.63,1,7.7,66.77,0.794,0.65,162.17,incumbent
W069,performance_pay,piece_rate,continuing_incumbent,0.5,0.61,0.63,1,8.01,80.734,0.744,0.805,218.71,incumbent
W070,hourly_baseline,hourly_pay,baseline_incumbent,0.67,0.72,0.82,1,7.2,70.64,0.869,0.58,153.12,incumbent
W070,performance_pay,piece_rate,continuing_incumbent,0.67,0.72,0.82,1,7.54,86.33,0.845,0.743,218.4,incumbent
W071,hourly_baseline,hourly_pay,baseline_incumbent,0.84,0.83,0.43,1,7.7,76.25,0.874,0.51,163.88,incumbent
W071,performance_pay,piece_rate,continuing_incumbent,0.84,0.83,0.43,1,8.06,92.274,0.852,0.657,233.51,incumbent
W072,hourly_baseline,hourly_pay,baseline_incumbent,0.48,0.94,0.62,0,7.2,62.1,0.784,0.64,151.58,incumbent
W073,hourly_baseline,hourly_pay,baseline_incumbent,0.65,0.44,0.81,1,7.7,71.31,0.835,0.57,162.99,incumbent
W073,performance_pay,piece_rate,continuing_incumbent,0.65,0.44,0.81,1,7.98,85.972,0.806,0.732,224.54,incumbent
W074,hourly_baseline,hourly_pay,baseline_incumbent,0.82,0.55,0.42,1,7.2,76.92,0.84,0.5,154.25,incumbent
W074,performance_pay,piece_rate,continuing_incumbent,0.82,0.55,0.42,1,7.5,91.916,0.813,0.647,224.65,incumbent
W075,hourly_baseline,hourly_pay,baseline_incumbent,0.46,0.66,0.61,1,7.7,62.77,0.819,0.63,161.45,incumbent
W075,performance_pay,piece_rate,continuing_incumbent,0.46,0.66,0.61,1,8.03,76.63,0.769,0.784,213.87,incumbent
W076,hourly_baseline,hourly_pay,baseline_incumbent,0.63,0.77,0.8,0,7.2,66.64,0.824,0.56,152.4,incumbent
W077,hourly_baseline,hourly_pay,baseline_incumbent,0.8,0.88,0.41,0,7.7,81.25,0.899,0.49,164.78,incumbent
W078,hourly_baseline,hourly_pay,baseline_incumbent,0.44,0.38,0.6,1,7.2,63.44,0.784,0.62,151.82,incumbent
W078,performance_pay,piece_rate,continuing_incumbent,0.44,0.38,0.6,1,7.46,76.272,0.73,0.774,205.01,incumbent
W079,hourly_baseline,hourly_pay,baseline_incumbent,0.61,0.49,0.79,1,7.7,67.31,0.789,0.55,162.27,incumbent
W079,performance_pay,piece_rate,continuing_incumbent,0.61,0.49,0.79,1,7.99,81.868,0.762,0.712,219.7,incumbent
W080,hourly_baseline,hourly_pay,baseline_incumbent,0.78,0.6,0.4,1,7.2,72.92,0.864,0.48,153.53,incumbent
W080,performance_pay,piece_rate,continuing_incumbent,0.78,0.6,0.4,1,7.51,87.812,0.838,0.626,219.81,incumbent
W081,hourly_baseline,hourly_pay,baseline_incumbent,0.95,0.71,0.59,1,7.7,76.79,0.869,0.61,163.97,incumbent
W081,performance_pay,piece_rate,continuing_incumbent,0.95,0.71,0.59,1,8.04,93.408,0.82,0.764,234.5,incumbent
W082,hourly_baseline,hourly_pay,baseline_incumbent,0.59,0.82,0.78,1,7.2,71.64,0.849,0.54,153.3,incumbent
W082,performance_pay,piece_rate,continuing_incumbent,0.59,0.82,0.78,1,7.56,87.122,0.826,0.701,219.69,incumbent
W083,hourly_baseline,hourly_pay,baseline_incumbent,0.76,0.93,0.39,1,7.7,77.25,0.854,0.67,164.06,incumbent
W083,performance_pay,piece_rate,continuing_incumbent,0.76,0.93,0.39,1,8.08,93.066,0.808,0.816,234.81,incumbent
W084,hourly_baseline,hourly_pay,baseline_incumbent,0.93,0.43,0.58,1,7.2,77.46,0.905,0.6,154.34,incumbent
W084,performance_pay,piece_rate,continuing_incumbent,0.93,0.43,0.58,1,7.47,93.05,0.876,0.753,225.64,incumbent
W085,hourly_baseline,hourly_pay,baseline_incumbent,0.57,0.54,0.77,1,7.7,63.31,0.814,0.53,161.55,incumbent
W085,performance_pay,piece_rate,continuing_incumbent,0.57,0.54,0.77,1,8.0,77.764,0.787,0.691,214.85,incumbent
W086,hourly_baseline,hourly_pay,baseline_incumbent,0.74,0.65,0.38,1,7.2,77.92,0.819,0.66,154.43,incumbent
W086,performance_pay,piece_rate,continuing_incumbent,0.74,0.65,0.38,1,7.52,92.708,0.769,0.805,225.95,incumbent
W087,hourly_baseline,hourly_pay,baseline_incumbent,0.91,0.76,0.57,1,7.7,81.79,0.894,0.59,164.87,incumbent
W087,performance_pay,piece_rate,continuing_incumbent,0.91,0.76,0.57,1,8.05,98.304,0.871,0.743,240.64,incumbent
W088,hourly_baseline,hourly_pay,baseline_incumbent,0.55,0.87,0.76,0,7.2,67.64,0.804,0.52,152.58,incumbent
W089,hourly_baseline,hourly_pay,baseline_incumbent,0.72,0.37,0.37,1,7.7,69.59,0.854,0.65,162.68,incumbent
W089,performance_pay,piece_rate,continuing_incumbent,0.72,0.37,0.37,1,7.96,83.35,0.8,0.795,221.11,incumbent
W090,hourly_baseline,hourly_pay,baseline_incumbent,0.89,0.48,0.56,1,7.2,73.46,0.859,0.58,153.62,incumbent
W090,performance_pay,piece_rate,continuing_incumbent,0.89,0.48,0.56,1,7.49,88.946,0.832,0.732,220.8,incumbent
W091,hourly_baseline,hourly_pay,baseline_incumbent,0.53,0.59,0.75,1,7.7,68.31,0.839,0.51,162.45,incumbent
W091,performance_pay,piece_rate,continuing_incumbent,0.53,0.59,0.75,1,8.01,82.66,0.813,0.67,220.99,incumbent
W092,hourly_baseline,hourly_pay,baseline_incumbent,0.7,0.7,0.36,1,7.2,73.92,0.844,0.64,153.71,incumbent
W092,performance_pay,piece_rate,continuing_incumbent,0.7,0.7,0.36,1,7.53,88.604,0.794,0.784,221.11,incumbent
W093,hourly_baseline,hourly_pay,baseline_incumbent,0.87,0.81,0.55,1,7.7,77.79,0.849,0.57,164.15,incumbent
W093,performance_pay,piece_rate,continuing_incumbent,0.87,0.81,0.55,1,8.06,94.2,0.826,0.722,235.8,incumbent
W094,hourly_baseline,hourly_pay,baseline_incumbent,0.51,0.92,0.74,1,7.2,63.64,0.829,0.5,151.86,incumbent
W094,performance_pay,piece_rate,continuing_incumbent,0.51,0.92,0.74,1,7.58,78.914,0.807,0.66,210.01,incumbent
W095,hourly_baseline,hourly_pay,baseline_incumbent,0.68,0.42,0.35,1,7.7,74.59,0.809,0.63,163.58,incumbent
W095,performance_pay,piece_rate,continuing_incumbent,0.68,0.42,0.35,1,7.97,88.246,0.755,0.774,227.25,incumbent
W096,hourly_baseline,hourly_pay,baseline_incumbent,0.85,0.53,0.54,1,7.2,78.46,0.884,0.56,154.52,incumbent
W096,performance_pay,piece_rate,continuing_incumbent,0.85,0.53,0.54,1,7.5,93.842,0.857,0.712,226.94,incumbent
W097,performance_pay,piece_rate,new_entrant,0.67,0.61,0.71,0,7.7,89.86,0.812,0.81,225.13,entrant
W098,performance_pay,piece_rate,new_entrant,0.8,0.78,0.49,0,8.0,92.33,0.819,0.68,232.64,entrant
W099,performance_pay,piece_rate,new_entrant,0.93,0.39,0.72,0,7.4,100.23,0.81,0.75,233.28,entrant
W100,performance_pay,piece_rate,new_entrant,0.76,0.56,0.5,0,7.7,91.3,0.846,0.62,226.89,entrant
W101,performance_pay,piece_rate,new_entrant,0.89,0.73,0.73,0,8.0,95.12,0.853,0.69,236.05,entrant
W102,performance_pay,piece_rate,new_entrant,0.72,0.9,0.51,0,7.4,94.19,0.809,0.76,225.91,entrant
W103,performance_pay,piece_rate,new_entrant,0.85,0.51,0.74,0,7.7,94.09,0.8,0.63,230.29,entrant
W104,performance_pay,piece_rate,new_entrant,0.68,0.68,0.52,0,8.0,85.16,0.836,0.7,223.9,entrant
W105,performance_pay,piece_rate,new_entrant,0.81,0.85,0.75,0,7.4,96.98,0.843,0.77,229.32,entrant
W106,performance_pay,piece_rate,new_entrant,0.94,0.46,0.53,0,7.7,95.53,0.834,0.64,232.05,entrant
W107,performance_pay,piece_rate,new_entrant,0.77,0.63,0.76,0,8.0,95.95,0.79,0.71,237.06,entrant
W108,performance_pay,piece_rate,new_entrant,0.9,0.8,0.54,0,7.4,98.42,0.877,0.78,231.07,entrant
W109,performance_pay,piece_rate,new_entrant,0.73,0.41,0.77,0,7.7,86.92,0.816,0.65,221.54,entrant
W110,performance_pay,piece_rate,new_entrant,0.86,0.58,0.55,0,8.0,97.39,0.824,0.72,238.82,entrant
W111,performance_pay,piece_rate,new_entrant,0.69,0.75,0.78,0,7.4,89.81,0.78,0.79,220.57,entrant
W112,performance_pay,piece_rate,new_entrant,0.82,0.36,0.56,0,7.7,88.36,0.85,0.66,223.3,entrant
W113,performance_pay,piece_rate,new_entrant,0.95,0.53,0.79,0,8.0,100.18,0.857,0.73,242.22,entrant
W114,performance_pay,piece_rate,new_entrant,0.78,0.7,0.57,0,7.4,91.25,0.814,0.8,222.32,entrant
