teacher_id,assigned_school,preference_rank,hard_to_staff_index,student_need_index,subject_shortage,novice_teacher,mission_value_index,outside_option_index,entry_probability,retention_probability,service_output_index,exit_risk_index
T001,Hilltop Middle,2,0.56,0.66,1,1,0.39,0.33,0.544,0.606,0.752,0.573
T060,East Middle,2,0.71,0.78,1,0,0.48,0.56,0.528,0.58,0.797,0.628
T053,Riverside Elementary,1,0.63,0.72,1,0,0.35,0.27,0.545,0.612,0.761,0.575
T037,Riverside Elementary,1,0.63,0.72,1,1,0.51,0.67,0.518,0.62,0.791,0.615
T036,Riverside Elementary,1,0.63,0.72,1,1,0.4,0.54,0.516,0.6,0.769,0.611
T013,East Middle,3,0.71,0.78,1,1,0.43,0.65,0.506,0.593,0.79,0.607
T065,Lakeside K8,1,0.6,0.7,1,0,0.39,0.59,0.508,0.606,0.763,0.608
T012,Lakeside K8,3,0.6,0.7,1,1,0.32,0.52,0.505,0.566,0.746,0.604
T064,Lakeside K8,1,0.6,0.7,1,0,0.28,0.46,0.506,0.586,0.741,0.604
T041,Lakeside K8,3,0.6,0.7,1,1,0.31,0.57,0.496,0.575,0.745,0.601
T076,Hilltop Middle,2,0.56,0.66,1,0,0.32,0.78,0.468,0.56,0.735,0.641
T058,Lakeside K8,1,0.6,0.7,0,0,0.9,0.3,0.54,0.714,0.665,0.541
T034,Hilltop Middle,2,0.56,0.66,0,1,0.82,0.28,0.528,0.697,0.639,0.531
T011,Hilltop Middle,2,0.56,0.66,0,1,0.85,0.39,0.518,0.651,0.64,0.582
T063,Hilltop Middle,4,0.56,0.66,0,0,0.81,0.33,0.52,0.668,0.634,0.534
T010,Hilltop Middle,3,0.56,0.66,0,1,0.74,0.26,0.517,0.684,0.623,0.521
T062,Riverside Elementary,3,0.63,0.72,0,0,0.7,0.2,0.518,0.672,0.63,0.526
T046,Hilltop Middle,1,0.56,0.66,0,1,0.86,0.6,0.491,0.64,0.64,0.622
T039,Riverside Elementary,1,0.63,0.72,0,1,0.73,0.31,0.508,0.663,0.635,0.57
T023,Riverside Elementary,2,0.63,0.72,0,1,0.89,0.71,0.481,0.652,0.663,0.614
T075,Hilltop Middle,2,0.56,0.66,0,0,0.85,0.65,0.482,0.63,0.638,0.621
T022,West High,4,0.47,0.54,0,1,0.78,0.58,0.479,0.58,0.589,0.62
T015,West High,2,0.47,0.54,0,1,0.65,0.29,0.496,0.635,0.571,0.562
T074,West High,2,0.47,0.54,0,0,0.74,0.52,0.48,0.672,0.591,0.558
T067,Central High,2,0.41,0.5,0,0,0.61,0.23,0.498,0.686,0.558,0.508
T051,Central High,3,0.41,0.5,0,0,0.77,0.63,0.47,0.604,0.579,0.613
T050,Central High,4,0.41,0.5,0,0,0.66,0.5,0.469,0.565,0.555,0.613
T043,Central High,1,0.41,0.5,0,1,0.53,0.21,0.486,0.639,0.539,0.552
T027,Central High,3,0.41,0.5,0,1,0.69,0.61,0.459,0.609,0.565,0.599
T079,Central High,1,0.41,0.5,0,0,0.65,0.55,0.46,0.629,0.56,0.599
T026,Central High,3,0.41,0.5,0,1,0.58,0.48,0.457,0.589,0.543,0.596
T078,Central High,2,0.41,0.5,0,0,0.54,0.42,0.458,0.59,0.536,0.599
T003,Central High,2,0.41,0.5,0,1,0.61,0.59,0.447,0.634,0.553,0.582
T055,Central High,1,0.41,0.5,0,0,0.57,0.53,0.448,0.635,0.546,0.585
T002,West High,6,0.47,0.54,0,1,0.5,0.46,0.446,0.542,0.535,0.591
T054,West High,5,0.47,0.54,0,0,0.46,0.4,0.447,0.543,0.528,0.594
T038,West High,3,0.47,0.54,0,1,0.62,0.8,0.42,0.588,0.561,0.628
T031,West High,2,0.47,0.54,0,1,0.49,0.51,0.437,0.625,0.541,0.574
T030,West High,3,0.47,0.54,0,1,0.38,0.38,0.435,0.586,0.517,0.574
T014,West High,2,0.47,0.54,0,1,0.54,0.78,0.408,0.613,0.549,0.611
T007,West High,1,0.47,0.54,0,1,0.41,0.49,0.425,0.649,0.529,0.557
T066,North High,7,0.34,0.42,0,0,0.5,0.72,0.409,0.493,0.498,0.635
T059,North High,1,0.34,0.42,0,0,0.37,0.43,0.426,0.622,0.488,0.565
T006,North High,6,0.34,0.42,0,1,0.3,0.36,0.424,0.526,0.466,0.572
T042,North High,3,0.34,0.42,0,1,0.42,0.7,0.398,0.572,0.492,0.608
T035,North High,5,0.34,0.42,0,1,0.29,0.41,0.415,0.553,0.467,0.564
T019,North High,2,0.34,0.42,0,1,0.45,0.81,0.388,0.545,0.495,0.656
T071,North High,2,0.34,0.42,0,0,0.41,0.75,0.389,0.527,0.486,0.662
T018,North High,3,0.34,0.42,0,1,0.34,0.68,0.386,0.506,0.471,0.655
T070,North High,2,0.34,0.42,0,0,0.3,0.62,0.387,0.579,0.471,0.597
T047,North High,1,0.34,0.42,0,1,0.33,0.73,0.377,0.551,0.474,0.645
