officer_id,performance_index,leadership_index,outside_option_index,mission_commitment_index,mobility_preference_index,service_commitment_interest,preference_1,preference_2,preference_3,preference_4,preference_5,preference_6
O055,0.71,0.87,0.61,0.68,0.73,0.84,Medical Service,Infantry,Cyber,Logistics,Engineering,Intelligence
O056,0.88,0.44,0.68,0.79,0.35,0.49,Infantry,Cyber,Logistics,Engineering,Intelligence,Medical Service
O057,0.45,0.63,0.75,0.9,0.58,0.78,Infantry,Cyber,Logistics,Engineering,Intelligence,Medical Service
O058,0.62,0.82,0.24,0.38,0.81,0.43,Infantry,Cyber,Logistics,Engineering,Intelligence,Medical Service
O059,0.79,0.39,0.31,0.49,0.43,0.72,Infantry,Cyber,Logistics,Engineering,Intelligence,Medical Service
O060,0.36,0.58,0.38,0.6,0.66,0.37,Infantry,Cyber,Logistics,Engineering,Intelligence,Medical Service
O061,0.53,0.77,0.45,0.71,0.28,0.66,Logistics,Cyber,Infantry,Engineering,Medical Service,Intelligence
O062,0.7,0.34,0.52,0.82,0.51,0.31,Logistics,Cyber,Medical Service,Engineering,Intelligence,Infantry
O063,0.87,0.53,0.59,0.3,0.74,0.6,Medical Service,Logistics,Intelligence,Engineering,Cyber,Infantry
O064,0.44,0.72,0.66,0.41,0.36,0.25,Medical Service,Intelligence,Logistics,Engineering,Cyber,Infantry
O065,0.61,0.91,0.73,0.52,0.59,0.54,Medical Service,Intelligence,Engineering,Logistics,Cyber,Infantry
O066,0.78,0.48,0.8,0.63,0.82,0.83,Medical Service,Intelligence,Engineering,Logistics,Cyber,Infantry
O067,0.95,0.67,0.29,0.74,0.44,0.48,Medical Service,Intelligence,Engineering,Logistics,Cyber,Infantry
O068,0.52,0.86,0.36,0.85,0.67,0.77,Medical Service,Intelligence,Engineering,Logistics,Cyber,Infantry
O069,0.69,0.43,0.43,0.33,0.29,0.42,Medical Service,Intelligence,Engineering,Logistics,Cyber,Infantry
O070,0.86,0.62,0.5,0.44,0.52,0.71,Medical Service,Intelligence,Engineering,Logistics,Cyber,Infantry
O071,0.43,0.81,0.57,0.55,0.75,0.36,Medical Service,Intelligence,Engineering,Logistics,Cyber,Infantry
O072,0.6,0.38,0.64,0.66,0.37,0.65,Intelligence,Engineering,Logistics,Cyber,Infantry,Medical Service
O073,0.77,0.57,0.71,0.77,0.6,0.3,Engineering,Logistics,Cyber,Infantry,Medical Service,Intelligence
O074,0.94,0.76,0.78,0.88,0.83,0.59,Logistics,Cyber,Infantry,Medical Service,Intelligence,Engineering
O075,0.51,0.95,0.27,0.36,0.45,0.88,Logistics,Cyber,Infantry,Medical Service,Intelligence,Engineering
O076,0.68,0.52,0.34,0.47,0.68,0.53,Cyber,Infantry,Medical Service,Intelligence,Engineering,Logistics
O077,0.85,0.71,0.41,0.58,0.3,0.82,Cyber,Infantry,Medical Service,Intelligence,Engineering,Logistics
O078,0.42,0.9,0.48,0.69,0.53,0.47,Medical Service,Infantry,Intelligence,Engineering,Logistics,Cyber
O079,0.59,0.47,0.55,0.8,0.76,0.76,Medical Service,Infantry,Intelligence,Engineering,Logistics,Cyber
O080,0.76,0.66,0.62,0.91,0.38,0.41,Intelligence,Engineering,Logistics,Cyber,Medical Service,Infantry
O081,0.93,0.85,0.69,0.39,0.61,0.7,Intelligence,Engineering,Logistics,Cyber,Medical Service,Infantry
O082,0.5,0.42,0.76,0.5,0.84,0.35,Engineering,Logistics,Cyber,Medical Service,Intelligence,Infantry
O083,0.67,0.61,0.25,0.61,0.46,0.64,Engineering,Logistics,Medical Service,Cyber,Intelligence,Infantry
O084,0.84,0.8,0.32,0.72,0.69,0.29,Logistics,Medical Service,Cyber,Intelligence,Infantry,Engineering
O085,0.41,0.37,0.39,0.83,0.31,0.58,Logistics,Medical Service,Cyber,Intelligence,Infantry,Engineering
O086,0.58,0.56,0.46,0.31,0.54,0.87,Logistics,Medical Service,Cyber,Intelligence,Infantry,Engineering
O087,0.75,0.75,0.53,0.42,0.77,0.52,Medical Service,Cyber,Intelligence,Infantry,Engineering,Logistics
O088,0.92,0.94,0.6,0.53,0.39,0.81,Cyber,Intelligence,Infantry,Engineering,Logistics,Medical Service
O089,0.49,0.51,0.67,0.64,0.62,0.46,Cyber,Intelligence,Engineering,Infantry,Logistics,Medical Service
O090,0.66,0.7,0.74,0.75,0.85,0.75,Intelligence,Cyber,Engineering,Infantry,Medical Service,Logistics
O091,0.83,0.89,0.81,0.86,0.47,0.4,Engineering,Infantry,Medical Service,Logistics,Intelligence,Cyber
O092,0.4,0.46,0.3,0.34,0.7,0.69,Engineering,Infantry,Medical Service,Logistics,Intelligence,Cyber
O093,0.57,0.65,0.37,0.45,0.32,0.34,Engineering,Infantry,Medical Service,Logistics,Intelligence,Cyber
O094,0.74,0.84,0.44,0.56,0.55,0.63,Medical Service,Infantry,Logistics,Intelligence,Cyber,Engineering
O095,0.91,0.41,0.51,0.67,0.78,0.28,Medical Service,Infantry,Logistics,Intelligence,Cyber,Engineering
O096,0.48,0.6,0.58,0.78,0.4,0.57,Logistics,Intelligence,Cyber,Engineering,Medical Service,Infantry
O097,0.65,0.79,0.65,0.89,0.63,0.86,Logistics,Intelligence,Cyber,Engineering,Medical Service,Infantry
O098,0.82,0.36,0.72,0.37,0.86,0.51,Intelligence,Cyber,Engineering,Medical Service,Infantry,Logistics
O099,0.39,0.55,0.79,0.48,0.48,0.8,Intelligence,Cyber,Engineering,Medical Service,Infantry,Logistics
O100,0.56,0.74,0.28,0.59,0.71,0.45,Cyber,Engineering,Medical Service,Infantry,Logistics,Intelligence
O101,0.73,0.93,0.35,0.7,0.33,0.74,Cyber,Engineering,Medical Service,Logistics,Infantry,Intelligence
O102,0.9,0.5,0.42,0.81,0.56,0.39,Cyber,Medical Service,Engineering,Logistics,Intelligence,Infantry
O103,0.47,0.69,0.49,0.92,0.79,0.68,Medical Service,Engineering,Cyber,Logistics,Intelligence,Infantry
O104,0.64,0.88,0.56,0.4,0.41,0.33,Intelligence,Logistics,Infantry,Medical Service,Engineering,Cyber
O105,0.81,0.45,0.63,0.51,0.64,0.62,Intelligence,Logistics,Infantry,Medical Service,Engineering,Cyber
O106,0.38,0.64,0.7,0.62,0.87,0.27,Intelligence,Logistics,Infantry,Medical Service,Engineering,Cyber
O107,0.55,0.83,0.77,0.73,0.49,0.56,Intelligence,Logistics,Infantry,Medical Service,Engineering,Cyber
O108,0.72,0.4,0.26,0.84,0.72,0.85,Logistics,Infantry,Medical Service,Engineering,Cyber,Intelligence
O109,0.89,0.59,0.33,0.32,0.34,0.5,Logistics,Infantry,Medical Service,Engineering,Cyber,Intelligence
O110,0.46,0.78,0.4,0.43,0.57,0.79,Medical Service,Infantry,Engineering,Cyber,Intelligence,Logistics
O111,0.63,0.35,0.47,0.54,0.8,0.44,Medical Service,Infantry,Engineering,Cyber,Intelligence,Logistics
O112,0.8,0.54,0.54,0.65,0.42,0.73,Engineering,Cyber,Intelligence,Logistics,Medical Service,Infantry
O113,0.37,0.73,0.61,0.76,0.65,0.38,Engineering,Cyber,Intelligence,Logistics,Medical Service,Infantry
O114,0.54,0.92,0.68,0.87,0.88,0.67,Cyber,Intelligence,Logistics,Medical Service,Infantry,Engineering
O115,0.71,0.49,0.75,0.35,0.5,0.32,Cyber,Intelligence,Logistics,Medical Service,Infantry,Engineering
O116,0.88,0.68,0.24,0.46,0.73,0.61,Intelligence,Cyber,Medical Service,Logistics,Engineering,Infantry
O117,0.45,0.87,0.31,0.57,0.35,0.26,Cyber,Medical Service,Logistics,Engineering,Infantry,Intelligence
O118,0.62,0.44,0.38,0.68,0.58,0.55,Medical Service,Logistics,Engineering,Infantry,Intelligence,Cyber
O119,0.79,0.63,0.45,0.79,0.81,0.84,Medical Service,Logistics,Engineering,Infantry,Intelligence,Cyber
O120,0.36,0.82,0.52,0.9,0.43,0.49,Logistics,Engineering,Infantry,Intelligence,Cyber,Medical Service
