mechanism,officer_id,assigned_branch,preference_rank,top_three_assignment,priority_alignment_index,hard_to_staff_index,training_value_index,internal_mobility_value_index,predicted_retention_index,promotion_readiness_index,public_staffing_value_index,worker_welfare_index,transfer_risk_index,outside_option_index
deferred_acceptance,O028,Logistics,1,1,0.884,0.44,0.749,0.688,0.74,0.802,0.697,0.743,0.377,0.46
deferred_acceptance,O029,Logistics,1,1,0.758,0.44,0.737,0.734,0.61,0.791,0.573,0.698,0.406,0.53
deferred_acceptance,O030,Medical Service,1,1,0.751,0.38,0.744,0.637,0.639,0.716,0.57,0.703,0.41,0.6
deferred_acceptance,O031,Medical Service,1,1,0.774,0.38,0.741,0.685,0.614,0.753,0.596,0.672,0.422,0.67
deferred_acceptance,O032,Engineering,1,1,0.735,0.53,0.773,0.591,0.638,0.786,0.657,0.682,0.427,0.74
deferred_acceptance,O033,Engineering,1,1,0.741,0.53,0.828,0.647,0.682,0.725,0.678,0.722,0.428,0.81
deferred_acceptance,O034,Cyber,1,1,0.776,0.58,0.775,0.746,0.732,0.762,0.724,0.757,0.359,0.3
deferred_acceptance,O035,Cyber,1,1,0.929,0.58,0.823,0.654,0.703,0.84,0.667,0.764,0.372,0.37
deferred_acceptance,O036,Infantry,6,0,0.54,0.7,0.604,0.392,0.511,0.606,0.634,0.445,0.611,0.44
deferred_acceptance,O037,Cyber,1,1,0.736,0.58,0.855,0.755,0.688,0.756,0.66,0.765,0.391,0.51
deferred_acceptance,O038,Medical Service,1,1,0.791,0.38,0.72,0.638,0.654,0.773,0.625,0.683,0.405,0.58
deferred_acceptance,O039,Medical Service,1,1,0.733,0.38,0.781,0.695,0.688,0.808,0.631,0.724,0.408,0.65
deferred_acceptance,O040,Logistics,1,1,0.655,0.44,0.726,0.589,0.635,0.696,0.652,0.656,0.425,0.72
deferred_acceptance,O041,Engineering,1,1,0.763,0.53,0.753,0.641,0.611,0.759,0.615,0.682,0.437,0.79
deferred_acceptance,O042,Engineering,1,1,0.854,0.53,0.743,0.746,0.67,0.819,0.657,0.727,0.366,0.28
deferred_acceptance,O043,Infantry,3,1,0.611,0.7,0.727,0.533,0.622,0.675,0.676,0.629,0.462,0.35
deferred_acceptance,O044,Intelligence,1,1,0.757,0.49,0.804,0.704,0.728,0.771,0.66,0.771,0.374,0.42
deferred_acceptance,O045,Intelligence,1,1,0.85,0.49,0.798,0.751,0.713,0.824,0.702,0.74,0.385,0.49
deferred_acceptance,O046,Infantry,2,1,0.637,0.7,0.798,0.597,0.609,0.685,0.629,0.683,0.45,0.56
deferred_acceptance,O047,Infantry,2,1,0.725,0.7,0.779,0.643,0.593,0.735,0.669,0.65,0.461,0.63
deferred_acceptance,O048,Cyber,1,1,0.839,0.58,0.809,0.605,0.661,0.81,0.676,0.71,0.418,0.7
deferred_acceptance,O049,Cyber,1,1,0.779,0.58,0.794,0.651,0.623,0.711,0.681,0.675,0.433,0.77
deferred_acceptance,O050,Cyber,1,1,0.716,0.58,0.842,0.764,0.73,0.75,0.686,0.789,0.354,0.26
deferred_acceptance,O051,Logistics,1,1,0.771,0.44,0.716,0.648,0.696,0.769,0.671,0.709,0.368,0.33
deferred_acceptance,O052,Logistics,1,1,0.925,0.44,0.767,0.703,0.68,0.849,0.615,0.741,0.379,0.4
deferred_acceptance,O053,Infantry,4,0,0.548,0.7,0.601,0.56,0.531,0.633,0.632,0.527,0.531,0.47
deferred_acceptance,O054,Intelligence,1,1,0.743,0.49,0.806,0.659,0.654,0.767,0.628,0.719,0.4,0.54
deferred_acceptance,O055,Medical Service,1,1,0.87,0.38,0.797,0.706,0.715,0.836,0.64,0.748,0.399,0.61
deferred_acceptance,O056,Infantry,1,1,0.721,0.7,0.672,0.59,0.65,0.692,0.733,0.665,0.418,0.68
deferred_acceptance,O057,Infantry,1,1,0.657,0.7,0.717,0.645,0.683,0.723,0.738,0.701,0.421,0.75
deferred_acceptance,O058,Infantry,1,1,0.745,0.7,0.698,0.748,0.659,0.772,0.665,0.735,0.363,0.24
deferred_acceptance,O059,Infantry,1,1,0.748,0.7,0.743,0.656,0.69,0.707,0.686,0.748,0.367,0.31
deferred_acceptance,O060,Infantry,1,1,0.619,0.7,0.724,0.702,0.642,0.702,0.675,0.711,0.383,0.38
deferred_acceptance,O061,Logistics,1,1,0.726,0.44,0.718,0.603,0.688,0.765,0.632,0.716,0.384,0.45
deferred_acceptance,O062,Logistics,1,1,0.668,0.44,0.705,0.649,0.65,0.668,0.637,0.682,0.398,0.52
deferred_acceptance,O063,Medical Service,1,1,0.832,0.38,0.773,0.707,0.636,0.753,0.563,0.718,0.409,0.59
deferred_acceptance,O064,Infantry,6,0,0.568,0.7,0.52,0.293,0.45,0.655,0.628,0.368,0.647,0.66
deferred_acceptance,O065,Medical Service,1,1,0.772,0.38,0.575,0.629,0.625,0.767,0.588,0.649,0.428,0.73
deferred_acceptance,O066,Intelligence,2,1,0.727,0.49,0.667,0.634,0.641,0.698,0.634,0.649,0.473,0.8
deferred_acceptance,O067,Medical Service,1,1,0.804,0.38,0.633,0.645,0.706,0.751,0.635,0.711,0.362,0.29
deferred_acceptance,O068,Medical Service,1,1,0.746,0.38,0.694,0.702,0.74,0.787,0.641,0.752,0.365,0.36
deferred_acceptance,O069,Intelligence,2,1,0.704,0.49,0.713,0.55,0.591,0.688,0.575,0.642,0.437,0.43
deferred_acceptance,O070,Medical Service,1,1,0.849,0.38,0.752,0.66,0.675,0.773,0.592,0.729,0.392,0.5
deferred_acceptance,O071,Medical Service,1,1,0.727,0.38,0.749,0.708,0.628,0.773,0.583,0.695,0.408,0.57
deferred_acceptance,O072,Engineering,2,1,0.684,0.53,0.781,0.558,0.632,0.692,0.643,0.658,0.456,0.64
deferred_acceptance,O073,Engineering,1,1,0.776,0.53,0.772,0.661,0.637,0.747,0.685,0.674,0.423,0.71
deferred_acceptance,O074,Logistics,1,1,0.868,0.44,0.746,0.706,0.692,0.803,0.696,0.699,0.423,0.78
deferred_acceptance,O075,Logistics,1,1,0.806,0.44,0.797,0.673,0.706,0.834,0.588,0.779,0.359,0.27
deferred_acceptance,O076,Cyber,1,1,0.752,0.58,0.815,0.723,0.669,0.744,0.642,0.751,0.374,0.34
deferred_acceptance,O077,Cyber,1,1,0.905,0.58,0.863,0.632,0.723,0.83,0.699,0.768,0.374,0.41
deferred_acceptance,O078,Medical Service,1,1,0.744,0.38,0.728,0.661,0.668,0.793,0.612,0.707,0.391,0.48
deferred_acceptance,O079,Medical Service,1,1,0.753,0.38,0.789,0.718,0.712,0.734,0.634,0.748,0.392,0.55
deferred_acceptance,O080,Intelligence,1,1,0.776,0.49,0.773,0.617,0.675,0.767,0.697,0.69,0.406,0.62
deferred_acceptance,O081,Intelligence,1,1,0.933,0.49,0.83,0.674,0.659,0.849,0.641,0.723,0.417,0.69
deferred_acceptance,O082,Infantry,6,0,0.579,0.7,0.562,0.404,0.472,0.614,0.647,0.394,0.656,0.76
deferred_acceptance,O083,Engineering,1,1,0.743,0.53,0.806,0.678,0.705,0.76,0.648,0.764,0.357,0.25
deferred_acceptance,O084,Logistics,1,1,0.829,0.44,0.684,0.709,0.688,0.789,0.658,0.71,0.368,0.32
deferred_acceptance,O085,Infantry,5,0,0.536,0.7,0.633,0.38,0.592,0.621,0.696,0.509,0.552,0.39
deferred_acceptance,O086,Logistics,1,1,0.773,0.44,0.787,0.674,0.671,0.751,0.571,0.753,0.388,0.46
deferred_acceptance,O087,Medical Service,1,1,0.794,0.38,0.765,0.719,0.645,0.783,0.575,0.719,0.4,0.53
deferred_acceptance,O088,Cyber,1,1,0.937,0.58,0.817,0.628,0.697,0.867,0.698,0.736,0.401,0.6
deferred_acceptance,O089,Engineering,3,1,0.658,0.53,0.686,0.546,0.584,0.685,0.633,0.579,0.507,0.67
deferred_acceptance,O090,Intelligence,1,1,0.826,0.49,0.839,0.727,0.693,0.801,0.68,0.737,0.418,0.74
deferred_acceptance,O091,Engineering,1,1,0.835,0.53,0.731,0.614,0.653,0.812,0.715,0.659,0.433,0.81
deferred_acceptance,O092,Infantry,2,1,0.607,0.7,0.756,0.668,0.633,0.683,0.625,0.708,0.415,0.3
deferred_acceptance,O093,Engineering,1,1,0.717,0.53,0.776,0.628,0.629,0.747,0.613,0.706,0.384,0.37
deferred_acceptance,O094,Medical Service,1,1,0.811,0.38,0.744,0.672,0.685,0.803,0.605,0.73,0.383,0.44
deferred_acceptance,O095,Medical Service,1,1,0.756,0.38,0.741,0.72,0.648,0.708,0.611,0.698,0.398,0.51
deferred_acceptance,O096,Logistics,1,1,0.665,0.44,0.725,0.619,0.664,0.719,0.63,0.697,0.403,0.58
deferred_acceptance,O097,Logistics,1,1,0.819,0.44,0.776,0.675,0.729,0.807,0.686,0.739,0.401,0.65
deferred_acceptance,O098,Intelligence,1,1,0.778,0.49,0.789,0.725,0.613,0.711,0.6,0.7,0.428,0.72
deferred_acceptance,O099,Infantry,5,0,0.582,0.7,0.623,0.379,0.529,0.656,0.644,0.477,0.61,0.79
deferred_acceptance,O100,Engineering,2,1,0.717,0.53,0.71,0.666,0.657,0.753,0.638,0.685,0.408,0.28
deferred_acceptance,O101,Cyber,1,1,0.847,0.58,0.804,0.637,0.728,0.844,0.707,0.758,0.365,0.35
deferred_acceptance,O102,Cyber,1,1,0.787,0.58,0.788,0.683,0.691,0.746,0.712,0.723,0.38,0.42
deferred_acceptance,O103,Engineering,2,1,0.754,0.53,0.81,0.678,0.707,0.778,0.707,0.709,0.426,0.49
deferred_acceptance,O104,Intelligence,1,1,0.779,0.49,0.688,0.619,0.607,0.784,0.606,0.666,0.41,0.56
deferred_acceptance,O105,Intelligence,1,1,0.787,0.49,0.746,0.675,0.651,0.724,0.627,0.707,0.411,0.63
deferred_acceptance,O106,Infantry,3,1,0.589,0.7,0.682,0.602,0.551,0.688,0.671,0.565,0.516,0.7
deferred_acceptance,O107,Intelligence,1,1,0.75,0.49,0.797,0.632,0.647,0.794,0.658,0.69,0.429,0.77
deferred_acceptance,O108,Logistics,1,1,0.786,0.44,0.765,0.734,0.768,0.73,0.669,0.789,0.348,0.26
deferred_acceptance,O109,Logistics,1,1,0.806,0.44,0.753,0.634,0.649,0.755,0.581,0.722,0.376,0.33
deferred_acceptance,O110,Medical Service,1,1,0.731,0.38,0.76,0.683,0.679,0.776,0.562,0.751,0.379,0.4
deferred_acceptance,O111,Infantry,2,1,0.706,0.7,0.779,0.678,0.626,0.691,0.685,0.676,0.436,0.47
deferred_acceptance,O112,Engineering,1,1,0.783,0.53,0.789,0.637,0.688,0.752,0.665,0.731,0.395,0.54
deferred_acceptance,O113,Engineering,1,1,0.658,0.53,0.78,0.684,0.641,0.749,0.655,0.696,0.411,0.61
deferred_acceptance,O114,Cyber,1,1,0.757,0.58,0.791,0.734,0.697,0.815,0.715,0.729,0.41,0.68
deferred_acceptance,O115,Logistics,3,1,0.714,0.44,0.613,0.499,0.526,0.675,0.564,0.532,0.526,0.75
deferred_acceptance,O116,Intelligence,1,1,0.859,0.49,0.805,0.744,0.706,0.8,0.636,0.774,0.356,0.24
deferred_acceptance,O117,Cyber,1,1,0.723,0.58,0.807,0.646,0.646,0.796,0.653,0.716,0.374,0.31
deferred_acceptance,O118,Logistics,2,1,0.677,0.44,0.703,0.624,0.659,0.688,0.615,0.675,0.42,0.38
deferred_acceptance,O119,Medical Service,1,1,0.851,0.38,0.797,0.741,0.748,0.792,0.656,0.774,0.374,0.45
deferred_acceptance,O120,Logistics,1,1,0.706,0.44,0.742,0.635,0.685,0.774,0.661,0.705,0.393,0.52
manager_directed,O001,Logistics,3,1,0.663,0.44,0.642,0.549,0.607,0.683,0.562,0.616,0.46,0.31
manager_directed,O002,Engineering,1,1,0.82,0.53,0.799,0.732,0.715,0.798,0.651,0.775,0.371,0.38
manager_directed,O003,Engineering,1,1,0.911,0.53,0.79,0.632,0.688,0.849,0.692,0.719,0.384,0.45
manager_directed,O004,Logistics,1,1,0.627,0.44,0.732,0.672,0.686,0.692,0.613,0.731,0.393,0.52
manager_directed,O005,Cyber,3,1,0.71,0.58,0.721,0.607,0.629,0.738,0.701,0.605,0.49,0.59
manager_directed,O006,Cyber,3,1,0.863,0.58,0.769,0.515,0.601,0.816,0.644,0.612,0.503,0.66
manager_directed,O007,Medical Service,1,1,0.813,0.38,0.749,0.673,0.605,0.723,0.583,0.671,0.431,0.73
manager_directed,O008,Logistics,5,0,0.655,0.44,0.553,0.323,0.527,0.672,0.586,0.443,0.612,0.8
manager_directed,O009,Cyber,1,1,0.76,0.58,0.786,0.686,0.673,0.793,0.678,0.727,0.367,0.29
manager_directed,O010,Cyber,2,1,0.764,0.58,0.834,0.685,0.695,0.728,0.699,0.718,0.412,0.36
manager_directed,O011,Engineering,1,1,0.702,0.53,0.779,0.635,0.736,0.74,0.687,0.757,0.374,0.43
manager_directed,O012,Engineering,1,1,0.793,0.53,0.769,0.682,0.639,0.785,0.615,0.717,0.398,0.5
manager_directed,O013,Infantry,2,1,0.927,0.7,0.785,0.676,0.68,0.858,0.725,0.704,0.44,0.57
manager_directed,O014,Infantry,2,1,0.796,0.7,0.766,0.575,0.62,0.74,0.713,0.642,0.458,0.64
manager_directed,O015,Medical Service,1,1,0.772,0.38,0.789,0.683,0.678,0.779,0.619,0.723,0.417,0.71
manager_directed,O016,Logistics,1,1,0.833,0.44,0.709,0.573,0.646,0.808,0.673,0.652,0.43,0.78
manager_directed,O017,Logistics,1,1,0.838,0.44,0.76,0.687,0.764,0.754,0.695,0.767,0.35,0.27
manager_directed,O018,Medical Service,4,0,0.586,0.38,0.588,0.543,0.552,0.672,0.52,0.545,0.513,0.34
manager_directed,O019,Intelligence,1,1,0.817,0.49,0.831,0.647,0.68,0.823,0.633,0.745,0.38,0.41
manager_directed,O020,Engineering,2,1,0.666,0.53,0.694,0.62,0.607,0.675,0.63,0.636,0.44,0.48
manager_directed,O021,Cyber,1,1,0.866,0.58,0.788,0.737,0.7,0.785,0.715,0.735,0.394,0.55
manager_directed,O022,Cyber,1,1,0.803,0.58,0.836,0.645,0.721,0.816,0.719,0.748,0.399,0.62
manager_directed,O023,Medical Service,1,1,0.734,0.38,0.765,0.684,0.599,0.696,0.541,0.692,0.427,0.69
manager_directed,O024,Intelligence,1,1,0.792,0.49,0.736,0.581,0.638,0.742,0.612,0.691,0.429,0.76
manager_directed,O025,Logistics,2,1,0.634,0.44,0.659,0.621,0.638,0.723,0.577,0.67,0.408,0.25
manager_directed,O026,Intelligence,1,1,0.825,0.49,0.787,0.743,0.731,0.838,0.66,0.776,0.362,0.32
manager_directed,O027,Intelligence,1,1,0.769,0.49,0.781,0.644,0.682,0.741,0.666,0.718,0.378,0.39
manager_directed,O028,Infantry,2,1,0.842,0.7,0.756,0.633,0.713,0.791,0.775,0.696,0.421,0.46
manager_directed,O029,Logistics,1,1,0.758,0.44,0.737,0.734,0.61,0.791,0.573,0.698,0.406,0.53
manager_directed,O030,Medical Service,1,1,0.751,0.38,0.744,0.637,0.639,0.716,0.57,0.703,0.41,0.6
manager_directed,O031,Infantry,2,1,0.804,0.7,0.763,0.632,0.598,0.762,0.712,0.63,0.465,0.67
manager_directed,O032,Engineering,1,1,0.735,0.53,0.773,0.591,0.638,0.786,0.657,0.682,0.427,0.74
manager_directed,O033,Logistics,4,0,0.631,0.44,0.622,0.45,0.601,0.65,0.621,0.536,0.561,0.81
manager_directed,O034,Cyber,1,1,0.776,0.58,0.775,0.746,0.732,0.762,0.724,0.757,0.359,0.3
manager_directed,O035,Cyber,1,1,0.929,0.58,0.823,0.654,0.703,0.84,0.667,0.764,0.372,0.37
manager_directed,O036,Medical Service,3,1,0.61,0.38,0.662,0.568,0.584,0.642,0.542,0.6,0.479,0.44
manager_directed,O037,Medical Service,2,1,0.768,0.38,0.723,0.681,0.67,0.735,0.6,0.692,0.434,0.51
manager_directed,O038,Infantry,4,0,0.779,0.7,0.63,0.457,0.59,0.745,0.731,0.523,0.535,0.58
manager_directed,O039,Infantry,4,0,0.715,0.7,0.675,0.512,0.622,0.776,0.735,0.559,0.538,0.65
manager_directed,O040,Engineering,2,1,0.677,0.53,0.698,0.529,0.617,0.694,0.688,0.603,0.468,0.72
manager_directed,O041,Infantry,2,1,0.806,0.7,0.701,0.578,0.597,0.757,0.683,0.625,0.479,0.79
manager_directed,O042,Engineering,1,1,0.854,0.53,0.743,0.746,0.67,0.819,0.657,0.727,0.366,0.28
manager_directed,O043,Medical Service,4,0,0.627,0.38,0.641,0.465,0.603,0.66,0.571,0.564,0.505,0.35
manager_directed,O044,Infantry,2,1,0.763,0.7,0.772,0.644,0.708,0.763,0.732,0.717,0.417,0.42
manager_directed,O045,Infantry,2,1,0.85,0.7,0.753,0.689,0.692,0.813,0.773,0.684,0.428,0.49
manager_directed,O046,Logistics,4,0,0.557,0.44,0.651,0.465,0.554,0.631,0.521,0.557,0.539,0.56
manager_directed,O047,Medical Service,1,1,0.695,0.38,0.757,0.696,0.609,0.725,0.553,0.693,0.418,0.63
manager_directed,O048,Cyber,1,1,0.839,0.58,0.809,0.605,0.661,0.81,0.676,0.71,0.418,0.7
manager_directed,O049,Engineering,3,1,0.706,0.53,0.678,0.523,0.57,0.665,0.647,0.555,0.521,0.77
manager_directed,O050,Logistics,2,1,0.681,0.44,0.728,0.692,0.703,0.716,0.63,0.718,0.399,0.26
manager_directed,O051,Engineering,2,1,0.736,0.53,0.723,0.593,0.671,0.76,0.694,0.662,0.412,0.33
manager_directed,O052,Engineering,2,1,0.892,0.53,0.777,0.649,0.654,0.841,0.637,0.695,0.423,0.4
manager_directed,O053,Medical Service,3,1,0.554,0.38,0.675,0.627,0.553,0.652,0.525,0.59,0.488,0.47
manager_directed,O054,Intelligence,1,1,0.743,0.49,0.806,0.659,0.654,0.767,0.628,0.719,0.4,0.54
manager_directed,O055,Infantry,2,1,0.852,0.7,0.691,0.635,0.69,0.808,0.745,0.679,0.443,0.61
manager_directed,O056,Infantry,1,1,0.721,0.7,0.672,0.59,0.65,0.692,0.733,0.665,0.418,0.68
manager_directed,O057,Engineering,4,0,0.645,0.53,0.666,0.469,0.619,0.703,0.677,0.549,0.551,0.75
manager_directed,O058,Engineering,4,0,0.737,0.53,0.657,0.574,0.596,0.755,0.605,0.584,0.493,0.24
manager_directed,O059,Logistics,3,1,0.768,0.44,0.679,0.535,0.652,0.695,0.602,0.641,0.453,0.31
manager_directed,O060,Logistics,3,1,0.572,0.44,0.666,0.582,0.593,0.674,0.575,0.604,0.471,0.38
manager_directed,O061,Infantry,3,1,0.771,0.7,0.769,0.498,0.654,0.783,0.731,0.632,0.469,0.45
manager_directed,O062,Logistics,1,1,0.668,0.44,0.705,0.649,0.65,0.668,0.637,0.682,0.398,0.52
manager_directed,O063,Intelligence,3,1,0.852,0.49,0.814,0.601,0.598,0.762,0.605,0.631,0.495,0.59
manager_directed,O064,Medical Service,1,1,0.614,0.38,0.514,0.572,0.559,0.676,0.53,0.605,0.43,0.66
manager_directed,O065,Intelligence,2,1,0.719,0.49,0.61,0.578,0.598,0.758,0.613,0.608,0.472,0.73
manager_directed,O066,Intelligence,2,1,0.727,0.49,0.667,0.634,0.641,0.698,0.634,0.649,0.473,0.8
manager_directed,O067,Intelligence,2,1,0.82,0.49,0.661,0.593,0.689,0.758,0.677,0.67,0.405,0.29
manager_directed,O068,Intelligence,2,1,0.76,0.49,0.719,0.649,0.722,0.793,0.682,0.71,0.408,0.36
manager_directed,O069,Medical Service,1,1,0.691,0.38,0.691,0.603,0.609,0.682,0.534,0.685,0.394,0.43
manager_directed,O070,Intelligence,2,1,0.861,0.49,0.771,0.607,0.657,0.778,0.632,0.685,0.435,0.5
manager_directed,O071,Medical Service,1,1,0.727,0.38,0.749,0.708,0.628,0.773,0.583,0.695,0.408,0.57
manager_directed,O072,Logistics,3,1,0.693,0.44,0.707,0.492,0.612,0.677,0.615,0.595,0.499,0.64
manager_directed,O073,Engineering,1,1,0.776,0.53,0.772,0.661,0.637,0.747,0.685,0.674,0.423,0.71
manager_directed,O074,Cyber,2,1,0.875,0.58,0.783,0.655,0.673,0.811,0.746,0.66,0.466,0.78
manager_directed,O075,Logistics,1,1,0.806,0.44,0.797,0.673,0.706,0.834,0.588,0.779,0.359,0.27
manager_directed,O076,Medical Service,3,1,0.708,0.38,0.67,0.591,0.62,0.7,0.564,0.626,0.462,0.34
manager_directed,O077,Cyber,1,1,0.905,0.58,0.863,0.632,0.723,0.83,0.699,0.768,0.374,0.41
manager_directed,O078,Infantry,2,1,0.71,0.7,0.766,0.61,0.643,0.79,0.713,0.666,0.435,0.48
manager_directed,O079,Medical Service,1,1,0.753,0.38,0.789,0.718,0.712,0.734,0.634,0.748,0.392,0.55
manager_directed,O080,Intelligence,1,1,0.776,0.49,0.773,0.617,0.675,0.767,0.697,0.69,0.406,0.62
manager_directed,O081,Intelligence,1,1,0.933,0.49,0.83,0.674,0.659,0.849,0.641,0.723,0.417,0.69
manager_directed,O082,Logistics,2,1,0.585,0.44,0.645,0.64,0.555,0.641,0.56,0.601,0.482,0.76
manager_directed,O083,Engineering,1,1,0.743,0.53,0.806,0.678,0.705,0.76,0.648,0.764,0.357,0.25
manager_directed,O084,Cyber,3,1,0.824,0.58,0.689,0.598,0.647,0.784,0.705,0.616,0.455,0.32
manager_directed,O085,Logistics,1,1,0.619,0.44,0.735,0.618,0.687,0.671,0.628,0.721,0.377,0.39
manager_directed,O086,Logistics,1,1,0.773,0.44,0.787,0.674,0.671,0.751,0.571,0.753,0.388,0.46
manager_directed,O087,Infantry,4,0,0.776,0.7,0.659,0.536,0.579,0.751,0.68,0.554,0.531,0.53
manager_directed,O088,Cyber,1,1,0.937,0.58,0.817,0.628,0.697,0.867,0.698,0.736,0.401,0.6
manager_directed,O089,Logistics,5,0,0.577,0.44,0.557,0.416,0.529,0.635,0.583,0.456,0.596,0.67
manager_directed,O090,Cyber,2,1,0.815,0.58,0.85,0.673,0.671,0.799,0.708,0.691,0.461,0.74
manager_directed,O091,Infantry,2,1,0.82,0.7,0.711,0.555,0.63,0.802,0.77,0.607,0.476,0.81
manager_directed,O092,Logistics,4,0,0.611,0.44,0.647,0.541,0.591,0.658,0.537,0.591,0.501,0.3
manager_directed,O093,Medical Service,3,1,0.723,0.38,0.683,0.503,0.588,0.726,0.564,0.592,0.47,0.37
manager_directed,O094,Infantry,2,1,0.847,0.7,0.782,0.621,0.67,0.818,0.722,0.691,0.426,0.44
manager_directed,O095,Infantry,2,1,0.786,0.7,0.763,0.667,0.632,0.718,0.727,0.655,0.44,0.51
manager_directed,O096,Intelligence,2,1,0.678,0.49,0.737,0.565,0.645,0.723,0.65,0.652,0.446,0.58
manager_directed,O097,Intelligence,2,1,0.834,0.49,0.795,0.622,0.711,0.813,0.707,0.696,0.444,0.65
manager_directed,O098,Medical Service,4,0,0.704,0.38,0.604,0.531,0.538,0.648,0.545,0.519,0.56,0.72
manager_directed,O099,Medical Service,4,0,0.646,0.38,0.665,0.441,0.56,0.683,0.551,0.535,0.565,0.79
manager_directed,O100,Engineering,2,1,0.717,0.53,0.71,0.666,0.657,0.753,0.638,0.685,0.408,0.28
manager_directed,O101,Cyber,1,1,0.847,0.58,0.804,0.637,0.728,0.844,0.707,0.758,0.365,0.35
manager_directed,O102,Cyber,1,1,0.787,0.58,0.788,0.683,0.691,0.746,0.712,0.723,0.38,0.42
manager_directed,O103,Engineering,2,1,0.754,0.53,0.81,0.678,0.707,0.778,0.707,0.709,0.426,0.49
manager_directed,O104,Intelligence,1,1,0.779,0.49,0.688,0.619,0.607,0.784,0.606,0.666,0.41,0.56
manager_directed,O105,Intelligence,1,1,0.787,0.49,0.746,0.675,0.651,0.724,0.627,0.707,0.411,0.63
manager_directed,O106,Logistics,2,1,0.626,0.44,0.663,0.656,0.577,0.696,0.591,0.609,0.472,0.7
manager_directed,O107,Intelligence,1,1,0.75,0.49,0.797,0.632,0.647,0.794,0.658,0.69,0.429,0.77
manager_directed,O108,Infantry,2,1,0.744,0.7,0.772,0.679,0.741,0.719,0.748,0.743,0.393,0.26
manager_directed,O109,Infantry,2,1,0.832,0.7,0.753,0.578,0.632,0.76,0.675,0.675,0.418,0.33
