worker_id,department_id,department_size,assigned_encouragement,peer_assignment_share,attended_seminar,enrolled_after,outcome_observed,baseline_enrolled,salary,tenure,age
66,4,19,1,0.6667,1,1.0,1,1,66279.86,1.48,54
67,4,19,1,0.6667,0,1.0,1,1,67436.36,4.36,63
68,4,19,0,0.7222,0,0.0,1,0,64921.91,4.19,24
69,4,19,1,0.6667,1,0.0,1,0,59051.09,7.47,39
70,4,19,1,0.6667,0,0.0,1,1,82232.32,3.5,31
71,4,19,1,0.6667,1,1.0,1,0,54219.12,4.93,33
72,4,19,1,0.6667,1,,0,1,80047.14,7.37,52
73,4,19,1,0.6667,1,,0,0,67501.53,1.77,42
74,4,19,0,0.7222,1,,0,1,62637.51,2.29,55
75,4,19,1,0.6667,1,1.0,1,1,77786.14,6.93,61
76,4,19,1,0.6667,1,1.0,1,1,75572.83,0.68,49
77,4,19,1,0.6667,1,1.0,1,1,69109.65,2.86,62
78,5,19,0,0.7778,0,1.0,1,1,79284.23,13.84,53
79,5,19,1,0.7222,0,1.0,1,1,75088.13,14.0,40
80,5,19,1,0.7222,1,1.0,1,1,60703.33,8.21,35
81,5,19,0,0.7778,1,0.0,1,0,73248.21,6.33,49
82,5,19,1,0.7222,1,1.0,1,0,57455.27,16.57,43
83,5,19,1,0.7222,1,1.0,1,1,74975.48,10.69,38
84,5,19,1,0.7222,1,1.0,1,0,50316.06,1.99,24
85,5,19,1,0.7222,1,1.0,1,1,63207.23,0.87,54
86,5,19,1,0.7222,0,1.0,1,1,67754.04,13.88,48
87,5,19,1,0.7222,1,,0,1,67208.67,10.41,51
88,5,19,0,0.7778,0,0.0,1,0,64191.21,0.89,24
89,5,19,0,0.7778,0,0.0,1,0,60149.97,6.1,32
90,5,19,1,0.7222,0,,0,1,66449.37,5.95,60
91,5,19,1,0.7222,1,1.0,1,1,95844.64,10.11,63
92,5,19,1,0.7222,1,1.0,1,1,65179.28,18.83,62
93,5,19,1,0.7222,1,1.0,1,1,60908.72,2.51,59
94,5,19,1,0.7222,1,1.0,1,1,62408.19,2.3,27
95,5,19,0,0.7778,0,0.0,1,0,63278.48,3.84,36
96,5,19,1,0.7222,1,1.0,1,0,48407.6,3.14,33
97,6,15,0,0.2143,0,0.0,1,1,81930.84,11.1,49
98,6,15,1,0.1429,1,0.0,1,0,65002.95,7.18,30
99,6,15,0,0.2143,0,0.0,1,1,64981.8,4.22,29
100,6,15,0,0.2143,1,1.0,1,1,66666.61,6.34,43
101,6,15,0,0.2143,0,0.0,1,0,57260.37,2.68,46
102,6,15,0,0.2143,0,0.0,1,0,59405.23,4.62,36
103,6,15,0,0.2143,0,1.0,1,0,42539.31,1.01,39
104,6,15,1,0.1429,0,0.0,1,0,67190.88,7.14,52
105,6,15,0,0.2143,1,1.0,1,1,62226.15,2.31,29
106,6,15,1,0.1429,1,1.0,1,0,60214.4,3.23,39
107,6,15,0,0.2143,1,0.0,1,0,83447.18,5.55,51
108,6,15,0,0.2143,0,0.0,1,1,87605.05,5.74,58
109,6,15,0,0.2143,0,0.0,1,0,54770.62,2.5,52
110,6,15,0,0.2143,0,1.0,1,0,54002.73,3.23,56
111,6,15,0,0.2143,0,0.0,1,0,60247.23,1.23,34
112,7,23,0,0.2727,0,1.0,1,0,63063.26,2.5,33
113,7,23,0,0.2727,0,1.0,1,1,95915.88,2.64,53
114,7,23,0,0.2727,0,0.0,1,1,76151.92,7.61,60
115,7,23,0,0.2727,1,1.0,1,1,71951.25,10.66,25
116,7,23,0,0.2727,1,0.0,1,1,68463.97,6.51,38
117,7,23,0,0.2727,1,0.0,1,1,61503.23,2.44,52
118,7,23,0,0.2727,0,0.0,1,0,52129.28,4.21,27
119,7,23,0,0.2727,1,1.0,1,1,64379.52,3.56,55
120,7,23,0,0.2727,0,0.0,1,1,80085.91,1.18,40
121,7,23,1,0.2273,1,1.0,1,0,74765.59,1.38,50
122,7,23,0,0.2727,0,1.0,1,1,74188.63,3.93,54
123,7,23,0,0.2727,1,1.0,1,1,54354.64,2.01,61
124,7,23,0,0.2727,0,1.0,1,0,60204.19,1.72,46
125,7,23,0,0.2727,1,1.0,1,1,74742.05,11.17,62
126,7,23,0,0.2727,1,1.0,1,1,88510.89,1.48,57
127,7,23,1,0.2273,1,1.0,1,0,74208.76,0.87,53
128,7,23,0,0.2727,0,,0,0,65054.26,4.14,48
129,7,23,1,0.2273,0,0.0,1,1,77434.07,7.1,49
130,7,23,1,0.2273,1,0.0,1,0,58949.54,1.49,24
131,7,23,1,0.2273,0,1.0,1,1,64057.39,6.45,46
132,7,23,1,0.2273,1,0.0,1,0,60184.27,9.51,41
133,7,23,0,0.2727,0,,0,1,72875.32,3.2,29
134,7,23,0,0.2727,0,0.0,1,0,61798.79,1.32,31
135,8,24,1,0.3043,1,1.0,1,1,68705.89,5.82,46
136,8,24,0,0.3478,0,0.0,1,0,74937.89,5.31,62
137,8,24,0,0.3478,1,1.0,1,0,74650.76,5.51,49
138,8,24,1,0.3043,1,1.0,1,1,45117.83,7.16,24
139,8,24,0,0.3478,1,0.0,1,1,69025.31,5.28,25
140,8,24,0,0.3478,0,0.0,1,1,67212.58,5.33,31
141,8,24,1,0.3043,0,1.0,1,1,53139.0,2.86,58
142,8,24,0,0.3478,1,1.0,1,0,49210.66,4.45,25
143,8,24,1,0.3043,0,0.0,1,0,73603.87,11.19,39
144,8,24,0,0.3478,0,1.0,1,1,57621.52,3.67,37
145,8,24,0,0.3478,1,1.0,1,1,60647.11,10.6,44
146,8,24,0,0.3478,0,1.0,1,0,58463.05,3.31,38
147,8,24,1,0.3043,1,1.0,1,0,52819.43,1.12,30
148,8,24,0,0.3478,0,0.0,1,1,62118.42,7.79,45
149,8,24,0,0.3478,1,1.0,1,0,79772.67,13.67,62
150,8,24,0,0.3478,1,1.0,1,0,50766.96,3.98,30
151,8,24,0,0.3478,1,0.0,1,0,73286.99,5.08,36
152,8,24,0,0.3478,0,1.0,1,1,79538.13,3.63,42
153,8,24,0,0.3478,0,1.0,1,1,69868.72,6.66,56
154,8,24,1,0.3043,1,0.0,1,1,64592.9,6.87,41
155,8,24,0,0.3478,0,,0,1,76176.92,2.7,43
156,8,24,1,0.3043,1,1.0,1,1,78062.52,9.6,28
157,8,24,0,0.3478,1,0.0,1,1,68023.27,2.27,59
158,8,24,1,0.3043,1,1.0,1,0,51639.4,2.21,36
159,9,18,1,0.6471,0,,0,1,66363.75,12.15,42
160,9,18,0,0.7059,0,0.0,1,0,57325.29,4.94,40
161,9,18,1,0.6471,1,0.0,1,1,57374.62,7.99,40
162,9,18,0,0.7059,0,0.0,1,0,72604.77,2.17,52
163,9,18,1,0.6471,0,1.0,1,0,71003.67,2.48,39
164,9,18,0,0.7059,1,1.0,1,0,54606.14,3.73,24
165,9,18,1,0.6471,1,1.0,1,1,66794.55,1.7,33
166,9,18,1,0.6471,1,1.0,1,1,64571.89,5.58,59
167,9,18,1,0.6471,1,,0,1,72309.01,8.66,55
168,9,18,0,0.7059,0,1.0,1,1,70392.37,6.58,37
169,9,18,1,0.6471,1,1.0,1,0,59166.52,2.93,26
170,9,18,1,0.6471,1,0.0,1,0,48565.96,7.15,29
171,9,18,1,0.6471,1,1.0,1,1,69913.22,2.66,49
172,9,18,0,0.7059,1,,0,1,56685.44,4.22,48
173,9,18,0,0.7059,1,1.0,1,1,76058.3,7.2,63
174,9,18,1,0.6471,1,0.0,1,1,79810.23,0.6,58
175,9,18,1,0.6471,0,0.0,1,0,48190.99,1.96,40
176,9,18,1,0.6471,1,1.0,1,1,72942.0,2.22,54
177,10,17,1,0.75,1,1.0,1,1,61635.36,2.94,50
178,10,17,1,0.75,1,0.0,1,1,65436.91,1.58,63
179,10,17,1,0.75,1,1.0,1,1,52900.57,8.32,38
180,10,17,1,0.75,1,1.0,1,1,63014.68,7.94,40
181,10,17,0,0.8125,0,1.0,1,1,73532.09,1.9,30
182,10,17,0,0.8125,0,0.0,1,1,56908.66,5.65,59
183,10,17,1,0.75,1,1.0,1,0,68648.21,0.74,40
184,10,17,1,0.75,1,1.0,1,0,71844.74,12.34,47
185,10,17,0,0.8125,1,1.0,1,1,75104.49,4.69,47
186,10,17,1,0.75,0,,0,0,71309.62,0.81,25
187,10,17,1,0.75,1,1.0,1,1,71388.26,12.18,59
188,10,17,1,0.75,1,1.0,1,1,76715.59,6.08,52
189,10,17,1,0.75,1,1.0,1,1,60477.57,2.56,47
190,10,17,1,0.75,1,0.0,1,1,73103.98,9.36,57
191,10,17,0,0.8125,0,1.0,1,1,61222.44,2.97,51
192,10,17,1,0.75,1,1.0,1,1,69396.2,6.73,56
193,10,17,1,0.75,1,1.0,1,1,53097.51,10.21,26
194,11,22,0,0.1905,0,,0,1,66464.78,4.41,26
195,11,22,0,0.1905,0,0.0,1,0,76824.99,7.2,33
196,11,22,0,0.1905,1,0.0,1,0,73124.51,18.09,51
197,11,22,0,0.1905,0,0.0,1,0,60891.96,1.47,37
198,11,22,0,0.1905,0,0.0,1,0,41261.93,1.62,25
199,11,22,0,0.1905,0,0.0,1,1,70257.97,7.45,37
200,11,22,0,0.1905,1,1.0,1,1,75101.29,6.55,41
201,11,22,1,0.1429,1,1.0,1,0,58923.22,0.86,27
202,11,22,0,0.1905,0,1.0,1,1,69840.08,5.98,44
203,11,22,1,0.1429,1,1.0,1,1,79499.59,6.55,48
204,11,22,0,0.1905,0,1.0,1,1,69342.99,6.57,42
205,11,22,0,0.1905,1,1.0,1,0,58925.75,6.26,51
206,11,22,0,0.1905,1,1.0,1,1,68797.93,4.36,33
207,11,22,0,0.1905,1,1.0,1,1,82658.25,1.34,51
208,11,22,0,0.1905,1,0.0,1,0,64044.0,1.12,42
209,11,22,0,0.1905,0,1.0,1,1,64582.16,2.34,25
210,11,22,1,0.1429,1,1.0,1,1,67912.25,8.0,47
211,11,22,1,0.1429,1,1.0,1,1,77244.07,9.24,39
212,11,22,0,0.1905,0,1.0,1,1,75398.33,3.89,48
213,11,22,0,0.1905,0,0.0,1,1,57944.65,7.44,25
214,11,22,0,0.1905,0,0.0,1,1,62799.47,3.31,56
215,11,22,0,0.1905,1,,0,1,74195.05,3.73,54
216,12,21,0,0.3,0,0.0,1,1,63881.78,2.67,40
217,12,21,0,0.3,1,0.0,1,0,66535.1,4.99,26
218,12,21,0,0.3,0,1.0,1,0,54975.12,2.15,49
219,12,21,0,0.3,1,0.0,1,0,65254.92,4.65,41
220,12,21,0,0.3,1,0.0,1,0,55697.89,1.48,31
221,12,21,0,0.3,1,1.0,1,1,78635.63,8.64,28
222,12,21,1,0.25,1,1.0,1,1,59389.84,5.6,42
223,12,21,1,0.25,0,1.0,1,1,82340.05,2.39,63
224,12,21,0,0.3,0,1.0,1,0,70564.82,5.45,56
225,12,21,0,0.3,0,0.0,1,0,55085.83,4.51,45
226,12,21,1,0.25,1,0.0,1,0,58123.63,2.34,24
227,12,21,1,0.25,1,1.0,1,1,67804.29,9.32,63
228,12,21,1,0.25,1,1.0,1,1,64211.77,5.89,38
229,12,21,1,0.25,1,1.0,1,0,58135.17,1.64,26
230,12,21,0,0.3,0,0.0,1,0,58721.02,3.36,33
231,12,21,0,0.3,0,0.0,1,0,62731.41,1.89,51
232,12,21,0,0.3,0,0.0,1,0,63251.66,3.46,37
233,12,21,0,0.3,0,1.0,1,0,51394.82,6.68,43
234,12,21,0,0.3,0,1.0,1,0,68982.48,8.69,34
235,12,21,0,0.3,1,1.0,1,1,68334.28,5.46,40
236,12,21,0,0.3,0,1.0,1,1,78082.63,2.43,52
237,13,18,1,0.1765,0,0.0,1,0,74519.48,5.68,45
238,13,18,0,0.2353,1,0.0,1,1,71597.51,2.69,46
239,13,18,1,0.1765,0,0.0,1,1,80962.78,3.37,59
240,13,18,0,0.2353,0,1.0,1,0,67599.85,5.54,40
241,13,18,0,0.2353,0,,0,1,66290.01,1.66,60
242,13,18,1,0.1765,1,1.0,1,1,50063.07,5.98,30
243,13,18,0,0.2353,1,1.0,1,1,63943.49,3.99,48
244,13,18,0,0.2353,0,0.0,1,0,70286.14,3.83,26
245,13,18,0,0.2353,0,0.0,1,0,62041.01,5.44,53
246,13,18,0,0.2353,0,0.0,1,0,67427.03,2.03,60
247,13,18,0,0.2353,0,,0,1,84585.75,3.93,49
248,13,18,0,0.2353,0,1.0,1,1,57277.41,5.04,47
249,13,18,0,0.2353,0,1.0,1,1,71462.61,1.93,42
250,13,18,0,0.2353,0,0.0,1,1,63842.71,10.98,45
251,13,18,0,0.2353,1,1.0,1,1,61579.07,9.39,41
252,13,18,1,0.1765,1,1.0,1,0,65917.99,1.44,36
253,13,18,0,0.2353,1,1.0,1,1,58246.46,5.12,24
254,13,18,0,0.2353,0,0.0,1,0,70719.49,4.95,50
255,14,22,0,0.1429,0,1.0,1,1,59792.46,5.21,52
256,14,22,0,0.1429,1,1.0,1,0,48165.08,4.76,34
257,14,22,0,0.1429,0,1.0,1,1,72540.61,9.68,55
258,14,22,0,0.1429,0,0.0,1,0,57658.99,4.76,52
259,14,22,1,0.0952,0,1.0,1,1,73089.2,3.17,45
260,14,22,0,0.1429,0,1.0,1,0,65599.37,1.24,39
261,14,22,1,0.0952,0,1.0,1,1,56194.02,3.08,39
262,14,22,0,0.1429,0,0.0,1,0,55410.73,11.46,34
263,14,22,0,0.1429,1,0.0,1,0,58504.13,4.14,27
264,14,22,0,0.1429,1,1.0,1,1,66080.32,7.8,32
265,14,22,0,0.1429,0,1.0,1,1,58770.95,5.54,25
266,14,22,1,0.0952,0,0.0,1,0,51902.71,9.38,31
267,14,22,0,0.1429,0,1.0,1,1,66329.53,15.74,27
268,14,22,0,0.1429,1,0.0,1,0,69214.57,1.36,48
269,14,22,0,0.1429,1,0.0,1,0,59171.02,9.01,32
270,14,22,0,0.1429,1,,0,1,60782.83,5.94,34
271,14,22,0,0.1429,0,0.0,1,1,77576.1,2.34,35
272,14,22,0,0.1429,1,0.0,1,1,67927.99,1.26,61
273,14,22,0,0.1429,1,1.0,1,0,73939.07,5.62,29
274,14,22,0,0.1429,0,1.0,1,1,70591.63,3.03,52
275,14,22,0,0.1429,0,1.0,1,1,69717.48,7.85,58
276,14,22,0,0.1429,1,1.0,1,1,64538.67,4.07,31
277,15,17,1,0.5,1,0.0,1,1,77616.2,13.76,40
278,15,17,0,0.5625,1,1.0,1,1,70454.58,1.98,43
279,15,17,0,0.5625,1,1.0,1,1,64662.4,3.52,42
280,15,17,1,0.5,0,0.0,1,1,77784.0,5.69,54
281,15,17,0,0.5625,1,1.0,1,1,66191.65,3.88,30
282,15,17,1,0.5,1,1.0,1,1,66834.82,4.01,53
283,15,17,1,0.5,1,0.0,1,0,67499.35,2.81,33
284,15,17,0,0.5625,1,1.0,1,1,76071.96,2.7,46
285,15,17,0,0.5625,1,0.0,1,0,56121.19,1.79,34
286,15,17,1,0.5,1,1.0,1,1,74409.04,23.14,39
287,15,17,0,0.5625,1,1.0,1,1,69977.57,1.74,62
288,15,17,0,0.5625,0,1.0,1,1,56074.51,1.38,24
289,15,17,1,0.5,1,1.0,1,1,61693.01,2.75,47
290,15,17,1,0.5,1,0.0,1,1,72095.06,7.81,62
291,15,17,1,0.5,1,1.0,1,1,75840.98,4.05,42
292,15,17,1,0.5,1,,0,0,68234.53,5.92,25
293,15,17,0,0.5625,0,0.0,1,0,51523.05,2.12,48
294,16,20,0,0.5789,1,0.0,1,0,80085.33,3.8,41
295,16,20,0,0.5789,0,,0,0,63399.14,1.15,55
296,16,20,1,0.5263,1,1.0,1,0,49678.04,3.03,38
297,16,20,1,0.5263,0,1.0,1,1,67662.06,5.3,30
298,16,20,1,0.5263,1,1.0,1,1,77091.01,8.92,37
299,16,20,1,0.5263,1,1.0,1,1,57708.09,8.72,43
300,16,20,1,0.5263,1,1.0,1,0,63579.08,7.54,39
301,16,20,0,0.5789,0,0.0,1,0,54012.88,2.54,41
302,16,20,1,0.5263,1,1.0,1,0,62907.41,1.77,33
303,16,20,0,0.5789,1,1.0,1,1,72614.73,3.06,42
304,16,20,1,0.5263,1,0.0,1,1,44702.91,2.97,46
305,16,20,0,0.5789,1,1.0,1,1,71989.54,6.85,55
306,16,20,1,0.5263,1,1.0,1,1,77992.96,11.18,45
307,16,20,0,0.5789,1,0.0,1,0,67163.64,6.88,26
308,16,20,1,0.5263,1,1.0,1,1,78813.27,4.59,25
309,16,20,0,0.5789,0,0.0,1,0,59936.5,9.27,34
310,16,20,0,0.5789,0,0.0,1,0,57069.27,3.58,34
311,16,20,1,0.5263,0,1.0,1,1,55451.61,4.66,25
312,16,20,0,0.5789,1,1.0,1,1,73764.65,5.3,48
313,16,20,1,0.5263,1,1.0,1,1,59820.44,10.66,31
314,17,24,0,0.3043,0,0.0,1,0,66370.13,1.67,49
315,17,24,1,0.2609,0,0.0,1,1,74992.41,14.03,44
316,17,24,0,0.3043,1,,0,0,69884.71,4.73,54
317,17,24,1,0.2609,0,1.0,1,0,56125.5,3.61,35
318,17,24,0,0.3043,1,0.0,1,0,60815.62,6.4,58
319,17,24,0,0.3043,0,0.0,1,0,55606.6,3.46,28
320,17,24,0,0.3043,0,0.0,1,1,66928.21,1.1,39
321,17,24,0,0.3043,0,1.0,1,1,50426.17,3.94,46
322,17,24,0,0.3043,0,0.0,1,1,59171.33,4.45,44
323,17,24,1,0.2609,0,0.0,1,0,51997.7,1.53,42
324,17,24,0,0.3043,0,0.0,1,0,64898.32,4.02,60
325,17,24,0,0.3043,1,0.0,1,1,66224.12,6.98,34
326,17,24,0,0.3043,0,1.0,1,1,60037.25,2.17,45
327,17,24,0,0.3043,1,,0,1,63401.05,7.87,63
328,17,24,1,0.2609,1,1.0,1,1,65054.8,5.73,62
329,17,24,0,0.3043,1,,0,0,66788.19,2.7,35
330,17,24,0,0.3043,1,0.0,1,1,58509.14,3.97,51
331,17,24,1,0.2609,1,1.0,1,0,59718.9,10.57,60
332,17,24,1,0.2609,1,1.0,1,0,55812.46,2.86,31
333,17,24,1,0.2609,1,0.0,1,0,76296.77,9.29,53
334,17,24,0,0.3043,1,1.0,1,0,66392.24,3.94,56
335,17,24,0,0.3043,0,0.0,1,1,68217.35,9.66,37
336,17,24,0,0.3043,0,0.0,1,0,63633.52,6.84,44
337,17,24,0,0.3043,1,1.0,1,1,83917.25,17.54,59
338,18,16,0,0.7333,0,0.0,1,1,49988.59,7.24,36
339,18,16,1,0.6667,1,1.0,1,1,86120.52,8.25,60
340,18,16,1,0.6667,1,1.0,1,1,77049.44,5.85,62
341,18,16,0,0.7333,1,,0,1,68764.4,19.17,28
342,18,16,1,0.6667,1,1.0,1,1,82218.75,7.16,63
343,18,16,1,0.6667,1,1.0,1,1,58710.46,2.64,37
344,18,16,1,0.6667,1,1.0,1,1,69345.04,14.7,57
345,18,16,0,0.7333,1,1.0,1,0,63630.76,6.39,43
346,18,16,1,0.6667,1,1.0,1,1,58952.95,4.63,28
347,18,16,0,0.7333,0,0.0,1,0,47124.46,7.03,31
348,18,16,1,0.6667,1,0.0,1,0,78622.07,10.55,43
349,18,16,1,0.6667,0,0.0,1,0,59281.17,4.41,31
350,18,16,1,0.6667,1,1.0,1,1,70465.26,4.32,55
351,18,16,1,0.6667,1,0.0,1,1,53894.25,8.49,25
352,18,16,0,0.7333,0,0.0,1,0,60554.26,3.63,32
353,18,16,1,0.6667,1,1.0,1,1,73983.99,4.63,55
