region,year,event_time,import_exposure,export_exposure,manufacturing_share,service_share,earnings_index,unemployment_rate
region-03,1999,5,0.8182,0.2335,0.2542,0.4692,95.73,0.0644
region-03,2000,6,0.8182,0.2335,0.2508,0.4731,94.88,0.0653
region-03,2001,7,0.8182,0.2335,0.2474,0.4769,93.67,0.066
region-03,2002,8,0.8182,0.2335,0.244,0.4808,92.47,0.0664
region-04,1991,-3,0.8351,0.2844,0.2778,0.45,100.0,0.0582
region-04,1992,-2,0.8351,0.2844,0.2778,0.45,100.0,0.0582
region-04,1993,-1,0.8351,0.2844,0.2778,0.45,100.0,0.0582
region-04,1994,0,0.8351,0.2844,0.2778,0.45,100.0,0.0582
region-04,1995,1,0.8351,0.2844,0.2744,0.454,99.16,0.0577
region-04,1996,2,0.8351,0.2844,0.271,0.4579,98.32,0.0599
region-04,1997,3,0.8351,0.2844,0.2675,0.4619,97.47,0.0617
region-04,1998,4,0.8351,0.2844,0.2641,0.4658,96.63,0.0632
region-04,1999,5,0.8351,0.2844,0.2607,0.4698,95.79,0.0644
region-04,2000,6,0.8351,0.2844,0.2573,0.4738,94.95,0.0652
region-04,2001,7,0.8351,0.2844,0.2539,0.4777,93.75,0.0659
region-04,2002,8,0.8351,0.2844,0.2505,0.4817,92.56,0.0663
region-05,1991,-3,0.6764,0.2112,0.2719,0.45,100.0,0.0576
region-05,1992,-2,0.6764,0.2112,0.2719,0.45,100.0,0.0576
region-05,1993,-1,0.6764,0.2112,0.2719,0.45,100.0,0.0576
region-05,1994,0,0.6764,0.2112,0.2719,0.45,100.0,0.0576
region-05,1995,1,0.6764,0.2112,0.2691,0.4532,99.37,0.0572
region-05,1996,2,0.6764,0.2112,0.2663,0.4564,98.74,0.059
region-05,1997,3,0.6764,0.2112,0.2635,0.4596,98.11,0.0605
region-05,1998,4,0.6764,0.2112,0.2607,0.4629,97.48,0.0617
region-05,1999,5,0.6764,0.2112,0.2579,0.4661,96.85,0.0627
region-05,2000,6,0.6764,0.2112,0.2552,0.4693,96.21,0.0634
region-05,2001,7,0.6764,0.2112,0.2524,0.4725,95.23,0.0639
region-05,2002,8,0.6764,0.2112,0.2496,0.4757,94.25,0.0643
region-06,1991,-3,1.0497,0.2415,0.272,0.45,100.0,0.059
region-06,1992,-2,1.0497,0.2415,0.272,0.45,100.0,0.059
region-06,1993,-1,1.0497,0.2415,0.272,0.45,100.0,0.059
region-06,1994,0,1.0497,0.2415,0.272,0.45,100.0,0.059
region-06,1995,1,1.0497,0.2415,0.2676,0.4549,98.76,0.0585
region-06,1996,2,1.0497,0.2415,0.2631,0.4598,97.52,0.0614
region-06,1997,3,1.0497,0.2415,0.2587,0.4647,96.28,0.0638
region-06,1998,4,1.0497,0.2415,0.2543,0.4696,95.03,0.0657
region-06,1999,5,1.0497,0.2415,0.2498,0.4745,93.79,0.0673
region-06,2000,6,1.0497,0.2415,0.2454,0.4794,92.55,0.0685
region-06,2001,7,1.0497,0.2415,0.241,0.4843,90.96,0.0694
region-06,2002,8,1.0497,0.2415,0.2365,0.4892,89.37,0.0701
region-07,1991,-3,1.0404,0.2659,0.2674,0.45,100.0,0.059
region-07,1992,-2,1.0404,0.2659,0.2674,0.45,100.0,0.059
region-07,1993,-1,1.0404,0.2659,0.2674,0.45,100.0,0.059
region-07,1994,0,1.0404,0.2659,0.2674,0.45,100.0,0.059
region-07,1995,1,1.0404,0.2659,0.263,0.4549,98.79,0.0584
region-07,1996,2,1.0404,0.2659,0.2587,0.4598,97.59,0.0613
region-07,1997,3,1.0404,0.2659,0.2543,0.4647,96.38,0.0636
region-07,1998,4,1.0404,0.2659,0.2499,0.4696,95.18,0.0655
region-07,1999,5,1.0404,0.2659,0.2456,0.4745,93.97,0.0671
region-07,2000,6,1.0404,0.2659,0.2412,0.4794,92.76,0.0682
region-07,2001,7,1.0404,0.2659,0.2369,0.4843,91.21,0.0691
region-07,2002,8,1.0404,0.2659,0.2325,0.4893,89.65,0.0698
region-08,1991,-3,0.9635,0.2389,0.276,0.45,100.0,0.0587
region-08,1992,-2,0.9635,0.2389,0.276,0.45,100.0,0.0587
region-08,1993,-1,0.9635,0.2389,0.276,0.45,100.0,0.0587
region-08,1994,0,0.9635,0.2389,0.276,0.45,100.0,0.0587
region-08,1995,1,0.9635,0.2389,0.272,0.4546,98.9,0.0582
region-08,1996,2,0.9635,0.2389,0.2679,0.4592,97.81,0.0608
region-08,1997,3,0.9635,0.2389,0.2639,0.4638,96.71,0.063
region-08,1998,4,0.9635,0.2389,0.2598,0.4683,95.61,0.0648
region-08,1999,5,0.9635,0.2389,0.2558,0.4729,94.52,0.0662
region-08,2000,6,0.9635,0.2389,0.2517,0.4775,93.42,0.0673
region-08,2001,7,0.9635,0.2389,0.2477,0.4821,91.97,0.0681
region-08,2002,8,0.9635,0.2389,0.2436,0.4867,90.53,0.0687
region-09,1991,-3,1.054,0.3142,0.2722,0.45,100.0,0.059
region-09,1992,-2,1.054,0.3142,0.2722,0.45,100.0,0.059
region-09,1993,-1,1.054,0.3142,0.2722,0.45,100.0,0.059
region-09,1994,0,1.054,0.3142,0.2722,0.45,100.0,0.059
region-09,1995,1,1.054,0.3142,0.2678,0.455,98.81,0.0584
region-09,1996,2,1.054,0.3142,0.2635,0.4601,97.62,0.0613
region-09,1997,3,1.054,0.3142,0.2591,0.4651,96.43,0.0636
region-09,1998,4,1.054,0.3142,0.2547,0.4701,95.24,0.0655
region-09,1999,5,1.054,0.3142,0.2504,0.4751,94.05,0.067
region-09,2000,6,1.054,0.3142,0.246,0.4802,92.86,0.0682
region-09,2001,7,1.054,0.3142,0.2416,0.4852,91.32,0.069
region-09,2002,8,1.054,0.3142,0.2373,0.4902,89.78,0.0696
region-10,1991,-3,0.8503,0.2892,0.2783,0.45,100.0,0.0582
region-10,1992,-2,0.8503,0.2892,0.2783,0.45,100.0,0.0582
region-10,1993,-1,0.8503,0.2892,0.2783,0.45,100.0,0.0582
region-10,1994,0,0.8503,0.2892,0.2783,0.45,100.0,0.0582
region-10,1995,1,0.8503,0.2892,0.2748,0.454,99.14,0.0577
region-10,1996,2,0.8503,0.2892,0.2713,0.458,98.27,0.06
region-10,1997,3,0.8503,0.2892,0.2679,0.462,97.41,0.0618
region-10,1998,4,0.8503,0.2892,0.2644,0.466,96.54,0.0633
region-10,1999,5,0.8503,0.2892,0.2609,0.47,95.68,0.0645
region-10,2000,6,0.8503,0.2892,0.2574,0.4741,94.82,0.0654
region-10,2001,7,0.8503,0.2892,0.2539,0.4781,93.6,0.0661
region-10,2002,8,0.8503,0.2892,0.2505,0.4821,92.39,0.0665
region-11,1991,-3,0.9387,0.2544,0.2755,0.45,100.0,0.0586
region-11,1992,-2,0.9387,0.2544,0.2755,0.45,100.0,0.0586
region-11,1993,-1,0.9387,0.2544,0.2755,0.45,100.0,0.0586
region-11,1994,0,0.9387,0.2544,0.2755,0.45,100.0,0.0586
region-11,1995,1,0.9387,0.2544,0.2716,0.4544,98.96,0.0581
region-11,1996,2,0.9387,0.2544,0.2677,0.4589,97.92,0.0606
region-11,1997,3,0.9387,0.2544,0.2637,0.4633,96.87,0.0627
region-11,1998,4,0.9387,0.2544,0.2598,0.4677,95.83,0.0644
region-11,1999,5,0.9387,0.2544,0.2559,0.4722,94.79,0.0658
region-11,2000,6,0.9387,0.2544,0.252,0.4766,93.75,0.0669
region-11,2001,7,0.9387,0.2544,0.2481,0.4811,92.35,0.0677
region-11,2002,8,0.9387,0.2544,0.2441,0.4855,90.96,0.0682
region-12,1991,-3,0.6354,0.2518,0.2782,0.45,100.0,0.0574
region-12,1992,-2,0.6354,0.2518,0.2782,0.45,100.0,0.0574
region-12,1993,-1,0.6354,0.2518,0.2782,0.45,100.0,0.0574
region-12,1994,0,0.6354,0.2518,0.2782,0.45,100.0,0.0574
region-12,1995,1,0.6354,0.2518,0.2756,0.4531,99.47,0.057
region-12,1996,2,0.6354,0.2518,0.2731,0.4562,98.94,0.0587
region-12,1997,3,0.6354,0.2518,0.2705,0.4593,98.41,0.06
region-12,1998,4,0.6354,0.2518,0.268,0.4625,97.89,0.0611
region-12,1999,5,0.6354,0.2518,0.2654,0.4656,97.36,0.062
region-12,2000,6,0.6354,0.2518,0.2629,0.4687,96.83,0.0626
region-12,2001,7,0.6354,0.2518,0.2603,0.4718,95.95,0.0631
region-12,2002,8,0.6354,0.2518,0.2577,0.4749,95.07,0.0634
region-13,1991,-3,0.9014,0.2348,0.2692,0.45,100.0,0.0584
region-13,1992,-2,0.9014,0.2348,0.2692,0.45,100.0,0.0584
region-13,1993,-1,0.9014,0.2348,0.2692,0.45,100.0,0.0584
region-13,1994,0,0.9014,0.2348,0.2692,0.45,100.0,0.0584
region-13,1995,1,0.9014,0.2348,0.2654,0.4542,99.01,0.058
region-13,1996,2,0.9014,0.2348,0.2617,0.4585,98.01,0.0604
region-13,1997,3,0.9014,0.2348,0.2579,0.4627,97.02,0.0624
region-13,1998,4,0.9014,0.2348,0.2541,0.4669,96.02,0.0641
region-13,1999,5,0.9014,0.2348,0.2503,0.4712,95.03,0.0654
region-13,2000,6,0.9014,0.2348,0.2466,0.4754,94.03,0.0664
region-13,2001,7,0.9014,0.2348,0.2428,0.4796,92.69,0.0672
region-13,2002,8,0.9014,0.2348,0.239,0.4839,91.34,0.0678
region-14,1991,-3,0.9378,0.3085,0.2743,0.45,100.0,0.0586
region-14,1992,-2,0.9378,0.3085,0.2743,0.45,100.0,0.0586
region-14,1993,-1,0.9378,0.3085,0.2743,0.45,100.0,0.0586
region-14,1994,0,0.9378,0.3085,0.2743,0.45,100.0,0.0586
region-14,1995,1,0.9378,0.3085,0.2705,0.4544,99.0,0.058
region-14,1996,2,0.9378,0.3085,0.2666,0.4589,98.01,0.0605
region-14,1997,3,0.9378,0.3085,0.2628,0.4633,97.01,0.0626
region-14,1998,4,0.9378,0.3085,0.2589,0.4677,96.01,0.0642
region-14,1999,5,0.9378,0.3085,0.2551,0.4722,95.01,0.0656
region-14,2000,6,0.9378,0.3085,0.2512,0.4766,94.02,0.0666
region-14,2001,7,0.9378,0.3085,0.2474,0.481,92.67,0.0673
region-14,2002,8,0.9378,0.3085,0.2435,0.4855,91.32,0.0678
region-15,1991,-3,0.7649,0.2718,0.2717,0.45,100.0,0.0579
region-15,1992,-2,0.7649,0.2718,0.2717,0.45,100.0,0.0579
region-15,1993,-1,0.7649,0.2718,0.2717,0.45,100.0,0.0579
region-15,1994,0,0.7649,0.2718,0.2717,0.45,100.0,0.0579
region-15,1995,1,0.7649,0.2718,0.2686,0.4537,99.27,0.0574
region-15,1996,2,0.7649,0.2718,0.2655,0.4573,98.53,0.0595
region-15,1997,3,0.7649,0.2718,0.2624,0.461,97.8,0.0611
region-15,1998,4,0.7649,0.2718,0.2592,0.4647,97.07,0.0625
region-15,1999,5,0.7649,0.2718,0.2561,0.4684,96.34,0.0635
region-15,2000,6,0.7649,0.2718,0.253,0.472,95.6,0.0643
region-15,2001,7,0.7649,0.2718,0.2499,0.4757,94.52,0.0649
region-15,2002,8,0.7649,0.2718,0.2468,0.4794,93.44,0.0653
region-16,1991,-3,0.8351,0.2663,0.272,0.45,100.0,0.0582
region-16,1992,-2,0.8351,0.2663,0.272,0.45,100.0,0.0582
region-16,1993,-1,0.8351,0.2663,0.272,0.45,100.0,0.0582
region-16,1994,0,0.8351,0.2663,0.272,0.45,100.0,0.0582
region-16,1995,1,0.8351,0.2663,0.2686,0.454,99.14,0.0577
region-16,1996,2,0.8351,0.2663,0.2651,0.4579,98.29,0.0599
region-16,1997,3,0.8351,0.2663,0.2617,0.4619,97.43,0.0618
region-16,1998,4,0.8351,0.2663,0.2582,0.4658,96.57,0.0633
region-16,1999,5,0.8351,0.2663,0.2548,0.4698,95.72,0.0644
region-16,2000,6,0.8351,0.2663,0.2514,0.4737,94.86,0.0653
region-16,2001,7,0.8351,0.2663,0.2479,0.4777,93.65,0.066
region-16,2002,8,0.8351,0.2663,0.2445,0.4816,92.45,0.0665
region-17,1991,-3,0.9278,0.3023,0.2632,0.45,100.0,0.0585
region-17,1992,-2,0.9278,0.3023,0.2632,0.45,100.0,0.0585
region-17,1993,-1,0.9278,0.3023,0.2632,0.45,100.0,0.0585
region-17,1994,0,0.9278,0.3023,0.2632,0.45,100.0,0.0585
region-17,1995,1,0.9278,0.3023,0.2594,0.4544,99.01,0.058
region-17,1996,2,0.9278,0.3023,0.2556,0.4588,98.03,0.0605
region-17,1997,3,0.9278,0.3023,0.2518,0.4631,97.04,0.0625
region-17,1998,4,0.9278,0.3023,0.248,0.4675,96.06,0.0642
region-17,1999,5,0.9278,0.3023,0.2441,0.4719,95.07,0.0655
region-17,2000,6,0.9278,0.3023,0.2403,0.4763,94.09,0.0665
region-17,2001,7,0.9278,0.3023,0.2365,0.4806,92.75,0.0672
region-17,2002,8,0.9278,0.3023,0.2327,0.485,91.42,0.0677
region-18,1991,-3,0.9842,0.2653,0.2623,0.45,100.0,0.0587
region-18,1992,-2,0.9842,0.2653,0.2623,0.45,100.0,0.0587
region-18,1993,-1,0.9842,0.2653,0.2623,0.45,100.0,0.0587
region-18,1994,0,0.9842,0.2653,0.2623,0.45,100.0,0.0587
region-18,1995,1,0.9842,0.2653,0.2582,0.4546,98.89,0.0582
region-18,1996,2,0.9842,0.2653,0.2541,0.4593,97.78,0.0609
region-18,1997,3,0.9842,0.2653,0.25,0.4639,96.67,0.0631
region-18,1998,4,0.9842,0.2653,0.2459,0.4685,95.56,0.0649
region-18,1999,5,0.9842,0.2653,0.2417,0.4731,94.45,0.0663
region-18,2000,6,0.9842,0.2653,0.2376,0.4778,93.33,0.0675
region-18,2001,7,0.9842,0.2653,0.2335,0.4824,91.87,0.0683
region-18,2002,8,0.9842,0.2653,0.2294,0.487,90.41,0.0689
region-19,1991,-3,0.7428,0.282,0.2784,0.45,100.0,0.0578
region-19,1992,-2,0.7428,0.282,0.2784,0.45,100.0,0.0578
region-19,1993,-1,0.7428,0.282,0.2784,0.45,100.0,0.0578
region-19,1994,0,0.7428,0.282,0.2784,0.45,100.0,0.0578
region-19,1995,1,0.7428,0.282,0.2754,0.4535,99.31,0.0574
region-19,1996,2,0.7428,0.282,0.2724,0.4571,98.63,0.0593
region-19,1997,3,0.7428,0.282,0.2694,0.4606,97.94,0.0609
region-19,1998,4,0.7428,0.282,0.2664,0.4641,97.25,0.0622
region-19,1999,5,0.7428,0.282,0.2634,0.4676,96.56,0.0632
region-19,2000,6,0.7428,0.282,0.2604,0.4712,95.88,0.064
region-19,2001,7,0.7428,0.282,0.2574,0.4747,94.84,0.0645
region-19,2002,8,0.7428,0.282,0.2544,0.4782,93.8,0.0649
region-20,1991,-3,0.9329,0.2852,0.2702,0.45,100.0,0.0585
region-20,1992,-2,0.9329,0.2852,0.2702,0.45,100.0,0.0585
region-20,1993,-1,0.9329,0.2852,0.2702,0.45,100.0,0.0585
region-20,1994,0,0.9329,0.2852,0.2702,0.45,100.0,0.0585
region-20,1995,1,0.9329,0.2852,0.2663,0.4544,98.99,0.058
region-20,1996,2,0.9329,0.2852,0.2625,0.4588,97.98,0.0605
region-20,1997,3,0.9329,0.2852,0.2586,0.4633,96.98,0.0626
region-20,1998,4,0.9329,0.2852,0.2548,0.4677,95.97,0.0643
region-20,1999,5,0.9329,0.2852,0.2509,0.4721,94.96,0.0656
region-20,2000,6,0.9329,0.2852,0.2471,0.4765,93.95,0.0666
region-20,2001,7,0.9329,0.2852,0.2432,0.4809,92.6,0.0674
region-20,2002,8,0.9329,0.2852,0.2394,0.4853,91.24,0.0679
region-21,1991,-3,0.6949,0.2005,0.2669,0.45,100.0,0.0576
region-21,1992,-2,0.6949,0.2005,0.2669,0.45,100.0,0.0576
region-21,1993,-1,0.6949,0.2005,0.2669,0.45,100.0,0.0576
region-21,1994,0,0.6949,0.2005,0.2669,0.45,100.0,0.0576
region-21,1995,1,0.6949,0.2005,0.264,0.4533,99.33,0.0573
region-21,1996,2,0.6949,0.2005,0.2611,0.4566,98.66,0.0591
region-21,1997,3,0.6949,0.2005,0.2582,0.4598,97.99,0.0607
region-21,1998,4,0.6949,0.2005,0.2554,0.4631,97.32,0.0619
region-21,1999,5,0.6949,0.2005,0.2525,0.4664,96.65,0.0629
region-21,2000,6,0.6949,0.2005,0.2496,0.4697,95.97,0.0637
region-21,2001,7,0.6949,0.2005,0.2467,0.473,94.95,0.0643
region-21,2002,8,0.6949,0.2005,0.2438,0.4763,93.93,0.0647
region-22,1991,-3,0.9573,0.3072,0.2678,0.45,100.0,0.0586
region-22,1992,-2,0.9573,0.3072,0.2678,0.45,100.0,0.0586
region-22,1993,-1,0.9573,0.3072,0.2678,0.45,100.0,0.0586
region-22,1994,0,0.9573,0.3072,0.2678,0.45,100.0,0.0586
region-22,1995,1,0.9573,0.3072,0.2639,0.4545,98.97,0.0581
region-22,1996,2,0.9573,0.3072,0.2599,0.4591,97.94,0.0606
region-22,1997,3,0.9573,0.3072,0.256,0.4636,96.91,0.0628
region-22,1998,4,0.9573,0.3072,0.252,0.4681,95.87,0.0645
region-22,1999,5,0.9573,0.3072,0.2481,0.4727,94.84,0.0658
region-22,2000,6,0.9573,0.3072,0.2442,0.4772,93.81,0.0668
region-22,2001,7,0.9573,0.3072,0.2402,0.4817,92.43,0.0676
region-22,2002,8,0.9573,0.3072,0.2363,0.4863,91.05,0.0681
region-23,1991,-3,0.6847,0.2509,0.2804,0.45,100.0,0.0576
region-23,1992,-2,0.6847,0.2509,0.2804,0.45,100.0,0.0576
region-23,1993,-1,0.6847,0.2509,0.2804,0.45,100.0,0.0576
region-23,1994,0,0.6847,0.2509,0.2804,0.45,100.0,0.0576
region-23,1995,1,0.6847,0.2509,0.2776,0.4532,99.39,0.0572
region-23,1996,2,0.6847,0.2509,0.2748,0.4565,98.77,0.059
region-23,1997,3,0.6847,0.2509,0.2721,0.4597,98.16,0.0605
region-23,1998,4,0.6847,0.2509,0.2693,0.4629,97.55,0.0617
region-23,1999,5,0.6847,0.2509,0.2665,0.4661,96.93,0.0626
region-23,2000,6,0.6847,0.2509,0.2637,0.4694,96.32,0.0633
region-23,2001,7,0.6847,0.2509,0.2609,0.4726,95.36,0.0638
region-23,2002,8,0.6847,0.2509,0.2582,0.4758,94.39,0.0642
region-24,1991,-3,0.8186,0.2428,0.2724,0.45,100.0,0.0581
region-24,1992,-2,0.8186,0.2428,0.2724,0.45,100.0,0.0581
region-24,1993,-1,0.8186,0.2428,0.2724,0.45,100.0,0.0581
region-24,1994,0,0.8186,0.2428,0.2724,0.45,100.0,0.0581
region-24,1995,1,0.8186,0.2428,0.269,0.4539,99.15,0.0577
region-24,1996,2,0.8186,0.2428,0.2656,0.4578,98.31,0.0599
region-24,1997,3,0.8186,0.2428,0.2622,0.4617,97.46,0.0617
region-24,1998,4,0.8186,0.2428,0.2588,0.4655,96.61,0.0632
region-24,1999,5,0.8186,0.2428,0.2554,0.4694,95.76,0.0643
region-24,2000,6,0.8186,0.2428,0.252,0.4733,94.92,0.0652
region-24,2001,7,0.8186,0.2428,0.2487,0.4772,93.72,0.0659
region-24,2002,8,0.8186,0.2428,0.2453,0.4811,92.52,0.0664
