worker_id,firm_id,period,rule_exposed,local_female_supply,female,senior,original_job_family,adjusted_job_cell,female_concentrated_cell,male_concentrated_cell,wage
23,1,1,0,0.4100,1,0,sales,sales,0,0,41824.52
24,1,-1,0,0.4100,1,0,sales,sales,0,0,41313.35
24,1,1,0,0.4100,1,0,sales,sales,0,0,42169.77
25,1,-1,0,0.4100,0,0,sales,sales,0,0,43386.48
25,1,1,0,0.4100,0,0,sales,sales,0,0,44274.25
26,1,-1,0,0.4100,0,0,sales,sales,0,0,43184.76
26,1,1,0,0.4100,0,0,sales,sales,0,0,43894.46
27,1,-1,0,0.4100,0,0,sales,sales,0,0,43005.60
27,1,1,0,0.4100,0,0,sales,sales,0,0,44049.91
28,1,-1,0,0.4100,0,1,sales,sales,0,0,50508.33
28,1,1,0,0.4100,0,1,sales,sales,0,0,50955.18
29,1,-1,0,0.4100,1,0,technical,technical,0,0,46062.95
29,1,1,0,0.4100,1,0,technical,technical,0,0,46145.61
30,1,-1,0,0.4100,1,0,technical,technical,0,0,45457.42
30,1,1,0,0.4100,1,0,technical,technical,0,0,46401.74
31,1,-1,0,0.4100,0,0,technical,technical,0,0,46616.16
31,1,1,0,0.4100,0,0,technical,technical,0,0,48385.12
32,1,-1,0,0.4100,1,0,technical,technical,0,0,45370.31
32,1,1,0,0.4100,1,0,technical,technical,0,0,46477.20
33,1,-1,0,0.4100,0,0,technical,technical,0,0,47247.42
33,1,1,0,0.4100,0,0,technical,technical,0,0,48165.67
34,1,-1,0,0.4100,1,0,technical,technical,0,0,45042.78
34,1,1,0,0.4100,1,0,technical,technical,0,0,46363.79
35,1,-1,0,0.4100,0,1,technical,technical,0,0,54726.38
35,1,1,0,0.4100,0,1,technical,technical,0,0,55122.20
36,1,-1,0,0.4100,0,0,technical,technical,0,0,46988.02
36,1,1,0,0.4100,0,0,technical,technical,0,0,47977.83
37,1,-1,0,0.4100,1,0,technical,technical,0,0,45275.13
37,1,1,0,0.4100,1,0,technical,technical,0,0,46624.98
38,1,-1,0,0.4100,1,0,technical,technical,0,0,45056.82
38,1,1,0,0.4100,1,0,technical,technical,0,0,46502.82
39,1,-1,0,0.4100,1,0,technical,technical,0,0,45493.49
39,1,1,0,0.4100,1,0,technical,technical,0,0,45687.41
40,1,-1,0,0.4100,1,0,technical,technical,0,0,45047.77
40,1,1,0,0.4100,1,0,technical,technical,0,0,45956.02
41,1,-1,0,0.4100,0,0,technical,technical,0,0,46893.12
41,1,1,0,0.4100,0,0,technical,technical,0,0,48037.59
42,1,-1,0,0.4100,0,1,technical,technical,0,0,54518.33
42,1,1,0,0.4100,0,1,technical,technical,0,0,54997.61
43,1,-1,0,0.4100,1,0,administration,administration,0,0,49790.28
43,1,1,0,0.4100,1,0,administration,administration,0,0,50159.35
44,1,-1,0,0.4100,1,0,administration,administration,0,0,48859.80
44,1,1,0,0.4100,1,0,administration,administration,0,0,49535.46
45,1,-1,0,0.4100,1,0,administration,administration,0,0,49212.74
45,1,1,0,0.4100,1,0,administration,administration,0,0,49905.43
46,1,-1,0,0.4100,1,0,administration,administration,0,0,48924.55
46,1,1,0,0.4100,1,0,administration,administration,0,0,50501.36
47,1,-1,0,0.4100,0,0,administration,administration,0,0,50292.78
47,1,1,0,0.4100,0,0,administration,administration,0,0,51989.48
48,1,-1,0,0.4100,1,0,administration,administration,0,0,49166.78
48,1,1,0,0.4100,1,0,administration,administration,0,0,49941.90
49,1,-1,0,0.4100,1,1,administration,administration,0,0,55489.49
49,1,1,0,0.4100,1,1,administration,administration,0,0,56450.66
50,1,-1,0,0.4100,1,0,administration,administration,0,0,48674.88
50,1,1,0,0.4100,1,0,administration,administration,0,0,50230.00
51,1,-1,0,0.4100,0,0,administration,administration,0,0,51547.51
51,1,1,0,0.4100,0,0,administration,administration,0,0,52685.67
52,1,-1,0,0.4100,1,0,administration,administration,0,0,48899.91
52,1,1,0,0.4100,1,0,administration,administration,0,0,49889.12
53,1,-1,0,0.4100,1,0,administration,administration,0,0,48915.38
53,1,1,0,0.4100,1,0,administration,administration,0,0,50073.09
54,1,-1,0,0.4100,1,0,administration,administration,0,0,49088.61
54,1,1,0,0.4100,1,0,administration,administration,0,0,50217.56
55,1,-1,0,0.4100,1,0,administration,administration,0,0,49164.48
55,1,1,0,0.4100,1,0,administration,administration,0,0,49241.35
56,1,-1,0,0.4100,0,1,administration,administration,0,0,58146.51
56,1,1,0,0.4100,0,1,administration,administration,0,0,58745.57
57,2,-1,1,0.4800,1,0,operations,operations,0,0,37921.81
57,2,1,1,0.4800,1,0,operations,operations,0,0,39508.30
58,2,-1,1,0.4800,0,0,operations,operations,0,0,40202.95
58,2,1,1,0.4800,0,0,operations,operations,0,0,39924.83
59,2,-1,1,0.4800,0,0,operations,operations,0,0,40289.58
59,2,1,1,0.4800,0,0,operations,operations,0,0,40620.85
60,2,-1,1,0.4800,1,0,operations,operations,0,0,37769.11
60,2,1,1,0.4800,1,0,operations,operations,0,0,39931.63
61,2,-1,1,0.4800,0,0,operations,operations,0,0,40022.56
61,2,1,1,0.4800,0,0,operations,operations,0,0,40564.27
62,2,-1,1,0.4800,0,0,operations,operations,0,0,39640.42
62,2,1,1,0.4800,0,0,operations,operations,0,0,41242.69
63,2,-1,1,0.4800,0,1,operations,operations,0,0,47844.25
63,2,1,1,0.4800,0,1,operations,operations,0,0,48012.95
64,2,-1,1,0.4800,0,0,operations,operations,0,0,40328.18
64,2,1,1,0.4800,0,0,operations,operations,0,0,40848.07
65,2,-1,1,0.4800,1,0,operations,operations,0,0,38676.11
65,2,1,1,0.4800,1,0,operations,operations,0,0,39701.71
66,2,-1,1,0.4800,1,0,operations,operations,0,0,38552.73
66,2,1,1,0.4800,1,0,operations,operations,0,0,39709.74
67,2,-1,1,0.4800,1,0,operations,operations,0,0,37986.78
67,2,1,1,0.4800,1,0,operations,operations,0,0,39460.35
68,2,-1,1,0.4800,1,0,operations,operations,0,0,38174.36
68,2,1,1,0.4800,1,0,operations,operations,0,0,38875.06
69,2,-1,1,0.4800,1,0,operations,operations,0,0,38517.13
69,2,1,1,0.4800,1,0,operations,operations,0,0,40169.19
70,2,-1,1,0.4800,0,1,operations,operations,0,0,47198.27
70,2,1,1,0.4800,0,1,operations,operations,0,0,47447.46
71,2,-1,1,0.4800,0,0,sales,sales,0,0,43897.74
71,2,1,1,0.4800,0,0,sales,sales,0,0,43740.14
72,2,-1,1,0.4800,0,0,sales,sales,0,0,42899.24
72,2,1,1,0.4800,0,0,sales,sales,0,0,44245.96
73,2,-1,1,0.4800,1,0,sales,sales,0,0,41653.45
73,2,1,1,0.4800,1,0,sales,sales,0,0,43892.79
74,2,-1,1,0.4800,0,0,sales,sales,0,0,43267.12
74,2,1,1,0.4800,0,0,sales,sales,0,0,44231.91
75,2,-1,1,0.4800,1,0,sales,sales,0,0,41920.41
75,2,1,1,0.4800,1,0,sales,sales,0,0,43327.65
76,2,-1,1,0.4800,1,0,sales,sales,0,0,41284.27
76,2,1,1,0.4800,1,0,sales,sales,0,0,43659.29
77,2,-1,1,0.4800,0,1,sales,sales,0,0,50831.11
77,2,1,1,0.4800,0,1,sales,sales,0,0,51284.02
78,2,-1,1,0.4800,1,0,sales,sales,0,0,42067.92
78,2,1,1,0.4800,1,0,sales,sales,0,0,43877.83
79,2,-1,1,0.4800,1,0,sales,sales,0,0,42138.01
79,2,1,1,0.4800,1,0,sales,sales,0,0,43358.32
80,2,-1,1,0.4800,0,0,sales,sales,0,0,43360.83
80,2,1,1,0.4800,0,0,sales,sales,0,0,44398.52
81,2,-1,1,0.4800,0,0,sales,sales,0,0,43744.92
81,2,1,1,0.4800,0,0,sales,sales,0,0,43953.42
82,2,-1,1,0.4800,1,0,sales,sales,0,0,42246.06
82,2,1,1,0.4800,1,0,sales,sales,0,0,44559.70
83,2,-1,1,0.4800,0,0,sales,sales,0,0,44451.54
83,2,1,1,0.4800,0,0,sales,sales,0,0,43441.12
84,2,-1,1,0.4800,1,1,sales,sales,0,0,48068.49
84,2,1,1,0.4800,1,1,sales,sales,0,0,49955.19
85,2,-1,1,0.4800,0,0,technical,technical,0,0,47940.02
85,2,1,1,0.4800,0,0,technical,technical,0,0,48311.40
86,2,-1,1,0.4800,0,0,technical,technical,0,0,46510.75
86,2,1,1,0.4800,0,0,technical,technical,0,0,47484.12
87,2,-1,1,0.4800,0,0,technical,technical,0,0,47126.39
87,2,1,1,0.4800,0,0,technical,technical,0,0,47118.76
88,2,-1,1,0.4800,1,0,technical,technical,0,0,46508.87
88,2,1,1,0.4800,1,0,technical,technical,0,0,47683.16
89,2,-1,1,0.4800,1,0,technical,technical,0,0,45963.29
89,2,1,1,0.4800,1,0,technical,technical,0,0,48586.13
90,2,-1,1,0.4800,1,0,technical,technical,0,0,46294.85
90,2,1,1,0.4800,1,0,technical,technical,0,0,47264.80
91,2,-1,1,0.4800,1,1,technical,technical,0,0,52161.81
91,2,1,1,0.4800,1,1,technical,technical,0,0,53055.80
92,2,-1,1,0.4800,0,0,technical,technical,0,0,47132.33
92,2,1,1,0.4800,0,0,technical,technical,0,0,47843.32
93,2,-1,1,0.4800,1,0,technical,technical,0,0,45612.99
93,2,1,1,0.4800,1,0,technical,technical,0,0,47656.46
94,2,-1,1,0.4800,0,0,technical,technical,0,0,46889.77
94,2,1,1,0.4800,0,0,technical,technical,0,0,48014.50
95,2,-1,1,0.4800,1,0,technical,technical,0,0,45310.92
95,2,1,1,0.4800,1,0,technical,technical,0,0,47713.02
96,2,-1,1,0.4800,1,0,technical,technical,0,0,45691.59
96,2,1,1,0.4800,1,0,technical,technical,0,0,47836.12
97,2,-1,1,0.4800,0,0,technical,technical,0,0,47590.22
97,2,1,1,0.4800,0,0,technical,technical,0,0,47891.29
98,2,-1,1,0.4800,1,1,technical,technical,0,0,52157.86
98,2,1,1,0.4800,1,1,technical,technical,0,0,53580.62
99,2,-1,1,0.4800,1,0,administration,administration,0,0,49136.12
99,2,1,1,0.4800,1,0,administration,administration,0,0,51681.39
100,2,-1,1,0.4800,0,0,administration,administration,0,0,51377.35
100,2,1,1,0.4800,0,0,administration,administration,0,0,51945.27
101,2,-1,1,0.4800,1,0,administration,administration,0,0,49983.06
101,2,1,1,0.4800,1,0,administration,administration,0,0,52667.43
102,2,-1,1,0.4800,1,0,administration,administration,0,0,49454.47
102,2,1,1,0.4800,1,0,administration,administration,0,0,52081.23
103,2,-1,1,0.4800,1,0,administration,administration,0,0,49423.01
103,2,1,1,0.4800,1,0,administration,administration,0,0,51445.72
104,2,-1,1,0.4800,1,0,administration,administration,0,0,49421.19
104,2,1,1,0.4800,1,0,administration,administration,0,0,50708.20
105,2,-1,1,0.4800,1,1,administration,administration,0,0,55070.88
105,2,1,1,0.4800,1,1,administration,administration,0,0,58474.29
106,2,-1,1,0.4800,1,0,administration,administration,0,0,50220.82
106,2,1,1,0.4800,1,0,administration,administration,0,0,50853.37
107,2,-1,1,0.4800,0,0,administration,administration,0,0,51320.94
107,2,1,1,0.4800,0,0,administration,administration,0,0,51983.58
108,2,-1,1,0.4800,0,0,administration,administration,0,0,51689.20
108,2,1,1,0.4800,0,0,administration,administration,0,0,52008.16
109,2,-1,1,0.4800,0,0,administration,administration,0,0,51517.17
109,2,1,1,0.4800,0,0,administration,administration,0,0,51774.98
110,2,-1,1,0.4800,1,0,administration,administration,0,0,49271.11
110,2,1,1,0.4800,1,0,administration,administration,0,0,51339.07
111,2,-1,1,0.4800,1,0,administration,administration,0,0,50346.89
111,2,1,1,0.4800,1,0,administration,administration,0,0,51350.96
112,2,-1,1,0.4800,1,1,administration,administration,0,0,55472.55
112,2,1,1,0.4800,1,1,administration,administration,0,0,58380.82
113,3,-1,0,0.5500,0,0,operations,operations,0,0,40199.46
113,3,1,0,0.5500,0,0,operations,operations,0,0,40429.58
114,3,-1,0,0.5500,0,0,operations,operations,0,0,40581.25
114,3,1,0,0.5500,0,0,operations,operations,0,0,41260.80
115,3,-1,0,0.5500,0,0,operations,operations,0,0,40772.70
115,3,1,0,0.5500,0,0,operations,operations,0,0,41349.60
116,3,-1,0,0.5500,1,0,operations,operations,0,0,38339.88
116,3,1,0,0.5500,1,0,operations,operations,0,0,38934.92
117,3,-1,0,0.5500,0,0,operations,operations,0,0,40100.54
117,3,1,0,0.5500,0,0,operations,operations,0,0,41404.15
118,3,-1,0,0.5500,1,0,operations,operations,0,0,38339.95
118,3,1,0,0.5500,1,0,operations,operations,0,0,39283.70
119,3,-1,0,0.5500,0,1,operations,operations,0,0,47388.83
119,3,1,0,0.5500,0,1,operations,operations,0,0,48307.27
120,3,-1,0,0.5500,0,0,operations,operations,0,0,40106.62
120,3,1,0,0.5500,0,0,operations,operations,0,0,40910.49
121,3,-1,0,0.5500,1,0,operations,operations,0,0,38774.25
121,3,1,0,0.5500,1,0,operations,operations,0,0,39972.78
122,3,-1,0,0.5500,0,0,operations,operations,0,0,40527.04
122,3,1,0,0.5500,0,0,operations,operations,0,0,40424.99
123,3,-1,0,0.5500,0,0,operations,operations,0,0,40760.13
123,3,1,0,0.5500,0,0,operations,operations,0,0,41190.86
124,3,-1,0,0.5500,1,0,operations,operations,0,0,38799.65
124,3,1,0,0.5500,1,0,operations,operations,0,0,39430.77
125,3,-1,0,0.5500,1,0,operations,operations,0,0,38506.46
125,3,1,0,0.5500,1,0,operations,operations,0,0,39639.10
126,3,-1,0,0.5500,1,1,operations,operations,0,0,44554.99
126,3,1,0,0.5500,1,1,operations,operations,0,0,44854.80
127,3,-1,0,0.5500,0,0,sales,sales,0,0,43896.43
127,3,1,0,0.5500,0,0,sales,sales,0,0,44887.06
128,3,-1,0,0.5500,0,0,sales,sales,0,0,44163.52
128,3,1,0,0.5500,0,0,sales,sales,0,0,44632.96
129,3,-1,0,0.5500,1,0,sales,sales,0,0,42358.49
129,3,1,0,0.5500,1,0,sales,sales,0,0,43159.41
130,3,-1,0,0.5500,0,0,sales,sales,0,0,43823.41
130,3,1,0,0.5500,0,0,sales,sales,0,0,45133.88
131,3,-1,0,0.5500,1,0,sales,sales,0,0,42529.54
131,3,1,0,0.5500,1,0,sales,sales,0,0,43240.69
132,3,-1,0,0.5500,1,0,sales,sales,0,0,42114.59
132,3,1,0,0.5500,1,0,sales,sales,0,0,42912.20
133,3,-1,0,0.5500,0,1,sales,sales,0,0,51617.27
133,3,1,0,0.5500,0,1,sales,sales,0,0,52201.60
134,3,-1,0,0.5500,1,0,sales,sales,0,0,42347.62
134,3,1,0,0.5500,1,0,sales,sales,0,0,43235.66
135,3,-1,0,0.5500,1,0,sales,sales,0,0,41964.01
135,3,1,0,0.5500,1,0,sales,sales,0,0,42766.37
136,3,-1,0,0.5500,1,0,sales,sales,0,0,43048.51
136,3,1,0,0.5500,1,0,sales,sales,0,0,43657.11
137,3,-1,0,0.5500,0,0,sales,sales,0,0,44637.29
137,3,1,0,0.5500,0,0,sales,sales,0,0,45351.59
138,3,-1,0,0.5500,1,0,sales,sales,0,0,41821.92
138,3,1,0,0.5500,1,0,sales,sales,0,0,42613.73
139,3,-1,0,0.5500,0,0,sales,sales,0,0,43547.60
139,3,1,0,0.5500,0,0,sales,sales,0,0,44835.00
140,3,-1,0,0.5500,1,1,sales,sales,0,0,48661.23
140,3,1,0,0.5500,1,1,sales,sales,0,0,49495.03
141,3,-1,0,0.5500,1,0,technical,technical,0,0,45699.55
141,3,1,0,0.5500,1,0,technical,technical,0,0,46712.18
142,3,-1,0,0.5500,1,0,technical,technical,0,0,45445.90
142,3,1,0,0.5500,1,0,technical,technical,0,0,46376.60
143,3,-1,0,0.5500,1,0,technical,technical,0,0,46177.97
143,3,1,0,0.5500,1,0,technical,technical,0,0,47578.78
144,3,-1,0,0.5500,0,0,technical,technical,0,0,47615.77
144,3,1,0,0.5500,0,0,technical,technical,0,0,48449.27
145,3,-1,0,0.5500,0,0,technical,technical,0,0,47730.06
145,3,1,0,0.5500,0,0,technical,technical,0,0,49095.60
146,3,-1,0,0.5500,0,0,technical,technical,0,0,48014.33
146,3,1,0,0.5500,0,0,technical,technical,0,0,48604.19
147,3,-1,0,0.5500,1,1,technical,technical,0,0,51911.49
147,3,1,0,0.5500,1,1,technical,technical,0,0,52661.50
148,3,-1,0,0.5500,1,0,technical,technical,0,0,46023.56
148,3,1,0,0.5500,1,0,technical,technical,0,0,46653.75
149,3,-1,0,0.5500,1,0,technical,technical,0,0,45609.58
149,3,1,0,0.5500,1,0,technical,technical,0,0,46827.83
150,3,-1,0,0.5500,0,0,technical,technical,0,0,48536.50
150,3,1,0,0.5500,0,0,technical,technical,0,0,48480.52
151,3,-1,0,0.5500,0,0,technical,technical,0,0,47691.79
151,3,1,0,0.5500,0,0,technical,technical,0,0,48363.96
152,3,-1,0,0.5500,0,0,technical,technical,0,0,48406.31
152,3,1,0,0.5500,0,0,technical,technical,0,0,48629.98
153,3,-1,0,0.5500,0,0,technical,technical,0,0,47742.19
153,3,1,0,0.5500,0,0,technical,technical,0,0,48667.39
154,3,-1,0,0.5500,1,1,technical,technical,0,0,52131.01
154,3,1,0,0.5500,1,1,technical,technical,0,0,53027.00
155,3,-1,0,0.5500,0,0,administration,administration,0,0,51707.38
155,3,1,0,0.5500,0,0,administration,administration,0,0,51957.86
156,3,-1,0,0.5500,0,0,administration,administration,0,0,51700.65
156,3,1,0,0.5500,0,0,administration,administration,0,0,53008.95
157,3,-1,0,0.5500,1,0,administration,administration,0,0,50422.69
157,3,1,0,0.5500,1,0,administration,administration,0,0,50857.56
158,3,-1,0,0.5500,1,0,administration,administration,0,0,50335.22
158,3,1,0,0.5500,1,0,administration,administration,0,0,50872.22
159,3,-1,0,0.5500,1,0,administration,administration,0,0,49713.55
159,3,1,0,0.5500,1,0,administration,administration,0,0,50833.49
160,3,-1,0,0.5500,1,0,administration,administration,0,0,49422.75
160,3,1,0,0.5500,1,0,administration,administration,0,0,51057.38
161,3,-1,0,0.5500,1,1,administration,administration,0,0,55829.21
161,3,1,0,0.5500,1,1,administration,administration,0,0,57221.94
162,3,-1,0,0.5500,0,0,administration,administration,0,0,51797.36
162,3,1,0,0.5500,0,0,administration,administration,0,0,52854.66
163,3,-1,0,0.5500,0,0,administration,administration,0,0,51930.51
163,3,1,0,0.5500,0,0,administration,administration,0,0,52427.72
164,3,-1,0,0.5500,1,0,administration,administration,0,0,50232.47
164,3,1,0,0.5500,1,0,administration,administration,0,0,50819.16
165,3,-1,0,0.5500,1,0,administration,administration,0,0,50454.74
165,3,1,0,0.5500,1,0,administration,administration,0,0,50968.84
166,3,-1,0,0.5500,0,0,administration,administration,0,0,52011.41
166,3,1,0,0.5500,0,0,administration,administration,0,0,53366.90
167,3,-1,0,0.5500,0,0,administration,administration,0,0,51554.56
167,3,1,0,0.5500,0,0,administration,administration,0,0,52700.48
168,3,-1,0,0.5500,0,1,administration,administration,0,0,59440.35
168,3,1,0,0.5500,0,1,administration,administration,0,0,60614.97
169,4,-1,1,0.6200,0,0,operations,operations,0,0,40467.89
169,4,1,1,0.6200,0,0,operations,operations,0,0,41416.61
170,4,-1,1,0.6200,0,0,operations,operations,0,0,40078.97
170,4,1,1,0.6200,0,0,operations,operations,0,0,41310.00
171,4,-1,1,0.6200,1,0,operations,operations,0,0,38185.09
171,4,1,1,0.6200,1,0,operations,operations,0,0,41012.10
172,4,-1,1,0.6200,1,0,operations,operations,0,0,39160.95
172,4,1,1,0.6200,1,0,operations,operations,0,0,40297.07
173,4,-1,1,0.6200,0,0,operations,operations,0,0,40742.98
173,4,1,1,0.6200,0,0,operations,operations,0,0,40212.82
174,4,-1,1,0.6200,1,0,operations,operations,0,0,38883.22
174,4,1,1,0.6200,1,0,operations,operations,0,0,40873.31
175,4,-1,1,0.6200,0,1,operations,operations,0,0,47759.42
175,4,1,1,0.6200,0,1,operations,operations,0,0,49553.72
176,4,-1,1,0.6200,0,0,operations,operations,0,0,40240.81
176,4,1,1,0.6200,0,0,operations,operations,0,0,41972.19
177,4,-1,1,0.6200,1,0,operations,operations,0,0,39730.91
177,4,1,1,0.6200,1,0,operations,operations,0,0,41321.42
178,4,-1,1,0.6200,0,0,operations,operations,0,0,40974.84
178,4,1,1,0.6200,0,0,operations,operations,0,0,41177.04
179,4,-1,1,0.6200,0,0,operations,operations,0,0,40705.19
179,4,1,1,0.6200,0,0,operations,operations,0,0,40538.97
180,4,-1,1,0.6200,1,0,operations,operations,0,0,39161.58
180,4,1,1,0.6200,1,0,operations,operations,0,0,41219.36
181,4,-1,1,0.6200,1,0,operations,operations,0,0,39060.32
181,4,1,1,0.6200,1,0,operations,operations,0,0,40868.10
182,4,-1,1,0.6200,0,1,operations,operations,0,0,48038.88
182,4,1,1,0.6200,0,1,operations,operations,0,0,48844.15
183,4,-1,1,0.6200,1,0,sales,sales,0,0,43537.29
183,4,1,1,0.6200,1,0,sales,sales,0,0,43929.81
184,4,-1,1,0.6200,1,0,sales,sales,0,0,42603.14
184,4,1,1,0.6200,1,0,sales,sales,0,0,45137.26
185,4,-1,1,0.6200,1,0,sales,sales,0,0,42289.41
185,4,1,1,0.6200,1,0,sales,sales,0,0,44419.49
186,4,-1,1,0.6200,0,0,sales,sales,0,0,44229.17
186,4,1,1,0.6200,0,0,sales,sales,0,0,45022.62
187,4,-1,1,0.6200,1,0,sales,sales,0,0,43103.78
187,4,1,1,0.6200,1,0,sales,sales,0,0,45833.59
188,4,-1,1,0.6200,1,0,sales,sales,0,0,43236.14
188,4,1,1,0.6200,1,0,sales,sales,0,0,45108.88
189,4,-1,1,0.6200,0,1,sales,sales,0,0,52652.11
189,4,1,1,0.6200,0,1,sales,sales,0,0,52618.16
190,4,-1,1,0.6200,1,0,sales,sales,0,0,42621.44
190,4,1,1,0.6200,1,0,sales,sales,0,0,45091.21
191,4,-1,1,0.6200,1,0,sales,sales,0,0,42709.35
191,4,1,1,0.6200,1,0,sales,sales,0,0,44849.65
192,4,-1,1,0.6200,0,0,sales,sales,0,0,44421.12
192,4,1,1,0.6200,0,0,sales,sales,0,0,45460.80
193,4,-1,1,0.6200,1,0,sales,sales,0,0,43104.23
193,4,1,1,0.6200,1,0,sales,sales,0,0,44632.01
194,4,-1,1,0.6200,1,0,sales,sales,0,0,43142.55
194,4,1,1,0.6200,1,0,sales,sales,0,0,44318.93
195,4,-1,1,0.6200,1,0,sales,sales,0,0,43307.02
195,4,1,1,0.6200,1,0,sales,sales,0,0,44581.43
196,4,-1,1,0.6200,1,1,sales,sales,0,0,49258.17
196,4,1,1,0.6200,1,1,sales,sales,0,0,51262.62
197,4,-1,1,0.6200,1,0,technical,technical,0,0,46296.00
197,4,1,1,0.6200,1,0,technical,technical,0,0,48806.06
198,4,-1,1,0.6200,1,0,technical,technical,0,0,46847.20
198,4,1,1,0.6200,1,0,technical,technical,0,0,48360.32
199,4,-1,1,0.6200,1,0,technical,technical,0,0,46219.36
199,4,1,1,0.6200,1,0,technical,technical,0,0,47556.14
200,4,-1,1,0.6200,1,0,technical,technical,0,0,46586.78
200,4,1,1,0.6200,1,0,technical,technical,0,0,48341.30
201,4,-1,1,0.6200,1,0,technical,technical,0,0,46972.37
201,4,1,1,0.6200,1,0,technical,technical,0,0,48531.27
202,4,-1,1,0.6200,1,0,technical,technical,0,0,46032.59
202,4,1,1,0.6200,1,0,technical,technical,0,0,48867.14
203,4,-1,1,0.6200,1,1,technical,technical,0,0,53079.55
203,4,1,1,0.6200,1,1,technical,technical,0,0,54922.37
204,4,-1,1,0.6200,1,0,technical,technical,0,0,46395.29
204,4,1,1,0.6200,1,0,technical,technical,0,0,48372.73
205,4,-1,1,0.6200,1,0,technical,technical,0,0,46221.03
205,4,1,1,0.6200,1,0,technical,technical,0,0,48138.27
206,4,-1,1,0.6200,0,0,technical,technical,0,0,47600.79
206,4,1,1,0.6200,0,0,technical,technical,0,0,48952.07
207,4,-1,1,0.6200,1,0,technical,technical,0,0,46846.34
207,4,1,1,0.6200,1,0,technical,technical,0,0,48517.02
208,4,-1,1,0.6200,1,0,technical,technical,0,0,46438.63
208,4,1,1,0.6200,1,0,technical,technical,0,0,47928.19
209,4,-1,1,0.6200,0,0,technical,technical,0,0,48517.30
209,4,1,1,0.6200,0,0,technical,technical,0,0,49270.18
210,4,-1,1,0.6200,0,1,technical,technical,0,0,55862.78
210,4,1,1,0.6200,0,1,technical,technical,0,0,55902.69
211,4,-1,1,0.6200,0,0,administration,administration,0,0,52415.22
211,4,1,1,0.6200,0,0,administration,administration,0,0,52662.66
212,4,-1,1,0.6200,0,0,administration,administration,0,0,52104.44
212,4,1,1,0.6200,0,0,administration,administration,0,0,53154.64
213,4,-1,1,0.6200,1,0,administration,administration,0,0,50732.96
213,4,1,1,0.6200,1,0,administration,administration,0,0,52053.36
