locality,year,legal_rule_index,inspector_access_index,worker_knowledge_index,effective_law_index,compliance_index,benefit_receipt_rate,formal_share,informal_share,formal_wage_index,local_demand_index,wage_rigidity_index
border_services,2020,1.0,0.474,0.465,0.22,0.472,0.562,0.63,0.37,1.04,0.943,0.23
border_services,2021,1.0,0.469,0.466,0.218,0.471,0.561,0.63,0.37,1.041,0.943,0.23
border_services,2022,1.0,0.467,0.444,0.207,0.463,0.554,0.628,0.372,1.041,0.951,0.23
border_services,2023,1.0,0.446,0.448,0.2,0.458,0.551,0.629,0.371,1.045,0.967,0.23
border_services,2024,1.0,0.454,0.454,0.206,0.464,0.555,0.63,0.37,1.045,0.99,0.23
border_services,2025,1.0,0.468,0.462,0.217,0.472,0.562,0.63,0.37,1.044,1.017,0.23
agrarian_hinterland,2014,1.0,0.34,0.398,0.135,0.41,0.511,0.552,0.448,1.055,0.88,0.27
agrarian_hinterland,2015,1.0,0.36,0.403,0.145,0.418,0.518,0.552,0.448,1.053,0.906,0.27
agrarian_hinterland,2016,1.0,0.377,0.406,0.153,0.424,0.523,0.551,0.449,1.052,0.927,0.27
agrarian_hinterland,2017,1.0,0.365,0.408,0.149,0.422,0.521,0.552,0.448,1.054,0.941,0.27
agrarian_hinterland,2018,1.0,0.371,0.384,0.142,0.418,0.517,0.551,0.449,1.053,0.946,0.27
agrarian_hinterland,2019,1.0,0.371,0.384,0.143,0.418,0.517,0.551,0.449,1.053,0.945,0.27
agrarian_hinterland,2020,1.0,0.344,0.385,0.132,0.41,0.511,0.552,0.448,1.057,0.943,0.27
agrarian_hinterland,2021,1.0,0.339,0.386,0.131,0.409,0.51,0.552,0.448,1.057,0.943,0.27
agrarian_hinterland,2022,1.0,0.337,0.364,0.123,0.404,0.505,0.551,0.449,1.058,0.951,0.27
agrarian_hinterland,2023,1.0,0.316,0.368,0.116,0.4,0.502,0.552,0.448,1.061,0.967,0.27
agrarian_hinterland,2024,1.0,0.324,0.374,0.121,0.405,0.506,0.552,0.448,1.061,0.99,0.27
agrarian_hinterland,2025,1.0,0.338,0.382,0.129,0.411,0.512,0.552,0.448,1.061,1.017,0.27
frontier_town,2014,1.0,0.28,0.338,0.095,0.381,0.487,0.504,0.496,1.062,0.88,0.3
frontier_town,2015,1.0,0.3,0.343,0.103,0.388,0.492,0.503,0.497,1.061,0.906,0.3
frontier_town,2016,1.0,0.317,0.346,0.11,0.394,0.497,0.503,0.497,1.059,0.927,0.3
frontier_town,2017,1.0,0.305,0.348,0.106,0.392,0.495,0.504,0.496,1.062,0.941,0.3
frontier_town,2018,1.0,0.311,0.324,0.101,0.388,0.491,0.502,0.498,1.061,0.946,0.3
frontier_town,2019,1.0,0.311,0.324,0.101,0.388,0.491,0.502,0.498,1.061,0.945,0.3
frontier_town,2020,1.0,0.284,0.325,0.092,0.382,0.487,0.504,0.496,1.064,0.943,0.3
frontier_town,2021,1.0,0.279,0.326,0.091,0.381,0.486,0.504,0.496,1.065,0.943,0.3
frontier_town,2022,1.0,0.277,0.304,0.084,0.377,0.482,0.503,0.497,1.065,0.951,0.3
frontier_town,2023,1.0,0.256,0.308,0.079,0.374,0.48,0.504,0.496,1.069,0.967,0.3
frontier_town,2024,1.0,0.264,0.314,0.083,0.378,0.483,0.504,0.496,1.069,0.99,0.3
frontier_town,2025,1.0,0.278,0.322,0.09,0.383,0.488,0.504,0.496,1.068,1.017,0.3
